1.1.1	Brahma indeed was here at first.
1.5.15	Having drunk liquor, he should eat at the eighth time during the year, with his hands, whatever comes to him, facing downwards from the navel, upwards from the knees, wearing three garments, touching water thrice a day and at night, and reciting the purifying mantra. He should stay at places where he gets food and shelter at the village gate, and not move around. He should not speak his own duties in front of the four Brahmanas. He should eat before the village gate. He should go for necessities before the village gate only. If he does otherwise, it is suspect. At the end of the year, the Brahmanas should give him oil, salt, a razor, fire, a cow, and seeds, and ask him, "Have you performed your duties?" He should reply, "Yes, I have." They should say, "You have committed seven sins and seven others. Your conduct was false." He should reply, "Yes, I have." From then on, having shaved his head, beard, hair, and nails, and wearing a new garment, he should recite the benedictory verses for the Brahmanas and become purified.
1.5.16	By this rule, one who has killed a foetus, by this rule, one has killed a brahmin, by this rule one who has stolen gold, by this rule the one with three backs.
1.6.1	Having stolen brahmin's wealth, one should live in water for a month, and eat at the fourth time during the day outside. At the end of the vow, one should sing, "Your semen is one thing, your sacrifice is another."
1.6.2	Having stolen from another, one should perform the Kṛcchra and then recite this verse: "This man has committed a thousand offenses." This is the second verse.
1.6.3	Having killed the wife of one's teacher, one should recite this verse:
1.6.4	Having approached the wife of a brahmin, one should perform three Kṛcchra rites and then recite this first verse: "Brahma was born..."
1.6.5	Having approached the wives of others, one should perform Kṛcchra, and then recite this: "From the two fires..."
1.6.6	Having gone to a Śūdra woman, he should fast for three nights and recite the verse "O Agni, O Ida."
1.6.7	Having taken a wife out of season, he should control his breath three times and recite the verse beginning with "Kayanīya" twice.
1.6.8	Having stolen a cow from a Brāhmaṇa, he should perform three Kṛcchra rites and recite the verse starting with "Brahma, the born one".
1.6.9	Having taken from another, one should perform the Kṛcchra penance, reciting the verse, "O Soma, I follow your son." One should recite, "O Soma! I follow your son!"
1.7.1	Having accepted from a king, one should dwell in water for a month, eating during the day. One should recite, "Soma and Mahiṣa did this great deed."
1.7.2	Performing the Kṛcchhra penance for one who is not eligible to receive, one should recite, "In the Trikardrukas."
1.7.3	Stealing, one should fast for one night, reciting the verse "Agni is sharp..." as the second.
1.7.4	Having killed the life-force of a brahmin, one should recite the verse "O Soma, the god of sacrifice..." as the second, when blood flows from the throat.
1.7.5	Having killed a king or a vaishya who has gone to the Soma-pressing ceremony, one should recite "The brahmin's own ritual..." as the second to determine purity or impurity.
1.7.6	Having killed a Śūdra, one should fast for twelve nights and wear a garment of water. This is the second verse: "O Indra, this Soma is yours."
1.7.7	Having killed a cow, one should fast twelve nights and wear water garments. The second verse is: "We are the drinkers of your Soma."
1.7.8	Having killed any animal, one should fast one night and recite: "Agni with sharp teeth." The second verse is:
1.7.9	The Avakīrṇī, performing the three Kṛcchra rites, should recite the fourth verse, "May my son be sprinkled with water."
1.7.10	According to this method, the Parivitta and Parivinda should recite the verse, "Soma, the king, Varuna."
1.7.11	"If semen is emitted outside the proper place, the head is Agni, the womb is Ghrtavatī. The second body from here, mine."
1.7.12	Having served the livelihood of a Śūdra, one should perform three Kṛcchra penances and recite this verse: "The wheel."
1.7.13	In the livelihood of a Vaiśya, one should recite this verse: "The youth of Suparna." In the livelihood of a Kṣatriya, one should chant this verse: "Flow, O Soma, with honey for truth." Or this verse: "You have approached the ram."
1.7.14	This is always to be used.
1.7.15	The brahmin who curses falsely incurs the sin. One who reveals a secret becomes half-owner.
1.7.16	One who uses the verse "Agni is sharp" crosses it by that, and crosses it by that.
1.8.1	Having sold herbs, one should perform the Kṛcchra. Having sold cows, one should perform two Kṛcchra-s.
1.8.2	Having sold animals with teeth on both sides, one should perform Kṛcchra, reciting the verse "Who yokes today?"
1.8.3	Having received them, he should recite this verse: "May there be peace in the abode."
1.8.4	If one is performing the Kṛcchra penance for a maiden who has not been given away, and one has no brother, one should recite this verse.
1.8.5	Having received her, one should recite the same verse: "May peace be in the abode."
1.8.6	"The auspicious Agni has risen, he is offered oblations" - one should sing this. "He who has set, his magic does not work."
1.8.7	"O god Savitar, today do not let us have bad dreams." The second verse.
1.8.8	In the case of someone unknown, one should repeat the second verse.
1.8.9-11	He should offer barley grains smeared with ghee to Agni, saying, "May I be born with the next Dharma" and "To Agni Svāhā." He should offer sesame seeds to Agni, saying "May the gods not lead me away" and "To Indra Svāhā." He should observe a fast for one night. "Agni with sharp heat" is the second verse.
1.8.12	In the case of another, when unknown, the second is "Vritteshu".
1.8.13	Among men, in the direction of the wind, one should offer a measure of barley smeared with ghee, reciting the four-verse hymn beginning with "O Agni, you are our last resort" and ending with "Svāhā to Agni, Svāhā to Vāyu, Svāhā Surya, Svāhā Chandra." Having fed Brahmins with oily food without meat, and having recited the benediction, they will have well-being.
1.8.14	If cows are afflicted by wind, one should offer a ladleful of barley mixed with ghee, reciting the verse "O ye kings" and "Svāhā to Rudra". As long as the smoke reaches, there will be well-being.
1.8.15	If one wants to obtain horses, one should offer a handful of barley mixed with ghee in the direction of the horses. One should say, "May I obtain horses and chariots. Svāhā to the Ashvins." As long as the smoke reaches, one will obtain well-being. One will obtain well-beings.
2.1.1	Now, here are the rites for obtaining desires.
2.1.2	If one is not authorized, one should fast for three nights and begin with the Pushya constellation.
2.1.3	The first rites are for longevity.
2.1.4	"Then he should recite the two verses, "Agni has awakened, the great one of the three," and "O Indra, the men have come to the village, the song, and the life," and should conclude with "O Indra the protector, the offering. " "May there be welfare for you. " "Soma purifies, the best, the most excellent, the one who shines everywhere," and "The highest Varuna-noose," these are the verses of the auspicious group. One who recites any one, many, or all of these lives for a hundred years, and dies only through old age.
2.1.5	The two verses beginning with "Bhrajābhrajā" and ending with "Ha ū svartā" are the four verses of the Setuṣām. One who recites any one, many or all of these verses becomes purified.
2.1.6	Having received much, having performed the sacrifice, considering himself to be near, he who recites the verses on cows and horses, the verses on purity and impurity, and the verses on the slow one, becomes purified.
2.1.7	He who recites the verse "I have heard from you" becomes pure and attains the world of Brahma and does not return.
2.1.8	One who always uses the mantra "Udd uttama varunapāśam" does not get entangled in obstacles and is released from them.
2.1.9	One should eat with the mantra "Gauranta sarsapāṃstuce tunāy tat su na". One becomes long-lived.
2.1.10	He should always sip three mouthfuls of water, saying, "May Soma delight in me." By this he becomes long-lived.
2.2.1	Now, if the foetus of one who has conceived is destroyed, then having taken up the seed of the banyan tree and the root of the reed, one should make a three-stranded thread on that day, establish the fire, offer oblations while covered, deposit the gem, and offer oblations with the mantra "May the fire be awakened." One should offer oblations a thousand times. In the third month of pregnancy, one should deposit the remaining ghee. One should wear the gem in the girdle. It generates a male child. One should anoint the neck of the newborn child. One should make the young boy eat the remaining ghee. All the channels should be satisfied. One should anointevery day thereafter. If used again, one lives for a hundred years and dies only of old age.
2.2.2	Now, if one is seized by a demon, the wood of a tree struck by lightning, the butter of a white cow with a calf of the same color, or another, and a Bilva gem, having raised it, one should perform the Trivrit sacrifice on that day. Having established the gem in the fire and offered oblations, having placed the gem, one should offer with this mantra: "O Indra, the gem is the refuge in three forms." One should offer it a thousand times, and the gem should be worn on the neck or head. One who is released from the demon should always recite this mantra: "May there be well-being for him."
2.2.3	One who is afflicted by disease should offer this oblation a thousand times, and should conclude with the words "May he live for a hundred years." One should always eat with this mantra. One who is afflicted with disease is freed. One should always recite this mantra, "May Mitra-Varuna protect us." One attains well-being.
2.3.1	If he should have pain, he should anoint it with ghee, reciting the secret verse. He becomes well.
2.3.2	He should make him drink water with the two-verse formula. He should sprinkle him with cold water. He should recite these verses to him: "Soma, the king, from the beginning, Agni, Agni, the Hotar." He becomes well.
2.3.3	Having raised the Śaṅkhapuṣpī and the Sarpasugandhā, he should make the Trivṛt Agni. Having established the Agni and having offered the Agnihotra, he should place the gem and offer it with the verse "May the gem be protected by the leaders." He should offer it a thousand times. The gem worn around the neck or head does not cause fear from snakes. And in the Kāyaniya Sāman, one should always recite the Sarpasāman. One will have well-being.
2.3.4	Having raised the white-flowered Bṛhatī, one should perform the Trivṛt rite on that day. Having established the Agni and having offered the oblation, one should place the gem and offer it with the verse, "O gem, may you protect me from the wicked." One should offer it a thousand times, and the gem becomes a hundred times more powerful. For one who wears the gem around the neck or head, there is no fear from weapons. One should always recite the verse, "We are afraid of you, O Indra." One will have well-being.
2.3.5	Having raised the white-flowered Arka plant, one should perform the Trivrit rite on that day. Having established the Agni and having offered oblations, one should place the gem and offer oblations with the Arka plant. One should offer a thousand times. The gem, worn around the neck or on the head, makes one wealthy.
2.3.6	One who uses the names of the sun, such as Dīrghatamas, Arkashira, and Arkagrīva, obtains food everywhere.
2.3.7	One who uses the name of the fire god, Sam, obtains food everywhere and does not die of thirst.
2.3.8	One who recites the name of the sun god, Ishtahotri, does not die in water.
2.3.9	One should recite the third name, Achodas, so that the sun god does not afflict one with consumption.
2.3.10	"You are these plants" - one who always uses this, does not die with a sore.
2.3.11	"May your milk be" - one should eat the first morsel with the former verse, and swallow the poison with the latter. His food becomes poison, it does not harm him, it does not hurt him.
2.4.1	Having raised the Karavīra staff, one should offer oblations with the Anugaṇa mantra, holding it in one's hand wherever one goes, one will have good fortune everywhere.
2.4.2	By mentally contemplating and drawing around a city, village, house, or cowpen, no undesirable ones will enter there.
2.4.3-5	When he sees his enemies with uplifted weapons, he should mentally recite the Devavratas. They do not harm him. When there is danger from non-human beings, he should recite the Kyaniyatritaya. They do not hurt him.
2.4.6	Having risen from the path, he should go to the group, singing the verses, without any expectation. Having gone half the way, he returns. He is not harmed on the path.
2.4.7	No one else should sing it. He should be addressed with the words "You are a sage." He should turn to the right at the end of the half-verse and go away, looking back. Having returned safely, he comes back, not dying on the way.
2.4.8	"This is the new dawn." One should always recite this at the time of going to bed. "What has been done today, O Indra, the slayer of Vrtra?" One should recite this at the wrong time for going to bed.
2.4.9	Having fasted on roots and fruits for a month in the forest, he should stand before the rising sun on the full moon day of Rohini or Pushya, saying, "I have overcome darkness." From then on, he should practice that vow and eat that food for four years, and he abandons old age and death. He abandons old age.
2.5.1	Then there is one turn of human beings, whether women or men.
2.5.2	Having undertaken the vow by hearing.
2.5.3	Having made an effigy of the deceased with the sand of the preceding Pratipat, with the head towards the east in the morning, with the head to the south at midday, with the head westwards in the afternoon, with the head northwards at midnight, having occupied the heart region of that, one should recite this Brāhmaṇa: "This is the one" for a Brāhmaṇa, "This is the sheath" for a Kṣatriya, "This is Vibhūṣaṇ" for a Vaiśya, "This Indra is the giver" for a Śūdra, "We have gone beyond darkness" for all. One should make a golden effigy for a Brāhamaṇa, a silver one for a Kṣatra, a Udumbara one for a Vaiśa, an iron one for a Śūḍra, or an Udumbara one (for all). Having placed the effigy with the head towards east in the fire, one should offer ghee with the Udumbara ladle, reciting "This is the Savi" and "This is the Guṇī".
2.5.4	Having made an effigy of the crushed wheat, which has been broken with the nails, and having sweated it in the paste, having anointed it with mustard oil, having shaved off the limbs with a razor, one should offer it into the fire with the verse "May the weak ones" and should eat the remaining himself. If not, one would die.
2.5.5	Now, he who desires to make a family member turn back, should stand for one night with a razor attached to him, reciting the verses beginning with "The sweet-intoxicated ones" and ending with "The most sweet-intoxicated". One who recites these verses, either one by one or all of them, can make a family member return in one night.
2.5.6	In two nights he becomes the attendant of a king, in three nights a king, in four nights a village, in five nights a city, in six nights a country, in seven nights the Asuras and Rakshasas, in eight nights the Pitrs and Pisachas, in nine nights the Yakshas, in ten nights the Gandharvas and Apsarases, in half a month Vaishravana, in a month Indra, in four months Prajapati, and in a year whatever there is in the world, all that becomes his.
2.6.1-3	Now, then, of the auspicious ones. "He who Indra brought up high, that is your birth, O Soma." One who uses these nine or ten verses, either one or all, becomes auspicious. "One who always propitiates Indrani with the seven and eight verses beginning with "duandva". becomes auspicious.
2.6.4	One who eats for a year, without spitting, the Apamārga plant smeared with ghee and honey, with the verse, "May the auspicious Agni be offered to us," becomes fortunate.
2.6.5	One who conquers with these two verses, "The auspicious one is variegated," becomes fortunate. Here is the corrected and aligned text:
2.6.6	One who recites the verse "This Indra" becomes dear to all people.
2.6.7	"He who is dear to heaven, the wise one" - one should recite these verses to the one whom he desires. The one desired by him is the one who desires him.
2.6.8	One should recite these two verses to the one who is not his equal: "Indra, the king of the universe, is reciting." One should recite these two.
2.6.9	One should offer the foot-dust of her in the fire with these two verses: "These are the paths below heaven."
2.6.10	Having requested oil, he should rub his hands and heat it in the fire, saying, "O Agni, come! O Agni, come!" With the second verse, he should stop when the oil has been heated.
2.6.11	Having dried the Priyanguka, Sahā, Sahādeva, Adhyanda, Bhūmipāśaka, Sañcāñcapuspi, and Gojarayuka, which are not touched by the hand, he should make a powder of them on that day. Having mixed them with water three times with the mantra "Agni āyāhi vītayā," he should not see or touch them with impurity. That unguent is applied with it. Whichever one he touches, she desires him.
2.6.12	One should not touch a woman who is not bathed.
2.6.13	When the leaves of the lotus are gathered, then one should raise it and cut it off four fingers on both sides, and remove the middle. With that one should anoint oneself, and also the lower part. With the verse "May your wealth be in the lower part, O Lord of the World," those who are in the house and those who have renounced the world become obedient.
2.6.14	One who has fasted for one night should recite the verse "Come, O Soma, to us" at night on the new moon day at a crossroads and sprinkle with it. The one who is sprinkled three times is given.
2.6.15	"Your calves" is for a male.
2.6.16	Having fasted for three nights, on the fourteenth day of the dark fortnight, having brought charcoal from a corpse, having arranged a burning wood in the crossroads, one should offer oblations to Matsya and Krikara with the verses "O Agni, you are the great one" and "Agni is the Vritra". Having offered these two oblations, one should apply them with green vitriol and cow heart blood. One should apply them to the north, to the one whom one hates. One should scatter the bed of the one whom one dislikes with the verse "May he be the most afflicted". One should scatter the house with ashes. One should not reside in a single village.
2.6.17	Now, then, of those who are famous, you are Indra, the famous one. The famous one is purifying the famous one. These are one or many, or all. One who uses them becomes famous.
2.6.18	One should offer with Priyanguka in the Pushya constellation, saying, "May I be famous." That is an unguent. One should anoint oneself with it. For a year one becomes famous. One becomes famous.
2.7.1	Now, then, of those who desire Brahmic glory. One who recites the Rathantara, Vamadevya, Shyaita, Mahanama, and Yagyaya-jya hymns, either one or many or all, becomes one who possesses Brahmic glory.
2.7.2	One who recites the hymn "Who is that Indra?" twice becomes one who possesses brahmic glory and has faith.
2.7.3	One who recites the six-fold mantra becomes endowed with brahmic lustre.
2.7.4	One who fasts for eight nights and recites the heart of Prajapati after reciting the Brahmi mantra a thousand times, becomes endowed with the Vedas.
2.7.5	One who eats flowers and water mixed with honey for a year becomes endowed with the knowledge of the Vedas.
2.7.6	He should eat Soma for a month. The Sadaspati is wonderful. With this, one becomes a reciter of the Veda.
2.7.7	One should always recite this. One becomes a reciter and a compiler of the Veda.
2.7.8	Having raised the tongue of Bharadvaja's daughter, and having made it into powder on that day, one should mix it with honey and ghee and make the boy eat it before eating. With the verse "Indra is the singer, the great one," he becomes the reciter of the Veda.
2.7.9	One should eat for a year with the powder of half the weight of turmeric, following this method. One becomes eloquent.
2.7.10	One should eat with the powder of vacā, following this method, with the vow of speech, as before. One becomes eloquent.
2.7.11	He should offer a thousand times the fish, the eyes of fish, the conch, the flowers, the pearls, the oysters, and the ghee, with the Barhadgirena mantra. He should eat with this mantra. He becomes one who recites the Vedas.
2.7.12	He should make a gem of three parts of Vaca, having established the fire in a covered place, and having placed the gem, he should offer it with the Vratas of speech, a hundred times. He who wears that gem on his neck or head becomes the best in debates.
2.8.2	But not thee, O Agni, not thee, O lord of wealth, this Agni is born for great prosperity. The Soma flows not for the one who is beyond and the one who is below. The creator of thoughts. All these are his constant offspring. The Rathantara is the group of Vyahrtis. The two of them are one or many. One who employs all of them obtains handsome and long-lived sons.
2.8.3	Having cooked red rice in the milk of a cow having a calf of similar colour, one should offer it to Prajapati Parameṣṭhin in a thousand oblations. Having taken it back with this very (oblation), one should eat it along with one's wife. One obtains handsome and long-lived sons.
2.8.4	Having cooked a potful of black sesamum seeds in the milk of a black cow with a black calf, one should offer it on the fifth day of the dark fortnight when the moon has risen, reciting the verse "These plants are yours, O Soma." One should offer it a thousand times. Having taken it back with the same verse, one should eat it together with one's wife. One obtains handsome and long-lived sons.
2.8.5	One should offer ghee in the Kumbhya rite with the Purushavrata rite, eating it successively in the north. One obtains handsome and long-lived sons.
2.8.6	He who goes in front of the Uḍaṅga-vāsins, having taken him, should make a three-fold (rite) on that day. Having established the Agni and having offered the Avṛta, having placed the gem, he should offer with the third verse, "The thousand times born gem, the gem that is born with the sun." He who wears that gem around his neck or on his head becomes one who is followed by a hundred followers. He becomes one who is attended by a hundred followers.
3.1.1	Now, then, about grains.
3.1.2	The use of white garments, bathing, anointing, not spitting, always applying collyrium, speaking the truth, keeping a good mind, and shaving the hair, beard, body hair, and nails, except on the occasion of a vow, one should approach one's wife only at the proper time. One who observes this vow becomes prosperous, glorious, nourished, and blessed. One who uses any one, many, or all of these groups becomes prosperous, glorious and nourished.
3.1.3	And he should always recite this verse: "May the mountain protect our son." And he should conclude with this verse: "Let there be prosperity in me." He becomes prosperous.
3.1.4	He should always sip three mouthfuls of water, reciting these two verses: "This is the thousand-fold man" and "Let there be Prosperity." And he should conlude with this verse: "Let there be prosperity." He becomes prosperous.
3.1.5	He should offer the mixture of barley flour, curd, honey and ghee with the verse, "May the drops enter you." He should drink it with the verse, “May the drops enter me, may I not exceed Indra.” He removes misfortune.
3.1.6	One should buy ghee with the verse "Come, for you are very beautiful." One should drink it with this verse. One removes misfortune.
3.1.7	Having ground mustard seeds with the verse "Indra, with the fish-fat, etc." and mixed them with the verse "O Indra, with the fish fat", he removes all the bad luck by applying it to his face, hands, and all the limbs.
3.1.8	He should offer mustard seeds into the fire with the verse, "O Indra, whatever is firm and whatever is not firm," thereby he obtains gold.
3.1.9	He should offer rice and barley into the fire with this verse, "The sun shines, the sun sets," thereby he obtains grain.
3.1.10-11	Having placed a mixture of rice and barley with ghee and honey in his mouth, he should recite the following mantra with mental concentration and conclude with the word "svāhā": "May the great one be in the east." One who always recites this mantra will obtain a thousand. One should offer a thousand oblations with the mantra "These indeed see you." One will obtain a thousand.
3.1.12	One who has fasted for a month should offer oblations of Bilva leaves smeared with curd, honey and ghee, eight thousand times with the Śrāyantaīya mantra. If successful, they should be made of gold, if unsuccessful, of silver.
3.1.13	One should chew the betel nut smeared with ghee and honey, reciting the two mantras "Gavyā" and "Oṣu". One who does not spit and chews it for a year, obtains a thousand (cows). One obtains a thousand.
