6.1.1	Prajapati was this (universe).
6.2.44	Therefore, one should put it in a cold corner.
6.2.45	He gave Agni his own dear abode.
6.2.46	He bestows food upon us.
6.2.47	One who knows this becomes a giver of food.
6.3.1	When the Sun and Agni were in the same womb,
6.3.2	then the Sun rushed upwards.
6.3.3	His semen fell down.
6.3.4	Agni took it from the womb.
6.3.5	He churned it with iron.
6.3.6	When it was being churned, he put it into a cow.
6.3.7	That is this milk.
6.3.8	Therefore, he heats the iron vessel in the fire.
6.3.9	When one offers Agnihotra with milk,
6.3.10	one offers it to that very Aditya.
6.3.11	For this is indeed Agnihotra.
6.3.12	Milk is indeed a bull, and rice-grains are a cow.
6.3.13	Aditya is a bull.
6.3.14	When one makes an offering of Agnihotra with barley-gruel,
6.3.15	He offers that very Aditya.
6.3.16	For this is indeed the Agnihotra.
6.3.17	One is circular, the other is not circular.
6.3.18	What is circular is Asura.
6.3.19	What is not circular is the divine vessel.
6.3.20	Therefore one should make the Agnihotra vessel not circular.
6.3.21	One should not sprinkle with milk.
6.3.22	One should also not sprinkle with water.
6.3.23	If one were to sprinkle it with milk, it would not be sprinkled.
6.3.24	If one were to pacify it with water,
6.3.25	If one were left with a dripping pot, one should sprinkle it with water mixed with that.
6.3.26	That is not sprinkled with milk.
6.3.27	Nor with water.
6.3.28	If one sprinkles it, it is sprinkled.
6.3.29	If it spills over, one should sprinkle with the pot in which the Agnihotra is offered.
6.3.30	This is the same.
6.3.31	It does not go beyond here.
6.3.32	It settles down with this alone.
6.3.33	This becomes its settled state.
6.3.34	One sprinkles with water.
6.3.35	Water indeed stands for sprinkling.
6.3.36	That is the peaceful pair, water and milk.
6.3.37	If while being milked it breaks, one should milk it with another vessel.
6.3.38	That itself is the atonement there.
6.3.39	If it spills while being poured, or if it spills after being poured, one should pour it into another vessel, and then offer it.
6.3.40	That is the atonement there.
6.3.41	If it spills while being carried, or if it is spilled after being carried, or when it is near the fire and not yet offered, one should again carry it, pour it into another container, and then offer.
6.3.42	That is atonement there.
6.3.43	Where it would fall, one should pour water there.
6.3.44	Water is the atonement for a sacrifice.
6.3.45	He atones with water.
6.3.46	One is rejected, another is not rejected.
6.3.47	The rejected one is for one who desires cattle, the not rejected one is for the one who desires brahmic glory.
6.3.48	This is the heat that is rejected, namely the Agnihotra.
6.3.49	When one offers with the not rejected (Agnihotra),
6.3.50	He becomes endowed with brahmic glory.
6.3.51	If one does not obtain milk, one should offer with ghee.
6.3.52	Because that is not to be rejected, it is for the sake of cattle.
6.3.53	The lord, restless, burns the cattle with grief.
6.3.54	The rejected (milk) is for one who desires cattle.
6.3.55	That is peaceful, the union of water and milk.
6.3.56	If one cannot obtain milk, one may offer with barley-gruel.
6.3.57	That is to be sprinkled, peaceful, the couple, for cattle, water and rice.
6.4.1	At the Agnihotra, the husband and wife commit adultery.
6.4.2	If he sprinkles it towards the east, the husband dies first.
6.4.3	If he were to sprinkle it towards the west, the wife would die first.
6.4.4	One should sprinkle it towards the north.
6.4.5	One should carry the full vessel towards the north when both are aging.
6.4.6	Then the equal, then the equal, then most equal, then the best.
6.4.7	His sons prosper in the order of their seniority.
6.4.8	One should raise the equal to the foremost.
6.4.9	Then more, then more, then full, then most, then more.
6.4.10	One's food and drink increase more and more.
6.4.11	The youngest of his sons becomes the steward.
6.4.12-18	He who desires should lead them all to the same age. "He who desires, 'May all my sons attain the same age,' The father of all sons desires prosperity. All of them attain the same age. They do not surpass each other. He leads them to the same age four times. He leads the animals to him who has four feet.
6.4.19-26	He gives him animals with two feet. "He should say, "Give me animals." He should place it behind. Animals are the Gārhapatya, animals are milk. This is the limit of animals. He should not place it behind. The Agnihotra is indeed the oblation. The sacrificer is the oblation.
6.4.27	The oblation indeed removes the sacrificer.
6.4.28	One should place it from the north.
6.4.29	The Agnihotra is indeed impure.
6.4.30	Agni is the purifier.
6.4.31	When one carries the Samidha Agni,
6.4.32	he purifies it by that.
6.4.33	When one offers the oblation in front after placing it behind, one indeed meditates on it.
6.4.34	When one takes the Samidha Agnı,
6.4.35	He thus pleases him and makes him not to be heedless.
6.4.36	From this Garhapatya fire, that earlier fire was produced.
6.4.37	This indeed is Prajapati.
6.4.38	That earlier fire.
6.4.39	He took it from here and having gone forward, offered it.
6.4.40	Therefore, having placed the Agnihotra behind, they offer in front.
6.5.7	He, Prajapati, said:
6.5.8	"I choose the oblation."
6.5.9	"I will make these (oblations) taste good."
6.5.10	He chose this kindling wood.
6.5.11	Therefore, it is one.
6.5.12	For Prajapati is one.
6.5.13	He released them to Agni.
6.5.14	Agni made them taste good.
6.5.15	When this (kindling wood) is placed, the plants taste good for the Agnihotra-offerer.
6.5.16	His food is well-digested, who knows this.
6.5.17	One makes many (offerings).
6.5.18	One should offer both oblations to the kindled (fire).
6.5.19	Only one should be offered.
6.5.20	For the Agnihotra is kindled only once for all the sacrifices.
6.5.21	"Give me life."
6.5.22	"Give me radiance."
6.5.23	"Give progeny to me."
6.5.24	One should place it near the door.
6.5.25	The Agnihotra is indeed creation.
6.5.26	If he does not offer, his offspring would go away.
6.5.27	If he offers,
6.5.28	then his offspring are settled.
6.5.29	Therefore they stand up.
6.5.30	The fire is the light.
6.5.31	The light is in the fire.
6.5.32	One should offer the Agnihotra in the evening.
6.5.33	He impregnates the embryo with the speech of the pregnant one.
6.5.34	He impregnate the embryo with the dual speech.
6.5.35	The sun is the light.
6.5.36	Jyoti is the Sun.
6.5.37	In the morning.
6.5.38	He generates it with the speech of the pregnant one, with the union.
6.5.39	What is known and what is unknown, that is the union.
6.5.40	Whatever is with the Yajus and with the mind, that is the couple.
6.5.41	That is the Ajami.
6.5.42	The evening offering to Agni is the offering to Agni.
6.5.43	The morning offering is to Surya.
6.5.44	Agni is the one who causes to flow.
6.5.45	Surya is the one who generates.
6.5.46	One should offer the evening Agnihotra when the sun has set.
6.5.47	One should offer the morning Agnihotra when the rising sun is visible.
6.5.48	Agni himself causes the sun to rise and places the embryo of the night.
6.5.49	He generates it in the morning with the pregnant and dualistic speech.
6.5.50	This one, being born, is followed by offspring.
6.5.36	Jyoti is the Sun.
6.5.37	In the morning.
6.5.38	He generates it with the speech of the pregnant one, with the union.
6.5.39	What is known and what is unknown, that is the union.
6.5.40	Whatever is with the Yajus and with the mind, that is the couple.
6.5.41	That is the Ajami.
6.5.42	The evening offering to Agni is the offering to Agni.
6.5.43	The morning offering is to Surya.
6.5.44	Agni is the one who causes to flow.
6.5.45	Surya is the one who generates.
6.5.51	He who offers the Agnihotra thus, prospers with offspring and cattle.
6.5.52	This is the post of the Agnihotra.
6.5.53	One should offer the Agnihotra after having skipped the morning oblation.
6.5.54	One thus encircles him.
6.5.55	One should go forward and offer in the evening.
6.5.56	One thus deposits the embryo.
6.5.57	One should return and offer in the morning.
6.5.58	One thus generates.
6.5.59	They say:
6.5.60	One should offer the oblation while advancing.
6.5.61	For by advancing one accomplishes the sacrifice.
6.5.62	What one offers is for the gods.
6.5.63	What one directs is for appeasing Rudra.
6.5.64	What one smears is for the ancestors.
6.5.65	What one eats is for humans.
6.5.66	Therefore the Agnihotra is called "for all the gods".
6.5.51	He who offers the Agnihotra thus, prospers with offspring and cattle.
6.5.52	This is the post of the Agnihotra.
6.5.53	One should offer the Agnihotra after having skipped the morning oblation.
6.5.54	One thus encircles him.
6.5.55	One should go forward and offer in the evening.
6.5.56	One thus deposits the embryo.
6.5.57	One should return and offer in the morning.
6.5.58	One thus generates.
6.5.59	They say:
6.5.60	One should offer the oblation while advancing.
6.5.61	For by advancing one accomplishes the sacrifice.
6.5.62	What one offers is for the gods.
6.5.63	What one directs is for appeasing Rudra.
6.5.64	What one smears is for the ancestors.
6.5.65	What one eats is for humans.
6.5.66	Therefore the Agnihotra is called "for all the gods".
6.6.1	The Brahmanas named Praiyamedhas.
6.6.2	They knew everything.
6.6.3	They knew it together.
6.6.4	They did not perform the Agnihotra together.
6.6.5	One of them offered the Agnihotra once, another twice, and another thrice.
6.6.6	Those who offered once asked those who offered twice and thrice:
6.6.7	"To whom do you offer?"
6.6.1	The Brahmanas named Praiyamedhas.
6.6.2	They knew everything.
6.6.3	They knew it together.
6.6.4	They did not perform the Agnihotra together.
6.6.5	One of them offered the Agnihotra once, another twice, and another thrice.
6.6.6	Those who offered once asked those who offered twice and thrice:
6.6.7	"To whom do you offer?"
6.6.8	It is one only.
6.6.9	He said:
6.6.10	"I offer to Prajapati, to Prajapatis."
6.6.11	Those who offered twice asked him:
6.6.12	"To whom do you offer?"
6.6.13	"To Agni in the evening and to Prajapati."
6.6.14	He said: "
6.6.15	To Surya in the morning and to Prajapti."
6.6.8	It is one only.
6.6.9	He said:
6.6.10	"I offer to Prajapati, to Prajapatis."
6.6.11	Those who offered twice asked him:
6.6.12	"To whom do you offer?"
6.6.13	"To Agni in the evening and to Prajapati."
6.6.14	He said: "
6.6.15	To Surya in the morning and to Prajapti."
6.6.16	Of those who offered three times, the others asked him,
6.6.17	"To whom do you offer?"
6.6.18	He said, "To Agni, Surya, and Prajapati."
6.6.19	They said,
6.6.20	"I offer to them in the evening,
6.6.21	and to them in the morning."
6.6.22	Of those who offered twice, he succeeded,
6.6.23	and became the most prosperous.
6.6.16	Of those who offered three times, the others asked him,
6.6.17	"To whom do you offer?"
6.6.18	He said, "To Agni, Surya, and Prajapati."
6.6.19	They said,
6.6.20	"I offer to them in the evening,
6.6.21	and to them in the morning."
6.6.22	Of those who offered twice, he succeeded,
6.6.23	and became the most prosperous.
6.6.24	He excelled the other two in progeny and glory.
6.6.25	His progeny became equal to that of the other two.
6.6.26	Therefore, there should be two Hotr priests, one reciting the Yajus verses and the other reciting the Mantras.
6.6.27	One attains the same prosperity as the one who attained it.
6.6.24	He excelled the other two in progeny and glory.
6.6.25	His progeny became equal to that of the other two.
6.6.26	Therefore, there should be two Hotr priests, one reciting the Yajus verses and the other reciting the Mantras.
6.6.27	One attains the same prosperity as the one who attained it.
6.6.28	If the fire of the Agnihotra goes out before the evening Agnihotra is offered, one should take the Agnihotra that has been placed on the ground, and run with the eastern fire, and follow it with the Agnihotra.
6.6.29	One should offer it with the Agnihotramantra.
6.6.30	If a learned brahmin is available, he should recite the Uddhara mantra.
6.6.31	One should recite the Udhara mantra with all the verses.
6.6.28	If the fire of the Agnihotra goes out before the evening Agnihotra is offered, one should take the Agnihotra that has been placed on the ground, and run with the eastern fire, and follow it with the Agnihotra.
6.6.29	One should offer it with the Agnihotramantra.
6.6.30	If a learned brahmin is available, he should recite the Uddhara mantra.
6.6.31	One should recite the Udhara mantra with all the verses.
6.6.32	If one has taken away wealth earlier, one should give it back.
6.6.33	One is released from the fault by the unmoving one.
6.6.34	If another fire follows the Agnihotra fire not offered in the morning, one should offer it after taking the previous fire and churning out another one.
6.6.35	That itself is the atonement there.
6.6.32	If one has taken away wealth earlier, one should give it back.
6.6.33	One is released from the fault by the unmoving one.
6.6.34	If another fire follows the Agnihotra fire not offered in the morning, one should offer it after taking the previous fire and churning out another one.
6.6.35	That itself is the atonement there.
6.6.36	If he should hurry, then having first approached the fire, and then having taken it up facing east, he should offer.
6.6.37	That itself is the atonement there.
6.6.38	"The one who does this, "he makes the former fire the later one."
6.6.39	Having churned out the fire elsewhere, and having taken it up, he should offer it.
6.6.40	That itself there is the atonement.
6.6.41	Then, on the next day, one should perform the Isti to Agni Tapashvin, Janadvin, and Pāvakavata.
6.6.42	When Agni is heated, then plants are born, the purifying ones.
6.6.43	He makes the plants, the purifying ones, his share.
6.6.44	He does not know the Garhapatya.
6.6.45	When they do not make it for him, then he follows.
6.6.46	The two paths on either side of it are the New and Full Moon sacrifices.
6.6.47	The path in the middle is the Agnihotra.
6.6.48	Thus, indeed, the Agnihotra-sacrificer and the New and Full-Moon sacrificer shine forth in heaven.
6.6.49	Prajapati, indeed, grasped this altar with his mind.
6.6.50	Whatever he gives there to the Agnihotra-sacrifi-cer, that is for the sacrificial grass.
6.6.51	Just as the Nārāśaṃsa hymns are recited when the Soma is pressed, so does he give when he gives whatever he gives.
6.6.52	In the middle of the sacrifice, heaven and earth are the Sadas and Havirdhāna sheds, the days and nights are the kindling woods, the directions are the enclosing sticks, the sprinkling water is the Prusha, the herbs are the sacrificial grass, the sacrificer is the sacrificial post.
6.6.53	One who is not born should not speak.
6.6.54	Becoming an animal, one is born.
6.6.55	Every day the animals are born, and then the worthy ones.
6.6.56	There is no Agnihotra for a king.
6.6.57	For he kills without the vow.
6.6.58	One should not break the vow.
6.6.59	He should offer on the full-moon and new-moon nights.
6.6.60	For they protect the vow.
6.6.61	The Brahmanas should bring food to his house on the days when he does not offer oblations.
6.6.62	Brahmana is Agni.
6.6.63	He offers it to Agni.
6.6.64	It becomes tasty and desirable for him.
6.7.1	With speech, indeed, men were born. The gods and the Asuras were born with speech.
6.7.2	Whatever the men spoke, that became true.
6.7.3	Those gods and demons said to Prajapati:
6.7.4	"This is the truth."
6.7.5	He established the truth of speech.
6.7.6	"Bhuva, Bhuva, Sva."
6.7.7	What was the fourth, that he placed among men.
6.7.8	This is the untruth of speech, what men say.
6.7.9	"Bhur."
6.7.10	This Agni was created, the Rathantara, the Trivrit, the Gayatri.
6.7.11	"Bhuvar iti" (Thus is Bhuvar).
6.7.12	The atmosphere, the wind, the Vamadevya, the Tristubh, the fifteen.
6.7.13	"Svar iti" (Thus Svar).
6.7.14	Heaven, the sun, the Brihat, the Ekavimsa, the Jagati.
6.7.15	"Bhur Bhuvah Svar Agni Jyoti Jyoti Agni" (Agni is the light, the light is Agni).
6.7.16	One should offer Agnihotra.
6.7.17	This is indeed the truth of speech.
6.7.18	This is the pair.
6.7.19	This is Brahman.
6.7.20	With that alone one offers.
6.7.21	One places these bricks.
6.7.22	Having placed these bricks, one ascends the highest heaven.
6.7.23	One becomes the highest among equals for whom the Agnihotra is offered thus.
6.7.24	One should restrain speech when the Agnihotra is being carried.
6.7.25	Prajapati created beings by means of austerities.
6.7.26	What he did not utter, that itself tormented him.
6.7.27	The Agnihotra is indeed creation.
6.7.28	This is the vow of creation.
6.7.29	He created them with the words, "May they arise."
6.7.30	When they are like drops, then he should look at them.
6.7.31	"May they arise."
6.7.32	May I be uplifted with offspring and cattle.'
6.7.33	The Agnihotra is indeed the uplifting and the prosperity.
6.7.34	He who offers the Agnihotra thus becomes uplifted with offspring and with cattle.
6.7.35	One looks at the Agnihotra with Agni.
6.7.36	The Agnihotra indeed is the begetting.
6.7.37	Agni is the begetter.
6.7.38	One indeed begets.
6.7.39	The Agnihotra is indeed semen.
6.7.40	One should not perform the rite of sprinkling.
6.7.41	One should sprinkle semen.
6.7.42	Not the unsprinkled one.
6.7.43	It should be between.
6.7.44	O Rudra, be pleased.
6.7.45	O Anarbha, be pleased. 
6.7.46	O thief, salutations to you."
6.7.47	Having offered, one should face north.
6.7.48	These are indeed the fierce names of Rudra.
6.7.49	They (the gods) destroy him who, desiring a share in the Agnihotra, injures his subjects.
6.7.50	He (the sacrificer) repels them.
6.7.51	He appeases them.
6.7.52	When this god (Agni) is about to injure his subjects, he should offer the oblation with the verse, "O Jatavedas, do thou come with thy companion, for the oblation on the earth by day, svāhā."
6.7.53	One should offer Agnihotra for twelve nights.
6.7.54	Or the body of Agni Jātavedas, by that he destroys the offspring, desiring to have a share in the Agnihotra.
6.7.55	He pleases her with that.
6.7.56	He offers to her.
6.7.57	That is not a sin.
6.7.58	Of the two offerings, this is the Agni offering, the other is the Agni offering.
6.7.59	They kindle Agni Vaiśvānara for a year.
6.7.60	There is no one who has not offered oblations to this (fire) even in a year, nor to Vaisvānara.
6.7.61	The logs are the months.
6.7.62	The big embers are the seasons.
6.7.63	The smaller ones are the half-months. The crackling is the day and night.
6.7.64	The gold is the light, that is the fire of Brhaspati.
6.7.65	What is neither gold nor red, that is the Mitra fire.
6.7.66	What is red, that is Varuna.
6.7.67	What is smoky, that is Visvedeva.
6.7.68	Where the fire moves like a flame among the embers, that is its mouth, called Avī.
6.7.69	That is Brahman.
6.7.70	One should offer in that.
6.7.71	One eats with the mouth.
6.7.72	The limbs become Avī in the offspring.
6.7.73	He becomes more prosperous every day, for whom the Agnihotra is offered thus.
6.8.1	The Garhapatya is the cooker of rice, the Ahavaniya is the invitation, the Madhyama is the offering to the gods, the Anumantranam is the invitation.
6.8.2	This indeed is the Viraj with five feet.
6.8.3	One attains her.
6.8.4	One obtains her.
6.8.5	He who has obtained this, he becomes the best among men.
6.8.6	If the time for the evening Agnihotra offering has passed,
6.8.7	one should say, "May the faults of the house be destroyed, svāhā!"
6.8.8-16	He should offer. That itself is the oblation there. By that his (oblation) is not passed over. If the time for the morning Agnihotra offering has passed, One should offer with the verse, "To the day, svāhā!" He should offer. This itself is the oblution there. By this his (oblation is) not passed over. One should not say svāhā.
6.8.17	The word "svāhā" is the offering of the Agnihotra.
6.8.18	When speech speaks, then one should offer.
6.8.19	That is the Vaṣaṭkāra of the Agnihotra
6.8.20	"Agni is united with the day and earth."
6.8.21	He pleases those very ones, heaven and earth.
6.8.22	He obtains them.
6.8.23	"United with the god Savitr."
6.8.24	For there is no offering to Savitar that is not true.
6.8.25	"With Pusan, in the sky, together."
6.8.26	Pusan is cattle, the sky is cattle.
6.8.27	He indeed wins cattle.
6.8.28	"With the night, with Indra, together, svāhā."
6.8.29	He indeed offers to the night.
6.8.30	For there is no offering that is not true to Indra.
6.8.31	The gods formerly offered Agnihotra.
6.8.32	Therefore, before that, Brihat and Mahān were born.
6.8.33	"With the Svāhā of Indra, the day, together with the sun."
6.8.34	The day is indeed Bṛhat, the sun is Bṛhat.
6.8.35	This day and sun are indeed conquered and offered to him.
6.8.36	The night is indeed Anushtubh, the day is Trishtubh.
6.8.37	And he offers this oblation both at night and during the day.
6.8.38	"He offers with the formula, "O Agni, Adabhya, do thou accept, svāhā."
6.8.39	He offers the northern oblation.
6.8.40	Just as one offers to Agni, so does he do this.
6.8.41	"O Agni, do thou accept thy own body."
6.8.42	"The heaven and earth are not broken."
6.8.43	"Do thou bestow strength upon us."
6.8.44	Having taken up grass, he strikes (the fire).
6.8.45	This is indeed the settled form of his own.
6.8.46	This is indeed Agnihotra's unpacified form which destroys offspring.
6.8.47	When one strikes (the fire) after taking up grass,
6.8.48	he pacifies it with that.
6.8.49	"O Agni, lord of the house, accept (this oblation) with svāhā."
6.8.50	He offers on the Garhapatya with the ladle.
6.8.51	Just as one performs the Patnīsaṃyājya rites, so does he do this.
6.8.52	He indeed meditates on this.
6.8.53	When he offers into the fire after placing it behind,
6.8.54	when he offers into the Garhapatya with the ladle,
6.8.55	he thereby pleases him.
6.8.56	He makes him not meditate.
6.8.57	The Agnihotra-offering is made in the mouth; the offspring is born in the mouth; he who offers the Agnihotra thus, becomes more and more prosperous.
7.4.1	The Stoma should be employed in the Agnihotra.
7.4.2	He who employs the Stoma in the Agnihotra becomes more and more prosper- ous.
7.4.3	"They approach the sacrifice."
7.4.4	These are the creatures.
7.4.5	They are the Sat-Sat Stoma.
7.4.6	He employs them.
7.4.7-17	"He shines after the ancient (gods). The gods are the ancient ones. They are the Sat-Sat Stoma. He invokes them for heaven. "O Maghavan, do thou come near. "Do thou come near again." This (earth) is the coming near. He indeed stands firm in this (earth) for heaven. Those beings who are to be born, they are the coming near. He invokes them. He indeed invokes them.
7.4.18	"Thy chariot, O Dūdbha, is around thee."
7.4.19	He thus takes hold of the Stoma yoked with it.
7.4.20	"Agni is the head of heaven, the crest."
7.4.21	This is the one with the seed, the one with the animals, the one with two (kinds of) seed.
7.4.22	This is the Gāyatrī that has taken up the burden, the first one.
7.4.23	"Both of you, O Indra and Agni, are invoked."
7.4.24	The sun is Indra.
7.4.25	He enters the fire at night.
7.4.26	Both of them are together in the same place.
7.4.27	That which is the first verse of the Triṣṭubh, that is the first verse in the Triṣṭūb.
7.4.28	“This one here first came with the creators.”
7.4.29	For Agni was first established in this world.
7.4.30	That which was the first verse of Jagatī, that is the Jagatī.
7.4.31	This is your natural place of birth.
7.4.32	This is indeed the natural place of birth of Agni, Agni is the sun.
7.4.33	That which is the Dhura metre, the Anushtubh, that is the Anushtubha metre.
7.4.34	I have done for the one who gives ghee.
7.4.35	This is Agni's animal form, which is the one who gives the ghee.
7.4.36	He takes it up.
7.4.37	The animals are his attendants.
7.4.38	The animal is Agni.
7.4.39	Just as a cow, a horse, or a man ages, so does this (Agni) when deposited.
7.4.40	One should attend to the Agni-installation with verses.
7.4.41	These are his limbs.
7.4.42	He makes him new again with them.
7.4.43	When one attends to (Agni) with verses,
7.4.44	He makes it full again with the same (water).
7.4.45	It becomes as it was before.
7.4.46	He approaches.
7.4.47	This is his union.
7.4.48	This is indeed his self-control.
7.4.49	This is really his begging.
7.4.50	As one approaches one who is better, and salutes him, so does he do this.
7.5.1	One should approach the new moon with the Agniṣṭoma sacrifice.
7.5.2-8	The full-moon sacrifice is the share of Agni and Soma. He gives him over to them. They protect him from going away. The dark half of the moon is for Indra and Agni. The new-moon sacrifice is Indra and Agni's share. He gives it over to them. They protect him from going astray.
7.5.9	Agni and Soma have given him to the former half of the month.
7.5.10	Indra and Agni to the latter half of the month
7.5.11	The gods, knowing this, protect him who, knowing this, worships Agni, without departing from him.
7.5.12	To whom is Agni worshipped?
7.5.13	They say:
7.5.14	This is the true worship of Agni.
7.5.15	He who worships Agni
7.5.16-22	This is the Agnihotra-fire. He worships in the evening, not in the morning. Therefore, in the evening he worships the guest with a gift, not so in the morning. The blessing of the sacrifice is there. When he worships the Agnihotra- fire. He seeks the blessing of the Agnihotra. Prajapati created the creatures.
7.5.23	He created Agni first.
7.5.24	Therefore he assigned to him this share, namely, the Agni-worship.
7.5.25	When one worships Agni.
7.5.26	He prospers him with his own share.
7.5.27	Agni desired to be yoked, as a horse desires a chariot.
7.5.28	When one performs the Agni-worship,
7.5.29	he yokes him.
7.5.30	He who knows this, he who knows this, indeed, obtains his desire.
7.5.31	He who obtains his desire among men, he becomes the more powerful.
7.5.32	He who, knowing this, worships Agni, he obtains, he becomes the powerful.
7.5.33	He approaches.
7.5.34	He indeed prospers by this.
7.5.35	"Agni is the head."
7.5.36	He indeed sprinkles the semen by this.
7.5.37	"Both of you, O Indra and Agni,"
7.5.38	The Prāṇāpāna are Indra and Agni.
7.5.39	He places the Prāṇāpaṇas in it.
7.5.40	"This is the first to be born here."
7.5.41	He places the embryo in it.
7.5.42	Following the ancient light of this.
7.5.43	He makes it the womb.
7.5.44	This is your natural place.
7.5.45	It generates and nourishes.
7.5.46	Those whose offspring are born thus knowing Agni, they are born as if created.
7.6.1	The day was of the gods, the night of the Asuras.
7.6.2	The gods were afraid of the night, of the darkness, of the death, of the Asuras, who were approaching them.
7.6.3	They approached Agni with the metres.
7.6.4	The Vasus are in the Gayatri metre, the Rudras in the Tristubh, the Adityas in the Jagati, the animals are in the water, the men are in the fuel.
7.6.5	Those gods have gone beyond the darkness, the blindness, the death, the night.
7.6.6	When he approaches Agni with the metres,
7.6.7	he goes beyond the darkness, blindness, death, the night,
7.6.8	"Thou art Agni, O Surya, with lustre."
7.6.9	He prays for this blessing on the fires.
7.6.10	"He prays, "May I be united with life and radiance."
7.6.11	He prays for this blessing for himself.
7.6.12	"He says, "May I unite with the light of the sun, O Agni."
7.6.13	He prays this blessing on the fire.
7.6.14	"He (the Adhvaryu) says, "May you be united with the praise of the sages."
7.6.15	The praise of the sages is the metres.
7.6.16	He makes him prosper with the metres.
7.6.17	"He says, "With the dear abode."
7.6.18	Cattle are the dear abode of Agni.
7.6.19	He makes him prosper with cattle.
7.6.20	"He (the Adhvaryu) says, "I go with life, with lustre, with offspring, with prosperity of wealth."
7.6.21	He prays for this blessing for himself.
7.6.22	"He makes him prosper, saying, "The kindlers have kindled thee for a hundred winters."
7.6.23	This indeed, Dasarma Aruṇi said to the Udgātṛ, "What should one do to Agni who is present in the fire-place?"
7.6.24	He said this to him.
7.6.25	He said:
7.6.26	"One should worship him with these two. Your brotherly enemy will be a hundred times worse."
7.6.27	Whoever worships with these two, his enemy becomes a hundred times worse.
7.6.28	The enemy, the sinner, goes to the end of life.
7.6.29	One eats food until one is alive.
7.6.30	O Agni, you are the life-giver.
7.6.31	Grant me life."
7.6.32	He seeks this blessing for himself.
7.6.33	O Agni you are the giver of youth.
7.6.34	Grant me youth."
7.6.35	He seeks for himself this blessing.
7.6.36	O Agni! You are the giver of body.
7.6.37	"Protect my body."
7.6.38	He prays for a blessing for himself.
7.6.39	"He says, "O Agni, fill up what is deficient in my body."
7.6.40	He fills up whatever is deficient in his body."
7.6.41	"You are the kindling of Agni."
7.6.42	"Protect me from being cursed, from Soma, from Yama."
7.6.43	They all protect him.
7.6.44	O Agni, by that heat of yours, do thou heat him who hates us and whom we hate.
7.6.45	He heats him back, he grieves him back, he burns him back, he worships him back, he drives him back.
7.6.46	This was said by Aruṇi:
