1.1.1	Brahma and Subrahma were indeed in the beginning.
1.4.7	The Adhvaryu may be blamed, saying, "What did the Hotṛ recite in the morning recitation?" He should say, "I did what was my duty. You are asking me about the duty of the Hotṛ." The Hotṛ may be blamed, "What did you recite in the morning?" He should say "I did what I was supposed to do. You are asking about the duty of a Hotṛ." The Udgātṛ may be blamed "What did the Hotr recite in the morning?" He should say, "I did what was mine to do. I sang what was to be sung.
1.4.8	If they say to him, "You have gone to darkness, not to light,"
1.4.9	He should say, "I have gone to the light, not to darkness. You have been enveloped by sin and darkness." He says this because he wants to strike them with sin and darkness.
1.4.10	He says, "I yoke the hundred-footed speech." Speech indeed is hundred-footed. The Rk is hundred-footed, hundred-footed. He makes himself and the sacrificer hundred-footed.
1.4.11	He says, "I sing the thousand-footed." The Sama indeed is thousand-footed. He indeed makes himself and the worshipper thousand-footed.
1.4.12	The Gāyatrī, the Tristubh, and the Jagat are the Gāyatrī metre, the Tristubha metre, and the Jagati metre. The morning pressing is Gāyatrī; the midday pressing is Tristubha; the evening pressing is Jagatī. He thus arranges the pressings in their proper places and in their proper forms.
1.4.13	"All forms are gathered together." Thus he gathers together wealth for himself and for the sacrificer.
1.4.14	"The gods have made the places."
1.4.15	He who knows this, makes the sacrifice his own.
1.4.16	The Kasyapas, it is said, used to chant the Asita-Mriga-sutra. Then the Brahmanas chose the young Kusuru-bindu, the son of Auddalaki, to chant the Udgitha. They said to him, "He is taking away our priestly duties. Let us dissuade him." When they approached him to dissuade him, he said, "Brahmanas, let me have your blessings. I have established the sacrifice in the morning. Just as one would repair what is broken or damaged in a house, so I will repair the sacrifice." They got up, saying, "Who told him this?"
1.5.1	Indra indeed spoke the eulogy to Vishvamitra, and Brahma to Vasishtha. The eulogy is speech, indeed, to Vishvamitra; the mind is Brahma to Vasishta.
1.5.2	This indeed is the Brahma of Vasishtha.
1.5.3	One who knows this should indeed make Vasishtha or Brahma.
1.5.4	Just as one who has a chariot with two yokes can go in whatever direction he wishes, so one who has this sacrifice with two yokes attains whatever desire he may have.
1.5.5	Now the mind is half of the vital airs. When he utters, he establishes it in speech. Just as one cannot go in any direction with a chariot having only one axle, so is this.
1.5.6	As much as they would do with a verse, a mantra, or a Saman, so much the Brahman-priest should restrain speech and desire.
1.5.7	Prajapati created these three Vedas. They, having been created, did not follow him. He pressed them. From them came forth the syllables "bhūr", "bhuvah", "svar". "Bhūr" came forth from the Ṛg verses. This became the world. "Bhuvah" came forth from Yajus. That became the world of the atmosphere. "Svar" came forth from Sāman. That became the heavenly world.
1.5.8	If one were to perform the rite of the Rgveda in a forceful manner, one should offer the oblation with the words "May the earth be svāhā" after approaching the Garhapatya. The Garhapatya indeed is this world, and the Rgveda is this world. Thus one nourishes this world and the Rg Veda with its own essence.
1.5.9	Now if the Yajurveda is to be performed in excess, one should offer the oblation with the formula, "To Bhuvah, svāhā," having gone to the Anvāhāryapacana. The Anvāhāryapacana is the world of the atmosphere, and the Yajurveda belongs to the world of the atmo- sphere. Thus he nourishes the world of the atmos- phere and the Yajur Veda with its own essence.
1.5.10	If the Samaveda is to be performed in excess, one should go to the Ahavaniya fire and offer the oblation with the formula, "Svāhā to the heaven." The Ahavaniya fire indeed is the heavenly world, and the Samaveda is the heavenly world. Thus he prospers the heavenly world and the Samaveda with its own essence.
1.5.11	Therefore, one should offer in all the fires in succession, whichever of them is most intense. Thus his sacrifice becomes un-diminished and accomplished.
1.5.12	Now when the sacrifice has been diminished or broken, it goes forth in three ways: to the gods in heaven, to the men in the third heaven, and to the fathers in the third heaven.
1.5.13	He should touch the gods. The sacrifice went to heaven. From there may it bestow wealth on me. The sacrifice went into the atmosphere. From there may the sacrifice bestow wealth on me, the sacrifice went to the earth. From there may sacrifice bestow wealth on the ancestors. From there may wealth be bestowed on me. Wherever the sacrifice went, from there may wealth be given to me. Thus he bestows wealth on himself and the sacrificer with his own juice.
1.5.14	Varuna indeed offers the sacrifice to Vishnu.
1.5.15	If the sacrifice is performed with excess, one should place it near the water. "The two who have conquered the dusts with their strength, the most heroic, the most powerful, who are the lords of the irresistible forces, Vishnu and Varuna, have gone to the one who was invoked first, svāhā. Thus he nourishes himself and the sacrificer with his own essence."
1.6.1	Those who worship Viraj, they, desiring Viraj, toil in the other world. But those who obtain her here, they, desiring viraj, toil in this world. They toil thus, their good deeds are exhausted, for they cannot in the other world do what they do not do in this world.
1.6.2	This is what Uddālaka Āruṇi said: "How can they worship or perform sacrifices, if they do not rejoice in the prosperity of the sacrifice?"
1.6.3	"I myself should worship at the right time, I myself should perform sacrifices at the right time. I do not rejoice in prosperity of the sacrifice."
1.6.4	Even if one has enjoyed the sacrifice for the sake of pleasure, one will attain greater and greater benefits by performing the sacrifice.
1.6.5	Now, indeed, he who knew this said: "As much as the Hotri does by means of the Rc, so much is the sacrifice in the Hotri; as much as the Adhvaryu does by means of Yajus, so much is it in the Adhvaryus; as much as Udgatr does by means of Saman, so much is in the Udgatrs; as much as Brahman does by means of Brahma, so much is there in the Brahman; where they cease.
1.6.6	Therefore, when that (sun) sets, Brahma should desire to speak.
1.6.7	If he speaks carelessly, he should mentally follow these Vyahrtis: Bhuvar, Bhuvah, Svar.
1.6.8	This is the Vishnu-like radiance that Vishnu has spread.
1.6.9	A monkey, taking the king's silken garments, climbed a tree.
1.6.10	He, Haruni, having raised the oblation, said again: "You will offer them here, but you will offer them to the dead."
1.6.11	He said: "What will you do?"
1.6.12	Expiation."
1.6.13	"What is expiation?"
1.6.14	"All expiation."
1.6.15	"What all expiation?"
1.6.16	The great invocations, O Maghavan.
1.6.17	He said, "O Aruṇa, when you offer a libation, how do you know that the monkey takes the grass?"
1.6.18	He said, "Whatever is known and whatever is unknown, this alone is the atonement for all."
1.6.19	Therefore one should offer this alone.
1.6.20	"If one does not know, one should offer with the verse, "O Agni, do thou arrange (the oblations). Thou knowest how to do it. Svāhā!" Or with the verse, "O Prajapati, these beings are thy offspring. No one else is like thee. Svāhā!" "We offer unto thee for whatever desire we may have. May that be ours. We shall be the lords of wealth. Svāhā." He thus nourishes himself and the sacrificer with his own essence.
1.6.21	Now whatever thing made of clay is broken at a sacrifice, one should touch it and say, "Earth has gone to earth, mother has gone to mother. May we be with sons and cattle. Let him who hates us be broken." Thus he nourishes himself and the sacrificer with his own juice.
1.7.1	When they pour Soma, it is as if they were killing the king Soma. It is as if he were dying. They make this offering to him as a means of protection. Therefore, for a man, a means of protection is made.
1.7.2	The gods, the Sadhyas, were sitting in a sacrifice when the dice were born among them. They approached Indra. "How can the dice be born among them?" "You know them." He gave them this oblation of ghee in the Soma rite. They looked at it and saw. "He who knows this and looks at the Soma oblation becomes one who sees, not blind."
1.7.3	If one is not hungry, but does not eat, he should go to the southern half of the sacrificial place and eat the remaining portion of Soma. If one is not really hungry, but does eat, he steals food from the people. The people eat food through their children. One becomes a giver of food.
2.1.1	Prajapati desired, "May I be many, may I beget offspring." He sang this verse of semen, concealed by the Saman. If he had sung a verse without the Saman, he would have been born without flesh and bones. If he had been born with flesh and bones without the Saman and verse, he would have had flesh and bones without a Saman and verse. He sings the verse concealed by the Samana. Therefore a man is born concealed by flesh, skin, and hair.
2.1.2	He takes it three times.
2.1.3	These are the three worlds; for the securing of these worlds, and from three places semen is emitted.
2.1.4	One should not utter a sound.
2.1.5	The sound 'hiṃ' is a thunderbolt; semen is like strength. If one were to utter a sound, then the semen emitted would be cut off by the thunderbolt-sound.
2.1.6	With the metre of the semen, with the deity Prajapati, meditating on all this, one should sing. For all this is semen.
2.1.7	He sings the second verse.
2.1.8	It has two syllables. He places the last of the middle foot and the first of the last foot in between.
2.1.9	The Prāṇa and Apāna, placed in between, produce offspring.
2.1.10	The Gayatri metre, the Agni deity, and the earth, meditating on these, one should sing.
2.1.11	He sings the third verse.
2.1.12	He sings it as if it were strong, as if it were the chest.
2.1.13	He illuminates two syllables in the last half of it.
2.1.14	He yokes the eye, hence the eye is yoked.
2.1.15	With the Tristubh metre, with Indra as the deity, one should sing, thinking of the atmosphere.
2.1.16	He sings the fourth verse.
2.1.17	He sings it with four verses each, as if playing, up to twelve syllables.
2.1.18	The Jagati has twelve-syllabled feet. Jagati is cattle. He indeed stands firm in cattle.
2.1.19	And it shines with four syllables in its upper half.
2.1.20	It connects the ear, therefore the ear is connected. There are two ears and two echoes. Therefore a person hears in all directions, even if he hears from afar.
2.1.21	One should chant with the Jagati metre and the Sun as the deity, thinking of heaven.
2.1.22	He sings the fifth.
2.1.23	He sings as if roaring.
2.1.24	He eats more food than many men. He becomes the eater of food, he who knows this.
2.1.25	He sings the defined and the undefined.
2.1.26	Those who know the defined enjoy speech; those who know the undefined enjoy it. He who knows this enjoys speech and lives by it.
2.1.27	With the Anushtubh metre, with Prajapati as the deity, one should sing all this, thinking of it as belonging to Prajapati, for everything here belongs to Prajapati.
2.1.28	One sings the sixth verse.
2.1.29	It has two syllables each. One sings the sixth verse, leaving out six syllables.
2.1.30	There are six seasons. One stands firm in the seasons.
2.1.31	The metre is Gāyatrī, the deity is Soma, and one should sing, thinking of this direction.
2.1.32	He who sings the Tristubh at the morning pressing, the Jagatī, the Anushtubh, and the Paṅkti, goes both here and there with his mind.
2.1.33	He sings two Gāyatrī verses.
2.1.34	That indeed is the breath, for the Gayatri is the breath. That indeed is the path, for the Gayatra is the path.
2.1.35	He sings the highest verse of the Rathantara.
2.1.36	This indeed is the Rathantara, he stands firm in this.
2.2.1	Those indeed are yoked for the world of the gods, those which are beyond.
2.2.2	Those which are behind are for the world of men.
2.2.3	This indeed is the one who is born, this is the one who has not lost the placenta, this is the priestly one, for whom the verses are sung. He who, knowing this, sings the verses, makes him who is born fit for food. Both the Udgātṛ and the sacrificer eat food.
2.2.4	One should sing the first one, thinking of it as food.
2.2.5	He gives back the food-grains which have been sprinkled with semen.
2.2.6	One should not utter a sound.
2.2.7	If one were to utter a sound, the semen sprinkled would be cut off by the sound of the thunderbolt.
2.2.8	The metre of semen is joined, the mind is deposited.
2.2.9	The second is the Gayatri. I sing the Gayatri. The two syllables of the Gayatri are placed one above the other, the last of the middle foot and the first of the last foot. The two Prāṇa and Apāna are placed one above another. The Gayatri metre is joined. The Prāṇa and the Apāna are thought of.
2.2.10	The third is the Tristubh. I have come to the Tristubh, singing. She has two syllables in the upper half. He illuminates the eye. He yokes it. Therefore the eye is variegated. One is black, the other is white. The Tristubh metre is yoked. The eyes are seen.
2.2.11	The fourth is the Jagati. I sing that Jagati. It has four syllables in the upper half. It illuminates the ear. It yokes the ear. Therefore the ear is yoked. There are two ears and two echoes. From that also one hears what is beyond. The Jagati metre is yoked to the ear. The ears are understood.
2.2.12	The fifth is the Anushtubh. Having sung it, one should sing it in four ways. The man is divided into four for the sake of valour. For the sake of valour, he sings it in four ways; he should sing it as if high and low, for the speech is high and low; he should sing as if compressed, for the man speaks with compressed speech. The Anushtubh metre is yoked, the speech is arranged.
2.2.13	The one who sings the sixth (verse) goes to the Panka (verse). He sings two syllables of each (verse). He goes to six syllables. There are six seasons. He indeed stands in the seasons. The Panka verse is yoked with the Chanda (verse). The two verses are sung together.
2.2.14	"The first verse ends with the word "sat," because it is from semen that one is born."
2.2.15	The second (verse) is called 'Sam' because it is the source of the second (verse).
2.2.16	The third (verse) is 'Svar' because one knows the heavenly world through it.
2.2.17	The fourth (verse) is said to be 'Ida' because Ida is the cattle, and one stands firm in the cattle.
2.2.18	The fifth (verse) is known as 'Vāg' because all the auspicious words speak in it.
2.2.19	He who knows this.
2.2.20	He should sing the first one as if he were stretching it, for this downward-moving breath is like a stretched bow.
2.2.21	He should sing the second one as if it were a buzzing sound, for this downward breath is like a buzzing sound.
2.2.22	He should chant the third one as if it is being raised, for this upward-moving breath is as if being raised.
2.2.23	The fourth one should be sung as if it were a play, for the Vyana is like a play.
2.2.24	The fifth one should be sung like a well-defined and undefined (verse), for the Sama is like a well- defined and undefined (verse).
2.2.25	The sixth one should be sung facing upwards, for the Udana is like facing upwards, and the Udana is the peak.
2.2.26	One should sing the highest Rāthantara verse. This (verse) is Rāthantara. One stands firm in this (verse).
2.3.1	The gods and the Asuras competed for these worlds. The gods approached Prajapati.
2.3.2	He gave them these vital airs: first the mind, then the breath, then the eye, then the ear, then the speech.
2.3.3	From those five burdens he created the man and the animals.
2.3.4	With that man he drove away the Asuras. In that he drove them away, therefore it is called Dhura (burden). He who knows this drives away evil, his enemy.
2.3.5	He who knows the truth of the burden, becomes superior to his rival. The truth of the burden is that the verses of different powers, different forms, different metres and different deities, come together in the same cry. He who knows this truth of the burden becomes superior to his rivals.
2.3.6	He who knows the great vow of the yoke, all auspicious words speak to him.
2.3.7	The head is Gāyatrī, the chest is Triṣṭup, the middle is Jagatī, the feet are Anuṣṭup. All auspicious words speak to one who knows this.
2.3.8	He who knows the yoke thus and practices its vow, auspicious fame comes to him the day before he arrives.
2.3.9	The fragrance is indeed Surabhi. The vow of the Gāyatrī is to be seen, of the Tristubh to be heard, of the Jagatī to be enjoyed. Whatever good one speaks with the voice, that is of the Anushtubh. That is the vow of all.
2.3.10	They say of him who knows this, "He has spoken to us." One should not heed that.
2.3.11	For him whose burden is sung, the others are sung.
2.3.12	Those whose (hymns) are sung in the Bahispavamāna (Stotra) in the different kingdoms, their hymns are sung.
2.3.13	He who desires, 'May the sacrificer attain fame in one way, and may the subjects be as they are commanded', should sing in the Hotri's clarified butter. The sacrificer attains fame in one way and the subjects become as they are commanded.
2.3.14	If one desires, 'May the offspring be as desired,' one should sing as if it were ghee. The offspring are as desired, and the sacrificer becomes so.
2.3.15	He who thus conquers the Veda, the invincible, for himself and the sacrificer, conquers the world, and carries the sacrificer, the self, beyond death, to the supreme heavenly world.
2.4.1	The Adhvaryu carries Agni towards the east; therefore the Hotṛ recites while sitting towards the east, the sacrificer offers while sitting towards the eastern direction, the Prastotṛ praises while sitting towards the cast.
2.4.2	The sun moves towards the east and towards the west; therefore the Adhvaryu moves towards the east or towards the west.
2.4.3	The moon moves towards the south; therefore they place the Brahman towards the south.
2.4.4	Now, in this northern direction, the rain-god shines forth most. Therefore, the Udgātṛ recites facing that direction.
2.4.5	Now, this space is the middle of all beings. Therefore, they place the Sadasya in the middle.
2.4.6	The waters are high and low, shallow and deep. Therefore, they perform with the Hotr-chant and the Pañca-rc chant, and with the greater (chant).
2.4.7	The rays of the sun follow the path. Therefore, the Camasādhvaryus follow the path of the Adhvaryu.
2.5.1-3	He desires to be invoked at the morning pressing, when the offerings have been brought in. "May Agni, my Hotṛ, invoke me. May the Hotṛ invoke me." "May Āditya, my Adhvaryu, invoke me. May the Adhvaryu invoke me."
2.5.4	The Moon is my Brahman. He should call out, "O Brahman, call me."
2.5.5	Parjanya is my Udgata. He should call, "O Udgata, call me." "
2.5.6	Space is my Sadasy. He should call "O Sadasy, call me."
2.5.7-10	May the waters, the Hotr-invokers, invoke me, the Hotr invokers. Invoke me, the Hotrs. Thus loudly. May the rays, the Camasadhuta-invokers, the Camasadhutas invoke me. Invoke me, Camasadhutas. Thus loudly. Thus loudly. These are the deities who invoke the priests with their own voices. He is invoked and eats.
2.5.11	The sacrificer is the Prāṇa. And where there is the world of these deities, he is invited there.
2.6.1	At the midday pressing, when the Savanmukhiyas have been brought in, he desires to invite.
2.6.2	My speech is the Hotṛ. Let him call me. Let the Hotṛ call me. Let him call, 'O Hotṛ!' My eye is the Adhvaryu. Let him call. Let the Adhvaryū call me. Let them call, 'O Adhvaryu!' My mind is the Brahman. Let him call Let the Brahman call me. Let it call, 'O Brahman!' My ear is the Udgātṛ. Let him call. Let the Udgātā call me. Let he call, 'O Udgātṛ!'
2.6.3	The space within the eye is my Sadasyas. Let them call out, 'The Sadasyas call me.' The waters within the eye are my Hotrāśansins. Let them call, 'The Hotrāśins call me.' The limbs are my Camasādhvaryas. Let them cry out, 'The Camasādhvaras call me.'
2.6.4	Those deities indeed invite the priests with their own voices.
2.6.5	He who is invited eats.
2.6.6	The sacrificer is the Apāna. Then, where there is the world of these deities, he becomes invited.
2.7.1	At the third pressing, when the Savanmukhiyas have been brought, he desires to be invited.
2.7.2	"My Prāṇa is the Hotṛ, he should call me. The Hotṛ should call me loudly. My Apāna is the Adhvaryu, he should call. The Adhvaryu should call me loudly." "My Vyāna is the Brahman, he should call." "The Brahman should call me loudly, My Sāmāna is the Udgātṛ, he should." "The Udgātṛ should call me."
2.7.3	The man within the house, the space, is my member. Let him call out, 'The member calls me.' The waters within the house, they are my Hotr-invokers. Let them call out, 'Hotr-invokers call me.' The hairs on my body are my cup-priests. Let them call, 'Cup-priests call me.'
2.7.4	Those deities indeed invoke the priests with their own voices.
2.7.5	He who is invoked eats.
2.7.6	The sacrificer is the Udanta (the last to eat). And where there is the world of these deities, there he becomes invoked.
2.7.7	The one who utters the Vasat should eat from all the cups.
2.7.8	This is the mouth of the sacrifice of the gods, namely the cup of the Udgātṛ. Therefore no one else should drink from the cup of the Udgatṛ.
2.7.9	Thus, indeed, the sacrifice of one who knows this does not fail. Thus, indeed, for one who knows this, the sacrifice of the sacrificer becomes heavenly, progeny-yielding, cattle-yielding, and desired. Thus, indeed the sacrificer who knows this conquers his hateful enemy. Or, indeed, one should perform the sacrifice with something less than this.
3.1.1	When the Hotṛ abandons speech, he abandons the sacrificer. When he does that, he places his own speech in the sacrificer. He becomes all-pervading in the world beyond.
3.1.2	When the Adhvaryu abandons sight, he abandons (the sacrificer). When he does that he places his own sight in the sacrificer, he becomes all-pervasive in the world beyond.
3.1.3	Whatever the Brahman abandons, that he abandons the sacrificer. Whatever he does, he places his own mind in the sacrificer. He becomes all-pervading with the mind in the world beyond.
3.1.4	Whatever the Udgātṛ abandons, that abandons the sacrificers. Whatever he does he places his own ear in the sacrificer, he becomes all-pervasive with the ear in the world beyond.
3.1.5	Whatever the member abandons, that the Self abandons the sacrificer. Whatever he does, he places his own self in the sacrificer. He is born in the other world with all his Self.
3.1.6	When those who are desirous of the Hotr-ship abandon their limbs, they abandon the sacrificer. Whatever they do, they place their own limbs in the sacrificer. They are born in the other world with their limbs.
3.1.7	And when the Adhvaryus of the cups shave their hair, then they shave the sacrificer's hair. When they do that, they put their own hair on the sacrificer. They are born in the other world with their hair standing on end.
3.1.8	Therefore one who knows this should not perform a sacrifice with a deficiency.
3.1.9	Or else, this is the knowledge of the priests.
3.1.10	The cattle follow the Adhvaryu, fame the Hotri, prosperity and safety the Brahman, the Self and progeny the Udgâtri.
3.2.1	If his cattle should fall sick, he should know that the Adhvaryu has done this. If evil fame should befall him, he should know it is the Hotṛ who has done this. If his prosperity and well-being should be disturbed, he should know the Brahman has done this. And if he or his offspring should fall sick, the Udgātṛ should know it is he who has done this.
3.2.2	Brahma is the deity of the breath, the other priests are the deities of speech. If he thinks, "Brahma did not do this for me," he should bind a piece of green gold to a darbha grass stalk, place it in the ladle, take four spoonfuls of ghee, and offer it with the formula, "Salutations to the breath, to the lord of speech, svāhā." If the others think, "Salutations, to speech, to the wife of the breath, svāhā," if the others think, if the others think. He should offer in succession to all with the formulas, "Salutations...
3.2.3-4	Then he should give that gold to Brahma. Then what is said, "Sacrifice itself is the atonement for sacrifice," means that sacrifice itself is the atonement. But some say that the oblations are the atonement for one who has deviated from the sacrifice.
3.3.1	Those who are the priests, and the sacrificer, the divine ones are the priests, the human ones are the others. Those whom the divine ones consecrate, he attains the world of the gods by them, not the world of men. Those whom the human ones consecrate, they attain the world of men by them, not of the gods. Those whom both consecrate, they obtain both the world of the men and the world of the divine.
3.3.2	He should choose these divine priests: Agni as his Hotṛ, Aditya as his Adhvaryu, Candrama as his Brahman, Parjanya as his Udgātṛ, Ākāśa as his Sadasya, the waters as his Hotrāśansins, the rays as his Camasādhvaryus.
3.3.3	Having chosen these divine priests, he should then choose these human ones who would please him.
3.3.4	If he asks for a kṣatriya who is a worshipper of the gods,
3.3.5	if he gives it to him, he should say, "May you be a worshipper of gods."
3.3.6	If he does not give it to him, then he should say, “I know the worshipper of gods, I will strike you with it.”
3.3.7-8	Agni indeed is the divine sacrifice, the earth indeed is the divine sacrfiice, the waters indeed are the divine sacrifice, faith indeed is the divine sacrifiice. In these divine sacrifices he is indeed included. And he does not go to the distress of a man.
3.3.9	Agni is my Hotṛ. May he give me the divine worship. "O Hotṛ, give me the divine sacrifice." "O Adityas, my Adhvaryus, may they give me the divine offering. O Adhvaryus," "O Chandramas, my Brahman, may he give me the sacrifice. O Brahman, give me the sacrifice." "O Parjanya, my Udgātṛ, may he give the sacrifice. O Udgātṛ," "O Ākāśa, my Sadasya, may he give us the sacrifice. O Sadasya," "O Waters, my Hotrāśansins, may they give us the sacrifice." "The Hotrāśins have given me the sacrifice." "O Rays, my Camasādhvaryus, may you give me the sacrifice." The Camasādhvarus have given me the divine sacrifice.
3.3.10	Those deities, indeed, offer the sacrifice of the gods with the words of the priests. He offers when given.
3.3.11	That which is elevated above the ground, not saline, where there are many plants growing near the sacrificial post, where there may be water, that is the place.
3.3.12	One should not leave the place of the sacrifice in front of it, except as much as the distance of the sacrificial post.
3.3.13	The other men are better than he who thus exceeds.
3.3.14	If one goes to the south, the southern (gifts) are inferior.
