1.1.1	Agni is the lowest of the gods, Vishnu is the highest, and between them are all the other gods.
1.6.5	"The two verses, 'Agni is kindled, Agni is the fire,' are recited.
1.6.6	Indeed, initiation is truth and truth is initiation. Therefore, one who is initiated should speak only the truth.
1.6.7	However, some say, 'Who is worthy to speak all the truth? The gods are truthful, the humans are untruthful.'
1.6.8	One should speak with discernment.
1.6.9	The eye is the most discerning, for one sees through it.
1.6.10	This is the truth that is hidden among men, namely, the eye.
1.6.11	Therefore, when one tells something, they say, "You saw it." If he says, "I did not see it," then they believe him. But if he says, "If I had seen it myself, I would not believe many others."
1.6.12	Therefore, one should speak only what is wise. The speech of one who speaks the truth rises up.
1.7.1	One goes to heaven by this (rite). This is why it is called Prāyṇīya.
1.7.2	Prāṇīya is the Prāṇa, Udayanīya is the Udanā. The Hotr becomes the Sāman. Prāṇa and Udanā are common. For the establishment of the Prāṇas, for the recognition of the Prānas.
1.7.3	The sacrifice indeed fled from the gods. The gods were not able to do anything, they did not know. They said, "We will know this sacrifice through you." She said, "So be it." They said, "You may choose a boon." She said, "Let my sacrifices be the first and my rising the last." They said, "So be it." Therefore the Adityas are the first and the rising is the last. For she chose this boon.
1.7.4	Then he chose this boon: "May I myself protect the eastern direction, Agni the southern, Soma the western, Savitr the northern."
1.7.5	He offers to Pathya.
1.7.6	Because he offers to Pathya, therefore it rises in the east and sets in the west, for it moves along Pathya.
1.7.7	He offers to Agni.
1.7.8	Because he offers to Agni, therefore the plants, when cooked, come from the south. The plants are connected with Agni.
1.7.9	He offers to Soma.
1.7.10	Because he offers to Soma, therefore the many waters flow from the west. The waters are connected with Soma.
1.7.11	He offers (to) Savitr.
1.7.12	Since he offers to Savitar, therefore the Pavamāna (wind) blows most strongly from the north and west. For this (wind) blows with the impulse of Savitar.
1.7.13	He offers to Aditi as the last (deity).
1.7.14	Since he offers to Aditi last, therefore she sprinkles this (earth) with rain and smells it.
1.7.15	He offers to five deities. The sacrifice is fivefold. All directions are established. The sacrifice is established.
1.7.16	For that community it is established where the Hotṛ knows thus.
1.8.1	He who desires brilliance and brahmic glory should go east with the offerings at the end of the sacrifice. Brilliance and brahmic glory are in the eastern direction.
1.8.2	He becomes brilliant and endowed with brahmic glory, he who, knowing this, goes forward.
1.8.3	One who desires food should go with the offerings of the Prajās and Dakṣiṇā. Agni is indeed the giver of food and the lord of food.
1.8.4	One becomes the giver of food, the lord of food, and obtains offspring and food, he who, knowingly, goes with the Dakṣiṇās.
1.8.5	One who desires cattle should go to the west with the oblations of the Prajās. The waters are indeed cattle.
1.8.6	One who knows this and goes to the west becomes possessed of cattle.
1.8.7	One desiring Soma-drink should go to the north with the oblations. Soma, the king, is indeed in the north.
1.8.8	One who, knowing this, goes to the north obtains Soma-drink.
1.8.9	The heaven is the only upward direction, and one prospers in all directions.
1.8.10	These worlds are in order, and these worlds are in order for him who knows this.
1.8.11	He offers to Pathya. In that he offers to Pathya, he places speech at the mouth of the sacrifice.
1.8.12	Prāṇāpāna are Agni and Soma, Savitā for delivery, Aditi for stability.
1.8.13	He offers the Pathya (oblation) only; in that he offers the Pathya only, he leads the sacrifice by means of speech to the path.
1.8.14	The two eyes are Agni and Soma, Savitar for the impulse, Aditi for the support.
1.8.15	The gods knew the sacrifice through the eye. Through the eye one knows what is not known. Therefore, even a fool, having wandered, knows when he sees with the eye.
1.8.16	Now, when the gods knew the sacrifice, they knew it in this (earth), they brought it together in this (earth). The sacrifice is performed for this (earth), it is performed for this, it is brought together for this, for this is Aditi. He offers to Aditi the last (oblation). In that he offers to Aditi last, (it is) for the knowledge of the sacrifice, for the fame of the heavenly world.
1.9.1	The gods are to be arranged in order, they say. When they are arranged, the human classes are arranged after them. All the classes are arranged. The sacrifice is also arranged.
1.9.2	For that community it is arranged where the Hotṛ knows thus.
1.9.3	"May we be well on the paths of the Dānava."
1.9.4	May there be welfare in the waters, in the dwelling, in the heaven-reaching. May there be welfare for us in the places of birth of sons. May there be prosperity in the abode of the Maruts.
1.9.5	The Maruts are the classes of the gods. He thus makes them choose the mouth of the sacrifice.
1.9.6	They say, "One should sacrifice with all the metres." The gods, having sacrificed with all the metres, conquered the heavenly world. In the same way, the sacrificer, having sacrificed with the metres, conquers the heavenly world.
1.9.7	May we have good fortune on the paths, on the roads, may we have good fortune in the best of roads. The two Tristubh verses of Svasti are: "O Agni, lead us by the good path to wealth, to the path of the gods." The two Tristubhs of Agni are: "O Soma, you know the thoughts that are in your heavenly and earthly abodes." The Tristubh of Soma is: "The all-knowing lord of truth, who knows all these beings." The two Gayatri verses of Savitar are: "The well-measured earth, the heaven, the great, the mother of the well-behaved, the Aditi." The two JagatI verses of Aditi are:
1.9.8	These are all the metres: the Gāyatrī, the Tristubh, the Jagatī. They are different from one another. They are performed in the sacrifice as the first.
1.9.9	He who knows this, his sacrifice is performed with all the metres.
1.10.1	These are the Pravatii, the leading, the guiding, the auspicious verses. They are the invocations and responses to this oblation. Having offered with these, the gods conquered the heavenly world. In the same way, the sacrificer, having offered with these, conquers the heavenly world.
1.10.2	In them there is the word 'Svāstirāye Maruto dadhatane' (May the Maruts bestow prosperity). The Maruts are the divine class of beings, the partakers of the atmosphere. He who goes to the heavenly world without offering to them, is either stopped or destroyed by them. When he says 'Svāstirāya Maruto dadhatani' (May the prosperity be bestowed by the Maruts), he offers to the Maruts, the divine class of people, the sacrificer. The Maruts, the class of divine beings, do not stop or destroy the sacrificer going to the heavenly world.
1.10.3	May he be blessed, may he be blessed, those who know this, they attain heaven.
1.10.4	The two Virājas should be the Samyājyās of this Agni Svishtakṛt oblation, which consists of thirty-three syllables.
1.10.5	"May Agni be better than other Agnis, may Agni be better than those who are falling down." These are the two Virājas.
1.10.6	The gods, having performed the Viraj sacrifices, conquered the heavenly world; in the same way the sacrificer, having performed the viraj sacrifices, conquers the heavenly world.
1.10.7	They become the thirty-three syllables. The thirty-three are the gods, the eight Vasus, the eleven Rudras, the twelve Adityas, Prajapati, and the Vasat-call. In the first mouth of sacrifice, he makes the deities share the syllables. With each syllable he pleases the deities. With the divine vessel he satisfies the deities.
1.11.1	The Pravargya rite should be performed without the Anuyājas, as in the case of the Prayāja rites.
1.11.2	They say that the Pravargya rite is deficient and incomplete, since it lacks the Anuyāja offerings.
1.11.3	Just as the Prāyājas, so the Anuyājas should be offered. The Prāyājas are the vital airs, the Anuyā jas are the progeny. If one were to offer the Prāyā jas in between, he would be offering the vital airs of the sacrificer in between. If one were
1.11.4	to offer the Anuyā jās in between, he were to offer the progeny of the sacrificer.
1.11.5	Therefore, just as the Prāyäjas, so the Anu yäjas should be offered.
1.11.6	The sacrifice is not completed with just that much.
1.11.7	One should place the Pravargya vessel on the Udayaniya (fire) so that the sacrifice is continuous and not interrupted.
1.11.8	Or, one should offer the Udayaniya in the same vessel in which the Pravargya was offered. Thus the sacrifice becomes continuous and uninterrupted.
1.11.9	They say that one attains the other world by this (sacrifice), not this world, when they say that it is the Prāyaniya (sacrifice). They offer the Prāyaniyā, perform the Prāyaniyā, saying, "The sacrificers go away from this world."
1.11.10	They say this out of ignorance. One should omit the Yājyā and Anuvākyā.
1.11.11	The Puronuvākyās of the Pravargya are the Yajyās of the Udayaniya; the Yajyäs of the Udayaniyas are the Puronuvākyat of the Pravargyas. He thus interchanges them for the prosperity of both worlds, for the establishment in both worlds, for prosperity in both worlds, and for establishment in both worlds.
1.11.12	He who knows thus, prospers.
1.11.13	The offering to Aditya is the Prāyaniya (offering) and the offering to Aditya is Udayaniya (offering). For the stability of the sacrifice, for the continuity of the sacrifice, and for the non-interruption of the sacrifice.
1.11.14	"Just as the Adityas, so indeed did Tejanī say. For the non-slipping of the two ends of the sacrifice, he binds the two ends of this (cord). In this way, for the non-slipper of the two ends, he binds the ends of the sacrifice. The Prāyaniya (oblation) is to Aditya, and the Udayaniya (oblation) to Aditya."
1.11.15	They go to the path of welfare, they rise to the path of welfarethe path of welfare they go to, the path of welfare they rise to.
1.12.1	The gods bought Soma from the eastern direction, therefore it is bought from the eastern direction.
1.12.2	He bought it for thirteen months. Therefore, the thirteenth month is not found. The seller of Soma is not found. Because the seller of Soma is sinful.
1.12.3	When he had bought it, and was returning with the men, the powers and senses of the directions settled down upon him. They mounted them in one verse, but they could not do so. They mounted them with two, with three, with four, with five, with six, with seven, but they did not mount them. They mounted them by eight, and obtained them by eight. In that they mounted them by eight and obtained them byeight, that is the reason why there are eight of them.
1.12.4	He who knows this attains whatever he desires.
1.12.5	Therefore, in these rites, eight are recited each time, for the purpose of securing the strength of the senses.
1.13.1	The Adhvaryu says, "Recite for Soma, bought and being offered."
1.13.2	He recites, "Go from the good to the better."
1.13.3	This very world is the good one. Therefore, this very world is the better one. It indeed takes the sacrificer to heaven.
1.13.4	"May Brihaspati be your leader." Brihaspati is indeed Brahman. He has made Brahman his leader. Nothing can surpass Brahman.
1.13.5	"Then (he says), 'May he be the best of the earth.' The sacrifice to the gods is the best for the earth. He thus places him in the sacrifice. 'Destroy the enemies,' (he says). 'Be victorious over all.' He thus repels from him the enemy, the evil one. He puts down the foot.
1.13.6	"O Soma, those of thine are the gifts of wealth" (RV. 9, 9, 1) is the third verse, a Gayatri verse addressed to Soma. When Soma, the king, is being offered, he himself, by his own deity and his own metre, prospers.
1.13.7	"All rejoice in the fame that has come" (RV.
1.13.8	Soma, the king, indeed is fame. All rejoice in this Soma that is being offered, whether one is going to obtain it at the sacrifice or not.
1.13.9	The friend of the assembly is the friend of the Brahmanas. The king Soma is the friend of Brahmanas.
1.13.10	The friend of sin is the same as the friend of the assembly.
1.13.11	He who becomes the best, he becomes the sinner.
1.13.12	Therefore they say, "Do not speak arrogantly, lest you should be tormented by sin."
1.13.13	"The father's share" - the food is the father's share, the Dakshina is the father' s share. He makes it for him, making it the father's food-share.
1.13.14	"He becomes the one who has attained the horse" - the horse is the strength and energy.
1.13.15	"The horse does not cease to be for him" - he who knows this.
1.13.16	"The god has come" - he recites thus.
1.13.17	For then he has come.
1.13.18	May the seasons increase him, may he not diminish. The seasons are the royal brothers of King Soma. Just as a human being has them, so he brings him together with them.
1.13.19	May Savitar grant us offspring and food. He prays for a blessing.
1.13.20	May he delight us with the nights and days. The days are the days, the nights are the nights. He prays for this blessing to the days and nights. May he bestow on us offspring and wealth. He prays for a blessing.
1.13.21	"He recites, "Those who worship you with oblations."
1.13.22	May all your worlds be at your sacrifice.
1.13.23	"He who is the protector of cattle, the one who saves, the good hero" - he who protects the cattle, he who saves, the hero.
1.13.24	"He who is the destroyer of the wicked, he who moves, the one who goes to the bad places" - the bad places are the houses. The Soma, the king, is afraid of the houses of the sacrificer. When he recites this, he appeases him for peace. He is peaceful and does not harm his offspring or cattle.
1.13.25	When he is learning this knowledge, he places it in the direction of Varuna.
1.13.26	This (rite) belongs to Varuna as long as it is tied up, as long as the enclosing sticks are placed around. He thus makes it prosper by its own deity and its own metre.
1.13.27	"When he is learning, he places it towards the gods." He who sacrifices is indeed learning.
1.13.28	"O Varuna, do thou supervise the sacrifice." He means to say, "Do thou supervise the sacrifice, do thou supervise knowledge and power."
1.13.29	"May we cross over all evils by the boat of Sutairma." The sacrifice is the boat of Sutama. The black antelope skin is the boat of Sutanma. Speech is the boat of Sutarma. Having mounted on speech, he crosses over to the heavenly world.
1.13.30-33	These eight are the forms of prosperity. This is the prosperity of the sacrifice, namely, the forms of prosperity; when a rite is being performed, if a verse is recited.
1.13.34	He who knows this, indeed, attains prosperity through the abodes of Prajapati.
1.13.35	He recites the first three times and the last three times, thus he makes the sacrifice firm for stability, strength, and non-slipping.
1.14.1	One bull should be yoked and the other released, then they should bring the king.
1.14.2	If both are released, they should make the king who is devoted to the ancestors.
1.14.3	If the subjects find prosperity and welfare when both are yoked, those subjects would be wandering.
1.14.4	The bull that is released from the pen is the form of the creatures in the pen, and the bull that is yoked is the form of their activities. Those who take the released and the yoked to be different, they both imagine the union with the peaceful.
1.14.5	The gods and the Asuras fought for these worlds. They fought in the eastern direction. The Asuras conquered them there. They fought in southern direction. The Asura conquered them there. The Asuras fought in the western direction. The Asures conquered them there. Then they fought in the northern direction. The Asuuras conquered them there. In the northern and eastern directions they fought. They were not conquered there. This is the direction which is unconquered. Therefore one should fight in this direction. One should fight or go to this direction. One becomes the lord of the one who does not do evil.
1.14.6	The gods said, "They conquer us without a king. Let us make a king." They said, "So be it." They made Soma the king. With Soma as the king, they conquered all directions. He who sacrifices is indeed Soma the king. Standing towards the east, they place him. With that, he conquers the eastern direction. They carry him towards the south. With that, they conquer the southern direction. They turn him towards the west. With that, the conquer the western direction. Standing towards the north, they bring him down. With that, one conquers the northern direction.
1.14.7	King Soma conquers all directions for him who knows this.
1.15.1	When King Soma arrives, a sacrificial offering is made to him.
1.15.2	King Soma comes to the house of the sacrificer, therefore this sacrificial offering is made for him. That is the nature of hospitality.
1.15.3	It has nine potsherds, because there are nine vital airs, for the establishment of the vital airs, for their recognition.
1.15.4	He becomes a devotee of Vishnu. Vishnu himself, with his own deity and his own metre, blesses him.
1.15.5	All the metres and the pages approach the king Soma when he is bought. All those who follow the king are honoured as guests.
1.16.2	"The gods have approached thee, O Savitar," thus he recites the Savitri verse.
1.16.3	They say, "Why does he recite the Savitri verse after reciting the verse to Agni being churned?"
1.16.4	Savitar is the lord of births. They churn him with the Savitri verse.
1.16.5	The earth and heaven are the two. Thus he recites the hymn of heaven and earth.
1.16.6	They say, "Why does one recite the Dyāvāpṛthivīya hymn after reciting the Agni hymn while churning?" The gods took him who was born from heaven and earth, and he is still taken by them. Therefore one recites the Dyāvāprthivīya.
1.16.7	"He recites the verse, "From the lotus, O Agni," etc. This is a Gayatri verse addressed to Agni. When Agni is being churned, he thus makes it prosper by its own deity and its own metre.
1.16.8	" "Atharva churned out"; this is a form of prosperity. Prosperity at a sacrifice is a form of prosperit. When a rite is being performed, if a verse is recited,
1.16.9	If he is not born, or if he is born late, the Raksas-destroying Gāyatrī verses should be recited.
1.16.10	"These are the verses: "O Agni, you destroy the wicked one..."
1.16.11	For the destruction of Rakshas.
1.16.12	Rakshas then attack him when he is not born or when he is born late.
1.16.13	If he were to be born to only one unmarried woman, or to two, then let the people say: "Let him be born to the one who is beautiful and has given birth."
1.16.14	What is beautiful at a sacrifice is prosperous.
1.16.15	"To whom they give the hand, not to be eaten,"
1.16.16	For they churn him with their hands.
1.16.17	The child is so called because it is like a child, for Agni is the firstborn.
1.16.18	"They carry Agni, the lord of oblations, the protector of the people."
1.16.19	"What is not of the gods, that is theirs."
1.16.20	"They carry the god to the place of the gods, the most bountiful of the bountiful."
1.16.21	"What appears at the sacrifice is prosperous."
1.16.22	"May he sit down in his own place."
1.16.23	This indeed is his own place, namely, Agni.
1.16.24	"May he be born, the knower of the born."
1.16.25	One is born, the other is the knower of what is born.
1.16.26	"May the guest be cherished, the dear one." This indeed is his dear guest, namely, Agni.
1.16.27	"O Agni, come to the householder!" He thus establishes him in peace.
1.16.28	"Agni is kindled by Agni, the wise householder, the young one, the bearer of oblations, the one with the ladle." It is a suitable (verse).
1.16.29	What is suitable at a sacrifice, that is prosperous.
1.16.30	"You, O Agni, with Agni, the sage, with the sage, the one who is together."
1.16.31-34	The Brahman is the other, the other is the Brahman. The friend is the friend, the friend is the friend. He is the friend of the friend, the Agni is his own friend. They anoint him, the one with good resolve, the leader, in the contests, in his own contests, the one with strength. This is his own contest, the Agni is the Agni.
1.16.35	The gods worshipped the sacrifice with sacrifice. Thus he lays down the supreme (bricks).
1.16.36	The gods worshipped the sacrifice by means of sacrifice, by means of Agni they worshipped Agni. They went to the heavenly world.
1.16.37	Those were the first rites. They attained the heaven of greatness, where the Sadhyas, the former gods, are.
1.16.38	The Sadhyas, the gods of the Vedas, first offered Agni with Agni. They went to the heavenly world.
1.16.39	The Adityas and the Angirasas came here. They first offered Agni with Agnis. They went to heaven.
1.16.40	This is the offering to heaven, namely, the offering to Agni. If a Brahmin speaks, if a bad speech is spoken, then this offering reaches the gods and is not mixed with sin.
1.16.41	This offering of him who knows thus reaches the gods, and this offering is not mixed with the sin.
1.16.42	These thirteen are the forms of prosperity.
1.16.43	This is the prosperity of the sacrifice, namely, the forms of prosperity; when a rite is being performed, if a verse is recited.
1.16.44	Of these, he recites the first three times and the last three times; they become seventeen. Prajapati is seventeen; twelve months, five seasons, so long is the year, Prajapati is the year.
1.16.45	He who knows this, indeed, attains prosperity through the abodes of Prajapati.
1.16.46	He recites the first three times and the last three times, thus he makes the sacrifice firm for stability, strength, and non-slipping.
1.17.1	"The oblations are pleasing to Agni, do thou swell, may they come together." These are the Puronuvākyās for the Ajyabhāgas, pertaining to Atithi, and having the form of Samṛddhi.
1.17.2	This is the prosperity of the sacrifice, that it is prosperous in form, that when a rite is being performed, a verse is uttered.
1.17.3	This is the Agni-related Atithi-related verse. There is no Soma-related Atithi verse. If there were a Soma-related Atithī verse, it would be permanent.
1.17.4	But this is the Atithi verse, namely the Apaina-vatī.
1.17.5-8	When he is about to receive a guest, he becomes as if fat. He offers with the two verses, "He who is the lord of the two worlds, the lord of the three worlds, the lord who is the lord, the lord of all, the lord of heaven, the lord of earth, the lord of men, the lord of cattle, the lord of wealth, the lord of food, the lord of water, the lord of plants, the lord of trees, the lord of herbs, the lord of grass, the lord of grains, the lord of fruits, the lord of flowers, the lord of leaves, the lord of wood, the lord of fire, the lord of wind, the lord of space, the lord of time, the lord of light, the lord of darkness, the lord of day, the lord of night, the lord of dawn, the lord of evening, the lord of morning, the lord of noon, the lord of afternoon, the lord of twilight, the lord of seasons, the lord of months, the lord of fortnights, the lord of days, the lord of hours, the lord of moments, the lord of instants, the lord of years, the lord of half-years, the lord of ages, the lord of creation, the lord of dissolution, the lord of protection, the lord of truth, the lord of falsehood, the
1.17.9	There are seven steps. The head is the most important part of the sacrifice. The head has seven vital airs. He thus places the vital airs in the head.
1.17.10	The Hotr, the brilliant charioteer of the sacrifice, Agni, the hearer, is the first to offer. This is at the Svishtakrit offering. The Atithyavati verses are in the same form. This is the prosperity of the sacrifice, that it is in the same form, and when a rite is being performed, a verse is recited.
1.17.11	There are two Tristubh verses for the sake of having Indra.
1.17.12	It should be with the Idāntas. The gods attained their goal by means of this (Idānta). Since it is hospitality, therefore it should be done with the Idānta.
1.17.13	Here they offer the Prayājas and not the Anuyājas.
1.17.14	The Prāyaṇīya and Upayāṇīya are the vital airs. Those vital airs which are in the head are the Prāyaṇīyas, those which are below are the Upayāṇiyas. He who would offer the Upayāṇa offerings here, would be like one who, having cut off these vital airs, would desire to put them back on the head.
1.17.15	These vital airs are indeed excessive, and these vital airs are indeed connected.
1.17.16	Now, when they offer the Prayājas and not the Anuyājas, then that desire is fulfilled which is fulfilled by the Anuyāja offerings.
1.18.1	Sacrifice went away from the gods, saying, "I shall not be your food." The gods said, "No, you shall be our food." The gods made him a victim. He was not able to escape from them. They said, "The gods have not made him a victim in this way. Let us collect this sacrifice." "So be it." They collected it.
1.18.2	Having collected it, they said, "O Asvins, heal this." The Asvins are the physicians of the gods. The Asvins are Adhvaryus. Therefore, the Adhvaryus collect the Gharma.
1.18.3	Having collected it, they announced, "O Brahman, we shall proceed with the Pravargya. O Hotar, praise."
1.19.1	"He recites, 'Brahma, the first-born, in front,' he means to say, 'Brahma is Brihaspati; he heals him with Brahma.'
1.19.2	'This is the kingdom of the father, having come first,' the kingdom is speech; he places speech in him.
1.19.3	The great earth has been spread out, having been born. This is a Brahmanical hymn. Brihaspati is Brahman. He heals him with Brahman.
1.19.4	"He approaches that god Savitar, the one who is in the sky." This is a hymn to Savitar. Savitar is the vital breath. He places the vital breath in him.
1.19.5	"Be seated. You are great." He thus makes him sit down.
1.19.6	The priests, praising him, anoint him. The two verses, "The one who is being anointed, the handsome one," and "The handsome one at the sacrifice," are prosperous.
1.19.7	"The flying one, smeared by the demon's magic, O Agni, who harms us for our wealth, be friendly to us, O Agni." The two verses, "Be friendly to us," and "Be friendly to" are prosperous. The handsome one at the sacrifices is prosperous.
1.19.8	Make the earth yield, make the earth yield, the five (verses) for the slaying of demons, for the destruction of demons.
1.19.9	The two of you have placed your praises on you, the two of you, O givers of wealth, the two of us have placed our praises on you, O givernors of wealth. The two of us have seen you, the two protectors, the two of them, the two of him, the two of her, the two of it, the two of its, the two of their, the two of theirs, the two of ours, the two of our, the two of ourselves, the two of themselves, the two of yourselves, the two of yourself, the two of himself, the two of herself, the two of itself, the two of yours, the two of your, the two of his, the two of hers, the two of mine, the two of myself, the two of thine, the two of thyself, the two of thee, the two of thy, the two of thou, the two of they, the two of ye, the two of the two of them. The four (verses) for one protector.
1.19.10	They are twenty-one in number.
1.19.11	This is the twenty-first person. Ten fingers, ten toes, and the self make twenty-one. He makes this self twenty-one.
1.20.1	"They have come together, the drops of the flowing, the drops of Srakva." There are nine Pavamana verses. There are nine vital airs. He places them in him.
1.20.2	"This Vena has been urged by the one with the tawny embryo."
