1.1.1.1	For you, O Agni, for the well-being.
1.1.4.1	For your appearance, for your action, for your good deeds, O goddesses, the waters, the leaders, the foremost, the foremost of this sacrifice, you have gone to the beginning of the sacrifice, lead the sacrifice to the beginning, lead the lord of sacrifice, Indra chose you in the battle against Vritra, you chose Indra in the battle against Vrtra, sprinkled, may the divine clans be seated, you are of the forest, you are of heaven, you are of earth, you are of water, you are of fire, you are of wind, you are of space, you are of time, you are of light, you are of darkness, you are of day, you are of night, you are of dawn, you are of evening, you are of morning, you are of noon, you are of afternoon, you are of twilight, you are of all seasons, you are of spring, you are of summer, you are of autumn, you are of winter, you are of growth, you are of increase, you are of prosperity, you are of abundance, you are of plenty, you are of fullness, you are of fulfillment, you are of completion, you are of accomplishment, you are of success, you are of victory, you are of conquest, you are of sovereignty, you are of lordship, you are of power, you are of strength, you are of might, you are of greatness, you are of glory, you are of fame, you are of renown, you are of praise, you are of worship, you are of adoration, you are of honor, you are of respect, you are of reverence, you are of veneration, you are of offering, you are of oblation, you are of sacrifice, you are of consecration, you are of initiation, you are of invocation, you are of prayer, you are of benediction, you are of blessing, you are of grace, you are of favor, you are of kindness, you are of compassion, you are of mercy, you are of forgiveness, you are of pardon, you are of purity, you are of cleanliness, you are of cleansing, you are of purification, you are of sanctification, you are of holiness, you are of sanctity, you are of sacredness, you are of truth, you are of reality, you are of veracity, you are of honesty, you are of sincerity, you are of uprightness, you are the truth, you are the reality, you are the veracity, you are the honesty, you are the sincerity, you are the uprightness, you have been chosen by the gods, you are the chosen one, you are the one who is chosen, you are the choice, you are the selection, you are the option, you are the alternative, you
1.1.5.1	You are the most brilliant, the most shining, the most praised, the most worshipped, the most invoked of the gods. You are the unerring Havirdhāna. Be firm, do not tremble. You are the step of Vishnu. You are the wide-breathing. With the eye of Mitra, with the eye of Varuna, with the eye that is yours, I look. With the impulse of the god Savitr, with the arms of the Asvins, with the hands of Pusan, may they protect you. May the five protectors protect you. To the protector of cattle, to the protector of men, to the protector, to the protector from above, to the protector below, to the protector on all sides, to the protector in the middle, to the protector at the end, to the protector who is the best, to the protector Narayana, to the protector Agni, to the protector Varuna, to the protector Yama, to the protector Indra, to the protector Aryaman, to the protector Mitra, to the protector Varuṇa, to the protector Dhruva, to the protector Ananta, to the protector Vishnu, to the protector Prajapati, to the protector Rudra, to the protector Bhava, to the supreme protector, to the supreme lord, to the supreme god, to the supreme Brahman, to the supreme truth, to the supreme bliss, to the supreme light, to the supreme knowledge, to the supreme consciousness, to the supreme being, to the supreme soul, to the supreme self, to the supreme person, to the supreme one, to the supreme, to the supreme of the supreme, to Narayana, to Narayana. May you be released from Varuna's noose through the heaven and earth. May you be released from the noose of Yama through the heaven and the earth. May you attain the shining light of the all-pervading fire. May you attain to the heaven and the sky. I place you on Aditi's lap.
1.1.6.1	May the god Savitar purify you with the stainless purifying (stream), with the rays of the shining Vasu.
1.1.6.2	I sprinkle for Agni what is agreeable to him, for you what is agreeable to the gods. Whatever impurity has touched you, purify it. You are the skin of Aditi. The Rakshas has been driven away, the enemy has been driven away. You are the hide of Aditi. May the hide of Adityā protect you. You are the large stone, you are the tree. May the hide Aditi protect you. You (are) the tongue of Agni, the discharge of speech. For your life, you are the large stone. You are the tree. You are the tongue of Agni. May the hide Adityā protect you. The stone is large, you are the plant. You are the stone, you are a tree. You are Madhujihva. By you we may conquer every group of enemies. Bestow food, bestow strength, bestow prosperity. You are the stone, the tree. You (are the stone) that is the stone, the Madhujihva (stone). By you we may overcome every group of enemies, bestow food, bestow strength. You are the one who bestows prosperity.
1.1.7.1	You are the one who grows with the years. May I, who grows with the year, know you. The Rakṣas is driven away, the Rakṣas is destroyed. The Rakṣa's share is cast aside. You are the skin of Aditi. The Rakṣasa is driven away, Rakṣas is cast aside. The Rakṣā's share is driven away. You are the hide of Aditi. You are the one that is known. You are the discerning one. You are the mountain. May I, the mountain, know you. You are the discernment. You are the Mountain. May I, Mountain, know you. May I, mountain, know you, the discerning one. May I,mountain, know you,the discerning one. You belong to Aditi. You belong to the mountain. You are the pillar of Aditi. You are the grain. You are the grain. Bestow the gods. For your breath. For your out-breath. For your through-breath. May you touch the long-drawn-out. For your life. May you look with the eye of Mitra. May the god Savitar, with golden hands, receive you.
1.1.8.1	Burn the Rakshas, burn the enemies. Do not burn the ocean. You are firm. Stabilize the earth. O Agni, drive away the raw Agni. Drive away the carnivorous one. O Agni, carry the divine sacrifice. You are firm, stabilize the atmosphere. You are the supporter, stabilize the sky. You are the law, stabilize all things. You are the knower, you are the knower of all directions. Settle down in all directions. Surround this sacrificer with his kinsmen. May the kinsmen surround this sacrificer. May the Vasus, Rudras, Adityas, Bhrigus, Angiras, and the heat of Gharma torment you with their heat.
1.1.8.2	The skulls which the wise ones collect in the summer, those also, O Indra-Vayu, release them as a vow.
1.1.9.1	I pour with the impulse of the divine Savitar, with the arms of the Ashvins, with the hands of Pusan.
1.1.9.2	May the divine Savitar purify you with the flawless purifier, with the rays of the shining Vasu Surya.
1.1.9.3	May the waters go together with the plants, may the plants go together with the juice, may the auspicious Revatī and Jagatī verses go together with the auspicious ones. May the water go together with the water.
1.1.9.4	May the clans be united for the mother. You are the Hotar, the life of all. O Hotar, be united with the Hotar. May your lord of sacrifice spread widely. May your body be united with your body.
1.1.9.5	Vāja-pati, the wise, Agni, has gone to the offerings, bestowing treasures on the giver.
1.1.9.6	May the god Savitar melt you, the highest in the sky, on the earth. O Agni, take the Brahman.
1.1.10.1	In the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, I take thee. Thou art the right arm of Indra, thousand-armed, hundred-rayed, sharp-rayed, Vayu, the earth is the place of sacrifice, may I not injure the roots of the plants. Go to the village, to the cattle-pen, may the rain fall for thee. Bind, O divine Savitr, him who hates us and whom we hate, with a hundred fetters in the farthest distance. Let him not loose thee from this. May the auspicious plants not injure the roots. Go to the cattle-shed, to the village, may the rain pour for thee. Bind him who hates us, and whom we hate with a hundred fetter in the farthest distance, let him not loose thee. Let not thy drops fall on heaven. Go to the house, to the cattle pen, may the rain shower for thee. Bind with a hundred fetthers in the farthest distance him who hates us or whom we hate. Let him not loosen thee. The Vasus take thee round with the Gayatri metre, the Rudras take thee round with Trishtup metre, the Adityas take thee round with Jagat metre, the Apararu, the place of sacrifice of the gods, thou art the place of truth, thou art the abode of truth, thou are the abode of heat.
1.1.10.2	In olden time, Virupa, the cruel, having taken the earth from the Jīradānu, came to it with the Svadhās in the moon. The wise poets, having directed it, worshipped it.
1.1.11.1	Thou art the destroyer of Rakshas, thou art the destroyer of foes. Do not destroy my life, do not destroy my breath, do not destroy sight, do not destroy hearing, do not destroy speech, do not destroy cattle, do not destroy sacrifice, do not destroy progeny. Thou art splendour, thou art brilliance, thou art light, thou art immortality, thou art all-gods.
1.1.11.2	Thou art the oblation, the all-pervading, the one with uplifted lustre, the one with true lustre, thou art strength, thou art the conqueror of foes, thou art the conquerer of the foe.
1.1.11.3	Thou art the one with a thousand powers, do thou strengthen me. Thou art the butter of butter, the oblation of oblation. Thou art the truth of truth, the butter of truth. With truth I anoint thee, with the unerring eye I look upon thee for the sake of wealth, for prosperity, for good offspring.
1.1.11.4	The Dhama is the dear one of the gods, the unassailable divine sacrifice. I take you for the divine Vidyut.
1.1.11.5	The goddesses, the waters, are pure. You are pure. We are pure. We have been well-protected. May we be your protectors. May the black one be the best of the stones. O Agni, be the ghee. You are the altar. I sprinkle you for the sacrificial grass. You are the sacrificial grass. I sprinkle you as agreeable to the altar. Svāhā to the Fathers who are heated and shining.
1.1.12.1	May Pūṣan loosen thy knot. Thou art the pillar of Vishnu. Spread widely. Thou art the soft wool, resting in the heaven. Thou art the Gandharva, the all-possessing one, drawing from all sides, the boundary of the sacrificer, the invited one, the praised one. Thou art the right arm of Indra, the boundary of sacrificer, the invoked, the praised one; may Mitra-Varuna guard thee from the north. Thou art the boundary of the Sacrificer, the invoked and praised one.
1.1.12.2	We invoke thee, O Hotr, the eternal, the wise, the bright, the shining.
1.1.12.3	May the sun protect thee from the east with his rays, from every curse. Thou art the support of all men, of the Vasus, Rudras, and Adityas. Thou art the seat of the Srucas, the womb of the Sruvas. Thou art heaven, by birth; thy name is Juhu. Thou art dear to the gods by thy dear name. Sit thou on the firm seat. Thou art the atmosphere, by birth; thine name is Upasruti. Thou art dear unto the gods by thy name. Sit thou in the firm seat. Earth is thy birth; thy name Dhruva. Thou art dear by thy dear name to the gods. Sit thou in thy firm seat. Thou are the bull, the Shakra, I place thee in the measure of the Vashat-call.
1.1.12.4	They have taken their place in the womb of truth, in the world of the righteous. Protect them, O Vishnu.
1.1.12.5	Protect the sacrifice, protect the lord of sacrifice, protect me, the sacrificer.
1.1.12.6	You are Vishnu's, you are the abodes of Vishnu, you are the offspring of Prajapati.
1.1.13.1	May Agni and Vishnu, well-covered, well-covered by me, be victorious. Do not injure me. Make the world for me in the making of the world. Do not injure my own self. Protect me. Be auspicious to us today. Vishnu was seated. Indra, standing, performed heroic deeds, beginning with the deities.
1.1.13.2	The sacrifice of the Lord of sacrifice, the sacrifice that touches the sky, the sacrifice that is not shaken, the sacrifice that belongs to Indra, the sacrifice that has Indra, the sacrifice of great light.
1.1.13.3	Pour out the Soma, the honey, the ghee, the oblation, the light with light.
1.1.13.4	Indra seized the prize of the race with the upward-grasping, and then with the downward-grasping he brought down his enemies.
1.1.13.5	Udggraha and Niggraha, the Brahman-god has increased. Now may Indra-Agni, my enemies, who are far away, be destroyed.
1.1.13.6	You are Vasu, you are Upavasu, you are Visvavasu. Having gone away with the waters, may the Vala, having become the spotted one, go to the Maruts. Come to us with rain.
1.1.13.7	The gods who are the most excellent, the most excellent in the assembly, the most excellent on the grass, singing this speech, all together, may the gods, the immortal ones, rejoice.
1.1.13.8	The gods who know the path, having found the path, may they find the path, O Mind-lord, may they find this sacrifice in heaven among the gods, in the wind, svāhā.
1.2.1.1	O divine waters, purify me. May you be sweet and full of sweetness for the sake of the divine sacrifice.
1.2.1.2	O plant, protect him, O one who is self-established, do not harm him. With that form of yours which is most auspicious, touch him.
1.2.1.3	O one who hears the gods, let these be poured out. May there be well-being for the one who is to come.
1.2.1.4	The golden-hued, pure, shining waters have gone forth, having abandoned sin. The hundred purifying waters have spread out. May the god Savitar purify me with them.
1.2.1.5	May the waters, my mothers, purify me with ghee. May the ghee-knowers purify me with ghee, may the goddesses carry all the filth. I come forth from them, pure and purified.
1.2.1.6	You are the protector of Vishnu, protect me. For you, O Agni, is the milk of the great ones, the sap of the waters and plants. You are the giver of radiance, give me radiance.
1.2.1.7	You are the tip of Vritra, the protector of my sight. I have placed my enemies and ill-will within you, with the great mountain. You are the protector, protect my sight.
1.2.1.8	May the Lord of Mind purify you, may the Lord of Speech purify you.
1.2.1.9	May the god Savitar purify you with the stainless purifying (rite), with the rays of the golden Surya.
1.2.1.10	O Lord of Purification, may I be able to purify you with that purifying (rite) for whom you purify.
1.2.2.1	To Akriti, to Pratiti, to Agni, svāhā! To Medha, to Manas, to Agni, Svāhā! To Dikṣā, to Tapas, to Agni,Svāhā! To Sarasvatī, to Pūṣan, to Agni,svāhā!
1.2.2.2	The goddesses, the great, the all-shining, the heaven and earth, the space in between, may Brihaspati increase us with oblations, svāhā!
1.2.2.3	The mortal has gone to the friendship of the Lord of the world, the universal one, seeking wealth and prosperity. Choose the splendour, you prosper. Svāhā.
1.2.2.4	You are established in the art of Ṛk and Sāman. I begin with you. Protect me from all calamities. You are the protection of Viṣṇu. Grant me protection. Obeisance to you. Do not harm me.
1.2.2.5	O God, teach me this wisdom, O Varuna, the wise, by which we may cross all evil. I would ascend the boat of the good saviour.
1.2.2.6	The Sun, the Fire, Heaven and Earth, the Sky, the Plants, the Lords of Initiation, may they call me to the Initiation. O God Savitar, thou art the Lord of Initiation. Protect me thus, as thou art. The Angiras's energy, the one with the golden locks, may it bestow energy on me. Thou art the womb of Indra. Protect me. To thee be reverence. Do not harm me.
1.2.2.7	Make agriculture very fruitful, make the plants very fragrant. Bind the knot of this (cow) which is in her heart, which is in her mind.
1.2.2.8	You are the great one, you are the one belonging to the forest, you are the bright one. Give brightness to the sacrificer. Protect from the shining of the stars.
1.2.2.9	We invoke you, O gods, for the good, for the sacrifice, for what you, O gods are ready to give. We invoke you, the gods, who are worthy of sacrifice.
1.2.2.10	Svāhā to the sacrifice, Svāhā to the mind, Svāhā from heaven, Svāhāfrom the earth, Svāhāto the sky, Svāhā, I take from the wind. Svāhā.
1.2.3.1	From the proximity of the stars, may you perform the vow.
1.2.3.2	We desire the divine mind, the gentle, for our prosperity, the giver of splendour, the carrier of sacrifice, the giver of good ford, may it be in our power.
1.2.3.3	Those gods who are born of mind, who are yoked with mind, who are skilful, who are the fathers of skill, may they protect us, may they guard us, to them salutations.
1.2.3.4-5	May the waters be auspicious for us, your own, in our bellies, auspicious, with plenty of food, with plenty of wealth, with plenty of offspring, with plenty of life, with plenty of strength, with plenty of light, with plenty of radiance, with plenty of happiness, with plenty of joy, with plenty of peace, with plenty of prosperity, with plenty of good fortune, with plenty of goodness, with plenty of bliss, with plenty of well-being, with plenty of welfare, with plenty of safety, with plenty of protection, with plenty of freedom from harm, with plenty of health, with plenty of healing, with plenty of success, with plenty of victory, with plenty of growth, with plenty of increase, with plenty of abundance, with plenty of nourishment, with plenty of enjoyment, with plenty of pleasure, with plenty of delight, with plenty of satisfaction, with plenty of contentment, with plenty of love, with plenty of affection, with plenty of friendship, with plenty of harmony, with plenty of concord, with plenty of unity, with plenty of union, with plenty of communion, with plenty of fellowship, with plenty of companionship, with plenty of togetherness, with plenty of oneness, with plenty of non-separation, with plenty of absence of separation, with plenty of presence, with plenty of nearness, with plenty, with plenty of everything, with plenty of all, with plenty of the whole, with plenty of every part, with plenty of each part, with plenty, O Agni, of everything, with everything,
1.2.3.6	Again the mind, again the life, again the breath has come, again the intention has come. May the invincible Vaisvānara, the protector of the body, remove all evils.
1.2.3.7	You, O Agni, are the protector of vows, O god among mortals. You are to be worshipped in sacrifices. Hold the vow in us.
1.2.3.8	Pusan, the lord of the shining ones, Soma, the lord of gifts, may he, the giver, be exalted by giving. May we be exalted by life and radiance. May Soma give more and more. The god Savitar, the bestower of wealth, Vayu, the protector, Tvashtri, the lord, Pusan, the receiver, the goddesses, the waters, the foot of the waters, the wave, the one who is powerful, the most intoxicating, him I approach. Those of the animals, those of speech, those of the bull, those of the sun, those of the bright one, those I send forth according to your share. May the auspicious ones return to us. To Vayu thee! To Varuna thee! To Rudra thee! To Nirriti thee! To Indra thee! To the Maruts thee!
1.2.4.1	This is thy body, O Shukra, this is thy lustre. By it, O shining one, go to the light. Thou art held by the mind, approved by Vishnu. May the true offspring of her, the womb, be thine. Svāhā! Thou art Shukra, thou art Chandra, thou art Amrita, thou art Vaishvadeva, thou art Chit, thou art Mana, thou art Dhī, thou art Dakshina, thou art Yajnya, thou art Kshatriya, thou art Aditi, thou art the one with two heads. May she be auspicious for us, auspicious for us. May Mitra bind thee on the path, may Pūshan protect thee on the way. May thy mother, thy father, thy brother born of the same womb, thy friend, thy companion, O Goddess, may she approach the God. May Rudra turn thee back to Indra, the Soma. Return safely with the Soma. Thou art Vasu, thou art Rudra, thou art Adithi, thou art Aditya, thou art Chandra. May Brihaspati delight thee with good fortune. May Rudra with the Vasus praise thee. I have sought thee on the head of the earth, in the place of the Yajnya, of the Ida, the one with ghee. Svāhā. May thou delight in us. Thy wealth, thy wealth, thy wealth. Do not be separated from the prosperity of wealth. We praise thee, O Tvashtri, the one with the Vasus.
1.2.5.1	The eye of the sun, the tip of the eye of Agni, when thou art led by the Etasas, shining, by the wise,
1.2.5.2	We have found the path, the path of welfare, the path of no toil, whereby one may encompass all foes, and win wealth.
1.2.5.3	Thou art ours. Thy cup is bright. Hail! To thee from the wise.
1.2.5.4	I worship that God Savitar, the giver of wealth, the giver of truth, the giver of gems, the giver of good counsel, whose counsel shines upward in the light, in the light of the sun, the giver of gold, the giver of compassion, the giver of heaven.
1.2.5.5	For the creatures, for you, may the creatures follow you. Protect the creatures. The bright one, for you, the bright one, the bright one for the bright one, for the bright one. The moon, for the moon, the moon for the moon, for the nectar, for the nectar. I buy the nectar, O divine Soma, for your power. The moon, the moon, the nectar, the nectar. The moon, O Soma, for the moon. The moon, I buy the moon. The nectar, I buy the nectar. The nectar, the nectar, for you. The moon, your form, is the body of Tapas, the color of Prajapati. The thousand-nourishing ones are growing. Buy with the supreme animal. Buy for us. Your friend, the good-speaking, the good-bearing, the good-carrying, the good-holding, the good-supporting, the good-shining, the good-burning, the good-glowing, the good-blazing, the good-radiating, the good-luminous, the good-bright, the good-brilliant, the good-splendid, the good-glorious, the good-resplendent, the good-shimmering, the good-sparkling, the good-flashing, the good, the good-looking, the good-seeing, the good-viewing, the good-observing, the good. These are your Soma-buying ones. Protect them, lest they be harmed. May the evil eye not harm you.
1.2.6.1	Thou art thine own, thou art thine own, born for our work. I take thee with truth; protect us with truth. Come, O Mitra, to the good friend, with the nourishing of wealth. Enter the right thigh of Indra, the shining one, the shining one; the pleasant one, the pleasant one.
1.2.6.2	With the life of the plants, with the juice of the plants, from the abode of Parjanya, from the immortal, have I come.
1.2.6.3	Go to the heaven of Aditi.
1.2.6.4	The bull supported the heaven, he measured the atmosphere, he settled the extent of the earth. He settled all the worlds, the emperor. All those are the ordinances of Varuna.
1.2.6.5	In the forests he spread the space, the strength in the steeds, the milk in the cows, the mind in the hearts, Varuna in the directions, Agni in the sky, the sun in heaven, Soma in the mountains.
1.2.6.6	You are the bearer, O bearer, bear him who has borne us, and whom we have borne, bear him.
1.2.6.7	You are Varuna's (noose). May Varuna strengthen you. You are Varuna’s pillar.
1.2.6.8	Go forth, O Lord of the world, to all the worlds. May not those who are hostile to us, or those who are hostile, or those who wish us ill, know you.
1.2.6.9	Having become a hawk, fly away to the house of the sacrificer, prepared for the drinking of the gods.
1.2.6.10	Obeisance to Mitra and Varuna, to the great god, to the one who sees, to the one whose sight is far-reaching, to the leader of the divine race, to the son of heaven, to Surya, praise him.
1.2.6.11	You are Varuna's, may Varuna establish you. You are the raising of Varuna's pillar.
1.2.6.12	The noose of Varuna is loosed, the noose of Varun is loosed. Obeisance to the noose of varuna. Thou art the body of Agni, for Vishnu thee. Thou art the Body of Soma, for Vishnu thee, Thou art the hospitality of the guest, for Vishnu thee; Thou art for Agni, for the giver of wealth, for Vishnu thee Thou art for the hawk, for the bearer of Soma, for Vishņu thee. Thou art Varuna, thou art Varuna, the upholder of vows. Thou hast taken thy seat in the abode of truth of Varuna. For Varuna thee.
1.2.7.1	You are the womb of Agni, you are the testicles, you are Urvashi, you are life, you are Pururava, you are the Gayatri, you are the Tristubh, you are the Jagati.
1.2.7.2	Be of one mind, of one desire, of one thought, of one intention.
1.2.7.3	Do not injure our sacrifice, do not injure our sacrificer. O you two who know all, be auspicious to us today.
1.2.7.4	Agni, Agni moves forward, entered by the sages, this son of the king.
1.2.7.5	To him we offer oblations, may we not miss our share among the gods.
1.2.7.6	I take thee for the falling down, I take thee for falling down, for Tanunaptra, for the strong, for the strong one, for the strongest, for the unassailable, for the unassailed, for the strength of the gods, for the one who protects from curses, for the one not cursed.
1.2.7.7	May the lord of vows approve of this vow of mine, may the lord of consecration approve of this consecration of mine. I have approached the truth in the right way. Do thou, O Agni, lord of vows, bestow on me good fortune. This body of mine is in thee, O Agni, the lord of vows. This body of thine is in me. Together with thee, O lord of vows, may the vows of us both be fulfilled. The juice has been increased for thee, O divine Soma, for Indra, the knower of one wealth. Thou hast been increased for Indra. Indra has been increased for you. Do thou increase thy friends with wisdom. May the divine Soma bestow on thee good fortune. May thy pressing be auspicious. May thy goal be auspicious. May the desires be auspicious. May our desires be auspicious. Do thou send forth the boons. To Bhaga, to the speakers of truth, salutations. Salutations to heaven, salutations to earth.
1.2.7.8	O Agni, the body that is most excellent, most hidden, that is thine, the fierce speech thou hast removed.
1.2.7.9	O Agni, the body which is thine, which is thine, O Agni, which is thine. O Agni, the Rudra body, by that protect us. To that be svāhā.
1.2.8.1	You are my protector, you are my protector. Protect me from distress, protect me from affliction. O Agni Angiras, who is above this earth, come with your life and name. May the Vasus take you with the Gayatri metre. May you be blessed by the lord of sacrifice. Whatever is your inviolable abode, by that I have placed you. O Agni Angira, who is above the second earth, come with life and name. The Rudras take you with the Tristubh metre. May you prosper by the lord of the sacrifice. Whatever is thy inviolable abode, thereby have I placed thee. O Agni Angiras, who is above that third earth, come with thy life and name. Let the Adityas take thee with the Jagati metre. May you flourish by the lord of sacrifices. Whatever is thy inviolate abode, thereby have placed thee. O Vidyut Agni, whose name is Nabha, thou art the lioness, thou art the she-buffalo. Purify for the gods, purify for the gods. May the Indra-voiced ones protect thee from the east with the Vasus. May the fathers protect thee from the south with the mind's speed. May the Rudras protect thee from the west with the Pracetasas. May Visvakarman protect thee from the north with the Adityas. Thou art the lioness. Thou art the destroyer of enemies. Svāhā! Thou art the lion-ess, thou art desirous of wealth and prosperity. Svāhā. Thou art the she-lioness, thou art desiring good offspring. Svāhā, thou art the She-lioness, desiring the Adityas, desiring one's own people. Svāhā thou art the She lioness, bring the gods to the sacrificer who worships. Svāhā to the beings. Thou art the universal life. Thou art the firm earth. Thou art the steady earth. Thou art firm in the sky. Thou art the unshakable earth. Thou art heaven. Thou art Agni's ash. Thou art Agni’s dung. Thou art Agniʼs nest.
1.2.9.2	They yoke the mind, they yoke the thoughts, the seers, the wise, of the great seer. One, knowing the ways, has taken up the office of the Hotri. The great praise of the god Savitar.
1.2.9.3	Drive away the fear of the young. Do not turn back. Go to the house of Soma. Go to the place prepared by Indra.
1.2.9.4	This is Vishnu, who strode thrice, and placed his foot in three places. He has covered the dust of this earth.
1.2.9.5	The earth, the giver of food, the giver of wealth, the giver of cattle, the giver of happiness, the giver of fame to Manu, the one who has covered the heaven and earth, O Vishnu, you have spread the earth with your rays.
1.2.9.6	O god, speak well, O one who is difficult to conquer, O one who conquers the enemies.
1.2.9.7	May the hero be born to us, the one who is skilled in his work, the protector from censure, the one who does not censure, the one whom many support, the one who controls many.
1.2.9.8	You are the Vishnu-weapon. May Vishnu protect you.
1.2.9.9	O Vishnu, from heaven, or from earth, or from the great expanse of Vishnu, the sky, stretch forth thy hands, with many gifts, and give from the right and from the left.
1.2.9.10	What are the deeds of Vishnu shall I relate? He who measured the earthly regions, who stretched out the upper abode, the three-fold, mighty, and far-reaching one.
1.2.9.11	Thou art the back of Vishnu, thou art the belly of Vishnu, thou standest in the ship of Vishnu, thou are the thread of Vishnu, thou the firm of Vishnu, thou of Vishnu, thou belongest to Vishnu.
1.2.9.12	That Vishnu is praised by his valour, the fierce beast, the most excellent of mountains, whose three strides cover all the worlds.
1.2.10.1	With the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, I take thee. Thou art the pestle, thou art the pestle-woman. I cut off the neck of the Rakshas. I cut off his neck who is hostile to me, whether he be my friend or not. Thou art great, thou art the great one, thou art the Great One. Speak to Indra the speech that destroys the Rakshas, that destroys the Vala, that belongs to Vishnu. Thou art the overlord, the slayer of foes. I cut off those Vala-snares which my friend or my foe has laid for me. The Vala-snare that was laid for the ankle is cast out. Thou art the self-ruler, the slayer of the hostile. I cut off these Vala-snakes which my kinsman or my non-kinsman has laid for me, the Vala-snagre that was laid for my knee is cast out. thou art the overlord of the sacrifice, the slayer of reproach. I cut off this Vala-snaire which my enemy or my non-enemy has laid for me; the Vala-snake that was laid for me at my navel is cast out. The overlord of all, the slayer of him who is hostile, I cut off these Valas which my relative or my non-relative has laid for me.
1.2.10.2	Touch these for life and radiance. You are the treasure of the gods, the destroyer of enemies. Destroy all the enmities that we have created.
1.2.10.3	This is the treasure of the Gods, whatever is hidden. Now, making the four directions, make the enemies go down.
1.2.11.1	For earth thee, for the atmosphere thee, for heaven thee, may the worlds where the Fathers dwell be purified. Thou art Yava, thou hast driven away our foes, thou hast driven off our enemies. I spread thee on the world where the Fathers dwell.
1.2.11.2	Grow up, O tree, with the divine grass, the Maruts have pressed thee down. May Mitra-Varuna press thee down with the firm law.
1.2.11.3	I enclose thee in the region of Brahman and in the region of the Kshatra. Firm up Brahman, firm up Kshatra, firm up the prosperity of wealth, firm up progeny, firm up the kinsmen for this sacrificer.
1.2.11.4	O heaven and earth, be filled with ghee. You are the shade of all people.
1.2.11.5	May these songs of thine, O lover of praise, be on all sides, for the aged, may the agreeable ones be agreeable to the aged.
1.2.11.6	For Indra thee, thou art the thread of Indra, thou art the firm one of Indra, thou belongest to Indra. I sprinkle thee, the destroyer of Rakshas and Valagas, belonging to Vishnu. I besprinkle thee, the destroyer, etc. I besprinkte thee, the destroyer. I spread thee, the destroyer belonging to Vishnu. The destroyer of Rakshasa and Valagas, I spread thee, belonging to Vishnu.
1.2.12.1	Thou art Vibhu, thou art Pravahana, thou art Agni, thou art Havyavahana, thou art Svatra, thou art Praceta, thou art Tutha, thou art Vishva Veda, thou art Avayu, thou art Duvasva, thou art Anghari, thou art Bambhari, thou art Ushis, thou art Kavi, thou art Shunthyu, thou art Marjalyu, thou art Samra, thou art Krsanu, thou art Parishadyu, thou art Asthayu, thou art Nabha, thou art Pratakva, thou art Asammast, thou art Havisudana, thou art Sagara, thou art Vishvavedas, thou art Ritadhama, thou art Svarjyotis, thou art Samudra, thou art Vishvavya, thou art Aja, thou art Ekapat, thou art Ahi, thou art Budhnya, thou art Kavya, thou art Kavayavahana, protect me with the Rudra army, O Agni, increase me, salutations to thee, do not injure me.
1.2.13.1	O Soma, thou art the protector from the harm done by others, from the harm done to one's own body. Thou art the protector from all harm. Svāhā.
1.2.13.2	May he who is pleased accept the ghee. Svāhā
1.2.13.3	O Agni, lead us by the good path, O God, knowing all ways, and having known all paths, do thou remove our sin, the sin that we have committed knowingly or unknowingly. We shall offer thee the greatest praise.
