#Text:Śatapathabrāhmaṇa
#Edition:Weber
#Notes:Sentence splits: 3, 4.1-4 (O. Hellwig), 7 (S. Sellmer), 8 (K. Amano), 9 (O. Hellwig); text and sentence splits from DCS: 10. Following the conventions used for other texts, we assign a separate line id to each sentence.
#Todo:Insert 4.5ff. From the DCS. ŚBM: 5, 14: sentence splits needed. 6.1.1-6.7.1: sentence splits needed. 6.7.2ff. can be taken from the DCS.


3.1.1.1.1	devayajanaṃ joṣayante
3.1.1.9.1	tan na sarva ivābhiprapadyeta brāhmaṇo vaiva rājanyo vā vaiśyo vā
3.1.1.9.2	te hi yajñiyāḥ
3.1.1.10.1	sa vai na sarveṇeva saṃvadeta
3.1.1.10.2	devān vā eṣa upāvartate yo dīkṣate
3.1.1.10.3	sa devatānām eko bhavati
3.1.1.10.4	na vai devā sarveṇeva saṃvadante brāhmaṇena vaiva rājanyena vā vaiśyena vā
3.1.1.10.5	te hi yajñiyās tasmād yady enaṃ śūdreṇa saṃvādo vindedeteṣām evaikam brūyād imam iti
3.1.1.10.6	vicakṣvemam iti vicakṣveti
3.1.1.10.7	eṣa u tatra dīkṣitasyopacāraḥ
3.1.1.11.1	athāraṇī pāṇau kṛtvā śālām adhyavasyati
3.1.1.11.2	sa pūrvārdhyaṃ sthūṇārājam abhipadyaitad yajur āhaidam aganma devayajanam pṛthivyā yatra devāso ajuṣanta viśva iti
3.1.1.11.3	tad asya viśvaiś ca devair juṣṭam bhavati ye ceme brāhmaṇāḥ śuśruvāṃso 'nūcānāḥ
3.1.1.11.4	yad ahāsya te 'kṣibhyām īkṣante brāhmaṇāḥ śuśruvāṃsas tad ahāsya tair juṣṭam bhavati
3.1.1.12.1	yad v āha yatra devāso ajuṣanta viśva iti tad asya viśvair devair juṣṭam bhavati
3.1.1.12.2	ṛkṣāmābhyāṃ saṃtaranto yajurbhir iti
3.1.1.12.3	ṛkṣāmābhyāṃ vai yajurbhir yajñasyodṛcaṃ gacchanti
3.1.1.12.4	yajñasyodṛcaṃ gacchānīty evaitad āha
3.1.1.12.5	rāyaspoṣeṇa sam iṣā mademeti
3.1.1.12.6	bhūmā vai rāyaspoṣaḥ
3.1.1.12.7	śrīr vai bhūmā
3.1.1.12.8	āśiṣam evaitad āśāste
3.1.1.12.9	sam iṣā mademeti
3.1.1.12.10	iṣam madatīti vai tam āhur yaḥ śriyam aśnute yaḥ paramatāṃ gacchati
3.1.1.12.11	tasmād āha sam iṣā mademeti
3.1.2.1.1	aparāhṇe dīkṣeta
3.1.2.1.2	purā keśaśmaśror vapanād yat kāmayeta tad aśnīyād yad vā sampadyeta
3.1.2.1.3	vrataṃ hy evāsyāto 'śanam bhavati
3.1.2.1.4	yady u nāśiśiṣed api kāmaṃ nāśnīyāt
3.1.2.2.1	athottareṇa śālām pariśrayanti
3.1.2.2.2	tad udakumbham upanidadhāti
3.1.2.2.3	tan nāpita upatiṣṭhate
3.1.2.2.4	tat keśaśmaśru ca vapate nakhāni ca nikṛntate
3.1.2.2.5	asti vai puruṣasyāmedhyaṃ yatrāsyāpo nopatiṣṭhante
3.1.2.2.6	keśaśmaśrau ca vā asya nakheṣu cāpo nopatiṣṭhante
3.1.2.2.7	tad yat keśaśmaśru ca vapate nakhāni ca nikṛntate medhyo bhūtvā dīkṣā iti
3.1.2.3.1	taddhaike sarva eva vapante sarva eva medhyā bhūtvā dīkṣiṣyāmaha iti
3.1.2.3.2	tad u tathā na kuryāt
3.1.2.3.3	yad vai keśaśmaśru ca vapate nakhāni ca nikṛntate tad eva medhyo bhavati
3.1.2.3.4	tasmād u keśaśmaśru caiva vapeta nakhāni ca nikṛnteta
3.1.2.4.1	sa vai nakhāny evāgre nikṛntate dakṣiṇasyaivāgre
3.1.2.4.2	savyasya vā agre mānuṣe 'thaivaṃ devatrā
3.1.2.4.3	aṅguṣṭhayor evāgre
3.1.2.4.4	kaniṣṭhikayor vā agre mānuṣe 'thaivaṃ devatrā
3.1.2.5.1	sa dakṣiṇam evāgre godānaṃ vitārayati
3.1.2.5.2	savyaṃ vā agre mānuṣe 'thaivaṃ devatrā
3.1.2.6.1	sa dakṣiṇam evāgre godānam abhyunattīmā āpaḥ śam u me santu devīr iti
3.1.2.6.2	sa yad āhemā āpaḥ śam u me santu devīr iti vajro vā āpaḥ
3.1.2.6.3	vajro hi vā āpaḥ
3.1.2.6.4	tasmād yenaitā yanti nimnaṃ kurvanti
3.1.2.6.5	yatropatiṣṭhante nirdahanti
3.1.2.6.6	tat tad etam evaitad vajraṃ śamayati
3.1.2.6.7	tatho hainam eṣa vajraḥ śānto na hinasti
3.1.2.6.8	tasmād āhemā āpaḥ śam u me santu devīr iti
3.1.2.7.1	atha darbhataruṇakam antardadhāty oṣadhe trāyasveti
3.1.2.7.2	vajro vai kṣuraḥ
3.1.2.7.3	tatho hainam eṣa vajraḥ kṣuro na hinasti
3.1.2.7.4	atha kṣureṇābhinidadhāti svadhite mainaṃ hiṃsīr iti
3.1.2.7.5	vajro vai kṣuraḥ
3.1.2.7.6	tatho hainam eṣa vajraḥ kṣuro na hinasti
3.1.2.8.1	pracchidyodapātre prāsyati
3.1.2.8.2	tūṣṇīm evottaraṃ godānam abhyunatti
3.1.2.8.3	tūṣṇīṃ darbhataruṇakam antardadhāti
3.1.2.8.4	tūṣṇīṃ kṣureṇābhinidhāya pracchidyodapātre prāsyati
3.1.2.9.1	atha nāpitāya kṣuram prayacchati
3.1.2.9.2	sa keśaśmaśru vapati
3.1.2.9.3	sa yadā keśaśmaśru vapati
3.1.2.10.1	atha snāti
3.1.2.10.2	amedhyo vai puruṣaḥ
3.1.2.10.3	yad anṛtaṃ vadati tena pūtir antarataḥ
3.1.2.10.4	medhyā vā āpaḥ
3.1.2.10.5	medhyo bhūtvā dīkṣā iti
3.1.2.10.6	pavitraṃ vā āpaḥ
3.1.2.10.7	pavitrapūto dīkṣā iti
3.1.2.10.8	tasmād vai snāti
3.1.2.11.1	sa snāty āpo asmān mātaraḥ śundhayantv iti
3.1.2.11.2	ghṛtena no ghṛtaṣvaḥ punantv iti
3.1.2.11.3	tad vai supūtaṃ yaṃ ghṛtenāpunan
3.1.2.11.4	tasmād āha ghṛtena no ghṛtapvaḥ punantv iti
3.1.2.11.5	viśvaṃ hi ripram pravahanti devīr iti
3.1.2.11.6	yad vai viśvaṃ sarvaṃ tad yad amedhyaṃ ripram
3.1.2.11.7	tat sarvaṃ hy asmād amedhyam pravahanti
3.1.2.11.8	tasmād āha viśvaṃ hi ripram pravahanti devīr iti
3.1.2.12.1	atha prāṅṅ ivodaṅṅ utkrāmaty ud id ābhyaḥ śucir ā pūta emīti
3.1.2.12.2	uddhy ābhyaḥ śuciḥ pūta eti
3.1.2.13.1	atha vāsaḥ paridhatte sarvatvāyaiva
3.1.2.13.2	svām evāsminn etat tvacaṃ dadhāti
3.1.2.13.3	yā ha vā iyaṃ gos tvak puruṣe haiṣāgra āsa
3.1.2.14.1	te devā abruvan gaur vā idaṃ sarvaṃ bibharti
3.1.2.14.2	hanta yeyam puruṣe tvag gavyetāṃ dadhāma
3.1.2.14.3	tayaiṣā varṣantaṃ tayā himaṃ tayā ghṛṇiṃ titikṣiṣyata iti
3.1.2.15.1	te 'vacchāya puruṣaṃ gavyetāṃ tvacam adadhuḥ
3.1.2.15.2	tayaiṣā varṣantaṃ tayā himaṃ tayā ghṛṇiṃ titikṣate
3.1.2.16.1	avachito hi vai puruṣaḥ
3.1.2.16.2	tasmād asya yatraiva kva ca kuśo vā yad vā vikṛntati tata eva lohitam utpatati
3.1.2.16.3	tasminn etāṃ tvacam adadhur vāsa eva
3.1.2.16.4	tasmān nānyaḥ puruṣād vāso bibharti
3.1.2.16.5	etāṃ hy asmiṃs tvacam adadhuḥ
3.1.2.16.6	tasmād u suvāsā eva bubhūṣet svayā tvacā samṛddhyā iti
3.1.2.16.7	tasmād apy aślīlaṃ suvāsasaṃ didṛkṣante
3.1.2.16.8	svayā hi tvacā samṛddho bhavati
3.1.2.17.1	no hānte gor nagnaḥ syāt
3.1.2.17.2	veda ha gaur aham asya tvacam bibharmīti
3.1.2.17.3	sā bibhyatī trasati tvacam ma ādāsyata iti
3.1.2.17.4	tasmād u gāvaḥ suvāsasam upaiva niśrayante
3.1.2.18.1	tasya vā etasya vāsaso 'gneḥ paryāso bhavati vāyor anucchādo nīviḥ pitṝṇāṃ sarpāṇāṃ praghāto viśveṣāṃ devānāṃ tantava ārokā nakṣatrāṇām
3.1.2.18.2	evaṃ hi vā etat sarve devā anvāyattāḥ
3.1.2.18.3	tasmād dīkṣitavasanam bhavati
3.1.2.19.1	tad vā ahataṃ syād ayātayāmatāyai
3.1.2.19.2	tad vai niṣpeṣṭavai brūyād yad evāsyātrāmedhyā kṛṇatti vā vayati vā tad asya medhyam asad iti
3.1.2.19.3	yady u ahataṃ syād adbhir abhyukṣen medhyam asad iti
3.1.2.19.4	atho yad idaṃ snātavasyaṃ nihitam apalpūlanakṛtam bhavati teno hāpi dīkṣeta
3.1.2.20.1	tat paridhatte dīkṣātapasos tanūr asīti
3.1.2.20.2	adīkṣitasya vā asyaiṣāgre tanūr bhavaty athātra dīkṣātapasoḥ
3.1.2.20.3	tasmād āha dīkṣātapasos tanūr asīti
3.1.2.20.4	tāṃ tvā śivāṃ śagmām paridadha iti
3.1.2.20.5	tāṃ tvā śivāṃ sādhvīm paridadha ity evaitad āha
3.1.2.20.6	bhadraṃ varṇam puṣyann iti
3.1.2.20.7	pāpaṃ vā eṣo 'gre varṇam puṣyati yam amum adīkṣitaḥ
3.1.2.20.8	athātra bhadram
3.1.2.20.9	tasmād āha bhadraṃ varṇam puṣyann iti
3.1.2.21.1	athainaṃ śālām prapādayati
3.1.2.21.2	sa dhenvai cānaḍuhaś ca nāśnīyāt
3.1.2.21.3	dhenvanaḍuhau vā idaṃ sarvam bibhṛtaḥ
3.1.2.21.4	te devā abruvan dhenvanaḍuhau vā idaṃ sarvam bibhṛtaḥ
3.1.2.21.5	hanta yad anyeṣāṃ vayasāṃ vīryaṃ taddhenvanaḍuhayor dadhāmeti
3.1.2.21.6	sa yad anyeṣāṃ vayasāṃ vīryam āsīt tad dhenvanaḍuhayor adadhuḥ
3.1.2.21.7	tasmād dhenuś caivānaḍvāṃś ca bhūyiṣṭhaṃ bhuṅktaḥ
3.1.2.21.8	taddhaitat sarvāśyam iva yo dhenvanaḍuhayor aśnīyād antagatir iva
3.1.2.21.9	taṃ hādbhutam abhijanitor jāyāyai garbhaṃ niravadhīd iti pāpam akad iti pāpī kīrtiḥ
3.1.2.21.10	tasmād dhenvanaḍuhayor nāśnīyāt
3.1.2.21.11	tad u hovāca yājñavalkyo 'śnāmy evāham aṃsalaṃ ced bhavatīti
3.1.3.1.1	apaḥ praṇīyāgnāvaiṣṇavam ekādaśakapālam puroḍāśaṃ nirvapati
3.1.3.1.2	agnir vai sarvā devatāḥ
3.1.3.1.3	agnau hi sarvābhyo devatābhyo juhvati
3.1.3.1.4	agnir vai yajñasyāvarārdhyo viṣṇuḥ parārdhyaḥ
3.1.3.1.5	tat sarvāś caivaitad devatāḥ parigṛhya sarvaṃ ca yajñam parigṛhya dīkṣā iti
3.1.3.1.6	tasmād āgnāvaiṣṇava ekādaśakapālaḥ puroḍāśo bhavati
3.1.3.2.1	taddhaika ādityebhyaś caruṃ nirvapanti
3.1.3.2.2	tad asti paryuditam ivāṣṭau putrāso aditer ye jātās tanvas pari devāṃ upa prait saptabhiḥ parā mārtāṇḍam āsyad iti
3.1.3.3.1	aṣṭau ha vai putrā aditeḥ
3.1.3.3.2	yāṃs tv etad devā ādityā ity ācakṣate sapta haiva te
3.1.3.3.3	avikṛtaṃ hāṣṭamaṃ janayāṃcakāra mārtāṇḍam
3.1.3.3.4	saṃdegho haivāsa yāvān evordhvas tāvāṃs tiryaṅ
3.1.3.3.5	puruṣasammita ity u haika āhuḥ
3.1.3.4.1	ta u haita ūcur devā ādityā yad asmān anvajanimā tad amuyeva bhūt
3.1.3.4.2	hantemaṃ vikaravāmeti
3.1.3.4.3	taṃ vicakrur yathāyam puruṣo vikṛtaḥ
3.1.3.4.4	tasya yāni māṃsāni saṃkṛtya saṃnyāsuḥ
3.1.3.4.5	tato hastī samabhavat
3.1.3.4.6	tasmād āhur na hastinam pratigṛhṇīyāt
3.1.3.4.7	puruṣājāno hi hastīti
3.1.3.4.8	yam u ha tad vicakruḥ sa vivasvān ādityaḥ
3.1.3.4.9	tasyemāḥ prajāḥ
3.1.3.5.1	sa hovāca rādhnavān me sa prajāyāṃ ya etam ādityebhyaś caruṃ nirvapād iti
3.1.3.5.2	rādhnoti haiva ya etam ādityebhyaś caruṃ nirvapati
3.1.3.5.3	ayaṃ tv evāgnāvaiṣṇavaḥ prajñātaḥ
3.1.3.6.1	tasya saptadaśa sāmidhenyo bhavanti
3.1.3.6.2	upāṃśu devate yajati
3.1.3.6.3	pañca prayājā bhavanti trayo 'nuyājāḥ
3.1.3.6.4	saṃyājayanti patnīḥ sarvatvāyaiva
3.1.3.6.5	samiṣṭayajur eva na juhoti ned idaṃ dīkṣitavasanam paridhāya purā yajñasya saṃsthāyā antaṃ gacchānīti
3.1.3.6.6	anto hi yajñasya samiṣṭayajuḥ
3.1.3.7.1	athāgreṇa śālāṃ tiṣṭhann abhyaṅkte
3.1.3.7.2	arur vai puruṣo 'vāchitaḥ
3.1.3.7.3	anarur evaitad bhavati yad abhyaṅkte
3.1.3.7.4	gavi vai puruṣasya tvak
3.1.3.7.5	gor vā etan navanītam bhavati
3.1.3.7.6	svayaivainam etat tvacā samardhayati
3.1.3.7.7	tasmād vā abhyaṅkte
3.1.3.8.1	tad vai navanītam bhavati
3.1.3.8.2	ghṛtaṃ vai devānām phāṇṭaṃ manuṣyāṇām
3.1.3.8.3	athaitan nāhaiva ghṛtaṃ no phāṇṭam
3.1.3.8.4	syād eva ghṛtaṃ syāt phāṇṭam ayātayāmatāyai
3.1.3.8.5	tad enam ayātayāmnaivāyātayāmānaṃ karoti
3.1.3.9.1	tam abhyanakti śīrṣato 'gra ā pādābhyām anulomam mahīnām payo 'sīti
3.1.3.9.2	mahya iti ha vā etāsām ekaṃ nāma yad gavām
3.1.3.9.3	tāsāṃ vā etat payo bhavati
3.1.3.9.4	tasmād āha mahīnām payo 'sīti
3.1.3.9.5	varcodā asi varco me dehīti
3.1.3.9.6	nātra tirohitam ivāsti
3.1.3.10.1	athākṣyāv ānakti
3.1.3.10.2	arur vai puruṣasyākṣi
3.1.3.10.3	praśānmameti ha smāha yājñavalkyaḥ
3.1.3.10.4	durakṣa iva hāsa
3.1.3.10.5	pūyo haivāsya dūṣīkā
3.1.3.10.6	te evaitad anaruṣkaroti yad akṣyāv ānakti
3.1.3.11.1	yatra vai devā asurarakṣasāni jaghnus tacchuṣṇo dānavaḥ pratyaṅ patitvā manuṣyāṇām akṣīṇi praviveśa
3.1.3.11.2	sa eṣa kanīnakaḥ kumāraka iva paribhāsate
3.1.3.11.3	tasmā evaitad yajñam upaprayant sarvato 'śmapurām paridadhāti
3.1.3.11.4	aśmā hy āñjanam
3.1.3.12.1	traikakudam bhavati
3.1.3.12.2	yatra vā indro vṛtram ahaṃs tasya yad akṣy āsīt taṃ giriṃ trikakudam akarot
3.1.3.12.3	tad yat traikakudam bhavati cakṣuṣy evaitac cakṣur dadhāti
3.1.3.12.4	tasmāt traikakudam bhavati
3.1.3.12.5	yadi traikakudaṃ na vinded apy atraikakudam eva syāt
3.1.3.12.6	samānī hy evāñjanasya bandhutā
3.1.3.13.1	śareṣīkayānakti
3.1.3.13.2	vajro vai śaro virakṣastāyai
3.1.3.13.3	satūlā bhavati
3.1.3.13.4	amūlaṃ vā idam ubhayataḥ paricchinnaṃ rakṣo 'ntarikṣam anucarati
3.1.3.13.5	yathāyam puruṣo 'mūla ubhayataḥ paricchinno 'ntarikṣam anucarati
3.1.3.13.6	tad yat satūlā bhavati virakṣastāyai
3.1.3.14.1	sa dakṣiṇam evāgra ānakti
3.1.3.14.2	savyaṃ vā agre mānuṣe 'thaivaṃ devatrā
3.1.3.15.1	sa ānakti vṛtrasyāsi kanīnaka iti
3.1.3.15.2	vṛtrasya hy eṣa kanīnakaḥ
3.1.3.15.3	cakṣurdā asi cakṣur me dehīti
3.1.3.15.4	nātra tirohitam ivāsti
3.1.3.16.1	sa dakṣiṇaṃ sakṛd yajuṣānakti sakṛt tūṣṇīm
3.1.3.16.2	athottaraṃ sakṛd yajuṣānakti dvis tūṣṇīm
3.1.3.16.3	tad uttaram evaitad uttarāvat karoti
3.1.3.17.1	tad yat pañca kṛtva ānakti saṃvatsarasaṃmito vai yajñaḥ
3.1.3.17.2	pañca vā ṛtavaḥ saṃvatsarasya
3.1.3.17.3	tam pañcabhir āpnoti
3.1.3.17.4	tasmāt pañca kṛtva ānakti
3.1.3.18.1	athainaṃ darbhapavitreṇa pāvayati
3.1.3.18.2	amedhyo vai puruṣo yad anṛtaṃ vadati
3.1.3.18.3	tena pūtir antarataḥ
3.1.3.18.4	medhyā vai darbhāḥ
3.1.3.18.5	medhyo bhūtvā dīkṣā iti
3.1.3.18.6	pavitraṃ vai darbhāḥ
3.1.3.18.7	pavitrapūto dīkṣā iti
3.1.3.18.8	tasmād enaṃ darbhapavitreṇa pāvayati
3.1.3.19.1	tad vā ekaṃ syāt
3.1.3.19.2	eko hy evāyam pavate
3.1.3.19.3	tad etasyaiva rūpeṇa
3.1.3.19.4	tasmād ekaṃ syāt
3.1.3.20.1	atho api trīṇi syuḥ
3.1.3.20.2	eko hy evāyam pavate
3.1.3.20.3	so 'yam puruṣe 'ntaḥ praviṣṭas tredhāvihitaḥ prāṇa udāno vyāna iti
3.1.3.20.4	tad etasyaivānu mātrām
3.1.3.20.5	tasmāt trīṇi syuḥ
3.1.3.21.1	atho api sapta syuḥ
3.1.3.21.2	sapta vā ime śīrṣan prāṇāḥ
3.1.3.21.3	tasmāt sapta syuḥ
3.1.3.21.4	triḥsaptāny eva syur ekaviṃśatiḥ
3.1.3.21.5	eṣaiva sampat
3.1.3.22.1	taṃ saptabhiḥ saptabhiḥ pāvayati citpatir mā punātv iti
3.1.3.22.2	prajāpatir vai citpatiḥ
3.1.3.22.3	prajāpatir mā punātv ity evaitad āha
3.1.3.22.4	vākpatir mā punātv iti
3.1.3.22.5	prajāpatir vai vākpatiḥ
3.1.3.22.6	prajāpatir mā punātv ity evaitad āha
3.1.3.22.7	devo mā savitā punātv iti
3.1.3.22.8	tad vai supūtaṃ yaṃ devaḥ savitāpunāt
3.1.3.22.9	tasmād āha devo mā savitā punātv iti
3.1.3.22.10	acchidreṇa pavitreṇeti
3.1.3.22.11	yo vā ayam pavata eṣo 'cchidram pavitram
3.1.3.22.12	etenaitad āha
3.1.3.22.13	sūryasya raśmibhir iti
3.1.3.22.14	ete vai pavitāro yat sūryasya raśmayaḥ
3.1.3.22.15	tasmād āha sūryasya raśmibhir iti
3.1.3.23.1	tasya te pavitrapata iti
3.1.3.23.2	pavitrapatir hi bhavati
3.1.3.23.3	pavitrapūtasyeti
3.1.3.23.4	pavitrapūto hi bhavati
3.1.3.23.5	yatkāmaḥ pune tacchakeyam iti
3.1.3.23.6	yajñasyodṛcaṃ gacchānīty evaitad āha
3.1.3.24.1	athāśiṣām ārambhaṃ vācayati /ā vo devāsa īmahe vāmam prayaty adhvare ā vo devāsa āśiṣo yajñiyāso havāmaha iti
3.1.3.24.2	tad asmai svāḥ satīr ṛtvija āśiṣa āśāsate
3.1.3.25.1	athāṅgulīr nyacati svāhā yajñam manasa iti dve
3.1.3.25.2	svāhoror antarikṣād iti dve
3.1.3.25.3	svāhā dyāvāpṛthivībhyām iti dve
3.1.3.25.4	svāhā vātād ārabha iti muṣṭīkaroti
3.1.3.25.5	na vai yajñaḥ pratyakṣam ivārabhe yathāyaṃ daṇḍo vā vāso vā
3.1.3.25.6	paro'kṣaṃ vai devāḥ
3.1.3.25.7	paro'kṣaṃ yajñaḥ
3.1.3.26.1	sa yad āha svāhā yajñam manasa iti tan manasa ārabhate
3.1.3.26.2	svāhoror antarikṣād iti tad antarikṣād ārabhate
3.1.3.26.3	svāhā dyāvāpṛthivībhyām iti tad ābhyāṃ dyāvāpṛthivībhyām ārabhate yayor idaṃ sarvam adhi
3.1.3.26.4	svāhā vātād ārabha iti
3.1.3.26.5	vāto vai yajñaḥ
3.1.3.26.6	tad yajñam pratyakṣam ārabhate
3.1.3.27.1	atha yat svāhā svāheti karoti
3.1.3.27.2	yajño vai svāhākāraḥ
3.1.3.27.3	yajñam evaitad ātman dhatte
3.1.3.27.4	atro eva vācaṃ yacchati
3.1.3.27.5	vāg vai yajñaḥ
3.1.3.27.6	yajñam evaitad ātman dhatte
3.1.3.28.1	athainaṃ śālām prapādayati
3.1.3.28.2	sa jaghanenāhavanīyam ety agreṇa gārhapatyam
3.1.3.28.3	so 'sya saṃcaro bhavaty ā sutyāyai
3.1.3.28.4	tad yad asyaiṣa saṃcaro bhavaty ā sutyāyai
3.1.3.28.5	agnir vai yonir yajñasya garbho dīkṣitaḥ
3.1.3.28.6	antareṇa vai yoniṃ garbhaḥ saṃcarati
3.1.3.28.7	sa yat sa tatraijati tvat pari tvad āvartate tasmād ime garbhā ejanti tvat pari tvad āvartante
3.1.3.28.8	tasmād asyaiṣa saṃcaro bhavaty ā sutyāyai
3.1.4.1.1	sarvāṇi ha vai dīkṣāyā yajūṃṣy audgrabhaṇāni
3.1.4.1.2	udgṛbhṇīte vā eṣo 'smāl lokād devalokam abhi yo dīkṣata
3.1.4.1.3	etair eva tad yajurbhir udgṛbhṇīte
3.1.4.1.4	tasmād āhuḥ sarvāṇi dīkṣāyā yajūṃṣy audgrabhaṇānīti
3.1.4.1.5	tata etāny avāntarām ācakṣata audgrabhaṇānīti
3.1.4.1.6	āhutayo hy etāḥ
3.1.4.1.7	āhutir hi yajñaḥ
3.1.4.1.8	paro'kṣaṃ vai yajur japati
3.1.4.1.9	athaiṣa pratyakṣaṃ yajño yad āhutiḥ
3.1.4.1.10	tad etena yajñenodgṛbhṇīte 'smāl lokād devalokam abhi
3.1.4.2.1	tato yāni trīṇi sruveṇa juhoti tāny ādhītayajūṃṣīty ācakṣate
3.1.4.2.2	sampada eva kāmāya caturthaṃ hūyate
3.1.4.2.3	atha yat pañcamaṃ srucā juhoti tad eva pratyakṣam audgrabhaṇam
3.1.4.2.4	anuṣṭubhā hi taj juhoti
3.1.4.2.5	vāgghy anuṣṭup
3.1.4.2.6	vāgghi yajñaḥ
3.1.4.3.1	yajñena vai devā imāṃ jitiṃ jigyur yaiṣām iyaṃ jitiḥ
3.1.4.3.2	te hocuḥ kathaṃ na idam manuṣyair anabhyārohyaṃ syād iti
3.1.4.3.3	te yajñasya rasaṃ dhītvā yathā madhu madhukṛto nirdhayeyuḥ
3.1.4.3.4	viduhya yajñaṃ yūpena yopayitvā tiro 'bhavan
3.1.4.3.5	atha yad enenāyopayaṃs tasmād yūpo nāma
3.1.4.4.1	tad vā ṛṣīṇām anuśrutam āsa
3.1.4.4.2	te yajñaṃ samabharan yathāyaṃ yajñaḥ sambhṛtaḥ
3.1.4.4.3	evaṃ vā eṣa yajñaṃ sambharati yad etāni juhoti
3.1.4.5.1	tāni vai pañca juhoti
3.1.4.5.2	saṃvatsarasammito vai yajñaḥ
3.1.4.5.3	pañca vā ṛtavaḥ saṃvatsarasya
3.1.4.5.4	tam pañcabhir āpnoti
3.1.4.5.5	tasmāt pañca juhoti
3.1.4.6.1	athāto homasyaiva
3.1.4.6.2	ākutyai prayuje 'gnaye svāheti
3.1.4.6.3	ā vā agre kuvate yajeyeti
3.1.4.6.4	tad yad evātra yajñasya tad evaitat sambhṛtyātman kurute
3.1.4.7.1	medhāyai manase 'gnaye svāheti
3.1.4.7.2	medhayā vai manasābhigacchati yajeyeti
