#Text:Kāṭhakasaṃhitā
#Notes:Prose parts; digital split version provided by K. Amano



6.1.1	prajāpatir vā idam āsīt
6.6.36	yadi tvareta pūrvam agnim anvavasāya tataḥ prāñcam uddhṛtya juhuyāt
6.6.37	saiva tatra prāyaścittiḥ
6.6.38	jāmi nu tad yo 'sya pūrvo 'gnis tam aparaṃ karoti
6.6.39	anyatraivāvasāyāgniṃ mathitvoddhṛtya juhuyāt
6.6.40	saiva tatra prāyaścittiḥ
6.6.41	tataś śvo 'gnaye tapasvate janadvate pāvakavata iṣṭiṃ nirvapet
6.6.42	yadā vā agnis saṃtapyate 'tha jāyata oṣadhayaḥ pāvakāḥ
6.6.43	oṣadhīr evāsmai pāvakā bhāgadheyam apidadhāti
6.6.44	na gārham anubudhyate
6.6.45	yadā hy evāsmai nāpidadhaty athaiṣo 'nugacchati
6.6.46	yau panthānā abhitas tau darśapūrṇamāsau
6.6.47	yā madhye sṛtis tad agnihotram
6.6.48	evaṃ vā agnihotriṇe darśapūrṇamāsine svargo loko 'nubhāti
6.6.49	manasā vā imāṃ prajāpatir vediṃ paryagṛhṇāt
6.6.50	agnihotriṇe tatra yat kiṃ ca dadāti tad barhiṣyam
6.6.51	yathā sanneṣu nārāśaṃseṣu dadāty evam eṣa dadāti yat kiṃ ca dadāti
6.6.52	madhya eva yajñasya dyāvāpṛthivī etasya sadohavirdhāne ahorātrāṇīdhmo diśaḥ paridhayaḥ pruṣvāḥ prokṣaṇīr oṣadhayo barhir yajamāno yūpaḥ
6.6.53	na sambhavan vadet
6.6.54	paśur eva bhūtvā sambhavati
6.6.55	aharahar vai paśavas sambhavanto 'tha medhyāḥ
6.6.56	na rājanyasyāgnihotram asti
6.6.57	avratyo hi sa hanti
6.6.58	vrataṃ na vicchindyāt
6.6.59	paurṇamāsīṃ ca rātrīm amāvasyāṃ ca juhuyāt
6.6.60	te hi vrataṃ gopāyati
6.6.61	yāny ahāni na juhuyāt tāny asya brāhmaṇāyāgre gṛha upahareyuḥ
6.6.62	agnir vai brāhmaṇaḥ
6.6.63	agnā eva taj juhoti
6.6.64	tad asya svaditam eṣṭaṃ bhavati
6.7.1	vācā vai saha manuṣyā ajāyantarte vāco devāś cāsurāś ca
6.7.2	te yan manuṣyā avadaṃs tad evābhavan
6.7.3	te devāś cāsurāś ca prajāpatim abruvan
6.7.4	ime vāvedam abhūvann iti
6.7.5	sa vācas satyaṃ niramimīta
6.7.6	bhūr bhuvas svar iti
6.7.7	yat turīyam anṛtaṃ tan manuṣyeṣu nyadadhāt
6.7.8	etad vai vāco 'nṛtaṃ yan manuṣyā vadanti
6.7.9	bhūr iti
6.7.10	imām asṛjatāgniṃ rathaṃtaraṃ trivṛtaṃ gāyatrīm
6.7.11	bhuvar iti
6.7.12	antarikṣaṃ vātaṃ vāmadevyaṃ triṣṭubhaṃ pañcadaśam
6.7.13	svar iti
6.7.14	divaṃ sūryaṃ bṛhad ekaviṃśaṃ jagatīm
6.7.15	bhūr bhuvas svar agnau jyotir jyotir agnā iti
6.7.16	agnihotraṃ juhuyāt
6.7.17	etad vai vācas satyam
6.7.18	etan mithunam
6.7.19	etad brahma
6.7.20	tenaiva juhoti
6.7.21	imā evaitad iṣṭakā upadhatte
6.7.22	imā evaitad iṣṭakā upadhāyottamaṃ nākaṃ rohati
6.7.23	uttamas samānānāṃ bhavati yasyaivam agnihotraṃ hūyate
6.7.24	vācaṃ yacched agnihotra unnīyamāne
6.7.25	tapasā vai prajāpatiḥ prajā asṛjata
6.7.26	yan na vyāharat tad evātapyata
6.7.27	sṛṣṭir vā etad yad agnihotram
6.7.28	sṛṣṭir etad vratam
6.7.29	tā udbhavas sthety udabhāvayat
6.7.30	yarhi bindava iva syus tarhy avekṣeta
6.7.31	udbhavas stha
6.7.32	ud ahaṃ prajayā pra paśubhir bhūyāsam iti
6.7.33	udbhūtir vā etat prabhūtir yad agnihotram
6.7.34	ut prajayā pra paśubhir bhavati yasyaivam agnihotraṃ hūyate
6.7.35	agnināvekṣate
6.7.36	prajananaṃ vā etad yad agnihotram
6.7.37	agniḥ prajanayitā
6.7.38	praiva janayati
6.7.39	reto vā etad yad agnihotram
6.7.40	na suśṛtaṃ kuryāt
6.7.41	retaḥ krūḍayet
6.7.42	no aśṛtam
6.7.43	antareṇaiva syāt
6.7.44	rudra mṛḍa
6.7.45	anārbhava mṛḍa
6.7.46	dhūrte namas te 'stv iti
6.7.47	hutvodaṅṅ uddiśet
6.7.48	etāni vai rudrasya krūrāṇi nāmāni
6.7.49	tair eṣa prajā hinasty agnihotre bhāgadheyam icchamānaḥ
6.7.50	tāny evāsya pratinudati
6.7.51	tāni śamayati
6.7.52	yarhy ayaṃ devaḥ prajā abhimanyeta sajūr jātavedo divā pṛthivyā haviṣo vīhi svāheti
6.7.53	dvādaśa rātrīr agnihotraṃ juhuyāt
6.7.54	yā vā agner jātavedasas tanūs tayaiṣa prajā hinasty agnihotre bhāgadheyam icchamānaḥ
6.7.55	tām evāsya prīṇāti
6.7.56	tasyai taj juhoti
6.7.57	tad ajāmi
6.7.58	āhutyor āgneyy eṣāgneyītarā
6.7.59	saṃvatsaraṃ vā etam indhate 'gniṃ vaiśvānaram
6.7.60	na vā etasya saṃvatsare 'pyasti na vaiśvānare yo 'nāhitāgniḥ
6.7.61	yāni dārūṇi te māsāḥ
6.7.62	ye sthūlā aṅgārās te ṛtavaḥ
6.7.63	ye 'ṇīyāṃsas te 'rdhamāsā murmurā ahorātrāṇi
6.7.64	yat suvarṇaṃ jyotis tad bārhaspatyam
6.7.65	yan na suvarṇaṃ na lohitaṃ tan maitram
6.7.66	yal lohitaṃ tad vāruṇam
6.7.67	yat sadhūmaṃ tad vaiśvadevam
6.7.68	yatrāṅgāreṣv agnir lelāyeva tad asyāsyam āvir nāma
6.7.69	tad brahma
6.7.70	tasmin hotavyam
6.7.71	mukhena vā aśnāti
6.7.72	aṅgānyavatyāviḥ prajāsu bhavati
6.7.73	śvaśśvo vasīyān bhavati yasyaivam agnihotraṃ hūyate
6.8.1	odanapacano gārhapatya āhavanīyo madhyādhidevanam āmantraṇam
6.8.2	eṣā vai virāṭ pañcapadā
6.8.3	tām evāpnoti
6.8.4	tām avarunddhe
6.8.5	yasya hy eṣāvaruddhā sa manuṣyāṇāṃ śreṣṭho bhavati
6.8.6	yadi sāyam agnihotrasya kālo 'tipadyeta
6.8.7	doṣā vastos svāheti
6.8.8	juhuyāt
6.8.9	saiva tatrāhutiḥ
6.8.10	tenāsya tad anatipannaṃ bhavati
6.8.11	yadi prātar agnihotrasya kālo 'tipadyeta
6.8.12	divā vastos svāheti
6.8.13	juhuyāt
6.8.14	saiva tatrāhutiḥ
6.8.15	tenāsya tad anatipannaṃ bhavati
6.8.16	na svāhākuryāt
6.8.17	svāhākāro vā agnihotrasyāhutiṃ yuvate
6.8.18	yarhi vāk pravadet tarhi juhuyāt
6.8.19	sa hy agnihotrasya vaṣaṭkāraḥ
6.8.20	sajūr agnir divā pṛthivyeti
6.8.21	dyāvāpṛthivī agniṃ tān eva prīṇāti
6.8.22	tān avarunddhe
6.8.23	sajūr devena savitreti
6.8.24	na hi savitur ṛta āhutir asti
6.8.25	sajūḥ pūṣṇāntarikṣeṇeti
6.8.26	paśavo vai pūṣā paśavo 'ntarikṣam
6.8.27	paśūn evāvarunddhe
6.8.28	sajū rātryendravatyā svāheti
6.8.29	rātrīm evaitad abhijuhoti
6.8.30	na hīndrād ṛta āhutir asti
6.8.31	devā vai purāgnihotram ahauṣuḥ
6.8.32	tasmāt purā bṛhan mahān ajani
6.8.33	sajūr ahnendravatā svāheti
6.8.34	bārhataṃ vā ahar bārhatas sūryaḥ
6.8.35	ahaś caivāsyaitat sūryaś cābhijitā abhihutau bhavataḥ
6.8.36	ānuṣṭubhī vai rātrī traiṣṭubham ahaḥ
6.8.37	rātrīṃ caivaitad ahaś cābhijuhoti
6.8.38	agne 'dābhya juṣasva svāheti
6.8.39	uttarām āhutiṃ juhoti
6.8.40	yathāgnaye samavadyaty evam eva tat
6.8.41	apiprer agne svāṃ tanvam
6.8.42	ayāḍ dyāvāpṛthivī
6.8.43	ūrjam asmāsu dhehīti
6.8.44	tṛṇam aktvānupraharati
6.8.45	saṃsthitir evaiṣā svagākṛtiḥ
6.8.46	agnihotrasya vā eṣo 'śāntam anu prajā hinasti
6.8.47	yat tṛṇam aktvānu praharati
6.8.48	tenaivainac chamayati
6.8.49	agne gṛhapate juṣasva svāheti
6.8.50	sruveṇa gārhapatye juhoti
6.8.51	yathā patnīs saṃyājayaty evam eva tat
6.8.52	anu vā eṣa etad dhyāyati
6.8.53	yat paścādhiśritya puro juhoti
6.8.54	yat sruveṇa gārhapatye juhoti
6.8.55	tenaivainaṃ prīṇāti
6.8.56	ananudhyāyinaṃ karoti
6.8.57	āsyāgnihotrī prajāyāṃ jāyate śvaśśvo vasīyān bhavati yasyaivam agnihotraṃ hūyate
7.4.1	agnihotre stomo yoktavyaḥ
7.4.2	yasya vā agnihotre stomo yujyate vasīyān bhavati
7.4.3	upaprayanto adhvaram iti
7.4.4	prajā vā imā upa
7.4.5	tās satsatstomaḥ
7.4.6	tā evopayunakti
7.4.7	asya pratnām anu dyutam iti
7.4.8	devā vai pratnam
7.4.9	te satsatstomaḥ
7.4.10	tān eva prāyukta
7.4.11	svargāya
7.4.12	upopen nu maghavan
7.4.13	bhūya in nu ta iti
7.4.14	iyaṃ vā upa
7.4.15	svargam evetvāsyāṃ pratitiṣṭhati
7.4.16	yā vai prajā ābhaviṣyantīs tā upa
7.4.17	tā evopayunakti
7.4.18	pari te dūḍabho ratha iti
7.4.19	stomam evaitayā yuktaṃ parigṛhṇāti
7.4.20	agnir mūrdhā divaḥ kakud iti
7.4.21	eṣā mithunā retasvatī paśavyā
7.4.22	yāsau dhurāṃ gāyatrī prathamā saiṣā gāyatryopāsthita
7.4.23	ubhā vām indrāgnī āhuvadhyā iti
7.4.24	sūryo vā indraḥ
7.4.25	so 'gniṃ naktaṃ praviśati
7.4.26	ubhā evainau saheṭṭe
7.4.27	yāsau dhurāṃ triṣṭup prathamā saiṣā triṣṭubhopāsthita
7.4.28	ayam iha prathamo dhāyi dhātṛbhir iti
7.4.29	agnir hy evāsmiṃl loka iha prathamo 'dhīyata
7.4.30	yāsau dhurāṃ jagatī prathamā saiṣā jagatyopāsthita
7.4.31	ayaṃ te yonir ṛtviya iti
7.4.32	iyaṃ hy agner yonir agnis sūryasya
7.4.33	yāsau dhurām anuṣṭup prathamā saiṣānuṣṭubhopāsthita
7.4.34	dadhikrāvṇo akāriṣam iti
7.4.35	eṣā vā agneḥ paśavyā tanūr yā dadhikrāvatī
7.4.36	tām evāsya gṛhṇāti
7.4.37	upasthāyukā enaṃ paśavo bhavanti
7.4.38	paśur vā agniḥ
7.4.39	yathā vai gaur jīryati yathāśvo yathā puruṣa evam eṣa āhito jīryati
7.4.40	agnyādheyasyargbhir upastheyaḥ
7.4.41	tanvo vā asyaitāḥ
7.4.42	tābhir evainaṃ punarṇavaṃ karoti
7.4.43	yac chandobhir upatiṣṭhate
7.4.44	tair evainaṃ punarṇavaṃ karoti
7.4.45	yathāgra āhita evam asya bhavati
7.4.46	upatiṣṭhate
7.4.47	yoga evāsyaiṣa
7.4.48	dama evāsyaiṣa
7.4.49	yācña evāsyaiṣa
7.4.50	yathā śreyasa āhṛtya namasyaty evam eva tat
7.5.1	agnīṣomīyayā pūrvapakṣa upatiṣṭheta
7.5.2	agnīṣomayor vā etad bhāgadheyaṃ yat paurṇamāsam
7.5.3	tābhyām evainaṃ paridadāti
7.5.4	tā enam anapakrāmantau gopāyataḥ
7.5.5	aindrāgnyāparapakṣe
7.5.6	indrāgnyor vā etad bhāgadheyaṃ yad amāvasyā
7.5.7	tābhyām evainaṃ paridadāti
7.5.8	tā enam anapakrāmantau gopāyataḥ
7.5.9	agnīṣomā evainaṃ pūrvapakṣāya paridattaḥ
7.5.10	indrāgnī aparapakṣāya
7.5.11	saṃpradāyaṃ ha vā enaṃ devā anapakrāmanto gopāyanti ya evaṃ vidvān agnim upatiṣṭhate
7.5.12	kasmai kam agnir upasthīyata iti
7.5.13	āhuḥ
7.5.14	aśitraṃ vā etad agneḥ
7.5.15	yad agnim upatiṣṭhate
7.5.16	agnaya evaitad aśitraṃ kriyate
7.5.17	sāyam upatiṣṭhate na prātaḥ
7.5.18	tasmāt sāyam atithaye pratyenaso nota tathā prātaḥ
7.5.19	yajñasyayajñasya vā āśīr asti
7.5.20	yad agnim upatiṣṭhate
7.5.21	agnihotrasyaivaitām āśiṣam āśāste
7.5.22	prajāpatiḥ prajā asṛjata
7.5.23	so 'gnim evāgre 'sṛjata
7.5.24	tasmā etad bhāgadheyam akalpayad yad agnyupasthānam
7.5.25	yad agnim upatiṣṭhate
7.5.26	svenaivainaṃ bhāgadheyena samardhayati
7.5.27	agnir vai prayuktim abhyakāmayata yathāśvo rathakāmyati
7.5.28	yad agnim upatiṣṭhate
