#Text:Sāmavidhānabrāhmaṇa
#Edition:Sharma 1980; DCS version
#Data entry:H. Falk



1.1.1	brahmā ha vā idam agra āsīt
1.1.15	sa yadā gāyatraṃ bṛhatyāṃ gāyati bārhataṃ jagatyām jāgataṃ triṣṭubhi samatāṃ cāpadyate / tasmād etat sāmety āha / samā u ha vā asmiṃś chandāṃsi sāmyād iti tat sāmnaḥ sāmatvam
1.1.16	kruṣṭaḥ prājāpatyo brāhmo vā vaiśvadevo vādityānāṃ prathamaḥ sādhyānāṃ dvitīyo 'gnes tṛtīyo vāyoś caturthaḥ saumo mandro mitrāvaruṇayor atisvāryaḥ
1.1.17	te devāḥ prajāpatim upādhāvan / te 'bruvan kathaṃ nu vayaṃ svargaṃ lokam iyāmeti / tebhya etān yajñakratūn prāyacchad etaiḥ lokam eṣyatheti / taiḥ svargaṃ lokam āyan
1.1.18	svargaṃ lokam eti ya evaṃ veda
1.1.19	teṣām ahīyantājāḥ pṛśnayo vaikhānasā vasurociṣo ye cāpūtā ye ca kāmepsvas te 'bruvan kathaṃ nu vayaṃ svargaṃ lokam iyāmeti tebhya etat svādhyāyādhyayanaṃ prāyacchat tapaś caitābhyāṃ svargaṃ lokam eṣyatheti / tābhyāṃ svargaṃ lokam āyan
1.1.20	svargaṃ lokam eti ya evaṃ veda ya evaṃ veda
1.2.1	athātas trīn kṛcchrānvyākhyāsyāmaḥ
1.2.2	haviṣyān prātarāśān bhuktvā tisro rātrīr nāśnīyāt
1.2.3	athāparaṃ tryahaṃ naktaṃ bhuñjīta
1.2.4	athāparaṃ tryahaṃ na kaṃcana yācet
1.2.5	athāparaṃ tryaham upavaset
1.2.6	tiṣṭhed ahani rātrāv āsīta kṣiprakāmaḥ
1.2.7	satyaṃ vadet / anāryair na sambhāṣeta / rauravayaudhājaye nityaṃ prayuñjīta / anusavanam udakopasparśanam āpohiṣṭhīyābhiḥ
1.2.8	athodakatarpaṇam / namo 'hamāya mohamāya maṃhamāya dhūnvate tāpasāya punarvasave namo namaḥ / mauñjyāyaurmyāya saumyāya śamyāya śivāya namo namaḥ / pārāya supārāya mahāpārāya pāradāya pāravindāya namo namaḥ / puruṣāya supuruṣāya mahāpuruṣāya madhyamapuruṣāyottamapuruṣāya brahmacāriṇe namo namaḥ / iti / etad evādityopasthānam / etā evājyāhutayaḥ / dvādaśarātrasyānte sthālīpākaṃ śrapayitvā tābhyo devatābhyo juhuyāt / agnaye svāhā / somāya svāhā / agnīṣomābhyām indrāgnibhyām indrāya viśvebhyo devebhyo brahmaṇe prajāpataye 'gnaye sviṣṭakṛta iti / atho brāhmaṇatarpaṇam
1.2.9	etenaivātikṛcchro vyākhyātaḥ
1.2.10	yāvat sakṛd ādadīta tāvad aśnīyāt
1.2.11	abbhakṣas tṛtīyaḥ sa kṛcchrātikṛcchraḥ
1.2.12	prathamaṃ caritvā śuciḥ pūtaḥ karmaṇyo bhavati / dvitīyaṃ caritvā yat kiṃcid anyan mahāpātakebhyaḥ pāpaṃ kurute tasmāt pramucyate / tṛtīyaṃ caritvā sarvasmād enaso mucyate
1.2.13	athaitāṃstrīn kṛcchrāṃś caritvā sarveṣu vedeṣu snāto bhavati / sarveṣu deveṣu jñāto bhavati / yaś caivaṃ veda yaś caivaṃ veda
1.3.1	athātaḥ svādhyāyādhyayanasya
1.3.2	kāmam uktvopakrāmed ante vā / trīn kṛcchrāṃś caritvā pūto bhavati / agniṃ pratiṣṭhāpyāgnyabhāve tūdakam ādityaṃ vopasamādhāya darbhān upastīrya darbheṣv āsīnaḥ prākkūleṣūdakkūleṣu vā dakṣiṇena pāṇinā darbhamuṣṭiṃ gṛhītvā
1.3.3	prathamaṃ trivargaṃ navakṛtvo gāyet
1.3.4	evaṃ sadā prayuñjāno 'gnyādheyam avāpnoti
1.3.5	indrāya pavate mada iti pavamānahavīṃṣy etena kalpena
1.3.6	suvarmahāḥ suvarmayā ity etābhyāṃ darśapūrṇamāsāv etenaiva kalpena
1.3.7	bhṛtyātithiśeṣabhojī kāle dārān upeyāt / yathāśakti cātithibhyo dadyād apy udakam antataḥ / evaṃvrato yad indrāhaṃ yathā tvamity ete sadā prayuñjīta / suvarmahāḥ suvarmayā ity ete ca parvaṇi / tathā hāsyāgnihotram aviluptaṃ sadā hutaṃ sadarśapūrṇamāsaṃ bhavati
1.3.8	karmānte 'gniṃ pratiṣṭhāpya vrīhiyavāṃs taṇḍulāṃs triḥ prakṣālya juhuyāt / agnaye svāhā / somāya pavitravate / varuṇāya dhanvantaraye / manasā prājāpatyāṃ brahmaṇe / agnaye sviṣṭakṛta iti paścāt
1.3.9	athātaḥ pāñcarātrikāṇām / vrīhiyavau bhojanam asauhityam / ante tv agnyādir uktaḥ kalpaḥ / kāmyānāṃ cāvipratiṣedhaḥ / tam indraṃ vājayāmasīti caturvargeṇa cāturmāsyāny avāpnoti / asya preṣeti pāśukāni
1.3.10	trātāram indraṃ yajāmaha ity etābhyāṃ paśubandham
1.3.11	payovrata etena kalpena bṛhadindrāya gāyateti caturvargeṇa sautrāmaṇyau sautrāmaṇyau
1.4.1	athātaḥ sāptarātrikāṇām / bhaikṣaṃ payo vā vratam eke / bhaikṣārthāyaiva grāmaṃ praviśet / nānyatra svādhyāyād vācam utsṛjet / adhaḥ śayīta / nāpo 'bhyaveyāt / ante tv agnyādir uktaḥ kalpaḥ / kāmyānāṃ cāpratiṣedhaḥ
1.4.2	īṅkhayantīr iti daśataṃ rathantaraṃ ca vāmadevyaṃ caitāny anusavanaṃ prayuñjāno 'gniṣṭomam avāpnoti
1.4.3	yajñā yajñā vo agnaya iti caturvargeṇātyagniṣṭomam / namas te agna ojasa iti daśatokthyaṃ punānaḥ soma dhārayeti vargeṇa ṣoḍaśinaṃ parīto ṣiñcatā sutam iti vargeṇātirātram
1.4.4	payovrata etena kalpena tisro vāca udīrata iti vargeṇa vājapeyam
1.4.5	māsam etena kalpenā va indraṃ kṛviṃ yatheti daśatāptoryāmāṇam
1.4.6	māsaṃ caturthe kāle bhuñjāna ā juhotā haviṣā marjayadhvam iti daśatā dvādaśāham
1.4.7	saṃvatsaram etena kalpenābodhy agnir iti daśataṃ rathantaraṃ ca vāmadevyaṃ ca bṛhac ca vairājaṃ ca mahānāmnyaś ca revatyaś caitāny anusavanaṃ prayuñjāno gavāmayanam avāpnoti
1.4.8	rājanarauhiṇābhyāṃ tāpaścite
1.4.9	payovrata etena kalpena somaḥ pavate janitā matīnām iti caturvargeṇa cāturmāsyāni saumikāny avāpnoti
1.4.10	saṃvatsaram aṣṭame kāle bhuñjāno grāmyam annaṃ pra tu draveti daśatam āvartayan naimiśīyaṃ dvādaśasaṃvatsaram avāpnoti
1.4.11	āgneyam aindraṃ pāvamānam ity etena kalpena catvāri varṣāṇi prayuñjānaḥ śatasaṃvatsaram avāpnoti
1.4.12	sarvaṃ prayuñjānaḥ sahasrasaṃvatsaram avāpnoti / anaśnan saṃhitāsahasreṇa vā pṛṣṭhopatāpaśatasahasreṇa vā
1.4.13	prathamas trivargaḥ sāvitryaṃ gāyatraṃ mahānāmnyaś caiṣāmṛtā nāma saṃhitaitayā vai devā amṛtatvam āyan
1.4.14	amṛtatvam eti ya evaṃ veda
1.4.15	idaṃ hy anvojaseti prathamottame tvāmidā hyo naraḥ sa pūrvyo mahīnāṃ purāṃ bhindur yuvā kavir upaprakṣe madhumati kṣiyantaḥ pavasva soma madhumāṁ ṛtāvā surūpakṛd rāhasaṃ mādhucchandasam eṣā mādhucchandasī nāma saṃhitaitayā vai devāḥ svargaṃ lokam āyan
1.4.16	svargaṃ lokam eti ya evaṃ veda
1.4.17	ā vo rājā tad vo varga ājyadohāni devavratāni caiṣā raudrī nāma saṃhitaitāṃ prayuñjan rudraṃ prīṇāti
1.4.18	idaṃ viṣṇuḥ prakṣasya vṛṣṇaḥ pra kāvyam uśaneva bruvāṇa iti vārāham antyaṃ puruṣavrate caiṣā vaiṣṇavī nāma saṃhitaitāṃ prayuñjan viṣṇuṃ prīṇāti
1.4.19	adardaḥ suṣvāṇāsa ā tū na iti vargā mṛjyamānaḥ suhastyeti prathamaṣaṣṭhe caiṣā vaināyakī nāma saṃhitaitāṃ prayuñjan vināyakaṃ prīṇāti
1.4.20	ā mandair indra haribhiḥ ā no viśvāsu havyaṃ pra senānīḥ iti vargāḥ pavitraṃ ta iti dve eṣā skandasya saṃhitaitāṃ prayuñjan skandaṃ prīṇāti
1.4.21	yad vā u viśpatiḥ sanād agne 'kṣannamīmadanta hy abhi tripṛṣṭham krānt samudraḥ kanikrantīti dve eṣā pitryā nāma saṃhitaitāṃ prayuñjan pitṝn prīṇāti
1.4.22	āsyadaghna udake tiṣṭhann akyenākīty etat triḥsaptakṛtvo gāyed etat sarvavācogatasaṃmitam etena sarvān kāmān avāpnoti
1.4.23	yaś caivaṃ veda yaś caivaṃ veda
1.5.1	athātaḥ prāyaścittānām
1.5.2	anādeśe mantrā balavantas tapo'nvitāḥ pāvanā bhavanti
1.5.3	āpannaḥ prāyaścittaṃ caret
1.5.4	abhyāsaḥ sāmnāṃ śataṃ daśāvaram
1.5.5	kāhalam uktvā dadhikrāvṇo akāriṣam ity etad gāyet
1.5.6	paruṣam uktvedaṃ viṣṇur vicakrama iti
1.5.7	brāhmaṇam uktvā triḥ
1.5.8	bhrātaraṃ mātulaṃ pitṛvyam iti gurujātīyān prasādya pakṣiṇīṃ rātrim upoṣya tavāhaṃ soma rāraṇeti prathamam ekaviṃśatikṛtvaḥ
1.5.9	upādhyāyaṃ mātaraṃ pitaram ity eteṣu trirātram upavasen netarasyaivāntyam
1.5.10	anadhyāpyam adhyāpya saptarātram upavasan sadā gāvaḥ śucayo viśvadhāyasa ity etad gāyet
1.5.11	ayājyayājane dakṣiṇās tyaktvā māsaṃ caturthe kāle bhuñjānaḥ kānīty etad gāyet
1.5.12	amedhyadarśane ye te panthā adho diva iti / tathāmedhyaghrāṇe
1.5.13	abhojyabhojane 'medhyaprāśane vā niṣpurīṣībhāvas trirātrāvaraṃ tūpavasan neto nv indraṃ stavāma śuddham iti pūrvaṃ sadā sahasrakṛtva āvartayan
1.5.14	bahūny apy upapatanīyāni kṛtvā tribhir anaśnatpārāyaṇaiḥ pūto bhavati
1.5.15	surāṃ pītvā saṃvatsaram aṣṭame kāle bhuñjāno yat pāṇyoḥ sambhaved avāṅnābhy ūrdhvaṃjānu parihitas trir ahna upaspṛśaṃs tathā rātrau sthānāsanābhyāṃ pavitraṃ ta ity uttareṇāhorātrāṇi japan grāmadvāre sthānāsanabhojanāni yatra labhet tatra vasen na pravaset / svakarmaṇābhibhāṣeta / caturṇāṃ brāhmaṇānām agrataḥ prāśnīyāt / grāmadvārasyaivāgrata āvaśyakāyābhikrāmet / ato 'nyathā śaṅkyam / pūrṇe saṃvatsare tailaṃ lavaṇaṃ kṣuram agniṃ gāṃ bījānīty ālabdhavantaṃ brāhmaṇā brūyuś caritaṃ tavety om bho iti brūyāt saptāvarān sapta parān hanty anṛtaṃ caritaṃ tava sucaritaṃ tavety om bho iti brūyāt / ata ūrdhvaṃ keśaśmaśrulomanakhāni vāpayitvāhataṃ vasanaṃ paridhāya brāhmaṇān svasti vācayitvā pūto bhavati
1.5.16	etena kalpena bhrūṇahā pūrvam etena brahmahā śuddhāśuddhīyam uttaram etena suvarṇasteno 'bhitripṛṣṭham ity abhi tripṛṣṭham iti
1.6.1	brāhmaṇasvaṃ hṛtvā māsam udake vāsaś caturthe kāle bhojanaṃ divā bahir ā syād vratānte śukraṃ te anyad yajataṃ te anyad ity etad gāyet
1.6.2	anyasya hṛtvā kṛcchraṃ carann ayaṃ sahasramānava iti dvitīyam
1.6.3	gurudārān hatvā surāpakalpenākrān ity etad gāyet
1.6.4	brāhmaṇadārān gatvā trīn kṛcchrāṃś caran brahma jajñānam iti pūrvam
1.6.5	anyasya gatvā kṛcchraṃ carann araṇyor ity etat
1.6.6	śūdrāṃ gatvā trirātram upavasann iḍām agna ity etat
1.6.7	akāle dārān upetya trīn prāṇāyāmān āyamya kayānīyādvitīyam āvartayet
1.6.8	brāhmaṇād vārdhuṣiṃ hṛtvā trīn kṛcchrāṃś caran brahma jajñānam ity uttaram
1.6.9	anyasya hṛtvā kṛcchraṃ carann anu hi tvā sutaṃ somety anu hi tvā sutaṃ someti
1.7.1	rājñaḥ pratigṛhya māsam udake vasan divā bhuñjāno mahat tat somo mahiṣaś cakārety etad gāyet
1.7.2	anyasyāpratigrāhyasya kṛcchraṃ caraṃs trikadrukeṣv ity etat
1.7.3	adattādāna ekarātram upavasann agnis tigmeneti dvitīyam
1.7.4	brāhmaṇāyāvagūrya prāṇaṃ gāyet / nihatyāpānam / śoṇite kṣarati pra soma devavītaya iti dvitīyam
1.7.5	rājanyavaiśyau savanagatau hatvā brāhmaṇasvakalpena śuddhāśuddhīyam uttaram
1.7.6	śūdraṃ hatvā dvādaśarātram upavāsa udake ca vāso 'yaṃ ta indra soma iti dvitīyam
1.7.7	gāṃ hatvā dvādaśarātram upavāsa udake ca vāso vayaṃ gha tvā sutāvanta iti dvitīyam
1.7.8	anyat prāṇi hatvaikarātram upavasann agnis tigmeneti dvitīyam
1.7.9	avakīrṇī trīn kṛcchrāṃś caran parīto ṣiñcatā sutam iti caturtham āvartayet
1.7.10	etena kalpena parivettā parivindaś ca somaṃ rājānaṃ varuṇam ity etat
1.7.11	ayonau retaḥ siktvāgnir mūrdhā ghṛtavatī dvitīyaṃ yad itas tanvo mameti ca
1.7.12	śūdrajīvikāyāṃ sevitvoparamya trīn kṛcchrāṃś caraṃś cakram ity etad gāyet
1.7.13	vaiśyajīvikāyāṃ vayaḥ suparṇā ity etat / rājanyajīvikāyāṃ pavasva soma madhumāṁ ṛtāvety etad abhi tvaṃ meṣam iti vā
1.7.14	sadā prayogaḥ
1.7.15	brāhmaṇam anṛtam abhiśasya tatpāpaṃ pratipadyate / guhyaṃ prakāśayann ardhabhāg bhavati
1.7.16	agnis tigmeneti vargaṃ prayuñjānas tena tat tarati tena tat tarati
1.8.1	rasān vikrīya kṛcchraṃ caran ghṛtavatīdvitīyam
1.8.2	ubhayatodantān vikrīya kṛcchraṃ caran ko adya yuṅkta ity etat
1.8.3	tān pratigṛhyaitenaiva kalpena śaṃ padam ity etat
1.8.4	adattāṃ kanyāṃ prakṛtya kṛcchraṃ carann abhrātṛvyo anā tvam ity etad gāyet
1.8.5	tāṃ pratigṛhyaitenaiva kalpena śaṃ padam ity etat
1.8.6	abhyudito bhadro no agnir āhuta ity etad gāyet / abhyastamito na tasya māyayā ca neti
1.8.7	duḥsvapneṣv adyā no deva savitar iti dvitīyam
1.8.8	anyasmiṃs tv anājñāte kayānīyā dvitīyam āvartayet
1.8.9	agnidagdhe ghṛtāktān yavāñ juhuyāj jātaḥ pareṇa dharmeṇety etenāgnaye svāheti ca
1.8.10	mūṣikajagdhe tilāñ juhuyān naki devā inīmasītīndrāya svāheti ca
1.8.11	kūrcanāśa ekarātram upavasann agnis tigmeneti dvitīyam
1.8.12	anyasmiṃs tv anājñāte yaṃ vṛtreṣv iti dvitīyam
1.8.13	manuṣyeṣv abhivāteṣu ghṛtāktānāṃ yavānām āḍhakaṃ juhuyād agne tvaṃ no antama iti caturvargeṇa sāmānteṣu svāhākārair agnaye svāhā vāyave svāhā sūryāya svāhā candrāya svāheti ca snehavad amāṃsam annaṃ brāhmaṇān bhojayitvā svasti vācayitvā svasti haiṣāṃ bhavati
1.8.14	goṣv abhivātāsu ghṛtāktānāṃ yavānām āḍhakaṃ juhuyād ā vo rājānam ity etena rudrāya svāheti ca yāvatīr dhūmaḥ spṛśati svasti hāsāṃ bhavati
1.8.15	aśveṣv abhivāteṣu ghṛtāktānāṃ yavānām āḍhakaṃ juhuyād aśvī rathī dvitīyenāśvibhyāṃ svāheti ca yāvato dhūmaḥ spṛśati svasti haiṣāṃ bhavati svasti haiṣāṃ bhavati
2.1.1	athātaḥ kāmyānām
2.1.2	anādeśe trirātram upavāsaḥ puṣyeṇārambhaḥ
2.1.3	āyuṣyāṇy eva prathamam
2.1.4	abodhy agnir mahi trīṇām iti dve tvāvata indraṃ naro grāme geyam āyur iti cāsya nidhanaṃ kuryāt tyam ū ṣu dve trātāram indraṃ havir ity etasya sthāne svasti na iti somaḥ punāty aṃsasuprathamaṃ viśvatodāvann iti pūrvaṃ rahasya ud uttamaṃ varuṇapāśam ity eṣo 'riṣṭavarga eteṣām ekam anekaṃ vā sarvāṇi vā prayuñjānaḥ śataṃ varṣāṇi jīvati / jarayaiva visraṃsate
2.1.5	bhrājābhrāje śukracandre rājanarauhiṇake śukriyādye hā ūsvaratādīni catvāri setuṣāma caiṣa pavitravarga eteṣām ekam anekaṃ vā sarvāṇi vā prayuñjānaḥ pūto bhavati
2.1.6	bahu pratigṛhya yājayitvā vāsannam ātmānaṃ manyamāno gauṣūktāśvasūkte śuddhāśuddhīye tarat sa mandīty etāni prayuñjānaḥ pūto bhavati
2.1.7	tavaśravīyaṃ prayuñjānaḥ śuciḥ pūto brahmalokam abhisaṃpadyate na ca punar āvartate
2.1.8	ud uttamaṃ varuṇapāśam ity etat sadā prayuñjānaḥ saṃbādhaṃ na nigacchati / nigataś ca pramucyate
2.1.9	gaurānt sarṣapāṃs tuce tunāya tat su na ity etena prāśnīyāt / dīrghāyur bhavati
2.1.10	trīn vodakāñjalīn sadācāmet pibā somam indra mandatu tvety etābhyāṃ dīrghāyur bhavati dīrghāyur bhavati
2.2.1	atha yasyā jātāni pramīyeran nyagrodhaśuṅgāṃ śaramūlaṃ cotthāpya tadahas trivṛtaṃ kārayen maṇim agniṃ pratiṣṭhāpyāvṛtā hutvā maṇiṃ nidhāyābodhy agnir ity etenābhijuhuyāt / sahasrakṛtvaḥ śatāvaraṃ tṛtīye garbhamāsi / nidadhyād ājyaśeṣam / mekhalāyāṃ maṇiṃ dhārayet / pumāṃsaṃ ha janayati / jātasya kaṇṭhe 'vasajet / kumāram ājyaśeṣaṃ prāśayet / sarvāṇi srotāṃsi tarpayet / abhyañjītāharahas tata ūrdhvam / upayukte punaḥ prayogaḥ / śataṃ varṣāṇi jīvati / jarayaiva visraṃsate
2.2.2	atha yo rakṣasā gṛhītaḥ syād aśanihatasya vṛkṣasyedhmaḥ śuklāyā goḥ sarūpavatsāyā anyasyā vājyaṃ bailvaṃ maṇim utthāpya tadahas trivṛtaṃ kārayen maṇim / agniṃ pratiṣṭhāpyāvṛtā hutvā maṇiṃ nidhāyendra tridhātu śaraṇam ity etenābhijuhuyāt sahasrakṛtvaḥ śatāvaram / taṃ maṇiṃ kaṇṭhena śirasā vā dhārayan muñcate rakṣasā / yad vā u viśpatir iti caitat sadā prayuñjīta / svasti hāsya bhavati
2.2.3	āmayāvī kaumbhyaṃ ghṛtaṃ viśvāḥ pṛtanā abhibhūtaraṃ nara ity etenābhijuhuyāt sahasrakṛtvaḥ śatāvaram / jīveti cāsya nidhanaṃ kuryād etenaiva sadā prāśnīyāt / mucyata āmayāvī / ā no mitrāvaruṇeti caitat sadā prayuñjīta / svasti hāsya bhavati svasti hāsya bhavati
2.3.1	atha yad asya rujec chaṃ no devī rahasyena ghṛtam abhigīyābhyañjyācchāmyati ha
2.3.2	dvikādyena vodakaṃ pāyayecchītābhir adbhir abhiṣecayet somaṃ rājānaṃ sanād agne 'gniṃ hotāram ity etāni cainam abhiśrāvayecchāmyati ha
2.3.3	śaṅkhapuṣpīṃ sarpasugandhāṃ cotthāpya tadahas trivṛtaṃ kārayen maṇim agniṃ pratiṣṭhāpyāvṛtā hutvā maṇiṃ nidhāya carṣaṇīdhṛtam iti vargeṇābhijuhuyāt sahasrakṛtvaḥ śatāvaram / taṃ maṇiṃ kaṇṭhena śirasā vā dhārayato na sarpabhayaṃ bhavati / kayānīyāyāṃ ca sarpasāma sadā prayuñjīta / svasti hāsya bhavati
2.3.4	śvetapuṣpāṃ bṛhatīm utthāpya tadahas trivṛtaṃ kārayen maṇim agniṃ pratiṣṭhāpyāvṛtā hutvā maṇiṃ nidhāya mo ṣu tvā vāghataśca nety etenābhijuhuyāt sahasrakṛtvaḥ śatāvaram / taṃ maṇiṃ kaṇṭhena śirasā vā dhārayato na śastrabhayaṃ bhavati / yata indra bhayāmaha iti caitat sadā prayuñjīta / svasti hāsya bhavati
2.3.5	śvetapuṣpaṃ arkam utthāpya tadahas trivṛtaṃ kārayen maṇim agniṃ pratiṣṭhāpyāvṛtā hutvā maṇiṃ nidhāya svāśirām arkeṇābhijuhuyāt sahasrakṛtvaḥ śatāvaram / taṃ maṇiṃ kaṇṭhena śirasā vā dhārayan bahvanno bhavati
2.3.6	dīrghatamaso 'rko 'rkaśiro 'rkagrīvā iti caitāni prayuñjānaḥ sarvatrānnaṃ labhate
2.3.7	sam anyā yantīndhanaṃ prayuñjāno na pipāsayā mriyate
2.3.8	iṣṭāhotrīyaṃ prayuñjāno nāpsu mriyate
2.3.9	acodasa iti tṛtīyaṃ prayuñjīta nainaṃ yakṣmā gṛhṇāti
2.3.10	tvam imā oṣadhīr ity etat sadā prayuñjāno na gareṇa mriyate
2.3.11	saṃ te payāṃsīti pūrveṇa prathamaṃ grāsaṃ grased uttareṇa nigired viṣam apy asyānnaṃ bhavati / nainaṃ hiṃsati / nainaṃ hiṃsati
2.4.1	karavīradaṇḍam utthāpya devavratair abhijuhuyād anugānaśastena hastagatena yatra kva ca gacchati sarvatra hāsya svasti bhavati
2.4.2	tena nagaraṃ vā nigamaṃ vā grāmaṃ vā goṣṭhaṃ vāgāraṃ vā manasā dhyāyan parilikhen nātrāniṣṭāḥ praviśanti
2.4.3	pratibhaye 'dhvani devavratam ādyaṃ gītvā madhyamam āvartayet / gate 'dhvany uttamaṃ samāpayitvā viramet
2.4.4	udyataśastrān śatrūn dṛṣṭvā devavratāni manasā dhyāyan nainaṃ hiṃsanti
2.4.5	amānuṣe bhaye kayānīyātṛtīyam āvartayen nainaṃ hiṃsanti
2.4.6	adhvānam abhyutthita ā mandrair iti vargaṃ gītvānapekṣamāṇo vrajet / svastyardhacaritaḥ punar aiti nādhvani ca pramīyate
2.4.7	anyo vainam anugāyet / kadācana starīr asīty etena cainam abhiśrāvayet / arddhasāmni pradakṣiṇam āvartayet / samāpyānavekṣamāṇaḥ paro vrajet / svastyardhacaritaḥ punar aiti / nādhvani ca pramīyate
2.4.8	eṣo uṣā apūrvyeti saṃviśan sadā prayuñjītākālaṃ svastyayanam / udite yad adya kac ca vṛtrahann ity ākālaṃ svastyayanam
2.4.9	mūlaphalair upavasathaṃ kṛtvā māsam upavased araṇye nistāntavo munir yā rauhiṇī vā pauṣī vā paurṇamāsī syāt tad ahar udyantam ādityam upatiṣṭhetod vayaṃ tamasas parīty etena / tata ūrdhvaṃ tadvratas tadbhakṣaś catvāri varṣāṇi prayuñjāno jarāmṛtyū jahāti jarāmṛtyū jahāti
2.5.1	athaikamanuṣyāṇām āvartanaṃ striyo vā puṃso vā
2.5.2	śravaṇena vratam upetya
2.5.3	pūrvaiḥ proṣṭhapadaiḥ pāṃsubhiḥ pratikṛtiṃ kṛtvā prākśirasaṃ pūrvāhṇe dakṣiṇaśirasaṃ madhyāhne pratyakśirasam aparāhṇe 'rdharātra udakśirasaṃ tasyā hṛdayadeśam adhiṣṭhāyāyaṃ ta indra soma iti brāhmaṇasyedaṃ ta ekam iti kṣatriyasyaiṣa pra kośa iti vaiśyasya vibhoṣ ṭa indra rādhasa iti śūdrasyod vayaṃ tamasas parīti vā sarveṣāṃ sauvarṇīṃ pratikṛtiṃ kuryād brāhmaṇasya rājatīṃ kṣatriyasyaudumbarīṃ vaiśyasyāyasīṃ śūdrasyaudumbarīṃ vā sarveṣām ayam asāv iti prākśirasam agnau pratiṣṭhāpyaudumbareṇa sruveṇājyenābhijuhuyācchāva iti nidhanena guṇī hāsya bhavati
2.5.4	kṛṣṇavrīhīṇāṃ nakhanirbhinnānāṃ piṣṭamayīṃ pratikṛtiṃ kṛtvā piṣṭasvedaṃ svedayitvā sarṣapatailenābhyajya tasyāḥ kṣureṇāṅgāny avadāyāgnau juhuyāt pra mandina ity etena śeṣaṃ svayaṃ prāśnīyād itarathābhāve mriyeta
2.5.5	atha yaḥ kāmayetāvartayeyam ity ekarātraṃ kṣurasaṃyuktas tiṣṭhet sutāso madhumattamā iti varga eteṣām ekam anekaṃ vā sarvāṇi vā prayuñjāna ekarātreṇa kuṭumbinam āvartayati
2.5.6	dvirātreṇa rājopajīvinaṃ trirātreṇa rājānaṃ catūrātreṇa grāmaṃ pañcarātreṇa nagaraṃ ṣaḍrātreṇa janapadaṃ saptarātreṇāsurarakṣāṃsy aṣṭarātreṇa pitṛpiśācān navarātreṇa yakṣān daśarātreṇa gandharvāpsaraso 'rdhamāsena vaiśravaṇaṃ māsenendraṃ caturbhiḥ prajāpatiṃ saṃvatsareṇa yat kiṃ ca jagat sarvaṃ hāsya guṇībhavati
2.6.1	athātaḥ saubhāgyānām
2.6.2	yad indro anayad uccā te jātam andhasa iti navamadaśame eteṣām ekam anekaṃ vā sarvāṇi vā prayuñjānaḥ subhago bhavati
2.6.3	dvandvādyāyāḥ saptamāṣṭamābhyām indrāṇīṃ sadā tarpayan subhago bhavati
2.6.4	apāmārgaṃ dantapāvanaṃ ghṛtamadhuliptaṃ bhadro no agnir āhuta ity etenāniṣṭhīvan saṃvatsaraṃ bhakṣayan subhago bhavati
2.6.5	bhago na citra ity etābhyām añjayan subhago bhavati
2.6.6	imam indreti vargaṃ prayuñjānaḥ sarvajanasya priyo bhavati
2.6.7	pari priyā divaḥ kavir ity ete yāṃ kāmayet tāṃ śrāvayet / kāmayate hainam
2.6.8	atha yāsya na guṇī syāt tāṃ brūyād ācāmetīndro viśvasya rājatīty etābhyām ācāmet
2.6.9	padapāṃsūnvāsyā agnau juhuyād ete panthā adho diva iti
