#Text:Maitrāyaṇīsaṃhitā
#Notes:Prose parts; digital split version provided by K. Amano



1.1.1.1	iṣe tvā subhūtāya
1.1.10.1	devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām ādadai / indrasya bāhur asi dakṣiṇaḥ sahasrabhṛṣṭiḥ / śatatejā vāyus tigmatejāḥ / pṛthivi devayajani mā hiṃsiṣaṃ tā oṣadhīnāṃ mūlam / vrajaṃ gaccha gosthānam / varṣatu te parjanyaḥ / badhāna deva savitaḥ śatena pāśaiḥ paramasyāṃ parāvati / yo asmān dveṣṭi yaṃ ca vayaṃ dviṣmas tam atra badhāna / so 'to mā moci / mā vaḥ śivā oṣadhayo mūlaṃ hiṃsiṣam / vrajaṃ gaccha gosthānam / varṣatu te parjanyaḥ / badhāna deva savitaḥ śatena pāśaiḥ paramasyāṃ parāvati / yo asmān dveṣṭi yaṃ ca vayaṃ dviṣmas tam atra badhāna / so 'to mā moci / drapsas te divaṃ mā skān / vrajaṃ gaccha gosthānam / varṣatu te parjanyaḥ / badhāna deva savitaḥ śatena pāśaiḥ paramasyāṃ parāvati / yo asmān dveṣṭi yaṃ ca vayaṃ dviṣmas tam atra badhāna / so 'to mā moci / vasavas tvā parigṛhṇantu gāyatreṇa chandasā / rudrās tvā parigṛhṇantu traiṣṭubhena chandasā / ādityās tvā parigṛhṇantu jāgatena chandasā / apāraruṃ pṛthivyā adevayajanam / satyasad asi / ṛtasad asi / gharmasad asi
1.1.10.2	purā krūrasya visṛpo virapśina udādāya pṛthivīṃ jīradānum / tām airayaṃś candramasi svadhābhis tāṃ dhīrāsaḥ kavayo 'nudiśyāyajanta
1.1.11.1	pratyuṣṭaṃ rakṣaḥ / pratyuṣṭārātiḥ / āyuḥ prāṇaṃ mā nirmārjīḥ / cakṣuḥ śrotraṃ mā nirmārjīḥ / vācaṃ paśūn mā nirmārjīḥ / yajñaṃ prajāṃ mā nirmārjīḥ / tejo 'si / śukram asi / jyotir asi / amṛtam asi / vaiśvadevam asi
1.1.11.2	havir asi vaiśvānaram unnītaśuṣmaṃ satyaujāḥ / saho 'si sahasvārātiṃ sahasva pṛtanāyataḥ
1.1.11.3	sahasravīryam asi / tan mā jinva / ājyasyājyam asi haviṣo haviḥ satyasya satyam / satyābhighṛtaṃ satyena tvābhighārayāmi / adabdhena tvā cakṣuṣāvekṣe rāyaspoṣāya suprajāstvāya
1.1.11.4	dhāmāsi priyaṃ devānām anādhṛṣṭaṃ devayajanam / devavītyai tvā gṛhṇāmi
1.1.11.5	devīr āpaḥ śuddhā yūyaṃ devān yuyudhvam / śuddhā vayaṃ supariviṣṭāḥ pariveṣṭāro vo bhūyāsma / kṛṣṇo 'sy ākhareṣṭhaḥ / agnaye ghṛtaṃ bhava / vedir asi / barhiṣe tvā juṣṭaṃ prokṣāmi / barhir asi / vedyai tvā juṣṭaṃ prokṣāmi / svāhā pitṛbhyo gharmapāvabhyaḥ
1.1.12.1	pūṣā te granthiṃ viṣyatu / viṣṇoḥ stupo 'si / uru prathasvorṇamradaṃ svāsasthaṃ devebhyaḥ / gandharvo 'si viśvāvasur viśvasmād īṣamāṇo yajamānasya paridhir iḍa īḍitaḥ / indrasya bāhur asi dakṣiṇo yajamānasya paridhir iḍa īḍitaḥ / mitrāvaruṇau tvottarataḥ paridhattām / yajamānasya paridhir asīḍa īḍitaḥ
1.1.12.2	nityahotāraṃ tvā kave dyumantaḥ samidhīmahi
1.1.12.3	varṣiṣṭhe adhi nāke pṛthivyāḥ sūryas tvā raśmibhiḥ purastāt pātu kasyāścid abhiśastyāḥ / viśvajanasya vidhṛtī sthaḥ / vasūnāṃ rudrāṇām ādityānāṃ sado 'si srucāṃ yoniḥ / dyaur asi janmanā juhūr nāma priyā devānāṃ priyeṇa nāmnā dhruve sadasi sīda / antarikṣam asi janmanopabhṛn nāma priyā devānāṃ priyeṇa nāmnā dhruve sadasi sīda / pṛthivy asi janmanā dhruvā nāma priyā devānāṃ priyeṇa nāmnā dhruve sadasi sīda / ṛṣabho 'si śākvaro vaṣaṭkārasya tvā mātrāyāṃ sādayāmi
1.1.12.4	dhruvā asadann ṛtasya yonau sukṛtasya loke tā viṣṇo pāhi
1.1.12.5	pāhi yajñaṃ pāhi yajñapatiṃ pāhi māṃ yajñanyam
1.1.12.6	viṣṇūni stha vaiṣṇavāni dhāmāni stha prājāpatyāni
1.1.13.1	sūyame me 'dya staṃ svāvṛtau sūpāvṛtā agnāviṣṇū vijihāthām / mā mā hiṃsiṣṭam / lokaṃ me lokakṛtau kṛṇutam / mā modoṣiṣṭam ātmānaṃ me pātam / śivau bhavatam adya naḥ / viṣṇoḥ sthāmāsītaḥ / indras tiṣṭhan vīryam akṛṇod devatābhiḥ samārabhya
1.1.13.2	ūrdhvo adhvaro divispṛg ahruto yajño yajñapateḥ / indravānt svavān bṛhadbhāḥ
1.1.13.3	vīhi madhor ghṛtasya svāhā / saṃ jyotiṣā jyotiḥ
1.1.13.4	vājasya mā prasavenodgrābheṇodajigrabhat / athā sapatnān indro me nigrābheṇādharaṃ akaḥ
1.1.13.5	udgrābhaś ca nigrābhaś ca brahma devaṃ avīvṛdhat / athā sapatnān indrāgnī me viṣūcīnān vyasyatām
1.1.13.6	vasur asi / upāvasur asi / viśvāvasur asi / aptubhī rihāṇā vyantu vayo / vaśā pṛśnir bhūtvā maruto gaccha / tato no vṛṣṭyāvata
1.1.13.7	saṃsrāvabhāgāḥ stheṣā bṛhantaḥ prastareṣṭhā barhiṣadaś ca devāḥ / imāṃ vācam abhi viśve gṛṇantaḥ svāhā devā amṛtā mādayantām
1.1.13.8	devā gātuvido gātuṃ vittvā gātum ita / manasaspate sudhātv imaṃ yajñaṃ divi deveṣu vāte dhāḥ svāhā
1.2.1.1	āpo devīḥ śundhata mā madhumantaṃ madhumatīr devayajyāyai
1.2.1.2	oṣadhe trāyasvainaṃ svadhite mainaṃ hiṃsīḥ / yā te śivatamā tanūs tayainam upaspṛśa
1.2.1.3	devaśrud imān pravape / svasty uttaraṃ aśīya
1.2.1.4	hiraṇyavarṇāḥ śucayaḥ pāvakāḥ pracakramur hitvāvadyam āpaḥ / śataṃ pavitrā vitatāny āsu tebhir mā devaḥ savitā punātu
1.2.1.5	āpo mā mātaraḥ sūdayantu ghṛtena mā ghṛtapvaḥ punantu / viśvaṃ hi ripraṃ pravahantu devīr ud id ābhyaḥ śucir ā pūta emi
1.2.1.6	viṣṇoḥ śarmāsi / śarma me yacchorje tvā mahīnāṃ payo 'sy apām / oṣadhīnāṃ raso varcodhā asi / varco me dhehi
1.2.1.7	vṛtrasyāsi kanīnikā cakṣuṣo me vayodhāḥ / antar ahaṃ tvayā dveṣo antar arātīr dadhe / mahatā parvatena cakṣuṣpā asi / cakṣur me pāhi
1.2.1.8	citpatis tvā punātu / vācaspatis tvā punātu
1.2.1.9	devas tvā savitā punātv achidreṇa pavitreṇa / vasoḥ sūryasya raśmibhiḥ
1.2.1.10	tasya te pavitrapate pavitreṇa yasmai kaṃ pune taṃ śakeyam
1.2.2.1	ākūtyai prayuje agnaye svāhā / medhāyai manase agnaye svāhā / dīkṣāyai tapase agnaye svāhā / sarasvatyai pūṣṇe agnaye svāhā
1.2.2.2	āpo devīr bṛhatīr viśvaśaṃbhuvo dyāvāpṛthivī uro antarikṣa / bṛhaspatir no haviṣā vṛdhātu svāhā
1.2.2.3	viśvo devasya netur marto vurīta sakhyam / viśvo rāya iṣudhyati dyumnaṃ vṛṇīta puṣyase svāhā
1.2.2.4	ṛksāmayoḥ śilpe sthaḥ / te vām ārabhe / ā modṛcaḥ pātaṃ / viṣṇoḥ śarmāsi / śarma me yaccha / namas te astu / mā mā hiṃsīḥ
1.2.2.5	imāṃ dhiyaṃ śikṣamāṇasya deva kratuṃ dakṣaṃ varuṇa saṃśiśādhi / yayāti viśvā duritā tarema sutarmāṇam adhi nāvaṃ ruheyam
1.2.2.6	sūryāgnī dyāvāpṛthivī uro antarikṣāpa oṣadhayā upa mā dīkṣāyāṃ dīkṣāpatayo hvayadhvam / deva savitas tvaṃ dīkṣāyā dīkṣāpatir asi / itthaṃ mā santaṃ pāhi / ūrg asy āṅgirasy ūrṇamradā / ūrjaṃ mayi dhehi / indrasya yonir asi / gopāya mā / namas te astu / mā mā hiṃsīḥ
1.2.2.7	kṛṣiṃ susasyām utkṛṣe supippalā oṣadhīs kṛdhi / viṣāṇe viṣyaitaṃ granthiṃ yad asya guṣpitaṃ hṛdi mano yad asya guṣpitam
1.2.2.8	bṛhann asi vānaspatyaḥ / sudyumno dyumnaṃ yajamānāya dhehi / nakṣatrāṇāṃ mātīkāśāt pāhi
1.2.2.9	ā vo devāsa īmahe vāmaṃ prayaty adhvare / yad vo devāsa āguri yajñiyāso havāmahe
1.2.2.10	svāhā yajñaṃ manasaḥ svāhā divaḥ svāhā pṛthivyāḥ svāhoror antarikṣāt svāhā vātāt parigṛhṇāmi svāhā
1.2.3.1	nakṣatrāṇāṃ sakāśān mā yauṣaṃ vrataṃ carata
1.2.3.2	daivīṃ dhiyaṃ manāmahe sumṛḍīkām abhiṣṭaye / varcodhāṃ yajñavāhasaṃ sutīrthā no asad vaśe
1.2.3.3	ye devā manujātā manoyujaḥ sudakṣā dakṣapitaras te no 'vantu te naḥ pāntu tebhyaḥ svāhā
1.2.3.4	śivāḥ pītā bhavata yūyam āpo asmākaṃ yonā udare suśevāḥ / irāvatīr anamīvā anāgasaḥ śivā no bhavata jīvase
1.2.3.5	kāmo haviṣāṃ mandiṣṭho 'gne tvaṃ su jāgṛhi vayaṃ su mandiṣīmahi / gopāya naḥ svastaye prabudhe naḥ punas kṛdhi
1.2.3.6	punar manaḥ punar āyur nā āgāt punaḥ prāṇaḥ punar ākūtam āgāt / vaiśvānaro 'dabdhas tanūpā apabādhatāṃ duritāni viśvā
1.2.3.7	tvam agne vratapā asi deva ā martyeṣv ā / tvaṃ yajñeṣv īḍyo vratam asmāsu dhāraya
1.2.3.8	pūṣā sanīnāṃ somo rādhasāṃ mā pṛṇan pūrtyā virādhiṣṭa / mā vayam āyuṣā varcasā ca rāsveyat somā bhūyo bhara / devaḥ savitā vasor vasudāvā / vāyur gopāḥ / tvaṣṭādhipatiḥ / pūṣā pratigrahītā / devīr āpo apāṃ napād ya ūrmir haviṣya indriyāvān madintamas taṃ vo mā kramiṣaṃ / yāḥ paśūnām ṛṣabhe vācas tāḥ sūryo agre śukro agre tāḥ prahiṇomi yathābhāgaṃ vo atra / śivā naḥ punar āyantu vācaḥ / vāyave tvā / varuṇāya tvā / rudrāya tvā / nirṛtyai tvā / indrāya tvā / marudbhyas tvā
1.2.4.1	iyaṃ te śukra tanūr idaṃ varcaḥ / tayā saṃbhava / bhrājaṃ gaccha / jūr asi dhṛtā manasā juṣṭā viṣṇave / tasyās te satyasavasaḥ prasave tanvo yantram aśīya svāhā / śukram asi / candram asi / amṛtam asi / vaiśvadevam asi / cid asi / manāsi / dhīr asi / dakṣiṇāsi / yajñiyāsi / kṣatriyāsi / aditir asi ubhayataḥśīrṣṇī / sā naḥ suprācī supratīcī bhava / mitras tvā padi badhnātu / pūṣādhvanaḥ pātu / indrāyādhyakṣāya / anu tvā mātā manyatām anu pitānu bhrātā sagarbhyo 'nu sakhā sayūthyaḥ / sā devi devam acchehi / indrāya somam / rudras tvāvartayatu / svasti somasakhā punar ehi / vasvy asi / rudrāsi / aditir asi / ādityāsi / candrāsi / rudrāsi / bṛhaspatiṣ ṭvā sumne ramṇātu / rudro vasubhir ācake / pṛthivyās tvā mūrdhann ājigharmi / yajñiyā iḍāyās pade ghṛtavati svāhā / asme ramasvāsme te rāyas tava rāyas tava tava rāyaḥ / mā rāyaspoṣeṇa viyauṣma / tvaṣṭrimantas tvā sapema
1.2.5.1	sūryasya cakṣur āruham agner akṣṇaḥ kanīnikām / yad etaśebhir īyase bhrājamāno vipaścitā
1.2.5.2	api panthām aganmahi svastigām anehasam / yena viśvāḥ pari dviṣo vṛṇakti vindate vasu
1.2.5.3	āsmāko 'si / śukras te grahaḥ svāhā tvā vicidbhyaḥ
1.2.5.4	abhi tyaṃ devaṃ savitāramoṇyoḥ kavikratum arcāmi satyasavasaṃ ratnadhām abhi priyaṃ matim / ūrdhvā yasyāmatir bhā adidyutat savīmani hiraṇyapāṇir amimīta sukratuḥ kṛpā svaḥ
1.2.5.5	prajābhyas tvā prajās tvānuprāṇantu / prajāḥ pāhi / śukraṃ te śukra śukreṇa candraṃ candreṇāmṛtam amṛtena krīṇāmi deva soma śakma yat te goḥ / asme te candrāṇi / tapasas tanūr asi prajāpater varṇaḥ / sahasrapoṣaṃ puṣyantī parameṇa paśunā krīyasva / asme te bandhuḥ suvāṅ nabhrāḍ aṅghāre bambhāre 'star ahasta kṛśāno / ete vaḥ somakrayaṇāḥ / tān rakṣadhvam / mā vo dabhan / duścakṣā vo māvakśat
1.2.6.1	svajā asi / svabhūr asy asme karmaṇe jātaḥ / ṛtena tvā gṛhṇāmi / ṛtena naḥ pāhi / mitro nā ehi / sumitradhaḥ saha rāyaspoṣeṇendrasyorum āviśa dakṣiṇam uśann uśantaṃ syonaḥ syonam
1.2.6.2	ud āyuṣā svāyuṣod oṣadhīnāṃ rasena / ut parjanyasya dhāmnodasthām amṛtaṃ anu
1.2.6.3	urv antarikṣaṃ vīhi / adityāḥ sadā āsīda
1.2.6.4	astabhnād dyām ṛṣabho antarikṣam amimīta varimāṇaṃ pṛthivyāḥ / āsīdad viśvā bhuvanāni samrāḍ viśvet tāni varuṇasya vratāni
1.2.6.5	vaneṣu vy antarikṣaṃ tatāna vājam arvatsu payo aghnyāsu / hṛtsu kratuṃ varuṇaṃ dikṣv agniṃ divi sūryam adadhāt somam adrau
1.2.6.6	dhūr asi / dhvara dhvarantaṃ yo asmān dhvarād yaṃ vayaṃ dhvarāma taṃ dhvara
1.2.6.7	vāruṇam asi / varuṇas tvottabhnātu / varuṇasya skambho 'si
1.2.6.8	pracyavasva bhuvanaspate viśvāny abhi dhāmāni / mā tvā paripariṇo mā paripanthino mā tvā vṛkā aghāyavo vidan
1.2.6.9	śyeno bhūtvā parāpata yajamānasya no gṛhe saṃskṛtam / devebhyaḥ sutyāyai
1.2.6.10	namo mitrasya varuṇasya cakṣase maho devāya tad ṛtaṃ saparyata / dūredṛśe devajātāya ketave divas putrāya sūryāya śaṃsata
1.2.6.11	vāruṇam asi / varuṇas tvottabhnātu / varuṇasya skambhasarjanam asi
1.2.6.12	vicṛtto varuṇasya pāśaḥ / pratyasto varuṇasya pāśaḥ / namo varuṇasya pāśāya / agnes tanūr asi / viṣṇave tvā / somasya tanūr asi / viṣṇave tvā / atither ātithyam asi / viṣṇave tvā / agnaye tvā rāyaspoṣade / viṣṇave tvā / śyenāya tvā somabhṛte / viṣṇave tvā / vāruṇam asi / varuṇo 'si dhṛtavrataḥ / varuṇasya ṛtasadanam āsīda / varuṇāya tvā
1.2.7.1	agner janitram asi / vṛṣaṇau sthaḥ / urvaśy asi / āyur asi purūravā asi / gāyatram asi / triṣṭub asi / jagad asi
1.2.7.2	bhavataṃ naḥ samanasau samokasau sacetasā arepasau
1.2.7.3	mā yajñaṃ hiṃsiṣṭaṃ mā yajñapatiṃ jātavedasau / śivau bhavatam adya naḥ
1.2.7.4	agnā agniś carati praviṣṭā ṛṣīṇāṃ putro adhirāja eṣaḥ
1.2.7.5	tasmai vidhema haviṣā vayaṃ mā devānāṃ yūyupāma bhāgadheyam
1.2.7.6	āpataye tvā gṛhṇāmi / paripataye tvā gṛhṇāmi / tanūnaptre śakmane śakvarāya śakmanā ojiṣṭhāya / anādhṛṣṭam asi / anādhṛṣyaṃ devānām ojaḥ / abhiśastipā anabhiśastenyam
1.2.7.7	anu ma idaṃ vrataṃ vratapatir manyatām anu dīkṣāṃ dīkṣāpatiḥ / añjasā satyam upāgām / suvite mā dhā agne vratapate / yā mama tanūr eṣā sā tvayy agne vratapate / yā tava tanūr iyaṃ sā mayi / saha nau vratapate vratinor vratāni / aṃśuraṃśuṣ ṭe deva somāpyāyatām / indrāyaikadhanavide / ā tvam indrāya pyāyasva / ā tubhyam indraḥ pyāyatām / āpyāyaya sakhīnt sanyā medhayā / svasti te deva soma sutyām aśīya svasty udṛcam eṣṭā rāyā eṣṭā vāmāni / preṣe bhagāya / ṛtam ṛtavādibhyo namo dive / namaḥ pṛthivyai
1.2.7.8	yā te agne 'yāśayā tanūr varṣiṣṭhā gahaneṣṭhā / tveṣaṃ vaco apāvadhīr ugraṃ vaco apāvadhīḥ
1.2.7.9	yā te agne rajāśayā yā te agne harāśayā yā te agne rudriyā tanūs tayā naḥ pāhi / tasyai te svāhā
1.2.8.1	taptāyanī me 'si / vittāyanī me 'si / avatān mā nāthitam / avatād vyathitam / agne aṅgiro yo 'syāṃ pṛthivyām adhy asy āyunā nāmnehi / vasavas tvā harantu gāyatreṇa chandasā / vitsva yajñapateḥ / yat te 'nādhṛṣṭaṃ dhāmānādhṛṣyaṃ tena tvādadhe / agne aṅgiro yo dvitīyasyāṃ pṛthivyām adhy asy āyunā nāmnehi / rudrās tvā harantu traiṣṭubhena chandasā / vitsva yajñapateḥ / yat te 'nādhṛṣṭaṃ dhāmānādhṛṣyaṃ tena tvādadhe / agne aṅgiro yas tṛtīyasyāṃ pṛthivyām adhy asy āyunā nāmnehi / ādityās tvā harantu jāgatena chandasā / vitsva yajñapateḥ / yat te 'nādhṛṣṭaṃ dhāmānādhṛṣyaṃ tena tvādadhe / vider agne nabho nāma yat te / siṃhīr asi / mahiṣīr asi / devebhyaḥ śundhasva / devebhyaḥ śumbhasva / indraghoṣās tvā purastād vasubhiḥ pāntu / pitaras tvā manojavā dakṣiṇataḥ pāntu / rudrās tvā pracetasaḥ paścāt pāntu / viśvakarmā tvādityair uttarāt pātu / siṃhīr asi sapatnasāhī svāhā / siṃhīr asi rāyaspoṣavaniḥ svāhā / siṃhīr asi suprajāvaniḥ svāhā / siṃhīr asy ādityavaniḥ sajātavaniḥ svāhā / siṃhīr asi / āvaha devān devāyate yajamānāya svāhā / bhūtebhyas tvā / viśvāyur asi / pṛthivīṃ dṛṃha / dhruvakṣitir asi / antarikṣaṃ dṛṃha / acyutakṣid asi / divaṃ dṛṃha / agner bhasmāsi / agneḥ purīṣam asi / agneḥ kulāyam asi
1.2.8.2	vibhrāḍ bṛhat pibatu somyaṃ madhv āyur dadhad yajñapatā avihrutam / vātajūto yo abhirakṣati tmanā prajāḥ piparti bahudhā virājati
1.2.9.1	devaśrutau deveṣv āghoṣethām
1.2.9.2	yuñjate mana uta yuñjate dhiyo viprā viprasya bṛhato vipaścitaḥ / vi hotrā dadhe vayunāvid ekā in mahī devasya savituḥ pariṣṭutiḥ
1.2.9.3	apa janyaṃ bhayaṃ nuda mā cakrā āvṛtsata / gṛhaṃ somasya gacchataṃ gacchad indrasya niṣkṛtam
1.2.9.4	idaṃ viṣṇur vicakrame tredhā nidadhe padā / samūḍham asya pāṃsure
1.2.9.5	irāvatī dhenumatī hi bhūtaṃ sūyavasinī manave yaśasye / vyaṣkabhnā rodasī viṣṇa ete dādhartha pṛthivīm abhito mayūkhaiḥ
1.2.9.6	suvāg āvada deva duryaṃ ariṣyann ariṣyataḥ
1.2.9.7	ā no vīro jāyatāṃ karmaṇyo 'bhiśastipā anabhiśastenyaḥ / yaṃ bahavo 'nujīvān yo bahūnām asad vaśī
1.2.9.8	vaiṣṇavam asi viṣṇus tvottabhnātu
1.2.9.9	divo viṣṇa uta vā pṛthivyā uror vā viṣṇo bṛhato antarikṣāt / hastau pṛṇasva bahubhir vasavyair ā prayaccha dakṣiṇād ota savyāt
1.2.9.10	viṣṇor nu kaṃ vīryāṇi pravocaṃ yaḥ pārthivāni vimame rajāṃsi / yo askabhāyad uttaraṃ sadhasthaṃ vicakramāṇas tredhorugāyaḥ
1.2.9.11	viṣṇoḥ pṛṣṭham asi / viṣṇo rarāṭam asi / viṣṇoḥ śipre sthaḥ / viṣṇoḥ syūr asi / viṣṇor dhruvo 'si / vaiṣṇavam asi / viṣṇave tvā
1.2.9.12	pra tad viṣṇuḥ stavate vīryeṇa mṛgo na bhīmaḥ kucaro giriṣṭhāḥ / yasyoruṣu triṣu vikramaṇeṣv adhikṣiyanti bhuvanāni viśvā
