1.1.1	Now we shall explain the Agnihotra.
1.2.5	Therefore, in the case of a Brahmin, the procedure is eight steps, in the case a Kshatriya, eleven steps, in thecase of a Vaishya, twelve steps. The sacrificial fire-pit is square, thirty-two inches long in the four directions, and eight inches high. Having designated a mound as before, leaving the upper border, he makes the lower border low in the middle.
1.2.6	Having said, "You are the altar between the two," he makes the altar, which is four fingers wide and high, connected to the Garhapatya and Ahavaniya fires, and which is in the south and north, and which is sixteen fingers wide in between.
1.3.1	In the southern part of the altar, in the western direction, he should draw the Anvāhāryapacana fire with twenty-five fingers, making a circle and then making a crescent-shaped mound in the southern half, as before. It should be elevated in the middle and lowered at the edges, with upper and lower borders.
1.3.2	Having divided the Veda-Uttara into three parts, the northern part of the eastern part should be made to rise upwards.
1.3.3	The Sāvitrī fire is to be placed twelve inches to the east of the Āhavanīya fire. The Sāvitri fire is to be twelve inches high and square in shape, like the Āhavanīyī fire. A mound is to be made around it, leaving a space of twelve inches. The middle mound should be twelve inches high, and the three mounds should be five inches wide and twelve inches high.
1.3.4	The place for the fire of the house is triangular, facing east. The altar is forty-five inches long in the west, south and north. It is elevated in the middle and lowered at the edges. There are two borders as before.
1.3.5	Some say that the fire of the household is square.
1.3.6	The Yajamana, the Adhvaryu, or the sacrificer follows the measure of the middle joint of the middle finger of the right hand of all the Yajamana.
1.4.1	Having been duly initiated by the Brahmins, having shaved his hair, beard, and nails according to the prescribed method, having bathed, having recited the Vedic texts beginning with "Iṣe tvā" and "Urje tvā", having performed a hundred Pranayama exercises, meditating on Narayana, having fasted along with his wife, he eats the sacrificial food mixed with ghee and milk.
1.4.2	Having undertaken the prescribed vow, he should offer oblations to the ministers and Kūṣmāṇḍa for purification.
1.4.3	On the day of fasting, having said, "I am going to kindle the fires for all desired purposes," the sacrificer shaves his hair, beard, and body hair.
1.4.4	Some say, "Do not shave."
1.4.5	Then he should perform the auspicious śrāddha.
1.4.6	Everything is like the divine śrāddha.
1.4.7	He chooses two Viśvedevas and four Pitṛs.
1.4.8	The Pitṛs with Nandīmukha and their followers are pleased. Having pleased them, he offers the Arghya.
1.4.9	Having placed the pot of water with Dūrvā grass and unbroken rice, as before, having offered oblations to the gods and ancestors, the sacrificer is sprinkled with water from the pot of water, and the auspicious verses are recited.
1.4.10	May you grant us welfare, may you grant us prosperity. The lord of the Vishvas is the one who grants welfare. Having tied the Pratisara (a thread) with this verse, on that day, having appointed Brahmanas with the mentioned characteristics as the officiating priests, he offers Madhuparka (a drink of honey and water).
1.4.11	The sacrificer and his wife, adorned with new garments, upper garments, flowers, and other things, become so.
1.4.12	The Adhvaryu, having taken the kindling woods from the Aśvattha tree, which is the embryo of the Śamī tree, says, "From the Aśvatthā tree, the carrier of oblations."
1.4.13	Having taken them, he recites, "May it bestow life upon me."
1.4.14	The sacrificer takes up five pots with the verse, "I take up the shining pots from the tree-sun for the sake of life. May life enter me." Having taken them up, he rises up.
1.5.1	Having sprinkled the fire with the Palasha or Shamya twig, having sprinkled it three times and having gone three steps forward, having sprinkled it while being taken up, having sprinkled it after being taken up, he places that fire which is for the Brahmana-student.
1.5.2	Some say that it is the fire for churning, the fire for the Ambareesa sacrifice, the fire for heating.
1.5.3	If the evening worship is not performed, one should offer it in the evening.
1.5.4	At night, after the Brahmauḍanika meal, one should spread a red antelope skin with the neck towards the east and the hair towards the north, and on that one should offer the Brahmauḍana meal in four portions.
1.5.5	Having touched the grains that have been placed (in the vessel) with the formula, "For inspiration thee, for aspiration thee," and having sprinkled them with water, he places the mortar on the skin and grinds the grains.
1.5.6	Having sifted the husks with a winnowing basket, he cleans the pot with the formula, "May the pot be purified." Having cleaned the pot, he pours the grains into it with the formula, "I pour the grains that are dear to Brahman."
1.5.7	He does not pour out the clarified butter.
1.5.8	He cooks in milk.
1.5.9	Having cooked in four vessels, having poured clarified butter over it, having taken it away towards the north, having taken out the Brahmic rice with a ladle, having sprinkled it with plenty of clarified butter, he offers with the verse, "To Praveda, the sage, the wise," and stands up.
1.6.1	Having divided it into four parts, he pours plenty of ghee over it and gives it to the priests.
1.6.2	Having eaten it and sipped water, they praise it, saying, "This is the Brahmaudana."
1.6.3	He gives them a calf.
1.6.4	He brings the remaining ghee in a pot.
1.6.5	Having anointed three fire-sticks of the auspicious Ficus religiosa, the size of a span, with the sap of the Ficus glomerata, and having recited the formula, "From the variegated Ficus religiosa," he offers the fire-sticks to the Agni who is being worshipped. "O Agni, come to the offerings, you are worshipped by the fire-sticks." With three Gāyatrī verses, he places the Brahmanical fire in the Brahmanical fire-place, with the verses, "Agni, the first to be kindled, the most excellent, the most radiant, the most brilliant, the most powerful, the most glorious, the most auspicious, the most auspicious." With three Tristubh verses, he places (the fire) in the Rajanya fire-place, "You, O Agni, the most excellent one, are being kindled." With three Jagatī verses, he places it in the Vaiśya fire-place.
1.6.6	Here, one gives a pair of cows whose semen has not been sown.
1.6.7	They keep this Agni for one day, two days, three days, four days, twelve days, a season, or a year.
1.6.8	The one who follows this Agni at the time of departure and the one who returns, the Brahmanic rice-gruel is thus prescribed.
1.6.9	The sacrificer observes the vow of eating Brahmanic rice-grue
1.6.10	He does not approach a woman, does not eat meat, the fire is not taken from his house, nor is it brought from elsewhere.
1.6.11	If he is unable to perform the rite in a year, then this Brahmoḍana is prescribed again.
1.6.12	When the dog is about to be consecrated, the Adhvaryu cooks the Brahmoḍana and observes this vow on that night.
1.6.13	"O Agni, may the people be united with you," (with these words) he should bind a black goat to the north of the Garhapatya fire.
1.6.14	"One kindles the fire with shells," (with these) words the sacrificer, without sleeping, kindles the fire during that night with shells.
1.7.1	He collects the materials that have been collected on the altar.
1.7.2	The form of Vaishvanara, the sand; what is this of heaven and earth, the sand; the sand-born, the sand-born; the sand-thrown up by the mole, the sand of the anthill; the sand created by Prajapati; the sand whose form is the Sudha; the sand thrown up by the boar; the sand by which he made firm.
1.7.3	Taking these seven pure earth-pieces separately, and having taken them in a pot, he should take them separately. Having made the form of a horse, he should take the ashvattha (tree) of the size of a span with its leaves. "Having risen from the earth of strength, he should take (the tree) called audumbara. "The gods took away the Brahman-speech of him who was being taken away by the Gayatri (verse)." With these two verses, he should take a palasha (tree). "The Agni who was created by you," he should take a shalmali (tree). "What was created by you?" he should take an oak (tree). "Whatever was created by you for him," he should (take) a tree struck by lightning.
1.7.4	Here some collect the kindling wood, saying, "The Ashvattha tree is the embryo of the Shami tree."
1.7.5	The sacrificer again collects all the materials, saying, "You whom I have collected, O Jātavedas."
1.7.6	Some say that the morning Upasad-homa is offered in the Brahmauḍanika fire, which is the Upvyusha fire, and which is the receptacle of all offerings.
1.7.7	"This is the seed of the world, this is your natural place." With these two verses he kindles the fire-sticks on the fire.
1.8.1	"I take Agni in me." With these two he takes Agni in himself. Then he gives the fire-sticks to the sacrificer, saying, "This is your cow and this is your calf."
1.8.2	The sacrificer waits for the kindling-wood being given with the verse, "O Agni, do thou be the protector of this our sacrifice."
1.8.3	Having taken it with the verse, “Do you ascend the ten-fold (kindling-wood)," and having recited the verse, "You are the kindling-woods, you are the kindling woods," he takes Agni into himself with the two verses, "I take Agni in myself, Agni who is ours,
1.8.4	"This is the truth, I am approaching from untruth." Thus he restrains his speech.
1.8.5	The Adhvaryu, reciting the Brāhmaṇaudanika verse, follows him, saying, "The fires drive away the Rakshas."
1.8.6	The sacrificer should visualize the fires in five ways, or in three ways, saying, "This is Vishnu."
1.8.7	"Purify the places of the Garhapatya, Anvähäryapacaniya, Ahavaniya, Sabhya and Aväsathyas." Having smeared with cowdung, he cleanses as before, reciting, "The Rakshas-destroying Indra."
1.8.8	Some recite, "May the goddesses be auspicious to us."
1.8.9	Having placed darbha grass in the four directions with the words "May the gods..." and having dug nine times with a golden or silver instrument, one should dig with the words "Being dug up".
1.8.10	With two verses, "Brahma, the pure, the born, the pure," he draws three lines, beginning from the east, of the size of a span, and three lines beginning from the north. Having sprinkled them with Savitri, having sprinkled the materials with "May the goddesses protect us," having placed gold in the shrines, he offers separately on a separate mound with the verses, "We have come forth from darkness, we have come forth from the gloom."
1.9.1-4	Having divided the sand into two parts, he puts half in the place of the Garhapatya, the other half in the place for the Dakshina Agni. Having divided the other half into three parts, he puts them in the places for the other fires. If the Sabhya and Avashthya fires are not to be kindled, then all (the sand) is put in the place of Ahavaniya. Having done so, he puts the other (sand) in the places of the other fires. The sand is called the ashes of Agni.
1.9.5	"You are the moon." While sowing the seeds, he mentally thinks, "May the dark moon be here."
1.9.6	"Come forth, O Agni!" (with these words) he places the earth-born ant-hill in the place of the Garhapatya; "What is in the sky" (with these words), in the place of Dakshina Agni; "What is immortal in heaven" (with these) in the place of Ahavaniya. Silently in the other two.
1.9.7	"From the oceans" (with these verses) he places the food-born.
1.9.8	"Be thou here, O Agni!" with these words he places the boar-born.
1.9.9	"The goddesses here" (he says) while scattering sand. He meditates on the death of the one he hates.
1.9.10	Iron or oak implements are optional in place of earthen ones.
1.9.11	"I spread truth" (he says), while spreading the materials in the places.
1.9.12	"May they be united" (he says,) while mixing the sand and gravel.
1.9.13	"I mix you together." Having mixed the plants, he should say, "Agni was born first." He should scatter them once on each one.
1.9.14	Some say that this is done with the mantras for collecting the ingredients.
1.10.1	"Those are thy auspicious forms." Having placed a golden piece of gold on the Gārhapatya, having worshipped the fire as the moon, having recited the mantra, he gives away a silver piece of gold to the one who is hated.
1.10.2	If one does not find the one who is to be hated, one should turn away towards that direction.
1.10.3	One should not take it back again.
1.10.4	In this way, having worshipped in all the places, one should turn it away.
1.10.5	May the heaven and earth, by your strength, be united. With these two verses he unites all the collected materials.
1.10.6	Having placed the fires, he should say, "Let no one pass between them." Having placed a guard, at dawn, having collected the ashes of the Brahmauḍanika fire, having spread a bundle of Muñja grass there, having placed the lower kindling wood with its generative end facing downwards, and having placed the kindling wood of the Dashotr with its generative end upwards, having placed the kindler wood with its generative self facing downwards, meditating on himself, Vishnu, the generated Agni, he recites while churning, "With Agni, Agni."
1.10.7	When the horse is being churned, he makes the sacrificer recite the four Hotr-priests.
1.10.8	He recites the verse, "Come down" while the Agni is being born.
1.10.9	The sacrificer releases speech.
1.10.10	When born, he gives a boon.
1.10.11	With the two verses, "I am breathing you with the breath of Prajapati; I am placing you in the immortal breath," he smells the born Agni.
1.10.12	He says, "I am yours."
1.11.1	The Adhvaryu, having generated the fire, says, "You are Agni." Having invoked the fire, he takes it in a cup with the formula, "You are immortal, you are mortal."
1.11.2	Having placed the fire generated from the chaff in a pot, he kindles it with the formula, "You are the king, you are the emperor."
1.11.3	The sacrificer and his wife, having put on a garment of Kṣauma, should give to the Adhvaryu at the conclusion of the Agnihotra.
1.11.4	When the Rathantara is being chanted, having drawn out Agni facing east, he sits down and places the Garhapatya in front of the rising sun with the first two Vyahrtis, "For you the Bhrigus, for you the Angirasas, for you the Adityas, for you other Brahmanas, for you Varuna, for you Indra, for you the Manas, for you Rishis, for you the Rithakaras, for you the earth, for you the sky, for you the heaven, for you the atmosphere, for you the sun, for you the moon, for you the stars, for you the wind, for you the quarters, for you the directions, for you the waters, for you the plants, for you the herbs, for you the trees, for you the grasses, for you the shrubs, for you the creepers, for you the fruits, for you the grains, for you the food, for you the drink, for you the cattle, for you the sheep, for you the goats, for you the horses, for you the asses, for you the camels, for you the birds, for you the beasts, for you the insects, for you the beings, for you the non-beings, for you the gods, for you the ancestors, for you the men, for you the animals, for you the demons, for you the serpents, for you the Gandharvas, for you the Yakshas, for you all beings, for you all creatures, for you all that is, for you all this, for you all the worlds, for you all directions, for you all quarters, for you all regions, for you all spaces, for you all times, for you all seasons, for you all years, for you all months, for you all fortnights, for you all days, for you all nights, for you all twilights, for you all moments, for you all instants, for you all breaths, for you all worlds, for you the first, for you the middle, for you the last, for you the beginning, for you the end, for you the past, for you the future, for you the present, for you the good, for you the bad, for you the auspicious, for you the inauspicious, for you the seen, for you the unseen, for you the heard, for you the unheard, for you the known, for you the unknown, for you the truth, for you the untruth, for you the true, for you the false, for you the real, for you the unreal, for you the right, for you the wrong, for you the correct, for you the incorrect, for you the pure, for you the impure, for you the clean, for you the unclean, for you the bright, for you the dark, for you the light, for you the shadow, for you the day, for you the night, for you the dawn, for you the dusk, for you the morning, for you the evening, for you the east, for you the south, for you the west, for you the north, for you the southeast, for you the southwest, for you the northwest, for you the northeast, for you the above, for you the below, for you the upper, for you the lower, for you the near, for you the far, for you the high, for you the low, for you the great, for you the small, for you the many, for you the few, for you the one, for you the two, for you the three, for you the four, for you the five, for you the six, for you the seven, for you the eight, for you the nine, for you the ten, for you the eleven, for you the twelve, for you the thirteen, for you the fourteen, for you the fifteen, for you the sixteen, for you the seventeen, for you the eighteen, for you the nineteen,
1.11.5	"O Agni, come! You are the overlord, you are the universal lord." With these verses he kindles the fire with chips.
1.11.6	"May the sacrificer have a good Gārhapatya." Having placed the Gārhapaty fire, he worships it with these verses. This is the placing of the fire with the mantras.
1.11.7	The Adhvaryu should offer the seeds of the domestic and wild plants in melted ghee, saying, "That form of thine, O Agni, which is dear to the animals, which is purifying," and should extinguish the fire with the offerings of peace.
1.12.1	"Agni follows the dawns" - having kindled the kindling woods for the carrying of the fire to the Gārhapatya, he places the horse in front.
1.12.2	For strength, for power, for thee, the self that is in heaven and earth, the All-Gods have raised thee up. With these four verses he takes up the Āhavaniya from the Gārhapatya, having filled the pot with sand, and having placed it on the knee.
1.12.3	When the Vāmadevya is being recited, the worldly fire is brought in with the right door, and the Agnīdhra sits down with his knees raised towards the right door. With the second Vyāhṛti, he recites "This cow, the dappled one, has moved in the thirty-fold abode" with the second and third verses of the Serpent Queen, and "Wind is the breath" with the second Gharmashīrṣa verse. "Those auspicious forms of yours, the Vyāna, you alone are the immortal, you are the strength of heaven, Agni, the eater of food, the nourisher" - he places the Anvāhārapacana in the Sambhāra.
1.12.4	Some say that one should bring the fire from the Garhapatya.
1.12.5	The seed-offering and the attendance of the sacrificer have been explained.
1.12.6	"He recites, "O Agni, the horse is your body," at the right ear of the horse, making the sacrificer recite.
1.12.7	"Go forth, O Agni, in the eastern direction!" With these three verses, the horses with Agni in front go towards the east.
1.12.8	He first takes Agni from here, then from the middle, and finally from the mouth.
1.12.9	He does not separate Agni from the sun.
1.12.10	The sacrificer, having come up to the Adhvaryu who is carrying the half of the Soma, should give a boon.
1.12.11	The Adhvaryu, having placed gold at that place, saying, "Thou art heaven," goes beyond.
1.12.12	Brahman, having gone to the right side, says, "O Brihaspati, be surrounded," and turns the chariot or the chariot wheel three times continuously from the Garhapatya to the Ahavaniya.
1.12.13	As long as he turns it three times, so long does it become fixed. With his right foot he steps on the northern side of the horse, the eastern one, which is to be driven first.
1.13.1	The embers of the fire, as placed, should fall on it.
1.13.2	Having turned it round to the right, he again places it in the same way, saying, "What has been cried."
1.13.3	He places the horse in front, facing towards the west.
1.13.4	If there is no horse, then a donkey is to be placed in the horse's place.
1.13.5	Some say that the Kamandalu is to be placed.
1.13.6	Having recited the verse "This is the heaven" and standing facing east with his face turned towards the west, he recites all the Vyahrtis, the verse "The earth is the breath of his life" from the first and last verses of the Serpent Queen, the verse "Arka is the eye" from the last verse of the Hotar-shira, and the verse "Those are your auspicious ones" from the last verses of the Agni-shira. He recites the verse "You are the breath of immortality" from the last of the Agni-shravas, the verse "You from heaven" from the last Agni-shravan, and the verse "Agni, the king, is the king" from the last Agnishtomas. He places the foot of the burning Havirdhana Agni on the embers, reciting the verse "The foot of the one who knows the sacrifice is placed on the great and shining one, and on the one being sung."
1.13.7	When the fire is set up, he sings the Vāravantīya.
1.13.8	Some say that the hymns prescribed for the Agnihotra are to be sung with the Vyāhṛtis.
1.13.9	Having brought the fire produced by churning from the world, or from the Āhavanīya, he sets up the Sabhya and Avāsathya fires in the materials with the fifth and fourth Vyāhṛtis, as in the Rṣya Ādhāna.
1.13.10	The seed-oblation has been explained, and the presence of the sacrificer.
1.13.11	"He stands by the Āhavanīya with the verses, "He ate, he ate all, he ate my life, I am yours, whatever is thy auspicious form, O Agni."
1.14.1	Agni, do thou bestow life; Agni, do thou flow; Agni, O Agni, the purifier. With these three verses he lays down three Samidha twigs of the ashvattha tree, each in the places of the Ahavaniya, Garhapatya, Dakshina, and Sabhya and Avashya fires. Or in all rites, in the order of these.
1.14.2-3	From the ocean, from the ocean, from thee, O Agni, we have come. The three (verses) beginning with "The four peaks of the ocean" are to be recited three times. The three (bricks) made of Sami wood, smeared with ghee, are to be offered. The Udumbara wood is to be offered with the verse, "O Agni, shine forth, well-kindled." The Vaikankata wood is to be dedicated with the verse, "We dedicate thee." The Sami wood is to be consecrated with the verse, "Of Savitar, the desirable one." Then silently he offers the Agnihotra in the morning.
1.14.4	Or, having sanctified the ghee, and filling the ladle with four or eight spoonfuls, he offers, meditating on Narayana.
1.14.5	This is the place of Agnihotra.
1.14.6	The sacrificer, standing to the left of all the fires, worships them with the verses, "O Agni, those auspicious forms of yours," with the verses beginning with "Those auspicious forms of yours."
1.14.7	"O Agni, with those terrible forms of thine, do thou go to the evil one." Having approached with this Yajus, "O Agni, those terrible forms of thee, hunger and thirst." With the terrible forms.
1.14.8	Here he takes the name of the hated one.
1.14.9	He touches the water.
1.14.10	Having wiped the ladle and the spoon as before, having filled the spoon, he offers the full oblation.
1.14.11	Having given a boon to the sacrificer, having again approached with terrible (verses), he approaches with auspicious (verses).
1.14.12	"He says, 'Protect my men, O Atharva; protect my progeny; protect my cattle; protect my cattle with the firstborn; protect my assembly; protect my speech; protect my mantra.' With five Virat steps he attends the five fires, saying, 'The five fires.' All of them.
1.14.13	Then he should offer an oblation of eight potfuls to Agni.
1.14.14	Having placed the oblation in the fire, having sprinkled it, having placed the dice in the middle of the assembly, having placed gold in them, he sits down, having taken the vow. This is for the king.
1.14.15	Having placed gold in the assembly, he offers in it.
1.15.1	The Adhvaryu gives a hundred dice to the sacrificer, having recited the formula, "May the serpent, the knower of the truth, grant us."
1.15.2	The sacrificer, having staked them, having won, and having cooked the food, gives it to the Brahmanas who are seated in the assembly.
1.15.3	They eat in the house.
1.15.4	The two verses, "May heaven and earth be propitious to us," etc., are recited by the sacrificer in accordance with the seasons, while standing near the fires.
1.15.5	He proceeds with the sprinkling of the fires.
1.15.6	The two oblations of clarified butter are offered in the Vartraghna rite.
1.15.7	The Yajus and Anuvakya verses are "Agni is the head of the universe" and "Agni is in the heaven".
1.15.8	Having placed the Anvāhārya (rice) (in the fire), he gives twelve Dakṣiṇās to the one who has performed the Agnihotra.
1.15.9	The gift may be given above this.
1.15.10	The Agnīdhra gives a covering, a universal thread, a goat, a full vessel, and a horse to the Brahman, a cow to the Hotṛ, and an ox to the Adhvaryu.
1.15.11	A pair of cows, garments, and a chariot are the common gifts.
1.15.12	If a poor man gives one cow,
1.15.13	it becomes all the prescribed rites.
1.15.14	The rest is explained.
1.16.1	Now, the twelve-night vows for one who has not established the sacred fire.
1.16.2	He does not eat meat, does not approach a woman, does not speak untruth, drinks water that is like nectar, washes his feet himself, eats food without salt and without pungent spices, except for sesame, and carries his own firewood to the fire-house.
1.16.3	For twelve nights, his fires are permanent.
1.16.4	A brahmin who does not own a horse should not live in his house.
1.16.5	If the twelve nights have passed, one should offer oblations to Pavamāna Agni for a year, a season, a month, half a month, four days, three days, two days, the next day, or immediately.
1.16.6	One should offer a cake on eight potsherds to Agni Pavamāna, a cake to Agni Pāvaka, and a cake to Agni Śuci.
1.16.7	One should mix the three oblations together.
1.16.8	One should mix the oblations together after offering the first one.
1.16.9	Some say that one should mix these oblations together with the Agniyeṣṭākapāla.
1.16.10	The Yajya and Anuvākyā are "O Agni, Pavamāna, O Agni, give us life, O Agni, do thou purify."
1.16.11	The Dakṣiṇā is gold weighing thirty mānas.
1.16.12	"O Agni, the purifying, O Agni, the purifying one, do thou purify us."
1.16.13	"O Agni, the pure, O Agni, most pure in vows, O Agni, thy purities."
1.16.14	The gold of the middle one is of thirty measures, and of the highest one of forty measures.
1.16.15	He offers the cake on eleven potsherds to Indra-Agni, and a rice-pap of ghee to Aditi.
1.16.16-19	The Sāmidhenī verses of the seventeen-fold Aditya. The Ajyabhāga verses are "With Agni, the bestower of wealth, with the bestower of prosperity" and "Indra and Agni have come, the sage with the verses." The verse "O Aditi, you are the great mother" is for the Adityas. The verse "The kindled Agni, the Agni of the sacrifice" is for the Samyājyā. The Seshti Ādhāna comes to an end.
1.17.1	Having mentally followed the ten-hotr Agni, the first Agnihotra, and having offered it in the Ahavaniya with the Grahas, he offers the evening Agnihotra.
1.17.2	He offers the first Agnihotra with the Vyahrtis and at the end of the year.
1.17.3	For twelve nights, from the time of the installation, the sacrificer, clad in unwashed garments, not going away himself, offers Agnihotra with uninterrupted flow of ghee.
1.17.4	The first cow from which milk is drawn for Agnihotra is the fee for Agnihotra.
1.17.5	Having performed the first two sacrifices of Darśa and Pūrṇamāsa, having offered the Homa to the four Hotṛ-priests in the Havaniya fire, having recited the mantra "What the gods have placed for you", having offered the Homam to Sarasvati, he performs the Anvarambhaniya Iṣṭi on the eastern side of the Pūrṇamāsī, offering the Agnāvaiṣṇava cake on eleven potsherds, the cake to Sarasvati, the cake to Sarāsvati on twelve potsherds, and the cake to Agni Bhagini on eight potsherds.
1.17.6	"O Agni-Vishnu, with your consort, O Agni-Vishnu of great power." This is for the Agni-Vishnu offering.
1.17.7	"O goddess, lead us from heaven." This is for Sarasvati.
1.17.8	"The one who drinks, the one who is drunk by Sarasvati, your waves, O Sarasvati." This is for Saravasvati. "As Savitar, may he bring us wealth." This is for Bhagini.
1.17.9	One offers the Jaya oblations before the Svishtakrit offering.
1.17.10	The Dakṣiṇā is a pair of cows.
1.17.11	If one is going to perform the New-Moon sacrifice, one should not perform the Anvārmbhaṇīya.
1.17.12	One should offer an Aṣṭakapāla oblation to Agni.
1.18.1	One who is going to perform Darsa-Pūrṇamāsa and Cāturmāsya sacrifices, collects the oblations with the Vyāhṛti-mantras at the end of the year.
1.18.2	The observances for one who has established the sacred fire.
1.18.3	The guest who arrives at sunrise should not be refused.
1.18.4	If he is refused, the fire should follow him.
1.18.5	One should not eat food that is cooked in a pot that has been used for more than two days.
1.18.6	One should offer oblations to the fire when the fire is wet.
1.18.7	One should eat food that is not cooked in a pot.
1.18.8	One should perform a sacrifice in a place that is self-created, in a ravine or a gorge.
1.18.9	One should have intercourse with a woman after making a hissing sound and with restraint.
1.18.10	One should not eat without having offered the Agnihotra.
1.18.11	One should not give at night, except for food.
1.18.12	One should abstain from eating meat for a year without having performed the animal sacrifice.
1.18.13	But if one is instructed, one eats with the thought, "I am offering to the fires."
1.19.1	The rite of re-establishing the fire has been explained.
1.19.2	If in the course of a year, one who has performed the Agniṣṭoma sacrifices, should be afflicted by a relative or a son, he should not grow or be afflicted by his own body, then he should remove the fires and re-establish them.
1.19.3	One who is about to remove the fire should offer the Agniyeṣṭakapaala and the Vaishvānara dvādaśakapāla oblations at the new and full moon.
1.19.4	Agni is the head, Bhuva. The Vaishvantar was born from the back in heaven. The Vaishvaranara was born from the head in heaven.
1.19.5-6	The Agnihotra is offered in the morning and evening. The Agnihotra is offered at the end of the Agnihotra. The Agnihotri is one who offers the Agnihotra. The Agnihotra is the Agnihotra. Translation: Those of thee, O Agni, that are flowing forth, those that are purifying, those that are shining, those that are pure in the sun, those that are bestowers of desires, those that are divided, those that are collected, those that are thine, O Agni, belonging to the trees, Agni is the name of seven oblations offered before the Svishtakrit. The Siddhești comes to an end.
1.19.7	He releases the burning fires till the Darśa and Pūrṇamāsa sacrifices.
1.19.8	One whose fires have been released becomes so for a year or twelve days.
1.19.9	At that time itself, having sprinkled the fires with water, having cooked the Brahmaudana, he observes fast.
1.19.10	Rohini, Punarvasu, and Anurādha are the stars for rekindling the fires. The seasons are the rainy season and autumn.
1.19.11	The materials are not collected.
1.19.12	Or they are collected.
1.19.13	Some say that the materials are mantras.
1.19.14	Some say there are no yajus verses.
1.19.15	Having spread darbha grass for a year in the fire places, he establishes the Garhapatya with the Serpent Queen verses, "The earth is for the earth." He establishes the other fires at midday.
1.19.16	Or all at midday.
1.19.17	Having taken up the Āhavaniya fire in a pot with the old darbha grass, he places it in the Anvāhāryapacana fire with the verse, "What you have angrily thrown away, I am placing here." He says, "What you were angry with," in the Āhavaniye.
1.19.18	He stands by the Āhita fire with the verse "May the mind and light be agreeable to you."
1.19.19	He rekindles it with two verses, "Again you are the Adityas, the Rudras."
1.19.20	"May the mind enjoy the light," he offers the oblation.
1.19.21	"Seven are your Agni's kindling woods, seven your tongues," he offers the Agnihotra.
1.19.22	That is the full oblation.
1.20.1	He offers an oblation to Agni on eight potsherds or five potsherds.
1.20.2	Before the Anuyaja of the Agni-offering, the Upamshu-offering is made with the formula, "Agni, Agni, Agni." In the four Prayajas, he places four cases.
1.20.3	"The Agni is worshipped with the Samidhs" (is the formula) in the case of the Agni-portion of butter. "Come, I shall tell you" (is the verse) in the case Soma-portion.
1.20.4	"The two verses, "O Agni, today do thou, O Agni, do thou" are the Yajya and Anuvakya. Or, "O Agni today do thou, with these hymns, do thou."
1.20.5	He offers two oblations around the Puronuvakya, with the verses, "Again with energy and wealth."
