1.1.1	We shall explain the Darśa-Pūrṇamāsa sacrifices.
1.5.1	The plants that were born three ages ago for the gods, their season is now. I bring the covering of grass, the pure water, the sacrificial, the divine, and auspicious for me. May you not cut me off. May I live a hundred autumns. Of the unlimited, the limited are bound for good deeds. May it not harm me. Whatever I have done, may it not rise up against me. May there be many. This is the placing of the covering of grass. The cutting is the binding.
1.5.2	He makes the sacrificial grass of twenty-one (blades). It is of Palasha or Khadira wood.
1.5.3	Some say that he binds the sacrificial grass of eighteen (blades).
1.5.4	There are fifteen blades of sacrificial grass for the Samidheni verses.
1.5.5	There are three enclosing sticks.
1.5.6	They are of Palasha or of Karshmarya wood, dry or moist, with leaves.
1.5.7	Then it is known as Khadira, Baibha, Audumbara, Vaikankata, Rauhita.
1.5.8	The longest, the middle, the shortest, the longest, the southernmost, the shortest, and the northernmost.
1.5.9	Two are the Samidhs of the Ahara.
1.5.10	One is the Anuyaja Samid, the twenty-first.
1.5.11	He makes a fire-stick of the Darbha grass, with or without roots, in the same way.
1.5.12	He collects fuel on it.
1.5.13	When Krishna entered the trees, assuming that form, then I collect you in twenty-one ways, well-collected. I collect the three enclosing sticks, the three kindling sticks, the life of the sacrifice, the garments, the ladle, and the courage, well-collected." Thus he equips himself.
1.5.14	Krishna is the best of all, O God, do thou go before, and bind the knot in front, looking towards the east.
1.5.15	Having thus placed it below, he puts on it the well-known pieces of wood and grass.
1.6.1	On the next day, having taken up the sacrificial grass and wood, one should perform the Full-moon sacrifice.
1.6.2	On the previous day itself, one should perform it on the New-moon day.
1.6.3	The other is that one may do as one pleases on the full moon day.
1.6.4	He makes a Veda of Darbha grass, saying, "You are the Veda by which you know the gods, and by which the Veda came to be for the gods, may that Veda be for me."
1.6.5	The one with the calf-like neck is for one desiring cattle, the one with the tail for one desiring food, the one with three layers for one desiring Brahmic lustre, and the one with three-layered head is said to be for one desiring Brahmac lustre.
1.6.6	Some say that the two former Kalpas are like the eternal one.
1.6.7	Then he places him in a space of a cubit.
1.6.8	Some say that it is from a piece of gold the size of a cubit
1.6.9	Having placed the known ends of the Vedas, he cuts a piece of Palasha wood from the branch with which he drives away the calves, inside the altar.
1.6.10	Having wrapped the root of the grass, he makes the grass-cover. He says, "Thou art the grass-cover; I have placed thee for the sacrifice. Making the oblation for Indra, thou art auspicious and bright."
1.6.11	Then he makes a filter of Darbha grass, the size of a span, saying, "Thou art a three-fold filter of the Vasus, thou art a hundred-streamed filter of the Vasu, thou art a thousand-streamed filter."
1.6.12	The root of the grass is placed at the root, the tip at the tip, and no knot is made.
1.6.13	The sacrificer recites while the grass is being made: "The three-leaved Palasha grass, as big as the palm, is the purifying grass at the sacrifice, the best purifier. May it make the oblation of milk for me."
1.6.14	They collect the grass and smear the fire chambers and the shrines.
1.6.15	The vessel of rice-gruel and the vessel of honey are smeared with cow-dung.
1.6.16	The sacrificer and his wife adorn themselves.
1.7.1	On the new-moon day, they perform the Piṇḍapitryajña under a tree in the sun.
1.7.2	Having spread the Darbha grass with their tips towards the south and east, having washed the vessels for the Pindapitryajna one by one, he places them - the wooden sword, the ladle, the vessel for keeping clarified butter, the strainer, the black antelope skin, the mortar, the pestle, the winnowing basket, and whatever else he may need.
1.7.3	The Adhvaryu, wearing the sacrificial cord over the right shoulder, pours the oblation into the vessel from the cart, using the single strainer.
1.7.4	Having filled it, he smears it.
1.7.5	Having placed the black antelope skin and the mortar, the wife stands facing east and strikes the pestle with the pestle.
1.7.6	He grinds it once.
1.7.7	Having roasted the rice-grains with the tips pointing to the south, he pours over them ghee which has been boiled or ghee which has not been boiled.
1.7.8	Having taken out the Vedi towards the south-east or towards the north-west, he sprinkles it with water and covers it with a single piece of grass. He says, "The grass is cut once, soft and tender, I am offering it to the Fathers. May my Fathers, the Pitrs, the grandfathers and the great-grandfathers, along with their followers, be seated on it."
1.7.9	Having placed this cooked rice on it, having placed to the right side the cakes, the grass, the besmearing, and the anointing, one by one,
1.8.1	The Adhvaryu, wearing the sacrificial thread, having bent the right knee, having taken up the cooked rice with the ladle, having poured over it, offers with the formula, "To Soma, drunk by the Pitrs, svadha, salutations." This is the first (offering).
1.8.2	The second one is offered with the formula, "Salutations to Yama, the son of Angiras, the father, to Svāhā."
1.8.3	The third one is offered with "Salutations to Agni, the carrier of oblations, to Svishtakrit, to Svāha."
1.8.4	He places the ladle silently.
1.8.5	He places the single-wick lamp of the southern fire, saying, "Those who, being Asuras, are releasing their forms, and are moving according to their own nature, and are taking away the cities of others and their own, may Agni drive them away from these worlds and from us."
1.8.6	The sacrificer, having placed his left knee on the ground and facing east, places three handfuls of water in a single vessel, saying, "May this one sprinkle your father." "May this one sprinkles your grandfather." "May this sprinkle your great-grandfather."
1.8.7	Here only, the one who has lowered his right hand, places three balls for the deceased, for those who follow him, and for those who will follow him.
1.8.8	If there are two deceased persons, he should give balls separately for each.
1.8.9	One can also observe two deceased persons in each ball.
1.8.10	If the father of the living is alive, he should give to the grandfather and great-grandfather.
1.8.11	Some say that one should not give to the living.
1.8.12	One should perform only the Homa.
1.9.1	If the names of the relatives are not known, then he should offer the first ball with the words, "Svāhā to the Pitrs who are seated on the earth." The second ball with the words "Svāhā, to the Pitrs seated in the sky." The third ball with the words “Svāhā,to the Pitrs seatedin heaven."
1.9.2	Placing the fourth ball silently, and saying "O Pitrs, may you distribute according to your share," he turns away.
1.9.3	He offers the Hotṛ-cup after the Hotṛ-oblation has been offered.
1.9.4	He turns back from the Hotṛ- oblation and turns towards the Avīra-oblation or the Avīra oblation itself.
1.9.5	Having turned back, he smells the remnant in the vessel, saying, "Make me a hero, O Fathers."
1.9.6	One who is sick should eat food, but one who is not sick should not eat food.
1.9.7	Similarly, having brought water in his hands, he gives unguents and anointments, saying "Anoint yourself" three times for each lump.
1.9.8	"These are your garments, O Fathers, from which the Fathers have not deprived us. Having cut off the hair and having placed it down, he says, "The garment is tenfold."
1.9.9	One should cut off the hair for a long life.
1.9.10	Having cut it off, he stands up with salutations, saying, "Salutations to you, O Fathers, for the life-giving. Having gone around them, he says, 'I am the most venerable among them.' With this (verse) he concludes."
1.9.11	Then he makes the Pitrs rise with the verse, "Rise, O Pitrs, ye heroes, ye have followed the path of Yama. Do ye go to the ancient abode. Whatever wealth and good there is with us, do ye proclaim it to us, to the deities who have a share."
1.9.12	He makes the Pitrs flow with the verse, "O Pitrs, ye are friendly."
1.9.13	He approaches with the three verses, "The mind is indeed the best of us, the mind is the best of us."
1.10.1	He throws the torch, saying, "The messenger has brought us the oblation, O Jātavedas, having made fragrant offerings, he has given them to the fathers. They have eaten them, knowing, O Agni, return again, knowing."
1.10.2	He returns with the Prajapati verse, "To Prajapati."
1.10.3	He stands by the Garhapatya with the Paṅkti verse, "Whatever is the space between earth and heaven."
1.10.4	Having struck once at the fire, sprinkling with water, he brings back the pairs of sacrificial vessels for the Pitryajna.
1.10.5	He should offer water to the ancestors, or feed a brahmin, or strike the fire.
1.10.6	"Those who are equal, of equal mind, the ancestors in Yama's kingdom, to their world, svadha, salutations. May the sacrifice be established among the gods." He strikes the first ball.
1.10.7-9	May the prosperity of those who are born together, of the same mind, of the same life, of the same soul, of the same self, of the same body, of the same lineage, of the same clan, of the same family, of the same name, of the same caste, of the same learning, of the same knowledge, of the same understanding, of the same faith, of the same devotion, of the same affection, of the same love, of the same friendship, of the same companionship, of the same association, of the same company, of the same group, of the same class, of the same kind, of the same nature, of the same character, of the same conduct, of the same behaviour, of the same speech, of the same action, of the same intention, of the same purpose, of the same desire, of the same aspiration, of the same hope, of the same expectation, of the same belief, of the same opinion, of the same view, of the same practice, of the same way, of the same path, of the same goal, of the same destination, of the same destiny
1.10.10	The fathers placed the embryo of the young man, the garland of lotuses, in the womb, as the fathers in this world, having long life, live. Thus the eating is prescribed.
1.10.11	The Piṇḍapitryajña is concluded.
1.10.12	This is prescribed for one who has not set up the fire, except for the setting up of the Garhapatya.
1.10.13	One should bring another in the place of the Garhaptya, says one.
1.10.14	In which he strikes, that one stands up. This is another (view).
1.10.15	Here the word 'Gārhapatya' would be omitted due to the prohibition of modification.
1.11.1	Then he instructs, "Spread, cover the fire, may the covered fire bless the sacrificer, may the juice of water and plants, the golden coins be the wish-yielding cows of the sacrificer, here and in the other world."
1.11.2	Then he strews the fires, the eastern ones first and the western ones later, with darbha-grass with their tips towards the east.
1.11.3	Or they may be with their tips towards north and be placed behind and in front.
1.11.4	The southern side is above and the northern side is below.
1.11.5	He arranges the place for the Brahman and the Yajamana to the south of the Ahavaniya.
1.11.6	The former for the Brahman and latter for the Yajamāna.
1.11.7	The sacrificer himself offers the Agnihotra at the Parvan.
1.11.8	The young boys also drink milk on this night.
1.11.9	Having offered the Agnihotra on this night with barley-gruel, he places the Agnihotra-remnant as the oblation for the Atancan.
1.11.10	Having washed the Saṁnāyya-vessels, he yokes them in pairs.
1.11.11	To the north of the Garhapatya, he places the pot, the milking vessel, the twig-filter, the strainer, the ladle, and the vessel in which he intends to use it.
1.11.12	Having brought the filter across the Agnihotra vessel, he pours water over it three times with the mouth facing north, with the verse, "May god Savitr purify you." He then recites the Gayatri verse backwards.
1.11.13	Then he recites over them, "The divine waters are in the beginning..." and ends with "Having been sprinkled, you are settled."
1.11.14	He sprinkles the sacrificial ladles, which are placed upside down, turning them around.
1.12.1	"Purify yourselves for the divine rite, for the offering to the gods," three times.
1.12.2	Then he bakes them, saying, "The Rakshas is baked, the evil-doer is baked."
1.12.3	Then he waits for the cows to come. They graze, giving honey, bearing offspring, of various forms, of fame. Many are born, coming into being. Here may Indra delight in the cows.
1.12.4	Taking the bell of Aditi, he places the calf on the udder with the words, "Thou art Pusha." Or he places all the calves with the words, “Thou art Pusha.”
1.12.5	Then he says, "Tell me about the one who is afflicted."
1.12.6	He recites the verse, "May I be united with you through prosperity and abundance."
1.12.7	He recitess the verse, "The one who is afflicted, may he be united with you. May you be united with the one who is alive. May you be joined with the one who lives."
1.12.8	Then he orders the village and the cattle to be brought within a month.
1.12.9	They do not go beyond the village while the cattle are being milked.
1.12.10	If it is lost, he should say, "Let there be no loss of the Saṁnāyya."
1.12.11	Taking up the Upavesha (a piece of wood), he places the embers from the Garhapatya towards the north, with the verse, "Thou art Dhriti, thou art Brahma, thou art the bestower of protection."
1.12.12	He places the pot on them, with the verse "O mother, thou art the heat of the sun."
1.12.13	Then he encircles it with the embers, with the verse,"Thou art heated by the penance of the Bhrigus and Angirasas."
1.12.14	Then he places the twig of the branch, with the tip towards the east, saying, "Thou art the purifier of the Vasus, having a hundred streams; thou art the purifier of Vasus, having thousand streams."
1.13.1	Starting from the pot with the twig, he restrains speech.
1.13.2	Holding it, he stands.
1.13.3	He recites the Dhārāghosa verse: "They milk the Utsa, the pot with four openings, the goddess Idā, the sweet-knowing one, the golden one. May Indra and Agni stimulate it for truthfulness. May they establish the sacrificer in immortality."
1.13.4	He recites the Dhūhyamana verse: "The drops are offered, the oblation is offered, the small portion is offered."
1.13.5	Having milked, he carries it.
1.13.6	He asks him, "Indra, do you know the oblation for Indra?" He replies, "I know."
1.13.7	If one is offering to Mahendra, one says, "To Mahendra."
1.13.8	One takes the name of the cow from which the milk of the gods and men is obtained.
1.13.9	One recites the verse, "She is the life of all."
1.13.10	He brings the two pots with the strainer. "The god Savitr purifies you with the strainer of Vasu, with the hundred-streamed, well-purifying one."
1.13.11	When being brought, he recites the verses, "The oblation is offered, the drop is offered."
1.13.12	He milks the second cow in the same way.
1.13.13	He recites the second verse, "She is of universal form," and the third verse, "She has universal work."
1.13.14	When the three cows have been milked, he releases speech. "The oblation for Indra, the lord of many cows, may be increased again. For the calves and men, may it be again fit for milking." He recites this three times.
1.13.15	If one is offering to Mahendra, then one says "to Mahendra".
1.14.1	Having released (the Soma), he comes back silently. Having milked the two pots, he brings the rinsing water, saying, "Be united, O you who are truthful."
1.14.2	Having melted (the butter), he carries it towards the north, as if drawing (it), saying, "Strengthen the cows, strengthen the cow-lord. May the lord of sacrifice not injure you."
1.14.3	Some say, "Towards the east." Some say, "Towards east and north."
1.14.4	Having made the Soma cold, he anoints it with curd, saying, "I anoint thee with Soma for Indra."
1.14.5	Or, "For Mahendra," if one is sacrificing to Mahendra.
1.14.6	He brings the Agnihotra-remnant, saying, "Thou art the continuity of the sacrifice; I anoint thee according to the continuity of the sacrificer."
1.14.7	Āśmarathya says that one should bring curd and then the Agnihotra leftovers. Ālekhaṇa says that one should first bring curd and then Agnihotra leftovers.
1.14.8	If one does not find Agnihotra leftovers, one should sprinkle with rice. If one does not find rice, one should sprinkle it with grass.
1.14.9	"O waters, be awake in the oblations, as ye are awake in the gods. Thus be ye awake in this sacrifice for the sacrificer who is awake." Having brought the water in a vessel of iron or wood, he pours it into the vessel with the verse, "Thou art the ladle; I pour thee for Vishnu, for the sacrifice. With the vessel full of water, those which have been purified, have gone around."
1.15.1	If he were to cover it with a pot made of clay, he should cover it with grass or wood.
1.15.2	Having covered it, he places it below, saying, "O Vishnu, protect the offering."
1.15.3	In the same way, in the evening and morning, he releases the calves for milking.
1.15.4	One should release the calves for both milkings in the afternoon.
1.15.5	Having placed the skull-bones, he milks the evening milking as the morning milking.
1.15.6	He places the strainer with the tip pointing towards the north.
1.15.7	He does not sprinkle.
1.15.8	It is known that one who has Soma should not join (the two ends of the strainer).
1.15.9	Some say that one should join.
1.15.10	Some call the Saṁnāyya offering to Indra, some call it to Mahendra.
1.15.11	Now, those who sacrifice to Mahendra are the leaders of the village, the royal priest, Urva, Gautama, and Bharadvaja.
1.15.12	They should first establish the fires and then sacrifice to Mahendra.
1.15.13	Now, those who sacrifice Indra.
1.15.14	If one who sacrifices to Indra wishes to sacrifice to Mahendra, having sacrificed to Indra for a year, one should offer a cake on eight potsherds to Agni, the lord of vows.
1.15.15	Then it is understood that one should worship Mahendra as desired.
1.15.16	Therefore, it is understood that whoever performs a Soma sacrifice should worship Mahendra.
1.16.1	On the next day, having arranged the fires as before, having washed the hands and utensils, he places the utensils in pairs, ten extra and ten before.
1.16.2	The wooden spade, the skull-cup, the Agnihotra ladle, the broom, the black antelope skin, the pestle, the mortar, the pestle and the stone are placed to the north of the Garhapatya.
1.16.3	The ladle, the Juhu, the Upabhu, the Dhruva, the vessel for the Prashitra, the vessel for ghee, the Veda, the vessel for water, the vessel for Prāṇīta, the vessel for Edaka, these are to be placed to the north of the Ahavaniya.
1.16.4	The remaining ones are to be placed according to their availability, at least the vessels for milking in the morning.
1.16.5	The sacrificial ladle is made of Khadira wood, the wooden sword, the wooden pestle, the wooden spoon, the wooden ladle for carrying the oblations, the Juhu ladle is made of leaves, the Upabhrt ladle of Asvattha wood, the Dhruva ladle of Vaikankata wood, and the ladle for offering the Agnihotra oblation.
1.16.6	The sacrificial ladles are of the size of a span, a cubit, or an arm's length, with skin-like edges, with roots and stems, with handles, with the size of a thumb, with the size like a crow's tail, or with the size like the mouth of a goose, and with the size like an incision.
1.16.7	Those which are not mentioned are the trees of the sacrifice. Whatever tree is fit for sacrifice, they belong to it. This is said by Ashmarathi.
1.17.1	Vailankata means the trees of the Veda. This is said in the Alakananda.
1.17.2	The trees which are not mentioned in the Veda are fit for sacrifice.
1.17.3	It is known that the trees which are not fit for sacrifice are not fit for the sacrifice. One should not offer sacrifice with them.
1.17.4-5	Having moved away from the Garhapatya, he spreads the grass in a continuous line towards the east, from the Ahavaniya, with the formula, "Thou art the continuity of the sacrifice; I spread thee for the continuity of the continuity of the sacrificer." Here the Brahman approaches.
1.17.6	He makes two blades of Darbha grass, cut at the tip and measuring a span, into a filter, saying, "You are filters. You are purified by the mind of Vishnu. You are purified."
1.17.7	He cuts it with grass or wood, not with a nail.
1.17.8	Then he smears them with water, saying, "Purified by the mind of Vishņu, you are purified. You are purified. You belong to Vishnu. You are pure."
1.17.9	Then he recites over them (the verse), "May these two, the Prāṇa and Apāna, moving together, nourish all the limbs of the sacrifice, purifying, purifying the oblation."
1.17.10	Taking the ladle for pouring the Soma, he says, "For the pressing you," and then washes it with, "You are a forest-plant, purify yourself for the gods."
1.17.11	It is understood that one should offer the Gomasa to one desiring Brahmic glory, the cow-milk to one desiring cattle, and the earthen pot to one desiring stability.
1.18.1	Sitting to the north of the Garhapatya, he brings water into a vessel covered with a filter, saying, "Who among you takes? May he take you."
1.18.2	While taking the water, he mentally contemplates this:
1.18.3	Having filled the Upabilla with water, having sprinkled it three times with the two Pavitras, he recites as before.
1.18.4	He invites the Brahman, saying, "O Brahman, I shall offer water; the sacrificer should restrain speech."
1.18.5	Having offered the water, he restrains speech. The water is offered for the sake of the oblation.
1.18.6	Born together with Brahma, held by the vital airs, not spilling, having taken up with the wooden sword, he carries (the oblations) or not having taken up. Who among you is affectionate? May he be affectionate to you. I am affectionate to the divine waters. May they unite the sacrifice for us. The goddesses are drinking, with the back of ghee, the thousand-nourishing (waters), flowing down for the sacrificer.
1.18.7	He mentally recites the mantra.
1.18.8	He places the Prāṇīta cups north of the Ahavaniya with the verse, "Who yokes you? May he yoke you."
1.18.9	Having covered with Darbha grass and taking the Pavitra cups, he touches the cups with the verse, "May the divine cups of the deities be settled for the sacrifice to the gods."
1.18.10	With the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, I take thee. Thou art the Agnihotra-offering-spoon.
1.18.11	Thou art for covering.
1.18.12	Thou art the one who goes forth. Thou art the one who is sent forth. Thou art for the Agnihotra-spoon. Thou art the offering-spoon. Thou belongest to the Agnihotra-oblation. Thou art the oblation. Thou art for Agni. Thou art the spoon. Thou art the ladle. Thou art the vessel. Thou art the receptacle. Thou art the container. Thou art the holder. Thou art the support. Thou art the foundation. Thou art the base. Thou art the covering. Thou art the protection. Thou art the shelter. Thou art the shield. Thou art the defence. Thou art the guard. Thou art the guardian. Thou art the protector. Thou art the preserver. Thou art the saviour. Thou art the saving. Thou art the safety. Thou art the refuge. Thou art the asylum. Thou art the place of refuge. Thou art for protection. Thou art for defence. Thou art for shelter. Thou art for covering. Thou art for safety. Thou art for salvation. Thou art for preservation. Thou art for saving. Thou art for rescue. Thou art for deliverance. Thou art for freedom. Thou art for release. Thou art for liberation. Thou art for emancipation. Thou art for heaven. Thou art for immortality. Thou art for life. Thou art for long life. Thou art the life-force. Thou art the vital force. Thou art the breath. Thou art the out-breath. Thou art
1.19.1	The sacrificer is addressed by the Adhvaryu, "O sacrificer, I am going to pour out the oblation."
1.19.2	The sacrificer replies, "Pour out."
1.19.3	If the sacrificer has to go away, he should say, "O Agni, I am going; I am going to offer the oblation."
1.19.4	Having placed a cart to the east of the Garhapatya, having placed the sacrificial dishes on it, he touches the southern yoke-pin with the formula, "Thou art the yoke-pin, the yoke-pin of the yoke."
1.19.5	Similarly the northern one.
1.19.6	Having taken up the northern yoke-pin, he murmurs: "Thou art the most excellent of the gods.
1.19.7	He places the right foot on the northern side with the formula, "May Vishnu press thee."
1.19.8	He ascends with the formula, "Thou art not injured, the receptacle of oblations."
1.19.9	He looks at the circumference with the formula, “I look at thee with the eye of Mitra.
1.19.10	Having covered it with the wind, having sat down inside the cart, having explained the Dashotr, having put down the grains of rice and barley with the formula, "May they give thee," having put down the handfuls of grains in the Agnihotra-vessel, having placed it beyond the strainer, he pours it down in the winnowing basket with the formula, “I pour down what is agreeable to Agni at the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan.”
1.19.11	He pours three handfuls with the Yajus, and the fourth silently.
1.19.12	He pours over the cooked oblations for the sake of the distribution of the portions.
1.19.13	In the same way he pours the second cake, saying, "To Agni and Soma" at the Full-moon sacrifice, and "To Indra and Agni" at the New-moon sacrifice, without mixing them.
1.19.14	If he were to pour out into a vessel, having placed the wooden sword on the right side, he should recite all the formulas for the cart in that (vessel).
1.20.1	He touches the poured out oblations with the formula, "This is of the gods." He recites the formula, "May this be for us together" from where he pours out.
1.20.2	Taking the oblation, he comes out with the formula, "(This) I release from Varuna's noose."
1.20.3	He looks at the dwelling place, saying, "May I shine forth, the all-pervading light of the all-pervader."
1.20.4	He descends, saying, "Let the paths of heaven and earth be firm."
1.20.5	He takes it, saying, "Take the expanse of the sky."
1.20.6	He places it on the other side of the Āhavanīya fire, saying, "I place you on the lap of Aditi."
1.20.7	"O Agni, do thou protect the offering. O Agni-Soma, do ye protect the offering according to the deity."
1.20.8	"O Agni, do you protect the offering."
1.20.9	Having brought water behind the Agnihotra-vessel with the mouth of the ladle turned towards the north, and having purified it three times with the two strainers with their mouths turned towards the north as before, he recites (the following mantras):
1.20.10	He invites Brahma, saying, "Brahman, I am going to sprinkle."
1.20.11	The oblation is sprinkled by Brahma. He sprinkles, saying, "In the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, I sprinkle what is dear to Agni, to Agni-Soma." He sprinkles each deity three times.
1.20.12	While sprinkling the oblation, he sprinkles the fire.
1.20.13	Having sprinkled the oblation, one sprinkles the vessels.
1.20.14	Turning them upside down, one should say three times, "Purify yourselves for the divine act, for the worship of the gods."
1.20.15	Aśmarathya says, "The remaining water of sprinkling," Ālekhana says, "One should sprinkle with all (the vessels)."
1.21.1	Taking up the skin of a black antelope with the Savitrī verse, he shakes it thrice on the heap, with the head turned upwards, with the head towards the outside, with the head downwards. The Rakshas is shaken off, the evil ones are shaken off.
1.21.2	With the head turned towards the north, with the head facing south, with the head upwards, he spreads the grass on the northern side, saying, "You are the skin of Aditi."
1.21.3	He presses the ashes towards the west, saying, "May the earth support you."
1.21.4	Not discarding the Kṛṣṇājina, he places the mortar on the Ulukhalam. The mortar is made of wood.
1.21.5	Not discarding the Ulukhal, he pours the oblation. "The body of Agni, the release of speech, for the sake of the divine feast, I take you." Three times with the Yajus, and the fourth silently.
1.21.6	"Thou art the mountain, the tree-born," taking up the pestle, he thrice calls out to the one who has prepared the oblation, saying, "O one who has prepared oblation, come!" to the Brahmin, "Come quickly!" to the Kshatriya, "Come!" to the Vaishya.
1.21.7	"He strikes down the Rakshas, the enemy of heaven, the one to be slain."
