1.1.1	When one is about to offer a sacrifice with the New-Moon or Full-Moon oblation,
1.2.9	He puts on the skin of an ass, saying, "May the god-sacrificial grass not injure you, neither sideways nor across. May I obtain your favour."
1.2.10	The cutter cuts off, saying, "May it not injure you."
1.2.11	He touches the cuttings, saying, "The divine grass, a hundred-stalked, may it grow."
1.2.12	"May we grow with a thousand stalks," he says, touching himself.
1.2.13	He pulls out the entire stalk.
1.2.14	Having made the sacrificial grass, he places it, saying, "Protect me from the contact with the earth."
1.2.15	From here onwards he silently releases the knots of the cords.
1.2.16	He releases three, five, seven, nine or eleven knots as much as he thinks proper.
1.2.17	Then having made the gold-piece thrice heated, he encloses it with the left hand, saying, "This is the crest of Aditi."
1.2.18	Having placed it with the tip towards the north,
1.2.19	He places the sacrificial grass on it, with the formula, "I place thee well-placed."
1.2.20	He binds it with the formula, "Indrani's binding."
1.2.21	He makes a knot, with the formula "Pusha may make a knot for thee."
1.2.22	"May it be thy support." He covers it from behind, facing east.
1.2.23	Then he lifts it up with the formula, “I lift thee with Indra's arms.”
1.2.24	He places it on the head with the formula, "I take away with the head of Brhaspati."
1.2.25	"Come, follow the heaven."
1.2.26	Having come, he places it below the Garhapatya towards the north with the formula, "Thou art the path to the gods."
1.2.27	He places it above where he thinks it is safe.
1.2.28	He cuts the paribhojaniya-grains silently.
1.2.29	He cuts once for the Pitrs.
1.2.30	Then having made the sacrificial post of wood in the same way, he piles up the wood of twenty-one pieces, saying, "Having assumed the dark form, you entered the trees. Now I am collecting you in twenty-one ways. Well collected."
1.2.31	He makes the altar with the Vatsa-saman for one desiring cattle, with the Mūtaka-saman for the sake of food, with the Trivṛt-saman for splendour, with the Urdhvāgra-saman for heaven.
1.2.32	He makes the altar from the east to the north, from the enclosing sticks.
1.2.33	Then in the afternoon he performs the Piṇḍapitryajña.
1.3.1	Then he cuts the leaves of this branch and offers them towards the Garhapatya.
1.3.2	Then having covered her from below, he places her on the southern side of the Garhapatya, with the head towards the east, for the purpose of being eaten.
1.3.3	Then having measured a space the size of a palm, he makes a hole with a darbha-blade and makes a three-pronged twig-filter, saying, "The three-pronged Palasha, the darbha, is the size of a span. May it be the best filter at the sacrifice. May it make the oblation of milk."
1.3.4	Then, having offered the Agnihotra in the evening, having spread grass to the north of the Garhapatya, he places four things on them: the milking pot, the strainer, the pot for keeping the Saṁnāyya, and the pot for heating.
1.3.5	Then he sprinkles them with water, saying three times, "Be purified for the divine rite, for the offering to the gods."
1.3.6	Then, having sat down behind the Garhapatya, he puts the embers towards the north with the Upavesha ladle, saying, "Thou art the heat of Matarisvan."
1.3.7	On them he places the Saṁnāyya-tapani, saying, "You are heaven, you are earth, you are the supporter of all, be firm with the highest support, do not be injured."
1.3.8	On it he places the twig of the sacrificial grass with its tip pointing towards the east, with the formulas, "Thou art the purifying twig of the Vasus, having a hundred streams; thou art the purifying twig, having a thousand streams."
1.3.9	Thereafter he remains silent.
1.3.10	Then he waits for the cows to come. They graze here, giving honey, bearing offspring, of various forms, of fame, many, being born, may Indra delight in the cows here. If one is a worshipper of Mahendra, then he says, "Mahendra."
1.3.11	Then he says, "Tell me about the cow that has been let loose."
1.3.12	They say, "The cow that has been released."
1.3.13	While being milked, he recites the verse, "The oblation is offered, the drop is offered."
1.3.14	"To Agni, the great, to the sky, svāhā. To heaven and earth."
1.3.15	Then he asks the one who is bringing it from the front and towards the west, "Which one did you milk?"
1.3.16	The other replies, "That one."
1.3.17	He recites the verse in accordance with that, "She is the life of all."
1.3.18	The second one, as he brings it, is asked, "Which one did you wash?"
1.3.19	The other one replies, "That one."
1.3.20	He recites over it, "She is the universal creator."
1.3.21	The third one, as he is bringing it, is asked "Which one did he wash?"
1.3.22	The others reply, "That one".
1.3.23	He recites, "She is all-creating."
1.3.24	When the three cows have been milked, he releases speech, saying, "May the offering for Indra, the lord of many cows, grow again. May it be for the calves and men to drink again." If he is offering to Mahendra, he says, "For Mahendra."
1.3.25	Having released speech, he milks the remaining cows silently without any interruption.
1.3.26	Having brought the milk to be milked, he brings the washing. Having mixed (the milk and the washing), he says (to the sacrificer), "Do you mix (the milk and washing). The waves are united with truth, the most intoxicated with honey, the slow ones, the enjoyers of wealth."
1.3.27	Having heated it, having taken it out towards the north, having cooled it, having placed it behind the strainer, he anoints it with curds, saying, "I anoint thee with Soma for Indra" or "for Mahendra" if one is sacrificing to Mahendra.
1.3.28	He brings as much as he thinks he will be able to cook.
1.3.29	He puts the remnant of the Agnihotra-offering, saying, "Thou art the continuity of the sacrifice; I follow thee in the continuity of the sacrificel."
1.3.30	Then he places it in a vessel of water or a bronze vessel, with the formula, "Thou art the receptacle; I place thee for Vishnu, for the sacrifice. With the vessel full of water, the purified ones have surrounded (the oblation).
1.3.31	He places it above, where he thinks it is safe, with the formula "O Vishnu, protect the oblation."
1.3.32	At this time, he silently releases the calves for milking in the morning with darbha grass.
1.4.1	After offering the Agnihotra in the morning, he touches his hands, saying, "May I be able to perform the rites for you, O gods."
1.4.2	The fires are spread out at night.
1.4.3	If they are not spread out, he first spreads out the Ahavaniya in front, then on the right, then behind, then on the left.
1.4.4	In the same way he spreads out the Anvähäryapacani.
1.4.5	In the samne way he spreads out Garhapatya.
1.4.6	Then having spread grass in front of the Garhapatya, he places the two-fold sacrificial requisites on them.
1.4.7	The wooden ladle, the skull-cups, the Agnihotra-vessel, the broom, the black antelope skin, the pestle, the mortar, the pestle and the grinding stone, the Juhu, the Upabhu, the Sruva, the Dhruva, the Prashitra-vessel, the Edaka-vessel, the Mekhala, the vessel for keeping the flour, the vessel for holding the Prāṇīta-water, the vessel for the melted butter, the Veda, the wooden vessel, the yoke, the Veda-cover, the Dhṛṣṭi, the scraping of the fire-place, the Anvāhāryā-sthālī, the Madantī, and other vessels, all these are to be placed in pairs.
1.4.8	Having seated Brahma on the right side,
1.4.9	he spreads the grass from the Garhapatya to the Ahavaniya with the verse, "Thou art the continuity of the sacrifice. I spread thee for the continuity of the continuity of the Yajna."
1.4.10	Then he makes the two Barhis-grass-blades, of the size of a span, even, with their tips not cut off, and not cut with nails. "These two, the Prāṇa and Apāna, moving everywhere, nourishing the limbs of the sacrifice, may they move in the purifying filter, purifying the oblation."
1.4.11	Then he anoints them with water, saying, "Ye are purified, ye are belonging to Vishnu, ye are belonging for sacrifice, ye are purified by the wind, ye are purified in the mind of Vishnu, ye are in the purifying of sacrifice."
1.4.12	Then, having sat down to the north of the Garhapatya, he asks for the vessel in which the Soma is to be poured out.
1.4.13	Then, having taken the water beyond the Pavitra, he says, "O Brahman, I shall offer the water. The sacrificer should restrain speech."
1.4.14	Having been born, he is sustained equally with the vital airs, without spilling, having carried it, he places it on the Darbha grass to the north of the Ahavaniya fire, covering it with Darbha grass.
1.4.15	(Having taken the purifying grass) he goes round by the right, and then runs towards the west, and takes the Agnihotra ladle with the right hand and the winnowing basket with the left, with the formula, "For protection thee."
1.4.16	He winnows the grains over the Garhapatya with the formula, “The Rakshas are repelled, the evil spirits are repelled.” thrice.
1.4.17	Then he stands behind the Garhapaty, facing the Anväharya fire.
1.4.18	He touches the northern end of the pole with the formula, "Thou art the pole, the pole, the polist, the pole. He who injures us, may he be pole-ed. Him whom we injure, may he be poled."
1.4.19	He anoints it with the formula, "Thou art the most pressing, the most pressing, most acceptable, most burning, most invoked of the gods, the unerring Havirdhana. Be firm, do not tremble."
1.5.1	Then, having gone around along the right side of the axle-tree, having mounted it, he places the broom in the front.
1.5.2	In the broom, the ladle, in the ladle, the strainer.
1.5.3	Then he looks at the cakes with the verse, "I look at you with the eye of Mitra. Do not be afraid, do not be frightened, do not harm me."
1.5.4	He throws away grass or chaff, saying, "For the wind."
1.5.5	Then having touched water, having explained the ten-hotr, and having addressed the sacrificer, saying, "I shall offer the oblation," he offers with the Agnihotra ladle having a strainer.
1.5.6	If there is a difference, he places the wooden sword behind the Garhapatya, the vessel on the wooden sword, and pours the sacrificial rice on the vessel.
1.5.7	Then he touches the eastern half of the vessel with the formula, "Thou art Dhūr, Dhūr, Dhūrvant, Dhūr, him who Dhūrvates us, Dhūr him whom we Dhūrvate. Thou art the most pressing, the most pressing, most acceptable, most blazing, most invoked of the gods, the undying Havirdhāna. Be firm, do not tremble."
1.5.8	Then he looks at the Purorāśīya (bricks) with the verse, "I look at thee with the eye of Mitra; do not be afraid, do not be frightened, do not injure me."
1.5.9	He throws away grass or a thorn with the words, "For the sake of ample space."
1.5.10	Having touched water, and having announced to the sacrificer, "I shall offer the oblation after explaining the Dashotr (verse), he offers it with the Agnihotra ladle having a strainer.
1.5.11	"Oṃ, the sacrificer offers and permits."
1.5.12	Then he offers:
1.5.13	"In the impulse of the divine Savitr, with the arms of the Ashvins, with the hands of Pūshan, I offer what is pleasing to Agni." He offers three times with this formula.
1.5.14	Once silently.
1.5.15	Having made this the rule, he offers to Agni and Soma at the Full Moon, and to Indra and Vimadrit at the New Moon. He places them together with the words, "To Indra" or "To Mahendra" if he is offering to Mahendra.
1.5.16	Then he touches the offerings thus placed, with the words, “This is of the gods.”
1.5.17	"This is ours, O Agni, to be shared." Those who are left over.
1.5.18	"For Sphyati, for Narati."
1.5.19	Then he looks at the Ahavaniya fire, saying, "Seeking the light of heaven, the all-pervading light."
1.5.20	Then he surveys the houses, saying, "May the paths be firm between heaven and earth."
1.5.21	Then, taking them, he rises up,
1.5.22	Having come, he goes along the sky.
1.5.23	Having come, he places it to the north of the Garhapatya, saying, "I place you on the lap of Aditi."
1.5.24	He recites over the Garhapaty, "O Agni, protect the oblation."
1.6.1	Then, having brought water over the strainer into this very ladle, he strains it three times with the strainer having its tip towards the north, with the formula, "May god Savitr purify you with the stainless strainer, with the rays of the shining Vasu-sun." Towards the back.
1.6.2	Then, while raising them, he rises with the verse, "O divine waters, you are the foremost, you are the leader, lead this sacrifice, place the lord of sacrifice at the forefront. Indra chose you for the battle against Vritra. You chose Indra for the battle against Vrtra."
1.6.3	He sprinkles the waters with water, saying, "You are sprinkled, you are sprinkled" three times.
1.6.4	Then he sprinkles the sacrificial dishes with the formula, "In the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, I sprinkle for you Agni, for Agni-Soma, for so and so and so and So." He sprinkles thrice according to the deity.
1.6.5	Having placed the vessels upside down, he sprinkles them three times, saying, "Purify yourselves for the divine rite, for the offering to the gods."
1.6.6	Having placed the remaining sprinkling water aside,
1.6.7	He shakes the black antelope skin, turning it towards the north with its neck upwards, saying, "The Rakshas are shaken off, the evil ones are shaken off" three times.
1.6.8	Then he strews it with the grass having the point towards the east and the neck towards the west, with the words, "Thou art the skin of Aditi; may the earth hold thee firm."
1.6.9	He places the mortar on it with the words, “Thou art the mortar, belonging to the wood; may the skin of Aditis hold thee firm.
1.6.10	He pours the Purodāśa-portions on it, with the formula, "Thou art the body of Agni, the discharge of speech, for the sake of the divine guest I take thee."
1.6.11	He places the pestle, with the formula "Thou art the mountain, the wooden one. Do thou, O well-pacified one, pacify this oblation for the gods."
1.6.12	Then he calls the Haviskrt (the person who prepares the oblation), with the formula, “O Haviskrt, come, O Haviskrt, thrice.
1.6.13	[and also, 'We shall strike with force'] Then, striking the stones and the pestle with the Vrṣarava (verse), he says, "Strike with force, strike with strength, speak with brilliance, we shall conquer the assembly."
1.6.14	Having carried them away, having made them rise up, he places the winnowing basket on the north, saying, "You are the one who grows with the rain."
1.6.15	In that (basket), he winnows the grains, saying, "May you be recognized as the one who grows in the rain."
1.6.16	Then, turning to the north, he sprinkles (the ground) with the verse, "The Rakshas are purified, the evil ones are purified."
1.6.17	Having thrown the chaff to the left, he dismisses this direction with the words, "You are the share of the Rakshas."
1.6.18	Then, having touched water, he separates (the chaff) with the words, "May Vayu separate you."
1.6.19	In a vessel he scatters the rice, saying, "May Savitr, the god, with golden hands, receive it."
1.6.20	Giving to the Avakshara, he says, "Three times you have to make it into three parts. Tell me when you have made it into three parts."
1.6.21	They say, "We have made it into thrice."
1.6.22-24	The portion of the Rakshas is that which remains when the three portions are taken. Let it flow away from here. He places the rinsing of rice either within the altar or in the direction of the altar. At this time, he milks the cows in the morning with the filter facing north. Here he does not anoint.
1.7.1	Then, having spread the three fruits as mentioned, he spreads the black antelope skin with the neck towards the north and the hair towards the east, saying "The Rakshas are removed, the evil ones are removed" three times.
1.7.2	Then he spreads it in front with the neck towards west and the hair towards north, saying "You are the skin of Aditi, may the earth hold you"
1.7.3	In that (fire-pan) he places the dice with the northern end upwards, with the formula, "Thou art the support of heaven; may the Adityas know thee."
1.7.4	In that (dice) he places the eastern stone, with the formula "Thou art the Dhishana; may the support of heaven know thee."
1.7.5	He places the stone on the dice, with the formula: "Thou art the Parvati; may the Parvati know thee."
1.7.6	At that he pours down the sacrificial portions for the gods. "With the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, I pour down what is dear to Agni, to Agni-Soma, to the gods of such and such a name."
1.7.7	He recites the verse, "Thou art grain; thou dost nourish the gods, thou dost nourish the sacrifice, thou dost nourish Yajapati, thou dost nourish me, the controller of the sacrifice."
1.7.8	He grinds it with the verse, "For thee, O breath, for thee, O out-breath, for thee, the circulating breath."
1.7.9	He looks at his arms with the verse, "For long life, for the long-lasting, for the life-giving."
1.7.10	"May the god Savitar, with golden hands, accept the ground meal which is ground on the black antelope skin."
1.7.11	"When giving the ground meal, he says, 'May the one who is grinding make the ground meal.'
1.7.12	They grind the grains for the sacrificial cakes.
1.7.13	They put the ground meal into the pot."
1.7.14	If he is going to perform the Caturhoma, then before the offering of the Adhi-homa, they should divide the Caturhoma and Purorasa.
1.8.1	Then he places the washed potsherds near the Garhapatya with the rear end facing it.
1.8.2	Eight on the right side and eleven on the left side.
1.8.3	Then sitting near the Garha patya with the rear, he takes up the Dhṛṣṭi ladle, saying, "You are Dhṛṣṭī, protect the Brahman."
1.8.4	He recites over the Garhapatya fire, "O Agni, do thou remove the raw Agni."
1.8.5	He throws out the embers towards the south, saying, "Do thou throw out the one who is not fit to be offered."
1.8.6	Then he turns another one, saying, "Carry the one fit to be offered to the gods."
1.8.7	He places it in the middle of the southern skull-cups with the formula, "Thou art firm, thou protectest the earth, thou protectest life, thou protectest progeny, thou protectest kinsmen. Thou hast surrounded the sacrificer."
1.8.8	He turns the charcoal with the formula, "The Rakshas is burnt, the evil spirits are burnt."
1.8.9	Then he lays down the eastern half-brick, with the formula, "Thou art the supporter, do thou support the atmosphere, do thou support Prāṇa, do thou support Apāna, do thou support kinsmen for this sacrificer."
1.8.10	Then he lays down the western half-brick, "Thou art a firm supporter, do thou suppoit heaven, do thou support sight, do thou support hearing, do thou support kin for this sacrificer.
1.8.11	Then he lays down the southernmost enclosing stick with the formula, "Thou art the law, thou art the direction, thou art the womb, thou art the progeny, thou art the kinsmen. Thou art the enclosing stick. Thou art the guardian of the kinsmen. Do thou protect the kinsmen for this sacrificer."
1.8.12	Then he lays down the easternmost enclosing stick with, "Thou art Cit, thou art progeny, thou art wealth, thou art kinsmen. Thou are the enclosing stick. Do thou protect kinsmen for this worshipper."
1.8.13	Then the westernmost one in the same way.
1.8.14	He places two on the north, touching each other, saying, "May he have offspring, may he have wealth, may he have kinsmen." He says, "May the sacrificer be surrounded by his kinsmen."
1.8.15	Then he covers them with embers, saying, "Be heated by the heat of the Bhrigus and Angiras."
1.8.16	Then he yokes them with the Yoga, as the sages collect the potsherds in the fire. Those of Pūṣan, O Indra-Vāyu, are yoked.
1.8.17	In the same way he places the northern potsherds.
1.8.18	The potsherds are heated.
1.8.19	The rice-pot is heated.
1.8.20	The cooked oblations are heated.
1.8.21	Water for mixing with the flour is heated.
1.9.1	Then, having sat down to the north of the Garhapatya, restraining speech, he pours the flour from the black antelope skin into the vessel, beyond the strainer, with the formula, "In the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, I pour the offering agreeable to Agni, to Agni-Soma, to the deity so and so."
1.9.2	Then he says to the Parigrhnātṛ, "Bring the water."
1.9.3	The Praiṣakāra brings it, having taken it with the ladle from the Prāṇītā vessels, having sprinkled it, having bound it with the Veda, having covered the hand.
1.9.4	In this way to the Madantī vessels.
1.9.5	Having brought both of them, she makes them recite the verse, "The waters have united with the waters, the plants with the juice, the Revatīs with the Jagatīs. May the sweet ones be united with the sweet ones. Let them be released."
1.9.6	Then she sprinkles them with the verse, "Released from the waters, may you be united with the waters."
1.9.7	"I unite you for the sake of begetting."
1.9.8	Having joined and arranged (the bones), he touches them, saying, "To Agni, to Agni-Soma, to the one named so-and-so, to the one called so-and- so." According to the deity.
1.9.9	He makes a lump, saying, "You are the head of the sacrifice."
1.9.10	Having placed the bones in the southern skull, he puts embers on them, saying, "You are the heat, you are the life of the universe."
1.9.11	May the lord of sacrifice spread widely for you.
1.9.12	He makes it in the shape of a tortoise while being stretched.
1.9.13	All the potsherds are spread out. This is the Brahmanical statement.
1.10.1	Then he pours clarified butter into the vessel of clarified butter, which is covered with a cloth, with the verse, "This is the milk of the great ones, the juice of the plants. Of that which is not exhausted, I pour it for the sake of offering to the gods."
1.10.2	Then, having mixed the ashes with the embers, he places them on the north side.
1.10.3	In the same way, he puts the northern cake on the embers.
1.10.4	Then the cooked rice, then the curds.
1.10.5	Then having brought water in a vessel, he makes him take the skin of the southern cake, saying, "Take the skin, take the skin" three times.
1.10.6	Then of the northern one.
1.10.7	Then he performs the paryanji-rite, saying, "The Rakshas are enclosed, the evil spirits are enclosed" three times.
1.10.8	Then he cooks the southern cake, saying, "May the god Savitr cook thee in the highest heaven. May Agni protect thy body."
1.10.9	He recites over the Garhapatya, "O Agni, protect the oblation."
1.10.10	In the same way he cooks the northern cake.
1.10.11	Then, having sprinkled the southern cake with ashes, he sprinkles it with Veda, saying three times, "Be united with Brahma, be united with Brahma."
1.10.12	Then the northern one.
1.10.13	He releases speech, saying, "Do not burn while cooking."
1.10.14	Here he takes the pot and cleans it, heating it with a charcoal from the Garhapatya fire, and then taking it, he places it within the altar, facing west, in three lines, saying, "To the one, svāhā! To the two, svāhā!"
1.10.15	Then he takes the Veda, saying, "This Veda found the earth in its hidden state in the dense and intricate (places). May it find the world for the sacrificer, may it perform the sacrifice without blemish, may it do much work."
1.10.16	With the Veda he thrice rubs the Vedi. With the Veda they found out the earth. It spread out. The earth carries the embryo of the earthly beings within the worlds. From that the sacrifice is born, giving all.
1.11.1	Then, standing with his back towards the Veda, he takes up the wooden sword, saying, "I take thee in the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan."
1.11.2	Having taken it, he recites, "Thou art the right arm of Indra, the thousand-armed, the hundred-rayed."
1.11.3	Then he lays down the sacrificial grass on it, with the formula, "Thou art Vayu, of sharp lustre, thou art Satabhrishti, thou art of the forest, thou art the slayer of the enemies."
1.11.4	Then he lays down the grass with its tip towards the north, within the altar, with the formula "Thou art the armour of the earth, thou art the armour for the sacrificer."
1.11.5	On it he strikes with the wooden sword, with the formula. "O Earth, thou art the place of sacrifice, do not injure the roots of the plants."
1.11.6	He takes it with the formula, "The Araru is removed from the earth."
1.11.7	He carries it with the formula "Go to the cattle-pen."
1.11.8	He looks at the altar with the formula, “May the heaven rain for you.”
1.11.9	Having carried it, he scatters it on the mound with the formula, "O god Savitr, bind him whom we hate and who hates us with a hundred nooses in the highest heaven. Let him not escape from here."
1.11.10	The second (stroke) he strikes, saying, 'The sacrifice to the divine Prithivī, the plants, may thy root not be injured!'
1.11.11	He takes it, saying, 'Araru has been removed from Prithivī.'
1.11.12	He carries it away, saying, 'Go to the village, to the cattle-pen.'
1.11.13	He looks towards the altar, saying, 'May the sky rain for thee.'
1.11.14	Having taken it, he throws it on the heap, saying, "O god Savitr, bind him whom we hate and who hates us with a hundred nooses in the highest heaven. Let him not escape from here."
1.11.15	He strikes the third time, saying, "You are the divine altar, O Earth. May I not injure the roots of the plants."
1.11.16	He takes it, saying, "The Araru has been driven away from the Earth, the non-divine altar."
1.11.17	"Go to the cow-pen." He takes it away.
1.11.18	"May the sky rain for you." He looks at the altar.
1.11.19	Having taken it away, he scatters it on the heap. "O god Savitar, bind him with a hundred nooses in the highest heaven, he who hates us and whom we hate. May he not escape from here. May the hawk not seize you from heaven." Here he repeats.
1.11.20	He silently takes the fourth one along with the sacrificial grass.
1.11.21	Then he takes the eastern enclosing stick, saying, "May the Vasus take you with the Gayatri metre." On the right side, "May the Rudras take you with the Trishtup metre." On the back, "May the Adityas take you with the Jagati metre." On the left side.
1.11.22	Then the performers, reciting this verse, make the altar, coming to the altar, rich in wealth, rich in Rudra, rich in Aditya, the expanse of heaven, the navel of the earth, so that this sacrificer may not be harmed.
1.11.23	Then he digs out the altar with the wooden spade towards the east, saying, "Performing the work of the divine Savitar, the wise ones."
1.11.24	Then he tells the Agnidhra, "O Agnidhra, carry it three times from here."
1.11.25	Then the Agnidhra carries (the oblations) three times.
1.11.26	When the Agnidhra has carried (the oblations ) three times, he gives the instruction: "O Brahman, I shall take up the northern enclosing stick."
1.11.27	He takes up the northern enclosing sticks, saying, "Thou art truth," on the right side; "Thou art the abode of truth," on the west; "Thou art truth and glory," on the north.
1.11.28	Then the altar is levelled with the wooden sword towards the west. "The text says, "Thou art the abode of prosperity, thou art the abode of good fortune, thou art the expanse of prosperity and good fortune, thou hast come before the fierce one, the destroyer, the destroyer of the wicked, taking the earth, the giver of long life, whom thou didst create in the moon with the abodes of prosperity." The wise ones worship her, having seen her.
1.11.29	Then having placed the transverse wooden sword within the altar, he gives instructions: "Bring the sprinkling water, arrange the sacrificial grass and wood, cleanse the spoon and ladles, bind the wife, and prepare the clarified butter."
1.11.30	They bring the sprinkling water, filling it up.
1.11.31	The Adhvaryu places the wooden sword on the right side and lays down the path of the wooden sword.
1.11.32	Then he strikes the wooden sword on a heap of earth, saying, "The gods who hate me with their minds, with their speech, with their knowledge, with their deeds, with their hearing, with their hearts, I cut off their heads with Indra's thunderbolt."
1.11.33	Having washed his hands, he washes the wooden sword.
1.11.34	They place the kindling wood and the sacrificial grass, the kindling wood on the right, the sacrificial grass on the left.
1.12.1	Then he takes up these ladles, the ladle on the right, and the Juhu and Upamant on the left, the Dhruva and the Prashitra and the Veda-parivasana.
1.12.2	He burns (the fire) on the Garhapatya with the verse, "The Rakshas is repelled, the evil spirits are repelled. I burn thee with the most brilliant lustre of Agni."
1.12.3	He then cleanses the ladle with the verse, "May I not destroy the cattle-pen. I cleanse thee, O Vājin, the conqueror of foes.
1.12.4	Three times from within, three times from without, thus he wipes the staff with the roots, touches it with water and hands it over to the one who is being heated.
1.12.5	Then he wipes the ladle, saying, "Do not injure speech, the breath, the Vājinī, I wipe you, the conqueror of enemies."
1.12.6	Having wiped it thus, he touches it with water, and hands it over.
1.12.7	Then he cleans the Upabhṛt ladle, saying, "Do not injure my eye and ear. I am cleaning you, the destroyer of enemies."
1.12.8	Having cleaned it in the same way, he touches it with water and hands it over to the Pratiprasthātṛ.
1.12.9	Then he cleans the Dhruva ladle, saying, “Do not injure my progeny and womb. I am cleaning thee, the destroyer of foes.”
1.12.10	Then, having wiped it with water, he hands it over to the one who is going to cook it.
1.12.11	Then he wipes the portion to be eaten, saying, "Do not destroy the form and color for the animals. I am wiping you, the horse, the conqueror of enemies."
1.12.12	Having wiped it with water in the same way, he hands it to the one who will cook it.
1.12.13	Then, having touched the sprinkling-water with these ladles, he strikes it on the Garhapatya with the formula, "The art of heaven has descended, resting on the corners of the earth. With that thousand-streamed, we destroy the enemy. Svāhā!"
1.12.14	Then, having spread grass in front of the heap, and placing the ladles on them,
1.12.15	Then, having led the wife between the two fires, and having seated her facing the south, facing the north, towards the Garhapatya, and having bound her with the yoke, with the desire for happiness, offspring, good fortune, and the body of Agni, she binds herself, saying, "May I be devoted to the well-done."
1.12.16	[Then he makes her recite the verse, "Let the rite be performed in accordance with the wish of the blessing."
1.12.17	Then he makes her sip water behind the strainer, saying, "The plants are rich in milk, the herbs are rich in milk. The milk of the plants is the milk of the water. By that milk, O Indra, may you unite me."
1.12.18	Then he makes her put the kindling-sticks on the Garhapatya fire, saying, "O Agni, lord of vows, I shall observe the vow, may I be able to do it, may it succeed for me, svāhā." "O Vayu, lord of vows... O Aditya, lord of vows ... O lord of vows of vows, I will observe the vow, I will be able to do that, may it succeed."
1.12.19	Then he approaches the Garhapatya from the rear, with the verse, "We approach thee, O Agni, for offspring, for a good wife, for the subduer of foes, for the unassailable, for the invincible. May I be like Indra's wife, like Aditi, with good sons. The Garhapatya has approached thee for offspring. May my sons be for offspring, may my daughter be for offspring. May I be victorious, may my husband's praise be supreme."
1.12.20	[Then he makes her recite: "May the mind be deficient or excessive."
1.12.21	Then he makes her look at the Garhapatya: "O Agni, lord of the house, invite me. O wives of the gods, invite me. Wife, this is your world. May there be reverence to you. Do not harm me."
1.12.22	Then he looks at it with ghee, saying, "This is the milk of the great ones, the sap of the plants, I look at you with the unerring eye for the sake of good offspring."
1.12.23	Then he places it on the Garhapatya, saying, "You are brilliance."
1.12.24	Taking up the kindling wood, he carries it forward, saying, "Go forth following brilliance."
1.12.25	Then he places it on the Āhavanīya with the formula, "May Agni not deprive thee of thy lustre."
1.12.26	Here he places this kindling-wood in the middle of the Āhavanīyī with the formula, svāhā.
1.12.27	Then having taken it around the Prokṣaṇī water and having placed it on the southern half of the Vedi, he makes the sacrificer gaze at the clarified butter with the formula, “Gaze with closed eyes.” So says the Brāhmaṇa.
1.12.28	Then having taken it back as it was taken, and having placed it in the northern half of the altar, the Adhvaryu looks at it with the verse, "O Agni, thou art the tongue, the bright abode of the gods. For each god, for each Yajus, be thou."
1.12.29	Then he pours it back three times through the strainers with their tips pointing towards the north, with the verses, "Thou art bright, thou art light, thou art splendour."
