1.1.1	Now, therefore, the authority.
1.3.33	The Sphyi is also (a ladle).
1.3.34	The Juhu is made of Palasa wood.
1.3.35	The Upamant is made of Ashvattha wood.
1.3.36	The Homa-sticks are made of Varana wood.
1.3.37	The ladles are of the size of the arm, with a mouth of the size of a palm, with a hole in the skin, with a mouth like that of a swan, with roots and stalks.
1.3.38	The Sruva is of the size of an arm, with a round mouth of the size o f a thumb joint.
1.3.39	Its shape is like that of a Sphyi.
1.3.40	The Prastara is in the shape of a mirror.
1.3.41	Or in the shape of the cup.
1.3.42	The Sāman chant is between the two mounds of the Cātvāla.
1.3.43	The mounds are at the beginning and end of the Iṣṭi.
1.4.1	When the injunction is not followed, there is no commencement, because it is accomplished by that.
1.4.2	In the case of a definite injunction, the substitute would be in general.
1.4.3	The restriction is due to commencement.
1.4.4	And there would be a fault if it is not completed, because of the general rule.
1.4.5	And also because of the observation.
1.4.6	The other view is not accepted because of the repetition.
1.4.7	The repetition is for another purpose.
1.4.8	There is no application to the vow because of the word niyama.
1.4.9	There is unanimity in the word.
1.4.10	In Soma, because of the absence of caste.
1.4.11	And in ghee, because of non-perception.
1.4.12	In the animal, because of the similarity of the mantra.
1.4.13	And because of the Veda.
1.4.14	In the option, because of the difference of the action.
1.4.15	In the case of a substitute, it is from that time.
1.4.16	In the case of a conflict between meaning and substance, the general meaning prevails because of its importance.
1.4.17	In the conflict between qualities and substance, the substance is predominant due to its association with the main purpose.
1.4.18	Not because of equality.
1.4.19	Because of the benefit to qualities.
1.5.1	The sequence of actions is not simultaneous because of their sequential nature.
1.5.2	And because of the accomplishment of the purpose.
1.5.3	Or there may be a restriction on sequence due to the order of the meaning of the scriptures.
1.5.4	And the natural and the modified.
1.5.5	In case of conflict, the meaning is to be taken as referring to the natural, because of its being the principal.
1.5.6	The Veda is to be taken in the order of sequence, because of being inferential.
1.5.7	In the case of the injunctions of mantras and ritual, the mantra has more force, because of being used.
1.5.8	Not because of equality.
1.5.9	But because of the preponderance of qualities.
1.5.10	In case there is equal conjunction, the general comes first, because of the order of sequence.
1.5.11	Not in a single rite, because of the connection.
1.5.12	But in the case of the offerings to the Grahas, the Sadana, and the gifts, there is a declaration.
1.5.13	Vatsya says that there is no difference in substance due to the union of qualities.
1.5.14	In the case of the prohibition, it is certainly due to the specific fault.
1.5.15	But in the case of Sodashin, it is due to the predominance of sequence.
1.5.16	There is no restriction in the case of those connected with fruits.
1.5.17	Sequence is the meaning of the injunction, because it is impossible in the action.
1.6.1	In the absence of the Avartana, another is due to the favor of the qualities.
1.6.2	Not from the former and the remainder.
1.6.3	Because it is not mentioned.
1.6.4	Like the Sviṣṭakṛt, because of the sequence of the rites.
1.6.5	But in the case of the loss of a quality, because of the remaining state.
1.6.6	The words "deity", "fire", and "action" are not used, because they are for the sake of others.
1.6.7	One may desire the deity.
1.6.8	What is prohibited, because of the adverse consequences.
1.6.9	The master, because of the connection with the fruit.
1.6.10	In the case of qualities, a substitute, because of being for the sake of another.
1.6.11	But in three cases, because of the statement.
1.6.12	He is the one who has those qualities because of the union of action and qualities.
1.6.13	The Brahmanas are the officiating priests because of the statement in the Veda.
1.6.14	Because of the absence of defects in the single-Kalpa ones.
1.6.15	Not because of being for the sake of others.
1.6.16	The Garhapatya belongs to the Vaishyas and Rajanyas.
1.6.17	Because of non-existence of non-human beings for a thousand years.
1.6.18	It may be so because of the impermanence of the body.
1.6.19	And because of its being the cause.
1.6.20	Because of impossibility.
1.6.21	Bharadvaja says that it is because of the existence of the scriptures.
1.6.22	Because of non-perception.
1.6.23	Karsajini says that it is the Kula-satra.
1.6.24	Lauga-kshi says that it is from the Sama-utthana.
1.6.25	Because of the impossibility of days.
1.6.26	Because of scriptural authority.
1.6.27	And because of the benefit to the original text.
1.7.1	The simultaneous existence of actions is the essence.
1.7.2	Because of the similarity of purpose due to the accomplishment of the purpose of the capable person, and because of the statement of similarity.
1.7.3	In the case of the result, action, place, time, substance, deity, and qualities, there is similarity.
1.7.4	In their difference, there is difference.
1.7.5	In contradiction, place and time.
1.7.6	Not because of the complete injunction.
1.7.7	In the group of days, the mention of all is like the nature of the Suparna.
1.7.8	Because of the non-insistence of the ritual time and action every day,
1.7.9	In the case of a single substance, the mantra is recited only once because the action has been performed.
1.7.10	But in the case of seizing the ladle, sprinkling, covering, and taking the clarified butter, it is not so.
1.7.11	Because of the statement, in clarified butter.
1.7.12	And in the best portion.
1.7.13	But in sleep, crossing a river, rain, seeing impurity, and departure, it is done only once because of the oneness of time and substance.
1.7.14	Not because of the difference of signs.
1.7.15	The non-principal time is done only once due to the absence of concurrence.
1.7.16	The sacrificial post.
1.7.17	The Svaru (the sacrificial ladle) also, because of the mention of its position.
1.7.18	And because of its accomplishment.
1.7.19	In the case of rites, the men.
1.7.20	The principal one is the master, because of the connection with the fruit.
1.7.21	Because of the abandonment of the connection of the person and the mantra-purification, there is the capability.
1.7.22	Because of a statement, the other.
1.7.23	The remaining are as mentioned.
1.7.24	One who wears the sacred thread.
1.7.25	Facing east or north.
1.7.26	In the cases of the Avritti and the Samamantas, clockwise.
1.7.27	But in the case of the rites prescribed for the Pitrs, the Dakṣiṇā is to be given only once.
1.7.28	When the principal substance is affected, there is repetition along with its parts, on account of the injunction.
1.8.1	In the case of qualities having a single purpose, all undertakings are enjoined.
1.8.2	Not because they have been done.
1.8.3	Because they are not undertaken.
1.8.4	And because of the perception.
1.8.5	If it is said that the Śruti is purposeless,
1.8.6	It would be useful at a later time.
1.8.7	In the case of Dharma-matters, there is no incompatibility in the two being taken together.
1.8.8	In the case of the Hotr and Adhvaryu.
1.8.9	In the matter of the Yajya and Anu-yajya, there is incompatibility.
1.8.10	Because of the direct assertion.
1.8.11	In the ease of Expiatory Rites, because of the removal of the sin.
1.8.12	Because of non-mention.
1.8.13	Because of direct perception.
1.8.14	Or it may be because of the direct assertion itself.
1.8.15	Because of its not being meant for any other purpose.
1.8.16	In the Mantras, the accentuation is as laid down, because there is no specification.
1.8.17	The Bhaṣika-svaras are so called because they are taught in the Bhaṣya.
1.8.18	The Tanas are so called because of their eternal nature.
1.8.19	The Ekashruti is so called because it is heard at a distance, and because it is used in the Yajna-karma, and because it excludes the Subrahmanyas, the Asamas, the Nyuṅkhas, and the Yajamānas.
1.8.20	The option of numbers is so called because of the connection with giving.
1.8.21	The combination of the Uvādhyas, Avāsādhīs, and Udhnis is so called because they belong to the substance and its modifications.
1.8.22	And in the qualities of injunction, by the two, the established and the binding.
1.8.23	The Garhapatya and the Ahavaniya should not be separated.
1.8.24	The return is by going away and returning, or otherwise.
1.8.25	Going away means going out.
1.8.26	The sacrifice is on the north.
1.8.27	The seats of the Brahman and the sacrificer are on the south.
1.8.28	The sacrificer touches the altar from the rear.
1.8.29	The Adhvaryu knows the rites by his knowledge of the Veda.
1.8.30	The other (is) by the contradiction of words.
1.8.31	The ownership of the sacrificial vessel is the prior and prior difference among the priests.
1.8.32	And among the priests, as before.
1.8.33	Because it is indicated by words.
1.8.34	The rites are at the Garhapatya.
1.8.35	The scraping is at the Ahavaniya.
1.8.36	Ghee is at the Ajya.
1.8.37	Because of the indication.
1.8.38	Its offering is without instruction.
1.8.39	Dung from the Chaitvala.
1.8.40	The Ahāvanyāyajatas are the Dhruvas.
1.8.41	Some say that the Idāprasaṃtrāghāras are the ghāras.
1.8.42	The ghāras are in the east.
1.8.43	Some say they are in the southeast.
1.8.44	The offerings are in the Āhavaniya because of scriptural testimony and association.
1.8.45	The word "juhu" refers to the Āhavaniye.
1.8.46	Because the meaning of "once taken" is obtained.
1.8.47	And because of the excess of the Avṣṭakāra.
1.9.1	Rice or barley in the oblation.
1.9.2	He cuts it twice.
1.9.3	Three times for the Jamadagnis.
1.9.4	After that, the third.
1.9.5	Because both are not prescribed for all.
1.9.6	The offering is the size of a thumb joint, cut from the middle and the front half.
1.9.7	Curd and milk should be in the right measure.
1.9.8	Ghee at the beginning and end.
1.9.9	The Svishtakrit has one fault.
1.9.10	Two sprinklings.
1.9.11-17	Having taken up (the ladle), one should pour down before the Svishtakrit. The one-pot offering is for all deities. The invocation and the instruction are according to the deity, saying "Recite after this one." At the invocation and instruction, one says "This one." At instructions and invocations, one says "For the sixty-pot barley offering and the Soma offerings." One says "This one" at the removal.
1.9.18	Standing at the south, facing north, he recites the Vasat-utterance.
1.9.19	Or together.
1.9.20	The oblation of ghee is on both sides.
1.9.21	Or together
1.10.1	Because of the instruction of the present, the absence of the meaning of the word "instruction", because of the statement "your own", because of the direction, the injunction is the instigator of the action.
1.10.2	Or the mantra, because of the simultaneous utterance.
1.10.3	The selection of substances is done according to the number of meanings.
1.10.4	The skins should be with the hair turned upwards, and with the neck-end towards the east.
1.10.5	The northern part of the oblation is to be offered first.
1.10.6	In the case of a single substance, the taking up is to be done with the Veda, if it is accompanied by clarified butter.
1.10.7	In other cases, it is to be done by means of a wooden sword.
1.10.8	If there are no kuśa grass, then by means of the hands.
1.10.9	Holding the Juhu ladle with the hands, one should place the Upamantya ladle at the time of taking up, without making any sound.
1.10.10	In the absence of fruits, heaven is attained by means of speech.
1.10.11	In the case of a single act, there is a special result due to a special quality.
1.10.12	In the case of giving, reading, undertaking, covering, and fasting, one should proceed according to the performer.
1.10.13	In the cases of digging, cutting, breaking, striking, grinding, milking, and burning, there is no possibility of performing the Yajus rites.
1.10.14	Having recited the fierce, demoniac, Asuric, and magical mantras, he should touch himself and the water.
2.1.1	One should observe the fast on the full moon day or the new moon day.
2.1.2	The Adhvaryu or the sacrificer should perform the Agnihotra.
2.1.3	"O Agni, may my lustre be in the contests. We, the kindlers, shall nourish our bodies. May the four directions bow to me. With thee as the overseer, we shall conquer the battle."
2.1.4	He places the kindling-wood silently on the second one.
2.1.5	In the same way on the other two fires.
2.1.6	Or with the great formulas on the fire placed before.
2.1.7	He should remain silent or as before.
2.1.8	He should avoid meat and sexual intercourse during the day.
2.1.9	He should shave his hair, beard, and mustache.
2.1.10	In the afternoon, he should eat the food offered for the vow, cooked with ghee.
2.1.11	Having gone around the Garhapatya by the right, having gone around the Āhavanīya by the left, standing towards the east, looking at the fire, touching the water, he takes up the vow, saying, "O Agni, lord of vows, this is mine." Or, "Truthful one, from whom."
2.1.12	The truthful speech is a part of the rite.
2.1.13	One should eat the wood, forest, and herbs.
2.1.14	Under the Āhavanīyīya, the house, and the bed.
2.1.15	Or under the Garhapaty.
2.1.16	Immediately or
2.1.17	in the morning.
2.1.18	Having offered the Agnihotra, he chooses Brahma, saying, "O Lord of the Earth, O Lord of the World, O Lord of Great Beings, I choose you as Brahma."
2.1.19	I am the lord of the earth, I am the lord, I am the master of the great being, I am the earth, the heaven, the sky, the god Savitar, you are chosen by this Brihaspati, the Brahman. I tell this to the mind, the mind to the Gayatri, the Gayatri to the Tristubh, the Tristubh to the Jagati, the Jagati to the Anushtubh, the Anushtubb to Prajapati, Prajapati to the All-gods, Brihaspati to the Brahman of the gods, I am the Brahman of men.
2.1.20	"O Vācaspati, protect the sacrifice."
2.1.21	He goes around the Vāhavānīya from the south.
2.1.22	"Standing here, O snake, son of Dadhivāna, may I sit in his abode, who is more worthy of cooking for us." He looks at the abode of Brahman.
2.1.23	He throws out grass from the abode of Brahman, saying, "The sin is thrown out along with it, whom we hate."
2.1.24	Here I sit in the assembly of Brihaspati, born by the god Savitar. I tell this to Agni, this to Vayu, this to the earth.
2.2.1	One sits facing the Ahavaniya fire in the assembly of Brahma.
2.2.2	One should be silent till the Anuyaja offerings are made.
2.2.3	Or one should take up the share and other things.
2.2.4	At the Avrita and Vasatkarana offerings.
2.2.5	Here the Vrata food is given.
2.2.6	Having recited the Vaishnavamantra, one should recite.
2.2.7	The Adhvaryu also.
2.2.8	"O God, lead the sacrifice, you increase the deity. May the sacrificer be on the back of heaven, where is the world of the seven sages and their good deeds. Place this sacrifice and the sacrificer there. Om, lead." The Pratiprasthātṛ leads the sacrifice.
2.2.9	Thus addressed with the Om sound.
2.2.10	"Sprinkle the sacrifice." On the oblation.
2.2.11-13	of the kindling wood and the sacrificial grass. "O Brihaspati, do thou take up the altar. May the gods have good abodes. Let the sacrificial grass spread out here. Let the earth be harmless. Let it be divine." "O Prajapati, do thou recite the sacrifice." "O Samidheni, do thou recite."
2.2.14	"May the deity increase you." He follows everywhere.
2.2.15	"He waits for the Prasitra, saying, 'I wait for you with the eye of Mitra.'
2.2.16	"He receives it, saying, 'For the deity thee.'
2.2.17	"He places it, saying, ‘For the earth thee,’ after removing the grass.
2.2.18	Again taking it with the thumb and ring finger, he eats with the words "Of Agni thee!" touching his teeth, but not with water. If this happens,
2.2.19	he places it in the region of the throat.
2.2.20	Having washed the vessel, he touches his navel with the formula, "May those deities who are in the water pacify this (vessel). Svāhā! May it go to the belly of Indra. May you not touch me with your sharp teeth. May it settle above my navel. I place you in the belly of Indra."
2.2.21	He releases it with the formula, “This is yours.”
2.2.22	He may say, "For stability."
2.2.23	He places the kindling wood in the Apāvṛka (fire), offers oblations, and worships. "He says, "Salutations to the performed and unperformed rites. Salutations to the Yajna, O Jātavedas, who is within and before this. Having sat down, you, O Jātavīd, release the good release. Bestow wealth on us. Svāhā!" Having come back as he came,
2.2.24	This is the Brahmahood of the animal offered in the Iṣṭi.
2.3.1	Having placed the ladle of water to the north of the Garhapatya, he touches it with the formula, "Thou art the past, I shall make thee the future."
2.3.2	He says, "O Brahman, I shall offer water; the sacrificer desires speech."
2.3.3	Having been permitted, he places it to the north of Āhavanīya with the formula, “Who art thou?”
2.3.4	They should not go in between.
2.3.5	The Kansa-vana-spayana (the Agnihotra-fire) is to be kindled with the kindling woods of Kansa-vana. One who desires to establish the Brahmic lustre through the rites of sorcery should do so in accordance with the number of times.
2.3.6	Having spread the fires with grass, he first arranges the two sacrificial grass-blades in front.
2.3.7	The sacrificer himself or
2.3.8	The sacrificial ladle, fire-wood, pestle, skull, mallet, black antelope skin, mortar and pestle, stone for grinding, and the appropriate things.
2.3.9	After the scraping, or to the north of it.
2.3.10	Taking the ladle for the Agnihotra from the fire of the winnowing basket, he gives the speech.
2.3.11	"He goes, saying, "The scraping is done, the scraping is accomplished, the scraping is completed," or "The scraping is accomplished, is completed, is well accomplished."
2.3.12	"He stands with the scraping to the south, saying, "May I go to the heaven."
2.3.13	"He touches the scraping, saying, "Thou art the scraping."
2.3.14	"The gods" is the support of the ladle. After that, the ladle is lifted.
2.3.15	"You are Vishnu" is the lifting.
2.3.16	"Looking at the great wind" is the offering.
2.3.17	"What has been removed" is the removal of the other.
2.3.18	If it is not available, one should touch it.
2.3.19	"May they give" is the taking of the oblation.
2.3.20	"You belong to the god" is the taking, four handfuls of the Agniya oblation.
2.3.21	Thus for the Agniṣṭoma.
2.3.22	The other (offerings) according to the deity.
2.3.23	"The touching of the remaining (oblations) is done with the formula, "For the Bhūta thee."
2.3.24	"He looks towards the east with the formula, "For the heaven thee."
2.3.25	"One descends with the formula, “May they be firm."
2.3.26	"He goes with the formula, "May I reach the heaven, the firmament."
2.3.27	"He places it after the scraping with the formula,"For the earth thee."
2.3.28	In a vessel placed on the fire-pan.
2.3.29	The Dhūrīṣārohaṇas are recited in the Pātrībila.
2.3.30	"Dṛṃhantām" is the rising.
2.3.31	"The two Kuśas, with their tips not fallen, without an inner embryo, are cut with Kuśas, saying "O purifying ones, you are here."
2.3.32	Or three.
2.3.33	Having placed water in the Havirgrahaṇī, he sprinkles with them, saying "O Savitar."
2.3.34	That is the place of those two.
2.3.35	Having placed the right hand on the left, he recites the verse, "The goddesses are the waters."
2.3.36	"They have been sprinkled." This is the sprinkling of them.
2.3.37	"The oblation is for Agni, for Agni and Soma."
2.3.38	Other verses are recited according to the deity.
2.3.39	"The vessels are for the divine."
2.3.40	Having placed the sprinkling water in an unmoving place,
2.4.1	"May there be peace." This is the taking up of the black antelope skin.
2.4.2	Having gone around, he pours out from the vessels, saying, "What has been poured out."
2.4.3	He spreads the skin towards the back, saying, "The skin of Aditi."
2.4.4	He places the mortar on the left side, saying, "You are a mountain, you are a stone."
2.4.5	"For you" is said for both.
2.4.6	He pours the oblation, saying, "Body of Agni."
2.4.7	He releases speech.
2.4.8	The sacrificer also.
2.4.9	Or the one who has prepared the oblation.
2.4.10	In the case of seeds of different kinds, the last one is implied.
2.4.11	He takes up the pestle, saying, "This is the big pestle."
2.4.12	He puts it down, saying, "Here it is."
2.4.13	He calls three times, saying, "O you who have prepared the oblation, come!"
2.4.14	Then the wife or another strikes it.
2.4.15	He calls out, "You are a cock!" three times with the ladle, twice with the rice, once with the stone.
2.4.16	He takes up the winnowing basket, saying, "You are grown in the rain."
2.4.17	He pours out the oblation, saying, "For you."
2.4.18	He winnows it, saying, "Well-purified."
2.4.19	He removes the husks, saying, "Removed."
2.4.20	He sifts it, saying, "
2.4.21	The deity is indeed the ladle. He recites over the ladle.
2.4.22	He makes three fruits.
2.4.23	Some say, "Purify for the gods, purify for the gods."
2.4.24	Having made the fruits, he puts the grains.
2.4.25	He grinds them together with the grinding vessel.
2.4.26	Taking the grinding stone, he says, "You are Dhṛṣṭi," and puts the embers towards the east, saying, "You are Apāgna."
2.4.27	Having brought the embers with the formula, "For the sake of the sacrifice to the gods," he covers them with a skull with the formula, “Thou art firm.”
2.4.28	If one is reciting the formula against an enemy, he should say, “Of so and so.”
2.4.29	In other cases also.
2.4.30	He places the embers in the empty space with the left hand with the formula, "O Agni, thou art Brahman."
2.4.31	"He places it behind with the formula, "Thou art firm."
2.4.32	He places it in front with the formula,"Thou art the supporter."
2.4.33	"For all the worlds" on the right.
2.4.34	Having divided equally, two on the right and two on the left.
2.4.35	Silently.
2.4.36	Thus for the eleven Agniṣṭoma.
2.4.37	More on the right. For the Bhṛgus.
2.4.38	He sprinkles with embers.
2.5.1	He places the Upasargani.
2.5.2	He takes up the black antelope skin as before, for the black antelope skin.
2.5.3	In that (place) the mind is seated.
2.5.4	Having placed it on the last day, (he says) 'Towards the eastern sky.'
2.5.5	In the stone, the mind is seated.'
2.5.6	Having spread out the rice, he presses them with the formula, 'For thee, O Prāṇa.'
2.5.7	He spreads the long (piece of) black antelope skin with the formula, ‘Thou art long.'
2.5.8	He sharpens (the knife) with the formula, "For thee, O eye."
2.5.9	When the grains are being ground, he pours down clarified butter with the verse, "May the grains be ground for the gods."
2.5.10	He pours down the ground grains in a vessel with a strainer, with the verse, “For the god.”
2.5.11	He sits down behind the pot of clarified butter, either within or outside the altar.
2.5.12	Another brings the ladle.
2.5.13	He receives it with the strainer, with the formula, "May the waters unite."
2.5.14	He mixes it with the formula, “For the generating of offspring.”
2.5.15	Having divided equally, he takes it up, saying, "This is for Agni, this is for Agni-Soma."
2.5.16	The other (offerings) are according to the deity.
2.5.17	One puts down clarified butter, saying, "For you, O food."
2.5.18	For one without a wife, on the sacrificial grass, the one who is to be sprinkled.
2.5.19	"You are heat," (saying this) he spreads the cake simultaneously.
2.5.20	"You have great spread," (saying this), he spreads it as much as the potsherds, not too large.
2.5.21	"He touches it with water, saying, 'Agni is here,' once or three times.
2.5.22	He makes a fire-offering, saying, 'The Rakshas are enclosed, the evil spirits are enclosed.' With ghee.
2.5.23	'You are a god,' (he says) while scraping.
2.5.24	'Do not be afraid,' he says while offering.
2.5.25	'Do thou be without ashes,' he says while covering the cooked (oblation) with ashes, or with a wooden cover.
2.5.26	The washing of the ladle-fingers is done with the verse, "Thou art the ladle, thou art the ladle, O Agni, thou art the receptacle of oblations. Thou art the ladle, the receptacle of oblation, the ladle, the ladle."
2.5.27	The Anvāhārya rice is placed in the southern fire.
2.5.28	Here the Vrata-food is given.
2.6.1	He digs out the altar to the right of the Ahavaniya fire.
2.6.2	It is dug out three fingers deep.
2.6.3	It is a fathom long.
2.6.4	Three cubits in length,
2.6.5	or unlimited.
2.6.6	Facing east or north,
2.6.7	encompassed by the middle (part of the altar).
2.6.8	The fire is on both sides of the shoulders.
2.6.9	Up to the cutting of the roots of the plants.
2.6.10	One should say (to the sacrificer) when the roots of the herbs are to be cut.
2.6.11	For one desiring cattle, (the altar) should be taken up with the dung and urine.
2.6.12	Having surrounded the altar, he places the Uttaravedi to the north of the fire.
2.6.13	Taking up the wooden sword with the formula, "For the god thee," and placing the grass on the left, he touches it with the right hand and murmurs, "Indra's arm."
2.6.14	He should not touch the earth, as the self is in the earth.
2.6.15	He places the grass on the altar towards the north, with the formula, "Thou art the armour of the earth."
2.6.16	"O Earth, the Goddess of sacrifice!" (thus) he strikes (the ground) when the grass has disappeared.
2.6.17	"Let us go to the village!" (thus) one takes up the excrement.
2.6.18	"May it rain!" (thus) looking at the altar.
2.6.19	"Let it be bound!" (thus) on the heap of earth.
2.6.20	The remaining part of the striking is without distinction, due to the teaching.
2.6.21	"O Apararu!" (thus) the second striking and so on.
2.6.22	"O Agni, the heap of earth, the Apararu, the heaven!" (thus) it is deposited.
2.6.23	The third is called Drapsat.
2.6.24	The fourth is silent, with grass.
2.6.25	He takes the enclosure in the east, south, west and north with the Sphyena Gayatreṇa mantra.
2.6.26	Having scraped the altar three times, he says, "Take three times."
2.6.27	Having taken the lines, he touches them.
2.6.28	In the case of the Pitryajna and Agni-chiti
2.6.29	Or because of seeing there.
2.6.30	The construction of the altar is as stated.
2.6.31	He takes up the northern enclosing sticks, saying, "May it be subtle, soft, and luxuriant," as before, for each verse.
2.6.32	He anoints it with the formula, "In the beginning was the fierce one."
2.6.33	Another person holds the Prokṣaṇī water on the altar.
2.6.34	Then, having taken up the Sphyi, he says (to the Hotri), "Bring the Prokṣaṇī water, arrange the sacrificial grass and wood, cleanse the ladles, bind the wife, and come with clarified butter." If he wishes.
2.6.35	As instructed by another, because of the authority of the other.
2.6.36	Or himself, because there is no contradiction.
2.6.37	And because of the absence of a command.
2.6.38	One should not step on the Vedi before spreading it.
2.6.39	The oblations are cooked till the time of carrying (to the fire).
2.6.40	Some offer with the thumb and the finger joined together.
2.6.41	One who is in trouble should throw away the grass.
2.6.42	One strikes the grass with the edge of the stone, saying, "May the enemy be killed."
2.6.43	Having washed the hands, one places the stone on the right side of the fire.
2.6.44	The kindling wood and the sacrificial grass are placed first.
2.6.45	Having taken the ladle to the right, he cleans it.
2.6.46	Having heated the ladle, he cleans it as before with the Veda-scriptures, first inside, then outside, with the roots, stepping forward to the east.
2.6.47	He sprinkles, sprinkling each time.
2.6.48	"He sprinkles with the formula, "Anishita."
2.6.49	The taking of the Prasitra, the pouring of the cooked rice and the vessel are done silently.
2.6.50	He removes the dust.
2.6.51	Some (performers) place the fire-stirring stick on the Ahavaniya fire.
2.7.1	He binds the wife, sitting towards the south, with a three-stranded cord of Muñja grass, saying, "For Aditi, the garment."
2.7.2	Having placed the southern noose on the northern one, he raises it upwards, saying, "Of Vishnu, the dwelling."
2.7.3	He does not make a knot.
2.7.4	Having poured out the clarified butter on the Urdhva-sthala, he looks at the wife with the verse, "May the waters be free from injury."
2.7.5	He places it on the Veda-sthala, taking some Prokṣaṇī water aside.
2.7.6	Or having placed it on the Āhavanīya, he takes some of it.
2.7.7	He pours out the clarified butter with the verse, “O Savitr, thou art the giver of light.”
2.7.8	The Prokṣaṇa water as before.
2.7.9	He looks at the clarified butter with "Thou art light."
2.7.10	The sacrificer or
2.7.11	The taking of clarified butter with the ladle.
2.7.12	The mantra "O Agni, the one who is to be worshipped, the one who has been worshipped" is recited once in the case of the Caturjuhu offering.
2.7.13	If the Upamantras are fewer, then eight in the Upamantrayana.
2.7.14	Four elsewhere, except for the division.
2.7.15	Because of the absence of the mention of the animal and the Atithi.
2.7.16	Because of not being mentioned in full.
2.7.17	Because of mentioning the animal and the atithi.
2.7.18	And because of the mention of Juhu in the Dhruva.
2.7.19	He sprinkles the kindling wood, the sacrificial grass, and the sacrificial grass for the altar. Having taken the sacrificial grass for covering the altar, he makes a knot in front (of the altar) with the formula, "Thou art black."
2.7.20	He sprinkles the remaining (grass) at the roots with the formula, "For Aditi, the sprinkling."
