1.1.1	Now, we shall explain the Darsha-Pūrnamāsa sacrifices.
1.3.14	"Do not cut me." Thus one cuts it.
1.3.15	He releases the fist with the nails.
1.3.16	That is the Prastara.
1.3.17	The Kulmi, the Aratni, the Pradesa, the Urvasthi, the Janvasthi, the Srugdanda are the horizontal measures.
1.4.1	He places it below, saying, "Protect the earth from the contact."
1.4.2	He releases the fist with odd fingers.
1.4.3	So also the Nidhanas.
1.4.4	Some say that the Prastara is for the odd ones.
1.4.5	The Prāstara is as one wishes.
1.4.6	Whatever is left out after the Parivana and Utsarga, that is to be done everywhere.
1.4.7	The Prāstara alone is offered with a mantra, the rest silently, says the Vājasaneyaka.
1.4.8	Having sprinkled everything, he touches the Ālāvas, saying, "May the Devabarhi grow with a hundred shoots."
1.4.9	"May we grow with a thousand shoots," he says about himself.
1.4.10	"He makes the metal three-fold or five-fold, saying, 'To Aditi the cord.'
1.4.11	He puts it back, saying, 'The womb is the protector.'
1.4.12-13	"Having spread out the grass with its tip towards the north, he says, "I am collecting thee well-collected. Having collected the bundles in it, he says, "The womb is covered." Having placed the Prāstara on the last bundle, he says, "The armour of Indra." Having tied it, he says,
1.4.14	"May it be yours." He places the knot in front, facing east, or behind, facing west.
1.4.15	The waters have anointed thee, the Asvins have anointed thee, seven sages have anointed thee. Thou art the banner of the dawn, the banner of the sun, the banner of heaven. Thus he takes up the banner. He takes it up with the verse, "With Indra's arms I raise thee." He places it on the head with the verse, “I take thee with Brihaspati's head.”
1.5.1	The two going-away and coming-back are the two going-away.
1.5.2	"He places it on the lap of Aditi" in the place of the enclosing sticks within the altar, upside down.
1.5.3	"He recites, "You are the sacrificial grass leading to the gods."
1.5.4	"He places the grass upside down, reciting, "You are leading to the gods."
1.5.5	The plants that were born for the gods three ages ago, their season is now. I bring the covering of the grass. May the water be pure, fit for sacrifice, with the gods, and auspicious for me. May the cutter not injure you. May you live a hundred autumns. Of the unlimited, the limited are bound together for good deeds. May it not injure me. Whatever I have done, may I not rise again. May there be many. The covering of the grass, the binding, the cutting, and the binding - according to the appropriate signs.
1.5.6	He makes the sacrificial grass of Khadira, Palasha, and twenty-one kinds of wood.
1.5.7	There are three enclosing sticks.
1.5.8	Palasha, Karshmarya, Khadira, Udumbara, Bilva, Rohitika, Vikankata - these are the sacrificial trees.
1.5.9	They may be either moist or dry, with bark.
1.5.10	The longest, the middle one, the shortest, the longest, the one facing south, the shortest, and the one facing north.
1.5.11	Two Āghāra-sticks, two Anūyājā-sticks, and twenty-one Darbha-blades.
1.5.12	Having made the fire-wood as before, with the Darbha-blades either with or without roots, and having spread them with their tips towards the north.
1.6.1	When Krishna, assuming the form of a tree, entered the trees, then I collect you in twenty-one ways, well collected. The three enclosing sticks, the three kindling woods, the life of the sacrifice, the wandering ones, the garment, the ladle, and the strength, I collect, well collected. He collects the wood of the sacrificial post.
1.6.2-3	Krishna is the best of all, O God, he girds himself with the girdle. He puts on the knot facing east, or facing west, or below.
1.6.4	You have made the altar known. By you the sacrifice is born, all-giving, without a flaw. The knower of the sacrifice follows it. By you the Hotṛ extends the half-months. Thus he makes the altar of Darbha grass.
1.6.5	For one desiring cattle, the one with the calf; for one desiring food, the one with a calf; for one desirous of brahminical lustre, the one with three heads.
1.6.6	Having taken a portion of the wood from the wood-pile, he puts down the articles for the Veda-recitation.
1.6.7	Having cut off the Palasa-branches from the tree within the altar, having taken a portion of them, he makes the Upaveṣa-offering with the formula, "Thou art Upaveṣā; I have taken thee for the sacrifice. Making the oblation for Indra, thou art auspicious and auspicious."
1.6.8	The Soma is brought from the third heaven, from the Gayatri verse, for the Soma-drinking. He takes the Vaka-grass for the purpose of placing it in the Soma-drinking vessel. Taking the grass for the purpose of binding, he places it in the known place.
1.6.9	Having made a filter of three-leaved Darbha grass, he says, "You are the filter of the Vasus." He puts it loosely on the branch, the roots at the root, the tips at the tips, not making a knot.
1.6.10-11	The Trivṛt and Palāśa are the two kinds of Darbha grass, each measuring a span in length. May the purifying oblation, the most nourishing, be offered to me at the sacrifice. May these two, Prāṇa and Apāna, moving everywhere, nourish the limbs of the sacrifice, flowing through the purifying oblation that purifies the oblation. The sacrificer recites this while the oblation is being offered. They close the fire-chamber and smear the sacrificial grounds.
1.6.12	The sacrificer and his wife decorate themselves.
1.6.13	The two pots of cooked rice for the new-moon sacrifice are smeared with cow-dung up to the level of sugar.
1.7.1	On the day when the moon is not seen, one performs the Piṇḍapitṛyajña.
1.7.2	In the afternoon or when the sun is above the tree, they perform the Piṇḍapitṛyajña.
1.7.3	The grass is brought in with the root intact, with the formula, "The grass of waters, pure, fit for sacrifice."
1.7.4	The grass is cut once, and the days are also counted once.
1.7.5	Having spread the Darbha grass with their tips towards the south and east, having spread the Darbha grasses towards the south and west, he places the sacrificial vessels for the Pitṛyajña one by one, with their tips towards south, namely, the wooden sword, the ladle, the black antelope skin, the mortar, the pestle, the winnowing basket, the vessel for ghee, the vessel for cooked rice, and whatever else he may need.
1.7.6	To the right of the cart is placed a vessel filled with grains.
1.7.7	The Adhvaryu, wearing the sacred thread, covers the pot with a single strainer and pours it out either to the right or to the left of the cart.
1.7.8	Having filled it, he smears it.
1.7.9	He pours it into a clay pot, saying, "I pour out what is dear to the Fathers," or silently.
1.7.10	The wife, standing to the south-east of the Ulukhal, which is placed to the north-east of the Anvāhāryapacan, and facing the east, strikes the Parāpavam with the skin of a black antelope.
1.7.11	He makes it into a single ball.
1.7.12	He cooks the rice for the living on the southern fire.
1.7.13	The Asuras, the Rakshas, the Pisacas have been driven away. The Fathers are seated on the Veda. Having placed the Veda between the Garhapatya and the Anvähäryapacaniya fires, having taken up the Anvähärvapacaniya fire towards the south-east, having taken up towards the south-west the Veda, which is of one thickness, and which is turned towards the east, having sprinkled it with water with the formula, "May the Fathers be purified," having recited the formula, "Let the Fathers come with the speed of mind," having spread the Veda with the grass which is cut once, soft, and tender, with the formula, "For the Fathers I spread this; may my Fathers, the Soma-drinkers, the Grandfathers, the Great-Grandfathers, together with their followers, be seated on it." He spreads the Veda with the once-cut grass.
1.8.1	Having poured out the hot water, he pours the cooked rice into the pot with fresh butter or ghee. Having placed the ladle in the ladle-stand, he places the cooked rice in the ladle.
1.8.2	He places the broom, the brush, the ointment, the unguent, and the water-pot on the right side.
1.8.3-4	The Adhvaryu, having put on the Upavīta, having placed the ladle on the right knee, having taken it up and having poured clarified butter over it, offers to Soma, drunk by the Pitrs, with the formula, "To Svāhā, to Yama, to Angiras, to the father of the Pitrs, Svāhā, svadhā." The second with the formula, “To Yama, to Angira, to the father, to the Pitrs, svadhā, svadhā.” The third with the formula, “To Agni, the carrier of Kavya, svadhā svadhā.”
1.8.5	Having offered the rice-grains in the Meṣaṇā vessel, he silently places the Meṣaṇa vessel.
1.8.6	Some say, one should not offer to Yama.
1.8.7	May the Asuras, in the form of fathers, who, having abandoned their forms, behave thus, who support the cities of others and their own cities, may Agni drive them from this world. Those who are gods, fathers, and men, those who died in the womb or beyond, those who are raised up or buried, may they be pleased here together. Those who, abandoning their forms, behave with their own rites, though they are Asuras, who support the other cities and their own cities - may Agni drive them away from this world. Those who, in the form, of relatives, are Asuras who have entered the fathers through illusion, who support the others' cities and their own - may Agni drive those away from this world." He offers incense to the southern fire with a single torch.
1.8.8	Having once drawn a line towards the south-east with the wooden sword, he sprinkles water on the raised portion with the formula, "The lower one is raised." At the end of the line drawn, he places it.
1.8.9	From now onwards the sacrificer performs rites facing east.
1.8.10	May my fathers, may my grandfathers, may my great-grandfathers purify me. He offers three water-libations in a single vessel.
1.8.11	Or he sprinkles three times from the right.
1.8.12	The Vājasaneyins prescribe three water-bowls.
1.9.1	Having placed the left knee on the ground, with the right hand stretched out, he gives the balls of rice, reciting the verse, "This is thy share, and those who follow thee."
1.9.2	The fourth one silently.
1.9.3	He gives the balls of cooked and uncooked rice.
1.9.4	Or to the great-grandfather and others.
1.9.5	The balls of rice are taken away by those who have not been invited.
1.9.6	If one does not know the names of the relatives, he should offer the first ball with the words, "Svāhā to the Pitrs who are in the earth." The second with the words, “Svāhā to those who are in the sky." The third with the words, "Svāhā to them who are in heaven."
1.9.7	If there are two fathers, one should indicate two each in each ball.
1.9.8	If the father of the living does not give, one should stop after performing the Homa.
1.9.9	Whatever my mother did wrong, whatever she did not follow, may my father destroy that semen. May another be born. Having stood here, saying, "To the fathers, to the fathers who have Svāhā, Svāhā! To the grandfathers, to the grandfathers who have Svāha, Svāha! To the great-grandfathers, to the great-grandfath ers who have Svāhe, Svāhā!" and having said, "May the fathers distribute their share according to their portion," he turns away.
1.9.10	He offers the Hotṛ-oblation after the Hotṛ-offering has been excluded.
1.9.11	The Pitrs, the sons of Soma, have been pleased. The Hotṛ-oblations are excluded. They return to the excluded or to the unexcluded.
1.9.12	He smells the remnant in the vessel. Those who are equal, of equal mind, the Pitrs in the kingdom of Yama, their world, Svāhā, salutations. May the sacrifice be accomplished among the gods. May the father give a hero.
1.9.13	One who is sick may eat food that is not fit to be eaten, if he desires it. But one who is not sick should not eat food that is unfit to be eaten.
1.9.14	As before, having offered three water libations in the one-pot ritual, he anoints himself with unguents and gives his garment three times, in small pieces.
1.9.15	"O grandfather! O great-grandfather!" This is the anointing.
1.9.16	Thus, the anointing is done with the mantra "O grandfather!
1.9.17	If one does not know the names, one should recite the mantra "May my father be anointed, may my grandfather be anointed, may the great-grandfather be anointed." This is the anointing. The anointing is done with this mantra.
1.10.1	"These are your garments, O Fathers. Let no other Fathers than these deprive you of them." Having cut the garments into ten pieces, he puts them down. The garment with wool is for the former age, and the one without wool for the later age.
1.10.2	"In the hot-air-filled balls, salutations to you, O Fathers, for the life-giving." He recites salutations.
1.10.3	"Our fathers have given us a house; our fathers have given us the seat." Thus he worships the Pitrs.
1.10.4	"Carrying nourishment, nectar, ghee, milk, and flowing honey, you are Svāhā. Satisfy my Pitrs." Thus he pours water.
1.10.5	"We invoke the mind." Thus he worshops with the Manasa-s.
1.10.6	"Rise up, O Fathers, ye heroes, ye who have gone the way of Yama, ye who know the ancient path. Let him give us wealth and what is good. Do ye proclaim to us the share of the Fathers in the deities." Thus he makes the Fathers rise.
1.10.7	"O Fathers, ye who have passed away, ye who are friendly." Thus he makes them pass away with the Pravahaṇī.
1.10.8	"O Prajapati, none of these belongs to thee." Thus one wearing the sacrificial thread goes to the place of the Garhapatya.
1.10.9	With the verse, "Whatever is in the sky" he attends to the Garhapatya fire.
1.10.10	He gives the middle ball to his wife with the verse, "I consume the essence of water and plants, may you hold the embryo created by the beings."
1.10.11	The wife eats it with the verse, “The fathers placed the embryo, the young one with a lotus garland, so that he may be a man here.” It is understood that the woman becomes a man.
1.10.12-13	May the prosperity of those who are born together, of the same mind, of the same life, of the same breath, of the same self, of the same soul, of the same body, of the same lineage, of the same clan, of the same family, of the same name, of the same caste, of the same Veda, of the same learning, of the same knowledge, of the same conduct, of the same sacrifice, of the same offering, of the same ritual, of the same rite, of the same faith, of the same devotion, of the same worship, of the same deity, of the same heaven, of the same world, of the same destiny, of the same goal, of the same path, of the same destination, of the same abode, of the same place, of the same time, of the same age, of the same birth, of the same death, of the same good, of the same evil, of the same happiness, of the same sorrow, of the same joy, of the same grief, of the same hope, of the same fear, of the same desire, of the same hatred, of the same love, of the same anger, of the same affection, of the same enmity, of the same friendship, of the same enemy, of the same friend, of the same wealth, of the same poverty, of the
1.10.14	The one who was our messenger, the one who knows the oblation, having made the fragrant offerings, gave them to the fathers. They ate with their own share. O Agni, knowing, come back again. Having thrown the single-wick lamp and sprinkled the vessels, he recites the Dvanda verses.
1.10.15	The Piṇḍapitṛyajña comes to an end.
1.10.16	He should offer water or give it to a Brāhmaṇa.
1.10.17	This is the procedure for one who has not kindled the fire.
1.10.18	The offering of oblations is the duty of cooking in the Upavasana rite.
1.10.19	One should offer it in the Atipraṇīta rite.
1.10.20	One who offers it should stand near it.
1.10.21	In that case, the word "Gārhapatya" would be omitted due to the prohibition of consecration.
1.11.1	On the night of the new moon, the sacrificer himself offers the Agnihotra oblation of barley-gruel. He keeps aside the remnant of the Agnihotra for the purpose of sprinkling.
1.11.2	The young boys do not get milk on this night.
1.11.3	After offering the evening Agnihotra, he milks the evening milking.
1.11.4	Having spread the fires, having washed the vessels for the Saṁnāyya oblation, having spread darbha-grass to the north of the Garhapatya fire, he places the pair of fire-sticks.
1.11.5	A pot, a twig, a ladle, a vessel for keeping the milk, a wooden vessel, a milking pot, an iron vessel or a wooden vessel for keeping the fire-sticks, a fire-stick for the Agnihotra oblation, and a seat.
1.11.6	He makes two Darbha-blades, not cut at the tip, of the size of a span, as the purifying (blades).
1.11.7	"Standing as the purifying (Darbha-blades), the wind of Vishnu may purify you with the mind." Having covered the grass or wood, he cuts it.
1.11.8	Not with a nail.
1.11.9	Having wiped them with water, saying, "May you be purified by Vishnu's mind," he brings the sprinkling water from the Agnihotra ladle covered with the filter, and sprinkles with the filter held above the head, saying, "The god Savitar purifies you" for the first time, "With the flawless filter" for the second time, "With rays of the shining Vasu" for the third time.
1.11.10	Having recited the verse, "The divine waters are in front of us", he turns the vessels upside down and sprinkles them thrice with the verse, "Purify for the divine rite". He places them in a known purifying vessel with the verse, "The divine waters are pure. Purify the vessels for the rite of Upatankya. Purify the leaves and bark of the gods with the rays of the sun that are purified by Savitar. All the vessels are purified with the rope of the purifying cow." Having sprinkled them while reciting this verse, they move around. The cows are giving milk, full of honey, having offspring, of various forms, and many are being born. May Indra delight in the cows here." The sacrificer awaits the approaching cows.
1.12.1	Having heated the Rākṣasa and the evil-wisher, having heated the Saṁnāyya vessels on the Garhapatya, taking up the Upavesha with the formula, "Thou art Dhṛṣṭi, thou art the Brahman, thou art the protector," having placed the embers from the Garhapatyā towards the north, with the formula, "The army is firm, the fear is firm, the army is firm, thou art the destroyer of enemies," he places the pot on them with the formula, “Thou art the heat of Matarisvan.”
1.12.2	For the non-slipping of the sacrifice, I place the two supports. May they hold the cooked food offered to Indra, as it is brought by the animals.
1.12.3	"Heat yourself with the heat of the Bhrigus and Angiras. Having surrounded it with embers in a clockwise direction, he places the twig-filter on it, with the words, "You are the filter of the Vasus." The twig-filter is placed with the tip towards the east."
1.12.4	Towards the north, in the morning.
1.12.5	He restrains his speech from the time he begins to fill the pot.
1.12.6	He remains holding the purifying (grass).
1.12.7	He takes up the ladle, saying, "Thou art the ladle of Aditi."
1.12.8	The sacrificer recites over the ladle being taken up, "Thou art of thirty-three threads, thou art taken with the purifying (grass), this is the auspicious rope, may it be used by the non-slayer."
1.12.9	He puts the calf to the cow with the formula, "May Pūṣan put you together."
1.12.10	He instructs with the formula, “May you be instructed by me.”
1.12.11	He invites with the formula, "I am inviting. May I be united with you without consumption. May you be united with me without consumption. May I be joined with you without consumption." He puts the calf together with the cow with the verse, "May you be united with my progeny, with prosperity and abundance."
1.12.12	He instructs, "Do not move between the cow and the calf."
1.12.13	If he were to go away after having approached her, he should say, "May the Saṁnāyya not be lost."
1.12.14	He invites her, saying, "I am approaching." "May your progeny be free from consumption. May you be prosperous with plenty. May you be nourished with energy, milk, ghee, and life. May you live with life. May you be approached with the gift of life." The milker approaches.
1.12.15	A Śūdra should not milk.
1.12.16	One should milk in a wooden vessel.
1.12.17	The sacrificer recites the formula, "May you be free from consumption; I unite you with progeny." (He recites) while the cow is being milked. "May heaven and earth unite this sacrifice; may the creator with Soma, with wind, may Vayu bestow wealth on the sacrificer." (He recitess) while the cow being milked.
1.13.1	They milk the Utsa, the four-holed pot, the goddess Idā, the sweet one, the giver of wealth. May Indra and Agni stimulate it for truth, may they place the sacrificer in immortality. Thus is the sound of the stream.
1.13.2	Having milked, he carries it.
1.13.3	He asks, "Whom did you milk? Tell me. The oblation for Indra, the strength."
1.13.4	He points to her with the words, "This is she in whom the milk of gods and men is placed." She replies, "It is so."
1.13.5	He recites the verse, "She is the life of the universe."
1.13.6	He pours the water through the strainer into the pot with the verse, "May god Savitar purify you with the strainer of Vasu, with a hundred streams, with good purification."
1.13.7	He reciter the verses, "The oblation is the drop, the oblation is the particle," for the drops.
1.13.8	Thus he milks the second and the third time.
1.13.9	He recites the second verse as "She is the all-pervading" and the third verse as "She performs all tasks".
1.13.10	Having milked three times, may the milk for the gods, the lords of milk, increase again. May it be for the calves and men to be milked again. Having uttered the formula three times, he should not repeat it. Having milked the remaining cows silently, having brought the milk to the milking place, they should mix it together. Having brought the rinsing water from the pot, he causes it to flow down, making it well-mixed.
1.13.11	"Firm the cow, firm the cow-lord, may not the lord of sacrifice injure you." Having made the path, he sends forth towards the east. Towards the north or towards the east and north.
1.13.12	For one, two, or three days before the Upavasatha day, having milked for the purpose of churning, they continuously milk for the Upavastha day.
1.13.13	With that he churns the cold butter.
1.13.14	With Soma I anoint thee, for Indra. With curd.
1.13.15	Thou art the continuity of the sacrifice. I anoint thee according to the continuity of the sacrificial rite. Having placed the remnant of the Agnihotra offering in the ladle, he says, "May this milk, having become Soma, go to its own place." He places the leaf-stalk, the Soma strainer, which is for Soma, for Soma is made from Soma. He places the piece of the strainer.
1.14.1	The herbs, the pure grains, the husks, the rice grains, and the leaves are the options for the covering.
1.14.2	In the absence of leftovers, one should cover with rice grains. In the absence of rice grains, one should cover it with herbs.
1.14.3	"O waters, be awake in the oblations, as you are awake in the gods. Thus be awake in this sacrifice for the sacrificer who is awake." Having brought it in a vessel of iron or wood, he places it with the formula, "Thou art the setting sun. I place thee in Vishnu, in the sacrifice. With the waters that have been purified and are flowing around, he places it. The vessel of the gods is made of nectar. May it be employed in the life of the sacrifice. The waters have been brought beyond the strainer. May they be held by me." The sacrificer mutters.
1.14.4-6	If he were to put it in an earthen pot, he should pierce the grass or wood with a stick. "He puts it down with the verse, "O Vishnu, protect the oblation." " "He puts down the two leaves and darbha grass, which are the purifiers of the oblation of the gods, with the verse, "Protect the oblation of Vishnu, O protector, for the morning meal." " He puts down the known branch purifier.
1.14.7	With that same branch, he drives away the calves with darbha-grass, as in the evening milking, for the morning milking.
1.14.8	Having placed the potsherds, he milks the morning milking, as in the afternoon milking. The covering, the covering, and the storing are also stopped. One who is not a Soma-sacrificer should not join, or should join.
1.14.9	One whose prosperity has not come should not sacrifice to Mahendra. It has been said that there are three whose prosperity has not yet come.
1.14.10	Aurva, Gautama, Bharadvaja, and others, after Soma-sacrifice, worshipped the great Indra.
1.14.11	Or whoever.
1.14.12	Then he orders, "Spread, arrange the fire, the arranged fire may bless the sacrificer. The juice of water and plants, these golden coins may be the wish-yielding cows of the sacrificer, here and in the other world."
1.14.13	Some people recite this as the Paristaraṇī (mantra).
1.14.14	One strews the fires with Darbha grass with their tips towards the north and the east.
1.14.15	The tips of the Darbha grass should be towards the north and then towards the east.
1.14.16	Having done this, one observes fast.
1.14.17	The placing of fire, the taking away of the calf, the kindling wood, the sacrificial grass, the Veda, the altar, the enclosing sticks, having made the plastering of the ground on the next day, one should take up the northern enclosing sticks and the covering of the ground. On the previous day of the new moon or full moon, one should perform the placing of fire, covering of the ground, and fasting.
1.14.18	Or, everything is done on the same day if it is the time for the new moon.
1.15.1	When the sun has risen, he commences the rite of the full moon before sunrise.
1.15.2	There are four priests.
1.15.3	If the fires have not been strewn, he strews them as before.
1.15.4	"May I be able to perform the rite for you, O gods." Having rubbed his hands, he spreads the grass of the continuity of the sacrifice, saying, "You are the continuity of the continuity of sacrifice. I spread you for the continuity of the sacrificial continuity." Having moved away from the Garhapatya, he spreads the continuous grass of the Ulaparaji towards the Dakshina, silently, towards the north.
1.15.5	He places the seats of the Brahman and the sacrificer to the right of the Ahavaniya, first for the Brahman and then for the sacrificer.
1.15.6	Having spread Darbha grass to the north of the Garhapatya and the Ahavaniya fires, he places the utensils in pairs, ten in the front and ten in the back.
1.15.7	The ladle, the spoon, the Upabhṛt, the Dhruva, the Veda, the vessel, the vessel for keeping clarified butter, the vessel for taking the Prasitra, the vessel for the Idā, the vessel for carrying the Prāṇīta, and the vessel for carrying Prāṇītas are the eastern ones.
1.15.8	The remaining ones are the northern ones.
1.15.9	The Anvāhāryāśān, the stone, the Upaveṣa, and the vessels for milking in the morning.
1.15.10	The offering of the Prāṇīta-cup is performed before the offering of the cups. Some recite the following verse: The ladle is made of Khadira wood, the Juhu of leaves, the Upamudra of Ashvattha wood, the Dhruva of Vaikankata wood.
1.15.11	One should make the ladle of any one of these woods.
1.15.12	They are of the length of the arm or of the span, with their tips turned upwards, without holes, and resembling the chief of swans.
1.15.13	The wooden ladle, the wooden pestle, and the wooden spoon are made of Khadira wood.
1.15.14	The wooden implements for the Homa are made of Palasa wood.
1.16.1	Here, as before, one makes the filter. If one does not add it,
1.16.2	then one adds it according to one's ability.
1.16.3	"He washes the vessel with water, saying, "Thou art of the wood, be purified for the gods." "He places the vessel with the strainer on the other side of the Garhapatya, saying, ">Who among you will take? May he take for you. For whom among you shall I take? For him I shall take for you. To the nourishing one." "He brings it down with water.
1.16.4	While taking water, he mentally contemplates the earth.
1.16.5	Having filled the Upabilla vessel and having sprinkled it like the Prokṣaṇī vessel, he recites the mantra and says, "O Brahman, I am offering water. The sacrificer should restrain speech."
1.16.6	In all cases, the offering is mentioned.
1.16.7	While the water is being offered, the Adhvaryu and the sacrificer restrain their speech.
1.16.8-9	Who loves you, may he love you. The goddesses, the loving ones, may they unite us with the sacrifice. The ones who are drunk with joy, with backs anointed with ghee, the ones who are flowing down to the thousand-fold nourishment of the sacrificer, the ones who flow together with the breath, holding with the wooden sword, pouring without spilling, he carries. He meditates on the earth with his mind.
1.16.10	"Who yokes you? May he yoke you!" He places them on the darbha grass, not touching the northern side of the Ahavaniya fire.
1.16.11	They do not bend or sway, covered with darbha grass until they stand still.
1.16.12	"May the divine hosts be seated." Having touched the vessels with the purifying hand, he says,
1.17.1	"He takes up the Agnihotra ladle with the formula, "For the right (of the sacrificer) thee, O wood-born one." " He takes up the winnowing basket with the formula, "For the winnowing (of the grains) thee." "
1.17.2	He bakes the oblation on the Ahavaniya or Garhapatya fire with the formula, "The Rakshas is repelled, the evil spirits are repelled." " He announces, "I shall offer the oblation for the sacrificer." "
1.17.3	When he is about to depart, he says, "O Agni, I shall offer the oblations." "
1.17.4	"May the sky be above." He proceeds towards the cart.
1.17.5	To the south of the Garhapatya, the cart is placed with its yoke facing east or north, loaded with grains or barley.
1.17.6	"Thou art the axle." He touches the southern yoke or the northern one.
1.17.7	"Thou art the most brilliant of the gods." Having taken the northern end, he mutters.
1.17.8	"May Vishnu press thee." Having placed the left foot on the right, he ascends, saying, "Thou art the unerring Havirdhana."
1.17.9	"For the wide space." Having covered the end, he looks at the Puronuvakya-s, saying, "May I look at thee with the eye of Mitra.
1.17.10	The Rakshas is removed, the evil-doer is removed. Whatever is left over from the oblations, that is removed. Having recited the verse, "May the milk be in me for your nourishment," and having explained the Dashahotra, he places the oblations in the ladle after placing the Pavitra in the ladle, and offers the oblations with the Agnihotra ladle. With that Pavitra.
1.17.11	Rice or barley.
1.17.12	Taking up the five-fold handful, he pours the handful into the ladle, reciting "For the god thee" and then thrice with the Yajus, silently the fourth time.
1.18.1	Thus the subsequent offerings are made according to the deity. At the full moon, "to Agni and Soma" and at the new moon, "to Indra and Agni".
1.18.2	Having placed four handfuls, having placed them, he touches the placed ones with this (verse), "This is of the gods." He touches the remaining ones with this (mantra), "This is for us together."
1.18.3	Having touched the placed ones with "For thee, O Sphyati, for thee, O Narati," having gone out with "This I am released from Varuna's noose," he looks towards the east with "May I proclaim heaven."
1.18.4	"May it be well-known." He looks around the entire dwelling. "He says, 'The fire of all quarters.' He says, 'The light of all quarters.' 'The fire of the house.' 'The light of the house.' He says, "Svāhā to heaven and earth." Having recited the mantra over the scattered (fire), he says, "May the heaven and earth be firm." Having descended, he says, "Do you carry (the fire) along the sky."
1.18.5	"He places it on the seat of Aditi" (with the formula), "I place thee on the seat of aditi." He places it near the Garhapatya according to the deity.
1.18.6	If he cooks in the Ahavaniya, then he cooks in the Garhapaty.
1.18.7	If he were to pour out in a vessel, then having placed the wooden sword towards the south, he should recite all the formulas of the cart in that (vessel).
1.19.1	Having brought the Agnihotra-vessel with the fire, having heated it as before, having recited the mantra, having addressed the Brahman with the words "I shall sprinkle", having recited the Anudruta verse "For the god thee", having sprinkled the oblation three times according to the deity with the words "For Agni I sprinkle what is agreeable", one should not sprinkle the fire.
1.19.2	One should sprinkle on the one whom one hates.
