1.1.1	Now we shall explain the application of the rules of this Veda.
1.3.2	The highest is the first.
1.3.3	The priests of the king are the priests of the city.
1.3.4	Or the royal sages are the kings.
1.3.5	There is doubt about all of them being human.
1.3.6	The Agni who is kindled by the gods, praised by the sages, delighted by the Brahmanas, praised by the poets, sharpened by the Brahmanas (is invited). He who is offered with ghee, the leader of sacrifices, the charioteer of rites, the inviolate Hotri, the swift, the bearer of oblations, the vessel of resolutions, the ladle of the gods, the goblet of the gods, like a friend, Agni, the rim, thou carriest the gods around. Thou art the protector of this. Thou bringest the gods to the sacrificer. Having approached the deity with the second case, he says, "Bring the directions, bring the directions." He invites, flooding the beginning.
1.3.7	The first deity is invoked with the formula, "O Agni, do thou bring."
1.3.8	The two Ajyabhaga offerings are made with the formulas, "Agni and Soma."
1.3.9	At the Full-Moon sacrifice the offerings are made with "Agni and Agni-Soma."
1.3.10	At the New-Moon sacrifice the deities are invoked with the formulas, “Indra and Agni” and “Agni-Soma.”
1.3.11	One invokes either Indra or Mahendra.
1.3.12	The Aitareyins invoke Vishnu between the two oblations.
1.3.13	The Agniṣomīya (animal) is offered on the full-moon day, the Viṣṇu (animal) on the new-moon day. Some offer one, others offer none.
1.3.14	For other Upāṃśus, "Do thou bring, Svāhā, to the dear abodes, this oblation, the greater" (is recited) loudly.
1.3.15	Those who are mentioned elsewhere, indirectly, they are offered loudly, or silently.
1.3.16	Silently, directly.
1.3.17	The invitation is the offering.
1.3.18	All (the verses) should be recited once, after having been duly selected.
1.3.19	In the other collections of hymns, one should recite them as if they were one.
1.3.20	(The verses) should be of the same deity and of the same purpose.
1.3.21	(The recitation) should be uninterrupted in the collections of hymns.
1.3.22	Having invoked the deities of the Oḍas, Āvāpikās, Ājyapas, Agni, Hotr, his own greatness, Jātavedas, and Sujaya, he should sit with knees raised, arranging the grass on the ground towards the east, and perform the Pradeśa rite, saying, "May Aditi, the mother, not injure me. With Agni as the deity, the Trivṛt Stoma, the Rathantara Sāman, the Gāyatrī metre, the Agniṣṭoma sacrifice, the Vasatkara, and the thunderbolt, I strike him who hates us and whom we hate."
1.3.23	He should address the one who is about to announce, "Announce the sacrifice to the gods, announce me to men for fame, for glory, for radiance." The one who is being chosen, "O god Savitar, he chooses you as the Hotri, Agni with his father Vaishvānara, may heaven and earth protect me, Agni is the Hotri, I am the human." Having heard the Adhvaryu say "human," he should rise with his own life, with the life of the plants, with the juice of the plants, rising with the abodes of Parjanya, following the immortals. He should rise.
1.3.24	Sixty are the Adhvaryu's, ninety are the Pāśas, the Hotar Agni has been separated in between. The one who knows the cooking well comes forth. Having risen,
1.3.25	"One should follow the Adhvaryus with the words, "I follow the path of truth, O Hotar." Having advanced, one should follow the Adhvayu with the left hand placed on the shoulder,
1.3.26	or with the left hand on the side, or with the left hand at the elbow."
1.3.27	We invoke Indra, the priest, the chief priest, by whom the gods, the Angiras, went to the highest heaven.
1.3.28	One should rub one's face three times towards oneself with the Sammārga grass, saying, "You are the Sammārgas, may you be favourable to me with offspring and cattle."
1.3.29	Once with a mantra, twice silently. This is the procedure in all cases of repetition of rites.
1.3.30	Having touched water, he should recite the mantra over the Hotr's seat: "Standing here, O Dadhiṣāvy, may you sit in his abode, whoever is more worthy of our cooking."
1.3.31	With the thumb and little finger, he should remove the grass from the Hotr's seat towards the south, saying, "The removed one is Parāvasu." He should sit down, saying, "I sit in the seat of Arvāvasu," on the seat with the right and left thighs.
1.3.32	These are the rules for removing and sitting down. They apply to all seats, and to all people, even at the first sitting of the day.
1.3.33	Gautama says twice.
1.4.1	When the Brahmana is about to eat the Brahmana-food, at the Agni-adhyaya.
1.4.2	Returning from the Bahispavamana, at the Soma.
1.4.3	The Hotri proceeds.
1.4.4	At the pouring of the ladle in the animal sacrifice.
1.4.5	Not at the Patnisamyajika.
1.4.6	Other than the Hotri, says Kautsya.
1.4.7	Sitting down, "I sit down to thee, O divine altar, for thy own sake."
1.4.8	"For the Hotr indeed is the most prominent one among those who sit on the sacrificial grass." Having touched the sacrificial grass with the head bent down, he should recite the verse thereafter.
1.4.9	Obeisance to the Lord of the Earth, obeisance to the Lord, obeisance to Him who is the Lord of beings, obeisance to him who is the Lord. I resort to Prāṇa, Apāna, Vyāna, Vāc, Cakṣus, Śrotra, Manas, Ātman, Gāyatrī, Tristubh, Jagatī, Anushtubh, Chandaḥs, Sūrya, the protector from heaven, obeisance to those who are great, obeisance to children. All the gods have instructed me. May the Hotṛ, the most learned one, be seated here. This is the first speech of the day. Having completed this, the blazing fire should be placed in the two ladles with the recitation of the Nigada mantra.
1.4.10	Let Agni, the Hotar, be the Hotar of Agni. Let the Praitr be the Praitr. The deity to whom you offer is good. He who knows Agni as the Hotar, he is not deceived.
1.4.11	Then he should conclude with the ladle containing ghee, saying, "O Adhvaryu, let us have the divine and universal-ruling one. We invoke the gods. We invoke other gods. We honour those who are worthy of honour. We offer to those who are worthy to be offered to."
1.4.12	At the end of this recitation, the Adhvaryu announces.
1.4.13	The Agnidhra, standing at the place of the heap of wood, taking the wooden sword and the bundles of wood, and facing south, should announce. The Satyayana says that one should pronounce the word "srausat" while pouring water.
1.5.1	They perform with the Prayajas.
1.5.2	These are five in number.
1.5.3	Each one of them is sent to perform the sacrifice.
1.5.4	The Yagya-s are performed in the order of the Yagya-s, excluding the Anuyaga-s.
1.5.5	The Yagyas begin with "Ye yajamahe" and end with "Vasat".
1.5.6	The Yagya is performed louder than the Anuyaga.
1.5.7	The Yagyopavita is worn by the Adhvaryu.
1.5.8	The Yagyos are performed till the end.
1.5.9	If the last syllable of the Yagya is not a vowel, then the Yagya is performed with the last syllable as a vowel.
1.5.10	The word to be dismissed is one that ends in a consonant other than a nasal.
1.5.11	The other is the word to be dismissed.
1.5.12	The word to be dismissed ends in a nasal.
1.5.13	It is the first that takes the third.
1.5.14	Always with the letter ma.
1.5.15	We offer oblations, the oblations, O Agni, may the oblations be consumed. Vashat! Thus is the Vashat-call.
1.5.16	Thus is the first.
1.5.17	The Adhvaryu recites the Vasat-call, saying "Ojas is speech, Ojas is in me, Prāṇa and Apāna." He recites the Vasatkāra after every recitation.
1.5.18	The Vasat-call is the fame of the day.
1.5.19	So is the recitation.
1.5.20	This is the indication of the Yajya.
1.5.21	"Tanūnapāt Agni, do thou partake of the ghee," is the second (verse), except for Vasishtha, Shunaka, Trivṛt, Ashva, and Rajanya.
1.5.22	"O Agni, may I partake of the ghee." This is the first verse.
1.5.23	"O Agni, may the Idas partake of the ghee" is the third verse.
1.5.24	"May Agni partake of the ghee outside" is the fourth verse. Having recited the fifth verse, "Svāhā to this, svāhā to that," following the sequence as prescribed, and having recited the verses not prescribed in the sequence, "Svāha to the gods who partake of ghee," "O Agni, let the Idas partake..."
1.5.25	Therefore, with the Mandre.
1.5.26	And above, from the Samyuvakā.
1.5.27	With the Madhyame, the Havis up to the Sviṣṭakṛt.
1.5.28	With the Uttama, the remainder.
1.5.29	"Agni has destroyed the foes" is the Anuvakya of the eastern portion of clarified butter. "Thou art Soma, the lord of truth" is the Anuvaakya of the northern portion. "May Agni, accepting, partake of the clarified butter" is the Yajya of the eastern part. "May Soma, accepting, partake, of the clarified butter, the oblation" is the Yaja of the northern part. He offers them at the same time.
1.5.30	All the Anuvakyas are without the call. The others are without the response.
1.5.31	and those which are between the Sāumikī and the Vaiśvānara offerings to the wife.
1.5.32	These two are the Vārtraghna offerings at the Full-moon sacrifice.
1.5.33	The difference in the names of the Anuvākyās and the Liṅgas is due to the difference in the names. There is a discussion on this.
1.5.34	In the Nitya-yājyā.
1.5.35	The two verses ending with "Vridhanvan" are recited at the new moon. Agni is praised with the ancient hymn. We praise you with songs, O Soma. This is the recitation of the speech.
1.5.36	Between the Yajya and Anuvakya, the recitation of the Nigada, the chanting of the Shashtra, and the recitation of the Mantras, one should begin and complete the practice.
1.5.37	Other than the means of performing the sacrifice.
1.5.38	One should recite "May the gods protect us from danger."
1.5.39	Or any other Viṣṇu-form.
1.6.1	The deities have been mentioned. The Yajya and Anu-yajya mantras are: "Agni is the head of the earth, this Agni is a thousandfold." "Vishnu, the knower, has traversed the earth three times." "This Agni, the knower of the truth, has come to this earth." "O Agni and Soma, you two, with the truth, have come to this." "These shining ones in the sky." "O Indra and Agni, with the verses, the sage, desiring to attain the truth, has approached." "O Indra, you have conquered the enemy, the great one, with your strength." "O Indra who is called by many, you have conquered." "O Indra you are great by means of Brahman." If there is an Upamshu-yaja offering to Agni and Soma, the mantras are: "O Agni and Soma! Today, the one who was born from the womb of the sky, was brought by the one who bestows rain."
1.6.2	Then, having recited the Anuvākyā "O Agni, Svishtakṛt, may you delight the gods, the most powerful, the most excellent,"
1.6.3	one should recite the following: "We invoke Agni, the Svishtakṛta, the most excellent. Having said 'Agni,' one should then address the deity in the sixth case and recite 'the most excellent, the most excellent.'
1.6.4	In this way, the subsequent verses should be recited. However, before them, one should recite 'the most, the most.'
1.6.5-6	Having recited the Anushtubh verses of the Agni-sutra, he recites the verses of the Agnihotra. The verses of the Agnihotri priest are recited. The verses of Agni are recited. The Agnihotra verses are recited. The verse of the Agnihotra is recited. The verse for the Agnihotra is being recited. The verse is being recited. Translation: Having recited the Anushthubh verses of the Agnisutra, he recitess the verses of the Agnicayana. The verses of Agnicayana are recited. The Agnicayana verses are recited. Agnicayana verses. The Agnicayani verses are recited. Agnihotri verses. The Agnihotri verses are recited. Verses of the Agnihotra. The Agnihotra verses are recited. Verse of the Agnihotram. The verse of Agnihotram is being recited. Verse is being recited.
1.7.1-2	Having drawn the Prāṇāyāma, he should offer the Prāṇāhuti. Having drawn the Prāṇa-control, he should offer Prāṇāhutis. Having drawn Prāṇāyama, he should offer Pranahuti. Having controlled the Prāṇa, he should offer Prana-hutis.  Having controlled the Prāṇas, he should offer Praṇāhuti. Having controlled the Prānās, he should offer Pronahuti.  Having controlled Prāṇā, he should offer Proṇāhuti. Translation: Having drawn the Prānāyāma, one should offer the Prānāhutis. Having controlled the Pranas, one should offer Prānāhuti. Having drawn the Pränāyāma, one should offer Prānāhuties. Having controlled the Prana, one should offer Pranahutes. Having controlled the Praņas, one should offer Praṇahutes. Having drawn the Pranayāma, one should offer Pranahutes. Translation: Having controlled the Pränas, one should control the Pränas and offer Pranahutes.
1.7.3	Having touched the water, he should take it in a cup, and having placed it in his left hand, he should then place his left hand with the fingers pointing towards the north, and should make the cup with the fingers pointing downwards.
1.7.4	Between the thumb and the fingers, he should take the second one himself.
1.7.5	Having regained it, he should grasp it with the thumb and withdraw it.
1.7.6	Having made the fingers into a fist, and having taken hold of the Ida on the right side, which is equal to the mouth, or equal to the breath, one invokes.
1.7.7	May Ida, invoked, be worshipped with the bright heaven and with Aditya. May Ida be invoked, with the heaven and with Aditya, with the bright heaven. May Ida be worshipped with the wind and with the heaven and Vāmadevya. May Ida be called with the heaven and the wind and Vāma devya. May Ida, invoked with the wind and Vamadevya, be worshipped with Agni and the heaven and Rāthantara. May Ida be praised with Agni and the sky and Rāthantara. May Ida, praised with Agni and Rāth antara, be worshipped with heaven and earth and Rāthantra. May Ida be prayed with heaven and earth, and Rāthāntara. May Ida be invited with heaven and earth. May Ida be honoured with heaven and earth.. May Ida be worshipped. May Ida be saluted. May Ida be bowed to. May Ida be adored. May Ida be revered. May Ida be venerated. May Ida be glorified. May Ida be blessed. May Ida be pleased. May Ida be satisfied. May Ida be delighted. May Ida be happy. May Ida be joyful. May Ida be auspicious. May Ida be propitious. May Ida be gracious. May Ida be kind. May Ida be benign. May Ida be benevolent. May Ida be favourable. May Ida be friendly. May Ida be loved. May Ida be beloved. May Ida be dear. May Ida be adorable. May Ida be worthy of worship. May Ida be the best. May Ida be supreme. May Ida be excellent. May Ida be perfect. May Ida be pure. May Ida be spotless. May Ida be stainless. May Ida be without blemish. May Ida be free from sin. May Ida be sinless. May Ida be faultless. May Ida have no faults. May Ida be blameless. May Ida not be blamed. May Ida be beyond blame. May Ida be above blame. May Ida not have to be blamed. May I be worshipped by Ida. May Ida be my friend. May Ida be mine. May Ida be for me. May Ida be with me. May Ida belong to me. May Ida not leave me. May Ida never leave me. May I not be separated from Ida. May Ida not abandon me. May Ida protect me. May Ida guard me. May Ida shelter me. May Ida cover me. May Ida keep me safe. May Ida keep safe. May Ida be safe. May Ida not perish. May Ida not die. May Ida not pass away. May Ida not depart. May Ida not go away. May Ida be immortal. May Ida be deathless. May Ida be undying. May Ida be imperishable. May Ida be indestructible. May Ida be invincible. May Ida be unassailable. May Ida be unconquerable. May Ida be invulnerable. May Ida be unharmed. May Ida be untroubled. May Ida be undisturbed. May Ida be tranquil. May Ida be peaceful. May Ida be at peace. May Ida be in peace. May Ida not suffer. May Ida not grieve. May Ida not sorrow. May Ida not lament. May Ida not mourn. May Ida not weep. May Ida not cry. May Ida not shed tears. May Ida not feel pain. May Ida not experience pain. May Ida be painless. May Ida be pain-free. May Ida be exempt from pain. May Ida have nothing to do with pain. May Ida know no pain. May Ida never know pain. May Ida's pain be removed. May Ida'S pain be destroyed. May Ida' s pain be annihilated. May Ida' S pain be eradicated. May Ida' $ pain be eliminated. May Ida' pain be abolished. May Ida' 's pain be abolished. Translation: May Ida, invoked together with the heaven and Aditya, be worshipped. May the heaven and Aditya be invoked together with Ida. May Ida, together with the heaven, Aditya, and the wind, be worshipped. The heaven, Aditya, the wind, and Vāma Devya be invoked together with the wind. May Ida, the rain, be worshipped together with heaven and earth... May Ida be worshipped together with the heaven. May Ida, worshipped, be worshipped. Ida, invoked, may be worshipped. May I be honoured by Ida. May I be praised by Ida. May the heaven, earth, and Ida be worshipped. The sky, earth, and heaven be worshipped. The wind, heaven, and earth be worshipped. The earth, heaven, and wind be worshipped. The sun, heaven, and sky be worshipped. The moon, heaven, and sun be worshipped. The stars, heaven, and moon be worshipped. The gods, heaven, and stars be worshipped. The sages, heaven, and gods be worshipped. The Rishis, heaven, and sages be worshipped. The Vedas, heaven, and Rishis be worshipped. The Veda, heaven, and Vedas be worshipped. The sacrifice, heaven, and Veda be worshipped. The sacrificial rites, heaven, and sacrifice be worshipped. The oblations, heaven, and sacrificial rites be worshipped. The offerings, heaven, and oblations be worshipped. The fire, heaven, and offerings be worshipped. The Agnihotra, heaven, and fire be worshipped. The Soma, heaven, and Agnihotra be worshipped. The Somas, heaven, and Soma be worshipped. The Gomas, heaven, the Soma, and the Somas be worshipped. The Brahmanas, heaven, and Gomas be worshipped. Heaven, earth, and the Brahmanas be worshipped. The Brahman, heaven, and Brahmanas be worshipped.
1.7.8	Having invoked, he should eat the Upāṃśu portion. "O goddess, accept our share. Increase the cattle. You are the ruler of prosperity. Grant us that. Give us that. We have eaten your share. Of all the beings, of all the bodies, of all the heroes, of all the men, of all the males."
1.8.1	Having purified himself, they perform the Anuyājas.
1.8.2	Having covered the cup with the Paristaraṇa, he sprinkles water over it. That is the Marjana.
1.8.3	The Anuyājas are the Devas.
1.8.4	The Vītavatpadas are the last.
1.8.5	There are three.
1.8.6	He offers each one separately.
1.8.7	The god Barhi, the god Narāśaṃsa, the god Agni Svishtakṛt, the wise, the gentle, the true, the one who knows no deceit, the Hotṛ, the Hotṛ of the Hotṛ, he who knows, O Agni, the gods whom you have invited, whom you have invited to come, they have been pleased with your Hotṛ-ship. The Hotṛ-ship which is yours, which leads to the gods, we have offered in heaven to the gods. May Agni Svishtakrit be the Hotṛ, O Agni, in the forest of wealth, for the one who has wealth. "Recite the invocation of praise, saying, "May there be no end."
1.9.1	The two heaven and earth, sent by the reciter of the Sūkta, have been auspicious. May the reciter of Sūkta and the reciter of Namas prosper. May the reciters of Sūkta prosper. O Agni, you are the reciter of sūktas. May the two heaven and earth be present at this sacrifice for the sacrificer. May the two be present. May the two, the heaven and earth, be present. May they be present. May heaven and earth be here. May they be here. May heaven and Earth be here. May the two Heaven and Earth be here, the two Heaven and earth, the two Heaven, the two Heaven. May the two Earth and Heaven be here. May Heaven and Earth be present. May Heaven and earth be present. May those two Heaven and Earth, the two Heaven-and-Earth, the two Heavenand-Earth, be present. The two Heaven and Earth are present. May the heaven and earth be together. May the heaven be together. May heaven and heaven be together. The heaven is together. May heaven be together. Heaven is together. May the two heavens be together. May Heaven and Heaven be together. May those two heavens be together, the two heavens, the two heavens. May the two earths be together. May earth be together. Earth is together. May earth and earth be together.
1.9.2	Thus the others.
1.9.3	The unoffered is offered, as it is in reality.
1.9.4	The Upaṃśu has been mentioned.
1.9.5	The gods, having run to the end of the pouring, have enjoyed the clarified butter, have increased, have become greater. Those who have not offered Agnihotra have enjoyed this oblation, have increased, become greater. This sacrificer desires the life, the prosperity, the offspring, the nourishment of wealth, the heaven-going Hotr, the northern, the divine, the greater oblation-making, the divine abode, the universal love, which he desires by this oblation, may he obtain it here. May the gods grant it to him. May Agni, the god, bow down to the gods. We are human beings of Agni. May the two, the desired and the obtained, be ours. May the heaven and earth protect us from sin. May this be the way of the good. This is the salutation to the gods.
1.10.1	The Adhvaryu sends it to the Sāmavedin with the words, "I have chosen this for you, O Sāmavedins." He says this like the Anuvāka, without the Pranava.
1.10.2	The Adhvaryu gives the Veda to him.
1.10.3	He should take it with the words, “You are the Veda, the Veda is to be known.”
1.10.4	Having risen with the verse, "For life," and having sat down behind the Garhapatya, they offer Soma, Tvashtri, the wives of the gods, and Agni, the householder, with clarified butter.
1.10.5	May you grow, may you be united. May your streams be united, and may your powers be united. Tvashtar is the foremost, that is our fourth. May the wives of the gods, the diligent ones, protect us. These are the two Agni, the Hotar, the Householder, the King, the bearer of oblations, Agni, the immortal, the Father. These are the Patnisamyajas.
1.10.6	Then one desiring offspring should offer to Raka, Sinivali and Kuhu, before the householder.
1.10.7	The two verses of invocation and offering are "I offer to Raka" and "I offer to Sinivali and to Kuhu".
1.10.8	I know Kuhu, the well-spoken, the most hospitable at this sacrifice. May she grant us the hearing of the Pitrs. To her, O Goddess, we offer this oblation. Kuhu is the wife of the immortal gods. May she hear our oblation. Let her give much wealth to the one who is eager. May she bestow prosperity on the sacrificer. One should pour the clarified butter into the palm of the hand. Having invoked Ida, one should eat all of it.
1.10.9	May there be peace or not.
1.11.1	Having given the Veda to his wife, the Hotṛ or the Adhvaryu should recite: "Thou art the Veda, thou art the knowledge. Thou art the deed, thou art the instrument. Thou art the union of action. Thou art the uniting. May the Veda give the horse, the one who is full of ghee, the one who has a family, the one who nourishes wealth, the one who possesses a thousand, the one who many people depend on, the one who controls the people, the one who knows the truth. May he know the offspring, may he know the desire. For thee, O desire."
1.11.2	If he desires offspring, he should touch the navel with the tip of the Veda.
1.11.3	Then he should release the yoke, saying, "I release you from Varuna's noose."
1.11.4	Placing the noose twice the length of the Gārhapatya towards the east, he places the Veda grass above it, with the tips pointing towards the north.
1.11.5	In front, a full vessel is joined with the Veda grass.
1.11.6	Then he should recite, touching it: "You are full, may I be full. You are very full, may I become very full. You are in the assembly, may I be in the assembly. You are all, may I be all. You are the earth, may you not harm me."
1.11.7	Then he makes her recite the verse while sprinkling water from a full vessel in each direction: "The gods, the priests, may they sprinkle in the eastern direction; the months, the ancestors, may they sprinkle the southern direction; the houses, the cattle, may they sprinkle towards the west; the waters, the plants, the trees, may they sprinkle to the north; the sacrifice, the year, Prajapati, may they sprinkle upwards." Or "may they sprinkle."
1.11.8	Then, having placed his outstretched palms below the yoke, and having placed the full vessel on his left side, he should recite: "May I not injure the offspring that belongs to us. You are the one who is in the ocean. May you lead us to our own path."
1.11.9	Taking the sacrificial grass of the Vedas, shaking it, and continuously strewing it, he goes to the Ahavaniya from the Garhapatya, weaving the thread, following the light of the rays.
1.11.10	Having placed the remaining (material) to the south of the sacrificial fire, standing up, taking it with the ladle of the vessel, one should offer all the expiations with mantras ending with "svāhā", if not recited in the mantra.
1.11.11	Whatever is offered elsewhere.
1.11.12	Thus, the offerings of the unseen fire, the installation and the offerings.
1.11.13	The two verses, "O Agni, the unblamed ones, the true ones, you are the unwearied one, made by the unwearied ones, the unwearied brings the offering. Grant us healing. Svāhā. May the gods protect us from here." With two Vyāhṛtis, "Bhūr svāhā, Bhuvaḥ svāhā, Svaḥ svāha. Bhūr Bhuvaḥ Svaḥ svāhākāraḥ."
1.11.14	Having offered oblations, having worshipped with the Sthāñjapas, having emerged from the sacred place, the rules are observed.
1.11.15	"Oṃ, my voice is yours, my sacrifice is yours, and my salutations are yours. Whatever is deficient in you, to that I offer. Whatever is excessive in you, to you I offer salutations." This is the Sthānjapas.
1.11.16	Thus of the Hotṛ.
1.12.1	Now of the Brahman.
1.12.2	The sipping of water, wearing of the sacred thread, and cleanliness are performed.
1.12.3-7	The direction in which the performers of the rites proceed, that is the east. In the rites where there is no mantra, there is option between standing and sitting. One should stand in the rites where there are oblations and Vasat-utterance. One should sit in other rites.
1.12.8	Having gone around the Ahavaniya fire with all the fingers of the right hand, he should sit on the Kuśa grass to the right.
1.12.9	"Having sat down, he should recite, "Brihaspati is Brahma, he will be in the Brahma-house. O Brihaspati, protect the sacrifice."
1.12.10	This is the Brahma-japa, which is to be recited in all sacrificial rituals where one sits down near the fire."
1.12.11	Having sat down, one is protected by Ati-sarya.
1.12.12	Having heard the Brahman say, "I shall offer water," one should recite "Bhūr Bhuvah Svaḥ, Brihaspati-born," and then let go, saying "Offer." This applies to all cases.
1.12.13	The instructions are according to the ritual.
1.12.14	The Pranava is recited loudly.
1.12.15	Above the Pranava.
1.12.16	From here onwards, the speech is restrained until the offering of oblations and the sprinkling.
1.12.17	Until the sprinkling, in the case of an animal.
1.12.18	The Somas, the Gharmādis, the Atipraiṣas, and the Subrahmaṇyā are included in the Prātaranuvāka.
1.12.19	The Antaryāma is included in the Prātarānūvākya.
1.12.20	The Anusavana is included in the Harivata and the Edā.
1.12.21	The Atiśarjanas and the Vasatkara are included in the Stotras.
1.12.22	The Pavamānas are included in the Oḍṛca.
1.12.23	And whatever else is Mantric.
1.12.24	The Hotr is included in the remaining.
1.12.25	And the Āpatti is included.
1.12.26	Where the Agni is carried forward even with Soma, then the beginning of that is the silence.
1.12.27	And while going towards the south, he recites the Sūkta "Āśuḥ śīṣan"
1.12.28	The conclusion of the sitting down has been mentioned.
1.12.29	But in the carrying forward of the Soma, there is no Brahma-recitation.
1.12.30	Elsewhere, having released his speech, he speaks little, with his mind on the sacrifice.
1.12.31-33	If the mantra is interrupted or if the rite is mentioned or indicated, one should offer a ladleful of oblation. If it is from the Ṛg Veda, one should offer at the Garhapatya with "bhūr." If it is from the Yajur Veda, one should make an offering at the Dakṣiṇāgni with "bhuvaḥ." If it is the Somas, one should offer with "svar" at the Āhavanīya. If it is from all (Vedas), or if it is unknown, one should offer only at the Āhavaneya with "bhūr bhuvaḥ svar".
1.12.34	Before the Prajapa rites, he should place the embers outside the enclosing sticks with the ladle-stick, saying, "May the penance not burn, may the sacrifice not burn, may not the lord of sacrifice burn. Obeisance to you when you are stretched out, obeisance to you when stretched out, obeisances to you when you sit down."
1.12.35	"Do not injure this one, do not injure this one" - thus the Adhvaryu and the Yajamana (recite) in each direction. If the Brahmana and the Yajaman are in front, the Hotri and the Patni are on the right, the Agnidhra and the Yajman are behind, and the Brahman and the Yajmana are on the left.
1.12.36	Then he should strike him back, saying, "I have placed the sacrifice at the presence of Nirriti. I give it to the gods, knowing (this). May you be well-born, for a hundred have eaten me here. May the gods bestow protection on me."
1.12.37	He should offer it with the formula, "May the thousand-horned bull, the knower of beings, the Stoma-backed, the ghee-possessed, the well-directed one not harm us. I am offering you, the one who harms. I do not abandon you. Grant us the nourishment of cattle and the nourishment of heroes. Svāhā."
