1.1.1.1	The Upacharavidhi is the Upacharavidhana.
1.1.1.42	" "He collects the sacrificial grass, saying, "As it was cut, so I collect you, well-collected." He collects the sacrificial grass three times."
1.1.1.43	The womb of life is the Prastara.
1.1.1.44	The armor of Indra is the end. Having bound it, he encircles it clockwise with "Pusha, your knot."
1.1.1.45	"May it hold me" - he pulls it back towards the west.
1.1.1.46	The waters, the Asvins, the seven sages, the straight-going one, the grass, the banner of the dawn with the rays of the sun, thus he begins.
1.1.1.47	He begins, saying, "I raise you with Indra's arms."
1.1.1.48	He places it on the head, saying, "With Brihaspati's head I carry."
1.1.1.49	He goes, saying, "Go to the wide sky."
1.1.1.50	"I place you on the back of Aditi," he says while placing it behind the other (bricks). The Anusvara is below.
1.1.1.51	"You are the sacrificial grass leading to the gods," he says while putting it above.
1.1.1.52	He places the sacrificial grass with roots, the sacrificial grass being Palāśa, Khadira or Raudha, and the sacrificial wood of eighteen kinds, and three enclosing sticks. The largest of the sacrificial wood is placed in the middle, the longest to the south and the shortest to the north.
1.1.1.53	He places the sacrificial grass on the top.
1.1.2.1	At the new moon, when the moon is not visible, they prepare the sacrificial grass and wood, and in the afternoon they perform the Piṇḍapitṛyajña, going east or south.
1.1.2.2	Having spread the vessels in front of the southern fire, he places the purifying grass, the black antelope skin, the mortar, the pestle, the winnowing basket, the ladle, the vessel for keeping the flour, the ladle, and the wooden sword, each one to the right of the other.
1.1.2.3	Having ascended to the right of Agni, having placed the ladle with a single purifying grass, having filled the vessel, he cleans it.
1.1.2.4	The wife of the sacrificer carries the Parāpau-oblation in a black antelope skin, not distinguishing it, and makes it into a single lump.
1.1.2.5	Having placed the rice on the southern fire, having brought water and having mixed it with the strainer, having put the rice in the ladle, having cooked the rice of the living, having turned it around with the ladle, he cooks it.
1.1.2.6	Having poured ghee, either unchurned or churned, over the cooked rice, he places it to the south.
1.1.2.7	To the south of the southern fire, in three steps, in an unlimited space, having taken up the ladle once, he pours it down.
1.1.2.8	May the Asuras, in the form of fathers, who, having abandoned their forms, wander about, taking away the wealth of others and their own, may Agni drive them away from this world. Thus he drives away Agni.
1.1.2.9	He places the Uddhatam (the raised portion) on the Avakshita (the lowered portion).
1.1.2.10	Having placed the other (implements) at the root of the sacrificial grass, having thrice drawn the fire and the grass towards him, having spread the grass thrice, he spreads the grass and the fire towards him.
1.1.2.11	Having gone round thrice, he takes each one separately, namely, the ladle, the pot, the pot for the oblation, the pot for anointing, the pot for sprinkling, the pot for oil, the pot for water.
1.1.2.12	"Come, O Fathers, with the speed of mind!" thus he invites.
1.1.2.13	If the sun were near, he should approach him.
1.1.2.14	"The Fathers have come, the Fathers of Soma!" thus, sprinkling the fire three times with a pot of water, he goes around it.
1.1.2.15	Having placed it down with the verse, "O Agni, do thou be near us," and having sprinkled it three times, he goes back.
1.1.2.16	May the Fathers be purified, may the Grandfathers be purified, may great-grandfathers be purified. He offers three libations of water at the root of the sacrificial grass.
1.1.2.17	Having offered with the Soma-cup, he offers with the formula, "To Soma, the Father, salutations to Svāhā."
1.1.2.18	Having offered the second oblation in the southern half of the eastern half, without touching, with the formula, "Svāhā to Agni, the carrier of Kavya," he places the ladle on the embers and puts on the strainer and the strainer-bag.
1.1.2.19	Having taken out the Darbha-blades, he places the balls of food on them, naming them after his father, saying, "This is for you, and those who follow you. To him be svadha." The first ball is named after the grandfather, the middle one after the great-grandfather, and the last one after the great great-grandfather.
1.1.2.20	When taking the names of the two remaining balls, he smears the paste in the original place.
1.1.2.21	If the father or grandfather is alive, the offering of balls of rice is omitted. If the father is alive, one should not give to those for whom the father gives.
1.1.2.22	If the names of the relatives are not known, one recites: "May the ancestors who desire it know this." This is the third verse.
1.1.2.23	Reciting the verse: "O ancestors, may you be pleased with this offering of rice," one looks towards the southern direction.
1.1.2.24	"May we live long, having the strength of those who are our fathers." Having said this, he turns back.
1.1.2.25	He stands facing the southern fire, looking towards it.
1.1.2.26	"The Fathers have eaten the balls of food in the ashes," and turns back.
1.1.2.27	Having sprinkled the garment or a piece of wool, he places it in the place of the balls.
1.1.2.28	Having cut off the hair and beard, he should put on a garment, saying, "May my fathers not be angry with me."
1.1.2.29	He should apply the ointment of the eye-salve, saying, "Anoint me with the eye-salves." He should apply the ointment for the body, saying, "Rub me with the body-salves."
1.1.2.30-31	"May the Pitrs, may the grandfathers, may the great-grandfathers cleanse (the offerings). He offers three water-libations for each ball of rice. "The Pitrs have placed the embryo, the young boy, the garland of lotuses. As a man may be here, so do ye, O Heat-dwellers, make him." The wife should eat the middle ball of rice.
1.1.2.32	The Brāhmaṇa should place them in the fire or should eat them or should throw them into water.
1.1.2.33	Having struck the Uddhavānas, he should smell the Udakīṃ towards the north, saying, "O Vīra, give us, O Fathers."
1.1.2.34	Having touched water, he pays homage, saying, "Salutations to you, O Fathers." Here are your Fathers."
1.1.2.35	The directions are said to be these. The others are said to be ours.
1.1.2.36	"May we live here, O living ones, as long as you live."
1.1.2.37	He makes the offering with the verse, "The fathers are far away, the benign ones."
1.1.2.38	He rises with the verse, "O Prajapati, none like you."
1.1.2.39	He returns with the verse, "They have seen and enjoyed."
1.1.2.40	Reciting the verse, "O Agni, the wise one," he approaches the Garhapatya fire.
1.1.2.41	Having sprinkled the vessels, he takes them back in pairs.
1.1.2.42	Even one who has not established the sacred fire should perform this.
1.1.3.1	One makes the Veda, wrapping the calf-joint with wool, from right to left, placing a piece of gold in the wool, and wrapping it three times, binding it, going from north to south, from right to south.
1.1.3.2	Having wrapped around the gold, which is the size of a span, one takes the roots to the heap and puts down the wool.
1.1.3.3	Having made the Veda, he makes the Vedi on the previous day of the new moon from the eastern boundary.
1.1.3.4	He cuts the Palasha branches from the root and places them inside the Vedi.
1.1.3.5	He also makes a covering and places the potsherds under it.
1.1.3.6	He should let loose the darbha-grass-made sacred thread, with three strands, on the branch, without making a knot.
1.1.3.7	"These cows are grazing, giving honey, having offspring, of various forms, for fame. Many of them are being born. May Indra delight the cows here. May Mahendra delight the cows here." He recites this while following the cows.
1.1.3.8	The sacrificer offers Agnihotra-oblations at this stage. He should place the cake for Agni.
1.1.3.9	He spreads the grass around the fire and the two fires.
1.1.3.10	On the spread grass to the north of the Garhapatya fire, he places two pots, two twigs with sacrificial grass, the vessel for pouring out the milk, and the Prokṣaṇī vessel.
1.1.3.11	He makes the filter of the sacrificial grass, of the size of a span, even, with its edges uncut.
1.1.3.12	He cuts it with the formula, "You are established in the Oṣadhis, in Viṣṇu."
1.1.3.13	He smears it three times with water with the formula, “You are established in Viṣṇus mind, purified.
1.1.3.14	Having placed the water in the ladle, having stretched out the hands, having taken it with the thumb and the middle finger, he sprinkles the water from behind with the formula, "May god Savitr purify you."
1.1.3.15	He sprinkles the vessels with the formula, “Purify yourselves.”
1.1.3.16-17	If the cow is afflicted by a disease, one should say, "Let me know the treatment and the pasture for the cow." If one says, "I am releasing," one should release the calf and recite, "I release you from consumption, for prosperity, for abundance."
1.1.3.17	Thus being taken up, the Rasna of Aditi is being offered.
1.1.3.18	When it is said, "I am approaching," she murmurs, "May I drink the nourishing milk and ghee. May we approach you, the living ones."
1.1.3.19	Taking up the branch-purity, he says, "You are the purity of the Vasus." Taking up the cauldron, he says, "You are the sky, you are the earth."
1.1.3.20	He places the heat of the sun. He places the strainer.
1.1.3.21	He gives up speech.
1.1.3.22	He places the strainer in the morning facing east, in the evening facing west.
1.1.3.23	They milk the Utsa, the pot with four holes, the cow Idā, rich in honey, for welfare. May Indra and Agni, with their swelling, make it true. May they place the sacrificer in immortality. Thus he mutters at the sound of the stream.
1.1.3.24	Having milked, he brings it to the pot.
1.1.3.25	May heaven and earth, together with the wind, and Vayu, with Soma, bestow wealth on the sacrificer. Thus he mutters when the Soma is being pressed.
1.1.3.26	When asked, "Which one is being pressed?" the other replies, "That one."
1.1.3.27	She is the universal life, she is the universal existence, she is the universe, she is the creator of the universe. Thus he takes the name of the cow.
1.1.3.28	The milking is common.
1.1.3.29	Having milked in three places, he says three times, "You have milked much for Indra, the god, for the offering." Then he releases speech, saying "For Mahendra" or "For Indra".
1.1.3.30	Having let loose the speech, he silently milks three times without beginning.
1.1.3.31	Having offered a little oblation, he mutters over all the milked (milk).
1.1.3.32	"Having mixed (the milk) with the verse, "Do ye mix yourselves with truth, the most honeyed waves, drinking the milk with milk, slowly, for the sake of wealth," he brings the milk to the pot."
1.1.3.33	"Firm the cow, firm the cow-lord, may not the lord of sacrifice injure you." Thus he makes the path leading northwards.
1.1.3.34	He makes it cool with the remnants of the Agnihotra oblation and curds, saying, "For Indra thee, the share, I am pressing with Soma." Or he says, "For Mahendra thee."
1.1.3.35	He places the ball of barley-gruel, saying, "Thou art the gift, for Vishnu thee."
1.1.3.36	He puts it on top, saying, "O Vishnu, protect the oblation."
1.1.3.37	He places it in a wooden vessel or an iron vessel, if it is of clay, he puts grass or wood inside.
1.1.3.38	In the morning, he releases the calves for milking.
1.1.3.39	From the beginning of the preparation, it is similar, until the removal.
1.1.3.40	He cooks the oblations in the Garhapatya fire and offers them in the Ahavaniya fire.
1.1.3.41	He should not turn away from the fire, nor should he avoid it.
1.1.3.42	For the purpose of a gold ornament, the gold is turned clockwise; for the purpose of a rope, the rope is turned clockwise.
1.1.3.43	Prokṣaṇa, Utpavana, and Saṃmājana are done three times.
1.1.3.44	One should do the Vaihārika rites with Darbha grass.
1.2.1.1	The next day, after the Garhapatya fire, one sweeps towards the north and spreads (the grass).
1.2.1.2	He spreads the continuous line of grass towards the south, the second towards the north, towards the north of the resting place of the Ahavaniya, towards the north, the third towards the south, towards the north.
1.2.1.3	He spreads the grass towards the south for the Brahman, towards the west for the sacrificer, towards the north for the wife.
1.2.1.4	Having washed the two sets of implements, namely, the two sets of sacrificial grass, the two sets each of the ladle, the sacrificial grass, the skull, the Agnihotra-vessel, the winnowing basket, the black antelope skin, the pestle, the mortar, the stone, the wedge, the ladle, the spoon, the offering spoon, the Dhruva vessel, the Prastara, the Harītaka vessel, the vessel for holding clarified butter, the vessel for rinsing, he places two sets of implements each on the spread out (Darbha-grass). The other implements are kept in a heap.
1.2.1.5	The ladle is made of Khadira wood, the spoon of Palasa wood, the Upabhṛt of Ashvattha wood, the Dhruva of Vaikankata wood.
1.2.1.6	The ladle should be of the length of an arm, with a mouth the size of a palm, with a hole the size of two fingers, and raised to the size of four fingers. The holes should be the size of a span. All of them should be of the size of an arm.
1.2.1.7	The ladle is the ladle of the Varana.
1.2.1.8	Having washed the hands with the formula, "May you tremble," he offers water with the cup and the bronze vessel. For one desiring Brahmic glory, he offers with the cup; for one desiring cattle, with the cow's udder; for one desiring prosperity, with the bronze vessel; or for one desiring stability.
1.2.1.9	He takes up the cup with the formula, “Thou art of the Vana-spati.” He takes up the bronze vessel with the formula, "Thou art of Brhaspati.” He takes up with the formula, ”Thou art of the earth.”
1.2.1.10	He washes the pot for the gods with the formula, "Purify for the gods." He washes the bell-metal and earthen pots with the formula, “Purify for the Gods.”
1.2.1.11	To the north of the Garhapatya, he fills the Upabila vessel with water, reciting, "The auspicious, the auspicious, whatever is yours, the auspicious, the auspicious; whatever is yours, O Agni, the offering, the offering; whatever is your strength and valour, that I take, the sweet-flowing, agreeable to the divine sacrifice."
1.2.1.12	He recites over the water, "The divine waters."
1.2.1.13	"Brahman, I am going to offer water. The sacrificer should restrain speech." Having said this, he restrains speech.
1.2.1.14	"Who offers you? May he offer you. To whom do you offer? May he offer to you. May Brihaspati offer you." He offers mentally.
1.2.1.15	Having made the Sphyi the Upāmuṣya, and holding it equal to the breath, he says, "Who yokes you? May he yoke you. To whom do you get yoked? To him may you get yoked. May Brhaspati yoke you." He yokes.
1.2.1.16	"Having been sprinkled for all desires and for the worship of the gods," he places the eastern one towards the north.
1.2.1.17	He spreads the Ulaparāja grass.
1.2.1.18-19	Having taken up the Pavitra with the formula, "I place the Prāṇa and Apāna in the sacrificer," he places the Sphy-Pavitra in its place. Having placed the vessels in order with the formula, “May the divine Visas be arranged," he spreads the continuous thread of Ulūka grass from the eastern to the western side with the formula, "Thou art the continuity of the sacrifice. I spread thee for the continuity of the sacrificer.
1.2.1.20	He takes up the ladle with the verse, "Thou art of the forest." He takes up the chaff with the verse, “Thou art of the year.”
1.2.1.21	He goes to the cattle-pen with the verse, "Thou art of the earth."
1.2.1.22	He burns the chaff in the Āhavanīya fire with the verse, "The Rakṣas is repelled, the Arāta is repelled." He scatters the chaff in the southern and western directions. He scatters the ashes of the fire in the southern and eastern directions. He scat-ters the ashes of cowdung in the southern and northern directions. He scat ters the ashes of the cowdung in the northern and eastern directions.
1.2.1.23	He scatters the ashes in the southern and southern-western directions. He scat -ters the ashes in southern and southern-eastern directions. He scat tersthe ashes in the southern-western and southern-eastern direction. He scatters ashes in the southern, western and eastern directions. The ashes are scattered in the southern, southern-western, southern-eastern, southern-north-ern, southern-northwestern, southern-northeastern, southern-southeastern, southern-southwestern, southern-northwest-ern, southern, western, eastern, northwestern, northeastern, southeastern, southwestern, northwestern, northeastern and eastern directions.
1.2.1.24	"You are the yoke," he says, touching the yoke and the northern (end of the yoke).
1.2.1.25	Having stepped towards the north, he recites, "You are the most fiery of the gods," starting from the northern end of the yoke.
1.2.1.26	"You are Vishnu's step," he says, placing the right foot on the wheel.
1.2.1.27	"You have not been shaken," he says, ascending (the chariot).
1.2.1.28	"For the wide wind," he says, pushing (the chariot).
1.2.1.29	"Looking with the eye of Mitra, he looks at the grains of rice or barley."
1.2.1.30	Placing the ladle in the winnowing basket, and placing the strainer in the ladle, he says, "I am offering the oblation for the sacrificer," and then offers the oblation, saying "Agni."
1.2.1.31	With the formula, "In the impulse of the divine Savitr", he pours three times with a handful of sacrificial food into the Agnihotra ladle, and the fourth time silently.
1.2.1.32	Thus he pours the second oblation for Agni-Soma at the full moon, and the Indra-Agni oblation at the new moon.
1.2.1.33	One should offer to Indra, or to Indra-Maheendra, or to Indra alone, if one desires prosperity.
1.2.1.34	The gods of the Soma-sacrificers are Mahendra. The Soma-sacrificers, having lost their prosperity, should offer to Mahendra.
1.2.1.35	Then the others, having offered to Indra for a year, and having offered to Agni, the lord of vows, on eight potsherds, should offer to Maheśvara.
1.2.1.36	"This is for the gods" (he says) while touching the ones that have been poured out. "This is for us together" (he says), while pouring out the remaining ones.
1.2.1.37	"May the roads be firm" (he says). He descends.
1.2.1.38	"Svāhā to heaven and earth" (he says in a low voice).
1.2.1.39	"Free from Varuna's noose" (he says while moving out).
1.2.1.40	"He looks at the fire or the sun, saying, 'May I be seen in heaven.'
1.2.1.41	He goes, saying, 'I go to the earth in the sky.'
1.2.1.42	He places it behind the other one, saying, 'On the lap of Aditi I place you.'
1.2.2.1	The sprinkling is done on an unwashed (place). The spreading is explained by the verses beginning with 'By the mind of Vishnu, purified.'
1.2.2.2	"Having heated, he sprinkles the oblations for Agni, saying, 'I sprinkle the oblations agreeable to you.' He sprinkles the oblations according to the deity, without over-sprinkling, and without leaving any out.
1.2.2.3	"Having heated, he places the oblations for the other deities, saying, 'O Agni, protect the oblation.' He places the oblations of the other deities in front of the oblation for Agni.
1.2.2.4	"He sprinkles the vessels, saying, 'If you are impure...'
1.2.2.5	Having turned the skin upside down, having sprinkled it, having turned it back to its original position, having placed the spoon, having taken up the skin with the words, "Thou art the skin of Aditi", from the neck, having turned it towards the east.
1.2.2.6	Having shaken it three times towards the north on the heap with the words, “Thou art shaken off by Aditi”,
1.2.2.7	Having spread the skin behind the heap with the head towards the west and the hair towards the north with the words, "Thou art the skin
1.2.2.8-13	He places the ladle with the ladle-stand facing west. He does not let it fall empty. He places the pestle, saying, "Thou art the pestle of the earth." He pours the oblation-grains three times with the fist, silently the fourth time, saying, "The tongue of Agni." He takes up the mortar, saying, "It is the mortar of the earth." He strikes the oblation-grain three times, saying, "Made of oblation."
1.2.2.14	The sacrificer releases speech.
1.2.2.15	"The Brahman says, 'Come, O Havis-maker!' The Rajanya says, 'Come to me, O Havis maker!' The Vaishya says, 'Come quickly, O Havismaker!'
1.2.2.16	The wife carries and spreads (the oblations).
1.2.2.17	The Āgnīdhra priest strikes the stone with the pestle, saying, "You are a pestle." He takes up the stone, saying, "I announce the food." He announces the food in the eastern half, the nourishment in the western half, and the prosperity in the pestle. Thus he strikes nine times.
1.2.2.18	On the grains that have sprouted, he winnows them from east to west, saying, "Thou art the grain that has grown in the year."
1.2.2.19	He winnows them, saying, "May I winnow thee, the grain that has been growing in the year."
1.2.2.20	"May it be well-purified and protected." He pours out the chaff on the heap.
1.2.2.21	"The share of the demons is cast away." He casts away the chaff.
1.2.2.22	"I am suppressing the demon, I am leading the demon to the lowest darkness." He scatters the chaff under the black antelope skin.
1.2.2.23	"May Vayu separate for us the food and nourishment." He separates (the chaff).
1.2.2.24	"He makes three handfuls of the fruit, saying, 'Purify for the gods!'
1.2.2.25	From the taking up of the black antelope skin onwards, it is the same as the spreading of the skin. He does not put the ashes on the skin.
1.2.2.26	He does not throw away the ashes empty, saying, 'Thou art the discerning, the mountain-born.' He puts the ashes on the black antelope skin. He does no throw away the ashes. 'Thou art the mountain-born, the discerning,' he says, and puts the stone on the ashes.
1.2.2.27	"Thou art the pillar of Aditi," he says, and draws the wooden wedge towards himself from the rear, with the head towards the north.
1.2.2.28	"Thou art grain; do thou win the gods," he says thrice, while pouring down (the grain).
1.2.2.29	"For thy breath," he says, while drawing the eastern wooden wedge; "for thy out-breath," he says, drawing the western wooden wedge; "For thy through-breath," he binds in the middle.
1.2.2.30	"He spreads the long (piece of cloth) in the direction of the long (piece). He spreads the long (cloth) in the direction in which it is long."
1.2.2.31	"He looks at the ground with the eyes of Mitra." He looks at the ground.
1.2.2.32	"He recites, 'May Savitr, the god, with golden hands, receive (the ground).'" He recites while the ground is being scattered.
1.2.2.33	"He sends (the person to scatter the ground), saying, 'Make it fine.'"
1.2.2.34	"He takes up the Upavesha (the wooden sword) with the formula, "Thou art Dhriti."
1.2.3.1	"He places the embers with the formula, "Thou art burnt, O Raksha."
1.2.3.2	"Having placed the skull on it, he says, "Thou are firm, thou art the earth, thou art the support." Having thrown out the embers outside the ashes, he says, "O Agni, do thou take away the raw Agni.
1.2.3.3	"O Agni, carry the divine worship." He releases it with reference to another.
1.2.3.4	"He places the eastern half of the sky, saying, 'Thou art the supporter of the sky; thou supportest the sky.' He places the eastern half, saying, 'The supporter of the sky.' 'Thou art the law; thou supportest all the worlds.' He places the southern half from the middle. 'Thou art the boundary; thou supportest (the world).' He places the northern half from the western half. 'Thou art a boundary; thou supportst (the world).' 'Thou art the support of all directions.' He places the northern part from the western half, saying, "Thou art the support in all directions." 'Thou art the protector of the sacrificer.' He places the western half from the eastern half, (saying), 'Thou art the protectress of the sacrificer."
1.2.3.5	Thus the placing of the three is similar for the Ekādaśakapāla.
1.2.3.6	One in the middle, then on the right and left.
1.2.3.7	With the fourth mantra he places the one on the right first, with the fifth the one on the left last, with the sixth the one on the righ last, with the seventh the one on the lef first, with the last the remaining ones in the Kustas clockwise.
1.2.3.8	"He offers the embers with the verse, "To the Vasus, to the Rudras." He offers two verses, "Do ye burn," and one verse, "Do thou burn."
1.2.3.9	Having placed the embers on the heated (pan), he milks the morning milking.
1.2.3.10	Having placed the flour in a heated pan, he sifts it thrice with the verse, "By the impulse of the divine Savitr," and once silently.
1.2.3.11	He gives up speech because of the desire to speak.
1.2.3.12	Having placed the paste of flour, and having heated it, he pours out the flour with two spoons, saying, "I pour out the flour with the heated spoons."
1.2.3.13	He takes the heated spoons with the verse, "The Veda is the offering; I take the heated spoons with a ladle." He sprinkles them with the verse, "May the waters and plants be united."
1.2.3.14	"You have been born from the waters, you are connected with the waters." He spreads the heated (rice-balls) around.
1.2.3.15	"May the families be depressed." He puts together the ground rice.
1.2.3.16	"You are the head of the sacrifice." He touches the ball.
1.2.3.17	"Pūṣan, the knower of all, may divide you." He divides the two equally.
1.2.3.18	"For Agni you." He touches the right cake. The left one according to the deity.
1.2.3.19	"This I remove from the mouth of the army with the Veda." He removes the ashes from the potsherds with the Veda.
1.2.3.20	"You are heat, you are the life of the universe." He places it thus, the next one.
1.2.3.21	One should perform each rite for both.
1.2.3.22	"Spread out widely." He spreads out the cake in the shape of a tortoise as far as the potsherds.
1.2.3.23	"May your body be joined with your body." Having sprinkled the pestle and mortar, he rubs it three times.
1.2.3.24	Having melted clarified butter in the southern fire, having placed it on the Garhapatya fire, having purified it, he takes up the ladle of clarified butter, reciting, "The Veda is the offering, Aditi is the offering, the leaf is not cut."
1.2.3.25	"The Dakṣiṇā is from the Garhapatya. The Payas of the Pṛṣṇī is in the Pavitravati. The Payas is in the Pavitra. The Payas belongs to the one who goes first. I pour out the Payas of the one who is being consumed and is being filled. He pours out in the Pavitrawati in the vessel of clarified butter.
1.2.3.26	He makes the oblations go around the fire three times, saying, "The lord of strength."
1.2.3.27	"May the god Savitr cook thee", he cooks it with a heated stone and with a paste of flour.
1.2.3.28	"May Agni not injure thy body", he makes her grasp the skin with darbha-blades.
1.2.3.29	He does not remove the flames.
1.2.3.30	"O Agni, do thou take the Brahman", he scatters ashes with the Veda.
1.2.3.31	"Do not burn", he instructs.
1.2.3.32	The sacrificer utters the speech.
1.2.4.1	After that, he mentally measures out a sacrificial grass-mat of the size of the sacrificer behind the Āhavanīya fire, so that the oblations may be placed. It is smaller in width and length.
1.2.4.2	In the eastern half of the sacrificial grass-mat, he draws three lines from east to west, measuring three cubits.
1.2.4.3	"He applies the paste of writing on the writing-sticks with the formulas, "One to Unity, Svāhā! Two to Unity, Svāhà! Three to Unity, Svähä!"
1.2.4.4	"He takes up the Veda with the verse, "The Veda found the earth hidden in the caves, hidden in the dark places. May it find me the performer of sacrifice. May it make the sacrifice flawless and abundant."
1.2.4.5	The Veda, having found out the altar, spread out the earth. The earth, bearing the embryo of the lord of the earth, is within the worlds. Then the sacrifice spreads out, having all the worlds. With the Veda, he sweeps the eastern altar three times.
1.2.4.6	To the north of the Garhapatya fire, he takes up the wooden sword, saying, "For thee, O god Savitar, by the impulse of Savitar."
1.2.4.7	"Thou art Indra's arm," he anoints with the grass, not touching the tip.
1.2.4.8	The Agnidhra sits down on the rubbish-heap, having placed his hand and arm on it, at a distance of a step from the lines.
1.2.4.9	"Thou art the armour of the earth," he places a blade of grass across at the end of the line.
1.2.4.10	"Thou are the earth, the deity's altar," he cuts across with the spade.
1.2.4.11	"Go to the pasture," he says, taking up the grass and dust.
1.2.4.12	"May the rain fall for you," he says, looking at the altar and the sacrificer.
1.2.4.13	"O god Savitar, may you be free from injury," he says, pouring into the palm and mouth.
1.2.4.14	"May auspicious plants be for you," he pours the second drop, "May the third drop be for you," the third drop, the rest silently the fourth drop.
1.2.4.15	With the Sphyi he encloses the Vedi, saying, "The Vasus enclose thee on the right side." "The Rudras on the west side." "The Adityas on the north side."
1.2.4.16	He digs with the formula, "Thou art the unfathomable depth of the earth." He digs two or four inches.
1.2.4.17	The Agnidhra takes it three times from the raised (ground).
1.2.4.18	The men performing the rite of Savitar, the god, say, "Do not injure the auspicious plants." With the spade he cuts the roots. He carries away the grass and dust.
1.2.4.19	These men make this altar for the gods, agreeable to Aditi. May all the gods enjoy this, may they enter the sacrificer for the sake of prosperity. He makes it sloping towards the east, towards the north, smooth, well-made, with the shoulders he encloses the Āhavanīya, with the hips the Garhapatya, with the buttocks the Anvāhārya, for one desiring cattle.
1.2.4.20	He cleanses the wooden sword, not looking back.
1.2.4.21	Having sprinkled the altar, having invited the Brahman, he takes up the northern enclosing stick, saying, "You are true," on the right side, "You are truth," on the west, "You are heat," on the north.
1.2.4.22	"Before the cruel one," he sweeps the altar towards the west with the wooden sword, making a path.
1.2.4.23	Having placed the Prokṣaṇī-water in the southern half of the altar, having placed the sacrificial grass and wood, having arranged the ladles, having tied the wife, having smeared with clarified butter, having instructed thus, he instructs:
1.2.4.24	Having taken up the Prokṣani-water from the southern side, having sprinkled the tip, he raises the wooden sword.
1.2.4.25	He places the Prokṣaṇī-jars on the path and fills them.
1.2.4.26	"He strikes the heap of grass with the wooden sword, facing west, with the words, "Thou art the slayer of the hater."
1.2.4.27	Having sprinkled, he places them back.
1.2.4.28	He should place the kindling wood and the sacrificial grass north of the Āhavanīya fire, the kindling wood on the right and the sacrificial grass on the left.
1.2.4.29	He cleans the spoon and the ladle and the Praśitrā-vessel.
1.2.5.1	He says, "The protection is repelled." He cleans the vessels on the Ahavaniya fire.
1.2.5.2	Having divided the Veda-grass or not dividing them, he cleans the spoons with their tips and the sticks with their roots. Having sprinkled them, he heats them on the fire.
