1.1.1.1	In the performance, the benefit of the man and the knowledge of the sacrifice.
1.1.1.50-51	"He sends him forth with the words, 'Send him forth.' At the places of the principal offerings beginning with the Ajyabhāga and ending with the Svishtakrit, at the Patnīsaṁyājas and at the Vājina, there are the Yajya and Anuvākyā mantras.
1.1.1.52	Having stood facing the southern end of the altar, he offers the oblation without spilling it, as if covering it with his side, at the end of the Vasat-utterance.
1.1.1.53	He should mentally contemplate the person whom he dislikes while the oblations are being offered, spilling the oblation with his mouth.
1.1.1.54	The right-hand side is to be transgressed in the case of the Yajya-utterance, the Svāhā-utterance, and the Oṃkāra, which are predominant.
1.1.1.55	Having placed the Upabṛt under (the fire), he proceeds with the Upāṁśu-recitation. The Upāṁśus are known elsewhere.
1.1.1.56	The procedure of the Darsha-Pūrṇamāsa is common, except for the directions.
1.1.1.57	At both, the Agniya cake is offered. The second is Agnisomiya. At the full moon, the cake is offered to Indra-Agni. At the new moon, the cake to Agni. They are not mixed.
1.1.1.58	The Sāmnāyya is offered to the same deity.
1.1.1.59	The Saṁnāyya of Indra, or of Maheśvara, is to be offered.
1.1.1.60	The Upāṁśuyāja of Agni-Soma is to be offered at the full moon, and the Vaiṣṇava at the new moon.
1.1.1.61	This is the principal sacrifice.
1.1.1.62	The others are its subsidiaries.
1.1.1.63	One should perform rites for a specific purpose, or on the basis of a statement.
1.1.1.64	In the Soma-sacrifice, the Agniṣṭoma is the principal.
1.1.1.65	The injunctions of the Darsa-Pūrṇamāsa sacrifices, the principal ones, are found in the Iṣṭi and Pāśu-bandha.
1.1.1.66	In the Soma sacrifices, the Ekāha, Ahahīna, and Sattrimsa, the connection of the limbs is excluded from the Piṇḍapitryajña.
1.1.1.67	The cessation of the limbs is due to the purpose of the prohibition of the Pratiāmnāya, the omission, and the general meaning, and the non-hearing.
1.1.1.68	In the case of a rite where the injunctions are not explicit, one should recite the mantras as they are.
1.1.1.69	In the case of the non-availability of a substance, one should substitute a similar substance with the same meaning, and in the case of dissimilar substances, one should substitute with the same meaning.
1.1.1.70	In the event of a conflict between the injunctions of the primary rites, if there is a preponderance of one, one should not modify the injunctions, but follow the earlier injunction.
1.1.1.71	At the end of each verse, he recites the verses of the group of rites in the proper order.
1.1.1.72	When told, "Recite for the Soma being offered," he recites three times.
1.1.1.73	When the Soma is bought and the Havirdhana is being set up,
1.1.1.74	Darbha grass is spread.
1.1.1.75	The kindling woods end with the word "svāhā."
1.1.1.76	When about to place the fire, having raised the sign and sprinkled it with water, he places it.
1.1.1.77	In the rites of the dead, one begins from the front, clockwise, and ends towards the west or north.
1.1.1.78	In the rites for the ancestors, one begins from behind, counterclockwise, and ends towards east.
1.1.1.79	In auspicious rites, one follows the worldly practice.
1.1.1.80	If the rite is repeated, one should repeat the mantras in the order in which they were recited.
1.1.1.81	In the instructions and responses, if they are not heard or heard incorrectly, one should speak softly.
1.1.1.82	The middle ones are to be offered after the Samidheni and before the Ajyabhāga, and after the Ajyabhūga and before the Anuyājas.
1.1.1.83	The Anuyājas are to be offered loudly, and the Shamyus are to be offered silently.
1.1.1.84	One should offer the Darsha-Pūrnamāsa sacrifices for thirty years or as long as one lives.
1.1.1.85	The Pañchadasha Dākshayana sacrifice is to be offered in place of the Darsha-Purnamāsa sacrifices.
1.1.1.86	One should perform the Agnihotra as long as one is alive.
1.1.1.87	There is no restriction in other cases.
1.1.2.1	One should observe the new moon fast with the moon not visible, and the full moon fast with the full moon visible, or on the previous day.
1.1.2.2	Having shaved the hair and beard, the sacrificer and his wife should eat food without meat, beans, and salt.
1.1.2.3	I take Agni, the swift, who is the light of the sun, who rises up to the heaven-knowing one. The sun is the supreme light of lights. For the tomorrow's sacrifice, for the deities, I take this fifteenfold energy. The deities who have entered it, I take all of them. May they enjoy this full-moon oblation. May they enjoy the new-moon oblation." Having taken the glowing Āhavanīya from the Garhapatya, he adds, "O Agni, may my brilliance shine in contests."
1.1.2.4	With the two verses from the Uttara-Samhita, he approaches the two fires, having placed them in front.
1.1.2.5	"Having washed his hands, he says, "O Agni, the lord of vows!" The sacrificer approaches the Ahavaniya fire."
1.1.2.6	"You are the emperor, you are the guardian of vows, you are the lord of vows. I shall observe the vow. I tell you that. You protect that. I am able to do that. By that I am able to succeed. By that may I be successful." If the sun has set, he should say this to the Ahavanīya fire.
1.1.2.7	One should undertake the vow before the carrying of the sacrificial grass at the full moon and before the removal of the calf at the new moon.
1.1.2.8	The two should be consecrated on the previous day.
1.1.2.9	One should not speak untruth, eat meat, approach a woman, or eat forest-food in the evening except for peas.
1.1.2.10	If the forest-food is water, then water.
1.1.2.11	The sacrificer dwells in the Āhavanīya house, the wife in the Garhapatya house. The Dakṣiṇā is between them.
1.1.2.12	The mantras, not connected with action, are for the recipient of the sacrifice.
1.1.2.13	The offering to the right is for the sacrificer, the offering to the left is for the sacrificers wife.
1.1.2.14	Having invited, having uttered the Praṇava, permission is given according to the meaning.
1.1.2.15	He offers oblations according to the deity and according to the connection with the rite, from a distance.
1.1.2.16-17	Who is leading you? The earth, the speech, the cow, the Vat, the sky, the water, the fire, the one-syllabled, the ten-syllabled Viraj, those who pervade this entire universe, may those goddesses, knowing well, lead us to the sacrifice with prosperity. You are purified by Brahman. In the seating.
1.1.2.18	When the oblation is being poured out, he should recite the verse, "Agni, the Hotar, etc."
1.1.2.19	Sitting within the altar in front of the Stambayajus, he recites, "This Veda found the earth hidden in the depths, hidden in the depths. May it find me the world for the sacrificer, may it make the sacrifice abundant and flawless." He takes up the Veda.
1.1.2.20	The Veda, having known the altar, spread out on the earth. The earth carries the embryo of the lords of the earth within the worlds. Then the sacrifice spreads out, having all the worlds. Three times he anoints the altar with the Veda.
1.1.2.21	The pouring of clarified butter is done at both places.
1.1.2.22	The taking of clarified butter is from the end of the Anuvaka beginning with "For you, the five winds."
1.1.2.23	"I yoke thee" when the enclosing sticks are being placed.
1.1.2.24	The consecration of the brows is done on both sides.
1.1.2.25	"O Agni, my lustre" with eight Vaikhavya verses one should touch the oblations which are near.
1.1.2.26	One desiring offspring should offer four oblations at the full moon and five oblations at the new moon, desiring heaven.
1.1.2.27	The ladle is the mind. Thus (he recites) the ten-hotr in front of the Samidheni verses.
1.1.2.28	The Angirasas, with the morning prayers of this sacrifice, may they protect us. The Agni who is kindled, offered, and worshipped, may he protect us. Thus (he says) to the kindled one.
1.1.2.29	You are the mind, belonging to Prajapati. Enter with the mind as the element. Thus (he offers) the ladleful.
1.1.2.30	His speech is Indra's, the destroyer of enemies. With speech and with Indra's power he enters. This is the Srouca (verse).
1.1.2.31	The gods are the fathers. This is said when the Pravaras are being chosen.
1.1.2.32	The earth is the Hotri. This is said to the Catuhotar in front of the Prayajas.
1.1.3.1	I gratify the spring among the seasons. May he, being gratified, gratify me. By the worship of the gods in the spring, may I be brilliant and rich in milk. I gratify the summer among the seasons. May he, being gratified gratify me. By worshipping the gods in the summer, may I be endowed with power and strength. I gratify the rainy season among the seasons. Let them, being gratified, satisfy me. By worshipping the gods in the rainy season, may I be prosperous and rich in cattle. I gratify the autumn among the seasons. She, being gratified, may satisfy me. By the worshipping of the gods in autumn, may I be new-grain and brilliant. I gratify the winter and the cold among the seasons. They, being gratified, may satisfy me. By worshiping the gods in winter and the cold, may I be enduring and ascetic. Thus the Prayājas.
1.1.3.2-3	Agni is the Hotri. I am the Hotri. By the sacrifice of Agni, may I be the Hotri. Agni is the Hotr. I am the Hotr. By the sacrifice to Agni, may I become the Hotr. These are the two Ajyabhaga offerings. Agni, the Hotr, is the five Hotr priests in front of the oblations.
1.1.3.4	Agni is the giver of food. By offering to Agni, may I become the giver of food." "Dabdhi is his name. May I be undaunted and conquer my enemies." This is said at the Upamshu Yajus.
1.1.3.5	May I be the slayer of Vritra by the worship of Agni and Soma. May I be the eater of food by the worship of Indra and Agni. May I be endowed with power by the worship of the god Indra. May I attain the greatness of the god Maheendra. Thus one should recite the subsequent mantras also.
1.1.3.6	May I be the enemy of Indra Vāimātri's sacrifice to the gods. May I be the one protected by Indra Trātā's sacrifice to gods. May I have prosperity and cattle by Pūṣan's sacrifice to god. May I obtain speech and food by Sarasvatī's sacrifice to goddess. May I be born with offspring and cattle by Aditi's sacrifice to goddesses. May I attain union with life by the sacrifice to all the gods. May offspring and cattle be born by the sacrifice to heaven and earth. By whose sacrifice to the gods, may I be born. One should recite this for the unnamed.
1.1.3.7	Agni is the bestower of prosperity, the foundation of the sacrifice. By offering to the gods, may I attain prosperity through the sacrifice. Thus one offers to Agni, the bestower of good fortune.
1.1.3.8	Agni shall protect me from evil deeds, Savitar from evil intentions. He who curses us from afar, may I conquer him with this. Thus one offers the Prasitra when it is being offered.
1.1.3.9	Silently to Ida.
1.1.3.10	"O Indra, may we be the most prosperous in the assembly." "May we be the most powerful." "May we not be scorched by the ghee." "May Indra be at the end of us."
1.1.3.11	"May we be the best." This is the name-grasping.
1.1.3.12	"Ida, the cow with her calf, has come with her strength, flowing with milk, swollen. May she, with her food and oblation, with cows, with Ida, with the swelling milk, with her own, flow for us." This is the Ida-grasping.
1.1.3.13	He should touch the oblations placed on the sacrificial grass, saying, "Protect the heaven."
1.1.3.14	He should distribute the Agniyeṇa offering into four parts, saying, "This is for the Agnīdh, this is for the Brahman, this is for Hotr, this is for Adhvaryu," and "This is for Yajamana" for the Yajamana's share.
1.1.3.15	"Thou art the arrangement of the directions; I delight the directions; may the delighted directions favour me." When the directions have been indicated, he gives the Dakṣiṇā.
1.1.3.16	Having cooked the rice for the Dakṣiṇāgni, the sacrificer should place it in the southern line of the altar and touch it with the following mantra: "This pot is filled with nectar, with a thousand streams, inexhaustible, with this rice I cross over death. This is the share of Prajapati, nourishing, full of milk, inexhaustible, for the inexhaustible, you are named the inexhaustible, do not let me be deprived of you, protect my inhalation and exhalation, protect my inhalation, exhalation, and upward movement, protect my sight and hearing, this is nourishment, bestow nourishment on me, may I prosper through you directly."
1.1.3.17	Having turned towards the north, having placed the fire in front, having gone around towards the south, he should place (the fire) near the officiating priests.
1.1.3.18	"The fire-sticks are offered with the verse, "May my prayers be bent down, may the fire-sticks be bent down."
1.1.3.19	"The Hotṛ priest of the great oblation is the Saptāhotṛ (seven Hotṛs). The Saptāhotar is placed in front of the Anuyājas.
1.1.4.1	By the offering to Barhiṣ, may I be endowed with offspring. By the offering to Narāśaṃsa, may I be strong. Agni Sviṣṭakṛt is the foundation of the sacrifice. By the offering, may I attain the foundation through the sacrifice. Thus one offers the Anuyājas.
1.1.4.2	The Vājavatī is offered on both sides.
1.1.4.3	"When the Prastara is being thrown, (the Adhvaryu) says, "May this be true for me."
1.1.4.4	"May Vasu come here." He chooses the boon.
1.1.4.5	"May I release you." When the paridhi-sticks are being thrown, he says this to the Ahavaniya fire.
1.1.4.6	"The sacrifice is blessed by the Bhrigus." To the portions of the oblations that are poured down.
1.1.4.7	"May he come from there." He chooses the second boon. "May he come from here." He chooses a third boon.
1.1.4.8	The releasing of the ladles is done in both cases.
1.1.4.9	The wife recites the Patnîsamyâgas. "By the sacrifice to Soma, may I be the receptacle of all seed. By the sacrifice to Tvashtri, may I be able to enjoy all the forms of cattle. By the sacrifice of the wives of the gods, may I be a wife of the sacrifice, the mate of the sacrifice. By the sacrifice, may I be endowed with the mate. By the sacrifice (to the goddess) Râka, may I know the heroes. By the sacrifice(to the goddess) Sinîvâlî, may I know cattle. By the sacrifiice (to the goddess ) Kuhû, may I attain the firm foundation. Agni, the lord of the house, is the firm foundation of the sacrifice. May I attain the firm ground by the sacrifice, by the houses. Thus Agni, the lord (of the house)."
1.1.4.10	The Iḍā is the one who follows, with ghee, in whose place the divine-wishers purify. The Vaiśvānara is the Śakvarī, the one who has grown, who has come to the sacrifice. The Vaiśvadevī is the Iḍā.
1.1.4.11	The offerings to the Dakṣiṇāgni are made in both places.
1.1.4.12	"The one who is Sarasvatī, the one with the beautiful form," is said when the mouth is cleansed.
1.1.4.13	The oblations for atonement, the Samitsya-yajus, the releasing of the skulls, and the releasing of the offerings are common to both.
1.1.4.14	The sacrificer eats the share of the sacrificer with the formula, "May the lord of sacrifice bestow blessings."
1.1.4.15	If he is going away, he should offer with the Samitsya yajus, "I place you in the world named Vibhan of Prajapati, together with the sacrificer."
1.1.4.16	A non-Brahmin should not eat the Saṁnāyya.
1.1.4.17	"This is the oblation," for the cooked rice.
1.1.4.18	"I have done the churning of curd," for curd.
1.1.4.19	Having eaten the food offered on the grass spread within the altar, the priests and the sacrificer cleanse themselves.
1.1.4.20	Having sprinkled water on the head, and having recited the verse "May the water be uninterrupted in the seat", and having sprinkled in each direction with the verses for the directions, he wipes the faces with the verse "O Sarasvati, whatever wealth is in the water, cows, and horses, by that, O Sarasvati, may my face be anointed with strength and radiance."
1.1.4.21	I send you to the ocean; go to your own place. May our heroes be unharmed. Do not spill my milk. Do not harm me. This is your wealth. Having offered the remaining oblations, one should pay homage to the performed and unperformed rites. Homage to the performed and the unperformed rites. O Agni, the knower of beings, you have come to the sacrifice. Sit down here before me. Release the one who is bound. Grant us wealth, O Agni, the all-knowing. Thus it is said.
1.1.4.22	The sacrificer, having approached the Ahavaniya fire from the south, and having recited the verses, "Viṣṇu has spread himself on the earth", and "Viṣṇus has spread himself in the directions", and "With the Anushtubh metre", he enters the fourth one.
1.1.4.23	Having approached the sun, he returns, saying, "You are self-existent." "I banish from these directions the enemy of this food. I banish him whom I hate." "I banish the enemy of this aerial food. I banish the one whom I hate." "I banish the enemy from this earth, the enemy of this nourishment. I banish the enemy whom I hate."
1.1.4.24	"He goes to heaven with light." He should approach the Ahavaniya fire and say, "I am offering the life of so-and-so." He should offer it with his heel, turning to the right.
1.1.4.25	"He who hates us and whom we hate." One who is practicing black magic.
1.1.4.26	"You are brilliance." He says this to the Ahavaniya.
1.1.4.27	"O Agni, do thou purify the life-forces" (with these three verses) he offers to the Garhapatya fire. "O Agni, the lord of the house" (with this verse).
1.1.4.28	"Do thou protect me with thy body" (with this) he invokes his sons by name.
1.1.4.29	"For the purpose of light, for the purpose of the thread" (with these verses) he sits down inside the altar. The sacrificer recites the three Ati-moksa verses, "Those gods who are the killers of sacrifice".
1.1.4.30	"Thou art the Veda" (with this he takes up the Veda).
1.1.4.31-33	He strews the grass with the formula, "Thou art the one having ghee, the one having family." He strews continuously from the Garhapatya to the Ahavaniya. Having gone forward, he murmurs, "O Agni, the lord of vows, I have observed the vow. I have told you that. I was not able to do it. I was not capable of it. I was unable to do it." He says this to the Ahavaniyi.
1.1.4.34	You are the emperor, you are the guardian of vows, you are the lord of vows. I have observed the vow. I have told you that. I have been able to do it. By that I have been able. By that I am protected. Thus the Sun.
1.1.4.35	May he be our lord, may he be our lord. He became the sacrifice, he became the sacrifice. He became the lord of creatures, he became the lord of crea- tures. He became the protector of creatures, he be- came the protector of creatures. He became the guardian of creatures, he became the guardian of creatures. He was the sacrifice, he was the sacrifice. He was the lord of creatures. He grew again. He became the ruler of creatures. May he bestow wealth on us. May we be the lords of wealth. Having recited this, having placed all the kindling woods, he sprinkles with that rite.
1.1.5.1	In the Tantras and other texts, the king chooses Brahma as the supreme deity, saying, "O Lord of the world, O Lord of the great being, I choose you as Brahma."
1.1.5.2	The God Savitr is surrounded by the Vedas. They choose thee, O Brihaspati, as the Brahman. I tell this to the mind. Mind to speech. Speech to the Gayatri. Gayatri to the Tristubh. Tristubh to the Jagati. Jagati to the Anushtubh. Anushtubh to the Pankti. Pankti to Prajapati. Prajapati to the All-gods. Brihaspati is the Brahman of the gods. I am the Brahman of men. O Brihaspati! I am the protector of the sacrifice. I am the lord of the earth. I am the ruler of the world. I am the Lord of the great being. You have told me the greatness. You have told my fame. You have told the splendour. You have told praise. You have told food. You have told progeny. You have told stability.
1.1.5.3	He should perform the rites to the right.
1.1.5.4	One who is about to eat Brahmoḍana, taking a portion of rice, offers it with the formula, "I offer the rice to the rice, svāhā."
1.1.5.5	He eats with the formula, “O Agni, Angiras, do thou protect me from the unoffered. May the good protector place thee."
1.1.5.6	At the Darśa-Pūrṇamāsa sacrifices, having approached the sacrificial place spread out, from the right side of the Āhavanīya fire, he recites over the spread out grass, "O He Dadhiṣavy, standing here, may you sit in your own abode, the one who is more worthy of our offerings."
1.1.5.7	Having cut the grass with the left hand, he throws it towards the south, reciting, "The evil one has been thrown away."
1.1.5.8	Here do I sit in the house of Arvāgvāsa, impelled by the divine Savitr. Having touched water, he sits down.
1.1.5.9	I am the lord of the earth, I am the lord over the world, I am the master of the great being. I tell this to Agni, I tell this to Vayu, I tell this Surya. May Surya protect the sacrifice from heaven, Vayu from the atmosphere, may the lord of sacrifice protect, may Agni protect me, the human.
1.1.5.10	When the water is being offered, he says, "Do you offer the water." "Do you offer water." "Do this." "Do this" "Do this." He says, "Do this." The water is offered. "Do this." Translation: When the water is about to be offered, he says: "Do you offer." "Do you" "Do this" (to the water). "Do this" to the water. "Do this" is said. The water is offered.
1.1.5.11	The un-invited one permits the one who is about to sprinkle the oblation. The invited one permits the subsequent ones, the kindling wood and the sacrificial grass. The un-invited ones permit the Sāmidhenī verses and the Pravara verses. The invited one calls out for the sprinkling of the fire. "O Brihaspati, protect the sacrifice. Sprinkle the altar. O Prajapati, recite the sacrifice. Choose the sacrifice. O Vacaspati, call out the speech. Call out these (verses). Call out the sacrifice to the gods. O Prajapāti, establish the sacrifice." In accordance with the form.
1.1.5.12	The deity should be invoked with the verse, "May the deity bless you."
1.1.5.13	The Vyahrtis should be recited before and the Praṇava after.
1.1.5.14	When the Sāmidhenī verses are being recited, one should restrain speech, when the Prayāja and Anuyāja offerings are being made, and when the principal offerings have been made and the Prasitra has been removed, until the departure.
1.1.5.15	If he were to release speech, he would say, "This is Vishnu." "Agni-Vishnu, the purifying one, Sarasvati, the goddess of speech, we invoke Brihaspati." Having said this, he restrains speech.
1.1.5.16	While the sacrificial food is being brought forward from the front of the sacrificial fire, he waits for it, saying, "I wait for you with the eye of Mitra."
1.1.5.17	Having waited for Savitr, having received (the food), having placed it on the ground with the formula, "I place thee on the back of the Adityas", having looked at it with the formula, “I look at thee with the eye of Suparna Garutmā”, having eaten it with the thumb and the middle finger, without touching it, with the formula, "I eat with the mouth of Agni", with the belly of the Brahman, with the formula "For the Brahman of Brhaspati".
1.1.5.18	Having drawn the Prachîna lines, he touches the heart with the formula, "I touch thee with truth." He touches the region of the navel with the formula, “I place thee in the belly of Indra.”
1.1.5.19	Speech is in the nose, breath in the mouth, sight in the eyes, hearing in the ears, strength in the arms, vigour in the thighs, all the limbs are faultless. May my body be united with the body. All the limbs.
1.1.5.20	He instructs the Āhitāgni to recite the Anuyāja-Samit-mantra: "This is your Samit, O Agni. By it may you grow and flourish, and may we grow and flourish. Svāhā!"
1.1.6.1	Vasishtha was the Brahman at a Soma sacrifice.
1.1.6.2	When the Agniṣṭoma oblations are near, at the time of the morning recitation, one should sit down near the Āhavanīya fire within the altar, reciting mantras.
1.1.6.3	One should not go beyond the Dhishnyas.
1.1.6.4	One should proceed to the Tīrtha, offer the Prāyaschitta oblations, recite the Pavamāna hymns, and perform the Vārambhaṇa and Dhishnyopa sthāna.
1.1.6.5	When invited, one should recite the Stotrānujñāna: "Bhūr Bhuvah Svar, in the impulse of the divine Savitar, O Brihaspati, may the praise be sung by the rays for the sake of prosperity. May the praise be sung for prosperity." The subsequent Stomabhāga is also sung.
1.1.6.6	Having performed the Stuti and the placing of the Grahopastanakalaśa, he enters the assembly hall through the other door, with the rear half of the assembly hall. Having touched the door, as before, he says, "O wise one, you have led us to the vast world, knowing the heaven, the light, the fearlessness, the well-being. O Indra, your arms are strong, the refuge, the great ones." Having approached, he sits down to the right of the Maitrāvaruṇa and Adhvaryu.
1.1.6.7	The exit is through the eastern gate, as it was for the entrance.
1.1.6.8	After the Savana is over, one should exit through the western gate.
1.1.6.9	During the Savana rites, one should proceed as per the prescribed sequence.
1.1.6.10	One should restrain speech from the Vashatkara at the Stuti and Sastra, or from the Homa of the Prata-Anuvaka, or from the Upa-Antarya-Ama Homa.
1.2.1.1	The Darsha-Paurnamasa sacrifices are for all desires.
1.2.1.2	When the sacrificer is endowed with vows, the knowing gods find the path to the sacrifice with the lord of mind. The sacrifice of Vata should be performed. Having recited this, he brings a branch, either a Shami branch or a Palasha branch, with many Palasha leaves, with fresh tips, facing east or north.
1.2.1.3	Cutting it with "For Ishani," he bends it with "For good growth."
1.2.1.4	I bring this grass, the eastern and the western, the grass and the energy, the many-leaved, the fresh-tipped, the grass for the cattle.
1.2.1.5	With that grass, having darbha and pinjula, he drives away the calves six times, saying, "The winds are standing."
1.2.1.6	"The god is standing," he says, touching each cow, and drives them away.
1.2.1.7-8	"You are the goddesses of the waters, you are the goddesses of heaven, you are the deities of the waters, O ye goddesses of heaven." "Drinking the pure water from the good vessel, giving a hundred autumns to Indra, may the curse of Rudra protect you." He recites this verse to those who are going.
1.2.1.9	May Pūṣan, the protector, Aditi, the leader, Indra, your overlord, protect you. You are not lost. Come back again.
1.2.1.10	He looks at the sacrificer, saying, "You are firm in this." Or he turns around towards his house.
1.2.1.11	"Protect the sacrificer's cattle," he says, and places a branch facing west in front of the fire or in the fire-chamber.
1.2.1.12	He gives the ladle to the east of the Garhapatya with the Savitrī verse beginning with "O Vadeva" and ending with "I give."
1.2.1.13	He looks at the Garhapaty with the verse, "Thou art the seat of cows."
1.2.1.14	"The Rakshas are repelled" (he says) on the Ahavaniya. "May the sun dry you up" (he says on the Anvähäniya). "May you go to the desirable world" (he says). Having gone in the direction of the east or north, he brings Darbha grass from anywhere for the sacrificial grass.
1.2.1.15	"Thou art the portion of the gods." Having taken the stalk, he releases it with the verse, "The portion of the cows has been released." He releases one or two Śnuṣṭi-stalks.
1.2.1.16-17	"For the gods, for the gods of the upper grass," having wiped upwards, he says, "May I not be below or above the grass." Having brought the sacrificial grass, he cuts it with the verse, "With the Savitrī verse, I cut the sacrificial grass." Having made the first-cut grass with nails, he says, “Protect the union with the earth,” and places the grass after covering it.
1.2.1.18	"May he who cuts you not be harmed." Having cut a lot, he recites.
1.2.1.19	"You are the sacrificial grass." He touches the blades of grass.
1.2.1.20	"Having a thousand shoots." He touches himself.
1.2.1.21	Having touched water, he recites, "The womb is protected." Having covered the wood, he recites "You are the sun's rays." He wraps it with three, five, or seven layers.
1.2.1.22	Thus in the case of the collection and spreading of the sacrificial grass.
1.2.1.23	"He collects the sacrificial grass with the verse, "May I collect thee well-collected."
1.2.1.24	Having placed the Prāstara grass, he binds the ends together with the verse, "May thy womb be uninjured."
1.2.1.25	He makes a knot with the verse, "May Pūṣan make a knot for thee."
1.2.1.26	"He pulls it back towards himself with the verse, “May it stand for thee.
1.2.1.27	The waters have anointed thee, the Asvins have anointed thee, seven sages have anointed thee. I take up the banner of the dawn, the grass of Surya's rays. Thus taking up, he says, "I take thee with Indra's arms." Thus he takes up.
1.2.1.28	Placing it on his head, he says, "I take it with Brihaspati's head." Going, he says, "Go to the sky."
1.2.1.29	Having placed it below the place of the Paridhi, he places it above with the formula, "For the gods."
1.2.1.30	He arranges the sacrificial grass and the enclosing sticks. The sacrificial grass is of Palāsa, Khadira or of eighteen kinds of wood. The enclosing sticks are of Kārṣmarya wood along with their bark. They are of Bilva, Palāsa, Khādira, Rohiṇī, and Udumbara.
1.2.1.31	The longest, the middle, the oldest, the youngest, the one deserving of the southern offering, the shortest, the youngest, and the one deserving of northern offering.
1.2.1.32	"Having assumed the form of Krishna, you entered the trees. Now I collect you in twenty-one ways, collected well. Having collected, one binds with darbha grass along with roots, saying, "For the life of the sacrifice, following the directions."
1.2.1.33	Krishna is the best of all. May we prosper in the divine city. He places it above.
