1.1.1	We shall explain the (Vedic) sacrifice.
1.2.24	The difference of a mantra (indicates) the difference of an act.
1.2.25	The word iti stands at the end of a mantra (i.e. indicates that a mantra has been prescribed).
1.2.26	A (sacrificial) act should be made to fall in with the close of a mantra.
1.2.27-28	He (the hotṛ or one of his assistants) speaks the puronuvakya and the yājya verses after he has been summoned (to do so).
1.2.29	These (prescriptions) are applicable to all sacrifices.
1.3.1	After having fasted (the sacrificer) performs the sacrifice at full moon.
1.3.2	In the same way the sacrifice at new moon.
1.3.3-4	There are two days of full moon and two days of new moon.
1.3.5	The two days of full moon are: (1) the day on which the moon appears full about the setting of the sun, and (2) the day on which (it appears full) after the setting of the sun.
1.3.6	The two days of new moon are: (1) the day on which they remark “tomorrow it will not be visible”, and (2) the day on which it is not visible.
1.3.7	(The sacrificer) may perform the sacrifice on any of these days, according to his choice.
1.3.8-9	The difference (of the rites at the two sacrifices) is indicated by specific injunctions “this is at full moon, this is at new moon”, or by words connected therewith.
1.3.10	The rest is the same (for both).
1.3.11	The cake destined for Agni is common to both.
1.3.12-13	The whispered offering (upaṃśuyaja) (at both occasions) is destined for Agni-Soma or for Viṣṇu.
1.3.14-17	At the sacrifice of full moon the second cake is destined for Agni-Soma and at the sacrifice of new moon for Indra-Agni, in case he does not perform the sāṃnāyya; but if he does perform the sāṃnāyya it is destined for Indra or Mahendra.
1.3.18	But he who does not perform (at new moon) the sāṃnāyya destines the whispered offering for Viṣṇu.
1.4.1	The hotṛ, being called upon (by the adhvaryu), comes between the utkara and pranita water and treads upon the grass (of the vedi) with his right fore-foot.
1.4.2	His heel reaches the back side up to the end of the vedi.
1.4.3	He stands there with his feet asunder.
1.4.4-5	When he has been summoned (by the adhvaryu) to recite the verses for the kindling of the fire he mutters (the formulas): “Unto whom shall I go? “Unto him do I go. “What is thy sheltering metre, O Prajāpati? “Unto that I resort. “What I know of thee, O Viṣṇu, that shall I do for thee. “Impelled by divine Savitṛ shall I serve as priest. “Obeisance to Agni the seer, to Vāyu the hearer, to Āditya who looks from on high. “Today shall I speak words that gladden the Gods, that men are eager to hear, that bring svadhā to the Fathers, that are the support of the entire creation. “I, the prasastr, approach Prajāpati with myself, my progeny, my cattle. “May fearlessness be mine. “I shall proclaim what belongs to Prajāpati. “Speech shall be the priest. “To Speech do I come. “Our world! The other worlds!! The highest heaven!!!"
1.4.6	Then he pronounces thrice the syllable ‘him’.
1.4.7-13	With this ‘him’ he connects, reciting with intermediate voice, (the first kindling verse): (ll pra vo vājah (RV. 111.27.0). Then follow the two triṣṭichs beginning with agna a yahi vitaye and ilenyah (RV. VI. 16.10-12,111.27.13-15). Then the single verse (8) agnim dutam vrnimahe (RV. 1.12.1). Another one is (9) śamīdhyamano adhvare (RV. III.27.4). At the sāptadasya rite (lit. the rite in which 17 kindling verses are used), however, three verses (RV. III.27.4-6) are used. This is the case except at those sacrifices of full and new moon which contain an ayana (?). And lastly the two verses (10,11) śamīddho agna ahuta (RV.V.28. 6,6).
1.4.14	With the prāṇava (of the last verse) he connects (the formula): “O Agni, thou art great, thou who belongest to Brahman, to Bharata”.
1.4.15-18	Thereupon he utters the names of three ṛṣi-ancestors of the sacrificer from the remote and downwards; six for one who belongs to two ṛṣi-families; for a non-brāhmaṇa he takes the descent of his purohita; or he uses for all: “Thou who belongest to Manu”.
1.4.19	And reciting immediately afterwards (the following formula) he makes a pause: “Thou, kindled by Gods, kindled by Manu, lauded by seers, “Gladdened by brāhmaṇas, extolled by the wise, sharpened by Brahman, “Thou, who bears the butter to the Gods”.
1.4.20	He again makes a pause after the formula: “The leader of holy rites, the carrier of (Soma) sacrifices, “The unsurpassed hotṛ, the swift bearer of oblation.
1.4.21	“(Thou art) the mouth-vessel, the ladle of the Gods, “Thou, the cup from which the divine ones drink. “As felly the spokes, O Agni, so dost thou encompass the Gods.” After this formula he again makes a pause.
1.4.22	He now summons the deities, making a pause after each summons.
1.5.1	“Bring hither the Gods for the sacrificer.” This is the close of the nigada.
1.5.2	“Bring Agni hither, O Agni. “Bring Soma hither.” These are (the summons) for two butter-portions.
1.5.3	“Bring Agni hither. “Bring Agni-Soma or (if demanded by the ritual) Viṣṇu hither. “Bring Agni-Soma hither. “Bring Indra-Agni hither. “Bring Indra or (if demanded by the ritual) Mahendra hither.
1.5.4	“Bring hither the ghee-drinking Gods.
1.5.5	“Bring Agni hither for the function of hotṛ.
1.5.6	“Thine own greatness bring hither.
1.5.7-9	“Bring hither, O Jātavedas, and offer a good offering”. In this manner having summoned (the deities) he sits down with his knees raised and mutters, after having touched the earth with the span of his right hand: “May I not be separated from this firm standing, O Mother Earth. “Hurt me not, scoṚch me not. “I shall think what is sweet, wish what is sweet, engender what is sweet. “I shall today utter words sweet to Gods, dear to men. “Here do I by means of the fifteen-fold thunderbolt drive away my spiteful rival.” (When, however, seventeen kindling verses are ordained, he uses the words:) seventeen-fold thunderbolt.
1.6.1-2	When he hears (from the adhvaryu) the word ‘human’ he being chosen (as the hotṛ) mutters: “O divine Savitṛ, here they have chosen thee together with Father Vaiśvānara. “O Indra, Pūṣan, Bṛhaspati, speak forth and offer your offerings. “May we share the bounty of the Vasus, and the favours of the Rudras, “And be beloved of the Ādityas, “Unobstructed to attain to boundless freedom. “What at the choosing of hotṛ may escape the crooked eye this day, “That may Agni bring back, Jātavedas, the nimble one".
1.6.3	Thereupon he stands up and mutters after having caught from behind with the span of his right hand the right shoulder of the adhvaryu, as well as the right shoulder of the agnīdhra with the span of his left hand: “At the election of the hotṛ we lay hold of Indra as our purohita. “Through him the Gods ascended the highest heaven. “The Aṅgirasas the sky. “The sixty and ninety ties, O ye two adhvaryus, are loosened between Heaven and Earth. “They fetter the simple man. “I, the wise, pass over them. “These both, Heaven and Earth, are pleasant to me.
1.6.4	He relinquishes his hold (on them, with the words): “May the six wide ones protect me from anguish; Heaven and Earth, Day and Night, Waters and Herbs”.
1.6.5	Then he turns along his right arm (as axle, with the formulas): “I, make the turn of Indra, I follow the turn of Āditya”.
1.6.6	Now he casts away to the south-west a dry blade of grass which he has taken from the (grass-)seat of the hotṛ and has broken on both sides, (with the formula): “Cast away is he, who wards off abundance, “Cast away is he, who hates me, “And whom I hate”.
1.6.7-9	Having touched water he lays down a green blade of grass (on his seat) with the tip directed to the north and sits down (with the formula): “Here do I sit down on the seat of the Wealth-bestower”.
1.6.10-11	Having squatted with the right (knee) raised high and having stretched out his hands to the east he mutters, while fixing his looks on the Āhāvaniya and Gārhapatya fires: “Obeisance to Heaven and Earth, the primaeval hotṛs. “Ye All-makers, ye are the guardians of my life. “Protect my life. Do not hurt me. Do not scoṚch me”.
1.6.12	Having moved slightly northwards he says: “This is your space.”
1.6.13	He then mutters (the three verses): “All ye Gods, instruct me, etc.
1.6.14	After the words “May Agni as hotṛ accept the hotṛ-ship of Agni. May the deity be the right succour to thee, O sacrificer” he makes a pause.
1.6.15	Then he whispers: “Thou who hast chosen Agni for thy hotṛ”.
1.6.16	Whereupon he uṛges (the adhvaryus) to take up the two offering-spoons saying: “Take up, O adhvaryu, the spoon which is full of butter, which is devoted to the Gods, which is possessed of all boons. Let us praise the Gods, who are worthy of praise. Let us adore the adorable. Let us worship those who are worthy of worship”. Then follow the five fore-offerings.
1.7.1	The first (has as yājya the formula): “The kindling-sticks, may the kindling-sticks, O Agni, accept the ghee offering”.
1.7.2	The second: “May Tanūnapāt, O Agni, accept the ghee offering”.
1.7.3	For descendants of Vasiṣṭha and Śunaka, Atri and Vadhryaśva, Kaṇva and Saṃkṛti, and for kṣatriyas and those who are desirous of obtaining progeny, the second is: “May Nārāśaṃsa, O Agni, accept the ghee offering”.
1.7.4	The third: “May the Iḍs, O Agni, accept the ghee offering”.
1.7.5	The fourth: “May the Barhis, O Agni, accept the ghee offering”.
1.7.6	“svadhām agnim, svadhām somam, sudham agnim, sudham agnisomau or svadhām visnum, svadhām agnisomau, svadhām indragni, svadhām indram or svadhām mahendram, svadhām deva ājyapah — May they, O Agni, graciously accept the ghee offering”.
1.8.1	The two butter-portions (ājyabhagau) at the sacrifice of full moon, mention the slaying of foes, etc.: “May Agni slay the foes”, “Thou, O Soma, art the Mighty Lord, etc.” (RV. VI.16.34, I.91.5).
1.8.2	At the sacrifice of new moon they speak of growing: “Agni has grown by his ancient, etc.”, “O Soma, we make thee grow by our praises, etc.”
1.8.3	The two offering-formulas (yājya) are: “May Agni graciously accept the ghee offering”.
1.8.4-5	The invīting-verse (puronuvakya) for the cake destined for Agni is: "Agni, the head, etc.”, and its offering-verse is: "Thou hast become the leader of the sacrifice, etc.”.
1.8.6-7	The invīting-verse for the whispered offering (destined for Agni-Soma) is: "Hear, ye Agni and Soma, my call, etc.” And its offering-formula: “May Agni and Soma graciously accept the ghee offering”.
1.8.8-9	For the whispered offering to Viṣṇu: "Here did Viṣṇu stride out, etc.”. "I utter to thee the vaṣaṭ-call, etc.”. Or the offering-formula is: “(May Viṣṇu) graciously accept the ghee offering”.
1.8.10	(The invīting- and offering-verses) for the cake destined for Agni-Soma are: “Agni and Soma, accept our prayers, etc.”, "Ye placed these lights etc.”.
1.8.11	(The invīting-and offering-verses) for the cake destined for Indra-Agni are: "Indra and Agni, come with help, etc.”, "Ye surpass men in battle-call, etc.”.
1.8.12	(The invīting- and offering-verses) for the sāṃnāyya are: "Bring hither, O Indra, enduring wealth, etc.”, and “Thou dost endure the foes”.
1.8.13	(The invīting- and offering-verses) for the cake destined for Mahendra are: "Great is Indra, who by his might”, “Great is Indra, full of men, etc.”.
1.8.14	(The invīting- and offering-verses) "All prayers have caused Indra wax, etc.”, "Rejoice with thy bay horses, etc.” are destined for a cake to Indra, if he is not substituted (by Mahendra).
1.9.1	The invīting-verse for Agni Sviṣṭakṛt is: “Delight the Gods, etc.”
1.9.2	The offering-formula is: “Agni has worshipped the abodes dear to Agni. He has worshipped the abodes dear to Soma. He has worshipped the abodes dear to Agni. He has worshipped the abodes dear to Agni-Soma or to Viṣṇu. He has worshipped the abodes dear to Agni-Soma. He has worshipped the abodes dear to Indra-Agni. He has worshipped the abodes dear to Indra or to Mahendra. He has worshipped the abodes dear to the butter-drinking Gods. Let him worship the abodes dear to Agni, the hotṛ. Let him worship his own greatness. May he make by sacrifice the food worthy of sacrifice. May he, Jātavedas, graciously accept through sacrifices the offering. That this day, O Agni, thou comest to men, etc.”
1.9.3	After uttering vaṣaṭ he touches water.
1.10.1	(The adhvaryu) smears (a small quantity of the iḍā portion) on the index finger of the right hand (of the hotṛ), when he is going to call the iḍā; (he smears it) on the upper and middle joints (of the index finger).
1.10.2	With (the formula) “Of thee that has been offered by the Lord of Speech I eat for sap, for out-breathing” he (the hotṛ) smears his lower lip with the first iḍā portion (on the upper joint of the index finger). With (the formula) “Of thee that has been offered by the Lord of Mind I eat for strength, for up-breathing” (he smears) his upper lip with the second iḍā portion.
1.10.3	Then he touches water.
1.10.4-7	Keeping in his right hand the uttareḍā, and himself taking a fifth part with his fingers, which are neither outstretched nor made into a fist, (he calls the iḍā, all the while) holding it on a level with his mouth or his heart.
1.11.1	Before the calling of the iḍā he mutters the following formulas: “Hither do I call the bṛhat together with the sky, the sun, the eye. May the bṛhat together with the sky, the sun, the eye call me. Hither do I call the vāmadevya together with the intermediate region, the wind, the breath. May the vāmadevya together with the intermediate region, the wind, the breath call me. Hither do I call the immovable world. May the immovable world call me. Hither do I call the moving world. May the moving world call me. Called hither is the friend, the food. May the friend, the food call me. Called hither are the seven hotṛas. May the seven hotṛas call me. Called hither are the cows together with the āśir milk. May the cows together with the āśir milk call me. Called hither is the milch-cow together with the bull. May the milch-cow together with the bull call me. Called hither is the word together with the breath. May the word together with the breath call me. Called hither is the word together with the mind. May the word together with the mind call me. Called hither is the iḍā, the rain. May the iḍā, the rain call me. Called hither is the iḍā, the conqueror. May the iḍā, the conqueror call me. Oh, called hither art thou. O iḍā, accept me graciously.”
1.12.1	Then he calls iḍā: "Iḍā is called, called is iḍā. May iḍā call us. Called is iḍā who belongs to Manu, who is butter-pathed, who belongs to Mitra and Varuṇa. Brahman, fashioned by the Gods, is called. The divine adhvaryus are called, called are the human ones, that they may promote the sacrifice, that they may swell the Lord of Sacrifice. Called are Heaven and Earth, the primaeval, the law-abiding, the divine, whose sons are Gods. Called is the sacrificer unto the subsequent God-worship, called unto a more abundant preparation of sacrificial gifts. May the Gods here accept the offering graciously. To this he is called.”
1.12.2	Having called (iḍā) he smells it.
1.12.3-4	Between (the formulas of calling) iḍā, he inhales four times, or for the fourth time at the end.
1.12.5	He then eats the uttareḍā with the formulas: “Thou art iḍā, thou art delight, the dispenser of delight. Bestow upon us many children and happiness. O welcome one, may I find your favour; may I, being invited, enjoy thy invitation. I eat thee for the splendour of my face, for the fragrance of my mouth.”
1.12.6-7	After they (the four priests), with the sacrificer as the fifth, have eaten the other (iḍā), they restrain their speech till the cleansing.
1.12.8	They cleanse themselves inside the vedi over a vessel on which (two) grass-strainers have been deposited, having recited the triṣṭich: “Here, O Waters, carry ye off, etc.”
1.12.9	When the brahman's portion has been brought to him, they bring the anvāhārya (a mess of boiled rice).
1.12.10	This is the occasion when in all the iṣṭis the sacrificial fee is given.
1.12.11	In the case of iṣṭis where the fee is expressly prescribed, there is no anvāhārya-mess.
1.12.12	After he (the hotṛ) has muttered the verse—“This, O Agni, is thy kindler. Mayest thou grow and increase by it. And may we also grow and increase”—over the kindling-stick the three after-offerings are performed.
1.13.1-4	The three offering verses for the after-offerings are: (1) “The divine barhis may accept (the offering) of abundant obtainment, of abundant gift”. (2) “The divine Nārāśaṃsa may accept (the offering) of abundant obtainment, of abundant gift”. (3) “The divine Agni Sviṣṭakṛt, bestowing treasures, the charming kavi, the true-thinking, worshiping hotṛ, who worships better than any hotṛ, “O Agni, the Gods that thou hast worshipped and gladdened and who have rejoiced under thy hotṛ-ship” —here he makes a pause (and then continues) “Make thou this hotṛ-ship, which is bountiful, which reaches to the Gods in Heaven, elevate this sacrifice among the Gods. “And Agni Sviṣṭakṛt, (as) thou hast been (our) hotṛ, accept (the offering) of abundant obtainment, of abundant gift at the namovāka”.
1.14.1-2	When he (the hotṛ) has been addressed (by the adhvaryu with words ending with) “Recite the songs” (the hotṛ recites the sūktavāka): “Here a lucky act has been accomplished, O Heaven and Earth. We have accomplished successfully a song of praise, and the utterance of worship. May we have success with the utterance of good words. Agni, thou art the voice of the blessing” —(Here) he makes a pause.
1.14.3	(He continues): “Through the listening of Heaven and Earth. At this sacrifice may Heaven and Earth be thy guardians, O sacrificer” —(Here) he makes a pause.
1.14.4	(He continues): “They who bring solace to the household, who distribute widely, fearless, inscrutable (?), possessing wide pastures, bestowing fearlessness” —(Here) he makes a pause.
1.14.5	(He continues): “The rain-skied, the water-pouring, the benevolent, giving pleasure, full of strength, full of milk, easily approachable, of good abode” — with their knowledge” —(Here) he makes a pause.
1.14.6	(He continues): “Agni has graciously accepted the oblation. He has grown in strength. He has acquired greater power”.
1.14.7	“Soma has graciously accepted the oblation. He has grown in strength. He has acquired greater power”.
1.14.8	“Agni has graciously accepted the oblation. He has grown in strength. He has acquired greater power”.
1.14.9	“Agni and Soma have graciously accepted the oblation. They have grown in strength. They have acquired greater power”.
1.14.10	Or (alternately) “Viṣṇu has graciously accepted the oblation. He has grown in strength. He has acquired greater power”.
1.14.11	“Agni and Soma have graciously accepted the oblation. They have grown in strength. They have acquired greater power”.
1.14.12	“Indra and Agni have graciously accepted the oblation. They have grown in strength. They have acquired greater power”.
1.14.13	“Indra has graciously accepted the oblation. He has grown in strength. He has acquired greater power”.
1.14.14	“The butter-drinking Gods have graciously accepted the butter-offering. They have grown in strength. They have acquired greater power”.
1.14.15	“Agni by virtue of his hotṛ-ship has graciously accepted the oblation. He has grown in strength. He has acquired greater power”.
1.14.16-19	(He finishes the sūktavāka): “At this prospering sacrifice which goes to the Gods prays the sacrificer”. Here he inserts the two names of the yajamāna, and “prays for future worship of the Gods, for more abundant offering, for long life, for abundant progeny, for a heavenly abode. What he prays for through this sacrifice, may he obtain that, may that prosper, may the Gods grant him that. May the God Agni solicit that for the Gods, and we men from Agni. What has been offered and accepted, and also the Heaven and Earth, may guard him from anguish. Hither be the course of the boon, and this homage (shall be offered) to the Gods”.
1.14.20	Having placed on the strew (of the vedi) his folded hands (anjali) (pointing eastwards), he mutters “For homage”.
1.14.21	When he has been addressed (by the adhvaryu) with (the words) “Say the all-hail and the blessing” he speaks (the verse): “We long for that all-hail and blessing”. After that he touches water.
1.14.22-24	Beginning with the formula by which the hotṛ uṛges the adhvaryu to take up the sacrificial ladles up to the end of the sacrifice of butter-portions, (all is spoken by the hotṛ) in a low tone, afterwards in the intermediate tone, from the after-offerings on in a loud tone.
1.15.1	In the Gārhapatya they perform the patnīsaṃyājas in a low voice (inaudibly).
1.15.2	He worships Soma, Tvaṣṭṛ, the Wives of the Gods and Agni Gṛhapati.
1.15.3	For one (a sacrificer) who is desirous of progeny they worship Rākā and Sinīvalī before Agni Gṛhapati.
1.15.4	(The opening words of the invīting- and offering-verses are:) “Let them grow. Let the drinks gather in thee”. (For Soma). “Hither I call Tvaṣṭṛ. That procreant strength for us”. (For Tvaṣṭṛ). “May the Wives of the Gods help us. And may the Women accept us”. (For the Wives of the Gods). “Baka do I call. What are thy fair thoughts, O Baka”. (For Rākā). “O Sinīvalī. She with well-shaped arms”. (For Sinīvalī). “Agni the hotṛ, the Lord of the House. We have made thee, O Agni". (For Agni Gṛhapati).
1.15.5	Having muttered (the verse) “Even as ye did set free the buffalo-cow, O Vasus” he calls the iḍā.
1.15.6	Or (as contingency arises) he changes (the words of the nigada “Called is this sacrificer” of 1.12.1) into “Called is this consort of the sacrificer”.
1.15.7-8	The patnīsaṃyājas end with the (ceremony of) paṛtaking of the iḍā, or with the muttering of the śaṃyu formula.
1.15.9	With the verse “I loosen thee, etc.” he first unties the veda-bunch and then the cord (with which the mistress is girdled).
1.15.10	He lays the cord and the united veda-bunch into the joined hands of the mistress.
1.15.11-12	Whilst sprinkling water around (upon?) the veda-bunch and the cord (still in the hands of the mistress) he mutters (the formulas): “For desire thee. Thou art a bunch. Whereby thou, O bunch, hast become a veda for the Gods, thereby be thou a bunch for us. Vela art thou. Thou art gain. May I gain. Thou art the act. Thou art the deed. May I be able to act. Thou art the winning. Thou art the winner. May I win”.
1.15.13	Over the veda he causes the mistress to recite (the verse): “May the veda-bunch bestow increase in wealth, that be rich in ghee, rich in houses, a thousand-fold, and strong”.
1.15.14	She seizes some grass-blades (of the veda) and brings them between her thighs.
1.15.15	With (the verse) “Stretching the thread, etc.” he strews (some of the grass-blades of the veda) to the north of the Gārhapatya up to the strew (of the vedi).
1.15.16	With (the formula)— “Abundance thou art, completely filling. Fill me with progeny and cattle” — he addresses the rest of the veda.
1.15.17	Standing before the Āhāvaniya he addresses it with (the two verses) “Grow through this holy text, O Agni. Jātavedas has offered this sacrifice, the near one, having taken his seat before us, winning the gain, loosen well (this rite). Bestow riches upon us, O Jātavedas”.
1.15.18	After he has touched water he (the hotṛ) is dischaṛged.
1.16.1	The sacrifices of full- and new-moon, which have been explained (in the preceding sections), are the model for the unbloody (iṣṭis) and animal sacrifices (paśubandhas).
1.16.2	The designation “model” serves to denote “the agreeing with”, “the following after”.
1.16.3	The sacrifice which is performed between the butter-portions and the offering to Agni Sviṣṭakṛt is called “the insertion” (āvāpa). This is the chief act (in every sacrifice).
1.16.4	All the other acts are its auxiliary parts.
1.16.5	When the time of (performance of) these is uninterrupted, they help in the achievement of the object. (?)
1.16.6	This is designated “tantra” (regular and unchangeable order of rites ?).
1.16.7	The mantra which is recited together with names of different deities is used for making offerings. (?)
1.16.8	In case of change of deity, these invīting- and offering-verses are employed in which these deities are mentioned. (?)
1.16.9	And (at those places) in the prose recitations (where in the model, the prakṛti, the deity is inserted) this deity (which occurs in the change) is made manifest. (?)
1.16.10	At the summons (āvāhana I.5), the last fore-offering (prayāja 1.7.6), the formula addressed to Agni Sviṣṭakṛt (1.9.2) and the sūktavāka (1.14.21 ff.) the deities, to whom worship is offered, are inserted. Therefore (these are called) “the places of insertion” (nigama).
1.16.11	Proceeding in due order we shall explain (the other) modifications.
1.16.12	When it is said “this or that rite is the modification of the full-moon sacrifice” the two verses (to accompany the two butter-portions) contain mention of foe-slaying.
1.16.13	When it is said “this or that rite is a modification of the new-moon sacrifice”, the two verses (for the same occasion as the preceding sūtra) contain the word “growing”.
1.16.14-16	If no such indication is given, they are optional, determined either by the deity or by the havis.
1.16.17	In case of a combination (of the deity and the havis) the determining factor is havis.
1.16.18	In case of doubt the determinant is the common practice.
1.16.19-20	Likewise the number of the enkindling-verses in iṣṭis and paśubandhas is (always) seventeen, except where otherwise prescribed.
1.16.21	In the iṣṭis or paśubandhas, which are undeṛtaken to attain a particular aim, the havis is offered in whispers.
1.16.22	This we shall explain in due course.
1.17.1	In treating of the directions for (the offering of) sacrificial substances the beginning words of the invīting- and offering-verses are mentioned, if there is no other restriction.
1.17.2	If there are indicated two or more (verses), (then they are to be adhibited) in the order of the direction,
1.17.3	according to the deity,
1.17.4	according to the characteriṣṭic.
1.17.5	When the deities are provided with their eponymics and he does not find (the yājyanuvakyas that are to be adhibited), he should be satisfied by the daivata in its characteriṣṭic mark.
1.17.6	When they are provided with their eponymics, they (the deities) are revealed (in the nigamas).
1.17.7	And every time for every deity the sacrificial substance is prescribed, the invīting- and offering-verses indicated at first, should be adhibited everywhere.
1.17.8	It is not possible to enumerate all the iṣṭis separately.
1.17.9	In these, when no invīting- and offering-verses are prescribed, he should seek a gāyatrī (as the invīting-verse) and a triṣṭubh (as an offering-verse) addressed to the deity (to which the kāmyeṣṭi is addressed),
1.17.10	or (any other verses) except those in the uṣṇih and bṛhati metres.
1.17.11-12	But the offering-verse should be longer than the invīting-verse, or both should be of equal length.
1.17.13-15	If he does not find them, he may take verses in which one of the following characteriṣṭics occur: ‘I call’, ‘We call’, ‘Hear thou’, ‘Come hither thou’, ‘Take thy seat on this strew’, or the name of the deity — these are the characteriṣṭics of the invīting-verses. ‘Eat thou’, ‘Drink’, ‘Delight’, ‘Rejoice’, ‘Pour in for thyself’, ‘Accept’, ‘forth’, and the name of the deity — these are the characteriṣṭics of the offering-verses.
1.17.16-17	The invīting-verse has the characteriṣṭic mark (the name of the deity) in the fore-part, the offering-verse in the last part.
1.17.18-19	If he cannot find verses addressed to that deity (for which the sacrifice is destined), he should use the two namra (verses) as the invīting- and offering-verses: “Hear thou this my call, now that we call thee with our prayer. Be seated on this our strew”. “Approach in due order the strewn barhis. Come today here to us who implore (thee). With unhostile mind delight in this (offering). Accept our oblation which has been presented and offered”. He should adapt these verses in case the sacrifice is intended for two or more deities.
1.17.20	Or (in the case of two or more deities) he may alter the original verses (substituting the singular by the dual or the plural).
2.1.1-5	In spring the establishing of the sacred fires for a brāhmaṇa takes place, in summer for a kṣatriya, in the rainy season or the autumn for a vaiśya. The cold season is for all castes.
2.1.6	For one who is going to perform a sacrifice of Soma there is the freedom of choice as to the season.
2.1.7	He should establish them on a day of full-moon or of the new-moon,
2.1.8	or in the bright half of the month under an auspicious lunar mansion (nakṣatra).
2.1.9	And the three nakṣatras from Kṛttikā on (Kṛttikā, Rohiṇī, Mṛgāśirsa), or from Phālgunī on (Phālgunī, Hasta, Citrā).
2.2.1	Now the time for the unbloody sacrifices (which are connected with the establishment of the sacred fires).
2.2.2	(They should take place) on the day itself (i.e. the day of establishment), after a period of 12 days, after a month, after a season ( = 2 months), or after a year.
2.2.3	(There is) the sacrifice to Agni Pavamana.
2.2.4	It is a modification of the sacrifice on the day of full-moon.
2.2.5	(The invīting- and offering-verses are): “Agni clean our lives”, and “Agni clean thou”.
