1.1.1	Now we shall explain the sacraments beginning with conception.
1.2.11	May Mahesvara be pleased. Thus the head. May the sun be pleased. May Soma be pleased. Thus both the eyes. May the directions be pleased. Thus (both) the ears. May Vayu be pleased. Thus nose. May Indra be pleased. Thus arms. May Vishnu be pleased. Thus heart. May Agni be pleased. Thus navel.
1.2.12	Some say, "May it touch."
1.3.2	He should take water from the dry river, saying, "These waters flow here." Having approached, he should bow to the water, saying, "The golden-horned one." Having sprinkled the water, saying "May the waters purify with the water of abundance," he should enter the water, saying "
1.3.1	Then having saluted the waters, and having bathed as long as he is not afraid of his mind, having cleansed his body with water and clay, he should put on the garment that has been washed ten times. He should spread the grass with the Gāyatrī verse, with the tips towards the east and the roots towards the north.
1.3.2	He should take water from the dry river, saying, "These waters flow here." Having approached, he should bow to the water, saying, "The golden-horned one." Having sprinkled the water, saying "May the waters purify with the water of abundance," he should enter the water, saying "
1.3.4	Having worshipped the sun with the verses beginning with "Udaya" etc., having recited the great Vyāhṛtis over the water, having covered the ears, having immersed half of the face towards the sun, he recites the Aghamarṣaṇa three times, beginning with "Rtam ca satyam ca yasv gandhāḥ".
1.3.3	Taking the purifying (water) with the formula, "This is Brahman, I purify it," and placing it on the finger with the formula, “May Brahman be purified,” taking water with the formula, "May it have a hundred streams," and sipping with the formula, "The plants are rich in milk," he performs the standing rite with the formulas, "Bhuḥ, Agni," and "The lord of light," touching the water with the little finger three times, turning clockwise three times, and anointing the head.
1.3.5	Then, sighing gently, having washed, and having put on the washed garment, having sipped water with the verses beginning with "The sun rises in the morning" and ending with "Obeisance to the waters", having sprinkled with the three verses beginning with "Obeisance to the waters", and having scattered the water with the Gayatri verse facing the sun, he performs the circumambulation.
1.3.4	Having worshipped the sun with the verses beginning with "Udaya" etc., having recited the great Vyāhṛtis over the water, having covered the ears, having immersed half of the face towards the sun, he recites the Aghamarṣaṇa three times, beginning with "Rtam ca satyam ca yasv gandhāḥ".
1.3.6	Having performed the Prāṇāyāma once, and having recited the Sāvitrī eight times, he should stand reciting the three Rg verses beginning with "Mitra" and worship the twilight.
1.3.7	Having sipped water with the formula "May the midday waters purify," and having sprinkled himself, he should stand and worship the sun reciting the Yajus verses beginning with "Udbayam."
1.3.5	Then, sighing gently, having washed, and having put on the washed garment, having sipped water with the verses beginning with "The sun rises in the morning" and ending with "Obeisance to the waters", having sprinkled with the three verses beginning with "Obeisance to the waters", and having scattered the water with the Gayatri verse facing the sun, he performs the circumambulation.
1.3.8	Having sipped water with the formula, "Agni is in the evening..." and having sprinkled himself with the formula, having worshipped with the Sama hymns beginning with "What is the mind..." and having sat down, he should perform the evening and morning Sandhyas facing the respective directions and worship the deities of the directions, the Pitrs, Brahma with the formula, "May the wind blow from the right..." and Narayana and others with the formula ending with "Salutations."
1.3.6	Having performed the Prāṇāyāma once, and having recited the Sāvitrī eight times, he should stand reciting the three Rg verses beginning with "Mitra" and worship the twilight.
1.3.7	Having sipped water with the formula "May the midday waters purify," and having sprinkled himself, he should stand and worship the sun reciting the Yajus verses beginning with "Udbayam."
1.3.8	Having sipped water with the formula, "Agni is in the evening..." and having sprinkled himself with the formula, having worshipped with the Sama hymns beginning with "What is the mind..." and having sat down, he should perform the evening and morning Sandhyas facing the respective directions and worship the deities of the directions, the Pitrs, Brahma with the formula, "May the wind blow from the right..." and Narayana and others with the formula ending with "Salutations."
1.4.1	Then, having sipped water, having paid homage to the water with the words "This is the Kurukshetra," having enchanted the water with the great formula, he offers libations to the earth with the words "To the earth, svāhā," and so on, in the order of the Tīrthas of the palm, offering libations to the Lord of the Earth, offering libations to the Lord of the World, offering libations the Lord of Beings, offering libations Brahma, offering libations Narayana, offering libations Mahadeva, offering libations Skanda, offering libations Vināyaka.
1.4.2	In the respective directions, he offers oblations to the deities of the directions by reciting their names: "I offer oblations to Indra, I offer oblations to Yama, I offer obulations to Varuna, I offer obutations to Kubera, I offer oblications to Agni, I offer obications to Nirriti, I offer oblutions to Vayu, I offer obltions to Isana."
1.4.1	Then, having sipped water, having paid homage to the water with the words "This is the Kurukshetra," having enchanted the water with the great formula, he offers libations to the earth with the words "To the earth, svāhā," and so on, in the order of the Tīrthas of the palm, offering libations to the Lord of the Earth, offering libations to the Lord of the World, offering libations the Lord of Beings, offering libations Brahma, offering libations Narayana, offering libations Mahadeva, offering libations Skanda, offering libations Vināyaka.
1.4.3	I offer libation to the Sun, I offer libation Soma, I offer libations to Mars, I offer libatious to Mercury, I offer libatiou to Jupiter, I offer libaitions to Venus, I offer libatians to Saturn, I offer libautions to Rahu, I offer libautiou to Ketu, I offer liba tions to the planets.
1.4.2	In the respective directions, he offers oblations to the deities of the directions by reciting their names: "I offer oblations to Indra, I offer oblations to Yama, I offer obulations to Varuna, I offer obutations to Kubera, I offer oblications to Agni, I offer obications to Nirriti, I offer oblutions to Vayu, I offer obltions to Isana."
1.4.4	I offer libations to the stars, I offer libations of nectar, I offer libation to all the gods, and to all the deities, I offer libatious to the Vedas, I offer libatiou to the sacrifices, I offer libaitions to the metres.
1.4.5	He offers libations to the seven sages of his own family, namely, Visvamitra, Jamadagni, Bharadvaja, Gautama, Atri, Vasishtha, Kashyapa, Bhrigu, and all the sages. He offers libations also to all the wives of the sages.
1.4.6	One who is facing east performs the rites for the ancestors.
1.4.4	I offer libations to the stars, I offer libations of nectar, I offer libation to all the gods, and to all the deities, I offer libatious to the Vedas, I offer libatiou to the sacrifices, I offer libaitions to the metres.
1.4.7	"He offers libations to the Pitrs, to the grandfathers, to the great-grandfathers, to the groups of kinsmen, to the wives of the Pitrs, of the grandfathers, of the great-grand fathers, and of the groups of kinsman, saying, "To Svadha, salutations, I offer libations."
1.4.8	Then, with the sacred thread passing over the left shoulder, he offers libations to the terrestrial deities, to the celestial and terrestrial deities, to serpents, to the celestial serpents, and says, "May all those who desire water accept it." Having released the water and sipped it, he performs the Brahma-sacrifice.
1.4.9	Having spread the sacrificial grass in a pure place, having occupied the seat of Brahma, having purified his hands, having joined his palms, facing the east, reciting the Savitri mantra first, and reciting the verses "O Agni, may you be pleased with me" and so forth as desired.
1.4.7	"He offers libations to the Pitrs, to the grandfathers, to the great-grandfathers, to the groups of kinsmen, to the wives of the Pitrs, of the grandfathers, of the great-grand fathers, and of the groups of kinsman, saying, "To Svadha, salutations, I offer libations."
1.4.10	The truth of the divine-created embryo that is in me, that which is slow, the purifying of Vasu, the knower of beings, the one-syllabled Vishnu with a thousand heads, I have brought to you. O Agni, purify yourself. One should recite the Saura hymns as desired and worship the Sun.
1.4.8	Then, with the sacred thread passing over the left shoulder, he offers libations to the terrestrial deities, to the celestial and terrestrial deities, to serpents, to the celestial serpents, and says, "May all those who desire water accept it." Having released the water and sipped it, he performs the Brahma-sacrifice.
1.4.9	Having spread the sacrificial grass in a pure place, having occupied the seat of Brahma, having purified his hands, having joined his palms, facing the east, reciting the Savitri mantra first, and reciting the verses "O Agni, may you be pleased with me" and so forth as desired.
1.5.1	If one is unable to wash one's feet and perform the ritual of sipping water every day, then one should recite the divine Vaisnava mantra after reciting the divine Vayu and Agni mantras, or perform the ritual of bathing with mantras. Then one should perform the ritual of sipsing water and other rituals as before.
1.5.2	The divine bathing is done with the waters of the Ganges that have fallen from heaven, with the waters of rivers that are flowing, or with the waters of rain that have fallen from the sky.
1.4.10	The truth of the divine-created embryo that is in me, that which is slow, the purifying of Vasu, the knower of beings, the one-syllabled Vishnu with a thousand heads, I have brought to you. O Agni, purify yourself. One should recite the Saura hymns as desired and worship the Sun.
1.5.3	Touching with dust brought by the wind from the feet of cows is Vāyavy.
1.5.4	Smearing all the limbs with pure ash is Āgneya.
1.5.5	Sprinkling with the mantra "Obeisance to the waters" and with the Agni Tīrtha is Mantra Snana.
1.5.1	If one is unable to wash one's feet and perform the ritual of sipping water every day, then one should recite the divine Vaisnava mantra after reciting the divine Vayu and Agni mantras, or perform the ritual of bathing with mantras. Then one should perform the ritual of sipsing water and other rituals as before.
1.5.2	The divine bathing is done with the waters of the Ganges that have fallen from heaven, with the waters of rivers that are flowing, or with the waters of rain that have fallen from the sky.
1.5.6	The middle part of the right hand is the Agni Tīrtha, the root of the little finger is the Daivī Tīrtha. The root and tip of all fingers is the Ṛṣī Tīrthi. The middle between the index finger and the thumb is the Pitrī Tīrtha and the root of the thumb is the Brāhmī Tīrth.
1.5.7	One should wear the sacred thread with the Daivī tīrtha for performing the divine rites.
1.5.8	With the Ṛṣi tīrtha for the rites of the sages.
1.5.9	With the Pitrī tīrtha for rites of the ancestors.
1.5.3	Touching with dust brought by the wind from the feet of cows is Vāyavy.
1.5.4	Smearing all the limbs with pure ash is Āgneya.
1.5.5	Sprinkling with the mantra "Obeisance to the waters" and with the Agni Tīrtha is Mantra Snana.
1.5.10	He performs the offering of water to the Brahmins with the Brahmic mantra, and sprinkles himself with the Agni-Tīrtha water.
1.5.11	Having raised the right hand, one should wear the sacred thread. One who wears the sacred thread on the left side is called Prācīna-vītī. One who wears it hanging from the neck is called Nivītī.
1.5.12	It is understood that after bathing on an auspicious day, one should perform the consecration Homa.
1.6.1	Then, having invited five Brahmins, he honours them.
1.5.6	The middle part of the right hand is the Agni Tīrtha, the root of the little finger is the Daivī Tīrtha. The root and tip of all fingers is the Ṛṣī Tīrthi. The middle between the index finger and the thumb is the Pitrī Tīrtha and the root of the thumb is the Brāhmī Tīrth.
1.5.7	One should wear the sacred thread with the Daivī tīrtha for performing the divine rites.
1.5.8	With the Ṛṣi tīrtha for the rites of the sages.
1.5.9	With the Pitrī tīrtha for rites of the ancestors.
1.6.2	The teacher, having filled the pot with water, should recite the mantra "Oṃ, the water is auspicious" and then worship the water from all the sacred places with flowers and other offerings. Having placed the reciters facing east or north, he should resolve, "I am performing the auspicious ceremony facing north." Having sprinkled the place with the mantra "May it be well-sprinkled," he says "May Prajapati be pleased" and makes them recite "May he be pleased.
1.6.3	"May the terrible ones be appeased." He sprinkles water three times with this verse.
1.5.10	He performs the offering of water to the Brahmins with the Brahmic mantra, and sprinkles himself with the Agni-Tīrtha water.
1.5.11	Having raised the right hand, one should wear the sacred thread. One who wears the sacred thread on the left side is called Prācīna-vītī. One who wears it hanging from the neck is called Nivītī.
1.5.12	It is understood that after bathing on an auspicious day, one should perform the consecration Homa.
1.6.1	Then, having invited five Brahmins, he honours them.
1.6.4	Therefore, the gods are the foremost. "In the divine, I sprinkle you." The foremost in the funeral rite. "You are pure in the offering." The foremost in a ghost. "The givers of wealth." Savitar. "The new, the new." The hundred flashes. The eight living gods. The golden form. We attain the praise. I have obtained the noble Soma. The king. Indra and Varuna. For prosperity. Born. The buzzing. The one who is in your heart. For whom you are. The man. The offspring. The well-guarded. The one with a hundred weapons. The one with the Dakshina. The one with good. With the ears. The hundred. Aditi. The heaven. All the priests should say this.
1.6.2	The teacher, having filled the pot with water, should recite the mantra "Oṃ, the water is auspicious" and then worship the water from all the sacred places with flowers and other offerings. Having placed the reciters facing east or north, he should resolve, "I am performing the auspicious ceremony facing north." Having sprinkled the place with the mantra "May it be well-sprinkled," he says "May Prajapati be pleased" and makes them recite "May he be pleased.
1.6.3	"May the terrible ones be appeased." He sprinkles water three times with this verse.
1.7.1	May the gods, the sages, the ancestors, the planets, the goddesses, the wives of the sages, the wives of ancestors, the Vedas, and all the sacrifices be pleased. May there be a reply within.
1.7.2	May there be auspicious, life-giving, healthy, unobstructed, unshakable, and prosperous. May any sin be obstructed. May the auspicious and beneficial be accomplished. May the auspicious be the side. May there be the reply within.
1.7.3	May the auspicious seasons be auspicious, may the auspicious stars be auspicious. May all undertakings be successful. May there be plenty of wealth and grain. Thus they say each one separately. This is the reply.
1.7.4	Whatever merit there is, may we attain prosperity. The others repeat what was said earlier.
1.6.4	Therefore, the gods are the foremost. "In the divine, I sprinkle you." The foremost in the funeral rite. "You are pure in the offering." The foremost in a ghost. "The givers of wealth." Savitar. "The new, the new." The hundred flashes. The eight living gods. The golden form. We attain the praise. I have obtained the noble Soma. The king. Indra and Varuna. For prosperity. Born. The buzzing. The one who is in your heart. For whom you are. The man. The offspring. The well-guarded. The one with a hundred weapons. The one with the Dakshina. The one with good. With the ears. The hundred. Aditi. The heaven. All the priests should say this.
1.7.5	The name of the patron, the name of the constellation, etc., the name of the maternal lineage ending with the son, and the name of the mother's lineage ending with the maternal uncle, the name ending with Sharma, beginning with Om, may you speak the auspicious, ending with prosperity, each three times, three times, as stated in the case endings, they should recite.
1.7.6	He sprinkles with the waters, gold, and Pavamana verses.
1.7.1	May the gods, the sages, the ancestors, the planets, the goddesses, the wives of the sages, the wives of ancestors, the Vedas, and all the sacrifices be pleased. May there be a reply within.
1.7.2	May there be auspicious, life-giving, healthy, unobstructed, unshakable, and prosperous. May any sin be obstructed. May the auspicious and beneficial be accomplished. May the auspicious be the side. May there be the reply within.
1.7.7-9	When a meritorious day is made, that day becomes meritorious. At the beginning or end of all meritorious rites, they become fulfilled. "When the time for giving Dakṣiṇā is announced, one gives Dakṣiṇās as much as one can, taking ghee and water, and gives with the right hand, saying, "You are taken by me." They take it, saying, "> You are Agni, the Hotṛ of sacrifices."
1.7.3	May the auspicious seasons be auspicious, may the auspicious stars be auspicious. May all undertakings be successful. May there be plenty of wealth and grain. Thus they say each one separately. This is the reply.
1.7.4	Whatever merit there is, may we attain prosperity. The others repeat what was said earlier.
1.7.10	Where there is the giving of Dakṣiṇā, there it is known to be so.
1.8.1	Now the fire altar.
1.8.2	In a pure place sloping towards the east or the north, smeared with cowdung, with pure sand, the sacrificial pit is made in the shape of a mound, thirty-two inches long from east to west and north to south, two inches high, or as high as possible.
1.7.5	The name of the patron, the name of the constellation, etc., the name of the maternal lineage ending with the son, and the name of the mother's lineage ending with the maternal uncle, the name ending with Sharma, beginning with Om, may you speak the auspicious, ending with prosperity, each three times, three times, as stated in the case endings, they should recite.
1.7.6	He sprinkles with the waters, gold, and Pavamana verses.
1.8.3	The sacrificial grass should be spread in the form of a mound measuring fifteen angulas in each direction. The sacrificial pits should be thirty-six angulas in size and one angula in depth, without any holes or curves.
1.8.4	The sprinkling ladle should be made of fifteen darbha grass, with a tip of four angulas and a knot of two angulas, and should be one hand span in length.
1.8.5	Similarly, the purifying grass should be twelve angulas in length.
1.7.7-9	When a meritorious day is made, that day becomes meritorious. At the beginning or end of all meritorious rites, they become fulfilled. "When the time for giving Dakṣiṇā is announced, one gives Dakṣiṇās as much as one can, taking ghee and water, and gives with the right hand, saying, "You are taken by me." They take it, saying, "> You are Agni, the Hotṛ of sacrifices."
1.7.10	Where there is the giving of Dakṣiṇā, there it is known to be so.
1.8.1	Now the fire altar.
1.8.6	The sacrificial materials like the Samidha, the vessel, the ladle, etc., mentioned in the Yajna are in accordance with that.
1.8.7	In the case of Darbha grass, the collection of the vessel and other materials is done in pairs. In the case of the divine Yajna, it is done in the right direction. In the case o f the ancestral Yajna, the collection is done in the left direction.
1.8.2	In a pure place sloping towards the east or the north, smeared with cowdung, with pure sand, the sacrificial pit is made in the shape of a mound, thirty-two inches long from east to west and north to south, two inches high, or as high as possible.
1.8.8	In the fire-room for the daily sacrifice, he makes a fire-pit of clay, thirty-two inches long in each of the four directions, four inches wide, and two inches high, with a raised altar four inches wide and high, surrounding it, and a lower altar around that, and in the middle a fire-pit six inches deep. Having placed the fire for daily worship in this, the householder offers daily sacrifices.
1.8.3	The sacrificial grass should be spread in the form of a mound measuring fifteen angulas in each direction. The sacrificial pits should be thirty-six angulas in size and one angula in depth, without any holes or curves.
1.8.4	The sprinkling ladle should be made of fifteen darbha grass, with a tip of four angulas and a knot of two angulas, and should be one hand span in length.
1.8.5	Similarly, the purifying grass should be twelve angulas in length.
1.8.9	We shall describe the rite of Agnihotra for the forest-dweller and the special rite of offering oblations.
1.9.1	Now the rite of offering oblation:
1.9.2	Seated facing east, one should sprinkle the Agnilaya with the mantra "Agne, I am Indra" and scatter Darbha grass in the four directions with the mantras "May the gods be in me" and so forth.
1.9.3	The fire is being dug out in the middle, east, west, south, Agni, Nirriti, Soma, Ishana, Maruts and the grass.
1.8.6	The sacrificial materials like the Samidha, the vessel, the ladle, etc., mentioned in the Yajna are in accordance with that.
1.8.7	In the case of Darbha grass, the collection of the vessel and other materials is done in pairs. In the case of the divine Yajna, it is done in the right direction. In the case o f the ancestral Yajna, the collection is done in the left direction.
1.9.4	Then having written the six lines thus, "Obeisance to the pure and the pure," and having placed the curved darbha grass in the south-west direction, having sprinkled the line with the Gayatri mantra, having taken the kindling wood with the mantra, "O Jatavedas, the knower of all worlds," and having brought the worldly fire produced by churning, one should bring it.
1.8.8	In the fire-room for the daily sacrifice, he makes a fire-pit of clay, thirty-two inches long in each of the four directions, four inches wide, and two inches high, with a raised altar four inches wide and high, surrounding it, and a lower altar around that, and in the middle a fire-pit six inches deep. Having placed the fire for daily worship in this, the householder offers daily sacrifices.
1.9.5	Having kindled the fire with the verse, "May the fire be kind to us," and having bowed down with the verse, “May the fire be gracious to us,” he places it with the verse, "O Agni, come to your own abode." Having kindled the fire again with the verse, "I take thee in me," and having bowed down, he washes his hands with the verse,"For the sake of the rite, O Agni." He then offers the Agnihotra with the verse,"
1.8.9	We shall describe the rite of Agnihotra for the forest-dweller and the special rite of offering oblations.
1.9.1	Now the rite of offering oblation:
1.9.2	Seated facing east, one should sprinkle the Agnilaya with the mantra "Agne, I am Indra" and scatter Darbha grass in the four directions with the mantras "May the gods be in me" and so forth.
1.9.3	The fire is being dug out in the middle, east, west, south, Agni, Nirriti, Soma, Ishana, Maruts and the grass.
1.9.4	Then having written the six lines thus, "Obeisance to the pure and the pure," and having placed the curved darbha grass in the south-west direction, having sprinkled the line with the Gayatri mantra, having taken the kindling wood with the mantra, "O Jatavedas, the knower of all worlds," and having brought the worldly fire produced by churning, one should bring it.
1.9.6	Having recited the formula, "These are the auspicious waters," he touches the waters. "Do you approve of me touching the southern altar?" He touches the southern altar from the south-east corner to the south-west corner. "Do you also approve of me touching this altar?" He touches it from the south-west to the north-west corner. He touches the western altar from the north-west to the south-east. "Do you (also) approve of me touching it?" He touches it in the same way. He touches the northern altar from the south to the north. "Do you, O Sarasvati, approve of me touching (the altar)?" He touches it. "O God Savitar, do you approve of me spreading the eastern altar?" He spreads the eastern altar from the south east to the north-east. Having spread the altars, he sprinkles them with the Gayatri verse.
1.9.5	Having kindled the fire with the verse, "May the fire be kind to us," and having bowed down with the verse, “May the fire be gracious to us,” he places it with the verse, "O Agni, come to your own abode." Having kindled the fire again with the verse, "I take thee in me," and having bowed down, he washes his hands with the verse,"For the sake of the rite, O Agni." He then offers the Agnihotra with the verse,"
1.9.7	Having appointed Brahma and Soma as the priests, the Adhvaryu says to the king, "O Lord of the world!" Looking at each of them, when they say, "I am the Lord of the earth," he says, "Brahman, I shall sprinkle Soma." Having said this, when they say again, "Sprinkle," he sprinkles accordingly.
1.10.1	Having taken them from the vessel, having placed them on the altar, having sprinkled them with the formula, "This is the axe, this is the razor", having loosened the binding of the kindling woods, having sprinkled the altar with the formula, "This is the black one, this is the altar," having sprinkled the ladle etc. with the formula, "This is the sacrificial grass, this is for the ladle," having sprinkled the tip of the sacrificial grass with the formula, “For heaven thee,” the middle with the formula, ”For the atmosphere thee,” and the root with the formula, „For the earth thee.”
1.9.6	Having recited the formula, "These are the auspicious waters," he touches the waters. "Do you approve of me touching the southern altar?" He touches the southern altar from the south-east corner to the south-west corner. "Do you also approve of me touching this altar?" He touches it from the south-west to the north-west corner. He touches the western altar from the north-west to the south-east. "Do you (also) approve of me touching it?" He touches it in the same way. He touches the northern altar from the south to the north. "Do you, O Sarasvati, approve of me touching (the altar)?" He touches it. "O God Savitar, do you approve of me spreading the eastern altar?" He spreads the eastern altar from the south east to the north-east. Having spread the altars, he sprinkles them with the Gayatri verse.
1.10.2	"For the nourishment of thee" (he says) while pouring out water on the grass-binding. "Svāhā to the Fathers" (he says), having sprinkled towards the right, he should pour the remaining water towards the west, with the tip towards the north, saying, "May there be strength."
1.10.3	"With both" (he says while) washing the hands.
1.9.7	Having appointed Brahma and Soma as the priests, the Adhvaryu says to the king, "O Lord of the world!" Looking at each of them, when they say, "I am the Lord of the earth," he says, "Brahman, I shall sprinkle Soma." Having said this, when they say again, "Sprinkle," he sprinkles accordingly.
1.10.1	Having taken them from the vessel, having placed them on the altar, having sprinkled them with the formula, "This is the axe, this is the razor", having loosened the binding of the kindling woods, having sprinkled the altar with the formula, "This is the black one, this is the altar," having sprinkled the ladle etc. with the formula, "This is the sacrificial grass, this is for the ladle," having sprinkled the tip of the sacrificial grass with the formula, “For heaven thee,” the middle with the formula, ”For the atmosphere thee,” and the root with the formula, „For the earth thee.”
1.10.4	Having released the binding of the sacrificial grass with the formula, "Pūṣan is this," having touched the sun with the formula, “Thou art the sign above the root,” having spread the sacrificial grass with its tips towards the west and below the altar with the formula, "This is the grass-cover," having placed one with its tip towards the east on the seat with the formula, "For the gods who are seated," having placed the stool of Viṣṇu with the formula,"Thou art the stool of Vişnu," towards the east, towards the south with the formula,"Thou art the stool towards the south," towards the north with the formula,"Thou art the stool to the north," towards the west with the formula, ”Thou art the stool in the west,” he spreads the sacrificial grass with their tips towards the east and north towards the north-east, with the formula, „Thou art the Gandharva.” Towards the west with the verse, „Thou art Indra.” Towards the south with the verse, “Thou art Mitra-Varuṇa.” Towards the north with the verse, ”Thou art Mitra- Varuna.” He places the sacrificial vessels around the altar with their tips towards east and north.
1.10.2	"For the nourishment of thee" (he says) while pouring out water on the grass-binding. "Svāhā to the Fathers" (he says), having sprinkled towards the right, he should pour the remaining water towards the west, with the tip towards the north, saying, "May there be strength."
1.10.3	"With both" (he says while) washing the hands.
1.11.1	He places the northern end upwards in the wind-quarter.
1.11.2	The sun is in the east, the northern end is above, the serpents are below, and he sprinkles around. Vītihotra is in the fire-chamber. He places the northern ends of the kindling woods in the quarters of Agni and Īśa.
1.11.3	Having sprinkled the ground with the formula, "Having sprinkled the ground with water, one should sprinkle the ground with water from the north to the east, with the formula, "Having sprinkled the ground, one should sprinkle it with water from the south to the north, with the same formula. Having sprinkled the ground from the east to the west, and from the west to the east, one should sprinkle with water from the east to north-east, with the formula "Having sprinkled the water, one should then sprinkle the ground with the water from the east, with this formula."
1.10.4	Having released the binding of the sacrificial grass with the formula, "Pūṣan is this," having touched the sun with the formula, “Thou art the sign above the root,” having spread the sacrificial grass with its tips towards the west and below the altar with the formula, "This is the grass-cover," having placed one with its tip towards the east on the seat with the formula, "For the gods who are seated," having placed the stool of Viṣṇu with the formula,"Thou art the stool of Vişnu," towards the east, towards the south with the formula,"Thou art the stool towards the south," towards the north with the formula,"Thou art the stool to the north," towards the west with the formula, ”Thou art the stool in the west,” he spreads the sacrificial grass with their tips towards the east and north towards the north-east, with the formula, „Thou art the Gandharva.” Towards the west with the verse, „Thou art Indra.” Towards the south with the verse, “Thou art Mitra-Varuṇa.” Towards the north with the verse, ”Thou art Mitra- Varuna.” He places the sacrificial vessels around the altar with their tips towards east and north.
1.11.4	"Thou art of the forest." Having sprinkled, he takes up the water with the formula, "I shall take up the water from the earth." Having filled it with water along with the grains, he puts the filter of the Vasus in the water with the verse, "O filter, thou art in front." Holding it with the right hand and measuring it with the left, he purifies it three times with the verse, "O god Savitr," and places it thus.
1.11.1	He places the northern end upwards in the wind-quarter.
