1.1.1	Now we shall declare the method.
1.2.30	The ladle and the vessel of clarified butter.
1.2.21	"With the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, I spread the Paristriṇa grass with the permission (of the gods)."
1.2.22	Thus he makes the northern ones to be of odd number.
1.2.23	Where they meet, he makes it to be in the southern and northern directions.
1.2.24	He sprinkles the spread (grass) with the formula, "I sprinkle thee, the agreeable to the oblations."
1.2.31	Having taken the melted and purified ghee, having placed it, having encircled it with fire, having removed it towards the north, having placed it behind the fire, having poured it with the two strainers with the tips towards the north, he says:
1.2.32	You are purified by the mind of Vishnu.
1.2.33	May the god Savitar purify you.
1.2.25	The unsprinkled and unstrewn (grass) would not be fit for use.
1.2.26	The offering is the taking up.
1.2.27	The oblation is not purified.
1.2.28	The sacrificial implements are not sprinkled.
1.2.29	He puts in it the washed and dried (grass).
1.2.30	The ladle and the vessel of clarified butter.
1.2.34	With the unpierced purifying (spoon) having a hundred and a thousand strands, I purify thee with good Soma. Thus the third (verse).
1.2.35	The fourth (verse) is silent.
1.2.36	He pours clarified butter over the cooked oblation, saying, "Thou art joined with honey, thou art like ghee."
1.2.31	Having taken the melted and purified ghee, having placed it, having encircled it with fire, having removed it towards the north, having placed it behind the fire, having poured it with the two strainers with the tips towards the north, he says:
1.2.32	You are purified by the mind of Vishnu.
1.2.33	May the god Savitar purify you.
1.2.34	With the unpierced purifying (spoon) having a hundred and a thousand strands, I purify thee with good Soma. Thus the third (verse).
1.2.35	The fourth (verse) is silent.
1.2.36	He pours clarified butter over the cooked oblation, saying, "Thou art joined with honey, thou art like ghee."
1.2.37	He pours the clarified butter over the oblation and then sets it aside with the verse, "Do thou, O Agni, set aside the oblation cooked for thee. Do thou sit on the back of the immortal abode."
1.2.38	Having placed the clarified butter behind the oblation and having adorned it, he purifies it with the same verse.
1.2.39	He looks at it with the verse, “Thou art the giver of food.”
1.2.40	He stands up with the verse, addressed to Indra, “Do thou rise up.”
1.2.37	He pours the clarified butter over the oblation and then sets it aside with the verse, "Do thou, O Agni, set aside the oblation cooked for thee. Do thou sit on the back of the immortal abode."
1.2.38	Having placed the clarified butter behind the oblation and having adorned it, he purifies it with the same verse.
1.2.39	He looks at it with the verse, “Thou art the giver of food.”
1.2.40	He stands up with the verse, addressed to Indra, “Do thou rise up.”
1.2.41	"He places it with three verses, 'May Agni be here', or 'To him the Kshatriyas'.
1.3.1	'I yoke thee with divine Brahman, as a carrier of oblations, O Jatavedas. May we live long, having been offered to thee, O Agni, the kindler, the giver of wealth, the bestower of food, the lord of riches, the lord of the house, the lord of cattle, the lord of men, the lord of all beings.'
1.3.2	Having placed the water-pot to the right, he recites over it: "Hold the water-pot as Brahmāpati, the upholder of truth, held it at the Savana of the god Savitr."
1.2.41	"He places it with three verses, 'May Agni be here', or 'To him the Kshatriyas'.
1.3.1	'I yoke thee with divine Brahman, as a carrier of oblations, O Jatavedas. May we live long, having been offered to thee, O Agni, the kindler, the giver of wealth, the bestower of food, the lord of riches, the lord of the house, the lord of cattle, the lord of men, the lord of all beings.'
1.3.3	Then he sprinkles water, saying, "Here let the goddesses, clothed in immortality, golden-hued, faultless in form, the waters, the ocean, and King Varuna enjoy the offerings of the oblation. Let the waters, sent by Indra and produced by Varuna, carry from the ocean to heaven. Let the waters sent by Indra and generated by Varuna carry from heaven to earth the glory."
1.3.2	Having placed the water-pot to the right, he recites over it: "Hold the water-pot as Brahmāpati, the upholder of truth, held it at the Savana of the god Savitr."
1.3.4	Having sprinkled with the formula, "I sprinkle thee with truth and with truth, O Jātavedas," and having sipped water with the formulas for sipping water, he rises and goes to the Veda-path with the formulas, "I go to the Veda-paths, I go to the earth, I go to heaven, I go to Janat."
1.3.3	Then he sprinkles water, saying, "Here let the goddesses, clothed in immortality, golden-hued, faultless in form, the waters, the ocean, and King Varuna enjoy the offerings of the oblation. Let the waters, sent by Indra and produced by Varuna, carry from the ocean to heaven. Let the waters sent by Indra and generated by Varuna carry from heaven to earth the glory."
1.3.5	Having approached and having spread darbha-grass on the spread out (grass), he sits down on the seat of Brahma, saying, "He who is more worthy of our worship than this one, may he sit in his seat."
1.3.6	"The dust has been removed along with evil. May he who hates us and whom we hate be removed." Having removed the grass towards the south,
1.3.4	Having sprinkled with the formula, "I sprinkle thee with truth and with truth, O Jātavedas," and having sipped water with the formulas for sipping water, he rises and goes to the Veda-path with the formulas, "I go to the Veda-paths, I go to the earth, I go to heaven, I go to Janat."
1.3.7	Having touched it, he mutters this verse: "I am seated in the abode of Arvāgvāsa, I am seated in the house of nectar, I am seated at the house of truth, I am seated on the house of what is desired, I am seated upon the house of fulfilment. May the divine sacrificial grass, which is self-existent, be seated upon me. May it be soft, without sorrow."
1.3.5	Having approached and having spread darbha-grass on the spread out (grass), he sits down on the seat of Brahma, saying, "He who is more worthy of our worship than this one, may he sit in his seat."
1.3.6	"The dust has been removed along with evil. May he who hates us and whom we hate be removed." Having removed the grass towards the south,
1.3.8	Having sat down on the grass-bed, he mutters the Brahma-muttering, "May Brihaspati, the Brahman, be seated in the Brahman-seat. O Brihaspati, protect the sacrifice. Whatever has been raised up, may I be able to protect it."
1.3.7	Having touched it, he mutters this verse: "I am seated in the abode of Arvāgvāsa, I am seated in the house of nectar, I am seated at the house of truth, I am seated on the house of what is desired, I am seated upon the house of fulfilment. May the divine sacrificial grass, which is self-existent, be seated upon me. May it be soft, without sorrow."
1.3.8	Having sat down on the grass-bed, he mutters the Brahma-muttering, "May Brihaspati, the Brahman, be seated in the Brahman-seat. O Brihaspati, protect the sacrifice. Whatever has been raised up, may I be able to protect it."
1.3.9	Having wiped the ladle with darbha-blades, he heats it with the formula, "The Rakshas is heated; the evil spirits are heated; the Rakshas is repelled; the evil spirits repelled." Having heated it, he takes up the ladle at the root and mutters the formula, "Thou art the right hand of Vishnu, given by Pusan, of Brihaspati. I take thee, the ladle, the carrier of the oblations of the gods. This ladle distributes the oblations with the Jagati metre of a hundred syllables. All the oblations are smeared with the Barhaspatya Iṣṭi, with the divine blessing."
1.3.10	"Oṃ, Bhūḥ Śaṃ, I take you for prosperity and for prosperity." Thus he takes the first cup.
1.3.11	"Oṃ, Bhuvaḥ Śaṃ I take you for nourishment and for nourishment." Thus the second.
1.3.12	"O, Svāḥ Śaṃ. I take you for a thousandfold nourishment." Thus the third.
1.3.13	"O Jagat Śaṃ. Oṃ, I take thee for unlimited nourishment." Thus the fourth.
1.3.9	Having wiped the ladle with darbha-blades, he heats it with the formula, "The Rakshas is heated; the evil spirits are heated; the Rakshas is repelled; the evil spirits repelled." Having heated it, he takes up the ladle at the root and mutters the formula, "Thou art the right hand of Vishnu, given by Pusan, of Brihaspati. I take thee, the ladle, the carrier of the oblations of the gods. This ladle distributes the oblations with the Jagati metre of a hundred syllables. All the oblations are smeared with the Barhaspatya Iṣṭi, with the divine blessing."
1.3.14	In the rites of kings and sorcery, he takes it with the formula, "I take thee for Prāṇa, Apāna, Vyāna, Samāna and Udāna." This is the fifth.
1.3.15	He offers with the formula, “Agni in Agni, purified by the heart, yoked, the eye of sacrifice.”
1.3.16	Behind the fire, in the middle region, at the same place as the offerings made in front.
1.3.10	"Oṃ, Bhūḥ Śaṃ, I take you for prosperity and for prosperity." Thus he takes the first cup.
1.3.11	"Oṃ, Bhuvaḥ Śaṃ I take you for nourishment and for nourishment." Thus the second.
1.3.12	"O, Svāḥ Śaṃ. I take you for a thousandfold nourishment." Thus the third.
1.3.13	"O Jagat Śaṃ. Oṃ, I take thee for unlimited nourishment." Thus the fourth.
1.3.17	He brings the remnants of the oblations of ghee to the south of the fire.
1.3.18	The oblation before the Homa, the oblation of ghee, the oblation at the end of the Homa, and prosperity are for the peaceful ones.
1.3.19	These are the two oblations of ghee.
1.3.14	In the rites of kings and sorcery, he takes it with the formula, "I take thee for Prāṇa, Apāna, Vyāna, Samāna and Udāna." This is the fifth.
1.3.15	He offers with the formula, “Agni in Agni, purified by the heart, yoked, the eye of sacrifice.”
1.3.16	Behind the fire, in the middle region, at the same place as the offerings made in front.
1.4.1	I offer the price to Agni, the great, the knower of heaven, to the shining one. May he make the firm and strong. He places us far away for life. To Agni svāhā. In the northeast corner he offers the Ajya-portion to Agni.
1.3.17	He brings the remnants of the oblations of ghee to the south of the fire.
1.3.18	The oblation before the Homa, the oblation of ghee, the oblation at the end of the Homa, and prosperity are for the peaceful ones.
1.3.19	These are the two oblations of ghee.
1.4.2	In the southeast corner, "O Soma, thou art the divine, man-seeing Soma, the path to heaven for us. Thou, knowing our lineage, like one who knows, dost lead us. Thou seekest our speech, which is eager. To Soma, hail!"
1.4.3	In the middle, the oblation.
1.4.1	I offer the price to Agni, the great, the knower of heaven, to the shining one. May he make the firm and strong. He places us far away for life. To Agni svāhā. In the northeast corner he offers the Ajya-portion to Agni.
1.4.4	Having spread clarified butter, he offers twice from the oblation with the two joined fingers, from the middle and from the eastern half.
1.4.5	Having poured over the offering material that has been cut, he pours over it twice.
1.4.6	He offers in succession from whichever part he has offered.
1.4.7	All the offerings are made in this way.
1.4.8	Except for the Sauvitkratu.
1.4.2	In the southeast corner, "O Soma, thou art the divine, man-seeing Soma, the path to heaven for us. Thou, knowing our lineage, like one who knows, dost lead us. Thou seekest our speech, which is eager. To Soma, hail!"
1.4.3	In the middle, the oblation.
1.4.9	"May he lead it upwards." Thus he offers the first one, which is connected with the pre-homa, in the east.
1.4.10	Thus he offers each one, which is linked with the previous one.
1.4.11	The offerings are concluded with "Svāhā."
1.4.12	The offering of the northern part of the Agnihotra is connected with the Rakshas deity, and the offering of the southern part of the Soma is connected with the Pitrs deity.
1.4.13	Therefore, the offerings should be made in between. The offerings are made only in the world of the gods.
1.4.4	Having spread clarified butter, he offers twice from the oblation with the two joined fingers, from the middle and from the eastern half.
1.4.5	Having poured over the offering material that has been cut, he pours over it twice.
1.4.6	He offers in succession from whichever part he has offered.
1.4.7	All the offerings are made in this way.
1.4.8	Except for the Sauvitkratu.
1.4.14	When one offers the subsequent oblation after having offered the preceding one, it is called 'approaching'. The sacrificer becomes more sinful.
1.4.15	When one offers the subsequent and subsequent oblations together, it is called ‘overcoming’. The sacrificer becomes superior.
1.4.16	When one makes an offering without fire, it is called a ‘blind’ offering. The sacrificer becomes blind.
1.4.9	"May he lead it upwards." Thus he offers the first one, which is connected with the pre-homa, in the east.
1.4.10	Thus he offers each one, which is linked with the previous one.
1.4.11	The offerings are concluded with "Svāhā."
1.4.12	The offering of the northern part of the Agnihotra is connected with the Rakshas deity, and the offering of the southern part of the Soma is connected with the Pitrs deity.
1.4.13	Therefore, the offerings should be made in between. The offerings are made only in the world of the gods.
1.4.17	The oblation offered in the smoke is offered in darkness, and the sacrificer becomes lustreless.
1.4.18	The oblation offered in Jyotishmati makes one lustrous. Therefore one should offer in Jyotishmatī.
1.4.19	Thus Agni and Soma are his power. This is of the Agniṣṭoma.
1.4.14	When one offers the subsequent oblation after having offered the preceding one, it is called 'approaching'. The sacrificer becomes more sinful.
1.4.15	When one offers the subsequent and subsequent oblations together, it is called ‘overcoming’. The sacrificer becomes superior.
1.4.16	When one makes an offering without fire, it is called a ‘blind’ offering. The sacrificer becomes blind.
1.5.1	Agni and Soma, with your knowledge, you have sung the praise of the giver. You have become the gods together. You two have placed these bright ones in heaven. Agni and Soma, the wise, have given them. You two have released the rivers from the curse of the sinner. Agni and Soma have released the rivers that were bound. Agni and Soma who offers a libation, who gives you oblations from the giver, he obtains offspring, great strength, and all life.
1.4.17	The oblation offered in the smoke is offered in darkness, and the sacrificer becomes lustreless.
1.4.18	The oblation offered in Jyotishmati makes one lustrous. Therefore one should offer in Jyotishmatī.
1.4.19	Thus Agni and Soma are his power. This is of the Agniṣṭoma.
1.5.1	Agni and Soma, with your knowledge, you have sung the praise of the giver. You have become the gods together. You two have placed these bright ones in heaven. Agni and Soma, the wise, have given them. You two have released the rivers from the curse of the sinner. Agni and Soma have released the rivers that were bound. Agni and Soma who offers a libation, who gives you oblations from the giver, he obtains offspring, great strength, and all life.
1.5.2	Indra and Agni, ye who are adorned with strength, in the sky's bright regions, that your might, O Indra and Agni, may be praised, and ye may break the Vritra, and win the prize. Indra and Agni, the helpers, the companions, the rulers of the wealth of the people, the winners of the prize, the conquerors, may Indra and Agni protect us, who are the givers of offspring to the offspring of men, who are the bestowers of offspring, of good strength, of all life, of cattle, of gold, of wealth, of horses, O Indra and Agnis, may we prosper. Svāhā.
1.5.3	The oblation of Indra-Agni is at the New Moon.
1.5.4	The oblations of prosperity and the optional oblations are before the Svishtakrit oblation at the Parvan sacrifice.
1.5.5	"The full moon is after," at the Full Moon.
1.5.6	"What the gods have done for you as your share," at the New Moon.
1.5.2	Indra and Agni, ye who are adorned with strength, in the sky's bright regions, that your might, O Indra and Agni, may be praised, and ye may break the Vritra, and win the prize. Indra and Agni, the helpers, the companions, the rulers of the wealth of the people, the winners of the prize, the conquerors, may Indra and Agni protect us, who are the givers of offspring to the offspring of men, who are the bestowers of offspring, of good strength, of all life, of cattle, of gold, of wealth, of horses, O Indra and Agnis, may we prosper. Svāhā.
1.5.7	To inspiration, to thee, hail! To desire, to thee, heil! To prosperity, to thee, heal! To inspiration, to desire, to prosperity, to thee hail! With the verse, may I accomplish the Stoma. With the Gayatri, the Rathantara, the Brihat, with the Gayatri-yoke, hail!
1.5.8	"On the earth, bowing to Agni, thus: "With your blessings, O Prajapati, none other than you."
1.5.9-10	Having spread clarified butter, he takes up the oblations of all (deities) one by one from the north, and pours clarified butter over them twice.
1.5.11	We have reached the path of the gods, we are able to follow it. Agni, the knower, the one who offers, the one who is kindled, he arranges the sacrifices and the seasons. To Agni Sviṣṭakṛt, svāhā. Having offered the Avayuta oblation in the northeast, he offers all the expiatory oblations.
1.5.7	To inspiration, to thee, hail! To desire, to thee, heil! To prosperity, to thee, heal! To inspiration, to desire, to prosperity, to thee hail! With the verse, may I accomplish the Stoma. With the Gayatri, the Rathantara, the Brihat, with the Gayatri-yoke, hail!
1.5.8	"On the earth, bowing to Agni, thus: "With your blessings, O Prajapati, none other than you."
1.5.9-10	Having spread clarified butter, he takes up the oblations of all (deities) one by one from the north, and pours clarified butter over them twice.
1.5.12	To the desired ones, svāhā. To the undesired ones, svāha. To the remedy, svāhā to the well-done. To the atonement, svāhā for the ill-done. To divine bodies, svāhā! May Agni be without injury and without censure. You are indeed without injury. You are made without injury by the mind. Being without injury, I offer the oblation. Bestow on us the remedy, svāhâ. Om, svāhā, svāhā Bhūḥ, svāhā Bhuvaḥ, svāha Svaḥ, svāhâ, svāhā Bhur Bhuvaḥ Svaḥ.
1.5.11	We have reached the path of the gods, we are able to follow it. Agni, the knower, the one who offers, the one who is kindled, he arranges the sacrifices and the seasons. To Agni Sviṣṭakṛt, svāhā. Having offered the Avayuta oblation in the northeast, he offers all the expiatory oblations.
1.6.1	Whatever has been spilled from my mind, O Jātavedas, whatever has been spilled from the oblation, wherever it may be, I offer the spilled and scattered oblations. May the desires of the sacrificer be true. Svāhā.
1.6.2	"Whatever has been spilled, whatever has been forgotten" - these are the oblations for what has been spilled and forgotten.
1.6.3	"Whatever today you have exerted" - these are oblations at the end of the sacrifice.
1.6.4	"O Lord of the Mind" - with the last four spoonfuls.
1.5.12	To the desired ones, svāhā. To the undesired ones, svāha. To the remedy, svāhā to the well-done. To the atonement, svāhā for the ill-done. To divine bodies, svāhā! May Agni be without injury and without censure. You are indeed without injury. You are made without injury by the mind. Being without injury, I offer the oblation. Bestow on us the remedy, svāhâ. Om, svāhā, svāhā Bhūḥ, svāhā Bhuvaḥ, svāha Svaḥ, svāhâ, svāhā Bhur Bhuvaḥ Svaḥ.
1.6.5-8	He anoints the sacrificial grass with the remaining ghee, saying, "For the earth thee!" (he anoints) the root; "For the atmosphere thee!" (he annoints) the middle; "For the heaven thee!" (he sprinkles) the tip. Thus three times. He strikes it with, "The sacrificial grass is sprinkled." According to the deity. He holds the ladle over the fire.
1.6.9	Whatever is in the vessel of clarified butter, he pours it down. The gods who are the most generous, the most bountiful, the most generous, who sit on the sacrificial grass, they all sing this sacrifice. The gods, the immortal ones, may they be pleased.
1.6.1	Whatever has been spilled from my mind, O Jātavedas, whatever has been spilled from the oblation, wherever it may be, I offer the spilled and scattered oblations. May the desires of the sacrificer be true. Svāhā.
1.6.2	"Whatever has been spilled, whatever has been forgotten" - these are the oblations for what has been spilled and forgotten.
1.6.3	"Whatever today you have exerted" - these are oblations at the end of the sacrifice.
1.6.4	"O Lord of the Mind" - with the last four spoonfuls.
1.6.10	Thou art the ladle, unwearied in ghee, the destroyer of foes. Thou sittest in heaven, thou sittest in the atmosphere, thou sittest on earth. May I be superior, may my foes be inferior. He places the ladle with the handle towards the east.
1.6.5-8	He anoints the sacrificial grass with the remaining ghee, saying, "For the earth thee!" (he anoints) the root; "For the atmosphere thee!" (he annoints) the middle; "For the heaven thee!" (he sprinkles) the tip. Thus three times. He strikes it with, "The sacrificial grass is sprinkled." According to the deity. He holds the ladle over the fire.
1.6.11-13	I release the Brahman, the all-knowing Agni, the imperishable Hotr, the winner of the chariot. Knowing all the births of the gods, Agni carries the oblation according to his share. He offers the oblation to Agni with "Svāhā." He places the kindling wood with "You are the kindling." The second with "You are kindling." The third with "You are wood." He rubs the mouth with "You are brilliance."
1.6.10	Thou art the ladle, unwearied in ghee, the destroyer of foes. Thou sittest in heaven, thou sittest in the atmosphere, thou sittest on earth. May I be superior, may my foes be inferior. He places the ladle with the handle towards the east.
1.6.17	With the words of Indra, Mitra, and Varuna, we again raise the vessel that was established by Brahma. Having circumambulated the fire with the water pot from the east, and then from the north, and having purified oneself with the verse "O waters, ye are established, ye are bountiful," one places the water in the hands of the wife on the sacrificial grass, saying "I lead you to the ocean" or "This is the assembly of people."
1.6.11-13	I release the Brahman, the all-knowing Agni, the imperishable Hotr, the winner of the chariot. Knowing all the births of the gods, Agni carries the oblation according to his share. He offers the oblation to Agni with "Svāhā." He places the kindling wood with "You are the kindling." The second with "You are kindling." The third with "You are wood." He rubs the mouth with "You are brilliance."
1.6.14	He steps three steps towards the south, saying, "Thou art the step of Vishnu." He draws back the left foot with the right foot.
1.6.15	He turns towards the south, reciting, "The sun is covered."
1.6.16	He looks at the sun, reciting, "We have reached the heaven."
1.6.18	"May I be the wife of a hero."
1.6.19	He offers the kindling wood with the verse, "Obeisance to the lord of vows."
1.6.20	He sprinkles with the verse, "Truth is your desire." He places the remnants of the oblations facing upwards.
1.6.21	A full vessel is the Dakṣiṇā.
1.6.22	One should not make an oblation without Dakṣiṇās. If one does, one brings about sin upon oneself." So says the Brāhmaṇa.
1.6.17	With the words of Indra, Mitra, and Varuna, we again raise the vessel that was established by Brahma. Having circumambulated the fire with the water pot from the east, and then from the north, and having purified oneself with the verse "O waters, ye are established, ye are bountiful," one places the water in the hands of the wife on the sacrificial grass, saying "I lead you to the ocean" or "This is the assembly of people."
1.6.23	He feeds the Brahmanas with the Anvahaarya.
1.6.24	What is not included in the sacrifice is included by the Anvahaaryya.
1.6.25	This is the reason for the Anvahaarys being called Anvahaarya (i.e. that which is included).
1.6.26	The Brahmanas are the gods to be worshipped, and the other gods are to be worshipped with gifts.
1.6.18	"May I be the wife of a hero."
1.6.19	He offers the kindling wood with the verse, "Obeisance to the lord of vows."
1.6.20	He sprinkles with the verse, "Truth is your desire." He places the remnants of the oblations facing upwards.
1.6.21	A full vessel is the Dakṣiṇā.
1.6.22	One should not make an oblation without Dakṣiṇās. If one does, one brings about sin upon oneself." So says the Brāhmaṇa.
1.6.32	Having prepared it by means of placing, kindling, pouring, removing, adorning, and sprinkling,
1.6.23	He feeds the Brahmanas with the Anvahaarya.
1.6.24	What is not included in the sacrifice is included by the Anvahaaryya.
1.6.25	This is the reason for the Anvahaarys being called Anvahaarya (i.e. that which is included).
1.6.26	The Brahmanas are the gods to be worshipped, and the other gods are to be worshipped with gifts.
1.6.33	Now, there are two verses: The ritual up to the offering of clarified butter, and beyond that up to the Svishtakrit offering, the oblations are like the pouring of the sacrifice. The ritual is like the threads of a cloth. Having reached the Pākayajñas, which are of one clarified butter, one sacrificial grass, and one Svishtakrit, one should perform them even if they are different in deity.
1.6.34	This explains the New Moon sacrifice.
1.6.35	Here the second one is dedicated to Indra and Agni.
1.6.27	By means of the sacrifice, he pleases the gods; by means of the Anvāhārya, the ancestors.
1.6.28	Both of them are pleased with his sacrifice.
1.6.29	These two, the New and Full Moon sacrifices, have been explained.
1.6.30	The domestic sacrifices are performed with the New and Full moon sacrifices.
1.6.31	One should offer the oblation after taking it out from the pot.
1.6.32	Having prepared it by means of placing, kindling, pouring, removing, adorning, and sprinkling,
1.6.36	When they transgress, you, O Agni, are the guardian of vows. Desire is in front of that. They are peaceful.
1.7.1	One eats the cooked rice without being instructed.
1.7.2	In the rites for prosperity, one has a similar cow.
1.7.3	One offers ghee.
1.7.4	One places the kindling wood.
1.7.5	One pours down rice, barley, and sesame.
1.7.6	One eats milk rice and the juice of sacrificial cakes.
1.7.7	One gives milk rice and sour milk.
1.7.8	The first three are the seven-fold.
1.7.9	In the case of the injunction of water, one should take a water-pot.
1.7.10	One brings the materials from the east to the north.
1.7.11	From the cow to the trees.
1.7.12	From sunrise.
1.7.13	The performance of rites in the forest from the east to north.
1.6.33	Now, there are two verses: The ritual up to the offering of clarified butter, and beyond that up to the Svishtakrit offering, the oblations are like the pouring of the sacrifice. The ritual is like the threads of a cloth. Having reached the Pākayajñas, which are of one clarified butter, one sacrificial grass, and one Svishtakrit, one should perform them even if they are different in deity.
1.6.34	This explains the New Moon sacrifice.
1.6.35	Here the second one is dedicated to Indra and Agni.
1.7.14	Having performed the rites in the water, having bathed with the Apāmārga verses, having circumambulated clockwise, having touched the water, looking away from the village, they return.
1.7.15	The rites of bathing, crossing, and eating are performed with the Apāmārgā verses.
1.7.16	All the rites are to be performed with mantras.
1.7.17	In the case of a woman suffering from a disease, having bathed and sprinkled, she should start from the head and wipe down to the feet.
1.6.36	When they transgress, you, O Agni, are the guardian of vows. Desire is in front of that. They are peaceful.
1.7.1	One eats the cooked rice without being instructed.
1.7.2	In the rites for prosperity, one has a similar cow.
1.7.3	One offers ghee.
1.7.4	One places the kindling wood.
1.7.5	One pours down rice, barley, and sesame.
1.7.6	One eats milk rice and the juice of sacrificial cakes.
1.7.7	One gives milk rice and sour milk.
1.7.18-25	First, having prepared, he gives (the Soma). The three (days) beginning with the thirteenth, having smeared with curds and honey, he binds (the Soma). He places (it). The incantations and oblations are performed after the beginning. After that, the consecration of the oblations on the skin near the fire. A lump of cow dung. A skin for killing living beings. A stone without ears.
1.7.8	The first three are the seven-fold.
1.7.9	In the case of the injunction of water, one should take a water-pot.
1.7.10	One brings the materials from the east to the north.
