1.1.1	He should observe the vow from the time of his Upanayana onwards.
1.4.8	Then he mutters: "I have spoken the truth, I have spoken the truth. May it not harm me. May it harm the speaker. May it harm me. May the speech be established in my mind. May the mind be established in my speech. May life be established in me. May the words of the Veda be established. Om, earth, atmosphere, heaven, that of Savitar."
1.4.9	One who has the darbha grass in his hand recites the Savitri three times and the three Anuvakas beginning with "Ko vo vimuncaty" and then releases them, saying "May the chapters be released." "May the metres breathe."
1.4.10	One should not study on the day of the new moon or the day of the full moon. One should not study beyond that in the absence of rain.
1.4.11	Lightning, thunder, and rain are occasional.
1.4.12	One should recite the Vedic mantras, Brāhmaṇas, Kalpas, Pitṛmedhas, Mahāvrata, Aṣṭāpada, and Vaiṣuvatas during the day, holding the hand in water.
1.4.13	One should not recite the Rudras at night, nor while eating, nor in a village.
1.4.14	The rules for the Sukriya Pravargya Kalpa have been explained, but one should close the eyes for twenty-three times.
1.4.15	The names of cows are not to be used in the presence of pregnant cows. The eight-footed one, and semen, urine, these are not to be spoken in the presence of a pregnant cow.
1.4.16	The Sun entered the waters, and the Sun-worship, and the eye-worship, and "Give me sight, O Sun," and "The Sun entered the water," these six verses are to be recited during the day.
1.4.17	Having performed the rites of initiation and abandonment, one should observe the three-day or five-day fast.
1.4.18	One should observe the fast at the beginning and end of the Vedic recitation, except during the proper time.
1.5.1	Now we shall explain the Antarakalpa.
1.5.2	Wearing a garment made of Darbha grass, performing the ritual of sipping water, reciting the mantra "Oṃ, the waters are the offspring of the waters" on the bank, and then entering the water, reciting "Oṃ, Bhūḥ, Bhuvaḥ, Svaḥ, that of Savitar".
1.5.3	One who has the darbha grass in his hand recites the Savitri three times and the three Anuvakas at the beginning.
1.5.4	"O goddesses, the waters, the bearers of oblations, these are the waters of Nigraha. May there be the greatness of the three waters. You are the life of Agni. O goddesses, the waters are the feet of the waters. O goddesses, you are the sweet waters. Svāhā to Agni. Night after night." These are the eight.
1.5.5	The plants that grow together, may they purify me. I know Agni's mind, the one who is rich in offspring. What is our bright and helpful (relation)? Three times.
1.5.6	Having purified oneself, having discarded the clothes, one makes the teachers satisfied with the rites of the ancestors.
1.5.7	The rest is explained by the rules of Śrāddha.
1.6.1	Now, then, they set forth the fire.
1.6.2	Having made a place for the fire in the north or east of the village, having established the seven metres in the place of the Āhavanīya fire, having placed the sacrificial grass or darbha grass in the place of Dakṣiṇāgni, having dug a pit in the shape of a plough in the place of Garhapatya, having filled it with water, having carried the fire to the place of Garhapata, having offered eight oblations beginning with "The yoke is the first mind", having offered six oblations beginning with "The fire is yoked, svāhā", and the seventh oblation beginning with "The whole world is the leader of the gods".
1.6.3	Having prepared three bundles of sacrificial grass, they place them in front of the Svishtakrit, standing facing east, with the Vyahrti-mantra, and offer them one by one with the Svāhā-mantra, starting from the Khāṇḍava.
1.6.4	Having performed the rites of purification with the Aphiṣṭi formulas, they offer cooked food to the Brahmanas and recite the Svasti-vaca. They offer cooked food to Brahmanas and recite Svasti-vaka.
1.7.1	Then there are those who are worthy of the Upanisads: a student of Brahman, one who has good conduct, is intelligent, performs rites, gives wealth, is dear, and seeks knowledge through knowledge.
1.7.2	Those are the sacred places of Brahman.
1.7.3	He obtains a wife.
1.7.4	One should choose (a bride) in the Krittika, Asvini and Pushya constellations.
1.7.5	Rohini, Mrigashira, Shravana, Shravishth and Uttaraani are suitable for marriage. Whatever is said about auspicious (days) is also suitable.
1.7.6	There are five factors for marriage: wealth, beauty, knowledge, wisdom and relatives.
1.7.7	If he fails to obtain a wife in the first year, he should give away wealth; if he fails to obtain in the second year, he should offer his form; if he fails in the third year, he should bestow his knowledge. Thus, they marry for the sake of progeny.
1.7.8	One should marry a maiden who is not yet sexually active, of the same caste, not of the same family, younger, unmarried, and of superior status.
1.7.9	She should make the following eight kinds of mud balls: mud from a riverbank, mud from a sacred place, mud from a place where Dūrvā grass grows, cow dung, mud from under a fruit-bearing tree, mud from a cremation ground, mud from a road, and mud from a desert.
1.7.10	Having installed the girl in the temple of the gods, one should take her. If one were to take clay from a cremation ground, or clay from a road, or clay from an arid place, one should not use it.
1.7.11	One should take her in accordance with the Dharma, either with the Brahmanical or the Śaula rite.
1.7.12	One should give a hundred measures of gold or a pair of cows.
1.8.1	After that, one should arrange four seats near the fire.
1.8.2	They sit down facing east, the giver facing west, the receiver facing east, the girl facing north, the priest facing south.
1.8.3	In their midst, having spread darbha grass with the tips pointing east, he gives her a copper vessel filled with water without any injury.
1.8.4	There is gold.
1.8.5	He presents eight auspicious things.
1.8.2	They sit down facing east, the giver facing west, the receiver facing east, the bride facing north, the priest facing south.
1.8.3	In the middle of them, having spread darbha grass with the tips pointing east, he gives her a copper vessel filled with water without any injury.
1.8.4	There is gold.
1.8.6	Having uttered the auspicious verses, he gives and receives three times, saying, "I give, I receive." The father or brother should give.
1.8.7	The giver pours down handfuls with gold, saying, "For your wealth," and the receiver says, "For my sons." He pours back to him.
1.8.8	Having skipped four times, he gives.
1.8.5	He gives eight auspicious things.
1.8.6	Having spoken the auspicious things, he gives and receives three times. The father or brother should give.
1.8.7	He pours down handfuls with gold, saying "For wealth to you" the giver, "For your sons" the receiver, he pours back to him.
1.8.8	Having skipped four times, he gives.
1.8.9	Having received the girl with the Savitrī verse, and with the Prajapati verse, and with "Who gave this to whom?" one follows everywhere. It ends with "He desires this."
1.8.10	They recite together the verses beginning with "The intentions are the same" from the end of the chapter.
1.8.9	Having received the girl with the Savitrī verse, and with the Prajapati verse, and with "Who gave this to whom?" one follows everywhere. It ends with "He desires this."
1.8.10	They recite together the verses beginning with "The intentions are the same" from the end of the chapter.
1.9.3	The performers and the members of the ceremony are mentioned in the text.
1.9.4	The Śruti says that one whose father is alive should not accept the Arghya. Or he should accept it.
1.9.5	Then they honour him.
1.9.6	Having brought curd and honey in a bronze or copper vessel, and having covered it with the youngest (member of the family), they accept it with the first sip of water.
1.9.3	The performers and the members of the ceremony are mentioned in the text.
1.9.4	The Śruti says that one whose father is alive should not accept the Arghya. Or he should accept it.
1.9.5	Then they honour him.
1.9.6	Having brought curd and honey in a bronze or copper vessel, and having covered it with the youngest (member of the family), they accept it with the first sip of water.
1.9.7	"Thou art the milking of Viraj, thou art the milking of the milking of Viraja. Let the milking be in me. Let the milking of Viraji be accomplished." He says this for each one as it is being taken.
1.9.8	Having received the seat with the Savitri verse, he recites: "I am the support of those who are equal, like the rising sun. I stand against him who may attack me."
1.9.7	"Thou art the milking of Viraj, thou art the milking of the milking of Viraja. Let the milking be in me. Let the milking of Viraji be accomplished." He says this for each one as it is being taken.
1.9.8	Having received the seat with the Savitri verse, he recites: "I am the support of those who are equal, like the rising sun. I stand against him who may attack me."
1.9.9	The teacher, while spreading the seat, says, "You are the supporter of the nation."
1.9.10	He spreads the mat under the feet, saying, "May no fault touch you."
1.9.11	To the one seated on the mat, he says each verse three times.
1.9.12	He says, "Do not say anything," and the sound of "Salutations to the teacher" touches the offering.
1.9.9	The teacher, while spreading the seat, says, "You are the supporter of the nation."
1.9.10	He spreads the mat under the feet, saying, "May no fault touch you."
1.9.11	To the one seated on the mat, he says each verse three times.
1.9.12	He says, "Do not say anything," and the sound of "Salutations to the teacher" touches the offering.
1.9.13	Having washed the feet with water for washing the feet, having received the Madhuparka with the Savitri verse, having placed it, having saluted with "Salutations to Rudra, to the one who is in the vessel", he salutes in all directions with the Pradesa (verse) "Salutations to the one who resides in the vessel".
1.9.14	With the three verses "Madhuvats, Ritas, and Ayatas", he circumambulates clockwise three times with the fingers.
1.9.13	Having washed the feet with water for washing the feet, having received the Madhuparka with the Savitri verse, having placed it, having saluted with "Salutations to Rudra, to the one who is in the vessel", he salutes in all directions with the Pradesa (verse) "Salutations to the one who resides in the vessel".
1.9.14	With the three verses "Madhuvats, Ritas, and Ayatas", he circumambulates clockwise three times with the fingers.
1.9.15	"You are the covering of immortality." He spreads it.
1.9.16	"May truth, fame, and prosperity be in me. May prosperity be established." He eats the Madhuparka three times.
1.9.17	"You are the covering for immortality." He sips water.
1.9.18	He gives the remaining to a friend.
1.9.19	He says to the cow with a knife in hand:
1.9.20	"My sin is slain. May my sin be slain. Oṃ, do it." He sends it.
1.9.15	"You are the covering of immortality." He spreads it.
1.9.16	"May truth, fame, and prosperity be in me. May prosperity be established." He eats the Madhuparka three times.
1.9.17	"You are the covering for immortality." He sips water.
1.9.18	He gives the remaining to a friend.
1.9.19	He says to the cow with a knife in hand:
1.9.20	"My sin is slain. May my sin be slain. Oṃ, do it." He sends it.
1.9.21	He should feed four Brahmins of different gotras.
1.9.22	He should prepare a dish of meat and milk, or a sweet dish, with the name of the meat and honey. This is the Vedic tradition.
1.9.23	If he were to let go, the mother of the Rudras, the daughter of the Vasus, the sister of the Adityas, the navel of immortality, I proclaim to the healer for the people. Do not go to the one who does not go. Let the earth, the heaven, and the sky let go of the grass.
1.9.24	Then comes the adornment: "You are the adornment, may I be adorned with everything."
1.9.23	If he were to let go, the mother of the Rudras, the daughter of the Vasus, the sister of the Adityas, the navel of immortality, I proclaim to the healer for the people. Do not go to the one who does not go. Let the earth, the heaven, and the sky let go of the grass.
1.9.24	Then comes the adornment: "You are the adornment, may I be adorned with everything."
1.9.25-26	May Prāṇa and Apāna satisfy me, may Samāna and Vyāna satisfy me, may Udāna in the form of the breath satisfy me. May I be well-sighted with my eyes, well-shining with my mouth, well-hearing with my ears. He touches the limbs according to their order. Then he puts on the fragrant garment.
1.9.25-26	May Prāṇa and Apāna satisfy me, may Samāna and Vyāna satisfy me, may Udāna in the form of the breath satisfy me. May I be well-sighted with my eyes, well-shining with my mouth, well-hearing with my ears. He touches the limbs according to their order. Then he puts on the fragrant garment.
1.9.27	I shall place, I shall bestow fame. May the one with long life and old eyes live for a hundred years. May we live for a hundred autumns. I shall spend the prosperity of wealth. May heaven and earth bestow fame on me. May Indra and Brihaspati bestow fame on me, may Bhaga bestow fame on me; may no one deprive me of fame. He puts on the unblemished garment.
1.9.27	I shall place, I shall bestow fame. May the one with long life and old eyes live for a hundred years. May we live for a hundred autumns. I shall spend the prosperity of wealth. May heaven and earth bestow fame on me. May Indra and Brihaspati bestow fame on me, may Bhaga bestow fame on me; may no one deprive me of fame. He puts on the unblemished garment.
1.9.28	He offers to the gods, the young women, the goddesses of love, Aryaman, Pusan, Tvashtar.
1.9.29	Before the Sviṣṭakṛt offering, four widows make the Nandīvṛtta offering.
1.9.30	Inside the Kautuka (the sacrificial enclosure), he offers to the wives of the gods.
1.10.1	Having taken up the auspicious sign and having sprinkled the ground with cowdung, having made a square maṇḍala, having churned out fire, one should offer it to the face of Agni. There is the seating of Brahma.
1.9.28	He offers to the gods, the young women, the goddesses of love, Aryaman, Pusan, Tvashtar.
1.9.29	Before the Sviṣṭakṛt offering, four widows make the Nandīvṛtta offering.
1.9.30	Inside the Kautuka (the sacrificial enclosure), he offers to the wives of the gods.
1.10.1	Having taken up the auspicious sign and having sprinkled the ground with cowdung, having made a square maṇḍala, having churned out fire, one should offer it to the face of Agni. There is the seating of Brahma.
1.10.2	Having produced the sacred grass with the sacred formula, having surrounded the fire, having sprinkled and spread it, he spreads the sacrificial grass behind the fire in one row.
1.10.3	Having removed the grass towards the north, he spreads the southern ones and the northern ones towards the east, with the southern ones towards the north.
1.10.2	Having produced the sacred grass with the sacred formula, having surrounded the fire, having sprinkled and spread it, he spreads the sacrificial grass behind the fire in one row.
1.10.3	Having removed the grass towards the north, he spreads the southern ones and the northern ones towards the east, with the southern ones towards the north.
1.10.4	To the right of the fire he strews for Brahman, to the left for the sacrificer, at the rear end for the wife, at the rear for the twigs and water-holding vessels and the rice-holding vessel, and at the rear end of the yoke-holding vessel.
1.10.5	Having placed the fire in the cattle-pen after making the Samī-wood pieces with the verse, "Be thou even, O Earth," the husband leads the wife to the fire.
1.10.4	To the right of the fire he strews for Brahman, to the left for the sacrificer, at the rear end for the wife, at the rear for the twigs and water-holding vessels and the rice-holding vessel, and at the rear end of the yoke-holding vessel.
1.10.5	Having placed the fire in the cattle-pen after making the Samī-wood pieces with the verse, "Be thou even, O Earth," the husband leads the wife to the fire.
1.10.6	Taking hold of the end of the garment, he says, "May the eye be without evil, may the foot be without injury, may the mind be friendly to the cattle, may the radiance be auspicious, may the mother of heroes be desirous of the gods, may the earth be auspicious, may she be auspicious to us, to the bipeds and to the quadrupeds." Having thus taken hold of it, he brings it up.
1.10.6	Taking hold of the end of the garment, he says, "May the eye be without evil, may the foot be without injury, may the mind be friendly to the cattle, may the radiance be auspicious, may the mother of heroes be desirous of the gods, may the earth be auspicious, may she be auspicious to us, to the bipeds and to the quadrupeds." Having thus taken hold of it, he brings it up.
1.10.7	Having gone around the chariot from the north, having gone between the fire and the wind, having gone beyond the southern axle and the northern yoke, having placed the maiden below, having drawn out the dice, having concealed the gold, having sprinkled with the three verses, "The golden-coloured, the pure ones", he sends him, saying, "Make the sound of the arrow here."
1.10.7	Having gone around the chariot from the north, having gone between the fire and the wind, having gone beyond the southern axle and the northern yoke, having placed the maiden below, having drawn out the dice, having concealed the gold, having sprinkled with the three verses, "The golden-coloured, the pure ones", he sends him, saying, "Make the sound of the arrow here."
1.10.8	Then he gives her a garment, saying, "Those who wove it without cutting, those who spread it, those who brought it, the goddesses of the Gnas, the goddesses who spread it around the ends, may they, O Goddess, give you to old age. Wear this garment for life." Having put on the new garment, having offered the oblations to Agni and Soma, he offers in the northern half, saying, "To Agni, the knower of people, svāhā." In the southern half, he offers, saying, "to Soma, the knower, svāhā". In the middle, he offers, "To Gandharva, the knower,
1.10.9	Having yoked Agni with the two verses, "Thou art yoked, O Agni, with the true," having worshipped the constellation, one should worship the constellation deity, the date, the date deity, the season, and the season deity.
1.10.8	Then he gives her a garment, saying, "Those who wove it without cutting, those who spread it, those who brought it, the goddesses of the Gnas, the goddesses who spread it around the ends, may they, O Goddess, give you to old age. Wear this garment for life." Having put on the new garment, having offered the oblations to Agni and Soma, he offers in the northern half, saying, "To Agni, the knower of people, svāhā." In the southern half, he offers, saying, "to Soma, the knower, svāhā". In the middle, he offers, "To Gandharva, the knower,
1.10.9	Having yoked Agni with the two verses, "Thou art yoked, O Agni, with the true," having worshipped the constellation, one should worship the constellation deity, the date, the date deity, the season, and the season deity.
1.10.10	Soma gave to Gandharva, Gandharva gave to Agni, Agni gave to me wealth and sons. This Agni was the first to be born of her, the knower of all. May he release her offspring from the noose of death. May this be approved by King Varuna. So that we may obtain this grandson of the woman for Rudra. Svāhā. With eight verses beginning with "Hiranyagarbha" one should offer oblations of ghee.
1.10.10	Soma gave to Gandharva, Gandharva gave to Agni, Agni gave to me wealth and sons. This Agni was the first to be born of her, the knower of all. May he release her offspring from the noose of death. May this be approved by King Varuna. So that we may obtain this grandson of the woman for Rudra. Svāhā. With eight verses beginning with "Hiranyagarbha" one should offer oblations of ghee.
1.10.11	And with which rite he wishes to perform, he should offer oblations to Jaya. The recitation of Jaya is as mentioned. "To Akriti svāhā, to Bhuti svāhā, To Prayuja svāhā, to Nabhasa svāhā, Aryamṇa svāhā, Samṛddhi svāhā, Jaya svāhā, Kama svāhā." With this verse, he praises the Stoma to Prajapati.
1.10.12	"May she be pure, may she approach from the west."
1.10.13	While she is looking at him, he recites: "May your heart be in my vow, may your mind be in accordance with my mind. May you listen to my speech with a single mind. May Prajapati unite you with me."
1.10.14	He asks: "What is your name?"
1.10.11	And with which rite he wishes to perform, he should offer oblations to Jaya. The recitation of Jaya is as mentioned. "To Akriti svāhā, to Bhuti svāhā, To Prayuja svāhā, to Nabhasa svāhā, Aryamṇa svāhā, Samṛddhi svāhā, Jaya svāhā, Kama svāhā." With this verse, he praises the Stoma to Prajapati.
1.10.12	"May she be pure, may she approach from the west."
1.10.13	While she is looking at him, he recites: "May your heart be in my vow, may your mind be in accordance with my mind. May you listen to my speech with a single mind. May Prajapati unite you with me."
1.10.14	He asks: "What is your name?"
1.10.15	When the name is mentioned, he says, "I take the hand of the god Savitr, with the impulse of Savitr, with Savitr's impulse, with the arms of the Asvins, with the hands of Pusan, I take the hand with the hand of Asau." Taking the hand, he takes the name. Standing facing east, facing west, standing upright, sitting, he extends the right hand, with the right hand, the right hand, empty, with the empty hand, as Indra took the hand, Savitr, Varuna, Bhaga, I take your hand for Bhagatva, with me as your husband, as Jaradastri was. Bhaga, Aryaman, Savitr, Purandhi, for me, you, for the Garhapatya, the gods, before the gods and the Asuras, that speech spoke. We shall sing that hymn today, which is the highest mind of women. O Sarasvati, O giver, O auspicious one, O bearer of strength, whom I praise before all beings, past, present, and future, I am Amo, you are Sa, you are Sa. I am Apa, you are Amo. I am heaven, you are earth. You are the Rik, I am the Sama. I am the seed, you are the seed. Let us have those unions for the son, for the son to be done for prosperity, for the son, to be done for wealth, for prosperity, for good offspring, for good strength."
1.10.16	Having brought it around to the right, he places this stone behind the fire. "Be ye like a stone, firm and young. May all the gods grant you life for a hundred autumns." He places the stone with his two right feet.
1.10.15	When the name is mentioned, he says, "I take the hand of the god Savitr, with the impulse of Savitr, with Savitr's impulse, with the arms of the Asvins, with the hands of Pusan, I take the hand with the hand of Asau." Taking the hand, he takes the name. Standing facing east, facing west, standing upright, sitting, he extends the right hand, with the right hand, the right hand, empty, with the empty hand, as Indra took the hand, Savitr, Varuna, Bhaga, I take your hand for Bhagatva, with me as your husband, as Jaradastri was. Bhaga, Aryaman, Savitr, Purandhi, for me, you, for the Garhapatya, the gods, before the gods and the Asuras, that speech spoke. We shall sing that hymn today, which is the highest mind of women. O Sarasvati, O giver, O auspicious one, O bearer of strength, whom I praise before all beings, past, present, and future, I am Amo, you are Sa, you are Sa. I am Apa, you are Amo. I am heaven, you are earth. You are the Rik, I am the Sama. I am the seed, you are the seed. Let us have those unions for the son, for the son to be done for prosperity, for the son, to be done for wealth, for prosperity, for good offspring, for good strength."
1.10.17-19	Just as Indra, with Indrani, descended from Gandhamadana, so you descend from this stone with your wife. You ascend with your feet on the same level. May the old daughter be prosperous with sons." Thus he establishes it twice. He gives it away four times. At each turn, Brahma recites the Brahma-mantra: "May you both decide together."
1.10.16	Having brought it around to the right, he places this stone behind the fire. "Be ye like a stone, firm and young. May all the gods grant you life for a hundred autumns." He places the stone with his two right feet.
1.11.1	Then the actual offering of the oblations should be known.
1.11.2	Having offered rice or barley to Agni, Aryaman, Pusan, and Varuna, one should roast them with chaff.
1.11.3	One gives it to one's mother, who is unmarried and not widowed.
1.11.4	Then one gives her a second garment, with the same mantra.
1.10.17-19	Just as Indra, with Indrani, descended from Gandhamadana, so you descend from this stone with your wife. You ascend with your feet on the same level. May the old daughter be prosperous with sons." Thus he establishes it twice. He gives it away four times. At each turn, Brahma recites the Brahma-mantra: "May you both decide together."
1.11.5	The man, having bound the knot at the end of the two ends of the Darbha-rope and the Indraṇyā, binds the knot.
1.11.6	"Having bound thee with the milk of the earth, having bound thee with water and plants, having bound thee together with progeny and wealth, thou art bound, do thou protect thy share." Having bound the girl with the yoke inside the garment, he says this.
1.11.1	Then the actual offering of the oblations should be known.
1.11.2	Having offered rice or barley to Agni, Aryaman, Pusan, and Varuna, one should roast them with chaff.
1.11.3	One gives it to one's mother, who is unmarried and not widowed.
1.11.4	Then one gives her a second garment, with the same mantra.
1.11.7	Then he prepares for them a broom, parched grains, a reed, a stone, and collyrium.
1.11.5	The man, having bound the knot at the end of the two ends of the Darbha-rope and the Indraṇyā, binds the knot.
1.11.6	"Having bound thee with the milk of the earth, having bound thee with water and plants, having bound thee together with progeny and wealth, thou art bound, do thou protect thy share." Having bound the girl with the yoke inside the garment, he says this.
1.11.8	With four darbha-blades, or with blades of reed, or with cotton, he anoints the eye of the sacrificer, drawing it three times towards the eye of Vritra, with the formula, "The eye of the sacrificers' lord." He first anoints the right eye of the sacrificier three times, then the left eye. Then he silently anoints the remaining eye of the sacrificerr's wife.
1.11.7	Then he prepares for them a broom, parched grains, a reed, a stone, and collyrium.
1.11.9	The stakes are driven in the directions. The Rakshas go around her as she approaches the fire. I drive them away with my eyes. May the Lord of the Spirits grant safety to the bride.
1.11.8	With four darbha-blades, or with blades of reed, or with cotton, he anoints the eye of the sacrificer, drawing it three times towards the eye of Vritra, with the formula, "The eye of the sacrificers' lord." He first anoints the right eye of the sacrificier three times, then the left eye. Then he silently anoints the remaining eye of the sacrificerr's wife.
1.11.10	Having placed the parched grains behind the fire, having mixed them with the leaves of the śamī tree, having divided them into four equal parts, having turned around towards the fire, he gives them to the person holding the parched grains.
1.11.11	The brother or the student sprinkles the parched grains with a handful of water.
1.11.9	The stakes are driven in the directions. The Rakshas go around her as she approaches the fire. I drive them away with my eyes. May the Lord of the Spirits grant safety to the bride.
1.11.10	Having placed the parched grains behind the fire, having mixed them with the leaves of the śamī tree, having divided them into four equal parts, having turned around towards the fire, he gives them to the person holding the parched grains.
1.11.11	The brother or the student sprinkles the parched grains with a handful of water.
1.11.12	The maidens, having spread and poured (the oblations), offer them without interruption. The god Aryaman, the maidens have invoked Agni. May that god Aryaman, having come, release me from here. Svāhā to thee, O Agni, thou who carriest around, with the sun, the wife to her husband again. Agni has given back the wife with offspring. With life, with splendour, the husband of this one, who is long-lived, may live a hundred autumns. This woman, having approached, pours the parched grains into the fire. "May my husband be long-lived, and may my kinsmen prosper."
1.11.12	The maidens, having spread and poured (the oblations), offer them without interruption. The god Aryaman, the maidens have invoked Agni. May that god Aryaman, having come, release me from here. Svāhā to thee, O Agni, thou who carriest around, with the sun, the wife to her husband again. Agni has given back the wife with offspring. With life, with splendour, the husband of this one, who is long-lived, may live a hundred autumns. This woman, having approached, pours the parched grains into the fire. "May my husband be long-lived, and may my kinsmen prosper."
1.11.13	Thus, the god Pūṣan or the god Varuna.
1.11.14	The oblations at the beginning of the ceremony are called "Jayā", "Ātānā", "Santatihoma", and "Rāṣṭrabhṛt".
