1.1.1	Now we shall describe the domestic rites.
1.5.5	If one takes from a field, the offspring of that field will be without food. If one takes from the house, the offspring will be without food; if one takes from the cattle pen, the offspring will have cattle; if one takes (grain) from the sacrificial grass, the offspring will shine with Brahman; if one takes it from the anthill, the offspring will not be destroyed; if one takes grain from the pond, the offspring will attain all prosperity; if one takes grains from the place of gambling, the offspring will become gamblers; if one takes them from the crossroads, the offspring will go on two pilgrimages; if one takes the grains from the marsh, the offspring will lack wealth; if one takes what is in the cremation ground, the offspring will kill their husbands.
1.6.1	Having adorned the girl with water, he should give her. This is the Brahmic marriage. One born in it purifies twelve inferior and twelve superior (people).
1.6.2	Having adorned the girl, he should give (her) to the officiating priest when the rite is performed. This is the divine marriage. It purifies ten inferior and ten superior (people).
1.6.3	"Let us live together according to Dharma." This is the Prajapati way. It purifies eight generations before and eight generations after.
1.6.4	"One should take a wife after giving a cow and a bull. This is the way of the sages. It purifiees seven generations before and seven generations after."
1.6.5	"One should marry after making a mutual agreement. This is the Gandharva way."
1.6.6	"One who takes a wife after being satisfied with wealth. This is the Asura way."
1.6.7	The Pisāca takes away those who are asleep or careless.
1.6.8	The Rākṣasa takes away those who cry, having killed and pierced their heads.
1.7.1	Now, the customs of the people and the customs of the villages are indeed diverse. One should follow them in marriage.
1.7.2	But what is common, that we shall tell.
1.6.3	"Let us live together according to Dharma." This is the Prajapati way. It purifies eight generations before and eight generations after.
1.6.4	"One should take a wife after giving a cow and a bull. This is the way of the sages. It purifiees seven generations before and seven generations after."
1.6.5	"One should marry after making a mutual agreement. This is the Gandharva way."
1.6.6	"One who takes a wife after being satisfied with wealth. This is the Asura way."
1.6.7	The Pisāca takes away those who are asleep or careless.
1.6.8	The Rākṣasa takes away those who cry, having killed and pierced their heads.
1.7.1	Now, the customs of the people and the customs of the villages are indeed diverse. One should follow them in marriage.
1.7.2	But what is common, that we shall tell.
1.7.3	Then having placed the stone to the rear of the fire, and having placed the pot of water in front of it, having offered the oblation, standing facing west, he should take the hand of the woman sitting facing east, saying, "I take your hand for good fortune." If he desires, "May my sons be men," he should take only the thumb.
1.7.4	If he desires a woman, he should take only her fingers.
1.7.5	The hand with the thumb should be placed at the end of the hair for both purposes.
1.7.3	Then having placed the stone to the rear of the fire, and having placed the pot of water in front of it, having offered the oblation, standing facing west, he should take the hand of the woman sitting facing east, saying, "I take your hand for good fortune." If he desires, "May my sons be men," he should take only the thumb.
1.7.4	If he desires a woman, he should take only her fingers.
1.7.6	He makes the Agni and the water-pot go round three times, reciting (the formula), "I am Amo, you are Sa. You are Sa, I am Amo. I am heaven, you are earth. I am Sama, you are Rk. Come, let us be united. Let us beget offspring. Let us be united, shining, with agreeable minds. Let us live a hundred autumns like the living."
1.7.5	The hand with the thumb should be placed at the end of the hair for both purposes.
1.7.7	Having taken the bride, he makes her ascend the stone. "He makes her ascend the rock, saying, "May you be firm like the rock. May you withstand the enemy. May you stand against the enemy."
1.7.8	Having spread the water for the bride, the brother or the brother's son scatters the rice grains twice.
1.7.9	Three times for the Jamadagnyas.
1.7.10	Having poured over the oblation,
1.7.11	and having cut off the oblation,
1.7.12	This is the Dharma of the Avadana.
1.7.7	Having taken the bride, he makes her ascend the stone. "He makes her ascend the rock, saying, "May you be firm like the rock. May you withstand the enemy. May you stand against the enemy."
1.7.8	Having spread the water for the bride, the brother or the brother's son scatters the rice grains twice.
1.7.9	Three times for the Jamadagnyas.
1.7.10	Having poured over the oblation,
1.7.11	and having cut off the oblation,
1.7.13	The maiden has worshipped Agni, the god Aryaman. May that god Aryaman release her from here and from yonder. Svāhā. The maiden has worshipped Varuna, the god. May that god Varuna release her from here, and from yonder. Svāhā. The Maiden has worshipped Pusan, the god. Svāhā." He should offer the oblation with the ladle, without breaking the continuity of the cup.
1.7.12	This is the Dharma of the Avadana.
1.7.14	Having taken it in the pot of grass, he silently offers the fourth oblation.
1.7.15	Some people offer parched grains in the pot of rice. The two supreme oblations do not fall together.
1.7.16	Then he releases the tuft of hair on her head. If it is done, the tuft of wool is tied to the hair.
1.7.17	"He says, "I release you from the noose of Varuna."
1.7.18	The northern one with the northern one.
1.7.19	Then he makes her advance seven steps in the direction of the setting sun, saying, "One step for strength, two steps for prosperity, three steps for the attainment of wealth, four steps for offspring, five steps for the seasons, six steps for friendship, seven steps for existence. Be thou obedient to me. May we obtain many sons, may they be long-lived."
1.7.14	Having taken it in the pot of grass, he silently offers the fourth oblation.
1.7.15	Some people offer parched grains in the pot of rice. The two supreme oblations do not fall together.
1.7.16	Then he releases the tuft of hair on her head. If it is done, the tuft of wool is tied to the hair.
1.7.17	"He says, "I release you from the noose of Varuna."
1.7.18	The northern one with the northern one.
1.7.20	Having placed the heads of both together, sprinkle with a pot of water.
1.7.21	A married woman, whose husband is alive and who has children, should spend this night in her own house.
1.7.22	Having seen Arundhati and the seven sages, one should speak, saying, "May the married woman obtain children."
1.7.19	Then he makes her advance seven steps in the direction of the setting sun, saying, "One step for strength, two steps for prosperity, three steps for the attainment of wealth, four steps for offspring, five steps for the seasons, six steps for friendship, seven steps for existence. Be thou obedient to me. May we obtain many sons, may they be long-lived."
1.8.1	When the journey is about to begin, one should make the person ascend the vehicle with the verse, "May Pūṣan lead you, holding your hand."
1.8.2	One should make the person board the boat with the verse, “The boat is moving with the stones, hold on!”
1.8.3	One should make them cross over with the verse,
1.8.4	"The living one is crying."
1.8.5	At the marriage, the fire is carried in front continuously.
1.7.20	Having placed the heads of both together, sprinkle with a pot of water.
1.7.21	A married woman, whose husband is alive and who has children, should spend this night in her own house.
1.7.22	Having seen Arundhati and the seven sages, one should speak, saying, "May the married woman obtain children."
1.8.6	In auspicious places, trees, and crossroads, one should recite, "May there be no obstacles."
1.8.7	In each place, one should look at the guards, saying, "This is a bride, auspicious in every way."
1.8.8	One should make the bride enter the house, saying, "May your love increase with children here."
1.8.1	When the journey is about to begin, one should make the person ascend the vehicle with the verse, "May Pūṣan lead you, holding your hand."
1.8.2	One should make the person board the boat with the verse, “The boat is moving with the stones, hold on!”
1.8.3	One should make them cross over with the verse,
1.8.4	"The living one is crying."
1.8.5	At the marriage, the fire is carried in front continuously.
1.8.9	Having placed the fire of the marriage rite, having spread the skin of a black antelope with the neck towards the east and the hair upwards, having seated her facing it, having recited the formula, having offered four times with the verse, "May Prajapati generate our progeny", having eaten the curd, one should give it back. One should anoint the heart with the remaining ghee.
1.8.6	In auspicious places, trees, and crossroads, one should recite, "May there be no obstacles."
1.8.7	In each place, one should look at the guards, saying, "This is a bride, auspicious in every way."
1.8.8	One should make the bride enter the house, saying, "May your love increase with children here."
1.8.10	From now on, the two Brahmachārins should be without salt and without grains, should be without ornaments, should sleep on the ground, for three nights, twelve nights.
1.8.11	One becomes a Rishi in a year, it is said.
1.8.12	Having performed the vow, one should give the bride's clothes to the sun-worshipper.
1.8.13	Food to Brahmins.
1.8.14	Then one should recite the Svastyayana.
1.8.9	Having placed the fire of the marriage rite, having spread the skin of a black antelope with the neck towards the east and the hair upwards, having seated her facing it, having recited the formula, having offered four times with the verse, "May Prajapati generate our progeny", having eaten the curd, one should give it back. One should anoint the heart with the remaining ghee.
1.9.1	The husband should himself perform the rites of marriage etc. or his wife, or his son, or his daughter, or his disciple.
1.9.2	He should be always honoured.
1.9.3	If he becomes calm, some say that his wife should fast.
1.9.4	The times for the offering of Agnihotra and the offering of oblations for pacification have been explained.
1.9.5	And the offering of oblation is without meat.
1.8.10	From now on, the two Brahmachārins should be without salt and without grains, should be without ornaments, should sleep on the ground, for three nights, twelve nights.
1.8.11	One becomes a Rishi in a year, it is said.
1.8.12	Having performed the vow, one should give the bride's clothes to the sun-worshipper.
1.8.13	Food to Brahmins.
1.8.14	Then one should recite the Svastyayana.
1.9.6	But if one wishes, with rice, barley and sesamum.
1.9.7	One should offer oblations to Agni with the formula "Svāhā to Agni" in the evening, and to Surya with the formula "Svahā to Surya" in the morning. Silently in the second, in both cases.
1.10.1	Now the Parvan Sthalipaka (offering).
1.10.2	For that, fasting during the Darśa and Pūrṇamāsa sacrifices.
1.10.3	And the binding of the sacrificial grass and wood.
1.10.4	And the deities in the Upāṁśuyāja, except Indra and Mahendra.
1.9.1	The husband should himself perform the rites of marriage etc. or his wife, or his son, or his daughter, or his disciple.
1.9.2	He should be always honoured.
1.9.3	If he becomes calm, some say that his wife should fast.
1.9.4	The times for the offering of Agnihotra and the offering of oblations for pacification have been explained.
1.9.5	And the offering of oblation is without meat.
1.10.5	The others are optional.
1.10.6	He offers four handfuls of each of these to the respective deities, covering them with the strainer, saying, "I offer to you what is dear to him."
1.10.7	Then he sprinkles them, saying, "As they have been offered, I sprinkle what is dear to you."
1.10.8	One should cook the fruits separately three times.
1.10.9	Or one can cook them together.
1.9.6	But if one wishes, with rice, barley and sesamum.
1.9.7	One should offer oblations to Agni with the formula "Svāhā to Agni" in the evening, and to Surya with the formula "Svahā to Surya" in the morning. Silently in the second, in both cases.
1.10.1	Now the Parvan Sthalipaka (offering).
1.10.2	For that, fasting during the Darśa and Pūrṇamāsa sacrifices.
1.10.3	And the binding of the sacrificial grass and wood.
1.10.4	And the deities in the Upāṁśuyāja, except Indra and Mahendra.
1.10.10	If he were to offer the oblations separately, he should touch them and say, "This is for so-and-so, this is for so- and-so."
1.10.11	If he were to offer them together, even after having separated them.
1.10.5	The others are optional.
1.10.6	He offers four handfuls of each of these to the respective deities, covering them with the strainer, saying, "I offer to you what is dear to him."
1.10.7	Then he sprinkles them, saying, "As they have been offered, I sprinkle what is dear to you."
1.10.8	One should cook the fruits separately three times.
1.10.9	Or one can cook them together.
1.10.10	If he were to offer the oblations separately, he should touch them and say, "This is for so-and-so, this is for so- and-so."
1.10.11	If he were to offer them together, even after having separated them.
1.10.13	Having silently sipped the Āghāra and Āghāra-anuvāka, he should offer the Ajyabhaga oblations with "Svāhā to Agni" and "Svāhā Soma".
1.10.14	The northern one is for Agni and the southern one is for Soma.
1.10.15	The Ajyabhaga oblatioins are indeed the eyes of the sacrifice.
1.10.16	Therefore, when a person is seated facing away, the right eye is above the left eye and the left eye is below the right eye.
1.10.12	Having poured the cooked oblations, having taken them up towards the north, having placed them on the sacrificial grass, having poured over the fire-wood, he says, "This is thy body, O Jātavedas, with this do thou kindle thyself and grow, if thou growest, do thou increase us with offspring, cattle, with Brahmic glory, with food. Svāhā!"
1.10.17	In the middle, the oblations are placed in a straight line, either facing east or facing north.
1.10.18	The Sauviṣṭakṛt oblation is placed in the north-east.
1.10.19	One offers oblations from the middle and the eastern half.
1.10.20	From the middle, the eastern half, and the western half, thus there are five oblations.
1.10.21	The Sauvishtarit oblation is placed from the northern half.
1.10.22	Here, the oblations do not have to be poured over.
1.10.13	Having silently sipped the Āghāra and Āghāra-anuvāka, he should offer the Ajyabhaga oblations with "Svāhā to Agni" and "Svāhā Soma".
1.10.14	The northern one is for Agni and the southern one is for Soma.
1.10.15	The Ajyabhaga oblatioins are indeed the eyes of the sacrifice.
1.10.16	Therefore, when a person is seated facing away, the right eye is above the left eye and the left eye is below the right eye.
1.10.23	Whatever of his rite is excessive or deficient, may Agni, the bestower of what is well-offered, know it all and make it well-offered and well-sacrificed for me. To Agni Svishtakrit, the well-sacrificed, the bestower, the fulfiller of all desires, I offer oblations for all expiations. May he fulfill all our desires. Svāhā.
1.10.24	He should place a full vessel on the sacrificial grass.
1.10.25	This is the Avabhrtha.
1.10.26	This is the procedure for the Pākayajñas.
1.10.27	The leftover oblations are the Dakṣiṇās.
1.11.1	Now the rite of animal sacrifice.
1.10.17	In the middle, the oblations are placed in a straight line, either facing east or facing north.
1.10.18	The Sauviṣṭakṛt oblation is placed in the north-east.
1.10.19	One offers oblations from the middle and the eastern half.
1.10.20	From the middle, the eastern half, and the western half, thus there are five oblations.
1.10.21	The Sauvishtarit oblation is placed from the northern half.
1.10.22	Here, the oblations do not have to be poured over.
1.11.2	Having made the place of the Agnihotra-fire, having made the animal drink water, having sprinkled it, having placed it in front facing the west, having offered twice with "Agni is the messenger", having touched it from behind with a branch having leaves and water, saying, "I offer this to you, O Agni, for your enjoyment".
1.10.23	Whatever of his rite is excessive or deficient, may Agni, the bestower of what is well-offered, know it all and make it well-offered and well-sacrificed for me. To Agni Svishtakrit, the well-sacrificed, the bestower, the fulfiller of all desires, I offer oblations for all expiations. May he fulfill all our desires. Svāhā.
1.10.24	He should place a full vessel on the sacrificial grass.
1.11.3	With water containing rice and barley, he sprinkles in front, saying, "I sprinkle for him what is agreeable."
1.11.4	Having made them drink, he should lead the remaining water towards the right arm.
1.11.5	They lead it upwards, covering it and setting it on fire.
1.11.6	They carry a torch in front of it.
1.11.7	This is the peace-making rite.
1.10.25	This is the Avabhrtha.
1.10.26	This is the procedure for the Pākayajñas.
1.10.27	The leftover oblations are the Dakṣiṇās.
1.11.1	Now the rite of animal sacrifice.
1.11.8	The sacrificer follows the animal with the ladle and the spoon.
1.11.9	The sacrificer follows the performer.
1.11.2	Having made the place of the Agnihotra-fire, having made the animal drink water, having sprinkled it, having placed it in front facing the west, having offered twice with "Agni is the messenger", having touched it from behind with a branch having leaves and water, saying, "I offer this to you, O Agni, for your enjoyment".
1.11.10	Then having placed the ladle with its mouth towards the west and its handle towards the east, or with its mouth towards north and its handle towards south, having covered the grass in front of the navel, having taken out the ladle, having put it back, having taken hold of it with the ladle-holder, having sprinkled it with water, having heated it in the ladle, having taken it forward, having placed it on the fire, having sat down towards the south, having cooked it, having gone round, one should offer it.
1.11.3	With water containing rice and barley, he sprinkles in front, saying, "I sprinkle for him what is agreeable."
1.11.4	Having made them drink, he should lead the remaining water towards the right arm.
1.11.5	They lead it upwards, covering it and setting it on fire.
1.11.6	They carry a torch in front of it.
1.11.7	This is the peace-making rite.
1.11.8	The sacrificer follows the animal with the ladle and the spoon.
1.11.9	The sacrificer follows the performer.
1.11.11	In this very fire, they cook the oblation of rice and beans.
1.11.12	After cutting the eleven parts of the animal from all its limbs, cooking it in the Shamitra (pot), and heating the heart on a spit, one should offer it in front of the oblation of cooked rice.
1.11.13	Or together with the parts.
1.11.14	One should offer each part twice.
1.11.15	They move around with the heart on a covered spit.
1.11.10	Then having placed the ladle with its mouth towards the west and its handle towards the east, or with its mouth towards north and its handle towards south, having covered the grass in front of the navel, having taken out the ladle, having put it back, having taken hold of it with the ladle-holder, having sprinkled it with water, having heated it in the ladle, having taken it forward, having placed it on the fire, having sat down towards the south, having cooked it, having gone round, one should offer it.
1.12.1	At the Cetiya sacrifice, one should offer oblations to Cetiya before the Sviṣṭakṛt offering.
1.12.2	If the Cetiya is located in a foreign country, one should offer it through the messenger of Palāśa.
1.12.3	Having made two balls of dough and placing them on the ground, one should give them to the messenger, saying, "Offer this oblation to him."
1.12.4	"This is for you." This is for the messenger.
1.11.11	In this very fire, they cook the oblation of rice and beans.
1.11.12	After cutting the eleven parts of the animal from all its limbs, cooking it in the Shamitra (pot), and heating the heart on a spit, one should offer it in front of the oblation of cooked rice.
1.11.13	Or together with the parts.
1.11.14	One should offer each part twice.
1.11.15	They move around with the heart on a covered spit.
1.12.5	If there is any danger in between, then even a little weapon.
1.12.6	If there is no danger, then even a small boat in the form of a raft should be used to cross the river.
1.12.7	At the Dhanvantari sacrifice, one should offer oblations to the Brahman and Agni in between, in front of the officiating priest.
1.13.1	In the Upanisads, there is the Garbhalambhana, Pumsavana, and Anvalobhana.
1.13.2	If he does not learn, then in the third month of pregnancy, when the constellation Pushya arises, the woman should fast and eat two each of beans and barley mixed with curd.
1.13.3	When asked, "What are you drinking? What are you drinking?" she should reply three times, "Pumsavana, Pumsavana."
1.13.4	Thus three portions of curd.
1.12.1	At the Cetiya sacrifice, one should offer oblations to Cetiya before the Sviṣṭakṛt offering.
1.12.2	If the Cetiya is located in a foreign country, one should offer it through the messenger of Palāśa.
1.12.3	Having made two balls of dough and placing them on the ground, one should give them to the messenger, saying, "Offer this oblation to him."
1.12.4	"This is for you." This is for the messenger.
1.13.5	Then he places the plant Ajita in the shadow of the mandala house on the right nostril of her.
1.13.6	Some do it with Praja and Jiva Putra.
1.12.5	If there is any danger in between, then even a little weapon.
1.12.6	If there is no danger, then even a small boat in the form of a raft should be used to cross the river.
1.12.7	At the Dhanvantari sacrifice, one should offer oblations to the Brahman and Agni in between, in front of the officiating priest.
1.13.1	In the Upanisads, there is the Garbhalambhana, Pumsavana, and Anvalobhana.
1.13.7	Having offered the Hṛdaya-portion of the animal to Prajapati, one should offer the Hṛdaya portion of the animal to the deity Prajapati. "What is well-placed in your heart, I think it is in Prajapati. May I know that, and may I not be a sinner to my grandson."
1.14.1	In the fourth month of pregnancy, the ceremony of Simantainonayana is performed.
1.14.2	When the moon is in conjunction with a masculine constellation in the waxing fortnight,
1.13.2	If he does not learn, then in the third month of pregnancy, when the constellation Pushya arises, the woman should fast and eat two each of beans and barley mixed with curd.
1.13.3	When asked, "What are you drinking? What are you drinking?" she should reply three times, "Pumsavana, Pumsavana."
1.13.4	Thus three portions of curd.
1.14.3	Then having kindled the fire, having spread the skin of a black antelope behind him, with the neck towards the east, with the hair upwards, having sat down on it, having begun, he recites the two verses, "May Dhata give to the giver" and "I am Raka" and "No one else but you, O Prajapati, has created these."
1.13.5	Then he places the plant Ajita in the shadow of the mandala house on the right nostril of her.
1.13.6	Some do it with Praja and Jiva Putra.
1.14.4	Then he arranges the hair on the head in three rows with a pair of locks, a lock of hair, and three tufts of Kusha grass, saying "Bhūr Bhuvah Svaḥ Om" three times.
1.14.5	Or four times.
1.14.6	He instructs the Vīṇā and Gāthina to sing the king Soma.
1.13.7	Having offered the Hṛdaya-portion of the animal to Prajapati, one should offer the Hṛdaya portion of the animal to the deity Prajapati. "What is well-placed in your heart, I think it is in Prajapati. May I know that, and may I not be a sinner to my grandson."
1.14.1	In the fourth month of pregnancy, the ceremony of Simantainonayana is performed.
1.14.2	When the moon is in conjunction with a masculine constellation in the waxing fortnight,
1.14.7-9	May Soma, our king, protect us. The people who are settled in the human world, those who have come to the river and fasted, and those who are old and have wives and children, whatever they may instruct, one should do that. A bull is the fee.
1.14.3	Then having kindled the fire, having spread the skin of a black antelope behind him, with the neck towards the east, with the hair upwards, having sat down on it, having begun, he recites the two verses, "May Dhata give to the giver" and "I am Raka" and "No one else but you, O Prajapati, has created these."
1.15.1	The child, born before others, should be fed with ghee and honey, and with gold, saying, "I give you this, of honey and ghee, known by Savitar, the giver of boons, protected by the deities. Live a hundred years, protected by the gods, and live a hundred autumns in this world."
1.15.2	Placing it on the ears, he recites the generating of intelligence: "May the god Savitar, the goddess Sarasvati, and the two divine Ashvins, wearing garlands of lotuses, bestow intelligence upon you."
1.14.4	Then he arranges the hair on the head in three rows with a pair of locks, a lock of hair, and three tufts of Kusha grass, saying "Bhūr Bhuvah Svaḥ Om" three times.
1.14.5	Or four times.
1.14.6	He instructs the Vīṇā and Gāthina to sing the king Soma.
1.15.3	He touches the shoulders with the formula, "Be thou a stone, be thou an axe, be thou gold spread out. Thou art the son of Veda. Live for a hundred autumns." With the formula, "O Indra, bestow on us the best of riches. Bestow on us, O Maghavan, O Rijiṣin."
1.14.7-9	May Soma, our king, protect us. The people who are settled in the human world, those who have come to the river and fasted, and those who are old and have wives and children, whatever they may instruct, one should do that. A bull is the fee.
1.15.1	The child, born before others, should be fed with ghee and honey, and with gold, saying, "I give you this, of honey and ghee, known by Savitar, the giver of boons, protected by the deities. Live a hundred years, protected by the gods, and live a hundred autumns in this world."
1.15.4	They would not give him a name, for he is in the womb, and is in the womb until the time of his birth.
1.15.5	Or four syllables.
1.15.6	One desiring prosperity should use two syllables, one desiring brahmic glory should use four syllables.
1.15.7	But the syllables of men are even, those of women are uneven.
1.15.8	And he should look at the one who is to be greeted, and know that it is his mother and father from the time of his initiation.
1.15.2	Placing it on the ears, he recites the generating of intelligence: "May the god Savitar, the goddess Sarasvati, and the two divine Ashvins, wearing garlands of lotuses, bestow intelligence upon you."
1.15.9	Having returned from exile, he embraces his son's head and recites: "You arise from limb to limb, you are born from the heart. Your name is 'Self', may you live for a hundred autumns." He thrice inhales on the head.
1.15.10	The girl is covered.
1.16.1	In the sixth month, the feeding of food.
1.16.2	Desiring food, he eats grass.
1.15.3	He touches the shoulders with the formula, "Be thou a stone, be thou an axe, be thou gold spread out. Thou art the son of Veda. Live for a hundred autumns." With the formula, "O Indra, bestow on us the best of riches. Bestow on us, O Maghavan, O Rijiṣin."
1.16.3	One desiring Brahmic glory should offer a quail.
1.16.4	One desiring brilliance should offer a rice-cake with ghee.
1.16.5	One should eat food mixed with curd, honey, and ghee, saying, "O Lord of Food, grant us food, free from disease, nourishing, the giver of light, the giver of sustenance, the giver of energy to the two-legged and the four-legged."
1.16.6	To the unmarried girl.
1.15.4	They would not give him a name, for he is in the womb, and is in the womb until the time of his birth.
1.15.5	Or four syllables.
1.15.6	One desiring prosperity should use two syllables, one desiring brahmic glory should use four syllables.
1.15.7	But the syllables of men are even, those of women are uneven.
1.15.8	And he should look at the one who is to be greeted, and know that it is his mother and father from the time of his initiation.
1.17.1	In the third year, the tonsure ceremony is performed according to the family custom.
1.17.2	To the north of the fire, he places separate bowls filled with rice, barley, beans, and sesame.
1.17.3	After that, the one who is going to perform the rite places a cow-dung cake and Śamī leaves in a new pot near the mother's side.
1.17.4	The mother's father takes twenty-one bundles of Kuśa grass and places them to the south.
1.15.9	Having returned from exile, he embraces his son's head and recites: "You arise from limb to limb, you are born from the heart. Your name is 'Self', may you live for a hundred autumns." He thrice inhales on the head.
1.15.10	The girl is covered.
1.16.1	In the sixth month, the feeding of food.
1.16.2	Desiring food, he eats grass.
1.17.5	Brahma alone should hold these.
1.17.6	After having made the arrangement for the subsequent rites, one should bring together cold and hot water and say, "May the hot wind and water be united."
1.17.7	Taking the butter or curd drops from them, one should sprinkle the head clockwise three times, saying, "Aditi may let loose her hair, may the waters sprinkle the radiance."
1.16.3	One desiring Brahmic glory should offer a quail.
1.16.4	One desiring brilliance should offer a rice-cake with ghee.
1.16.5	One should eat food mixed with curd, honey, and ghee, saying, "O Lord of Food, grant us food, free from disease, nourishing, the giver of light, the giver of sustenance, the giver of energy to the two-legged and the four-legged."
1.16.6	To the unmarried girl.
1.17.8	On the right side of the head, he places three tufts of Kusha grass, with their tips pointing inwards, saying, "O herb, protect him."
1.17.9	Having pressed it, with an iron razor, he says, "May you not harm him."
1.17.10	The Brahman cuts off the hair with the razor, knowing the king Soma and Varuna. With that he cuts off the hair. This is for the long life of the one who is cutting.
1.17.11	Having cut off the hair, he gives the tips to his mother along with the Samī leaves. He places them in cowdung.
1.17.1	In the third year, the tonsure ceremony is performed according to the family custom.
1.17.2	To the north of the fire, he places separate bowls filled with rice, barley, beans, and sesame.
