1.1.1	We shall explain the Upanayana.
1.4.13	He offers with the Vyāhṛtis, one by one, and also with all of them.
1.5.1	Then he offers these oblations: "You who lie down on your side, I am the supporter." With the stream of ghee I offer to you, O all-worker, svāhā. "You who lie on your back, I am the one who pleases." With the stream... I offer to you in the fire, O one who pleases, svāhā to the goddess who pleases, svāhā to the goddess who adorns. The lord of the assembly, the wonderful, the beloved, the desired, the union, the wisdom of Indra, I seek, svāhā, O Agni, the well-known one, yoked, go forth, know the deed being done, as this you are the healer, the maker of healing, by you we may obtain cattle, horses, men, svāhā! "O god Agni, granting life, singing, with a stream of ghee, with a back of ghee, drinking ghee, the nectar, the beautiful, like a father, may we lead him to old age, svāhā."
1.5.2	Then he cleans the ends of the garment, with the verse, "Those who did not cut, those who did not weave, and those goddesses who gave the ends around, may those goddesses give you for old age. Wear this garment for long life."
1.5.3	Then he makes him put on (the garment), saying, "Put on, put on this garment; make him live a hundred years; make his life long. Brihaspati gave this garment to Soma, the king, to put on. Go to old age; put on the garment; be the protector of the cursed."
1.5.1	Then he offers these oblations: "You who lie down on your side, I am the supporter." With the stream of ghee I offer to you, O all-worker, svāhā. "You who lie on your back, I am the one who pleases." With the stream... I offer to you in the fire, O one who pleases, svāhā to the goddess who pleases, svāhā to the goddess who adorns. The lord of the assembly, the wonderful, the beloved, the desired, the union, the wisdom of Indra, I seek, svāhā, O Agni, the well-known one, yoked, go forth, know the deed being done, as this you are the healer, the maker of healing, by you we may obtain cattle, horses, men, svāhā! "O god Agni, granting life, singing, with a stream of ghee, with a back of ghee, drinking ghee, the nectar, the beautiful, like a father, may we lead him to old age, svāhā."
1.6.1	He puts on the garment, reciting, "This garment is for my well-being. May it be for protection from evil. May I live a hundred years and many more, and may I enjoy the wealth of the virtuous."
1.5.2	Then he cleans the ends of the garment, with the verse, "Those who did not cut, those who did not weave, and those goddesses who gave the ends around, may those goddesses give you for old age. Wear this garment for long life."
1.6.2	Then he takes his first-born possession, saying, "We take thy first-born possession; may all the gods protect thee; may thy brothers, thy friends, many, may they increase thee, the well-born."
1.5.3	Then he makes him put on (the garment), saying, "Put on, put on this garment; make him live a hundred years; make his life long. Brihaspati gave this garment to Soma, the king, to put on. Go to old age; put on the garment; be the protector of the cursed."
1.6.1	He puts on the garment, reciting, "This garment is for my well-being. May it be for protection from evil. May I live a hundred years and many more, and may I enjoy the wealth of the virtuous."
1.6.3	Then he binds him with the three-fold girdle of Muñja grass at the middle, with the verse, "The great one, the remover of evils, the giver of protection, the giver of shelter, has come back. Bearing strength by the Prāṇa and Apāna, the sister of the gods, the auspicious one, this is the girdle.
1.6.4	He ties a knot with the verse, "Thou art the knot of the Prāṇas. Do not let me loose.
1.6.2	Then he takes his first-born possession, saying, "We take thy first-born possession; may all the gods protect thee; may thy brothers, thy friends, many, may they increase thee, the well-born."
1.6.5	Then he puts on the skin of the black antelope, saying, "The eye of Mitra, the most powerful, the most brilliant, the most glorious, the most venerable, the most burning, the most unassailable, the most venerable garment, the most venerable covering, the most venerable skin of the black antelopes, I have put on."
1.6.6	Having offered these two oblations, he gives a gift to the preceptor, reciting the Anuvāka beginning with "O Agni, thou art the first, etc."
1.6.3	Then he binds him with the three-fold girdle of Muñja grass at the middle, with the verse, "The great one, the remover of evils, the giver of protection, the giver of shelter, has come back. Bearing strength by the Prāṇa and Apāna, the sister of the gods, the auspicious one, this is the girdle.
1.6.4	He ties a knot with the verse, "Thou art the knot of the Prāṇas. Do not let me loose.
1.7.1	On the other side of the fire, he strews two darbha-blades, with their tips towards the north, one after the other.
1.7.2	They stand facing each other.
1.7.3	One should take the hand of one facing the east from one facing the west, and one facing the west from one facing the east.
1.7.4	Then the one who is to be the messenger fills the two joined palms with water.
1.6.5	Then he puts on the skin of the black antelope, saying, "The eye of Mitra, the most powerful, the most brilliant, the most glorious, the most venerable, the most burning, the most unassailable, the most venerable garment, the most venerable covering, the most venerable skin of the black antelopes, I have put on."
1.7.5	Then with his joined hands he brings water, saying, "May the waters be auspicious for us, may they be auspicious for us to drink. May they flow forth for us."
1.6.6	Having offered these two oblations, he gives a gift to the preceptor, reciting the Anuvāka beginning with "O Agni, thou art the first, etc."
1.7.6	Then with his right hand he grasps the right hand of the other, with the thumb and the hair, with the formula, "In the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, I grasp thy hand with thy hand. Thou art impelled by Savitr. What is thy name?"
1.7.7	The other replies, "This is my name."
1.7.1	On the other side of the fire, he strews two darbha-blades, with their tips towards the north, one after the other.
1.7.2	They stand facing each other.
1.7.3	One should take the hand of one facing the east from one facing the west, and one facing the west from one facing the east.
1.7.4	Then the one who is to be the messenger fills the two joined palms with water.
1.7.5	Then with his joined hands he brings water, saying, "May the waters be auspicious for us, may they be auspicious for us to drink. May they flow forth for us."
1.7.8	He recites his name and says, "Savitar has taken your hand. Agni is the teacher. For whom are you a student? For whom do you belong? Whom do we bring you to? May you come without harm. May those who have gone not stay. May those who are firm not die. May those who suffer not die. May he who comes drive away death. May he who is dead drive away death. Death does not wander here.
1.7.6	Then with his right hand he grasps the right hand of the other, with the thumb and the hair, with the formula, "In the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, I grasp thy hand with thy hand. Thou art impelled by Savitr. What is thy name?"
1.7.7	The other replies, "This is my name."
1.8.1	I give you to Praṇā, the teacher. I give you to Kubera, the great king. I give you (to be) the carpenter of Vaiśālī. I give you Agni. I give you Vāyu. I give you Surya. I give you Prajāpati. I give you this (cow) to be protected by Prajāpati. Having given it away, he touches the region of the navel, having moved the right arm along the right shoulder, saying, "The young one, well-dressed, well-covered, has come. He becomes better and better as he is born. The wise ones, the poets, lead him with their minds, worshipping with their own knowledge."
1.7.8	He recites his name and says, "Savitar has taken your hand. Agni is the teacher. For whom are you a student? For whom do you belong? Whom do we bring you to? May you come without harm. May those who have gone not stay. May those who are firm not die. May those who suffer not die. May he who comes drive away death. May he who is dead drive away death. Death does not wander here.
1.8.2	Then he mutters over his right ear, "May the earth be in you, may the heaven be in you." The second time he mutters, "May the heaven be in thee."
1.8.3	The third time he mutters over the left ear, "May heaven be in thee"
1.8.4	Or he may mutter twice over the left ear and once over the right ear.
1.8.5	Then he places him on the stone, with the verse, "Stand firm on this stone; be firm like the stone. Destroy the wicked ones; withstand the enemies."
1.8.1	I give you to Praṇā, the teacher. I give you to Kubera, the great king. I give you (to be) the carpenter of Vaiśālī. I give you Agni. I give you Vāyu. I give you Surya. I give you Prajāpati. I give you this (cow) to be protected by Prajāpati. Having given it away, he touches the region of the navel, having moved the right arm along the right shoulder, saying, "The young one, well-dressed, well-covered, has come. He becomes better and better as he is born. The wise ones, the poets, lead him with their minds, worshipping with their own knowledge."
1.8.6	Then he makes him take up a fire-stick, with the formula, "O Agni, I am taking up the fire-stick for you, for the great knower of beings. As you, O Agni, have been kindled with fire-sticks, so do thou kindle me with life, with lustre, with knowledge, with progeny, with cattle, with Brahmic glory, with food."
1.8.7	He places one.
1.8.8	Some place three.
1.8.9	Some place seven.
1.8.2	Then he mutters over his right ear, "May the earth be in you, may the heaven be in you." The second time he mutters, "May the heaven be in thee."
1.8.3	The third time he mutters over the left ear, "May heaven be in thee"
1.8.4	Or he may mutter twice over the left ear and once over the right ear.
1.8.5	Then he places him on the stone, with the verse, "Stand firm on this stone; be firm like the stone. Destroy the wicked ones; withstand the enemies."
1.8.10	Having circumambulated the fire clockwise, having gone around to the south and having sat down, having taken up, he asks:
1.9.1	"Please recite the Savitri."
1.9.2	He recites the Savitri after him: "Bhuḥ, the Savitri is indeed the most excellent. Bhuvaḥ, we meditate on the radiance of the divine. Suvaḥ, may he inspire us."
1.8.6	Then he makes him take up a fire-stick, with the formula, "O Agni, I am taking up the fire-stick for you, for the great knower of beings. As you, O Agni, have been kindled with fire-sticks, so do thou kindle me with life, with lustre, with knowledge, with progeny, with cattle, with Brahmic glory, with food."
1.8.7	He places one.
1.8.8	Some place three.
1.8.9	Some place seven.
1.9.3	Then the second, two Vyāhṛtis and half of the Gāyatrī.
1.9.4	Then the third, all the Vyāhṛtis, and the Gāyatrīs without interruption.
1.9.5	Some say that it is to be recited facing the east, with the face turned away.
1.9.6	Some say this Gāyatrī should be recited for a year, some for twelve nights, some for three nights, some immediately.
1.9.7	Then he makes him perform the first of the Puroḍāśa offerings.
1.9.8	Then, while handing over the staff to him, he says, "You are a student. You should kindle the sacred fire, drink water, perform rites, not sleep during the day, live according to the teacher's instructions, and study the Vedas."
1.8.10	Having circumambulated the fire clockwise, having gone around to the south and having sat down, having taken up, he asks:
1.9.1	"Please recite the Savitri."
1.9.2	He recites the Savitri after him: "Bhuḥ, the Savitri is indeed the most excellent. Bhuvaḥ, we meditate on the radiance of the divine. Suvaḥ, may he inspire us."
1.9.9	One should eat only water in the house of the teacher. This is one view. The other view is that one should eat as one wishes. This is the view of Śālmali-mūla and Bhāradvāja.
1.9.10	Now they prescribe the ancient Vedic student life of thirty-eight years.
1.9.11	Some say it is until one studies the Vedas.
1.9.12	Some say until the ceremony of giving the cow.
1.9.3	Then the second, two Vyāhṛtis and half of the Gāyatrī.
1.9.4	Then the third, all the Vyāhṛtis, and the Gāyatrīs without interruption.
1.9.5	Some say that it is to be recited facing the east, with the face turned away.
1.9.6	Some say this Gāyatrī should be recited for a year, some for twelve nights, some for three nights, some immediately.
1.9.13	Then, taking him by the right hand, he raises him, saying, "Up with life, with my life."
1.9.7	Then he makes him perform the first of the Puroḍāśa offerings.
1.9.8	Then, while handing over the staff to him, he says, "You are a student. You should kindle the sacred fire, drink water, perform rites, not sleep during the day, live according to the teacher's instructions, and study the Vedas."
1.9.14	He looks at the sun with the verse, "The bright eye of the gods has risen in front. May we see a hundred autumns, may we live a hundred autumns. May we rejoice a hundred autumns; may we delight a hundred autumns." May we be a hundred autumns.
1.10.1	Then he begs for whatever he thinks she will not reject.
1.10.2	Having brought it and deposited it, he tells the teacher.
1.10.3	Three or unlimited (begging bowls) are begged.
1.10.4	For three nights he lies down below without salt and without food.
1.10.5	Then on the fourth day they make him generate wisdom.
1.9.9	One should eat only water in the house of the teacher. This is one view. The other view is that one should eat as one wishes. This is the view of Śālmali-mūla and Bhāradvāja.
1.9.10	Now they prescribe the ancient Vedic student life of thirty-eight years.
1.9.11	Some say it is until one studies the Vedas.
1.9.12	Some say until the ceremony of giving the cow.
1.9.13	Then, taking him by the right hand, he raises him, saying, "Up with life, with my life."
1.10.6	Where there is a Palasha tree with one root, having surrounded it and washed it, he anoints it with ghee, reciting: "May you make me famous, as you are famous. Just as you are famous, make me famous. As you are the guardian of the treasure of the gods in the Vedas, may I be the guardian of the Brahmanas' treasure in the Vedas."
1.9.14	He looks at the sun with the verse, "The bright eye of the gods has risen in front. May we see a hundred autumns, may we live a hundred autumns. May we rejoice a hundred autumns; may we delight a hundred autumns." May we be a hundred autumns.
1.10.7	Then, when he is sixteen years old, they perform the rite of giving him a cow.
1.10.8	And the rite is explained by the teacher.
1.10.9	He shaves all his hair except this much.
1.10.10	He gives a cow as a gift to his teacher.
1.10.11	Before the rite of giving the cow, he does not take a bath or apply fragrance.
1.10.12	One who has given the cow observes celibacy for a year, or he becomes one who has given the fire.
1.10.1	Then he begs for whatever he thinks she will not reject.
1.10.2	Having brought it and deposited it, he tells the teacher.
1.10.3	Three or unlimited (begging bowls) are begged.
1.10.4	For three nights he lies down below without salt and without food.
1.10.5	Then on the fourth day they make him generate wisdom.
1.11.1-5	There are four kinds of marriage: wealth, beauty, wisdom and kinship. If one cannot afford all of them, one should give up wealth and then beauty. There is a dispute between wisdom and kinship. Some say that one should give up kinship. Because one cannot live with a person who lacks wisdom.
1.10.6	Where there is a Palasha tree with one root, having surrounded it and washed it, he anoints it with ghee, reciting: "May you make me famous, as you are famous. Just as you are famous, make me famous. As you are the guardian of the treasure of the gods in the Vedas, may I be the guardian of the Brahmanas' treasure in the Vedas."
1.11.6	Now this is another thing, which is not inferred from the meaning.
1.11.7	The principal purpose of this is procreation.
1.11.8	He who is capable of procreating should approach her, in whom a desirable son would be born.
1.11.9	One should not approach her while she is sleeping or moving.
1.11.10	When he first approaches her, he should ask her about auspicious things.
1.10.7	Then, when he is sixteen years old, they perform the rite of giving him a cow.
1.10.8	And the rite is explained by the teacher.
1.10.9	He shaves all his hair except this much.
1.10.10	He gives a cow as a gift to his teacher.
1.10.11	Before the rite of giving the cow, he does not take a bath or apply fragrance.
1.10.12	One who has given the cow observes celibacy for a year, or he becomes one who has given the fire.
1.11.11	He should bring four clods of earth: one from the sacrificial altar, one from cowdung, one from the river bank, and one from a cremation ground.
1.11.12	He should say, "Take one of these."
1.11.13	If she takes the clod from the sacrificial altar it means she will give birth to a teacher or a sacrificer.
1.11.14	If she takes a clod from cowdung, it means she will have many cattle.
1.11.1-5	There are four kinds of marriage: wealth, beauty, wisdom and kinship. If one cannot afford all of them, one should give up wealth and then beauty. There is a dispute between wisdom and kinship. Some say that one should give up kinship. Because one cannot live with a person who lacks wisdom.
1.11.15	If she is to give birth to a son who will be a great plowman, one should know this.
1.11.16	If she is to give rise to a son who is a great destroyer of the cremation ground, one should know that he will be famous.
1.11.17	One should not accept her.
1.11.18	Now there are many signs.
1.11.6	Now this is another thing, which is not inferred from the meaning.
1.11.7	The principal purpose of this is procreation.
1.11.8	He who is capable of procreating should approach her, in whom a desirable son would be born.
1.11.9	One should not approach her while she is sleeping or moving.
1.11.10	When he first approaches her, he should ask her about auspicious things.
1.11.19	The verse of the characteristics is quoted: "In which the mind and the eye delight, know that to be the auspicious Lakshmi. What will knowledge do?"
1.11.20	One should take up the northern course.
1.11.21	It is known that the northern course belongs to the gods. This rite is indeed divine.
1.12.1	The southern course is the other.
1.12.2	It is said that the southern course belongs to the ancestors.
1.11.11	He should bring four clods of earth: one from the sacrificial altar, one from cowdung, one from the river bank, and one from a cremation ground.
1.11.12	He should say, "Take one of these."
1.11.13	If she takes the clod from the sacrificial altar it means she will give birth to a teacher or a sacrificer.
1.11.14	If she takes a clod from cowdung, it means she will have many cattle.
1.12.3-11	This rite is connected with the Pitrs. One should accept the former half of the month. It is known that the former half of month belongs to the gods. This rite is connected with gods. The latter half of the month is the other. It is understood that the latter half of the mouth belongs to the Pitrs. This rite is connected to the Pitrs One should accept morning. It is recognized that morning belongs to the gods.
1.11.15	If she is to give birth to a son who will be a great plowman, one should know this.
1.11.16	If she is to give rise to a son who is a great destroyer of the cremation ground, one should know that he will be famous.
1.11.17	One should not accept her.
1.11.18	Now there are many signs.
1.12.12	But this is the work of the gods.
1.12.13	One should take it at midday.
1.12.14	It is known that midday belongs to the sages.
1.12.15	This work is associated with the sages.
1.12.16	And it is also known that all the meritorious things converge at midday.
1.12.17	One should perform it in the afternoon.
1.12.18	It is said that the afternoon belongs to the ancestors.
1.11.19	The verse of the characteristics is quoted: "In which the mind and the eye delight, know that to be the auspicious Lakshmi. What will knowledge do?"
1.11.20	One should take up the northern course.
1.11.21	It is known that the northern course belongs to the gods. This rite is indeed divine.
1.12.1	The southern course is the other.
1.12.2	It is said that the southern course belongs to the ancestors.
1.12.19	This rite is connected with the father.
1.12.20	But if it is known that it is the afternoon of the Blessed One,
1.12.21	then this rite is connected with him.
1.12.22	But if one knows that the girls who desire the Blessed One go out in the afternoon,
1.12.23	then one should take up the auspicious.
1.12.24	Indeed, in the world, auspicious rites are undertaken.
1.12.3-11	This rite is connected with the Pitrs. One should accept the former half of the month. It is known that the former half of month belongs to the gods. This rite is connected with gods. The latter half of the month is the other. It is understood that the latter half of the mouth belongs to the Pitrs. This rite is connected to the Pitrs One should accept morning. It is recognized that morning belongs to the gods.
1.12.25-27	Therefore, one should not draw a picture with an obscene name, nor should one worship it. It is known that some people release them with the Inuka verses, those bulls are condemned with the Magha verses, cows are taken with the Phalguni verses, and they are arranged.
1.12.12	But this is the work of the gods.
1.12.13	One should take it at midday.
1.12.14	It is known that midday belongs to the sages.
1.12.15	This work is associated with the sages.
1.12.16	And it is also known that all the meritorious things converge at midday.
1.12.17	One should perform it in the afternoon.
1.12.18	It is said that the afternoon belongs to the ancestors.
1.12.28	The girl whom one desires to be dear, one should give her at the time of the girl's puberty.
1.12.29	It is understood that she becomes dear and does not return again.
1.13.1	Then he says, "Bathe her."
1.13.2	She gives the clothes to the one who has bathed, saying, "Those who did not cut, those who did not weave, and those goddesses who gave the boundaries on all sides, may those goddesses give you to old age. Wear this garment of life."
1.12.19	This rite is connected with the father.
1.12.20	But if it is known that it is the afternoon of the Blessed One,
1.12.21	then this rite is connected with him.
1.12.22	But if one knows that the girls who desire the Blessed One go out in the afternoon,
1.12.23	then one should take up the auspicious.
1.12.24	Indeed, in the world, auspicious rites are undertaken.
1.13.3	Then he makes her put on the garment, saying, "Put on the garment, give her the garment, make her live a hundred years, give her long life. Brihaspati has given this garment to Soma, the king, to put on. Go to old age, put on the garment. Be the one who removes curses of the farmers. Live a hundred autumns and be radiant. Enjoy the prosperity of wealth."
1.12.25-27	Therefore, one should not draw a picture with an obscene name, nor should one worship it. It is known that some people release them with the Inuka verses, those bulls are condemned with the Magha verses, cows are taken with the Phalguni verses, and they are arranged.
1.13.4	He recites over the garment that is to be worn, "This garment has been worn for welfare. May it be worn for long life. May it be the remover of curses. May you live for a hundred years and many more, and may you distribute wealth among the living."
1.12.28	The girl whom one desires to be dear, one should give her at the time of the girl's puberty.
1.12.29	It is understood that she becomes dear and does not return again.
1.13.1	Then he says, "Bathe her."
1.13.5	Then having placed the fire in front of her, having offered the two libations of ghee, he offers the two portions of ghee, saying, "To Agni, the knower of birth, svāhā," in the eastern half of the southern half, and "To Soma, the knower, svāhā" in the western half of the southern.
1.13.2	She gives the clothes to the one who has bathed, saying, "Those who did not cut, those who did not weave, and those goddesses who gave the boundaries on all sides, may those goddesses give you to old age. Wear this garment of life."
1.13.3	Then he makes her put on the garment, saying, "Put on the garment, give her the garment, make her live a hundred years, give her long life. Brihaspati has given this garment to Soma, the king, to put on. Go to old age, put on the garment. Be the one who removes curses of the farmers. Live a hundred autumns and be radiant. Enjoy the prosperity of wealth."
1.13.6	Then he offers these oblations: "Bhuḥ svāhā, Bhuvaḥ svāhā. Suvaḥ svāha. Bhuḥ, Bhuvaḥ, Suvaḥ svāhā. The one that is oblique, the one that is straight, the one that binds, the one that cleanses, the lord of the assembly, the one who is yoked, the one who knows, the one who conquers, the one who supports the kingdom."
1.13.7	Having offered the oblations of victory and support, he offers these oblatioins:
1.13.4	He recites over the garment that is to be worn, "This garment has been worn for welfare. May it be worn for long life. May it be the remover of curses. May you live for a hundred years and many more, and may you distribute wealth among the living."
1.13.5	Then having placed the fire in front of her, having offered the two libations of ghee, he offers the two portions of ghee, saying, "To Agni, the knower of birth, svāhā," in the eastern half of the southern half, and "To Soma, the knower, svāhā" in the western half of the southern.
1.13.6	Then he offers these oblations: "Bhuḥ svāhā, Bhuvaḥ svāhā. Suvaḥ svāha. Bhuḥ, Bhuvaḥ, Suvaḥ svāhā. The one that is oblique, the one that is straight, the one that binds, the one that cleanses, the lord of the assembly, the one who is yoked, the one who knows, the one who conquers, the one who supports the kingdom."
1.13.7	Having offered the oblations of victory and support, he offers these oblatioins:
1.14.1	May Agni, the first of the deities, come here. May he release his offspring from the noose of death. May this king Varuna consent to this, so that this woman may not weep for her grandson. Svāhā! May this woman be protected by Agni, the domestic fire. May he lead her offspring to a long life. May the mother live without being deprived of her presence. May she awaken to the joy of her grandson. Svāhâ! May there be no sound of crying in your house at night, except for those who cry for you. May you not be deprived of your hair. May the wife of the living husband rule in the world of the husband. May she see her offspring with a joyful mind. Svāhā. May the sky protect your back, the wind your thighs, the Asvins your breast while suckling, and Savitar protect you. May Brihaspati protect you from the wearing of garments, and the All-Gods from the rear. Svāhā.
1.14.2	"O Varuna, may this be fulfilled. I go to you. O Agni, you are that. O Agni, that you are. O Agni, thou art the going. Thou art the going of Agni. Thou art the not-blamed going of Agni. Whatever of this rite has been done amiss, O Prajapati, that I confess." Having offered the last oblation, he gives a gift to the teacher.
1.15.1	On the other side of the fire, he strews two darbha-blades, with their tips towards the north, one after the other.
1.15.2	They stand on them, one facing east and the other facing west.
1.15.3	One should take the hand facing east and the one facing west, so says one.
1.15.4	One should face west and take the hand facing west, so say others.
