1.1.1	Now, the rites of the domestic fire.
1.3.14	He takes it away reciting the verse, "I send you to the ocean. May you go to your own abode. May our heroes be unharmed. May they not be lost to me."
1.3.15	"He sips, saying, 'I am coming with fame, I am uniting with fame. Make me dear to the subjects, the lord of cattle, the protector of bodies.'
1.3.16	He waits for the Madhuparka, saying, 'For thee, O Mitra.'
1.3.17	He receives it, saying, 'Thou art the god.'
1.3.18	Holding it in the left hand, he touches the right ring finger three times, saying, "Salutations to the one with black teeth, the eater of food. Whatever is scattered, I purify that for you."
1.3.19	He touches it three times with the ring finger and thumb.
1.3.20	He eats it thrice, thinking, "This is the supreme form of honey, the food, by which I may become the supreme eater of honey, the supreme eater of food."
1.3.21	With verses containing the word "honey".
1.3.22	One should give the leavings to a son or a student sitting to the north.
1.3.23	One should eat everything.
1.3.24	He should lead the cow to the place where she is to be tethered.
1.3.25	Having sipped water, he touches the vital airs, saying, "Speech in the mouth, breath in the nose, sight in the eyes, hearing in the ears, strength in the arms, vigor in the thighs, the organs are without disease, the body is with the body."
1.3.26	Having sipped, he says three times, "The water is for the cow," taking the grass.
1.3.24	He should lead the cow to the place where she is to be tethered.
1.3.25	Having sipped water, he touches the vital airs, saying, "Speech in the mouth, breath in the nose, sight in the eyes, hearing in the ears, strength in the arms, vigor in the thighs, the organs are without disease, the body is with the body."
1.3.26	Having sipped, he says three times, "The water is for the cow," taking the grass.
1.3.27-28	The mother of the Rudras, the daughter of the Vasus, the sister of the Adityas, the navel of immortality, she who is Aditi, the mother of the gods, may she protect us. If one were to seize her, one should say: "I am seizing the one who is not a cow, Aditi, for the sake of the one who is treating me. I am destroying the sin of me and him." If one were intending to release her, one should release her, saying: "The sin of me and of him has been destroyed. Release the grass."
1.3.27-28	The mother of the Rudras, the daughter of the Vasus, the sister of the Adityas, the navel of immortality, she who is Aditi, the mother of the gods, may she protect us. If one were to seize her, one should say: "I am seizing the one who is not a cow, Aditi, for the sake of the one who is treating me. I am destroying the sin of me and him." If one were intending to release her, one should release her, saying: "The sin of me and of him has been destroyed. Release the grass."
1.3.29	But it is not proper to offer the Soma-juice without meat.
1.3.30	One should say, "Perform the sacrifice and the marriage."
1.3.31	Even though one may offer Soma-sacrifice many times in a year, they should offer it to one who has already offered it, not to one who has not offered it, according to the Vedic statement.
1.4.1	There are four kinds of offerings in the Agnihotra: offered, not offered, offered and then not offered, and eaten.
1.3.29	But it is not proper to offer the Soma-juice without meat.
1.3.30	One should say, "Perform the sacrifice and the marriage."
1.3.31	Even though one may offer Soma-sacrifice many times in a year, they should offer it to one who has already offered it, not to one who has not offered it, according to the Vedic statement.
1.4.1	There are four kinds of offerings in the Agnihotra: offered, not offered, offered and then not offered, and eaten.
1.4.2	In the five, outside the house, in marriage, tonsure, initiation, and the rite of cutting the hair at the end of pregnancy.
1.4.3	Having kindled the fire in a smeared and sprinkled place,
1.4.4	Some use a fire-drill in marriage.
1.4.5	One should take the hand of a girl in the ascending lunar fortnight, on an auspicious day, in the northern direction.
1.4.6	In the three, the northern direction is the first.
1.4.2	In the five, outside the house, in marriage, tonsure, initiation, and the rite of cutting the hair at the end of pregnancy.
1.4.3	Having kindled the fire in a smeared and sprinkled place,
1.4.4	Some use a fire-drill in marriage.
1.4.5	One should take the hand of a girl in the ascending lunar fortnight, on an auspicious day, in the northern direction.
1.4.6	In the three, the northern direction is the first.
1.4.7	In the constellation of Svāti, Mṛgaśiras, or Rohiṇī.
1.4.8	Three for a Brahmin, in order of precedence.
1.4.9	Two for a Kshatriya.
1.4.10	One for a Vaishya.
1.4.11	Some say that even a Shudra may be married, but without mantras.
1.4.7	In the constellation of Svāti, Mṛgaśiras, or Rohiṇī.
1.4.8	Three for a Brahmin, in order of precedence.
1.4.9	Two for a Kshatriya.
1.4.10	One for a Vaishya.
1.4.11	Some say that even a Shudra may be married, but without mantras.
1.4.12	Then he makes her put on a garment, with the formula, "Go to old age, put on the garment, be the protector of the cursed, live for a hundred years, shining with splendour, and enjoy wealth and sons. Put on this garment of long life."
1.4.12	Then he makes her put on a garment, with the formula, "Go to old age, put on the garment, be the protector of the cursed, live for a hundred years, shining with splendour, and enjoy wealth and sons. Put on this garment of long life."
1.4.13	Then he puts on the upper garment, saying, "Those who did not cut, those who did not weave, those who did the weaving, and those goddesses who stretched the threads around, may those goddesses give you life for old age. May this garment be yours for long life."
1.4.14	Then he unites them, saying, "May all the gods unite us, may the waters unite our hearts, may the sun unite us, may Prajapati unite us, may Indra unite us, may Varuna unite us, may Yama unite us, may Agni unite us, may Soma unite us, may Sarasvati unite us, may Savitr unite us, may Dhātar unite us, may Pusan unite us, may Brhaspati unite us, may Mitra unite us, may Aryaman unite us, may Vivasvan unite us, may Tvashtri unite us, may Parjanya unite us, may Rudra unite us, may Nirriti unite us, may Bhaga unite us, may Viśvakarman unite us, may Angiras unite us, may Usas unite us, may Aditi unite us, may Sūrya unite us, may Dhata unite us, may Vidhata unite us, and may the foreteller unite us."
1.4.13	Then he puts on the upper garment, saying, "Those who did not cut, those who did not weave, those who did the weaving, and those goddesses who stretched the threads around, may those goddesses give you life for old age. May this garment be yours for long life."
1.4.14	Then he unites them, saying, "May all the gods unite us, may the waters unite our hearts, may the sun unite us, may Prajapati unite us, may Indra unite us, may Varuna unite us, may Yama unite us, may Agni unite us, may Soma unite us, may Sarasvati unite us, may Savitr unite us, may Dhātar unite us, may Pusan unite us, may Brhaspati unite us, may Mitra unite us, may Aryaman unite us, may Vivasvan unite us, may Tvashtri unite us, may Parjanya unite us, may Rudra unite us, may Nirriti unite us, may Bhaga unite us, may Viśvakarman unite us, may Angiras unite us, may Usas unite us, may Aditi unite us, may Sūrya unite us, may Dhata unite us, may Vidhata unite us, and may the foreteller unite us."
1.4.15	Taking her, given by her father, and going out, whatever one desires in one's mind, Pavamana, the golden-leaved, the single-horned, may he make you of my mind. It is this one.
1.4.16	Then he looks at them, saying, "May thy eye be harmless, may thy eye be harmless. Be thou kind to cattle, of good mind, of good lustre, a mother of heroes, desiring the gods, kindly, mayst thou be kind to us, to the bipeds and to the quadrupeds. Soma first knew, Gandharva knew next, Agni knew third, and thy lord knew fourth, and thy human subjects. Soma gave to Gandharva, Gandharva gave to Agni, Agni gave to me wealth and sons. May she, Pūṣan, give us the most auspicious. May she, the eager one, move her thighs. In which the eager ones have struck the serpent, in which many desires are settled."
1.4.16	Then he looks at them, saying, "May thy eye be harmless, may thy eye be harmless. Be thou kind to cattle, of good mind, of good lustre, a mother of heroes, desiring the gods, kindly, mayst thou be kind to us, to the bipeds and to the quadrupeds. Soma first knew, Gandharva knew next, Agni knew third, and thy lord knew fourth, and thy human subjects. Soma gave to Gandharva, Gandharva gave to Agni, Agni gave to me wealth and sons. May she, Pūṣan, give us the most auspicious. May she, the eager one, move her thighs. In which the eager ones have struck the serpent, in which many desires are settled."
1.5.1	Having circumambulated the fire, he sits down to the east of it.
1.5.2	Having turned the fire-brand or the stool to the west of the fire with his right foot, he sits down.
1.5.3	The kindling of the fire, the two Ajyabhāgas, the Mahāvyahaṛtis, the Prāyaścittas, the Prajapatya, and the Sviṣṭakṛt are performed.
1.5.4	This is always done everywhere.
1.5.1	Having circumambulated the fire, he sits down to the east of it.
1.5.2	Having turned the fire-brand or the stool to the west of the fire with his right foot, he sits down.
1.5.3	The kindling of the fire, the two Ajyabhāgas, the Mahāvyahaṛtis, the Prāyaścittas, the Prajapatya, and the Sviṣṭakṛt are performed.
1.5.4	This is always done everywhere.
1.5.5	If the Svishtakrit is performed before the Mahavyahrtis, then the oblation is offered from the ghee.
1.5.6	This is the procedure for the marriage ceremony, which includes all expiations and the Prajapati rite.
1.5.7	One who is supported by the kingdom, knowing the Jaya and Abhyanana mantras,
1.5.8	Since it is said, "If one desires to perform a certain rite,"
1.5.5	If the Svishtakrit is performed before the Mahavyahrtis, then the oblation is offered from the ghee.
1.5.6	This is the procedure for the marriage ceremony, which includes all expiations and the Prajapati rite.
1.5.7	One who is supported by the kingdom, knowing the Jaya and Abhyanana mantras,
1.5.8	Since it is said, "If one desires to perform a certain rite,"
1.5.9	Mind and mind-ness, intention and intention-ness, knowledge and knowledge-ness, the mind and the Shakaris, the new moon and the full moon, the Brihat and the Rathantara, Prajapati gave the victories to Indra Vrisha. The fierce one in battles, the victor, to him all the clans bowed down. He became fierce and victorious. Svāhā.
1.5.9	Mind and mind-ness, intention and intention-ness, knowledge and knowledge-ness, the mind and the Shakaris, the new moon and the full moon, the Brihat and the Rathantara, Prajapati gave the victories to Indra Vrisha. The fierce one in battles, the victor, to him all the clans bowed down. He became fierce and victorious. Svāhā.
1.5.10	May Agni, the lord of beings, protect me. May Indra, the lord of the eldest, Yama of the earth, Vayu of the atmosphere, Surya of the heaven, the moon of the stars, Brihaspati of the Brahman, Mitra of the truths, Varuna of the waters, the ocean of the streams, food of the kingdoms, may that protect me. Soma of the plants, Savitar of the births, Rudra of the cattle, Tvashtar of the forms, Vishnu of the mountains, the Maruts of the groups, may they protect me. The fathers, the grandfathers, the great-grandfathers, the distant ones, the near ones, the very distant ones, may they protect here, in this Brahman, in this Kshatra, in this Ashi, in this Purandara, in this Karma, in this Devahutis, in this Svāhā. One should follow everywhere.
1.5.10	May Agni, the lord of beings, protect me. May Indra, the lord of the eldest, Yama of the earth, Vayu of the atmosphere, Surya of the heaven, the moon of the stars, Brihaspati of the Brahman, Mitra of the truths, Varuna of the waters, the ocean of the streams, food of the kingdoms, may that protect me. Soma of the plants, Savitar of the births, Rudra of the cattle, Tvashtar of the forms, Vishnu of the mountains, the Maruts of the groups, may they protect me. The fathers, the grandfathers, the great-grandfathers, the distant ones, the near ones, the very distant ones, may they protect here, in this Brahman, in this Kshatra, in this Ashi, in this Purandara, in this Karma, in this Devahutis, in this Svāhā. One should follow everywhere.
1.5.11	May Agni, the first of the deities, come here. May he release his offspring from the noose of death. May this king Varuna grant his permission, so that this woman may not weep for her grandson. Svāhā. May this woman be protected by Agni, the domestic fire. May he lead her offspring to a long life. May the mother live without being deprived of her presence. May she awaken to the joy of her grandson. Svāhêti. May Agni grant us well-being in heaven and on earth. May he bestow all things, as one offers in sacrifice. Whatever is praised as born in this great heaven, may he bestow wealth upon us, in various forms. Svāhā." "May you come, showing the auspicious path. Bring us the luminous, imperishable life. Death may depart, and immortality may come. May Yama grant us freedom from fear. Svāhā."
1.5.12	Some say, "To the highest death."
1.6.1	The brother of a maiden pours a handful of rice mixed with shami and palasha leaves into the water.
1.5.11	May Agni, the first of the deities, come here. May he release his offspring from the noose of death. May this king Varuna grant his permission, so that this woman may not weep for her grandson. Svāhā. May this woman be protected by Agni, the domestic fire. May he lead her offspring to a long life. May the mother live without being deprived of her presence. May she awaken to the joy of her grandson. Svāhêti. May Agni grant us well-being in heaven and on earth. May he bestow all things, as one offers in sacrifice. Whatever is praised as born in this great heaven, may he bestow wealth upon us, in various forms. Svāhā." "May you come, showing the auspicious path. Bring us the luminous, imperishable life. Death may depart, and immortality may come. May Yama grant us freedom from fear. Svāhā."
1.5.12	Some say, "To the highest death."
1.6.1	The brother of a maiden pours a handful of rice mixed with shami and palasha leaves into the water.
1.6.2	He offers them with the formula, "May I stand united with the deity Aryaman. The maiden Agni desired the deity Aryaman, may the deity Aryaman release us from the evil path. Svāhā." "This woman is speaking to me. She is scattering the grains. May my husband be long-lived. May my kinsmen prosper. Svāhā. I am scattering these grains in the fire for your prosperity. May it be agreeable to you. May Agni approve of it. This is Svāhā."
1.6.2	He offers them with the formula, "May I stand united with the deity Aryaman. The maiden Agni desired the deity Aryaman, may the deity Aryaman release us from the evil path. Svāhā." "This woman is speaking to me. She is scattering the grains. May my husband be long-lived. May my kinsmen prosper. Svāhā. I am scattering these grains in the fire for your prosperity. May it be agreeable to you. May Agni approve of it. This is Svāhā."
1.6.3	Then he takes her right hand with the thumb. "I take your hand for good fortune. May you be my wife, as long as life lasts. Bhaga, Aryaman, Savitar, Purandhi, the gods have given you to me, the householder, for a husband. I am Amo, you are Sa. I am Amo and you are Sa. Sama is me, you are Rk. You are heaven, I am earth. Come, let us be united. Let us place the seed. Let us beget offspring. Let us obtain many sons. May they be long-lived. May we be united, shining, well-disposed, seeing a hundred autumns, hearing a hundred autumns."
1.7.1	Then he makes her ascend the stone to the north of the fire with the right foot, with the verse, "May we ascend this stone, may we ascend the stone. Be firm like a stone. Stand firm, suppress the enemies, suppress the hosts of enemies."
1.6.3	Then he takes her right hand with the thumb. "I take your hand for good fortune. May you be my wife, as long as life lasts. Bhaga, Aryaman, Savitar, Purandhi, the gods have given you to me, the householder, for a husband. I am Amo, you are Sa. I am Amo and you are Sa. Sama is me, you are Rk. You are heaven, I am earth. Come, let us be united. Let us place the seed. Let us beget offspring. Let us obtain many sons. May they be long-lived. May we be united, shining, well-disposed, seeing a hundred autumns, hearing a hundred autumns."
1.7.2	Then he sings the verse: "O Sarasvati, the divine, the auspicious, the one with horses, I sing this praise to you. You are in front of all the beings and creatures of the universe. In which (verse) all beings were born, in which this entire world exists, I shall sing that verse today, which is the supreme fame among women."
1.7.1	Then he makes her ascend the stone to the north of the fire with the right foot, with the verse, "May we ascend this stone, may we ascend the stone. Be firm like a stone. Stand firm, suppress the enemies, suppress the hosts of enemies."
1.7.2	Then he sings the verse: "O Sarasvati, the divine, the auspicious, the one with horses, I sing this praise to you. You are in front of all the beings and creatures of the universe. In which (verse) all beings were born, in which this entire world exists, I shall sing that verse today, which is the supreme fame among women."
1.7.3	Then, as he goes around, he says, "May the sun, together with the wind, bring you back to your husband. O Agni, may the wife be reunited with her husband and offspring."
1.7.4	Thus twice more, with the remaining rice grains and so on.
1.7.5	The fourth time, he pours all the rice grains into the winnowing basket with the verse, "To Bhaga, svāhā."
1.7.6	Having offered the Prajapati oblation three times, he says,
1.8.1	Then he makes her move seven steps towards the north, one for food, two for strength, three for prosperity, four for growth, five for cattle, six for seasons, seven for friendship. Be thou the seven-stepped one. Be thou obedient to me.
1.8.2	He follows it everywhere with the formula, "May Vishnu lead thee."
1.7.3	Then, as he goes around, he says, "May the sun, together with the wind, bring you back to your husband. O Agni, may the wife be reunited with her husband and offspring."
1.7.4	Thus twice more, with the remaining rice grains and so on.
1.7.5	The fourth time, he pours all the rice grains into the winnowing basket with the verse, "To Bhaga, svāhā."
1.7.6	Having offered the Prajapati oblation three times, he says,
1.8.3	After the exit, holding the water pot on the shoulder, one stands to the right of the fire, with restraint of speech.
1.8.4	Some say to the north.
1.8.5	Then he anoints her on the head with the verse, "May the auspicious waters, the most auspicious, the peaceful, the most peaceful, may they make your medicine."
1.8.6	And with the three verses, "O waters, you are indeed..."
1.8.1	Then he makes her move seven steps towards the north, one for food, two for strength, three for prosperity, four for growth, five for cattle, six for seasons, seven for friendship. Be thou the seven-stepped one. Be thou obedient to me.
1.8.2	He follows it everywhere with the formula, "May Vishnu lead thee."
1.8.7	Then he makes her look at the sun, saying, "This is the eye."
1.8.8	Then he places the heart on her right shoulder, saying, "I place your heart in my vow. May your mind be in accordance with my mind. May you listen to my speech with a single mind. May Prajapati unite you with me."
1.8.3	After the exit, holding the water pot on the shoulder, one stands to the right of the fire, with restraint of speech.
1.8.4	Some say to the north.
1.8.5	Then he anoints her on the head with the verse, "May the auspicious waters, the most auspicious, the peaceful, the most peaceful, may they make your medicine."
1.8.6	And with the three verses, "O waters, you are indeed..."
1.8.9	Then he recites over her, "This is the auspicious bride. Look at her. Having given her good fortune, go away when the sun sets."
1.8.7	Then he makes her look at the sun, saying, "This is the eye."
1.8.8	Then he places the heart on her right shoulder, saying, "I place your heart in my vow. May your mind be in accordance with my mind. May you listen to my speech with a single mind. May Prajapati unite you with me."
1.8.10	Having broken it, he places it in the house of the strong man, in the red skin of the ox, going towards the east, saying, "Here let the cows sit down, here the horses, here the men, here the sacrifice with a thousand gifts, here let Pūṣan sit down."
1.8.11	They should also make a village announcement.
1.8.9	Then he recites over her, "This is the auspicious bride. Look at her. Having given her good fortune, go away when the sun sets."
1.8.12	The text says that one should enter the village from the marriage place or the cremation ground.
1.8.13	Therefore, the village is the standard, according to the statement.
1.8.14	The teacher gives the bride.
1.8.15	A cow is the bride for a brahmin.
1.8.16	A village is the bride for the king.
1.8.17	A horse is the bride for vaishya.
1.8.18	A hundred chariots are the bride for the daughter-minded.
1.8.10	Having broken it, he places it in the house of the strong man, in the red skin of the ox, going towards the east, saying, "Here let the cows sit down, here the horses, here the men, here the sacrifice with a thousand gifts, here let Pūṣan sit down."
1.8.11	They should also make a village announcement.
1.8.19	When the sun has set, he shows the pole star. "He says, "You are the pole star. I see the pole star. May the pole star be in me, the one to be nourished. Brihaspati has given you to me. May I be with my husband, full of offspring, and may I live for a hundred autumns."
1.8.20	If she does not see it, she should say, "I see it."
1.8.12	The text says that one should enter the village from the marriage place or the cremation ground.
1.8.13	Therefore, the village is the standard, according to the statement.
1.8.14	The teacher gives the bride.
1.8.15	A cow is the bride for a brahmin.
1.8.16	A village is the bride for the king.
1.8.17	A horse is the bride for vaishya.
1.8.18	A hundred chariots are the bride for the daughter-minded.
1.8.21	They should eat without salt and sour gruel for three nights, sleep on the ground, and not have sexual intercourse for a year. They should observe the vow for twelve nights, six nights, or at least three nights.
1.9.1	The observance of the Upavasatha vow begins with the Upayana ceremony.
1.9.2	At sunset and sunrise, they should offer oblations of curd, rice, and unbroken grains.
1.9.3	In the evening, they should offer the oblations with the mantras "Svāhā to Agni" and "Svāhā svāhā to Prajapati".
1.9.4	"To Surya, svāhā! To Prajapati, svāhā!" in the morning.
1.9.5	"May Mitra and Varuna be men, the two Ashvins be men, Indra and Surya be men, may the man be present in me again, svāhā." The one who desires a child should recite this in the morning.
1.8.21	They should eat without salt and sour gruel for three nights, sleep on the ground, and not have sexual intercourse for a year. They should observe the vow for twelve nights, six nights, or at least three nights.
1.9.1	The observance of the Upavasatha vow begins with the Upayana ceremony.
1.9.2	At sunset and sunrise, they should offer oblations of curd, rice, and unbroken grains.
1.9.3	In the evening, they should offer the oblations with the mantras "Svāhā to Agni" and "Svāhā svāhā to Prajapati".
1.10.1	If the king is injured in a game of dice, or if there is a mishap in the chariot, or if there has been a mishap to any other person, or if a woman is carried away, then having kindled the fire and consecrated the ghee, he offers with the mantra "Here is pleasure" using various mantras.
1.10.2	Having prepared another chariot, he should make the king or the woman sit in it, reciting the mantra "For the king" at the end of the sacrifice and also with the mantra "I have obtained you".
1.9.4	"To Surya, svāhā! To Prajapati, svāhā!" in the morning.
1.9.5	"May Mitra and Varuna be men, the two Ashvins be men, Indra and Surya be men, may the man be present in me again, svāhā." The one who desires a child should recite this in the morning.
1.10.3	The two most capable ones are the Dakṣiṇās.
1.10.4	Expiation.
1.10.5	Then the feeding of Brahmins.
1.11.1	On the fourth day, having kindled the fire inside at the end of the night, having seated the Brahman to the south, having placed the water pot to the north, having cooked the rice-gruel, having offered the portions of clarified butter, he offers oblations of clarified butter.
1.10.1	If the king is injured in a game of dice, or if there is a mishap in the chariot, or if there has been a mishap to any other person, or if a woman is carried away, then having kindled the fire and consecrated the ghee, he offers with the mantra "Here is pleasure" using various mantras.
1.10.2	Having prepared another chariot, he should make the king or the woman sit in it, reciting the mantra "For the king" at the end of the sacrifice and also with the mantra "I have obtained you".
1.10.3	The two most capable ones are the Dakṣiṇās.
1.10.4	Expiation.
1.10.5	Then the feeding of Brahmins.
1.11.1	On the fourth day, having kindled the fire inside at the end of the night, having seated the Brahman to the south, having placed the water pot to the north, having cooked the rice-gruel, having offered the portions of clarified butter, he offers oblations of clarified butter.
1.11.2	O Agni, you are the atonement of the gods. You are the atonement of Brahmanas. I approach you for protection. Destroy that form of hers which is destructive of her husband. Svāhā. O Vayu, you are the atonememt of the gods. You are the atonement of brahmins. I approach you seeking protection. Destroy that body of hers which is harmful to her progeny. Svāhā O Surya, you are the atonemnt of the gods. O Surya, you art the atonement of brahmans. I approach you seekng protection. Destroy that foem of hers which is destrucitve of her cattle. Svāhā O Chandra, you are the aotnement of the gods. Translation: O Agni, you art the expiation of the gods. Thou art the expiation for Brahmanas. I seek thee for protection. Destroy the form of hers which destroys her husband. Svähä. O Vayu. thou art the expiation. Thou art the expiation to Brahmanas. I come to thee for protection. Destoy the form of hers that is harmful to her offspring. Svähä O Surya, thou art the expiations of the gods. Svähä.
1.11.3	He offers the cooked rice to Prajapati with the formula, "Svāhā to Prajapati."
1.11.4	Having offered these oblations, he pours the remnants into a vessel of water and then anoints her on the head with the verse, "Whatever is your wife-destroying, progeny-destroying, cattle-destroying, house-destroying, fame-destroying, censured body, husband-destroying, I make her so. May she age with me."
1.11.2	O Agni, you are the atonement of the gods. You are the atonement of Brahmanas. I approach you for protection. Destroy that form of hers which is destructive of her husband. Svāhā. O Vayu, you are the atonememt of the gods. You are the atonement of brahmins. I approach you seeking protection. Destroy that body of hers which is harmful to her progeny. Svāhā O Surya, you are the atonemnt of the gods. O Surya, you art the atonement of brahmans. I approach you seekng protection. Destroy that foem of hers which is destrucitve of her cattle. Svāhā O Chandra, you are the aotnement of the gods. Translation: O Agni, you art the expiation of the gods. Thou art the expiation for Brahmanas. I seek thee for protection. Destroy the form of hers which destroys her husband. Svähä. O Vayu. thou art the expiation. Thou art the expiation to Brahmanas. I come to thee for protection. Destoy the form of hers that is harmful to her offspring. Svähä O Surya, thou art the expiations of the gods. Svähä.
1.11.3	He offers the cooked rice to Prajapati with the formula, "Svāhā to Prajapati."
1.11.5	Then he makes her eat the cooked rice, saying, "With your breaths I unite your breaths, with your bones your bones, with your flesh your flesh, with your skin your skin."
1.11.6	Therefore one should not despise the wife of a learned man, for he is superior to one who knows thus.
1.11.7	Having cooked it, one should enter (the house) according to the season.
1.11.4	Having offered these oblations, he pours the remnants into a vessel of water and then anoints her on the head with the verse, "Whatever is your wife-destroying, progeny-destroying, cattle-destroying, house-destroying, fame-destroying, censured body, husband-destroying, I make her so. May she age with me."
1.11.8	As the text says, “May we be born together as we desire, as long as we live.”
1.11.9	Then he places his heart on her right shoulder, saying, “I know that heart of yours which is in heaven, resting on the moon. May it know me. May we see a hundred autumns, may we live a hundred autumns. May we hear a hundred autumns.”
1.11.10	Thus from now on.
1.11.5	Then he makes her eat the cooked rice, saying, "With your breaths I unite your breaths, with your bones your bones, with your flesh your flesh, with your skin your skin."
1.11.6	Therefore one should not despise the wife of a learned man, for he is superior to one who knows thus.
1.11.7	Having cooked it, one should enter (the house) according to the season.
1.12.1	Having cooked the oblations in the pot on the days of the lunar phases, he offers to the deities of the Darśa and Pūrṇamāsa sacrifices, and then offers to Brahma, Prajapati, the Viśve Devas, Heaven and Earth.
1.12.2	Offering to all the gods, to the beings in the house, and to space.
1.12.3	He offers to the Vaiśvadeva deities in the fire, saying, "Svāhā to Agni, Svāhā to Prajāpati, Svāhāto all the gods, Svāhāsto Agni Sviṣṭakṛt."
1.11.8	As the text says, “May we be born together as we desire, as long as we live.”
1.11.9	Then he places his heart on her right shoulder, saying, “I know that heart of yours which is in heaven, resting on the moon. May it know me. May we see a hundred autumns, may we live a hundred autumns. May we hear a hundred autumns.”
1.11.10	Thus from now on.
1.12.1	Having cooked the oblations in the pot on the days of the lunar phases, he offers to the deities of the Darśa and Pūrṇamāsa sacrifices, and then offers to Brahma, Prajapati, the Viśve Devas, Heaven and Earth.
1.12.2	Offering to all the gods, to the beings in the house, and to space.
1.12.5	Then, having sprinkled the remaining water, one should feed the Brahmins.
1.12.3	He offers to the Vaiśvadeva deities in the fire, saying, "Svāhā to Agni, Svāhā to Prajāpati, Svāhāto all the gods, Svāhāsto Agni Sviṣṭakṛt."
1.13.1	If she does not conceive, she should fast on the Pushya asterism and dig up the root of the white-flowered plant. On the fourth day, when the night has passed, she should grind it with water and apply it to the right nostril, saying: "This is the healing plant, the protector, the Sarasvati. I have taken the name of this great one, like a son of his father."
1.14.1	Now, the rite for begetting a son.
1.12.4	The woman takes the oblation outside. Obeisance to the woman. Obeisance to man, to the old, to the old. Obeisance to one who is white, to one with black teeth, to the lord of sinners. Those who tempt my progeny, whether they live in the village or in the forest, to them be obeisance. I offer this oblation to them. May there be welfare for me. May he give me progeny.
1.12.5	Then, having sprinkled the remaining water, one should feed the Brahmins.
1.14.2	In the second or third month, the moon is joined with the constellation of the male.
1.14.3	On that day, having fasted and put on fresh clothes, one should grind the seeds of the banyan tree and the seeds of the neem tree at night, and apply them as before, reciting these two verses: "Hiranyagarbha, born from the waters, has arisen."
1.13.1	If she does not conceive, she should fast on the Pushya asterism and dig up the root of the white-flowered plant. On the fourth day, when the night has passed, she should grind it with water and apply it to the right nostril, saying: "This is the healing plant, the protector, the Sarasvati. I have taken the name of this great one, like a son of his father."
1.14.1	Now, the rite for begetting a son.
1.14.4	Some say that it is the Kusha grass, the Soma-rays, and the Kūrma-bile.
1.14.5	If he desires that the semen should be vigorous, he should transform it and recite the mantra, "You are Suparna," before the steps of Vishnu.
1.15.1	Then comes the ceremony of the parting of the hair.
1.15.2	As in the Pumsavana rite.
1.15.3	In the sixth or eighth month of the first pregnancy.
1.14.2	In the second or third month, the moon is joined with the constellation of the male.
1.14.3	On that day, having fasted and put on fresh clothes, one should grind the seeds of the banyan tree and the seeds of the neem tree at night, and apply them as before, reciting these two verses: "Hiranyagarbha, born from the waters, has arisen."
