1.1.1	We shall explain the Upanayana.
1.1.27	Having melted the clarified butter, having placed the clarified butter in the vessel covered with the Pavitra, having poured the clarified butter, and having placed the embers on the fire, having placed the embers, having sprinkled it, having covered it with two fresh Darbha-blades, having performed the Parigni three times, having sprinkled water, having removed the embers, having placed the Pavitras with their tips towards the north, having again poured the clarified butter three times, having placed the pavitra in the fire,
1.1.27	Having melted the clarified butter, having placed the clarified butter in the vessel covered with the Pavitra, having poured the clarified butter, and having placed the embers on the fire, having placed the embers, having sprinkled it, having covered it with two fresh Darbha-blades, having performed the Parigni three times, having sprinkled water, having removed the embers, having placed the Pavitras with their tips towards the north, having again poured the clarified butter three times, having placed the pavitra in the fire,
1.2.1	He places them with the wooden sword.
1.2.2	He places the middle one towards the fire, with the mouth facing upwards.
1.2.3	Touching the fire on the right side, he places the middle one with the mouth facing east.
1.2.4	Touching the north side of the fire, he places the central one with the mouth towards the east.
1.2.5	He sits down facing east, touching the fire on the west side.
1.2.6	The boy, having sipped water, sits down facing south, wearing the sacred thread. He then begins.
1.2.1	He places them with the wooden sword.
1.2.2	He places the middle one towards the fire, with the mouth facing upwards.
1.2.3	Touching the fire on the right side, he places the middle one with the mouth facing east.
1.2.4	Touching the north side of the fire, he places the central one with the mouth towards the east.
1.2.5	He sits down facing east, touching the fire on the west side.
1.2.6	The boy, having sipped water, sits down facing south, wearing the sacred thread. He then begins.
1.2.7	Then he sprinkles (the fire).
1.2.8	"He says, "O Aditi, do thou be pleased," towards the south, towards the east.
1.2.9	" "He says, "Do thou be pleased with the one who is pleased," towards west, towards the north. "Do thou be please with Sarasvati," towards the north, towards the east."
1.2.10	"He says towards all directions, "O god Savitar, do thou sprinkle."
1.2.7	Then he sprinkles (the fire).
1.2.8	"He says, "O Aditi, do thou be pleased," towards the south, towards the east.
1.2.9	" "He says, "Do thou be pleased with the one who is pleased," towards west, towards the north. "Do thou be please with Sarasvati," towards the north, towards the east."
1.2.10	"He says towards all directions, "O god Savitar, do thou sprinkle."
1.2.11	Having sprinkled the fire-wood, he places it with the formula, "This is thy fire-wood, O Jātavedas, do thou prosper with it. Do thou prosper and make us prosper with progeny, cattle, brahmic glory and food. Do thou prosper with Svāhā."
1.2.12	Then he offers with the Darbha-grass.
1.2.11	Having sprinkled the fire-wood, he places it with the formula, "This is thy fire-wood, O Jātavedas, do thou prosper with it. Do thou prosper and make us prosper with progeny, cattle, brahmic glory and food. Do thou prosper with Svāhā."
1.2.12	Then he offers with the Darbha-grass.
1.2.13	Having moved along the southern edge of the altar, he offers the Darvi to Prajapati Manu with the formula, "Svāhā to Manu." Thinking mentally, he offers the long, straight, and continuous oblation towards the south.
1.2.14	Having moved along the southern edges of the altar, one offers to Indra with the formula, “Svāhā to Indra.” The oblation is offered towards the east and upwards.
1.2.15	The two oblations of clarified butter are offered as Āghāra.
1.2.16	"In the eastern half of the southern half, he offers with the formula, "To Agni svāhā." In the eastern half of northern half, he offers to Soma with the formula, "To Soma svāhā."
1.2.17	He offers in between the two.
1.2.13	Having moved along the southern edge of the altar, he offers the Darvi to Prajapati Manu with the formula, "Svāhā to Manu." Thinking mentally, he offers the long, straight, and continuous oblation towards the south.
1.2.14	Having moved along the southern edges of the altar, one offers to Indra with the formula, “Svāhā to Indra.” The oblation is offered towards the east and upwards.
1.2.15	The two oblations of clarified butter are offered as Āghāra.
1.2.16	"In the eastern half of the southern half, he offers with the formula, "To Agni svāhā." In the eastern half of northern half, he offers to Soma with the formula, "To Soma svāhā."
1.2.17	He offers in between the two.
1.2.18	O Agni, O Jatavedas, O Agni, O knower of beings, O Agni, go forward, O Agni, know the act being performed, O Agni, thou art the physician and the healer, O Agni, may we obtain cattle, horses and men through thee, svāhā. O Agni, O Jataveda, O Agni, the knower of beings. O Agni, go forth. O Agni, know what is being done. O Agni, thou are the physician and the remedy. O Agni, may I obtain cattle, horses, and men through thee. Svāhā. The one who lies down obliquely, saying, "I am the supporter," I worship her with the stream of ghee, the one to be worshipped in the fire. Svāhā to the goddess to be worshipped. Svāhā.
1.3.1	This is the procedure for all Darvis and Homa offerings.
1.3.2	At the end of the mantra, always add "svāhā".
1.3.3	For those without mantras, say "to him, svāhā", according to the deity.
1.3.4	One should offer oblations with the Vyāhṛtis "bhūr bhuvaḥ suvaḥ" individually and collectively.
1.2.18	O Agni, O Jatavedas, O Agni, O knower of beings, O Agni, go forward, O Agni, know the act being performed, O Agni, thou art the physician and the healer, O Agni, may we obtain cattle, horses and men through thee, svāhā. O Agni, O Jataveda, O Agni, the knower of beings. O Agni, go forth. O Agni, know what is being done. O Agni, thou are the physician and the remedy. O Agni, may I obtain cattle, horses, and men through thee. Svāhā. The one who lies down obliquely, saying, "I am the supporter," I worship her with the stream of ghee, the one to be worshipped in the fire. Svāhā to the goddess to be worshipped. Svāhā.
1.3.5	"O Agni, giver of life," (thus) he says. "O Agni, the giver of life, singing to the old age, with the back of ghee, Agni, drinking ghee, the nectar, the beautiful, like a father, may we lead this son to old age. Svāhā."
1.3.1	This is the procedure for all Darvis and Homa offerings.
1.3.2	At the end of the mantra, always add "svāhā".
1.3.3	For those without mantras, say "to him, svāhā", according to the deity.
1.3.4	One should offer oblations with the Vyāhṛtis "bhūr bhuvaḥ suvaḥ" individually and collectively.
1.3.6	This is my truth, O Varuna. You are our Agni. You are our friend, O Agni. You are Agni. With the intention of going, you have gone. You have gone with the intention of offering oblations. Grant us healing. Svāhā. This is the Prajapati verse.
1.3.5	"O Agni, giver of life," (thus) he says. "O Agni, the giver of life, singing to the old age, with the back of ghee, Agni, drinking ghee, the nectar, the beautiful, like a father, may we lead this son to old age. Svāhā."
1.3.7	Whatever rite of his has been deficient or excessive, may Agni, the bestower of what is well-offered, know it and make everything well-offered and well-offered for me. To Agni Svishtakrit, the well-offered, the well-offerer, the fulfiller of all offerings and desires, svāhā. He offers the oblation mixed with the other oblations in the eastern half of the southern half.
1.3.8	Here some offer the Jāyā-oblations, saying, "May the country be protected," before the Svishtakṛt offering.
1.3.9	He offers the Jāyā oblations with the formulas, "To Citta svāhā, to Citti svāhā" or "To Citta, svāhā, svāhā to Citti."
1.3.10	"May Agni, the lord of beings, protect me."
1.3.7	Whatever rite of his has been deficient or excessive, may Agni, the bestower of what is well-offered, know it and make everything well-offered and well-offered for me. To Agni Svishtakrit, the well-offered, the well-offerer, the fulfiller of all offerings and desires, svāhā. He offers the oblation mixed with the other oblations in the eastern half of the southern half.
1.3.8	Here some offer the Jāyā-oblations, saying, "May the country be protected," before the Svishtakṛt offering.
1.3.9	He offers the Jāyā oblations with the formulas, "To Citta svāhā, to Citti svāhā" or "To Citta, svāhā, svāhā to Citti."
1.3.10	"May Agni, the lord of beings, protect me."
1.3.11	In the case of the Brāhmaṇas, he offers in the direction of the Kṣatriyas.
1.3.12	He offers to the Pitrs and the Pitāmahas in the direction of those who are facing east. He stands up.
1.3.13	He offers the first oblation to the Rtasāḍa and the Ritadhamas, and the second oblation to the Rasāḍa and Ritadhamas. He offers the first obration to the Rāṣṭrabhṛts and the second obration to the Rasāṭs and Ritāts. He offers the oblation to the Pitrs, the Pitāmahs, the Prapitāmahs, and the Praprapitāmahs.
1.3.14	Having placed a stone in front of the northern boundary-line, he makes the boy stand on it with his right foot.
1.4.1	He makes him stand on the stone, saying, "Stand firm like a stone. Crush the wicked ones. Bear the army."
1.3.11	In the case of the Brāhmaṇas, he offers in the direction of the Kṣatriyas.
1.3.12	He offers to the Pitrs and the Pitāmahas in the direction of those who are facing east. He stands up.
1.3.13	He offers the first oblation to the Rtasāḍa and the Ritadhamas, and the second oblation to the Rasāḍa and Ritadhamas. He offers the first obration to the Rāṣṭrabhṛts and the second obration to the Rasāṭs and Ritāts. He offers the oblation to the Pitrs, the Pitāmahs, the Prapitāmahs, and the Praprapitāmahs.
1.3.14	Having placed a stone in front of the northern boundary-line, he makes the boy stand on it with his right foot.
1.4.1	He makes him stand on the stone, saying, "Stand firm like a stone. Crush the wicked ones. Bear the army."
1.4.2	Then he makes him put on the new garment, having laid down the old one, (with the verse), "Those who did not cut, did not sew, did not weave, and those goddesses who gave the ends around, may those goddesses consume thee with old age. Put on this garment, O thou that art long-lived. May the garment be put on. May they make him a hundred years old. May Brihaspati give thee this garment. Thou art going to old age. Put it on. Be thou the protector of the afflicted. Live a hundred years and be radiant. And mayst thou enjoy the nourishment of wealth."
1.4.3	Having put on the garment, he recites: "May this garment be for my well-being. May I be free from censure. May I live a hundred years and many more, and may I enjoy wealth as long as I live."
1.4.2	Then he makes him put on the new garment, having laid down the old one, (with the verse), "Those who did not cut, did not sew, did not weave, and those goddesses who gave the ends around, may those goddesses consume thee with old age. Put on this garment, O thou that art long-lived. May the garment be put on. May they make him a hundred years old. May Brihaspati give thee this garment. Thou art going to old age. Put it on. Be thou the protector of the afflicted. Live a hundred years and be radiant. And mayst thou enjoy the nourishment of wealth."
1.4.4-5	Then he makes the girdle go round the region of the navel three times, some say twice. "The one who has come back to the shelter of protection, having removed the evils, bringing strength by means of the vital airs, the sister of the gods, the auspicious one, the girdle." Having made a knot three times to the north of the navel, he pulls it towards the south of the navel.
1.4.3	Having put on the garment, he recites: "May this garment be for my well-being. May I be free from censure. May I live a hundred years and many more, and may I enjoy wealth as long as I live."
1.4.6	Then he makes the antelope skin the upper garment, saying, "Thou art the eye of Mitra, the guardian of the eye, the shining, glorious, venerable, blazing, unhurt, wearing garment, the old, the covering, the garment of the horse, thou art the garment of the antelope. May the two Savitar-s bind thy girdle. May Veda recite for me. For the sake of wisdom, faith, the non-denial of the unsaid, for Brahman, for Brahmic glory."
1.4.4-5	Then he makes the girdle go round the region of the navel three times, some say twice. "The one who has come back to the shelter of protection, having removed the evils, bringing strength by means of the vital airs, the sister of the gods, the auspicious one, the girdle." Having made a knot three times to the north of the navel, he pulls it towards the south of the navel.
1.4.7	The skin of the black antelope is for the Brāhmaṇa, that of the tiger for the Kṣatriya and that of the cow for the Vaiśya.
1.4.6	Then he makes the antelope skin the upper garment, saying, "Thou art the eye of Mitra, the guardian of the eye, the shining, glorious, venerable, blazing, unhurt, wearing garment, the old, the covering, the garment of the horse, thou art the garment of the antelope. May the two Savitar-s bind thy girdle. May Veda recite for me. For the sake of wisdom, faith, the non-denial of the unsaid, for Brahman, for Brahmic glory."
1.4.7	The skin of the black antelope is for the Brāhmaṇa, that of the tiger for the Kṣatriya and that of the cow for the Vaiśya.
1.4.8	Then he gives him over, saying, "I give thee over to the Brahman, to the great Brahman, to the ear. Then let old age take thee. Thou hast slept long in the ear." The Brahman, "I give him over to the Brahman to the great Brahman to the kingdom. Then let old-age take him. He has slept long in the kingdom." The Kshatriya, "I give this one over to the Brahman for the great Brahman, for the nourishment. Then let oldage take him. Thou hast slept for a long time in nourishment." The Vaishya.
1.4.9	Having seated him facing the fire, he makes him eat the remnants of the oblation with the verses, "In thee is wisdom, in thee is progeny."
1.4.10	Some make him eat clarified butter.
1.4.11	He looks at him eating with the two verses, "At every step, O Agni, do thou increase this thy power for long life and splendour."
1.4.12	Some make them eat.
1.4.8	Then he gives him over, saying, "I give thee over to the Brahman, to the great Brahman, to the ear. Then let old age take thee. Thou hast slept long in the ear." The Brahman, "I give him over to the Brahman to the great Brahman to the kingdom. Then let old-age take him. He has slept long in the kingdom." The Kshatriya, "I give this one over to the Brahman for the great Brahman, for the nourishment. Then let oldage take him. Thou hast slept for a long time in nourishment." The Vaishya.
1.4.13	Having made him sip water, he recites (the verse): "The gods have lived for a hundred autumns, where they have made our bodies free from old age, where the sons become fathers. May we not die in the middle of our life."
1.4.9	Having seated him facing the fire, he makes him eat the remnants of the oblation with the verses, "In thee is wisdom, in thee is progeny."
1.4.10	Some make him eat clarified butter.
1.4.11	He looks at him eating with the two verses, "At every step, O Agni, do thou increase this thy power for long life and splendour."
1.4.12	Some make them eat.
1.5.1	We have come to the guest. May we be free from death, free from misfortune. May we move about in safety. May we live in safety. May you live in safety. Having circumambulated the fire clockwise, he recites:
1.5.2	Then he addresses him: "I have come to the life of celibacy. Lead me. You are a celibate. You are born by the god Savitr."
1.5.3	He asks him:
1.4.13	Having made him sip water, he recites (the verse): "The gods have lived for a hundred autumns, where they have made our bodies free from old age, where the sons become fathers. May we not die in the middle of our life."
1.5.4	Who is the name?
1.5.5	He tells him as the name is.
1.5.6	"He takes the names, saying, 'May the god Savitr be well to me, may I be well to this name.'
1.5.7	They rub themselves, saying, 'Let the goddesses, the waters, be well for our drinking; let them flow well for us.'
1.5.1	We have come to the guest. May we be free from death, free from misfortune. May we move about in safety. May we live in safety. May you live in safety. Having circumambulated the fire clockwise, he recites:
1.5.2	Then he addresses him: "I have come to the life of celibacy. Lead me. You are a celibate. You are born by the god Savitr."
1.5.3	He asks him:
1.5.8	Then with his right hand he touches the right shoulder, and with the left the left, reciting the Vyāhṛtis, "To Savitri" and "To Savitri". He then brings the right arm towards himself, reciting, "I bring thee in the impulse of the divine Savitri, with the arms of the Asvins, with the hands of Pūshan."
1.5.4	Who is the name?
1.5.5	He tells him as the name is.
1.5.6	"He takes the names, saying, 'May the god Savitr be well to me, may I be well to this name.'
1.5.7	They rub themselves, saying, 'Let the goddesses, the waters, be well for our drinking; let them flow well for us.'
1.5.9	Then with his right hand he takes his right hand with the thumb, saying, "Agni has taken thy hand, Soma has taken thy hand. Savitr has taken thy hand; Sarasvati has taken thy hand: Pusan has taken thy hand." Brihaspati has taken thy hand," "Mitra has taken thy hand;" Varuna has taken thy hand:" "Tvastir has taken thy hand" "Dhatr has taken thy hand". "Vishnu has taken thy hand", "Prajapati has taken thy hand.
1.5.8	Then with his right hand he touches the right shoulder, and with the left the left, reciting the Vyāhṛtis, "To Savitri" and "To Savitri". He then brings the right arm towards himself, reciting, "I bring thee in the impulse of the divine Savitri, with the arms of the Asvins, with the hands of Pūshan."
1.5.10	May Savitar protect thee. Thou art Mitra. Agni is thy preceptor. Thou art consecrated by the divine Savitar. Thou art a student of Brhaspati. He has drunk water. Place the kindling-wood. Perform the rite. Do not sleep by day. Thus he instructs him.
1.5.9	Then with his right hand he takes his right hand with the thumb, saying, "Agni has taken thy hand, Soma has taken thy hand. Savitr has taken thy hand; Sarasvati has taken thy hand: Pusan has taken thy hand." Brihaspati has taken thy hand," "Mitra has taken thy hand;" Varuna has taken thy hand:" "Tvastir has taken thy hand" "Dhatr has taken thy hand". "Vishnu has taken thy hand", "Prajapati has taken thy hand.
1.5.11	Then, having touched the right shoulder with his right hand, he touches the region of the heart, saying, "May your heart be in my heart. Follow my mind with your mind. Be attentive to my speech. May Brihaspati unite you. May you follow me. May your mind be in me. May there be your authority in me. May you restrain your speech for me."
1.5.12	You are the knot of the vital airs. Do not be loose.
1.5.10	May Savitar protect thee. Thou art Mitra. Agni is thy preceptor. Thou art consecrated by the divine Savitar. Thou art a student of Brhaspati. He has drunk water. Place the kindling-wood. Perform the rite. Do not sleep by day. Thus he instructs him.
1.5.11	Then, having touched the right shoulder with his right hand, he touches the region of the heart, saying, "May your heart be in my heart. Follow my mind with your mind. Be attentive to my speech. May Brihaspati unite you. May you follow me. May your mind be in me. May there be your authority in me. May you restrain your speech for me."
1.5.13	"Having thus invoked him, he gives him to the earth in the Rks, to Agni, to the earth, to speech, to the Brahman. He gives him to the Bhuva in the Yajuses, to Vayu, to the atmosphere, to the breath, to the Brahman." "He gives him to the Suva in the Sāmans, to the sun, to heaven, to the eye, to the Brahman, 'May he be dear and agreeable to thee. May he be dear and acceptable to thee. May we dwell here. May we dwell in the breath, in life. May we dwell thus.'
1.5.12	You are the knot of the vital airs. Do not be loose.
1.5.14	Then with his right hand he takes his right hand with the thumb, saying, "Agni is long-lived" five times.
1.5.15	"May he bestow life on you from all sides."
1.6.1	He mutters at the right ear.
1.6.2	"Agni is the giver of life" at the left ear.
1.6.3	May you stand in the fire, in the earth, in the wind, in the sky, in the sun, in heaven. The prosperity which Agni, Vayu, Aditya, Moon, and Waters follow, may you follow that prosperity. The student of Brahman is this (earth). This is the other. He follows both.
1.5.13	"Having thus invoked him, he gives him to the earth in the Rks, to Agni, to the earth, to speech, to the Brahman. He gives him to the Bhuva in the Yajuses, to Vayu, to the atmosphere, to the breath, to the Brahman." "He gives him to the Suva in the Sāmans, to the sun, to heaven, to the eye, to the Brahman, 'May he be dear and agreeable to thee. May he be dear and acceptable to thee. May we dwell here. May we dwell in the breath, in life. May we dwell thus.'
1.6.4	May Indra give you wisdom, the goddess Sarasvati give you wisdom, both the Ashvins, wearing garlands of lotuses, have given you wisdom. Having placed his mouth near your mouth, he mutters.
1.5.14	Then with his right hand he takes his right hand with the thumb, saying, "Agni is long-lived" five times.
1.5.15	"May he bestow life on you from all sides."
1.6.1	He mutters at the right ear.
1.6.2	"Agni is the giver of life" at the left ear.
1.6.3	May you stand in the fire, in the earth, in the wind, in the sky, in the sun, in heaven. The prosperity which Agni, Vayu, Aditya, Moon, and Waters follow, may you follow that prosperity. The student of Brahman is this (earth). This is the other. He follows both.
1.6.5	Then he gives him over to the ploughman, saying, "I give thee over to the plougher, I give thee over to Death, I give thee to the destroyer, I give thee unto the staff, I give thee up to Yama, I give thee for the sacrifice, I give thee into the power of the Vasini, I give thee, O earth, to Savitar, to the All-gods, I give thee the waters, I give thee plants, I give thee trees, I give thee heaven and earth, I give thee good growth, I give thee holy lustre, I give thee all the gods, I give thee every being, I give thee thee to all the deities."
1.6.4	May Indra give you wisdom, the goddess Sarasvati give you wisdom, both the Ashvins, wearing garlands of lotuses, have given you wisdom. Having placed his mouth near your mouth, he mutters.
1.6.6	Here he makes him recite the Savitri verse if he has been initiated before.
1.6.7	If not, then after three days.
1.6.8	He is initiated on the same day as the Pushkaravali.
1.6.9	Placing a stool with its head towards the north beyond the fire, he sits facing east on it, saying, "May the teacher's seat be yours, may your wife not be yours."
1.6.10	Having made the salutation to the Sun, having taken the teacher's hand, having sat down to the right of the teacher, having said "Teach me, O teacher", he then says "Sāvitrī, O teacher, please recite".
1.6.5	Then he gives him over to the ploughman, saying, "I give thee over to the plougher, I give thee over to Death, I give thee to the destroyer, I give thee unto the staff, I give thee up to Yama, I give thee for the sacrifice, I give thee into the power of the Vasini, I give thee, O earth, to Savitar, to the All-gods, I give thee the waters, I give thee plants, I give thee trees, I give thee heaven and earth, I give thee good growth, I give thee holy lustre, I give thee all the gods, I give thee every being, I give thee thee to all the deities."
1.6.6	Here he makes him recite the Savitri verse if he has been initiated before.
1.6.7	If not, then after three days.
1.6.8	He is initiated on the same day as the Pushkaravali.
1.6.9	Placing a stool with its head towards the north beyond the fire, he sits facing east on it, saying, "May the teacher's seat be yours, may your wife not be yours."
1.6.11	"We invoke thee, O lord of the hosts, the leader of the hosts." Having thus invoked him, he then offers the oblation to him. Then he recites the verses in half-verses, then in continuous verses. "That which is the most excellent of Savitar, the light of the divine, may we meditate on it. The one who impels us, may he impel us. That which is the most desirable of Savitar, may we meditate upon the light of the god. The one who inspires us, may he inspire us. That which belongs to Savitar, the most desirable, may we meditate. The one who prompts us, may he prompt us."
1.6.10	Having made the salutation to the Sun, having taken the teacher's hand, having sat down to the right of the teacher, having said "Teach me, O teacher", he then says "Sāvitrī, O teacher, please recite".
1.7.1-2	Then he puts on the fire seven Palāśa-sticks, moist, not cut at the top, of the size of a span, anointed with ghee, saying, "I bring the Palāśa stick to Agni, the great, the all-knowing, as you, O Agni, have been kindled with the Palāśas, so may I be kindled with wisdom, with understanding, with offspring, with cattle, with Brahmic glory, with food, svāhā." One.
1.6.11	"We invoke thee, O lord of the hosts, the leader of the hosts." Having thus invoked him, he then offers the oblation to him. Then he recites the verses in half-verses, then in continuous verses. "That which is the most excellent of Savitar, the light of the divine, may we meditate on it. The one who impels us, may he impel us. That which is the most desirable of Savitar, may we meditate upon the light of the god. The one who inspires us, may he inspire us. That which belongs to Savitar, the most desirable, may we meditate. The one who prompts us, may he prompt us."
1.7.3	"To Agni, the kindling wood." Two verses.
1.7.4	"To Agni, the fire." Four verses.
1.7.5	Then he sprinkles (the fire) as before.
1.7.6	He concludes the mantras with "Anvamasthaḥ prasavīr iti."
1.7.7	Then he attends to the deities.
1.7.1-2	Then he puts on the fire seven Palāśa-sticks, moist, not cut at the top, of the size of a span, anointed with ghee, saying, "I bring the Palāśa stick to Agni, the great, the all-knowing, as you, O Agni, have been kindled with the Palāśas, so may I be kindled with wisdom, with understanding, with offspring, with cattle, with Brahmic glory, with food, svāhā." One.
1.7.3	"To Agni, the kindling wood." Two verses.
1.7.4	"To Agni, the fire." Four verses.
1.7.5	Then he sprinkles (the fire) as before.
1.7.6	He concludes the mantras with "Anvamasthaḥ prasavīr iti."
1.7.7	Then he attends to the deities.
1.7.10	"Having raised him, he says, "This is your son, I give him to you." Having given him away, the eye of the gods, the bright one, uttered in front, "May we see a hundred autumns, may we live a hundred autumns. May we rejoice a hundred autumns; may we delight a hundred autumns." "May we be a hundred autumns." "May we hear a hundred autumns." "May we proclaim a hundred autumns.” “May we be unconquered a hundred autumns,” he says. "May we look upon the sun with joy a hundred autumns,", he worships the sun.
1.7.8	"O Agni, the lord of vows, I shall observe the vow." "O Vayu, the lord of the vows." "O Aditya, the lord of Vows." "O the lord of vows."
1.7.9	Here, he gives a gift to the preceptor.
1.7.11	Agni, the most powerful, may he make thee live long; Agni, the most poweful, may he bestow prosperity on thee. May Indra with the Maruts here bestow on thee; may Aditya with the Vasus bestow on thee. Having given the staff, he gives the begging bowl.
1.7.12	Then he says, "May you practise begging."
1.7.13	He should first beg from his mother.
1.7.14	Then from other families.
1.7.15	Having brought the alms, he says to the teacher, "This is the alms."
1.7.16	Having said, "This is good alms,"
1.7.17	"May the All-gods protect you, whose first meal we take. May your brothers, your well-wishers, increase you, many, well-born." He takes the first meal of this one.
1.7.10	"Having raised him, he says, "This is your son, I give him to you." Having given him away, the eye of the gods, the bright one, uttered in front, "May we see a hundred autumns, may we live a hundred autumns. May we rejoice a hundred autumns; may we delight a hundred autumns." "May we be a hundred autumns." "May we hear a hundred autumns." "May we proclaim a hundred autumns.” “May we be unconquered a hundred autumns,” he says. "May we look upon the sun with joy a hundred autumns,", he worships the sun.
1.7.18	When the food is ready, he offers the oblation mixed with ghee, saying, "Svāhā to Agni, Svāhā to Soma, Svāhā Agni, the eater of food, Svāhā, to Agni, the lord of food, Svāhâ to Prajapati, Svāhā the All-gods, Svāhā all the deities, Svāhā Agnî Sviṣṭakṛt."
1.7.11	Agni, the most powerful, may he make thee live long; Agni, the most poweful, may he bestow prosperity on thee. May Indra with the Maruts here bestow on thee; may Aditya with the Vasus bestow on thee. Having given the staff, he gives the begging bowl.
1.7.12	Then he says, "May you practise begging."
1.7.13	He should first beg from his mother.
1.7.14	Then from other families.
1.7.15	Having brought the alms, he says to the teacher, "This is the alms."
1.7.16	Having said, "This is good alms,"
1.7.17	"May the All-gods protect you, whose first meal we take. May your brothers, your well-wishers, increase you, many, well-born." He takes the first meal of this one.
1.8.2	Eating food without salt, without sour gruel, without meat, without honey, without sleeping during the day, at both times he takes alms, a water pot, and every day a bundle of wood. At both times, in the evening, he adds kindling.
1.8.3	Having rubbed the fire clockwise, he sprinkles it as before.
1.7.18	When the food is ready, he offers the oblation mixed with ghee, saying, "Svāhā to Agni, Svāhā to Soma, Svāhā Agni, the eater of food, Svāhā, to Agni, the lord of food, Svāhâ to Prajapati, Svāhā the All-gods, Svāhā all the deities, Svāhā Agnî Sviṣṭakṛt."
1.8.4	He places the kindling-sticks with the Vyāhṛtis, one by one, and then all together. "This is your Agni, O Agni, may you grow and prosper with it, and may we grow and prosper. Svāhā! May Indra give me wisdom, the goddess Sarasvatī, the two Ashvins may give me wisdom, wearing garlands of lotuses. Svāhā!" The wisdom that is among the Apsarases, and the mind among the Gandharvas, the divine wisdom that is human, may that wisdom be auspicious to me. Svāhā. "May the wisdom that is among me, auspicious, of all forms, golden-colored, moving in the world, nourishing with milk, may that wisdom, well-disposed, be auspicious to me." Svāhā.
1.8.2	Eating food without salt, without sour gruel, without meat, without honey, without sleeping during the day, at both times he takes alms, a water pot, and every day a bundle of wood. At both times, in the evening, he adds kindling.
1.8.3	Having rubbed the fire clockwise, he sprinkles it as before.
1.8.5	Similarly, he sprinkles after wiping as before.
1.8.6	He worships with these mantras: "That which is your Agni, by that I am." "May I have wisdom, may I have offspring."
1.8.7	Having fed the Brahmanas for three days with food consisting of three grains, and having made them recite the benedictory verses, he releases the vow with the words, "O Agni, lord of vows, I have observed the vow."
1.8.8	This is the vow to be observed from now onwards.
1.8.4	He places the kindling-sticks with the Vyāhṛtis, one by one, and then all together. "This is your Agni, O Agni, may you grow and prosper with it, and may we grow and prosper. Svāhā! May Indra give me wisdom, the goddess Sarasvatī, the two Ashvins may give me wisdom, wearing garlands of lotuses. Svāhā!" The wisdom that is among the Apsarases, and the mind among the Gandharvas, the divine wisdom that is human, may that wisdom be auspicious to me. Svāhā. "May the wisdom that is among me, auspicious, of all forms, golden-colored, moving in the world, nourishing with milk, may that wisdom, well-disposed, be auspicious to me." Svāhā.
1.8.5	Similarly, he sprinkles after wiping as before.
1.8.6	He worships with these mantras: "That which is your Agni, by that I am." "May I have wisdom, may I have offspring."
1.8.7	Having fed the Brahmanas for three days with food consisting of three grains, and having made them recite the benedictory verses, he releases the vow with the words, "O Agni, lord of vows, I have observed the vow."
1.8.8	This is the vow to be observed from now onwards.
1.8.9	The teacher, who is a householder, eats salt, alkali, and shāmi grains.
1.8.10	He carries a staff, wears matted hair, and a girdle.
1.8.11	Or he may have matted hair.
1.8.12	He wears a garment of the color of bark or a garment made of antelope skin.
1.8.13	He does not approach a woman.
