#Author:Devapāla
#Text:Kāṭhagṛhyasūtrabhāṣya
#Comments:Kāṭhakagṛhyasūtra
#Edition:Kashmir Series of Texts and Studies, No. XLIX (1923)
#Data entry:Oliver Hellwig
#Notes:Currently covers only the first half of the mūla text.



1.1.[1]	vrataśabdo yamaniyamavācakaḥ /
1.4.[5]	ācāryo hi prerya kāṃścidbhikṣāṃ dāpayatītyācāryeṇāpi tasya śarīrapoṣaṇalakṣaṇā vṛttiranyaceṣṭāvadupapadyate, anyato vā kadācidbhaikṣasyālābhe ācārya eva bhojanādikaṃ dadātīti // 4 //
1.5.[1]	iha sāmānyābhidhāne'pi daṇḍaḥ pālāśādiḥ yathāyathaṃ vakṣyamāṇaḥ /
1.5.[2]	saha śalkena tvacā vartamāno daṇḍo yasya sa saśalkadaṇḍaḥ syādityanuṣaṅga eva // 5//
1.6.[1]	saptabhirmuñjavyaktibhistrivṛttyāvṛttībhavati tāṃ mekhalāṃ dhārayet /
1.6.[2]	atra mehanasaṃbandhinaḥ khasya mālā mekhaleti nirvacanaṃ kurvanti /
1.6.[3]	mayūravyaṃsakāditvātsādhu kila /
1.6.[4]	miha secane, mihyate sicyate vīryādikamaneneti mehanamānandendriyaṃ tasyopari nābheradhobhāge yatkhaṃ tasya mālā // 6//
1.7.[1]	mākṣikaṃ māṃsaṃ na bhakṣayediti tṛptyarthatayā prasaktasya pratiṣedhaḥ /
1.7.[2]	madhu madyamapi tat kṣatriyavaiśyayorniṣidhyate ityupākhyānamekīyam /
1.7.[3]	tanna, prasaktyabhāvāt ‘tasmādbrāhmaṇarājanyau vaiśyaśca na surāṃ pibet /’ iti trayāṇāmapi na niṣedhaḥ syāt // 7 //
1.8.[1]	kṣāraṃ ca tallavaṇamauṣaraṃ sāmudrikādi tadvarjī tadvarjanaśīlaḥ /
1.8.[2]	saindhavasauvarcalādikaṃ bhakṣayedeva /
1.8.[3]	kṣāradravyaṃ sarvaṃ ca lavaṇaṃ varjayediti kecit // 8 //
1.9.[1]	anukūla ityarthaḥ // 9 //
1.10.[1]	āstāmadhyayanādikam, kriyāmātramapyācāryānujñayā vinā na kuryādityarthaḥ // 10 //
1.11-12.[1]	śayanādikamāśrite gurau utthātukāme prathamamevottiṣṭhet, śayanāvasthite cācārye tatpādasaṃvāhanādikaṃ ca kṛtvā paścāt śayanādikaṃ saṃviśet /
1.11-12.[2]	jaghanyasaṃveśītyasyāyamarthaḥ - yadācāryaḥ khaṭvāyāṃ tiṣṭhati tadā brahmacāriṇā khaṭvāyāḥ sakāśādyajjaghanyamāsanaṃ paṭṭatalaśayyādikaṃ tatra saṃveśanīyam /
1.11-12.[3]	evaṃ śayyāmāsīne gurau tato nimna ityādyanumantavyam // 11, 12 //
1.13.[1]	yat suvarṇādikaṃ kilainamupeyādāgacchet tat brahmacārī asmai ācāryāya dadyāt // 13 //
1.14.[1]	yadyapi brahmacārī sakalavedavedāṅgopāṅgajñānārthaṃ yathāyogyaṃ krameṇa bahūnācāryānupāste, tathāpi yat yasya saṃnidhau nivasaṁllubheta tattasmai dadyāt, natu sarvadā sarvaṃ sarvebhyo vibhajyetyarthaḥ // 14 //
1.15.[1]	yasyāṃ śayyāyāmācāryaḥ sthitastāmapāṭavādidaśāyāṃ kāruṇyāt snehātiśayādvāpāṭave vācāryānujñāto'pi nādhitiṣṭhedityarthaḥ /
1.15.[2]	tena jaghanyasaṃveśītyanena paunaruktyābhāvaḥ // 15 //
1.16.[1]	asyetyanuṣaṅgaḥ /
1.16.[2]	ayamapyanujñātasya pratiṣedhaḥ /
1.16.[3]	anye tu śayyāgrahaṇamācāryādhiṣṭhitāsanayānādyupalakṣaṇārthaṃ rathavākyaṃ varṇayanti, rathagrahaṇaṃ tu karituragādyupalakṣaṇārthaṃ varṇayanti, ‘na saṃvastrayeta’ ityatra ca sthitena dvitīyena nañā tantreṇāvṛttyā vā saṃbandhayanti rathaṃ na samārohenna kiṃ tarhi grāmādikaṃ gacchannasamartho vāhanāntaraṃ ca na labhate tadācāryānujñātastenādhiṣṭhitamapi karituragaṃ samārohedevetyarthaḥ //16//
1.17.[1]	samānaṃ vastraṃ na kuryāt, ācāryaparihitaṃ vastraṃ na paridadhīta /
1.17.[2]	nāpyācāryavastreṇa saha samāne karaṇḍādibhāṇḍe svavastraṃ saṃśritaṃ kuryāt // 17 //
1.18.[1]	saṃsparśanimittāni yāni pāṇigrahaṇābhyañjanādīni karmāṇi tāni sarvāṇyeva sarvābhiḥ strībhiḥ saha varjayet /
1.18.[2]	‘gurāviva tatputradāreṣu vartanīyam’ ityasyāḥ smṛterapyayamapavādaḥ pādasaṃvāhanādiviṣayaḥ // 18 //
1.19.[1]	muṣitāmiva nagnāṃ na paśyedityarthaḥ // 19 //
1.20.[1]	vihāraḥ krīḍā tadarthaṃ parihāsādikaṃ na vadet /
1.20.[2]	athavā ‘sarvakāryāsvatantraḥ’ ityanena sarvakriyāsvācāryānujñā grahaṇapūrvikāyāṃ pravṛttau sthitāyāṃ vihāraṃ mūtramalotsargamāha vihārārthaṃ na jalpedanujñāgrahaṇāya // 20 //
1.21.[1]	rucirdīptiḥ ratiḥ prītiśca /
1.21.[2]	tadarthaṃ dravyaviśeṣādikaṃ na saṃgṛhṇīyāt alaṅkaraṇaṃ krīḍādikam // 21 //
1.22.[1]	rucyarthamityanuvartate // 22 //
1.23.[1]	ayamarthaḥ - rucyarthaṃ snānaṃ niṣiddhaṃ, nityaṃ tu kartavyameva ‘nityaṃ snātvā śuciḥ kuryādevarṣipitṛtarpaṇam /’ ityādinā brahmacāriṇo'pi vidhānāt /
1.23.[2]	tatra ca vikalpaḥ snānaṃ kadācinmantrasaṃskṛtenodakena prokṣaṇaṃ kadācinmajjanam /
1.23.[3]	tatrādyamanenoktam ‘udakaṃ vābhyupeyāt’ iti // 23 //
1.23.[4]	majjanamadhikṛtyāha
1.24.[1]	yadiśabdaḥ pratibaddho vidhāyako'nuvādaṃ prārthayate ‘yadi śāliṃ bhuñjīta tadā dadhyupasiñcet’ ‘yadi rathantarasāmā somaḥ syāt aindravāyavāgrān grahān gṛhṇīyāt’ ityādivat /
1.24.[2]	tenāyamarthaḥ yadā majjanarūpaḥ snānapakṣastadā brahmacāriṇā daṇḍenevāpsu pariplavamātraṃ kartavyam /
1.24.[3]	natu kāntyādisiddhaye malāpasāraṇādinā yatanīyam // 24 //
1.25.[1]	muṇḍaḥ śikhārahitaḥ // 25 //
1.26.[1]	sakalādityopalakṣitaḥ kālo divasaḥ /
1.26.[2]	ādityaśūnyakālo rātriḥ /
1.26.[3]	ardhoditenārdhāstaṃgatena cādityenopalakṣitaḥ kālaḥ sandhiḥ /
1.26.[4]	sandhau bhavā sandhyā /
1.26.[5]	tāmubhayīmapi pratyahamupāsīta /
1.26.[6]	upāsanaṃ sevā // 26 //
1.26.[7]	kathamupāsītetyāha
1.27.[1]	pūrvāhṇabhāgagatāṃ tiṣṭhet nivṛttagatiḥ pūrvāṃ prāṅmukho japannavatiṣṭheta sanakṣatrakālādārabhya ā sūryajyotirdarśanāt // 27 //
1.28.[1]	aparāhṇasaṃnihitāmupaviṣṭaḥ pratyaṅmukhaḥ sabhāskarakālādārabhya japannāsīta ā tārakajyotirdarśanāt āsītottarāṃ saṃdhyākālasyātisūkṣmatvādevaṃ tadupāsanamiṣṭam // 28 //
1.29.[1]	diṅmātradarśanametat /
1.29.[2]	brāhma muhūrte'bhyutthāyānuṣṭhitaśarīradharmaḥ, “atyantamalinaḥ kāyo navacchidrasamanvitaḥ /
1.29.[3]	sravatyeṣa divā rātrau prātaḥstrānaṃ viśodhanam //” iti smaraṇāt mukhyaṃ gauṇaṃ vā snānaṃ vidhāya, “trirācamya dvirunmṛjya khānyupaspṛśya prāṇāyāmaistribhiḥ pūtastata oṃkāramarhati” iti smaraṇāt trīnprāṇāyāmān pañcadaśamātrāparimāṇānsmārtoktānkṛtvā pratipraṇavayuktavyāhṛtisaptakānvitasaśiraskasāvitryā trirabhyāsena paricchinnāṃstrīnprāṇāyāmānkṛtvā aghamarṣaṇādisūryopasthānāntaṃ bhūrbhuvaḥ svariti mahāvyāhṛtitrayayuktāṃ tatsavituriti sāvitrīmabhyastāṃ japet /
1.29.[4]	sāvitrīmanvāhetyanuśabdo'bhyāsārthaḥ /
1.29.[5]	tatsavituriti pratīkaḥ savitṛdevatākatve'pi “ākṛṣṇena rajasā” ityādīnāṃ sāvitrāntarāṇāṃ nivṛttyarthaḥ // 29 //
1.30.[1]	anastaṃgate bhānau grāmānniṣkramyāṣṭau samidho agnisamindhanārthaṃ haritavarṇā ārdrā āharedyo vedādhyayanatadarthānuṣṭhānādisamṛddhilakṣaṇaṃ kāmayate /
1.30.[2]	etaddhi śrutyāveditaṃ śrutimūlatvātsmṛteḥ // 30 //
1.31.[1]	sāyaṃprātaḥ saṃdhyopāsanārthaṃ grāmādbahirniḥsaraṇaṃ kartavyam /
1.31.[2]	sāyaṃprātaśca bhaikṣācaraṇaṃ kartavyam /
1.31.[3]	ubhayakālaṃ hi bhojanamāmnātam “sāyaṃprātarmanuṣyāṇāmaśanaṃ devanirmitam /” iti /
1.31.[4]	evamagnisamindhanaṃ kāladvaye'pi kartavyam /
1.31.[5]	catasraḥ prātaḥ catasraḥ sāyaṃ samidho hotavyāḥ /
1.31.[6]	evamanyakālaviśeṣavidhānārthānyetāni trīṇi vākyāni /
1.31.[7]	pūrvaśca madhyāhnāt prātaḥkālaḥ uttaraśca sāyaṃkālaḥ // 31 //
1.32.[1]	“sāyamevāgnisamindhanam” ityekeṣāṃ vedavidāṃ matam /
1.32.[2]	atra ca pakṣe catasraḥ samidha āhartavyāḥ // 32 //
1.33.[1]	upalakṣaṇametat /
1.33.[2]	bhaikṣasyācaraṇe agneścāsamindhane saṃdhyālopādike ca doṣaḥ pratyavāyo bhavati vihitātikramaṇāt /
1.33.[3]	yathoktam “nopatiṣṭhati yaḥ pūrvā nopāste yaśca paścimām /
1.33.[4]	sa śūdrabahiḥkāryaḥ sarvamādvijakarmaṇaḥ //” iti /
1.33.[5]	atha saṃdhyopāsanabhraṃśe bhaikṣārthamacaraṇe anaṭane agneścāsamindhane sati yatpāpaṃ bhavati tasya vināśāya avakīrṇivrataṃ prāyaścittamācaret /
1.33.[6]	avakaraṇamavakīrṇo'vidhānotsargaḥ kāmato brahmacāriṇo retasa utsargaḥ /
1.33.[7]	avakīrṇaṃ vidyate yasya so'vakīrṇī /
1.33.[8]	tasya vratamāmnātam /
1.33.[9]	“saptāgāraṃ caredbhaikṣaṃ svakarma parikīrtayan /
1.33.[10]	tebhyo labdhena bhaikṣeṇa vartayedekakālikam //
1.33.[11]	upaspṛśaṃstriṣavaṇamabdena sa viśuddhyati /” iti /
1.33.[12]	etatsandhyopāsanādikamakṛtvā avakīrṇivratamācaret /
1.33.[13]	kiṃ paripūrṇamābdikameva ? netyāha saptarātramiti /
1.33.[14]	anye tu vyācakṣate saṃdhyopāsanādikaṃ saptarātramakṛtyā avakīrṇivrataṃ caret paripūrṇameveti /
1.33.[15]	saptarātrānyūnādhike vā avakaraṇaṃ nyūnamadhikaṃ ceti /
1.33.[16]	yājñavalkya āha “bhaikṣāgnikārye tyaktvā tu saptarātramanāturaḥ /
1.33.[17]	kāmāvakīrṇa ityābhyāṃ hutvā cājyāhutidvayam //
1.33.[18]	nairṛtaṃ gardarbhaṃ vaitatsaṃvatsaravrataṃ caret /” iti /
1.33.[19]	atrāpi pūrvavadyojanā // 33 //
2.0.[1]	brahmacāriṇo'gnīndhanamuktam /
2.0.[2]	tatretikartavyatāmāha
2.1.[1]	samiditi dvitīyāmityādau sarvatra samidhamādadhātīti saṃbandhaḥ /
2.1.[2]	eṣo'sīti pratīkena edhiṣīmahītyantasya grahaṇam, evaṃ samidasītyanena samedhiṣīmahītyantasya, idamahamityanena bhavāmītyantasya /
2.1.[3]	caturthaḥ sakalaḥ paṭhitaḥ //
3.0.[1]	brahmacaryavratasyācāryapūjāvidhidvāreṇāvadhimāha
3.1.[1]	chandasi vede ṛgyajuḥsāmalakṣaṇe mantrabrāhmaṇārthavādanāmadheyabhedayukte ye vyavasthitā arthā dvādaśādhyāyanirṇeyāstān buddhvā tadyogyatvāt, snāsyan dāraparigrahārthaṃ snātakadharmān grahītumicchan ācāryamadhīṣya gāṃ madhuparkārthaṃ kārayet svadhanaṃ dattvā arhayet /
3.1.[2]	sā madhuparkopayoginī satī gurave dāsyate /
3.1.[3]	ācāryo hi śiṣyāya siṣṇāsave madhuparkaṃ dadāti, śiṣyaścācāryāya dakṣiṇāmiti kecit /
3.1.[4]	anye tu goprabhavo madhuparko gośabdena vivakṣita iti vyācakṣate /
3.1.[5]	tenācāryamadhīṣya madhuparko me dīyatāmiti madhuparkaṃ kārayedityarthaḥ /
3.1.[6]	gṛhītamadhuparkaśca brahmacārī ācāryamarhayeddakṣiṇādinā yathāśaktyā pūjayet /
3.1.[7]	apare tu sūtrabhedena vyācakṣate - chandasyarthān buddhvā snāsyan gāṃ kārayedityekam, ācāryamarhayediti dvitīyam /
3.1.[8]	ācāryamadhīṣyādāvātmane gāṃ madhuparkaṃ ca dāpayedityādyasyārthaḥ /
3.1.[9]	ācāryeṇa ca pūjito gṛhītadakṣiṇaḥ san brahmacārī paścādācāryamarhayet dakṣiṇādānādinā /
3.1.[10]	brahmacāriṇaṃ hi samyagadhītāvabuddhavedamācāryaḥ pūrvaṃ pūjayatīti /
3.1.[11]	tathāca smṛtiḥ “taṃ pratītaṃ svadharmeṇa brahmadāyaharaṃ pituḥ /
3.1.[12]	sragviṇaṃ talpa āsīnamarhayetprathamaṃ gavā //” iti /
3.1.[13]	taṃ brahmacāriṇaṃ, svadharmeṇa śiṣyadharmeṇa, pratītamabhimukhamāgatam, ācāryasya brahmaharaṃ piturdāyaharaṃ, sragviṇaṃ mālādhāriṇaṃ, talpe khaṭvāyāmāsīnamupaviṣṭaṃ gavā pūjayedācāryaḥ /
3.1.[14]	tasmādgṛhītavidyo guruṇānujñātaḥ snāyāt, snātvā ca bhāryāmadhigacchet /
3.1.[15]	anutsṛṣṭastu vīryaṃ hitvā upāvartate /
3.1.[16]	tathāca śrutiḥ “indro vai prajāpatau brahmacaryamuvāsa sa vā anutsṛṣṭo vīryaṃ hitvopāvartata //” iti /
3.1.[17]	“ācāryo brahmacāriṇaḥ prajāpatiḥ /” iti ca // 1 //
3.1.[18]	dvividho brahmacārī - upakurvāṇo yo brahmacaryaṃ caritvā snānadāraparigrahādikaṃ saṃśrayate, naiṣṭhiko yo brahmacaryeṇa niṣṭhāṃ gamayati /
3.1.[19]	tatropakurvāṇakasya sāvadhikaṃ brahmacaryamiti tadapekṣayoktaṃ “chandasyarthān” ityādi /
3.1.[20]	naiṣṭhikāpekṣayā tvidamucyate
3.2.[1]	anyo naiṣṭhiko brahmacārī /
3.2.[2]	śrotriyo vedādhyāyī /
3.2.[3]	“śrotriyaṃ chando'dhīte” iti śrotriyaśabdo vedādhyāyini nipātitaḥ /
3.2.[4]	vedādhyāyīti punarvacanamavadhāraṇārthaṃ vedādhyāyyeva, na snānādyācarati nidhanāvadhikamasya brahmacaryavratamityarthaḥ // 2 //
3.2.[5]	ata eva spaṣṭārthamāha
3.3.[1]	tasyānantarottasya naiṣṭhikasya snānaṃ nāstītyarthaḥ // 3 //
3.3.[2]	yasya tūpakurvāṇakasya snānādikamasti, tasya snānakartavyatāmāha
3.4.[1]	gosamūho vrajaḥ, tena parihitamadhiṣṭhitaṃ deśaṃ prapādya praveśya prayojakakarturācāryasyāyaṃ nirdeśaḥ /
3.4.[2]	yathāsaṃbhavaṃ jaṭilapakṣe jaṭānāṃ vāpanam śikhipakṣe keśānām /
3.4.[3]	tena jaṭādikamabhisaṃhāryāpasārya vāpayitvā āpo hi ṣṭhetyādibhistisṛbhiḥ saṃmārjanaṃ kurvantaṃ snāyāt snāpayet majjayet /
3.4.[4]	hiraṇyavarṇā iti dvābhyāṃ dvitīyaṃ majjanaṃ kuryāt, “śaṃ na āpa” iti dvābhyāṃ tṛtīyam /
3.4.[5]	atra ca śmaśrugrahaṇenauṣṭhoparigatakeśānāmapi grahaṇam /
3.4.[6]	lomagrahaṇena guptasthānagatānāṃ grahaṇaṃ natu bhrvādivṛttīnāmāryaprasiddhivirodhāt // 4 //
3.4.[7]	tatastriḥ snātaḥ pavitrībhūta idamidaṃ kuryādityāha
3.5-21.[1]	atra sūtragaṇe pāṭhakramādarthakramasya balīyastvāt uktānuktapadārthānāmarthavaśena kramaviśeṣayojanā kartavyā /
3.5-21.[2]	tathāhi triḥsnātasya jalāśayānnadyāderuttīrṇasya caraṇaprakṣālanādayo'nuktāḥ, sūtritāśca dhautavastraparidhānādayo yathākrameṇa jñeyāḥ /
3.5-21.[3]	dyauste pṛṣṭhamityādimantreṇa cchatraṃ dhārayeta, yathāvibhavānusāreṇa imamagna ityādinā kaṭakakuṇḍalādi hiraṇyam /
3.5-21.[4]	pratiṣṭhe stha ityādinā vārāhyopānahau pratimuñcate paridhatte /
3.5-21.[5]	varāhaśabdo varāhacarmaṇi vartate /
3.5-21.[6]	varāhacarmaṇā nirvṛtta ityaṇ, tasya “aṇiñoranārṣayorgurū pottamayoḥ ṣyaṅ gotre” iti ṣyaṅ, “yaṅaścāpū” vārāhye ca te upānahau vārāhyopānahau /
3.5-21.[7]	varāhaḥ sūkaraḥ /
3.5-21.[8]	varāhopānahau ca rājasūyādāvarthavādādikādavagamyete /
3.5-21.[9]	anye tu vārāhyaśabdaṃ saṃniveśaviśiṣṭopānadvācakaṃ vyācakṣate catuṣkacchāditavat /
3.5-21.[10]	apare lakṣaṇayā carmamātramayatvaṃ varṇayanti, nahi kaścidā cāryaḥ sūkaracarmamayyāvupānahau paridadhaddṛśyate /
3.5-21.[11]	kecittu paṭhanti vārāhyupānahāviti /
3.5-21.[12]	tatra vārāhī upānahī iti dve pade /
3.5-21.[13]	“chandovatsūtrāṇi bhavanti” iti prathamapadadvivacanasya luk pūrvasavarṇādeśo vā “supāṃ suluk pūrvasavarṇa” ityādinā /
3.5-21.[14]	dvivastro'ta ūrdhvam, ato brahmacaryādūrdhvaṃ dvivastraḥ /
3.5-21.[15]	brahmacārī hyekavastra āsīt, mṛgājinaṃ hi tenopari dhāritam, naca tatra loke vastraśabdaprayogo'sti /
3.5-21.[16]	tataśca vastradvayaṃ vibhavānusāreṇotkṛṣṭaṃ bhartavyam /
3.5-21.[17]	tathāca śrutiḥ “tasmācchobhanaṃ vāso bhartavyam” iti /
3.5-21.[18]	veṇoḥ saṃbandhinaṃ ca daṇḍaṃ dhārayate tacchīlo vaiṇavadaṇḍadhārī/ nityamiti natvavaṣṭambhanādyarthitayaiva kadācideveti /
3.5-21.[19]	evaṃ chatradhārī /
3.5-21.[20]	apanthadāyī nānyasmai panthānaṃ dadyāt dṛṣṭaprayojanavyatirekeṇa /
3.5-21.[21]	apathadāyīti tu yuktaḥ pāṭhaḥ /
3.5-21.[22]	yataḥ “rājñā tu śrotriyāya panthā deyaḥ” iti gautamādibhiruktamataḥ kathamayaṃ śrotriyaviśeṣaḥ sannanyasmai prāṇimātrāya panthānaṃ dadyāt /
3.5-21.[23]	adattaharaṇaṃ pratiṣiddhaṃ - parakīyaṃ yaddravyaṃ tatpareṇādattaṃ na gṛhṇīyāt “na parasvamapaharet” iti śrutyādiniṣiddhatvāt /
3.5-21.[24]	aparayā dvārā niḥsaraṇam /
3.5-21.[25]	pratiṣiddhamiti kāṇḍikāntaṃ yāvadanuṣaṅgaḥ /
3.5-21.[26]	prasiddhamavigarhitaṃ yaddvāraṃ, tato'nyayā dvārā aprasiddhayā guptāntaḥpurādiniḥsaraṇapraveśāya parikalpitayā niḥsaraṇaṃ praveśanaṃ ca pratiṣiddham /
3.5-21.[27]	malavadvāsāḥ śvapacādiḥ, tena saha saṃbhāṣaṇaṃ pratiṣiddham /
3.5-21.[28]	tathā rajovāsasā rajasvalayā udakyāparaparyāyayā saha śayanaṃ pratiṣiddhaṃ, snānasya vivāhopakramatvādevamucyate, itikartavyatayā hi snānasya vivāhamṛte nāsti prasaktiḥ /
3.5-21.[29]	gurormānyasya “vittaṃ bandhurvayaḥ karma vidyā bhavati pañcamī /
3.5-21.[30]	etāni mānyasthānāni garīyo yadyaduttaram //” ityādikasya, duṣṭaṃ paruṣādi vacanaṃ pratiṣiddham /
3.5-21.[31]	asthāne gurustrījanādau smayanaṃ hasanaṃ pratiṣiddham /
3.5-21.[32]	evaṃ saraṇaṃ gamanamasthāne rahasyagurujanādhiṣṭhite /
3.5-21.[33]	evaṃ gāyanaṃ gītaṃ nartanaṃ cāsthāne pratiṣiddham, natūtsavādau samānaśīlamadhyagatasya guptasthāne /
3.5-21.[34]	tathāca mahāvrate gītavādyanartanakartavyatāvacanam /
3.5-21.[35]	“tamudgātā vācayitvā prastotre prayacchati prastotādhvaryave'dhvaryuranyasmai brāhmaṇāya /” ityādivīṇāvādanuvacanaṃ śrūyate /
3.5-21.[36]	yājñavalkya āha “vīṇāvādanatattvajñaḥ śrutijātiviśāradaḥ /
3.5-21.[37]	tālajñaścāprayāsena yogamārgaṃ nigacchati //” iti /
3.5-21.[38]	tasya ca nṛttagītāderasthāne'vekṣaṇaṃ pratiṣiddhaṃ natūtsavādau /
3.5-21.[39]	“āpo hi ṣṭhā” ityādayo vyākhyātāḥ /
3.5-21.[40]	hiraṇyavarṇā iti śākhāntarīyatvāt samastāḥ sūtrakṛtā paṭhitāḥ //
3.5-21.[41]	dyauste pṛṣṭhaṃ pṛthivī sadhasthamātmāntarikṣaṃ samudro yoniḥ /
3.5-21.[42]	vikhyāya cakṣuṣā tvamabhitiṣṭha pṛtanyataḥ //
3.5-21.[43]	bṛhatī /
3.5-21.[44]	aśvastutau viniyuktā /
3.5-21.[45]	iha cchatrastutāvapi tulyā /
3.5-21.[46]	tava dyauḥ svargalokaḥ pṛṣṭhaṃ pṛṣṭhe upari /
3.5-21.[47]	pṛthivī sadhasthaṃ samānasthānam /
3.5-21.[48]	ātmāntarikṣaṃ chatrāvayavino mahattvastutiḥ /
3.5-21.[49]	samudra udakaṃ yoniḥ kāraṇam “apsujo'śvaḥ” iti saṃstavāt aśvayoniḥ sarvasyodakaprabhavatvānnetravastrādeśchatramapi tathā evaṃ cenmahāprabhāvastvamataścakṣuṣā vikhyāya nirīkṣyābhitiṣṭha ākrāma abhibhava /
3.5-21.[50]	kān /
3.5-21.[51]	pṛtanyataḥ pṛtanā senā tāmicchanti ye te pṛtanyantaḥ, tān pṛtanyataḥ //
3.5-21.[52]	imamagna āyuṣe varcase kṛdhi tigmamojo varuṇa saṃśiśādhi /
3.5-21.[53]	mātevāsmā adite śarma yaccha viśve devā jaradaṣṭiryathāsat //
3.5-21.[54]	he agne imaṃ suvarṇālaṅkāramāyuṣe cirajīvanāya, varcase ca dīptaye kṛdhi kuru /
3.5-21.[55]	he varuṇa tvamapi ojo balaṃ tigmaṃ tīvraṃ samyak saṃpādaya/ he adite devamātaḥ asmai snātakāya śarma sukhaṃ yaccha prayaccha māteva jananīva /
3.5-21.[56]	he viśve devāḥ sarvadivaukasaḥ jaradaṣṭirjarāvyāptiryathā yena prakāreṇa asadbhavati, tathā kuruta jarājarjaritaśarīrā yathā saṃpadyāmahe tathā kurutetyarthaḥ //
3.5-21.[57]	pratiṣṭhe stho devate mā mā hiṃsiṣṭam //
3.5-21.[58]	he devate upānahau supratiṣṭhe sthaḥ śobhanaprasthāne bhavatam /
3.5-21.[59]	mā mā hiṃsiṣṭaṃ mama hiṃsā mā kārṣṭam //
4.1.[1]	vyākhyāsyāma ityadhyāhāraḥ /
4.1.[2]	vratamiti ca prastāvādgamyate /
4.1.[3]	caturṣu vedeṣu yadaṣṭācatvāriṃśasaṃvatsaraiḥ saṃmitaṃ paricchinnaṃ vratamuktaṃ, tasya pratinidhibhūtaṃ saṃvatsaranirvartyaṃ vyākhyāsyāmaḥ /
4.1.[4]	yasya vedamadhīyānasya yathākālavihitaṃ vrataṃ na saṃpannaṃ tena caitatkartavyamadhītavedacatuṣṭayena ca /
4.1.[5]	ata eva traividyakavratamidamucyate /
4.1.[6]	snānādanantaraṃ cāsyābhidhāne prayojanaṃ - snātakabhūtenāpyetatkartavyaṃ prāgvivāhāditi /
4.1.[7]	anye tu yathākālavihitavratasaṃpattāvapi etadvārṣikaṃ vrataṃ tapo'tiśayasiddhyarthaṃ kartavyatayā anena vidhīyate iti vyācakṣate /
4.1.[8]	athaśabdo vratapūraṇārthaḥ /
4.1.[9]	yathoktam “maṅgale pūraṇe hetāvānantaryādhikārayoḥ /
4.1.[10]	ṣaṭsvartheṣyathaśabdo'yaṃ smṛtaḥ prākprastute'pi ca //” anyo'picārtho yathāsaṃbhavaṃ yojyaḥ /
4.1.[11]	ataḥśabdo hetvarthaḥ /
4.1.[12]	yato'dhyayanakāle yathāvihitavratāsaṃpattiḥ kasyacitsaṃbhāvyate, ato hetoḥ pratinidhibhūtaṃ vratāntaraṃ vakṣyāma iti // 1 //
4.2.[1]	ucyata iti śeṣaḥ // 2//
4.3.[1]	sthānāsanādikān vakṣyamāṇānniyamān ācāryamādāya kuryāt /
4.3.[2]	ācāryaprādhānyena ca vedaguṇanārthābhyāsāvanuvartete // 3 //
