#Author:Keśava
#Text:Kauśikasūtrapaddhati
#Comments:Kauśikasūtra
#Data entry:Arlo Griffiths
#Notes:Markup complete.
#Todo:final formatting! “'” is used for marking quotations and avagraha.


1.1.1.[1]	athaśabda ānantaryārthaḥ /
1.2.1.[2]	'tvaṃ bhūmim' ity ṛcā carmaṇi pavitre nidhāya caturo muṣṭīn nirvapati 'devasya tvā' iti /
1.2.1.[3]	tūṣṇīṃ caturtham /
1.2.1.[4]	'agnaye juṣṭaṃ nirvapāmi' //
1.2.2.[1]	'agnīṣomābhyāṃ juṣṭaṃ nirvapāmi' iti vikāraḥ //
1.2.3-5.[1]	'agnaye tvā juṣṭaṃ prokṣāmi' iti /
1.2.3-5.[2]	agnīṣomābhyāṃ ca /
1.2.3-5.[3]	prokṣaṇaṃ dvayorapi //
1.2.6.[1]	'arātīyoḥ' ityṛcolūkhalamusalaṃ takṣati 'yat tvā śikvaḥ' ity ṛcā prakṣālayati 'yad yat kṛṣṇaḥ' ityṛcā mārjapati /
1.2.6.[2]	tataḥ ulūkhale vrīhīnopya 'haviṣkṛd ā dravehi' ity anenāvahanti triḥ /
1.2.6.[3]	tataḥ śūrpaniṣpavanam /
1.2.6.[4]	tatas triḥ prakṣālanaṃ taṇḍulānām //
1.2.7.[1]	agne carur ityṛcā carum adhidadhāti //
1.2.8.[1]	'śuddhāḥ pūtāḥ' ity ṛcodakamāsiñcati //
1.2.9.[1]	'brahmaṇā śuddhāḥ' ityṛcā taṇḍulānāvapati pavitre antardhānaṃ kṛtvā //
1.2.10.[1]	'pari tvāgne puraṃ vayam' ityṛcā triḥ paryagnikaraṇam //
1.2.11-14.[1]	agner uttarata idhmam upasādayati /
1.2.11-14.[2]	tato barhiḥ //
1.2.15.[1]	'agnaye tvā juṣṭaṃ prokṣāmi' itīdhmaprokṣaṇam //
1.2.16.[1]	'pṛthivyai tvā juṣṭaṃ prokṣāmi' iti barhiḥprokṣaṇam //
1.2.17.[1]	darbhamuṣṭimabhyukṣya paścādagneḥ stṛṇāti 'ūrṇamradam' iti mantreṇa //
1.2.18.[1]	'ṛṣīṇāṃ prastaro'si' iti dakṣiṇato'gnerbrahmāsanaṃ nidadhati /
1.2.18.[2]	'bhūpate' iti brahmavaraṇam /
1.2.18.[3]	tathā ca gobhilabrāhmaṇam /
1.2.18.[4]	pratyakṣaṃ vā darbhamayaṃ vāsanamudakakamaṇḍaluṃ vā brahmasthāne kuryāt /
1.2.18.[5]	tato brahmāsanasaṃskāraḥ //
1.2.19.[1]	tataḥ staraṇaṃ purastādagneriti /
1.2.19.[2]	kartā bravīti
1.2.20-21.[1]	tato 'devasya tvā' iti stṛṇāti //
1.2.22-23.[1]	paribhojanīyān stṛṇāti //
1.2.24-29.[1]	sarvatra eṣā paribhāṣā //
1.2.30.[1]	sruvam ājyadhānīṃ nidadhati //
1.2.31-35.[1]	'viṣṇor manasā pūtam asi' iti //
1.2.36.[1]	śṛtaṃ havirabhighārayati 'madhvā samañjan' iti //
1.2.37.[1]	'udvāsayāgneḥ' ityṛcodvāsayati //
1.2.38.[1]	tataḥ paścād ājyasya nidhāyālaṅkṛtyājyena carum abhighārya samānenotpunāti //
1.2.39-40.[1]	carum avekṣate //
1.3.1.[1]	'agnir bhūmyām oṣadhīṣu', 'agnirdiva ā tapati', 'agnivāsāḥ pṛthivyasitajñūḥ', 'asmai kṣatrāṇi dhārayantamagne', 'etamidhmam' iti vā, 'yunajmi tvā' ityebhiḥ pañcabhir idhmam upasamādadhāti //
1.3.1.[2]	dvitīyā kaṇḍikā //
1.3.2.[1]	dakṣiṇato 'gner jāṅmāyanamudapātraṃ kāṃsyapātram upasādyābhimantrayate 'tathodapātraṃ dhāraya' ity ṛcā //
1.3.3.[1]	'iheta devīḥ' iti dvābhyāmṛgbhyāṃ santatadhārayodapātramavasiñcati //
1.3.4.[1]	'ṛtaṃ tvā satyena' iti saha havirbhiḥ paryukṣya sarvatra sthaṇḍilakarmaṇi hoṣyan 'ṛtaṃ tvā satyena' hutvā 'satyaṃ tvartena' iti sampradāyagrantha uktam /
1.3.4.[2]	'jīvā stha' iti sūktena trirācāmati /
1.3.4.[3]	'satyaṃ bṛhat' iti navabhiḥ 'śāntivā' ityṛcā 'udāyuṣā' iti dvābhyāmuttiṣṭhati /
1.3.4.[4]	vedaprapadbhiḥ prapadyate 'oṃ prapadye bhūḥ' ityṛcā '...prapadye' iti //
1.3.5-8.[1]	āsane darbhān āstīrya 'ahe daidhiṣavyodatastiṣṭha' ity āsanasaṃskāraṃ karoti //
1.3.9.[1]	darbhaiḥ sruvaṃ nirmṛjya 'niṣṭaptaṃ rakṣaḥ' iti sruvaṃ pratapati //
1.3.10-14.[1]	sruveṇājyadhānyāṃ grahagrahaṇaṃ karoti 'oṃ bhūḥ śaṃ bhūtyai tvā' iti caturbhiḥ //
1.3.15-19.[1]	purastāddhomān paścād agner juhoti /
1.3.15-19.[2]	ājyabhāgau pārśvata uttarato dakṣiṇataś ca juhoti /
1.3.15-19.[3]	madhye anye sarve homāḥ /
1.3.15-19.[4]	udapātre sampātaḥ //
1.3.15-19.[5]	tṛtīyā kaṇḍikā //
1.4.1-2.[1]	'vṛṣṇe bṛhate' 'tvaṃ soma divyaḥ' ityājyabhāgāntaṃ kṛtvā tata āgneyaṃ caruṃ juhoti 'ud enam uttaraṃ naya' iti tribhir ṛgbhiḥ 'prajāpate na tvat' iti ca catasra āhutīr juhoti //
1.4.3-10.[1]	ityādi pratyāhuti yojayitavyam //
1.4.11-18.[1]	sarvatra havir ājyaṃ ca caturgṛhītam /
1.4.11-18.[2]	uktaṃ ca 'sarvatra caturgṛhītena homaḥ' //
1.4.19.[1]	agnīṣomīyaṃ caruṃ juhoti 'asmai kṣatram' ityekā, 'agnīṣomā savedasā' iti tribhiḥ //
1.4.19.[2]	caturthī kaṇḍikā //
1.5.2-3.[1]	āmāvāsyāyāmaindrāgnau dvitīyo bhavati 'indrāgnī rocanā' iti catasraḥ //
1.5.4-5.[1]	'pūrṇā paścāt' iti paurṇamāsyāṃ pārvaṇahomaḥ //
1.5.6.[1]	'yat te devāḥ' ity amāvāsyāyāṃ pārvaṇahomaḥ //
1.5.7.[1]	'ākūtyai tvā' iti caturbhiḥ 'ṛcā stomam' iti ca samṛddhihomāñ juhoti /
1.5.7.[2]	udapātre sampātānānayati //
1.5.8.[1]	'pṛthivyām agnaye' ityaṣṭabhiḥ sannatihomāñjuhoti 'prajāpate na tvadetāni' iti ca //
1.5.9-11.[1]	'ā devānām' iti sviṣṭakṛtaṃ juhoti //
1.5.12.[1]	'svāheṣṭebhyaḥ' ityevamādibhirekādaśabhiḥ sarvaprāyaścittīyāñjuhoti /
1.5.12.[2]	'punarmaitvindriyam' iti ca //
1.5.12.[3]	pañcamī kaṇḍikā //
1.6.1-2.[1]	'yanme skannaṃ', 'yadasmṛti' iti ca dvābhyāṃ juhoti /
1.6.1-2.[2]	ājyahome sarvatra sruveṇa homaḥ //
1.6.3.[1]	'yad adya tvā prayati' iti saṃsthitahomāñ juhoti /
1.6.3.[2]	udapātre sampātān ānayati //
1.6.4.[1]	'manasaspate' ity ṛcā caturgṛhītena juhoti //
1.6.5-5.[1]	barhiḥ sthālyāmājyenānakti 'pṛthivyai tvā' iti mūlam 'antarikṣāya tvā' iti madhyaṃ 'dive tvā' ityagram //
1.6.5-5.[2]	trirmantrāvṛttiḥ //
1.6.7-9.[1]	'saṃsrāvabhāgāḥ' ityājyadhānyā ājyaṃ juhoti //
1.6.10.[1]	'sruvo'si ghṛtādaniṣitaḥ' ityṛcā sruvaṃ prāgdaṇḍaṃ nidadhāti //
1.6.11.[1]	'vi muñcāmi' ityṛcā samidhamādadhāti //
1.6.12-14.[1]	'viṣṇoḥ kramo'si' iti tisṛbhir viṣṇukramān kramate /
1.6.12-14.[2]	agner dakṣiṇataḥ /
1.6.12-14.[3]	agnibrahmaṇor madhye kramate //
1.6.15-16.[1]	'aganma svaḥ' iti paryāyadvayenādityamīkṣate //
1.6.17.[1]	'indrasya vacasā' ityṛcodapātramutthāpayati /
1.6.17.[2]	uttarato'gnerudapātreṇa 'āpo hi ṣṭhā' iti mārjayitvā barhiṣi sruvaṃ ca pavitre ca patnyā añjalau kṛtvodapātraṃ ninayati 'samudraṃ vaḥ pra hiṇomi' iti //
1.6.18-20.[1]	'satyaṃ tvartena' iti paryukṣya udañci havirucchiṣṭāny udvāsayati //
1.6.21.[1]	tato brahmakartṛvācanam /
1.6.21.[2]	'uttiṣṭha brahmaṇaspate' ityṛcā brahmāṇamutthāpayet //
1.6.22.[1]	tasmān nādakṣiṇam /
1.6.22.[2]	haviḥśabdenājyatantraṃ pākatantraṃ cocyate /
1.6.22.[3]	karmamātramabhimantraṇādyadakṣiṇaṃ kuryāt /
1.6.22.[4]	pākatantre pūrṇapātramānaṃ prasṛtiprasthadroṇāḍhakādi /
1.6.22.[5]	pūrṇapātraṃ yajamānaśaktyapekṣam /
1.6.22.[6]	'śaktyā vā dakṣiṇāṃ dadyānnātiśaktirvidhīyate' ityuktaṃ navame /
1.6.22.[7]	ājyatantre dhenuḥ sarvatra //
1.6.23-25.[1]	karmasamāptau sarvatra brāhmaṇān trīn pañca sapta viṃśatiṃ śataṃ sahasramayutaṃ vā bhojayet /
1.6.23-25.[2]	yajamānaśaktapekṣaṃ brāhmaṇabhojanam /
1.6.23-25.[3]	tathā ca brāhmaṇam
1.6.26-28.[1]	devabrāhmaṇānāṃ tuṣṭe sati yajñaphalaṃ bhavati /
1.6.26-28.[2]	tathā ca manur 'askannamavyathaṃ caiva' ityevamādi brāhmaṇastutiḥ /
1.6.26-28.[3]	tasmāt karmaṇi brāhmaṇā bhojayitavyāḥ svaśaktyā caturvedapāragāḥ //
1.6.29-30.[1]	vyākhyātāḥ /
1.6.29-30.[2]	ājyatantre pākatantre darśapūrṇamāsadharmā bhavanti /
1.6.29-30.[3]	pūrvatantraṃ cottaratantraṃ ca sarveṣu pākatantreṣu /
1.6.29-30.[4]	sarvamātharvaṇaṃ karma pākayajñaśabdenocyate //
1.6.31.[1]	ājyabhāgāntaṃ kṛtvā //
1.6.32.[1]	mantreṇa saṃskāraḥ //
1.6.33.[1]	sarvatrājyabhāgāntaṃ pūrvatantram /
1.6.33.[2]	uttaratantraṃ pārvaṇādi sviṣṭakṛtā saha /
1.6.33.[3]	haviṣāṃ madhya āvāpo yathā tantrasya tantavaḥ /
1.6.33.[4]	yathā kolikaḥ svatantraṃ badhnāti tathaiva vastrāditantavo 'nye 'nye //
1.6.34-36.[1]	tayor vyatikrame 'tvam agne vratapā asi' tṛcaṃ sūktam /
1.6.34-36.[2]	'kāmas tad agre' iti pañcarcaṃ sūktam /
1.6.34-36.[3]	ete cāraṇavaidyānāṃ paṭhyete /
1.6.34-36.[4]	tasminn eva tantra ājyaṃ juhoti śāntasamidho vādadhāti /
1.6.34-36.[5]	sūktayor vikalpaḥ /
1.6.34-36.[6]	darśapūrṇamāsavyatikrame prāyaścittam /
1.6.34-36.[7]	sarvatra karmavyatikrame prāyaścittaṃ sarvaprāyaścittaṃ vā /
1.6.34-36.[8]	sarvatra patite sarvaprāyaścittīyāñ juhoti /
1.6.34-36.[9]	tasminn eva tantra anyasmin tantre vā /
1.6.34-36.[10]	'tantramadhye sarve homāḥ' iti bhadramatam /
1.6.34-36.[11]	tantraṃ samāptam //
1.6.34-36.[12]	darśapūrṇamāsābhyāṃ pākayajñā vyākhyātāḥ /
1.6.34-36.[13]	ājyatantre havirutsṛjyājyabhāgānta abhyātānāni bhavanti /
1.6.34-36.[14]	'karmaṇi karmaṇi' iti vacanāt /
1.6.34-36.[15]	ājyatantrapākatantrayor abhyātānānāṃ kṛto viśeṣaḥ /
1.6.34-36.[16]	śeṣaṃ samānam ājyatantrapākatantrayor iti /
1.6.34-36.[17]	atharvavedasya śaunakīyo maṇḍapaḥ sambhāralakṣaṇa uktaḥ /
1.6.34-36.[18]	sambhārāś ca tatraivoktāḥ /
1.6.34-36.[19]	'avyasaś ca' iti mantrāṇāṃ karmaṇy ādau prayujyate /
1.6.34-36.[20]	'yasmāt kośāt' ity ante ca etad ācāryaśāsanam //
1.6.34-36.[21]	lokapālebhyaḥ kartavyam aṣṭānāṃ digbaliṃ tataḥ /
1.6.34-36.[22]	vaṣaṭkāreṇa kartavyaṃ namaskāreṇa vā punaḥ //
1.6.34-36.[23]	caturasro maṇiḥ prokto aṅguṣṭhaparvamātrataḥ /
1.6.34-36.[24]	sūtre protyaś ca sampātya bandhyaḥ puṇyāhavācane //
1.6.34-36.[25]	śāntavṛkṣamayī kāryā araṇiḥ śāntikarmasu /
1.6.34-36.[26]	mantreṇaiva pṛthak kuryāt kravyādaṃ ca vidhānataḥ //
1.6.34-36.[27]	manthanaṃ ca śāntikalpa uktam /
1.6.34-36.[28]	pūrṇāhutiḥ tathaiva ca /
1.6.34-36.[29]	nābhicāre na sarvānāṃ na sāṅgrāmikeṣu ca /
1.6.34-36.[30]	maṇḍapaṃ ca śāntyudakaṃ ca tatraiva na vidyate /
1.6.34-36.[31]	punarvrataṃ sarvatra /
1.6.34-36.[32]	ekarātrādayaḥ /
1.6.34-36.[33]	prārambhaḥ sarvatra pūrṇamāsyamāvāsyayoḥ puṇye nakṣatre vā /
1.6.34-36.[34]	ete trayaḥ kālāḥ sarveṣāṃ karmaṇāṃ smṛtāḥ /
1.6.34-36.[35]	adbhutānāṃ sadākālamārambhaḥ sarvakarmaṇām //
1.6.34-36.[36]	atha sarvārthāḥ paribhāṣāḥ /
1.6.34-36.[37]	vidhikarmārthā avidhikarmārthā ucchrayakarmārthā ucyante /
1.6.34-36.[38]	medhājananādi piṇḍapitṛyajñāntaṃ yāvad vidhikarmāṇi /
1.6.34-36.[39]	madhuparkādīndramahāntaṃ yāvad avidhikarmāṇi /
1.6.34-36.[40]	pākayajñā vidhikarma /
1.6.34-36.[41]	sūktena viniyogaṃ kṛtvā paścād ṛcāṃ viniyogas tāny ucchrayakarmāṇi /
1.6.34-36.[42]	trividhāni karmāṇi /
1.6.34-36.[43]	upadadhītety anādeśe - ājyaṃ, samit, puroḍāśaḥ, payaḥ, udaudanaḥ, pāyasaḥ, paśuḥ, vrīhiḥ, yavaḥ, tilaḥ, dhānāḥ, karambhaḥ, śaṣkulyaḥ, etāni trayodaśa havīṃṣi jānīyāt /
1.6.34-36.[44]	sarvatra iyaṃ paiṭhīnasiparibhāṣā /
1.6.34-36.[45]	sarvatra haviṣāṃ vikalpaḥ /
1.6.34-36.[46]	yatra gaṇas tatra sarvatra sūktānāṃ vikalpaḥ /
1.6.34-36.[47]	yatrauṣadhigaṇas tatrauṣadhīnāṃ vikalpaḥ /
1.6.34-36.[48]	'haviṣāṃ tvā juṣṭaṃ prokṣāmi' iti sarvadravyeṣu prokṣaṇam /
1.6.34-36.[49]	'sarvatrotpavanaṃ haviṣām' iti yuvā kauśika ācāryo manyate avaśiṣṭāḥ paribhāṣāḥ purata ucyante sarvakarmārthāḥ /
1.6.34-36.[50]	ājyatantrādi vaidikeṣu karmasu /
1.6.34-36.[51]	sarvatra vṛddhiśrāddham /
1.6.34-36.[52]	yatrodakena prayojanaṃ tatra sarvatra śāntyudakaṃ kuryāt caturbhir gaṇair ekena vā gaṇena /
1.6.34-36.[53]	sūktādigrahaṇe sūktaṃ jānīyāt /
1.6.34-36.[54]	sarvatra sruvahome nityaṃ tantram /
1.6.34-36.[55]	hastahome vikalpena tantram /
1.6.34-36.[56]	ājyatantre sarvatra dhenur dakṣiṇā havir ucchiṣṭaṃ cādhikaraṇaṃ ca /
1.6.34-36.[57]	ājyatantram ucyate /
1.6.34-36.[58]	'avyasaś ca' , barhirlavanaṃ, vediḥ, uttaravediḥ, agnipraṇayanam, agnipratiṣṭhāpanaṃ, vratagrahaṇaṃ, pavitrakaraṇaṃ, pavitreṇedhmaprokṣaṇam, idhmopasamādhānaṃ, barhiḥprokṣaṇaṃ, brahmāsanaṃ, brahmasthāpanaṃ, staraṇaṃ, stīrṇaprokṣaṇam, ātmāsanam, udapātrasthāpanam, ājyasaṃskāraḥ, sruvagrahaṇaṃ, grahagrahaṇaṃ, purastāddhomaḥ, ājyabhāgau, abhyātānāntaṃ pūrvatantram /
1.6.34-36.[59]	atha uttaratantram ucyate /
1.6.34-36.[60]	abhyātānāni, pārvaṇahomaḥ, samṛddhihomāḥ, sannatihomāḥ, prajāpatihomaḥ, sviṣṭakṛddhomaḥ, sarvaprāyaścittīyahomāḥ, skannahomaḥ, punarmaitvindriyahomaḥ, skannāsmṛtihomau, saṃsthitahomāḥ, caturgṛhītahomaḥ, barhirhomaḥ, saṃsrāvahomaḥ, sruvasthāpanaṃ, samidādhānaṃ, viṣṇukramān, udapātrotthāpanaṃ, vratavisarjanaṃ, dakṣiṇādānaṃ, brahmotthāpanaṃ, 'yasmāt kośāt' ity etad uttaratantram /
1.6.34-36.[61]	uttaratantraṃ samāptam /
1.6.34-36.[62]	ṣaṣṭhī kaṇḍikā //
1.7.1.[1]	sarvatra pratyetavyaḥ /
1.7.1.[2]	yathā 'doṣo gāya ity atharvāṇaṃ samāvṛtyāśnāti' /
1.7.1.[3]	sarvatrājyabhāgānte śrapaṇam //
1.7.2.[1]	puṣṭikarmasu sārūpavatsaḥ sthālīpākaḥ /
1.7.2.[2]	aśnāty anādeśe jānīyāt /
1.7.2.[3]	yathā 'haritabarhiṣam aśnāti' /
1.7.2.[4]	tṛtīye 'dhyāye pauṣṭikāni karmāṇy uktāni //
1.7.3.[1]	juhotyanādeśa ājyaṃ dravyaṃ jānīyāt /
1.7.3.[2]	yathā 'pṛthivyai śrotrāya iti juhoti' //
1.7.4.[1]	anādeśe jānīyāt /
1.7.4.[2]	yathā 'anvaktāḥ prādeśamātrīrādadhāti' /
1.7.4.[3]	sarvatra prādeśamātryaḥ samidhaḥ /
1.7.4.[4]	sarvatra ghṛtāktāḥ /
1.7.4.[5]	sarvatra pālāśādayo vṛkṣāḥ /
1.7.4.[6]	vikalpaḥ //
1.7.5.[1]	sarvatrānādeśe jānīyāt /
1.7.5.[2]	yathā 'sapta maryādā iti tisṛṇāṃ prātarāvapate' /
1.7.5.[3]	dravyādivikalpaḥ sarvatra //
1.7.6.[1]	anādeśe jānīyāt /
1.7.6.[2]	yathā 'tvaṃ no meghe dyauśca ma iti bhakṣayati' /
1.7.6.[3]	dravyavikalpaḥ //
1.7.7.[1]	anādeśe jānīyāt /
