#Text:Baudhāyanaśulbasūtra
#Edition:Kashikar
#Notes:i.e. BaudhŚS 30



30.1.1	atheme 'gnicayāḥ
30.3.20	tasmin pāśau pratimucya lakṣaṇena dakṣiṇaṃ pārśvaṃ parilikhet
30.3.21	etenottaraṃ pārśvaṃ vyākhyātam
30.3.22	pūrvaṃ pārśvaṃ tayā dvirabhyastayā parilikhet
30.3.23	evam aparam
30.3.24	daśapadā paścāttiraścī dvādaśapadā prācy aṣṭāpadā purastāttiraścīti pāśubandhikāyā veder vijñāyate
30.3.25	mānayogas tasyā vyākhyātaḥ
30.3.26	rathasaṃmitety ekeṣām
30.3.27	virāṭsaṃpannety ekeṣām
30.3.28	śamyāmātrī catuḥsraktir bhavatīty uttaraveder vijñāyate
30.3.29	samacaturaśrāviśeṣāt
30.3.30	vitṛtīyā vedir bhavatīti paitṛkyā veder vijñāyate
30.3.31	mahāvedes tṛtīyena samacaturaśrakṛtāyās tṛtīyakaraṇī bhavatīti
30.3.32	navamas tu bhūmer bhāgo bhavati
30.3.33	yajamānamātrī catuḥsraktir bhavatīty ekeṣām
30.3.34	dikṣu sraktayo bhavanti
30.3.35	veditṛtīye yajeteti sautrāmaṇikīṃ vedim abhyupadiśanti
30.3.36	mahāvedes tṛtīyena samacaturaśrakṛtāyā aṣṭādaśapadā pārśvamānī bhavati
30.3.37	tasyai dīrghakaraṇyām ekato'ṇimatkaraṇyāṃ ca yāthākāmīti
30.4.1	prāgvaṃśaḥ ṣoḍaśaprakramāyāmo dvādaśavyāsaḥ
30.4.2	api vā dvādaśaprakramāyāmo daśavyāsaḥ
30.4.3	tasya madhye dvādaśiko vihāraḥ
30.4.4	triṃśatpadāni prakramā vā paścāttiraścī bhavati ṣaṭtriṃśatprācī caturviṃśatiḥ purastāttiraścīti mahāveder vijñāyate
30.4.5	mānayogas tasyā vyākhyātaḥ
30.4.6	āhavanīyāt ṣaṭ prakramān mahāvediḥ
30.4.7	tata ekasmin sadaḥ
30.4.8	tad daśakam
30.4.9	udak saptaviṃśatyaratnyaḥ
30.4.10	aṣṭādaśety ekeṣām
30.4.11	tataś caturṣu havirdhānam
30.4.12	tad daśakaṃ dvādaśakaṃ vā
30.4.13	mānayogas tayor vyākhyātaḥ
30.4.14	yūpāvaṭīyāc chaṅkor ardhaprakramam avaśiṣyottaravediṃ vimimīte
30.4.15	daśapadottaravedir bhavatīti some vijñāyate
30.4.16	mānayogas tasyā vyākhyātaḥ
30.4.17	cātvālaḥ śamyāmātro 'parimito vā
30.4.18	athoparavāḥ prādeśamukhāḥ prādeśāntarālāḥ
30.4.19	aratnimātraṃ samacaturaśraṃ vihṛtya sraktiṣu śaṅkūn nihanyāt
30.4.20	ardhaprādeśenārdhaprādeśenaikaikaṃ maṇḍalaṃ parilikhet
30.4.21	sadasaḥ pūrvārdhād dviprakramam avaśiṣya dhiṣṇyānāṃ dviprādeśo viṣkambhaḥ
30.4.22	tathāntarālāḥ
30.4.23	āgnīdhrāgārasya pārśvamānī pañcāratniḥ
30.4.24	etena mārjālīyo vyākhyātaḥ
30.4.25	tasyodīcīṃ dvāraṃ kurvanti
30.4.26	rathākṣāntarālā yūpāvaṭā bhavantīty ekādaśinyāṃ vijñāyate
30.4.27	tasyā daśānāṃ ca rathākṣāṇām ekādaśānāṃ ca padānām aṣṭāṅgulasya ca caturviṃśaṃ bhāgam ādadīta
30.4.28	sa prakramaḥ syāt
30.4.29	tena vediṃ vimimīte
30.4.30	athāśvamedhe viṃśatyāś ca rathākṣāṇām ekaviṃśatyāś ca padānām aṣṭāṅgulasya ca caturviṃśaṃ bhāgam ādadīta
30.4.31	sa prakramaḥ syāt
30.4.32	tena vediṃ vimimīte
30.4.33	atha prācyekādaśinyāṃ yūpārthaṃ vedeḥ pūrvārdhāt padārdhavyāsam apacchidya tat purastātprāñcaṃ dadhyāt
30.4.34	nātrāṣṭāṅgulaṃ vidyate
30.4.35	na vyatiṣaṅgaḥ
30.4.36	yūpāvaṭāḥ padaviṣkambhās tripadapariṇāhāni yūpoparāṇīti
30.5.1	ardhāṣṭamāḥ puruṣāḥ prathamo 'gniḥ
30.5.2	ardhanavamā dvitīyaḥ
30.5.3	ardhadaśamās tṛtīyaḥ
30.5.4	evam uttarottaro vidhābhyāsa aikādaśavidhāt
30.5.5	tad etat saptavidhaprabhṛty ekaśatavidhāntam
30.5.6	ata ūrdhvam ekaśatavidhān eva pratyādadītānagnikān vā yajñakratūn āhared anyatrāśvamedhāt
30.5.7	aśvamedham aprāptaṃ ced āhared ata ūrdhvaṃ vidhām abhyasyen netarad ādriyeta
30.5.8	atītaṃ ced āhared āhṛtya kṛtāntād eva pratyādadīta
30.5.9	katham u khalu vidhām abhyasyet
30.5.10	yad anyat prakṛtes tat pañcadaśa bhāgān kṛtvā vidhāyāṃvidhāyāṃ dvaudvau bhāgau samasyet
30.5.11	tābhir ardhāṣṭamābhir agniṃ cinuyāt
30.5.12	ūrdhvapramāṇābhyāsa jānoḥ pañcamasya caturviṃśenaike samāmananti
30.5.13	atha haika ekavidhaprabhṛtīn apakṣapucchāṃś cinvate
30.5.14	tan nopapadyate pūrvottaravirodhāt
30.5.15	atha haikeṣāṃ brāhmaṇaṃ bhavati śyenacid agnīnāṃ pūrvā tatir iti
30.5.16	athāpareṣāṃ na jyāyāṃsaṃ citvā kanīyāṃsaṃ cinvīteti
30.5.17	athāsmākam
30.5.18	pakṣī bhavati
30.5.19	na hy apakṣaḥ patitum arhati
30.5.20	aratninā pakṣau drāghīyāṃsau bhavataḥ
30.5.21	tasmāt pakṣapravayāṃsi vayāṃsi
30.5.22	vyāmamātrau pakṣau ca pucchaṃ ca bhavatīti
30.5.23	nāpakṣapucchaḥ śyeno vidyate
30.5.24	na cāsaptavidhasya pakṣapucchāni vidyante na ca saptavidhaṃ citvaikavidhaprasaṅgaḥ
30.5.25	tasmāt saptavidha eva prathamo 'gniḥ
30.5.26	bhedān varjayet
30.5.27	adharottarayoḥ pārśvasaṃdhānaṃ bhedā ity upadiśanti
30.5.28	tad agnyanteṣu na vidyate na sraktipārśvayoḥ
30.5.29	sāhasraṃ cinvīta prathamaṃ cinvāna iti
30.5.30	pañcamāyāṃ vā citau saṃkhyāṃ pūrayed dviśatāś cec cikīrṣet pañcacoḍābhir nākasadaḥ samānasaṃkhyaṃ pratīyāt
30.6.1	paśudharmo ha vā agniḥ
30.6.2	yathā ha vai paśor dakṣiṇeṣām asthnāṃ yad dakṣiṇaṃ pārśvaṃ tad uttareṣām uttaraṃ yad uttareṣāṃ dakṣiṇaṃ tad dakṣiṇeṣām uttaraṃ yad avāk cordhvaṃ ca tat samānam evam iṣṭakānāṃ rūpāṇy upadadhyāt
30.6.3	yā dakṣiṇāvṛto lekhās tā dakṣiṇata upadadhyāt savyāvṛta uttarataḥ
30.6.4	ṛjulekhāḥ paścāc ca purastāc ca bhavanti
30.6.5	tryālikhitā madhye
30.6.6	atha yā viśayasthā yathā ha vai paśoḥ pṛṣṭhavaṃśo naivaikasmin pārśve vyatirekeṇa vartate naivāparasminn evaṃ tāsām upadhānaṃ pratīyāt
30.6.7	athāpi brāhmaṇaṃ bhavati
30.6.8	prajāpatir vā atharvāgnir eva dadhyaṅṅ ātharvaṇas tasyeṣṭakā asthānīti
30.6.9	tasmād bahis tanvaṃ cec cinuyāt tanvopavlayamadhyair ātmopavlayamadhyāt saṃdadhyāt
30.6.10	prāñcam enaṃ cinuta iti vijñāyate
30.6.11	amṛnmayībhir aniṣṭakābhir na saṃkhyāṃ pūrayet
30.6.12	iṣṭakacid vā anyo 'gniḥ paśucid anya ity etasmād brāhmaṇāt
30.6.13	paśur vā eṣa yad agnir yoniḥ khalu vā eṣā paśor vikriyate yat prācīnam aiṣṭakād yajuḥ kriyata iti ca
30.6.14	lokabādhīni dravyāṇy avaṭeṣūpadadhyāt
30.6.15	maṇḍalam ṛṣabhaṃ vikarṇīm itīṣṭakāsu lakṣmāṇi pratīyāt
30.6.16	iṣṭakāmantrayor iṣṭakāvyatireke lokaṃpṛṇāḥ saṃpadyante parimāṇābhāvāt
30.6.17	atītān eva veṣṭakāgaṇān atropadadhyāt
30.6.18	pañca lokaṃpṛṇāḥ
30.6.19	mantravyatireke 'ktāḥ śarkarāḥ saṃdhiṣūpadadhyāt
30.6.20	prācīr upadadhāti pratīcīr upadadhātīti gaṇeṣu rītivādaḥ
30.6.21	prācīm upadadhāti pratīcīm upadadhātīti kartur mukhavādaḥ
30.6.22	purastād anyāḥ pratīcīr upadadhāti paścād anyāḥ prācīr ity apavargaḥ
30.6.23	caturaśrāsv evaitad upapadyate
30.7.1	na khaṇḍām upadadhyāt
30.7.2	na bhinnām upadadhyāt
30.7.3	na kṛṣṇām upadadhyāt
30.7.4	na jīrṇām upadadhyāt
30.7.5	na lakṣmaṇām upadadhyāt
30.7.6	na svayamātṛṇṇāṃ svayaṃcitāv upadadhyāt
30.7.7	ūrdhvapramāṇam iṣṭakānāṃ jānoḥ pañcamena kārayet
30.7.8	ardhena nākasadāṃ pañcacoḍānāṃ ca
30.7.9	yac choṣapākābhyāṃ pratihraseta purīṣeṇa tat saṃpūrayet purīṣasyāniyataparimāṇatvāt
30.7.10	vyāyāmamātrī bhavatīti gārhapatyaciter vijñāyate
30.7.11	caturaśrety ekeṣām
30.7.12	parimaṇḍalety ekeṣām
30.7.13	caturaśraṃ saptadhā vibhajya tiraścīṃ tredhā vibhajet
30.7.14	aparasmin prastāra udīcīr upadadhāti
30.7.15	samacaturaśrāś ced upadadhyād vyāyāmaṣaṣṭheneṣṭakāḥ kārayec caturthena tṛtīyeneti
30.7.16	tāsāṃ nava prathamā dvādaśa dvitīyā iti pūrvasmin prastāra upadadhāti
30.7.17	pañca tṛtīyāḥ ṣoḍaśa prathamā ity aparasmin
30.7.18	parimaṇḍalāyāṃ yāvat saṃbhavet tāvat samacaturaśraṃ kṛtvā tan navadhā vibhajet pradhīṃs tridhātridheti
30.7.19	aparaṃ prastāraṃ tathopadadhyād yathā pradhyanīkeṣu sraktayo bhavanti
30.7.20	dhiṣṇyā ekacitīkāś caturaśrāḥ parimaṇḍalā vā
30.7.21	teṣām āgnīdhrīyaṃ navadhā vibhajyaikasyā sthāne 'śmānam upadadhyāt
30.7.22	atha hotur dhiṣṇyaṃ navadhā vibhajya pūrvāṃs tribhāgān ekaikaṃ dvedhā vibhajet
30.7.23	athetarān navadhānavadhā vibhajya madhyamapūrvau dvau bhāgau samasyet
30.7.24	atha mārjālīyaṃ tredhā vibhajya pūrvāparau bhāgau pañcadhā vibhajet
30.7.25	ukhyabhasmanā saṃsṛjyeṣṭakāḥ kārayed iti
30.7.26	saṃvatsarabhṛta evaitad upapadyate na rātribhṛte
30.7.27	evam asya mantravatī citik.lptiḥ
30.7.28	chandaścitaṃ triṣāhasrasya parastāc cinvīta kāmavivekāt
30.7.29	tasya rūpaṃ śyenākṛtir bhavatīti
30.8.1	atha vai bhavati
30.8.2	śyenacitaṃ cinvīta suvargakāma iti
30.8.3	ākṛtidvaividhyam
30.8.4	caturāśrātmā śyenākṛtiś ca
30.8.5	vijñāyata ubhayaṃ brāhmaṇam
30.8.6	pañca dakṣiṇāyāṃ śroṇyām upadadhāti pañcottarasyām
30.8.7	basto vaya iti dakṣiṇe 'ṃsa upadadhāti
30.8.8	vṛṣṇir vaya ity uttare
30.8.9	vyāghro vaya iti dakṣiṇe pakṣa upadadhāti
30.8.10	siṃho vaya ity uttare
30.8.11	puruṣo vaya iti madhya iti ca
30.8.12	athāparam
30.8.13	vayasāṃ vā eṣa pratimayā cīyate yad agnir iti
30.8.14	utpatatāṃ chāyayety arthaḥ
30.8.15	samacaturaśrābhir agniṃ cinute daivyasya ca mānuṣasya ca vyāvṛttyā iti maitrāyaṇīyabrāhmaṇaṃ bhavati
30.8.16	tasyeṣṭakāḥ kārayet puruṣasya caturthena pañcamena ṣaṣthena daśameneti
30.8.17	athāgniṃ vimimīte
30.8.18	yāvān puruṣa ūrdhvabāhus tāvad antarāle veṇoś chidre karoti madhye tṛtīyam
30.8.19	yad amutra spandayā karoti tad iha veṇunā karoti
30.8.20	tasyātmā samacaturaśraś catvāraḥ puruṣāḥ
30.8.21	pakṣaḥ samacaturaśraḥ puruṣaḥ
30.8.22	sa tu dakṣiṇato 'ratninā drāghīyān
30.8.23	etenottaraḥ pakṣo vyākhyātaḥ
30.8.24	pucchaḥ samacaturaśraḥ puruṣaḥ
30.8.25	tam avastāt prādeśena vardhayet
30.8.26	evaṃ sāratniprādeśā saptavidhaḥ saṃpadyate
30.8.27	upadhāne pakṣāgrād uttarataḥ puruṣatṛtīyavelāyāṃ catasraḥ pañcamyas tāsām abhito dvedve pādeṣṭake
30.8.28	tato 'ṣṭau caturthyaḥ
30.8.29	pakṣaśeṣaṃ ṣaḍbhāgīyābhiḥ pracchādayet
30.8.30	etenottaraḥ pakṣo vyākhyātaḥ
30.8.31	pūrvāparayoḥ pucchapārśvayoś caturbhāgīyā upadadhyāt
30.8.32	dakṣiṇottarayoḥ pādeṣṭakāḥ
30.8.33	śeṣam agniṃ pañcamabhāgīyābhiḥ pracchādayet
30.8.34	eṣa dviśataḥ prastāraḥ
30.8.35	aparasmin prastāre pakṣāgrād uttarato 'rdhavyāyām avelāyāṃ tisrastisraḥ ṣaṣṭhyo dvedve dvipade iti viparyāsam upadadhyāt
30.8.36	tathottare
30.8.37	dakṣiṇasyāṃ śroṇyāṃ nava ṣaṣṭhyaś caturaśrakṛtāḥ
30.8.38	tathottarasyām
30.8.39	navanava ṣaṣṭhyo dvedve dvipade iti dakṣiṇād aṃsād ottarād aṃsād viparyāsam upadadhyāt
30.8.40	śeṣam agniṃ pañcamabhāgīyābhiḥ pracchādayet
30.8.41	eṣa dviśataḥ prastāro vyatyāsaṃ cinuyād yāvataḥ prastārāṃś cikīrṣet
30.9.1	athāparaḥ
30.9.2	puruṣasya pañcamyaḥ
30.9.3	tā evaikato 'dhyardhāḥ
30.9.4	tāsām ardhyāḥ pādyāś ca
30.9.5	upadhāne pūrvāparayoḥ pakṣapārśvayor ardheṣṭakā udīcīr upadhyāt
30.9.6	tathottare
30.9.7	dakṣiṇottarayoḥ pucchapārśvayoś catasraścatasro 'dhyardhā udīcīḥ
30.9.8	pucchasyāvastāc catasro 'rdheṣṭakā udīcīḥ
30.9.9	tāsām abhito dve pādeṣṭake
30.9.10	jaghanena pucchāpyayayor ekaikām ardheṣṭakāṃ prācīm
30.9.11	śeṣam agniṃ pañcamabhāgīyābhiḥ pracchādayet
30.9.12	eṣa dviśataḥ prastāraḥ
30.9.13	aparasmin prastāra ātmasraktiṣu catasraḥ pādeṣṭakā upadadhyāt
30.9.14	tāsām abhito dvedve ardheṣṭake
30.9.15	pūrvasminn anīke pañca
30.9.16	pakṣāgrayos tisrastisro 'dhyardhā udīcīḥ
30.9.17	tāsām antarāleṣv ekaikām ardheṣṭakāṃ prācīm
30.9.18	śeṣam agniṃ pañcamabhāgīyābhiḥ pracchādayet
30.9.19	eṣa dviśataḥ prastāraḥ
30.9.20	vyatyāsaṃ cinuyād yāvataḥ prastārāṃś cikīrṣet
30.10.1	atha vakrapakṣo vyastapucchaḥ
30.10.2	tasyeṣṭakāḥ kārayet puruṣasya caturthyaḥ
30.10.3	tāsām ardhyāḥ pādyāś ca
30.10.4	nityam akṣṇayāpacchedanam anādeśe
30.10.5	pādeṣṭakāś caturbhiḥ parigṛhṇīyād ardhapadena padenādhyardhapadena padasaviśeṣeṇeti
30.10.6	te dve yathā dīrghasaṃśliṣṭe syātāṃ tathārdheṣṭakāṃ kārayet
30.10.7	athāgniṃ vimimīte
30.10.8	ātmā dvipuruṣāyāmo daśapadavyāsaḥ
30.10.9	tasya dakṣiṇād aṃsād uttarato 'dhyardhaprakrame lakṣaṇaṃ karoti
30.10.10	evam aparataḥ
30.10.11	tayor upariṣṭāt spandyāṃ niyamyāṃsam apacchindyāt
30.10.12	etenetarāsāṃ sraktīnām apacchedā vyākhyātāḥ
30.10.13	sa ātmā
30.10.14	śiro 'rdhaṣaṣṭhapadāyāmamardhapuruṣavyāsam
30.10.15	tasyāṃsau prakrameṇaprakrameṇāpacchindyāt
30.10.16	pucchasya ṣaṭpadā prācī dvipuruṣodīcī
30.10.17	tasya pūrve sraktī tribhistribhiḥ prakramair apacchindyāt
30.10.18	pakṣo dvādaśapadāyāmo daśapadavyāsaḥ
30.10.19	tasya madhyāt prāñci ṣaṭ padāni prakramya śaṅkuṃ nihanyāt
30.10.20	śroṇyor ekaikam
30.10.21	athainaṃ spandyayā paricinuyāt
30.10.22	antaspandyam apacchidya tat purastātprāñcaṃ dadhyāt
30.10.23	sa nirṇāmaḥ
30.10.24	etenottarasya pakṣasya nirṇāmo vyākhyātaḥ
30.10.25	pakṣāgrayoḥ prakramapramāṇāni pañcapañca caturaśrāṇy anūcīnāni kṛtvā sarvāṇy avāñcam akṣṇayāpacchindyād ardhāny uddharet
30.10.26	evaṃ sāratniprādeśaḥ saptavidhaḥ saṃpadyate
30.10.27	upadhāne śiraso 'pyaye caturthīm upadadhyāt
30.10.28	haṃsamukhīṃ purastāt pādeṣṭake abhitaḥ
30.10.29	tayor avastād abhitas tisrastisraś caturaśrapādyāḥ
30.10.30	śeṣe pādeṣṭakāḥ
30.10.31	api vā śiraso 'gre haṃsamukhīm upadadhyāt
30.10.32	tasya avastāc caturthīm upadadhyāt pādeṣṭake abhitaḥ
30.10.33	tayor avastād abhitas tisrastisraś caturaśrapādyāḥ
30.10.34	śeṣe pādeṣṭakāḥ
30.10.35	śiraso 'vastāt pañca pādeṣṭakā vyatiṣaktā upadadhyāt
30.10.36	tathā pucchasya purastāt
30.10.37	yadyad apacchinnaṃ tasminn ardheṣṭakāḥ pādeṣṭakāś copadadhyāt
30.10.38	śeṣam agniṃ caturbhāgīyābhiḥ pracchādayet
30.10.39	pādyābhiḥ sārdhyābhiḥ saṃkhyāṃ pūrayet
30.10.40	eṣa dviśataḥ prastāraḥ
30.10.41	aparasmin prastāre haṃsamukhīś catasraś catasṛbhiḥ pādeṣṭakābhiḥ saṃyojayed yathā dīrghacaturaśraṃ saṃpadyate
30.10.42	tat tiryak svayamātṛṇṇāvakāśa upadadhyāt
30.10.43	haṃsamukhyau pratīcyau pucchāpyaye 'rdhapadenātmani viśaye
30.10.44	tayor avastād abhitas tisraḥ pādeṣṭakāḥ prāṅmukhīr upadadhyāt
30.10.45	pucchasyāvastāt pañcadaśa pādeṣṭakā vyatiṣaktā upadadhyāt
