#Text:Gobhilagṛhyasūtra
#Edition:Knauer (DCS version)



1.1.1	athāto gṛhyakarmāṇy upadekṣyāmaḥ
1.4.14	āsīnaḥ pitṛbhyo dadyād yathopapādam itarān
1.4.15	svayaṃ tv evaitān yāvad vased balīn haret
1.4.16	api vānyo brāhmaṇaḥ
1.4.17	dampatī eva
1.4.18	iti gṛhamedhivrataṃ
1.4.19	strī ha sāyaṃ prātaḥ pumān iti
1.4.20	sarvasya tv evānnasyaitān balīn haret pitryasya vā svastyayanasya vārthārthasya vā
1.4.21	yajñād eva nivartate
1.4.22	yady ekasmin kāle vrīhiyavau prakriyeyātam anyatarasya hṛtvā kṛtaṃ manyeta
1.4.23	yady ekasmin kāle punaḥ punar annaṃ pacyeta sakṛd evaitad balitantraṃ kurvīta
1.4.24	yasya tv eṣām agrataḥ sidhyed niyuktam agnau kṛtvāgraṃ brāhmaṇāya dattvā bhuñjīta
1.4.25	yasyo jaghanyaṃ bhuñjītaiveti
1.4.26	athāpy udāharanti
1.4.27	etasyaiva baliharaṇasyānte kāmam prabruvīta bhavati haivāsya
1.4.28	svayaṃ tv evāsasyaṃ balim hared yavebhyo 'dhy ā vrīhibhyo vrīhibhyo 'dhy ā yavebhyaḥ sa tv āsasyo nāma balir bhavati
1.4.29	dīrghāyur haiva bhavati
1.4.30	viśrāṇite phalīkaraṇānām ācāmasyāpām iti baliṃ haret sa raudro bhavati sa raudro bhavati
1.5.1	atha darśapūrṇamāsayoḥ
1.5.2	saṃdhyāṃ paurṇamāsīm upavaset
1.5.3	uttarām ity eke
1.5.4	atha yad ahaś candramā na dṛśyeta tām amāvāsyām
1.5.5	pakṣāntā upavastavyāḥ pakṣādayo 'bhiyaṣṭavyāḥ
1.5.6	āmāvāsyena haviṣā pūrvapakṣam abhiyajate paurṇamāsenāparapakṣam
1.5.7	yaḥ paramo vikarṣaḥ sūryacandramasoḥ sā paurṇamāsī yaḥ paramaḥ saṃkarṣaḥ sāmāvāsyā
1.5.8	yad ahas tv eva candramā na dṛśyeta tām amāvāsyāṃ kurvīta
1.5.9	dṛśyamāne 'py ekadā gatādhvā bhavatīti
1.5.10	trayaḥ pūrṇamāsīkālā bhavanti saṃdhyā vāstamitoditā voccair vā
1.5.11	atha yad ahaḥ pūrṇo bhavati
1.5.12	pṛthag evaitasya jñānasyādhyāyo bhavati adhīyīta vā tadvidbhyo vā parvāgamayeta
1.5.13	atha yad ahar upavasatho bhavati tad ahaḥ pūrvāhṇa eva prātarāhutiṃ hutvaitad agneḥ sthaṇḍilam gomayena samantaṃ paryupalimpati
1.5.14	athedhmān upakalpayate khādirān vā pālāśān vā
1.5.15	khādirapālāśālābhe vibhītakatilvakabādhakanīvanimbarājavṛkṣaśalmalyaraludadhitthakovidāraśleṣmātakavarjam sarvavanaspatīnām idhmo yathārthaṃ syāt
1.5.16	viśākhāni pratilūnāḥ kuśā barhiḥ
1.5.17	upamūlalūnaḥ pitṛbhyaḥ
1.5.18	teṣām alābhe śūkatṛṇaśaraśīryabalbajamutavanalaśuṇṭhavarjaṃ sarvatṛṇāṇi
1.5.19	ājyaṃ sthālīpākīyān vrīhīn vā yavān vā carusthālīṃ mekṣaṇaṃ sruvam anuguptā apa iti
1.5.20	yāni cānukalpam udāhariṣyāmaḥ
1.5.21	na tad ahaḥ prasṛjyeta
1.5.22	dūrād api gṛhān abhyeyāt
1.5.23	anyatas tu dhanam krīṇīyān na vikrīṇīta
1.5.24	abahuvādī syāt
1.5.25	satyam vivadiṣet
1.5.26	athāparāhṇa evāplutyaupavasathikaṃ dampatī bhuñjīyātāṃ yad enayoḥ kāmyaṃ syāt sarpirmiśram syāt kuśalena
1.6.1	mānatantavyo hovācāhutā vā etasya mānuṣy āhutir bhavati ya aupavasathikaṃ nāśnāti
1.6.2	anīśvaro ha kṣodhuko bhavaty akāmyo janānāṃ pāpavasīyasī hāsya prajā bhavati
1.6.3	ya aupavasathikaṃ bhuṅkta īśvaro ha bhavaty akṣodhukaḥ kāmyo janānāṃ vasīyasī hāsya prajā bhavati
1.6.4	tasmād yat kāmayetaupavasathikaṃ bhuñjīyātām
1.6.5	adha evaitāṃ rātriṃ śayīyātām
1.6.6	tau khalu jāgranmiśrāv evaitāṃ rātriṃ vihareyātām itihāsamiśreṇa vā kenacid vā
1.6.7	jugupseyātāṃ tv evāvratyebhyaḥ karmabhyaḥ
1.6.8	na pravasann upavased ity āhuḥ
1.6.9	patnyā vrataṃ bhavatīti
1.6.10	yathā kāmayeta tathā kuryāt
1.6.11	evam evāhitāgner apy upavasatho bhavati
1.6.12	yac cāmnāyo vidadhyāt
1.6.13	atha pūrvāhṇa eva prātarāhutiṃ hutvāgreṇāgniṃ parikramya dakṣiṇato 'gneḥ prāgagrān darbhān āstīrya
1.6.14	teṣāṃ purastāt pratyaṅmukhas tiṣṭhan savyasya pāṇer aṅguṣṭhenopakaniṣṭhikayā cāṅgulyā brahmāsanāt tṛṇam abhisaṃgṛhya dakṣiṇāparam aṣṭamaṃ deśaṃ nirasyati nirastaḥ parāvasur iti
1.6.15	apa upaspṛśyātha brahmāsana upaviśaty ā vasoḥ sadane sīdāmīti
1.6.16	agnim abhimukho vāgyataḥ prāñjalir āsta ā karmaṇaḥ paryavasānāt
1.6.17	bhāṣeta yajñasaṃsiddhim
1.6.18	nāyajñiyāṃ vācaṃ vadet
1.6.19	yadyayajñiyāṃ vācaṃ vaded vaiṣṇavīm ṛcaṃ yajur vā japet
1.6.20	api vā namo viṣṇava ity evaṃ brūyāt
1.6.21	yady u vā ubhayaṃ cikīrṣeddhautraṃ caiva brahmatvaṃ caivaitenaiva kalpena chattraṃ vottarāsaṅgaṃ vodakamaṇḍaluṃ darbhavaṭuṃ vā brahmāsane nidhāya tenaiva pratyāvrajyāthānyacceṣṭet
1.7.1	atholūkhalamusale prakṣālya śūrpaṃ ca paścād agneḥ prāgagrān darbhān āstīryopasādayati
1.7.2	atha havir nirvapati vrīhīn vā yavān vā kaṃsena vā carusthālyā vā
1.7.3	amuṣmai tvā juṣṭaṃ nirvapāmīti devatānāmādeśaṃ sakṛd dvis tūṣṇīm
1.7.4	atha paścāt prāṅmukho 'vahantum upakramate dakṣiṇottarābhyāṃ pāṇibhyām
1.7.5	triḥphalīkṛtāṃs taṇḍulān trir devebhyaḥ prakṣālayed ity āhur dvir manuṣyebhyaḥ sakṛt pitṛbhya iti
1.7.6	pavitrāntarhitāṃs taṇḍulān āvapet
1.7.7	kuśalaśṛtam iva sthālīpākaṃ śrapayet pradakṣiṇam udāyuvan
1.7.8	śṛtam abhighāryodag udvāsya pratyabhighārayet
1.7.9	agnim upasamādhāya kuśaiḥ samantaṃ paristṛṇuyāt purastāddakṣiṇata uttarataḥ paścād iti
1.7.10	sarvatas trivṛtaṃ pañcavṛtaṃ vā
1.7.11	bahulam ayugmasaṃhatam
1.7.12	prāgagrair agrair mūlāni chādayan
1.7.13	paścād vāstīrya dakṣiṇataḥ prāñcaṃ prakarṣati tathottareṇa
1.7.14	dakṣiṇottarāṇy agrāṇi kuryāt
1.7.15	eṣa paristaraṇanyāyaḥ sarveṣv āhutimatsu
1.7.16	paridhīn apy eke kurvanti śāmīlān pārṇān vā
1.7.17	uttarato 'pāṃ pūrṇaḥ sruvaḥ praṇītā
1.7.18	bhave na vā syād ity eke
1.7.19	barhiṣi sthālīpākam āsādyedhmam abhyādhāyājyaṃ saṃskurute
1.7.20	sarpis tailaṃ dadhi payo yavāgūm vā
1.7.21	tata eva barhiṣaḥ prādeśamātre pavitre kurute
1.7.22	oṣadhim antardhāya chinatti na nakhena pavitre stho vaiṣṇavyāviti
1.7.23	athaine adbhir anumārṣṭi viṣṇor manasā pūte stha iti
1.7.24	saṃpūyotpunāty udagagrābhyāṃ pavitrābhyām
1.7.25	aṅguṣṭhābhyāṃ copakaniṣṭhikābhyāṃ cāṅgulibhyām abhisaṃgṛhya prākśas trir utpunāti devas tvā savitotpunātv acchidreṇa pavitreṇa vasoḥ sūryasya raśmibhir iti sakṛd yajuṣā dvis tūṣṇīm
1.7.26	athaine adbhir abhyukṣyāgnāv apyarjayet
1.7.27	athaitad ājyam adhiśṛtyodag udvāsayet
1.7.28	evam ājyasya saṃskaraṇakalpo bhavatīti
1.8.1	pūrvam ājyam aparaḥ sthālīpākaḥ
1.8.2	paryukṣya sthālīpāka ājyam ānīya mekṣaṇenopaghātaṃ hotum evopakramate
1.8.3	yady u vā upastīrṇābhighāritaṃ juhuṣed ājyabhāgāv eva prathamau juhuyāt
1.8.4	caturgṛhītam ājyaṃ gṛhītvā pañcāvattaṃ tu bhṛgūṇām agnaye svāhety uttarataḥ somāya svāheti dakṣiṇataḥ prākśo juhuyāt
1.8.5	atha haviṣa upastīryāvadyati
1.8.6	madhyāt pūrvārdhāc caturavattī ced bhavati madhyāt pūrvārdhāt paścārdhād iti pañcāvattī ced bhavati
1.8.7	abhighārayaty avadānāni
1.8.8	pratyanakty avadānasthānāny ayātayāmatāyai
1.8.9	agnaye svāheti madhye juhuyāt
1.8.10	sakṛd vā trir vaitenaiva kalpena
1.8.11	atha sviṣṭakṛta upastīryāvadyaty uttarārdhapūrvārdhāt sakṛd eva bhūyiṣṭhaṃ dvir abhighārayet
1.8.12	yady u pañcāvattī syād dvir upastīryāvadāya dvir abhighārayet
1.8.13	na pratyanakty avadānasthānaṃ yātayāmatāyai
1.8.14	agnaye sviṣṭakṛte svāhety uttarārdhapūrvārdhe juhuyāt
1.8.15	mahāvyāhṛtibhir ājyenābhijuhuyāt
1.8.16	prāk sviṣṭakṛta āvāpaḥ
1.8.17	gaṇeṣv ekaṃ parisamūhanam idhmo barhiḥ paryukṣaṇam ājyam ājyabhāgau ca
1.8.18	sarvebhyaḥ samavadāya sakṛd eva sauviṣṭakṛtaṃ juhoti
1.8.19	hutvaitan mekṣaṇam anupraharet
1.8.20	prakṣālya vainenoddhṛtya bhuñjīta
1.8.21	na sruvam anuprahared ity eka āhuḥ
1.8.22	āgneya evānāhitāgner ubhayor darśapūrṇamāsayoḥ sthālīpākaḥ syāt
1.8.23	āgneyo vāgnīṣomīyo vāhitāgneḥ paurṇamāsyām
1.8.24	aindro vaindrāgno vā māhendro vāmāvāsyāyām
1.8.25	api vāhitāgner apy ubhayor darśapūrṇamāsayor āgneya eva syāt
1.8.26	samidham ādhāyānuparyukṣya yajñavāstu karoti
1.8.27	tata eva barhiṣaḥ kuśamuṣṭim ādāyājye vā haviṣi vā trir avadadhyād agrāṇi madhyāni mūlānīty aktaṃ rihāṇā vyantu vaya iti
1.8.28	athainam adbhir abhyukṣyāgnāv apyarjayed yaḥ paśūnām adhipatī rudras tanticaro vṛṣā paśūn asmākaṃ mā hiṃsīr etad astu hutaṃ tava svāheti
1.8.29	etad yajñavāstv ity ācakṣate
1.9.1	athaitaddhavirucchiṣṭam udag udvāsyoddhṛtya brahmaṇe prayacchet
1.9.2	taṃ titarpayiṣet
1.9.3	brāhmaṇasya tṛptim anutṛpyāmīti ha yajñasya vedayante
1.9.4	atha yad asyānyad annam upasiddhaṃ syāt
1.9.5	atha brāhmaṇān bhaktenopepset
1.9.6	pūrṇapātro dakṣiṇā taṃ brahmaṇe dadyāt
1.9.7	kaṃsaṃ camasaṃ vānnasya pūrayitvā kṛtasya vākṛtasya vāpi vā phalānām evaitaṃ pūrṇapātram ity ācakṣate
1.9.8	brahmaivaika ṛtvik
1.9.9	pākayajñeṣu svayaṃ hotā bhavati
1.9.10	pūrṇapātro 'vamaḥ pākayajñānāṃ dakṣiṇā
1.9.11	aparimitaṃ parārdhyam
1.9.12	api ha sudāḥ paijavana aindrāgnena sthālīpākeneṣṭvā śataṃ sahasrāṇi dadau
1.9.13	atha yadi gṛhye 'gnau sāyaṃprātarhomayor vā darśapūrṇamāsayor vā havyaṃ vā hotāraṃ vā nādhigacchet kathaṃ kuryād iti
1.9.14	ā sāyamāhuteḥ prātarāhutir nātyety ā prātarāhuteḥ sāyamāhutir āmāvāsyāyāḥ paurṇamāsaṃ nātyety ā paurṇamāsyā āmāvāsyam
1.9.15	etenaivāvakāśena havyaṃ vā hotāraṃ vā lipseta
1.9.16	api vā yajñiyānām evauṣadhivanaspatīnāṃ phalāni vā palāśāni vā śrapayitvā juhuyāt
1.9.17	apy apa evāntato juhuyād iti ha smāha pākayajña aiḍo hutaṃ hy eva
1.9.18	ahutasya prāyaścittaṃ bhavatīti
1.9.19	nāvrato brāhmaṇaḥ syād iti
1.9.20	athāpy udāharanti
1.9.21	yāvan na hūyetābhojanenaiva tāvat saṃtanuyāt
1.9.22	atha yadādhigacchet pratijuhuyāt
1.9.23	evam apy asya vrataṃ saṃtataṃ bhavatīti
1.9.24	eṣo 'ta ūrdhvaṃ havirāhutiṣu nyāyaḥ
1.9.25	mantrānte svāhākāraḥ
1.9.26	ājyāhutiṣv ājyam eva saṃskṛtyopaghātaṃ juhuyān nājyabhāgau na sviṣṭakṛt
1.9.27	ājyāhutiṣv anādeśe purastāc copariṣṭācca mahāvyāhṛtibhir homaḥ
1.9.28	yathā pāṇigrahaṇe tathā cūḍākarmaṇy upanayane godāne
1.9.29	apavṛtte karmaṇi vāmadevyagānaṃ śāntyarthaṃ śāntyartham
2.1.1	puṇye nakṣatre dārān kurvīta
2.1.2	lakṣaṇapraśastān kuśalena
2.1.3	tadalābhe piṇḍān
2.1.4	vedyāḥ sītāyā hradād goṣṭhāc catuṣpathād ādevanād ādahanād iriṇāt
2.1.5	sarvebhyaḥ saṃbhāryaṃ navamam
2.1.6	samān kṛtalakṣaṇān
2.1.7	pāṇāv ādhāya kumāryā upanāmayed ṛtam eva prathamam ṛtam nātyeti kaścanarta iyaṃ pṛthivī śritā sarvam idam asau bhūyād iti tasyā nāma gṛhītvaiṣām ekaṃ gṛhāṇeti brūyāt
2.1.8	pūrveṣāṃ caturṇāṃ gṛhṇantīm upayacchet
2.1.9	saṃbhāryam api tv eke
2.1.10	klītakair yavair māṣair vāplutāṃ suhṛt surottamena saśarīrāṃ trir mūrdhany abhiṣiñcet kāma veda te nāma mado nāmāsīti samānayāmum iti patināma gṛhṇīyāt svāhākārāntābhir upastham uttarābhyāṃ plāvayet
2.1.11	jñātikarmaitat
2.1.12	pāṇigrahaṇe purastāc chālāyā upalipte 'gnir upasamāhito bhavati
2.1.13	atha janyānām eko dhruvāṇām apāṃ kalaśaṃ pūrayitvā sahodakumbhaḥ prāvṛto vāgyato 'greṇāgniṃ parikramya dakṣiṇata udaṅmukho 'vatiṣṭhate
2.1.14	prājanenānyaḥ
2.1.15	śamīpalāśamiśrāṃś ca lājāṃś caturañjalimātrāñchūrpeṇopasādayanti paścād agneḥ
2.1.16	dṛṣatputraṃ ca
2.1.17	atha yasyāḥ pāṇiṃ grahīṣyan bhavati saśiraskā sāplutā bhavati
2.1.18	ahatena vasanena patiḥ paridadhyād yā akṛntann ity etayarcā paridhatta dhatta vāsaseti ca
2.1.19	prāvṛtāṃ yajñopavītinīm abhyudānayan japet somo 'dadad gandharvāyeti
2.1.20	paścād agneḥ saṃveṣṭitaṃ kaṭam evaṃjātīyaṃ vānyat padā pravartayantīṃ vācayet pra me patiyānaḥ panthāḥ kalpatām iti
2.1.21	svayaṃ japed ajapantyāṃ prāsyā iti
2.1.22	barhiṣo 'ntaṃ kaṭāntaṃ prāpayet
2.1.23	pūrve kaṭānte dakṣiṇataḥ pāṇigrāhasyopaviśati
2.1.24	dakṣiṇena pāṇinā dakṣiṇam aṃsam anvārabdhāyāḥ ṣaḍ ājyāhutīr juhoty agnir etu prathama ity etatprabhṛtibhiḥ
2.1.25	mahāvyāhṛtibhiś ca pṛthak
2.1.26	samastābhiś caturthīm
2.2.1	hutvopottiṣṭhataḥ
2.2.2	anupṛṣṭhaṃ patiḥ parikramya dakṣiṇata udaṅmukho 'vatiṣṭhate vadhvañjaliṃ gṛhītvā
2.2.3	pūrvā mātā lājān ādāya bhrātā vā vadhūm ākrāmayed aśmānaṃ dakṣiṇena prapadena
2.2.4	pāṇigrāho japatīmam aśmānam āroheti
2.2.5	sakṛtsaṃgṛhītaṃ lājānām añjaliṃ bhrātā vadhvañjalāvāvapati
2.2.6	taṃ sopastīrṇābhighāritam agnau juhoty avicchindaty añjalim iyaṃ nāry upabrūta iti
2.2.7	aryamaṇaṃ nu devaṃ pūṣaṇam ity uttarayoḥ
2.2.8	hute patir yathetaṃ parivrajya pradakṣiṇam agniṃ pariṇayati mantravān vā brāhmaṇaḥ kanyalā pitṛbhya iti
2.2.9	pariṇītā tathaivāvatiṣṭhate tathākrāmati tathā japati tathāvapati tathā juhoti
2.2.10	evaṃ triḥ
2.2.11	śūrpeṇa śeṣam agnāv opya prāgudīcīm abhyutkrāmayanty ekam iṣa iti
2.2.12	dakṣiṇena prakramya savyenānukrāmet
2.2.13	mā savyena dakṣiṇam atikrāmeti brūyāt
2.2.14	īkṣakān pratimantrayeta sumaṅgalīr iyaṃ vadhūr iti
2.2.15	apareṇāgnim audako 'nusaṃvrajya pāṇigrāham mūrdhadeśe 'vasiñcati tathetarāṃ samañjantv ity etayarcā
2.2.16	avasiktāyāḥ savyena pāṇināñjalim upodgṛhya dakṣiṇena pāṇinā dakṣiṇaṃ pāṇiṃ sāṅguṣṭham uttānaṃ gṛhītvaitāḥ ṣaṭ pāṇigrahaṇīyā japati gṛbhṇāmi ta iti
2.2.17	samāptāsūdvahanti
2.3.1	prāgudīcyāṃ diśi yad brāhmaṇakulam abhirūpam
2.3.2	tatrāgnir upasamāhito bhavati
2.3.3	apareṇāgnim ānaḍuhaṃ rohitaṃ carma prāggrīvam uttaralomāstīrṇaṃ bhavati
2.3.4	tasminn enāṃ vāgyatām upaveśayanti
2.3.5	sā khalv āsta evānakṣatradarśanāt
2.3.6	prokte nakṣatre ṣaḍ ājyāhutīr juhoti lekhāsandhiṣv ity etatprabhṛtibhiḥ
2.3.7	āhuter āhutes tu sampātaṃ mūrdhani vadhvā avanayet
2.3.8	hutvopotthāyopaniṣkramya dhruvaṃ darśayati
2.3.9	dhruvam asi dhruvāhaṃ patikule bhūyāsam amuṣyāsāv iti patināma gṛhṇīyād ātmanaś ca
2.3.10	arundhatīṃ ca
2.3.11	ruddhāham asmīty evam eva
2.3.12	athainām anumantrayate dhruvā dyaur ity etayarcā
2.3.13	anumantritā guruṃ gotreṇābhivādayate
2.3.14	so 'syā vāgvisargaḥ
2.3.15	tāv ubhau tatprabhṛti trirātram akṣārālavaṇāśinau brahmacāriṇau bhūmau saha śayīyātām
2.3.16	atrārghyam ity āhuḥ
2.3.17	āgateṣv ity eke
2.3.18	haviṣyam annaṃ prathamaṃ parijapitaṃ bhuñjīta
2.3.19	śvo bhūte vā samaśanīyaṃ sthālīpākaṃ kurvīta
2.3.20	tasya devatā agniḥ prajāpatir viśve devā anumatir iti
2.3.21	uddhṛtya sthālīpākaṃ vyuhyaikadeśaṃ pāṇinābhimṛśed annapāśena maṇineti
2.3.22	bhuktvocchiṣṭaṃ vadhvai pradāya yathārtham
2.3.23	gaur dakṣiṇā
2.4.1	yānam ārohantyāṃ sukiṃśukaṃ śalmalim ity etām ṛcaṃ japet
2.4.2	adhvani catuṣpathān pratimantrayeta nadīś ca viṣamāṇi ca mahāvṛkṣān śmaśānaṃ ca mā vidan paripanthina iti
2.4.3	akṣabhaṅge naddhavimokṣe yānaviparyāse 'nyāsu cāpatsu yam evāgniṃ haranti tam evopasamādhāya vyāhṛtibhir hutvānyaddravyam āhṛtya ya ṛte cid abhiśriṣa ity ājyaśeṣenābhyañjet
2.4.4	vāmadevyaṃ gītvārohet
2.4.5	prāpteṣu vāmadevyam
2.4.6	gṛhagatāṃ patiputraśīlasampannā brāhmaṇyo 'varopyānaḍuhe carmaṇy upaveśayantīha gāvaḥ prajāyadhvam iti
2.4.7	tasyāḥ kumāram upastha ādadhyuḥ
2.4.8	tasmai śakaloṭān añjalāv āvapeyuḥ
2.4.9	phalāni vā
2.4.10	utthāpya kumāraṃ dhruvā ājyāhutīr juhoty aṣṭāv iha dhṛtir iti
2.4.11	samāptāsu samidham ādhāya yathāvayasaṃ gurūn gotreṇābhivadya yathārtham
2.5.1	athātaś caturthīkarma
2.5.2	agnim upasamādhāya prāyaścittājyāhutīr juhoty agne prāyaścitta iti catuḥ
2.5.3	agneḥ sthāne vāyucandrasūryāḥ
2.5.4	samasya pañcamīṃ bahuvadūhya
2.5.5	āhuter āhutes tu sampātam udapātre 'vanayet
2.5.6	tenaināṃ sakeśanakhām abhyajya hrāsayitvāplāvayanti
2.5.7	ūrdhvaṃ trirātrāt sambhava ity eke
