#Text:Hiraṇyakeśigṛhyasūtra
#Edition:Kirste (DCS version)



1.1.1	upanayanaṃ vyākhyāsyāmaḥ
1.2.5	apareṇāgniṃ prāṅmukha upaviśati
1.2.6	dakṣiṇato yajñopavītyācāntaḥ kumāra upaviśyānvārabhate
1.2.7	atha pariṣiñcati
1.2.8	adite 'numanyasveti dakṣiṇataḥ prācīnam
1.2.9	anumate 'numanyasveti paścādudīcīnaṃ sarasvate 'numanyasvety uttarataḥ prācīnam
1.2.10	deva savitaḥ prasuveti sarvataḥ pradakṣiṇam
1.2.11	pariṣicyedhmamaṅktvābhyādadhāty ayaṃ ta idhma ātmā jātavedas tenedhyasva vardhasva cenddhi vardhaya cāsmān prajayā paśubhirbrahmavarcasenānnādyena samedhaya svāheti
1.2.12	atha darvyā juhoti
1.2.13	uttaraṃ paridhisaṃdhim anvavahṛtya darvīṃ prajāpataye manave svāheti manasā dhyāyan dakṣiṇāprāñcamṛjuṃ dīrghaṃ saṃtataṃ juhoti
1.2.14	dakṣiṇaṃ paridhisaṃdhim anvavahṛtyendrāya svāheti prāñcamudañcamṛjum
1.2.15	āghārāvāghāryājyabhāgau juhoti
1.2.16	agnaye svāhetyuttarārdhapūrvārdhe somāya svāheti dakṣiṇārdhapūrvārdhe
1.2.17	tāvantareṇetarā juhoti
1.2.18	yukto vaha jātavedaḥ purastādagne viddhi karma kriyamāṇaṃ yathedaṃ tvaṃ bhiṣagbheṣajasyāsi kartā tvayā gā aśvān puruṣān sanema svāhā yā tiraścī nipadyase 'haṃ vidharaṇīti tāṃ tvā ghṛtasya dhārayāgnau saṃrādhanīṃ yaje svāhā saṃrādhanyai devyai svāhā prasādhanyai devyai svāheti
1.3.1	sarvadarvihomāṇām eṣa kalpaḥ
1.3.2	mantrānte nityaḥ svāhākāraḥ
1.3.3	amantrāsvamuṣmai svāheti yathādevatam
1.3.4	bhūr bhuvaḥ suvar iti vyāhṛtibhir juhotyekaikaśaḥ samastābhiśca
1.3.5	āyurdā agna ity eṣāyurdā deva jarasaṃ gṛṇāno ghṛtapratīko ghṛtapṛṣṭho agne ghṛtaṃ pibannamṛtaṃ cāru gavyaṃ piteva putraṃ jarase nayemaṃ svāhā
1.3.6	imaṃ me varuṇa tattvā yāmi tvaṃ no agne sa tvaṃ no agne tvam agne ayāsyayā sanmanasā hito 'yā san havyam ūhiṣeyā no dhehi bheṣajaṃ svāhā prajāpata ity eṣā
1.3.7	yadasya karmaṇītyarīricaṃ yadvā nyūnamihākaram agniṣ ṭat sviṣṭakṛd vidvān sarvaṃ sviṣṭaṃ suhutaṃ karotu me 'gnaye sviṣṭakṛte suhutahute sarvahuta āhutīnāṃ kāmānāṃ samardhayitre svāhety uttarārdhapūrvārdhe saṃsaktām itarābhir āhutībhirjuhoti
1.3.8	atraike jayābhyātānānrāṣṭrabhṛta ityupajuhvati purastāt sviṣṭakṛtaḥ
1.3.9	cittaṃ ca svāhā cittiśca svāheti jayāñjuhoti cittāya svāhā cittaye svāheti vā
1.3.10	agnir bhūtānām adhipatiḥ sa māvatv ityabhyātānān
1.3.11	asmin brahmannasmin kṣatra ityabhyātāneṣv anuṣajati
1.3.12	pitaraḥ pitāmahā iti prācīnāvītī juhotyupatiṣṭhate vā
1.3.13	ṛtāṣāḍ ṛtadhāmeti rāṣṭrabhṛtaḥ paryāyam anudrutya tasmai svāheti pūrvāmāhutiṃ juhoti tābhyaḥ svāhetyuttarām
1.3.14	agreṇottaraṃ paridhisaṃdhim aśmānaṃ nidhāya dakṣiṇena pādena
1.4.1	kumāram āsthāpayaty ātiṣṭhemam aśmānam aśmeva tvaṃ sthiro bhava pramṛṇīhi durasyūn sahasva pṛtanāyata iti
1.4.2	athainam ahataṃ vāsaḥ paridhāpayati pūrvaṃ nidhāya yā akṛntann avayan yā atanvata yāśca devīr antān abhito 'dadanta tāstvā devīr jarasā saṃvyayantv āyuṣmān idaṃ paridhatsva vāsaḥ paridhatta dhatta vāsasainaṃ śatāyuṣaṃ kṛṇuta dīrgham āyur bṛhaspatiḥ prāyacchad vāsa etat somāya rājñe paridātavā u jarāṃ gacchāsi paridhatsva vāso bhavā kṛṣṭīnām abhiśastipāvā śataṃ ca jīva śaradaḥ suvarcā rāyaśca poṣam upasaṃvyayasveti
1.4.3	paridhāpyābhimantrayate parīdaṃ vāso adhidhāḥ svastaye bhūr āpīṇām abhiśastipāvā śataṃ ca jīva śaradaḥ purūcīr vasūni cāyyo vibhajā sa jīvan iti
1.4.4	athainaṃ mekhalayā nābhideśe triḥ pradakṣiṇaṃ parivyayati dvirityeke yā duritā paribādhamānā śarmavarūthe punatī na āgāt prāṇāpānābhyāṃ balamāvahantī svasā devānāṃ subhagā mekhaleyam iti
1.4.5	uttarato nābhestrivṛtaṃ granthiṃ kṛtvā dakṣiṇato nābheḥ parikarṣati
1.4.6	athāsmā ajinam uttarīyaṃ karoti mitrasya cakṣurdharuṇaṃ dharīyas tejo yaśasvi sthaviraṃ samiddham anāhanasyaṃ vasanaṃ jariṣṇu parīdaṃ vājyajinaṃ dhatsvāsāv aditiste kakṣāṃ badhnātu vedasyānuvaktavai medhāyai śraddhāyā anūktasyānirākaraṇāya brahmaṇe brahmavarcasāyeti
1.4.7	kṛṣṇājinaṃ brāhmaṇasya rauravaṃ rājanyasya bastājinaṃ vaiśyasya
1.4.8	athainaṃ paridadāti / parīmamindra brahmaṇe mahe śrotrāya dadhmasy athainaṃ jarimā ṇayej jyok śrotre adhijāgarad iti brāhmaṇaṃ / parīmamindra brahmaṇe mahe rāṣṭrāya dadhmasy athainaṃ jarimā ṇayej jyog rāṣṭre adhijāgarad iti rājanyaṃ / parīmam indra brahmaṇe mahe poṣāya dadhmasy athainaṃ jarimā ṇayej jyokpoṣe adhijāgarad iti vaiśyam
1.4.9	tam apareṇāgnim udañcam upaveśya hutoccheṣaṇaṃ prāśayati tvayi medhāṃ tvayi prajām ityetaiḥ saṃnataiḥ
1.4.10	pṛṣadājyam eke prāśayanti
1.4.11	yoge yoge tavastaram imam agna āyuṣe varcase kṛdhīti dvābhyāṃ prāśnantaṃ samīkṣate
1.4.12	prāśayantyeke
1.4.13	ācāntam upasparśayitvābhimantrayate śatam innu śarado anti devā yatrā naś cakrā jarasaṃ tanūnāṃ putrāso yatra pitaro bhavanti mā no madhyā rīriṣatāyur gantor iti
1.5.1	āgantrā samaganmahi pra sa mṛtyuṃ yuyotanāriṣṭāḥ saṃcaremahi svasti caratād iha svastyā gṛhebhya iti pradakṣiṇam agniṃ parikrāmantam abhimantrayate
1.5.2	athainam abhivyāhārayati brahmacaryam āgām upa mā nayasva brahmacārī bhavāni devena savitrā prasūta iti
1.5.3	taṃ pṛcchati
1.5.4	ko nāmāsīti
1.5.5	asāv ityācaṣṭe yathānāmā bhavati
1.5.6	svasti deva savitar aham anenāmunodṛcam aśīyeti nāmanī gṛhṇāti
1.5.7	śaṃ no devīr abhiṣṭaya āpo bhavantu pītaye śaṃ yor abhisravantu na iti mārjayete
1.5.8	athāsya dakṣiṇena hastena dakṣiṇam aṃsam anvārabhya savyena savyaṃ vyāhṛtibhiḥ sāvitryeti dakṣiṇaṃ bāhum abhyātmann upanayate devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām upanaye 'sāv iti ca
1.5.9	athāsya dakṣiṇena hastena dakṣiṇaṃ hastaṃ sāṅguṣṭhaṃ gṛhṇāty agniṣ ṭe hastamagrabhīt somaste hastam agrabhīt savitā te hastam agrabhīt sarasvatī te hastam agrabhīt pūṣā te hastam agrabhīd bṛhaspatiste hastam agrabhīn mitraste hastamagrabhīd varuṇas te hastam agrabhīt tvaṣṭā te hastamagrabhīd dhātā te hastamagrabhīd viṣṇuste hastamagrabhīt prajāpatiste hastamagrabhīd iti
1.5.10	savitā tvābhirakṣatu mitras tvamasi dharmaṇāgnirācāryas tava devena savitrā prasūto bṛhaspaterbrahmacārī bhavāsāv apo 'śānaḥ samidha ādhehi karma kuru mā divā svāpsīr ityenaṃ saṃśāsti
1.5.11	athāsya dakṣiṇena hastena dakṣiṇamaṃsamuparyuparyanvavamṛśya hṛdayadeśamabhimṛśati mama hṛdaye hṛdayaṃ te astu mama cittaṃ cittenānvehi mama vācamekamanā juṣasva bṛhaspatis tvā niyunaktu mahyaṃ mām evānusaṃrabhasva mayi cittāni santu te mayi sāmīcyam astu te mahyaṃ vācaṃ niyacchatād iti
1.5.12	prāṇānāṃ granthirasi sa mā visrasa iti nābhideśam
1.5.13	bhūrbhuvaḥ suvaḥ suprajāḥ prajayā bhūyāsaṃ suvīro vīraiḥ suvarcā varcasā supoṣaḥ poṣaiḥ sumedhā medhayā subrahmā brahmacāribhir ityenamabhimantrya bhūr ṛkṣu tvāgnau pṛthivyāṃ vāci brahmaṇi dade 'sau bhuvo yajuḥṣu tvā vāyāvantarikṣe prāṇe brahmaṇi dade 'sau suvaḥ sāmasu tvā sūrye divi cakṣuṣi brahmaṇi dade 'sāv iṣṭaste priyo 'sāny asāv analasya te priyo 'sānyasāv idaṃ vatsyāvaḥ prāṇa āyuṣi vatsyāvaḥ prāṇa āyuṣi vasāsāv iti ca
1.5.14	athāsya dakṣiṇena hastena dakṣiṇaṃ hastaṃ sāṅguṣṭhaṃ gṛhṇāty agnirāyuṣmān iti pañcabhiḥ paryāyaiḥ
1.5.15	āyuṣ ṭe viśvato dadhad iti
1.6.1	dakṣiṇe karṇe japati
1.6.2	āyurdā agna ityuttare
1.6.3	agnau pṛthivyāṃ pratitiṣṭha vāyāvantarikṣe sūrye divi yāṃ svastim agnir vāyur ādityaś candramā āpo 'nusaṃcaranti tāṃ svastim anusaṃcarāsau prāṇasya brahmacāryabhūr asāv ity ubhayatrānuṣajati
1.6.4	medhāṃ ta indro dadātu medhāṃ devī sarasvatī medhāṃ te aśvināvubhāvādhattāṃ puṣkarasrajāv iti tasya mukhena mukhaṃ saṃnidhāya japati
1.6.5	athainaṃ paridadāti kaṣakāya tvā paridadāmy antakāya tvā paridadāmy aghorāya tvā paridadāmi gadāya tvā paridadāmi yamāya tvā paridadāmi makhāya tvā paridadāmi vaśinyai tvā paridadāmi pṛthivyai tvā savaiśvānarāyai paridadāmy adbhyastvā paridadāmy oṣadhībhyastvā paridadāmi vanaspatibhyastvā paridadāmi dyāvāpṛthivībhyāṃ tvā paridadāmi subhūtāya tvā paridadāmi brahmavarcasāya tvā paridadāmi viśvebhyastvā devebhyaḥ paridadāmi sarvebhyastvā bhūtebhyaḥ paridadāmi sarvābhyas tvā devatābhyaḥ paridadāmīti
1.6.6	atra sāvitrīṃ vācayati yadi purastād upeto bhavati
1.6.7	yady anupetas tryahe paryavete
1.6.8	sadyaḥ puṣkarasādiḥ
1.6.9	apareṇāgnim udagagraṃ kūrcaṃ nidhāya tasminprāṅmukha upaviśati rāṣṭrabhṛd asy ācāryāsandī mā tvad yoṣam iti
1.6.10	ādityāyāñjaliṃ kṛtvācāryāyopasaṃgṛhya dakṣiṇataḥ kumāra upaviśyādhīhi bho ity uktvāthāha sāvitrīṃ bho anubrūhīti
1.6.11	gaṇānāṃ tvā gaṇapatiṃ havāmaha ityenam abhimantryāthāsmai paccho 'gre 'nvāhāthārdharcaśo 'tha saṃtatāṃ bhūs tat savitur vareṇyaṃ bhuvo bhargo devasya dhīmahi suvardhiyo yo naḥ pracodayād bhūr bhuvas tat saviturvareṇyaṃ bhargo devasya dhīmahi suvardhiyo yo naḥ pracodayād bhūrbhuvaḥ suvas tat savitur vareṇyaṃ bhargo devasya dhīmahi dhiyo yo naḥ pracodayād iti
1.7.1	atha sapta pālāśīḥ samidha ārdrā apracchinnāgrāḥ prādeśamātrīr ghṛtānvaktā ābhyādhāpayati
1.7.2	agnaye samidhamāhārṣaṃ bṛhate jātavedase yathā tvamagne samidhā samidhyasa evaṃ māṃ medhayā prajñayā prajayā paśubhir brahmavarcasenānnādyena samedhaya svāhetyekām
1.7.3	agnaye samidhāv iti dve
1.7.4	agnaye samidha iti catasraḥ
1.7.5	atha pariṣiñcati yathā purastāt
1.7.6	anvamaṃsthāḥ prāsāvīr iti mantrāntān saṃnamati
1.7.7	atha devatā upatiṣṭhate
1.7.8	agne vratapate vrataṃ cariṣyāmītyagniṃ vāyo vratapata iti vāyum āditya vratapata ityādityaṃ vratānāṃ vratapata iti vratapatim
1.7.9	atra gurave varaṃ dadāti
1.7.10	udāyuṣety utthāpya sūryaiṣa te putras taṃ te paridadāmīti paridāya taccakṣurdevahitaṃ purastācchukram uccarat paśyema śaradaḥ śataṃ jīvema śaradaḥ śataṃ nandāma śaradaḥ śataṃ modāma śaradaḥ śataṃ bhavāma śaradaḥ śataṃ śṛṇavāma śaradaḥ śataṃ prabravāma śaradaḥ śatam ajitāḥ syāma śaradaḥ śataṃ jyok ca sūryaṃ dṛśa ityādityam upatiṣṭhate
1.7.11	agniṣ ṭa āyuḥ pratarāṃ kṛṇotv agniṣ ṭe puṣṭiṃ pratarāṃ dadhātv indro marudbhiriha te dadhātv ādityaste vasubhir ādadhātv iti daṇḍaṃ pradāyāmatraṃ prayacchati
1.7.12	athāha bhikṣācaryaṃ careti
1.7.13	sa mātaramevāgre bhikṣeta
1.7.14	ato 'nyeṣu rātikuleṣu
1.7.15	āhṛtya bhaikṣam iti gurave prāha
1.7.16	tatsubhaikṣam ityuktvā
1.7.17	yasya te prathamavāsyaṃ harāmastaṃ tvā viśve avantu devās taṃ tvā bhrātaraḥ suhṛdo vardhamānamanujāyantāṃ bahavaḥ sujātam iti prathamavāsyam asyādatte
1.7.18	upasthite 'nna odanasyāpūpānāṃ saktūnām iti samavadāya sarpirmiśrasya juhoty agnaye svāhā somāya svāhāgnaye 'nnādāya svāhāgnaye 'nnapataye svāhā prajāpataye svāhā viśvebhyo devebhyaḥ svāhā sarvābhyo devatābhyaḥ svāhāgnaye sviṣṭakṛte svāheti
1.7.19	sarvatraivam anādiṣṭadevate
1.7.20	amuṣmai svāheti yathādevatam ādiṣṭadevate
1.7.21	eteṣām evānnānāṃ samavadāya prāgagreṣu darbheṣu baliṃ karoti vāstupataye svāheti
1.7.22	trivṛtānnena brāhmaṇān pariviṣya puṇyāhaṃ svastyayanam ṛddhimiti vācayitvā
1.8.1	tryahavrataṃ carati
1.8.2	akṣāram alavaṇam aśamīdhānyaṃ bhuñjāno 'dhaḥśāyy amṛnmayapāyy aśūdrocchiṣṭy amadhumāṃsāśy adivāsvāpy ubhau kālau bhikṣācaryam udakumbham ity āharann aharahaḥ kāṣṭhakalāpam ubhau kālau sāyaṃ sāyaṃ vā samidho 'bhyādadhāti
1.8.3	purastāt pariṣecanād yathā ha tadvasavo gauryam iti pradakṣiṇamagniṃ parimṛjya pariṣiñcati yathā purastāt
1.8.4	vyāhṛtibhiḥ samidho 'bhyādadhāty ekaikaśaḥ samastābhiś caiṣā te agne samit tayā vardhasva cā ca pyāyasva vardhiṣīmahi ca vayam ā ca pyāsiṣīmahi svāhā medhāṃ ma indro dadātu medhāṃ devī sarasvatī medhāṃ me aśvināvubhāv ādhattāṃ puṣkarasrajau svāhāpsarāsu ca yā medhā gandharveṣu ca yanmano daivī medhā manuṣyajā sā māṃ medhā surabhirjuṣatāṃ svāhā ā māṃ medhā surabhir viśvarūpā hiraṇyavarṇā jagatī jagamyā ūrjasvatī payasā pinvamānā sā māṃ medhā supratīkā juṣatāṃ svāheti
1.8.5	tathaiva parimṛjya pariṣiñcati yathā purastāt
1.8.6	yatte agne tejas tenāham ityetair mantrair upatiṣṭhate mayi medhāṃ mayi prajām iti ca
1.8.7	tryahe paryavete tathaiva trivṛtānnena brāhmaṇān pariviṣya puṇyāhaṃ svastyayanam ṛddhim iti vācayitvā vrataṃ visṛjate 'gne vratapate vratam acāriṣam ityetaiḥ saṃnataiḥ
1.8.8	etad vrata evāta ūrdhvam
1.8.9	ācāryakulavāsy aśnāti kṣāraṃ lavaṇaṃ śamīdhānyamiti
1.8.10	daṇḍī jaṭī mekhalī
1.8.11	śikhājaṭo vā syāt
1.8.12	kāṣāyamajinaṃ vā vaste
1.8.13	na striyamupaiti
1.8.14	aṣṭācatvāriṃśadvarṣāṇi caturviṃśatiṃ dvādaśa yāvadgrahaṇaṃ vā
1.8.15	na tvevāvrataḥ syāt
1.8.16	kāṇḍopākaraṇe kāṇḍavisarge ca sadasaspatim adbhutaṃ priyam indrasya kāmyaṃ saniṃ medhām ayāsiṣaṃ svāheti kāṇḍarṣir dvitīya imaṃ me varuṇa tattvā yāmi tvaṃ no agne sa tvaṃ no agne tvamagne ayāsi prajāpate yad asya karmaṇo 'tyarīricam iti cātraike jayābhyātānān rāṣṭrabhṛta ity upajuhvati yathā purastāt
1.9.1	adhītya vedaṃ snānam
1.9.2	tadvyākhyāsyāmaḥ
1.9.3	udagayana āpūryamāṇapakṣe rohiṇyāṃ mṛgaśirasi tiṣya uttarayoḥ phalgunyorhaste citrāyāṃ viśākhayorvaiteṣu snāyāt
1.9.4	yatrāpastadgatvāgnimupasamādhāya vyāhṛtiparyantaṃ kṛtvā pālāśīṃ samidhamādadhātīmaṃ stomamarhate jātavedase ratham iva saṃmahemā manīṣayā bhadrā hi naḥ pramatirasya saṃsady agne sakhye mā riṣāmā vayaṃ tava svāheti
1.9.5	atha vyāhṛtibhirjuhoti yathā purastāt
1.9.6	tryāyuṣaṃ jamadagneḥ kaśyapasya tryāyuṣaṃ yaddevānāṃ tryāyuṣaṃ tanme astu tryāyuṣaṃ svāhā
1.9.7	imaṃ me varuṇa tattvā yāmi tvaṃ no agne sa tvaṃ no agne tvamagne ayāsi prajāpate yadasya karmaṇo 'tyarīricam iti cātraike jayābhyātānān rāṣṭrabhṛta ityupajuhvati yathā purastāt
1.9.8	brāhmaṇānannena pariviṣya puṇyāhaṃ svastyayanam ṛddhim iti vācayitvā vrataṃ visṛjate 'gne vratapate vratam acāriṣam ityetaiḥ
1.9.9	vrataṃ visṛjya ud u tyaṃ citram iti dvābhyām ādityam upatiṣṭhate
1.9.10	ud uttamaṃ varuṇa pāśam asmad ity uttarīyaṃ brahmacārivāso nidhāyānyat paridhāyāvādhamam ityantarīyaṃ vi madhyamam iti mekhalām athā vayam āditya vrata iti daṇḍaṃ mekhalāṃ daṇḍaṃ kṛṣṇājinaṃ cāpsu praveśyāpareṇāgniṃ prāṅmukha upaviśya kṣuraṃ saṃmṛśati kṣuro nāmāsi svadhitiste pitā namaste astu mā mā hiṃsīr iti
1.9.11	vaptre pradāyondanīyā apo 'bhimṛśati śivā no bhavatha saṃspṛśa iti
1.9.12	āpa undantu jīvase dīrghāyutvāya varcasa iti dakṣiṇaṃ godānamunatti
1.9.13	oṣadhe trāyasvainam ity ūrdhvāgrām oṣadhim antardadhāti
1.9.14	svadhite mainaṃ hiṃsīr iti kṣureṇābhinidadhāti
1.9.15	devaśrūr etāni pravapa iti pravapati
1.9.16	yatkṣureṇa marcayatā supeśasā vaptarvapasi keśaśmaśru varcayā mukhaṃ mā na āyuḥ pramoṣīr iti vaptāraṃ samīkṣate
1.9.17	śmaśrūṇyagre vāpayate 'thopapakṣāvatha keśān atha lomānyatha nakhāni
1.9.18	ānaḍuhe śakṛtpiṇḍe saṃyamya keśaśmaśrulomanakhānīdam aham amuṣyāmuṣyāyaṇasya pāpmānamavagūhāmīti goṣṭha udumbare darbhastambe vā nikhanati yo 'sya rātirbhavati
1.9.19	snāyanīyenotsādyaudumbareṇa dantān prakṣālayate
1.10.1	annādyāya vyūhadhvaṃ dīrghāyutvāya vyūhadhvaṃ brahmavarcasāya vyūhadhvaṃ dīrghāyur aham annādo brahmavarcasī bhūyāsamiti
1.10.2	athoṣṇaśītābhir adbhiḥ snāpayaty āpo hi ṣṭhā mayobhuva iti tisṛbhir hiraṇyavarṇāḥ śucayaḥ pāvakā iti catasṛbhiḥ pavamānaḥ suvarjana iti caitenānuvākena
1.10.3	goṣṭhe vāvacchādya saṃpariśritya purodayamādityasya praviśaty atra sarvaṃ kriyate nainam etad ahar ādityo 'bhitapatīty ekeṣāṃ snātānāṃ vā eṣa tejasā tapati ya eṣa tapati tasmātsnātakasya mukhaṃ rephāyatīva
1.10.4	āharantyasmai sarvasurabhi candanaṃ vā piṣṭaṃ tadabhyukṣya namo grahāya cābhigrahāya ca namaḥ śākajañjabhābhyāṃ namastābhyo devatābhyo yā abhigrāhiṇīr iti devebhyaḥ prācīnam añjaliṃ kṛtvā tenānulimpate 'psarāsu ca yo gandho gandharveṣu ca yadyaśo daivyo yo mānuṣo gandhaḥ sa mām āviśatād iheti
1.10.5	āharantyasmā ahate vāsasī te abhyukṣya somasya tanūrasi tanuvaṃ me pāhi svā mā tanūrāviśa śivā mā tanūr āviśety antarīyaṃ vāsaḥ paridhāyāpa upaspṛśya tathaivottarīyam apareṇāgniṃ prāṅmukha upaviśati
1.10.6	āharantyasmai kuṇḍale cāndanamaṇiṃ bādaraṃ vā suvarṇābhicchādanaṃ tadubhayaṃ darbheṇa prabadhyoparyagnau dhārayannabhijuhoty āyuṣyaṃ varcasyaṃ rāyaspoṣam audbhidam idaṃ hiraṇyam āyuṣe varcase jaitryāyāviśatāṃ māṃ svāhoccair vāji pṛtanāsāhaṃ sabhāsāhaṃ dhanaṃjayaṃ sarvāḥ samagrā ṛddhayo hiraṇye 'smin samābhṛtāḥ svāhā śunamahaṃ hiraṇyasya pituriva nāmāgrabhiṣaṃ taṃ mā hiraṇyavarcasaṃ karotu pūruṣu priyaṃ brahmavarcasinaṃ mā karotu svāhā priyaṃ mā kuru deveṣu priyaṃ mā brahmaṇi kuru priyaṃ viśyeṣu śūdreṣu priyaṃ mā kuru rājasu svāheyam oṣadhe trāyamāṇā sahamānā sahasvatī sā mā hiraṇyavarcasaṃ karotu pūruṣu priyaṃ brahmavarcasinaṃ mā karotu svāheti
1.10.7	etaireva pañcabhir asvāhākārais triḥ pradakṣiṇam udapātre 'nupariplāvya
1.11.1	virājaṃ ca svarājaṃ cābhiṣṭīr yā ca no gṛhe / lakṣmī rāṣṭrasya yā mukhe tayā mā saṃsṛjāmasīti kuṇḍale pratiharate dakṣiṇe karṇe dakṣiṇaṃ savye savyam
1.11.2	ṛtubhiṣṭvārtavair āyuṣe varcase / saṃvatsarasya dhāyasā tena sannanugṛhṇāsīti kuṇḍale saṃgṛhṇīte
1.11.3	iyamoṣadhe trāyamāṇā sahamānā sahasvatī / sā mā hiraṇyavarcasaṃ karotu pūruṣu priyaṃ brahmavarcasinaṃ mā karotv apāśo 'sīti grīvāyāṃ maṇiṃ pratimuñcate
1.11.4	śubhike śubhamāroha śobhayantī mukhaṃ mama / mukhaṃ ca mama śobhaya bhūyāṃsaṃ ca bhagaṃ kuru / yāmāharajjamadagniḥ śraddhāyai kāmāyāsyai / imāṃ tāṃ pratimuñce 'haṃ bhagena saha varcasā / iti dvābhyāṃ srajaṃ pratimuñcate
1.11.5	yadāñjanaṃ traikakudaṃ jātaṃ himavata upari / tena vām āñje 'haṃ bhagena saha varcasā / mayi parvatapūruṣam / iti traikakudenāñjanenāṅkte tasminn avidyamāne yenaiva kenacit
1.11.6	yanme manaḥ parāgatam / ityādarśe 'vekṣate
1.11.7	devasya tvā / iti vaiṇavaṃ daṇḍaṃ pratigṛhya / indrasya vajro 'sy aśvinau mā pātam / iti trirūrdhvamunmārṣṭi
1.11.8	vega vejayāsmad dviṣatas taskarān sarīsṛpāñchvāpadān rakṣāṃsi piśācān pauruṣeyād bhayānno daṇḍa rakṣa viśvasmād bhayād rakṣa sarvato jahi taskarān / anagnaḥ sarvavṛkṣeṣu jāyase tvaṃ sapatnahā / jahi śatrugaṇānsarvānsamantaṃ maghavāniva / iti triḥ pradakṣiṇamuparyupari śiraḥ pratiharate
1.11.9	pratiṣṭhe stho devate mā mā saṃtāptam / ityupānahāv adhyavarohati
1.11.10	prajāpateḥ śaraṇamasi brahmaṇaśchadiḥ / iti chattraṃ pratigṛhṇāti
1.11.11	yo me daṇḍaḥ parāpatad vihāyaso 'dhi bhūmyām / imaṃ taṃ punarādadeyamāyuṣe ca balāya ca / iti daṇḍaṃ punarādatte yadyasya hastāt patati
1.12.1	ānayantyasmai ratham aśvaṃ hastinaṃ vā
