#Text:Śāṅkhāyanagṛhyasūtra
#Edition:Oldenberg (DCS version)



1.1.1	athātaḥ pākayajñān vyākhyāsyāmaḥ
1.13.15	lājāñchamīpalāśamiśrān pitā bhrātā vā syād añjalāv āvapati
1.13.16	upastaraṇābhighāraṇapratyabhighāraṇaṃ cājyena
1.13.17	tān juhoti
1.14.1	iyaṃ nāry upabrūte lājān āvapantikā śivā jñātibhyo bhūyāsaṃ ciraṃ jīvatu me patiḥ svāheti tiṣṭhantī juhoti patir mantraṃ japati
1.14.2	aśmakramaṇādy evaṃ dvitīyam
1.14.3	evaṃ tṛtīyaṃ
1.14.4	tūṣṇīṃ kāmena caturthaṃ
1.14.5	prāgudīcyāṃ diśi sapta padāni prakramayati
1.14.6	iṣa ekapady ūrje dvipadī rāyaspoṣāya tripady āyobhavyāya catuṣpadī paśubhyaḥ pañcapady ṛtubhyaḥ ṣaṭpadī sakhā saptapadī bhaveti
1.14.7	tāny adbhiḥ śamayati
1.14.8	āpohiṣṭhīyābhis tisṛbhiḥ stheyābhir adbhir mārjayitvā
1.14.9	mūrdhany abhiṣicya
1.14.10	gāṃ dadānīty āha
1.14.11	brāhmaṇebhyaḥ kiṃcid dadyāt sarvatra sthālīpākādiṣu karmasu
1.14.12	sūryāṃ viduṣe vādhūyam
1.14.13	gaur brāhmaṇasya varaḥ
1.14.14	grāmo rājanyasya
1.14.15	aśvo vaiśyasya
1.14.16	adhirathaṃ śataṃ duhitṛmate
1.14.17	yājñikebhyo 'śvaṃ dadāti
1.15.1	pra tvā muñcāmīti tṛcaṃ gṛhāt pratiṣṭhamānāyāṃ
1.15.2	jīvaṃ rudantīti prarudantyām
1.15.3	atha rathākṣasyopāñjanaṃ patnī kurute 'kṣann amīmadantety etayā sarpiṣā
1.15.4	cakrayoḥ pūrvayā pūrvam uttarayottaram
1.15.5	usrau ca
1.15.6	phalavato vṛkṣasya śamyāgarteṣv ekaikāṃ vayāṃ nikhāya
1.15.7	nityā vābhimantrya
1.15.8	athosrau yuñjanti yuktas te astu dakṣiṇa iti dvābhyāṃ śukrāv anaḍvāhāv ity etenārdharcena yuktāv abhimantrya
1.15.9	atha yadi rathāṅgaṃ viśīryeta chidyeta vāhitāgner gṛhān kanyāṃ prapādya
1.15.10	abhi vyayasva khadirasyety etayā pratidadhyāt
1.15.11	tyaṃ cid aśvam iti granthim
1.15.12	svasti no mimītām iti pañcarcaṃ japati
1.15.13	sukiṃśukam iti ratham ārohantyām
1.15.14	mā vidan paripanthina iti catuṣpathe
1.15.15	ye vadhva iti śmaśāne
1.15.16	vanaspate śatavalśa iti vanaspatāv ardharcaṃ japati
1.15.17	sutrāmāṇam iti nāvam ārohantyām
1.15.18	aśmanvatīti nadīṃ tarantyām
1.15.19	api vā yuktenaiva
1.15.20	ud va ūrmir ity agādhe
1.15.21	aprekṣaṇaṃ ca
1.15.22	iha priyam iti sapta gṛhān prāptāyāḥ kṛtāḥ parihāpya
1.16.1	ānaḍuham ity uktaṃ
1.16.2	tasminn upaveśyānvārabdhāyāṃ patiś catasro juhoti
1.16.3	agninā devena pṛthivīlokena lokānām ṛgvedena vedānāṃ tena tvā śamayāmy asau svāhā / vāyunā devenāntarikṣalokena lokānāṃ yajurvedena vedānāṃ tena tvā śamayāmy asau svāhā / sūryena devena dyaurlokena lokānāṃ sāmavedena vedānāṃ tena tvā śamayāmy asau svāhā / candreṇa devena diśāṃ lokena lokānāṃ brahmavedena vedānāṃ tena tvā śamayāmy asau svāhā
1.16.4	bhūr yā te patighny alakṣmī devaraghnī jāraghnīṃ tāṃ karomy asau svāheti vā prathamayā mahāvyāhṛtyā prathamopahitā dvitīyayā dvitīyā tṛtīyayā tṛtīyā samastābhiś caturthī
1.16.5	aghoracakṣur ity ājyalepena cakṣuṣī vimṛjīta
1.16.6	kayā naś citra iti tisṛbhiḥ keśāntān abhimṛśya
1.16.7	uta tyā daivyā bhiṣajeti catasro 'nudrutyānte svāhākāreṇa mūrdhani saṃsrāvam
1.16.8	atra haike kumāram utsaṅgam ānayanty ubhayataḥ sujātam ā te yonim ity etayā
1.16.9	api vā tūṣṇīṃ
1.16.10	tasyāñjalau phalāni dattvā puṇyāhaṃ vācayati
1.16.11	puṃsavatī ha bhavati
1.16.12	ihaiva stam iti sūktaśeṣeṇa gṛhān prapādayanti
1.17.1	dadhikrāvṇo akāriṣam iti dadhi saṃpibeyātām
1.17.2	vāgyatāv āsīyātām ā dhruvadarśanāt
1.17.3	astamite dhruvaṃ darśayati dhruvaidhi poṣyā mayīti
1.17.4	dhruvaṃ paśyāmi prajāṃ vindeyeti brūyāt
1.17.5	trirātraṃ brahmacaryaṃ careyātām
1.17.6	adhaḥ śayīyātāṃ
1.17.7	dadhyodanaṃ saṃbhuñjīyātāṃ pibataṃ ca tṛpṇutaṃ ceti tṛcena
1.17.8	sāyaṃ prātar vaivāhyam agniṃ paricareyātām agnaye svāhāgnaye sviṣṭakṛte svāheti
1.17.9	pumāṃsau mitrāvaruṇau pumāṃsāv aśvināv ubhau pumān indraś cāgniś ca pumāṃsaṃ vardhatāṃ mayi svāheti pūrvāṃ garbhakāmā
1.17.10	daśarātram avipravāsaḥ
1.18.1	atha caturthīkarma
1.18.2	trirātre nivṛtte sthālīpākasya juhoti
1.18.3	agne prāyaścittir asi tvaṃ devānāṃ prāyaścittir asi yāsyāḥ patighnī tanūs tām asyā apajahi / vāyo prāyaścittir asi tvaṃ devānāṃ prāyaścittir asi yāsyā aputriyā tanūs tām asyā apajahi / sūrya prāyaścittir asi tvaṃ devānāṃ prāyaścittir asi yāsyā apaśavyā tanūs tām asyā apajahi / aryamaṇaṃ nu devaṃ kanyā agnim ayakṣata semāṃ devo aryamā preto muñcātu māmutaḥ / varuṇaṃ nu devaṃ kanyā agnim ayakṣata semāṃ devo varuṇaḥ preto muñcātu māmutaḥ / pūṣaṇaṃ nu devaṃ kanyā agnim ayakṣata semāṃ devaḥ pūṣā preto muñcātu māmutaḥ
1.18.4	prajāpata iti saptamī
1.18.5	sauviṣṭakṛty aṣṭamī
1.19.1	adhyāṇḍāmūlaṃ peṣayitvartuvelāyām udīrṣvātaḥ pativatīti dvābhyām ante svāhākārābhyāṃ nasto dakṣiṇato niṣiñcet
1.19.2	gandharvasya viśvāvasor mukham asīty upasthaṃ prajanayiṣyamāṇo 'bhimṛśet
1.19.3	samāpte 'rthe japet
1.19.4	prāṇe te reto dadhāmy asāv ity anuprāṇyāt
1.19.5	yathā bhūmir agnigarbhā yathā dyaur indreṇa garbhiṇī / vāyur yathā diśāṃ garbha evaṃ garbhaṃ dadhāmi te 'sāv iti vā
1.19.6	ā te yoniṃ garbha etu pumān bāṇa iveṣudhim / ā vīro atra jāyatāṃ putras te daśamāsyaḥ
1.19.7	pumāṃsaṃ putraṃ janaya taṃ pumān anujāyatām / teṣāṃ mātā bhaviṣyasi jātānāṃ janayāsi ca
1.19.8	puṃsi vai puruṣe retas tat striyām anuṣiñcatu / tathā tad abravīd dhātā tat prajāpatir abravīt
1.19.9	prajāpatir vyadadhāt savitā vyakalpayat / strīṣūyam anyāsv ādadhat pumāṃsam ādadhād iha
1.19.10	yāni bhadrāṇi bījāni puruṣā janayanti naḥ / tebhiṣ ṭvaṃ putraṃ janaya suprasūr dhenukā bhava
1.19.11	abhikranda vīḍayasva garbham ādhehi sādhaya / vṛṣāṇaṃ vṛṣann ādhehi prajāyai tvā havāmahe
1.19.12	vyasya yoniṃ patireto gṛbhāya pumān putro dhīyatāṃ garbhe antaḥ / taṃ pipṛhi daśamāsyo 'ntar udare sa jāyatāṃ śraiṣṭhyatamaḥ svānām iti vā
1.20.1	tṛtīye māsi puṃsavanaṃ
1.20.2	puṣyeṇa śravaṇena vā
1.20.3	somāṃśuṃ peṣayitvā kuśakaṇṭakaṃ vā nyagrodhasya vā skandhasyāntyāṃ śuṅgāṃ yūpasya vāgniṣṭhām
1.20.4	saṃsthite vā yajñe juhvaḥ saṃsrāvam
1.20.5	agninā rayiṃ tan nas turīpaṃ samiddhāgnir vanavat piśaṅgarūpa iti catasṛbhir antesvāhākārābhir nasto dakṣiṇato niṣiñcet
1.21.1	caturthe māsi garbharakṣaṇaṃ
1.21.2	brahmaṇāgniḥ saṃvidāna iti ṣaṭ sthālīpākasya hutvā
1.21.3	akṣībhyāṃ te nāsikābhyām iti pratyṛcam ājyalepenāṅgāny anuvimṛjya
1.22.1	saptame māsi prathamagarbhe sīmantonnayanaṃ
1.22.2	snātām ahatavāsasaṃ paścād agner upaveśya
1.22.3	anvārabdhāyāṃ mahāvyāhṛtibhir hutvā
1.22.4	sthālīpākaṃ śrapayitvā
1.22.5	mudgaudanam ity eke
1.22.6	puṃvad upakaraṇāni syur nakṣatraṃ ca
1.22.7	dhātā dadātu dāśuṣe prācīṃ jīvātum akṣitim / vayaṃ devasya dhīmahi sumatiṃ satyadharmaṇaḥ / dhātā prajāyā uta rāya īśe dhātedaṃ viśvaṃ bhuvanaṃ jajāna / dhātā putraṃ yajamānāya dātā tasmā u havyaṃ ghṛtavaj juhoteti nejameṣa parāpateti tisraḥ prajāpata iti ṣaṣṭhī
1.22.8	triḥśvetayā śalalyā darbhasūcyā vodumbaraśalāṭubhiḥ saha madhyād ūrdhvaṃ sīmantam unnayati bhūr bhuvaḥ svar iti
1.22.9	utsaṅge nidhāya
1.22.10	trivṛti pratimucya kaṇṭhe badhnāty ayam ūrjāvato vṛkṣa ūrjīva phalinī bhaveti
1.22.11	athāha vīṇāgāthino rājānaṃ saṃgāyateti
1.22.12	yo vāpy anyo vīratara iti
1.22.13	udapātre 'kṣatān avaninīya viṣṇur yoniṃ kalpayatu rākām aham iti ṣaﾱṛcena pāyayet
1.22.14	athāsyā udaram abhimṛśet
1.22.15	suparṇo 'si garutmāṃs trivṛt te śiro gāyatraṃ cakṣuḥ / chandāṃsy aṅgāni yajūṃṣi nāma sāma te tanūḥ
1.22.16	modamānīṃ gāpayet
1.22.17	mahāhemavatīṃ vā
1.22.18	ṛṣabho dakṣiṇā
1.23.1	kākātanyā macakacātanyāḥ kośātakyā bṛhatyāḥ kālaklītakasyeti mūlāni peṣayitvopalepayed deśaṃ yasmin prajāyeta rakṣasām apahatyai
1.24.1	atha jātakarma
1.24.2	jātaṃ kumāraṃ trir abhyavānyānuprāṇyād ṛcā prāṇihi yajuṣā samanihi sāmnodanihīti
1.24.3	sarpirmadhunī dadhyudake ca saṃninīya vrīhiyavau vā saṃnighṛṣya triḥ prāśayej jātarūpeṇa
1.24.4	pra te yacchāmi madhuman makhāya vedaṃ prasūtaṃ savitrā maghonāyuṣmān gupito devatābhiḥ śataṃ jīva śarado loke asminn ity asāv iti nāmāsya dadhāti ghoṣavadādy antarantasthaṃ dvyakṣaraṃ caturakṣaraṃ vāpi vā ṣaﾱakṣaraṃ kṛtaṃ kuryān na taddhitam
1.24.5	tad asya pitā mātā ca vidyātām
1.24.6	daśamyāṃ vyāvahārikaṃ brāhmaṇajuṣṭam
1.24.7	goḥ kṛṣṇasya śuklakṛṣṇāni lohitāni ca romāṇi maṣaṃ kārayitvaitasminn eva catuṣṭaye saṃninīya catuḥ prāśayed iti māṇḍūkeyaḥ
1.24.8	bhūr ṛgvedaṃ tvayi dadhāmy asau svāhā bhuvo yajurvedaṃ tvayi dadhāmy asau svāhā svaḥ sāmavedaṃ tvayi dadhāmy asau svāhā bhūr bhuvaḥ svar vākovākyam itihāsapurāṇam oṃ sarvān vedāṃs tvayi dadhāmy asau svāheti vā
1.24.9	medhājananaṃ dakṣiṇe karṇe vāg iti triḥ
1.24.10	vāg devī manasā saṃvidānā prāṇena vatsena sahendraproktā juṣatāṃ tvā saumanasāya devī mahī mandrā vāṇī vāṇīcī salilā svayaṃbhūr iti cānumantrayeta
1.24.11	śaṇasūtreṇa vigranthya jātarūpam
1.24.12	dakṣiṇe pāṇāv apinahyautthānāt
1.24.13	ūrdhvaṃ daśamyā brāhmaṇebhyo dadyāt
1.24.14	amā vā kurvīta
1.25.1	daśarātre cotthānaṃ
1.25.2	mātāpitarau śiraḥsnātāv ahatavāsasau
1.25.3	kumāraś ca
1.25.4	tasminn eva sūtikāgnau sthālīpākaṃ śrapayitvā
1.25.5	janmatithiṃ hutvā trīṇi ca bhāni sadaivatāni
1.25.6	tanmadhye juhuyād yasmin jātaḥ syāt pūrvaṃ tu daivataṃ sarvatra
1.25.7	āyuṣ ṭe adya gīrbhir ayam agnir vareṇyaḥ āyur no dehi jīvase āyurdā agne haviṣā vṛdhāno ghṛtapratīko ghṛtayonir edhi ghṛtaṃ pītvā madhu cāru gavyaṃ piteva putram iha rakṣatād imam iti tvaṃ soma mahe bhagam iti daśamī sthālīpākasya
1.25.8	nāmadheyaṃ prakāśaṃ kṛtvā
1.25.9	brāhmaṇān svasti vācya
1.25.10	evam eva māsi māsi janmatithiṃ hutvā
1.25.11	ūrdhvaṃ saṃvatsarād gṛhye 'gnau juhoti
1.26.1	agnaye kṛttikābhyaḥ
1.26.2	prajāpataye rohiṇyai
1.26.3	somāya mṛgaśirase
1.26.4	rudrāyārdrābhyaḥ
1.26.5	aditaye punarvasubhyām
1.26.6	bṛhaspataye puṣyāya
1.26.7	sarpebhyo 'śleṣābhyaḥ
1.26.8	pitṛbhyo maghābhyaḥ
1.26.9	bhagāya phalgunībhyām
1.26.10	aryamṇe phalgunībhyām
1.26.11	savitre hastāya
1.26.12	tvaṣṭre citrāyai
1.26.13	vāyave svātaye
1.26.14	indrāgnibhyāṃ viśākhābhyām
1.26.15	mitrāyānurādhāyai
1.26.16	indrāya jyeṣṭhāya
1.26.17	nirṛtyai mūlāya
1.26.18	adbhyo 'ṣāḍhābhyaḥ
