#Text:Pāraskaragṛhyasūtra
#Edition:Bakre (DCS version)



1.1.1	athāto gṛhyasthālīpākānāṃ karma
1.3.5	āharanti viṣṭaraṃ padyaṃ pādārtham udakam argham ācamanīyaṃ madhuparkaṃ dadhimadhughṛtamapihitaṃ kāṃsye kāṃsyena
1.3.6	anyastristriḥ prāha viṣṭarādīni
1.3.7	viṣṭaraṃ pratigṛhṇāti
1.3.8	varṣmo 'smi samānānām udyatāmiva sūryaḥ / imaṃ tamabhitiṣṭhāmi yo mā kaścābhidāsatīty enam abhyupaviśati
1.3.9	pādayoranyaṃ viṣṭara āsīnāya
1.3.10	savyaṃ pādaṃ prakṣālya dakṣiṇaṃ prakṣālayati
1.3.11	brāhmaṇaśceddakṣiṇaṃ prathamam
1.3.12	virājo doho'si virājo dohamaśīya mayi pādyāyai virājo doha iti
1.3.13	arghaṃ pratigṛhṇāty āpaḥ stha yuṣmābhiḥ sarvān kāmān avāpnavānīti
1.3.14	ninayannabhimantrayate samudraṃ vaḥ prahiṇomi svāṃ yonim abhigacchata / ariṣṭā asmākaṃ vīrā mā parāseci mat paya iti
1.3.15	ācāmaty ā māgan yaśasā saṃsṛja varcasā / taṃ mā kuru priyaṃ prajānāmadhipatiṃ paśūnām ariṣṭiṃ tanūnāmiti
1.3.16	mitrasya tveti madhuparkaṃ pratīkṣate
1.3.17	devasya tveti pratigṛhṇāti
1.3.18	savye pāṇau kṛtvā dakṣiṇasyānāmikayā triḥ prayauti namaḥ śyāvāsyāyānnaśane yat ta āviddhaṃ tatte niṣkṛntāmīti
1.3.19	anāmikāṅguṣṭhena ca trir nirukṣayati
1.3.20	tasya triḥ prāśnāti yanmadhuno madhavyaṃ paramaṃ rūpamannādyam / tenāhaṃ madhuno madhavyena parameṇa rūpeṇānnādyena paramo madhavyo 'nnādo 'sānīti
1.3.21	madhumatībhirvā pratyṛcam
1.3.22	putrāyāntevāsine vottarata āsīnāyocchiṣṭaṃ dadyāt
1.3.23	sarvaṃ vā prāśnīyāt
1.3.24	prāg vāsaṃcare ninayet
1.3.25	ācamya prāṇānt saṃmṛśati vāṅma āsye nasoḥ prāṇo 'kṣṇoścakṣuḥ karṇayoḥ śrotraṃ bāhvor balam ūrvorojo 'riṣṭāni me 'ṅgāni tanūstanvā me saheti
1.3.26	ācāntodakāya śāsam ādāya gauriti triḥ prāha
1.3.27	pratyāha / mātā rudrāṇāṃ duhitā vasūnāṃ svasādityānāmamṛtasya nābhiḥ / pra nu vocañ cikituṣe janāya mā gām anāgām aditiṃ vadhiṣṭa / mama cāmuṣya ca pāpmānaṃ hanomīti yadyālabheta
1.3.28	atha yady utsisṛkṣen mama cāmuṣya ca pāpmā hata omutsṛjata tṛṇānyattviti brūyāt
1.3.29	na tvevāmāṃso 'rghaḥ syāt
1.3.30	adhiyajñam adhivivāhaṃ kurutety eva brūyāt
1.3.31	yady apy asakṛt saṃvatsarasya somena yajeta kṛtārghyā evainaṃ yājayeyur nākṛtārghyā iti śruteḥ
1.4.1	catvāraḥ pākayajñā huto 'hutaḥ prahutaḥ prāśita iti
1.4.2	pañcasu bahiḥ śālāyāṃ vivāhe cūḍākaraṇa upanayane keśānte sīmantonnayana iti
1.4.3	upalipta uddhatāvokṣite 'gnim upasamādhāya
1.4.4	nirmanthyam eke vivāhe
1.4.5	udagayana āpūryamāṇapakṣe puṇyāhe kumāryāḥ pāṇiṃ gṛhṇīyāt
1.4.6	triṣu triṣūttarādiṣu
1.4.7	svātau mṛgaśirasi rohiṇyāṃ vā
1.4.8	tisro brāhmaṇasya varṇānupūrvyeṇa
1.4.9	dve rājanyasya
1.4.10	ekā vaiśyasya
1.4.11	sarveṣāṃ śūdrām apy eke mantravarjam
1.4.12	athaināṃ vāsaḥ paridhāpayati jarāṃ gaccha paridhatsva vāso bhavā kṛṣṭīnām abhiśastipāvā / śataṃ ca jīva śaradaḥ suvarcā rayiṃ ca putrān anusaṃvyayasvāyuṣmatīdaṃ paridhatsva vāsa iti
1.4.13	athottarīyam / yā akṛntann avayan yā atanvata / yāś ca devīs tantūn abhito tatantha / tās tvā devīr jarase saṃvyayasvāyuṣmatīdaṃ paridhatsva vāsa iti
1.4.14	athainau samañjayati / samañjantu viśve devāḥ sam āpo hṛdayāni nau / saṃ mātariśvā saṃ dhātā sam u deṣṭrī dadhātu nāv iti
1.4.15	pitrā prattām ādāya gṛhītvā niṣkrāmati / yad aiṣi manasā dūraṃ diśo 'nu pavamāno vā / hiraṇyaparṇo vaikarṇaḥ sa tvā manmanasāṃ karotv ity asāv iti
1.4.16	athainau samīkṣayati / aghoracakṣur apatighny edhi śivā paśubhyaḥ sumanāḥ suvarcāḥ / vīrasūr devakāmā syonā śaṃ no bhava dvipade śaṃ catuṣpade / somaḥ prathamo vivide gandharvo vivida uttaraḥ / tṛtīyo 'gniṣṭe patis turīyas te manuṣyajāḥ somo 'dadad gandharvāya gandharvo 'dadad agnaye / rayiṃ ca putrāṃś cādād agnir mahyam atho imām / sā naḥ pūṣā śivatamām airaya sā na ūrū uśatī vihara / yasyām uśantaḥ praharāma śepaṃ yasyām u kāmā bahavo niviṣṭyā iti
1.5.1	pradakṣiṇam agniṃ paryāṇīyaike
1.5.2	paścād agnes tejanīṃ kaṭaṃ vā dakṣiṇapādena pravṛtyopaviśati
1.5.3	anvārabdha āghārāv ājyabhāgau mahāvyāhṛtayaḥ sarvaprāyaścittaṃ prājāpatyaṃ sviṣṭakṛc ca
1.5.4	etan nityaṃ sarvatra
1.5.5	prāṅ mahāvyāhṛtibhyaḥ sviṣṭakṛd anyac ced ājyāddhaviḥ
1.5.6	sarvaprāyaścittaprājāpatyāntaram etad āvāpasthānaṃ vivāhe
1.5.7	rāṣṭrabhṛta icchañ jayābhyātānāṃś ca jānan
1.5.8	yena karmaṇertsed iti vacanāt
1.5.9	cittaṃ ca cittiś cākūtaṃ cākūtiś ca vijñātaṃ ca vijñātiś ca manaś ca śakvarīś ca darśaś ca paurṇamāsaṃ ca bṛhac ca rathantaraṃ ca / prajāpatir jayān indrāya vṛṣṇe prāyacchad ugraḥ pṛtanā jayeṣu / tasmai viśaḥ samanamanta sarvāḥ sa ugraḥ sa ihavyo babhūva svāheti
1.5.10	agnir bhūtānām adhipatiḥ sa māvatv indro jyeṣṭhānāṃ yamaḥ pṛthivyā vāyur antarikṣasya sūryo divaś candramā nakṣatrāṇāṃ bṛhaspatir brahmaṇo mitraḥ satyānāṃ varuṇo 'pāṃ samudraḥ srotyānām annaṃ sāmrājyānām adhipatis tanmāvatu soma oṣadhīnāṃ savitā prasavānāṃ rudraḥ paśūnāṃ tvaṣṭā rūpāṇāṃ viṣṇuḥ parvatānāṃ maruto gaṇānām adhipatayas te māvantu pitaraḥ pitāmahāḥ pare 'vare tatāstatāmahāḥ / iha māvantv asmin brahmaṇy asmin kṣatre 'syām āśiṣyasyāṃ purodhāyām asmin karmaṇy asyāṃ devahūtyāṃ svāheti sarvatrānuṣajati
1.5.11	agnir aitu prathamo devatānāṃ so 'syai prajāṃ muñcatu mṛtyupāśāt / tad ayaṃ rājā varuṇo 'numanyatāṃ yatheyaṃ strī pautram aghaṃ na rodāt svāhā / imām agnis trāyatāṃ gārhapatyaḥ prajām asyai nayatu dīrgham āyuḥ / aśūnyopasthā jīvatām astu mātā pautram ānandam abhivibudhyatām iyaṃ svāhā / svasti no agne diva ā pṛthivyā viśvāni dhehyayathā yajatra yad asyāṃ mahi divi jātaṃ praśastaṃ tad asmāsu draviṇaṃ dhehi citraṃ svāhā / sugaṃ nu panthāṃ pradiśan na ehi jyotiṣmad dhehy ajaraṃ na āyuḥ / apaitu mṛtyur amṛtaṃ na āgād vaivasvato no abhayaṃ kṛṇotu svāheti
1.5.12	paraṃ mṛtyav iti caike prāśanānte
1.6.1	kumāryā bhrātā śamīpalāśamiśrāṃl lājān añjalināñjalāv āvapati
1.6.2	tāñ juhoti saṃhatena tiṣṭhatī aryamaṇaṃ devaṃ kanyā agnim ayakṣata / sa no aryamā devaḥ preto muñcatu mā pateḥ svāhā / iyaṃ nāry upabrūte lājān āvapantikā / āyuṣmān astu me patir edhantāṃ jñātayo mama svāhā / imāṃl lājān āvapāmy agnau samṛddhikaraṇaṃ tava / mama tubhyaṃ ca saṃvananaṃ tad agnir anumanyatām iyaṃ svāheti
1.6.3	athāsyai dakṣiṇaṃ hastam gṛhṇāti sāṅguṣṭhaṃ gṛbhṇāmi te saubhagatvāya hastaṃ mayā patyā jaradaṣṭir yathāsaḥ / bhago 'ryamā savitā purandhir mahyaṃ tvādurgārhapatyāya devāḥ / amo 'ham asmi sā tvaṃ sā tvam asy amo 'ham / sāmāham asmi ṛk tvaṃ dyaur ahaṃ pṛthivī tvaṃ tāv ehi vivahāvahai saha reto dadhāvahai prajāṃ prajanayāvahai putrān vindāvahai bahūn te santu jaradaṣṭayaḥ saṃpriyau rociṣṇū sumanasyamānau paśyema śaradaḥ śataṃ jīvema śaradaḥ śataṃ śṛṇuyāma śaradaḥ śatam iti
1.7.1	athainām aśmānam ārohayaty uttarato 'gner dakṣiṇapādena ārohemam aśmānam aśmeva tvaṃ sthirā bhava / abhitiṣṭha pṛtanyato 'vabādhasva pṛtanāyata iti
1.7.2	atha gāthāṃ gāyati sarasvati predam ava subhage vājinīvatī / yāṃ tvā viśvasya bhūtasya prajāyām asyāgrataḥ / yasyāṃ bhūtaṃ samabhavad yasyāṃ viśvam idaṃ jagat / tām adya gāthāṃ gāsyāmi yā strīṇām uttamaṃ yaśa iti
1.7.3	atha parikrāmataḥ tubhyam agre paryavahan sūryāṃ vahatunā saha / punaḥ patibhyo jāyāṃ dā agne prajayā saheti
1.7.4	evaṃ dvir aparaṃ lājādi
1.7.5	caturthaṃ śūrpakuṣṭhayā sarvāṃl lājān āvapati bhagāya svāheti
1.7.6	triḥ pariṇītāṃ prājāpatyaṃ hutvā
1.8.1	athainām udīcīṃ saptapadāni prakrāmayati ekam iṣe dve ūrje trīṇi rāyaspoṣāya catvāri māyobhavāya pañca paśubhyaḥ ṣaḍ ṛtubhyaḥ sakhe saptapadā bhava sā mām anuvratā bhava
1.8.2	viṣṇus tvā nayatv iti sarvatrānuṣajati
1.8.3	niṣkramaṇaprabhṛty udakumbhaṃ skandhe kṛtvā dakṣiṇato 'gner vāgyataḥ sthito bhavati
1.8.4	uttarata ekeṣām
1.8.5	tata enāṃ mūrdhany abhiṣiñcati āpaḥ śivāḥ śivatamāḥ śāntāḥ śāntatamās tās te kṛṇvantu bheṣajam iti
1.8.6	āpo hi ṣṭheti ca tisṛbhiḥ
1.8.7	athaināṃ sūryam udīkṣayati tac cakṣur iti
1.8.8	athāsyai dakṣiṇāṃsam adhi hṛdayam ālabhate mama vrate te hṛdayaṃ dadhāmi mama cittam anu cittaṃ te astu mama vācam ekamanā juṣasva prajāpatiṣ ṭvā niyunaktu mahyam iti
1.8.9	athainām abhimantrayate sumaṅgalīr iyam vadhūr imāṃ sameta paśyata saubhāgyam asyai dattvāyāthāstaṃ viparetaneti
1.8.10	tāṃ dṛḍhapuruṣa unmathya prāg vodag vānugupta āgāra ānaḍuhe rohite carmaṇy upaveśayati iha gāvo niṣīdantv ihāśvā iha pūruṣāḥ / iho sahasradakṣiṇo yajña iha pūṣā niṣīdantv iti
1.8.11	grāmavacanaṃ ca kuryuḥ
1.8.12	vivāhaśmaśānayor grāmaṃ praviśatād iti vacanāt
1.8.13	tasmāt tayor grāmaḥ pramāṇam iti śruteḥ
1.8.14	ācāryāya varaṃ dadāti
1.8.15	gaur brāhmaṇasya varaḥ
1.8.16	grāmo rājanyasya
1.8.17	aśvo vaiśyasya
1.8.18	adhirathaṃ śataṃ duhitṛmate
1.8.19	astamite dhruvaṃ darśayati / dhruvam asi dhruvaṃ tvā paśyāmi dhruvaidhi poṣye mayi mahyaṃ tvādād bṛhaspatir mayā patyā prajāvatī saṃjīva śaradaḥ śatam iti
1.8.20	sā yadi na paśyet paśyāmīty eva brūyāt
1.8.21	trirātram akṣārālavaṇāśinau syātām adhaḥ śayīyātāṃ saṃvatsaraṃ na mithunam upeyātāṃ dvādaśarātraṃ ṣaḍrātraṃ trirātram antataḥ
1.9.1	upayamanaprabhṛtyaupāsanasya paricaraṇam
1.9.2	astamitānuditayor dadhnā taṇḍulair akṣatair vā
1.9.3	agnaye svāhā prajāpataye svāheti sāyam
1.9.4	sūryāya svāhā prajāpataye svāheti prātaḥ
1.9.5	pumāṃsau mitrāvaruṇau pumāṃsāv aśvināv ubhau pumān indraś ca sūryaś ca pumāṃsaṃ vartatāṃ mayi punaḥ svāheti pūrvāṃ garbhakāmā
1.10.1	rājño 'kṣabhede naddhavimokṣe yānaviparyāse 'nyasyāṃ vā vyāpattau striyāś codvahane tam evāgnim upasamādhāyājyaṃ saṃskṛtyeha ratir iti juhoti nānāmantrābhyām
1.10.2	anyad yānam upakalpya tatropaveśayedrājānaṃ striyaṃ vā prati kṣatra iti yajñāntenā tvāhārṣam iti caitayā
1.10.3	dhuryau dakṣiṇā
1.10.4	prāyaścittiḥ
1.10.5	tato brāhmaṇabhojanam
1.11.1	caturthyām apararātre 'bhyantarato 'gnim upasamādhāya dakṣiṇato brahmāṇam upaveśyottarata udapātraṃ pratiṣṭhāpya sthālīpākaṃ śrapayitvājyabhāgāv iṣṭvājyāhutīr juhoti
1.11.2	agne prāyaścitte tvaṃ devānāṃ prāyaścittir asi brāhmaṇas tvā nāthakāma upadhāvāmi yāsyai patighnī tanūs tām asyai nāśaya svāhā / vāyo prāyaścitte tvaṃ devānāṃ prāyaścittir asi brāhmaṇas tvā nāthakāma upadhāvāmi yāsyai prajāghnī tanūs tām asyai nāśaya svāhā / sūrya prāyaścitte tvaṃ devānāṃ prāyaścittir asi brāhmaṇas tvā nāthakāma upadhāvāmi yāsyai paśughnī tanūs tām asyai nāśaya svāhā / candra prāyaścitte tvaṃ devānāṃ prāyaścittir asi brāhmaṇas tvā nāthakāma upadhāvāmi yāsyai gṛhaghnī tanūs tām asyai nāśaya svāhā / gandharva prāyaścitte tvaṃ devānāṃ prāyaścittir asi brāhmaṇas tvā nāthakāma upadhāvāmi yāsyai yaśoghnī tanūs tām asyai nāśaya svāheti
1.11.3	sthālīpākasya juhoti prajāpataye svāheti
1.11.4	hutvā hutvaitāsām āhutīnām udapātre saṃsravānt samavanīya tata enāṃ mūrdhany abhiṣiñcati / yā te patighnī prajāghnī paśughnī gṛhaghnī yaśoghnī ninditā tanūr jāraghnīṃ tata enāṃ karomi sā jīrya tvaṃ mayā sahāsāv iti
1.11.5	athaināṃ sthālīpākaṃ prāśayati prāṇais te prāṇānt saṃdadhāmy asthibhir asthīni māṃsair māṃsāni tvacā tvacam iti
1.11.6	tasmād evaṃvicchrotriyasya dāreṇa nopahāsam icched uta hy evaṃvitparo bhavati
1.11.7	tām uduhya yathartu praveśanam
1.11.8	yathākāmī vā kāmam ā vijanitoḥ saṃbhavāmeti vacanāt
1.11.9	athāsyai dakṣiṇāṃsam adhi hṛdayam ālabhate / yat te susīme hṛdayaṃ divi candramasi śritam / vedāhaṃ tan māṃ tad vidyāt paśyema śaradaḥ śataṃ jīvema śaradaḥ śataṃ śṛṇuyāma śaradaḥ śatam iti
1.11.10	evam ata ūrdhvam
1.12.1	pakṣādiṣu sthālīpākaṃ śrapayitvā darśapūrṇamāsadevatābhyo hutvā juhoti brahmaṇe prajāpataye viśvebhyo devebhyo dyāvāpṛthivībhyām iti
1.12.2	viśvebhyo devebhyo baliharaṇaṃ bhūtagṛhyebhya ākāśāya ca
1.12.3	vaiśvadevasyāgnau juhotyagnaye svāhā prajāpataye svāhā viśvebhyo devebhyaḥ svāhāgnaye sviṣṭakṛte svāheti
1.12.4	bāhyataḥ strī baliṃ harati namaḥ striyai namaḥ puṃse vayase vayase namaḥ śuklāya kṛṣṇadantāya pāpīnāṃ pataye / namaḥ ye me prajām upalobhayanti grāme vasanta uta vāraṇye tebhyo namo 'stu balimebhyo harāmi svasti me 'stu prajāṃ me dadatviti
1.12.5	śeṣam adbhiḥ praplāvya tato brāhmaṇabhojanam
1.13.1	sā yadi garbhaṃ na dadhīta siṃhyāḥ śvetapuṣpyā upoṣya puṣyeṇa mūlam utthāpya caturthe 'hani snātāyāṃ niśāyām udapeṣaṃ piṣṭvā dakṣiṇasyāṃ nāsikāyāmāsiñcati / iyam oṣadhī trāyamāṇā sahamānā sarasvatī asyā ahaṃ bṛhatyāḥ putraḥ pituriva nāma jagrabhamiti
1.14.1	atha puṃsavanam
1.14.2	purā spandata iti māse dvitīye tṛtīye vā
1.14.3	yadahaḥ puṃsā nakṣatreṇa candramā yujyeta tad ahar upavāsyāplāvyāhate vāsasī paridhāpya nyagrodhāvarohāñchuṅgāṃśca niśāyām udapeṣaṃ piṣṭvā pūrvavad āsecanaṃ hiraṇyagarbho 'dbhyaḥ saṃbhṛta ityetābhyām
1.14.4	kuśakaṇṭakaṃ somāṃśuṃ caike
1.14.5	kūrmapittaṃ copasthe kṛtvā sa yadi kāmayeta vīryavānt syād iti vikṛtyainamabhimantrayate suparṇo'sīti prāgviṣṇukramebhyaḥ
1.15.1	atha sīmantonnayanam
1.15.2	puṃsavanavat
1.15.3	prathamagarbhe māse ṣaṣṭhe'ṣṭame vā
1.15.4	tilamudgamiśraṃ sthālīpākaṃ śrapayitvā prajāpater hutvā paścād agner bhadrapīṭha upaviṣṭāyā yugmena saṭālugrapsenaudumbareṇa tribhiśca darbhapiñjūlais tryeṇyā śalalyā vīrataraśaṅkunā pūrṇacātreṇa ca sīmantam ūrdhvaṃ vinayati bhūrbhuvaḥ svariti
1.15.5	pratimahāvyāhṛtibhir vā
1.15.6	trivṛtamābadhnāti / ayam ūrjāvato vṛkṣa urjīva phalinī bhaveti
1.15.7	athāha vīṇāgāthinau rājānaṃ saṃgāyetām yo vāpyanyo vīratara iti
1.15.8	niyuktāmapyeke gāthām upodāharanti / soma eva no rājemā mānuṣīḥ prajāḥ / avimuktacakra āsīraṃstīre tubhyamasāviti yāṃ nadīm upāvasitā bhavati tasyā nāma gṛhṇāti
1.15.9	tato brāhmaṇabhojanam
1.16.1	soṣyantīm adbhir abhyukṣati / ejatu daśamāsya iti prāgyasyai ta iti
1.16.2	athāvarāvapatanam / avaitu pṛśniśevalaṃ śune jarāyvattave / naiva māṃsena pīvarīṃ na kasmiṃścanāyatanam ava jarāyu padyatāmiti
1.16.3	jātasya kumārasyācchinnāyāṃ nāḍyāṃ medhājananāyuṣye karoti
1.16.4	anāmikayā suvarṇāntarhitayā madhughṛte prāśayati ghṛtaṃ vā bhūs tvayi dadhāmi bhuvas tvayi dadhāmi svas tvayi dadhāmi bhūr bhuvaḥ svaḥ sarvaṃ tvayi dadhāmīti
1.16.5	athāsyāyuṣyaṃ karoti
1.16.6	nābhyāṃ dakṣiṇe vā karṇe japati agnir āyuṣmānt sa vanaspatibhir āyuṣmāṃstena tvāyuṣāyuṣmantaṃ karomi / soma āyuṣmānt sa oṣadhībhir āyuṣmāṃs tenatvāyuṣāyuṣmantaṃ karomi / brahmāyuṣmat tad brāhmaṇair āyuṣmat tena tvāyuṣāyuṣmantaṃ karomi / devā āyuṣmantas te 'mṛtenāyuṣmantas tena tvāyuṣāyuṣmantaṃ karomi / ṛṣaya āyuṣmantaste vratair āyuṣmantastena tvāyuṣāyuṣmantaṃ karomi / pitara āyuṣmantaste svadhābhir āyuṣmantastena tvāyuṣāyuṣmantaṃ karomi / yajña āyuṣmānt sa dakṣiṇābhir āyuṣmāṃstena tvāyuṣāyuṣmantaṃ karomi / samudra āyuṣmānt sa sravantībhir āyuṣmāṃstena tvāyuṣāyuṣmantaṃ karomīti
1.16.7	tris tris tryāyuṣamiti ca
1.16.8	sa yadi kāmayeta sarvamāyuriyāditi vātsapreṇainam abhimṛśet
1.16.9	divas parīty etasyānuvākasyottamām ṛcaṃ pariśinaṣṭi
1.16.10	pratidiśaṃ pañca brāhmaṇān avasthāpya brūyād imam anuprāṇiteti
1.16.11	pūrvo brūyāt prāṇeti
1.16.12	vyāneti dakṣiṇaḥ
1.16.13	apānetyaparaḥ
1.16.14	udānetyuttaraḥ
1.16.15	samāneti pañcama upariṣṭādavekṣamāṇo brūyāt
1.16.16	svayam vā kuryād anuparikrāmam avidyamāneṣu
1.16.17	sa yasmin deśe jāto bhavati tam abhimantrayate veda te bhūmi hṛdayaṃ divi candramasi śritam / vedāhaṃ tanmāṃ tad vidyāt paśyema śaradaḥ śataṃ jīvema śaradaḥ śataṃ śṛṇuyāma śaradaḥ śatam iti
1.16.18	athainam abhimṛśaty aśmā bhava paraśur bhava hiraṇyam asrutaṃ bhava / ātmā vai putranāmāsi sa jīva śaradaḥ śatamiti
1.16.19	athāsya mātaram abhimantrayata iḍāsi maitrāvaruṇī vīre vīramajījanathāḥ / sā tvaṃ vīravatī bhava yāsmān vīravato 'karaditi
1.16.20	athāsyai dakṣiṇaṃ stanaṃ prakṣālya prayacchatīmaṃ stanamiti
1.16.21	yaste stana ityuttaram etābhyām
1.16.22	udapātraṃ śirasto nidadhāty āpo deveṣu jāgratha yathā deveṣu jāgratha / evam asyāṃ sūtikāyāṃ saputrikāyāṃ jāgratheti
1.16.23	dvāradeśe sūtikāgnim upasamādhāyotthānāt saṃdhivelayoḥ phalīkaraṇamiśrān sarṣapān agnāv āvapati śaṇḍāmarkā upavīraḥ śauṇḍikeya ulūkhalaḥ / malimluco droṇāsaś cyavano naśyatāditaḥ svāhā / ālikhannanimiṣaḥ kiṃvadanta upaśrutirharyakṣaḥ kumbhī śatruḥ pātrapāṇirnṛmaṇirhantrīmukhaḥ sarṣapāruṇaś cyavano naśyatād itaḥ svāheti
1.16.24	yadi kumāra upadravejjālena pracchādyottarīyeṇa vā pitāṅka ādhāya japati kūrkuraḥ sukūrkuraḥ kūrkuro bālabandhanaḥ / ceccecchunaka sṛja namaste astu sīsaro lapetāpahvara tat satyam / yat te devā varam adaduḥ sa tvaṃ kumārameva vā vṛṇīthāḥ / ceccecchunaka sṛja namaste astu sīsaro lapetāpahvara tatsatyam / yat te saramā mātā sīsaraḥ pitā śyāmaśabalau bhrātarau ceccecchunaka sṛja namaste astu sīsaro lapetāpahvareti
1.16.25	abhimṛśati na nāmayati na rudati na hṛṣyati na glāyati yatra vayaṃ vadāmo yatra cābhimṛśāmasīti
1.17.1	daśamyām utthāpya brāhmaṇān bhojayitvā pitā nāma karoti
1.17.2	dvyakṣaraṃ caturakṣaraṃ vā ghoṣavad ādyantarantasthaṃ dīrghābhiniṣṭhānaṃ kṛtaṃ kuryānna taddhitam
1.17.3	ayujākṣaram ākārāntaṃ striyai taddhitam
1.17.4	śarma brāhmaṇasya varma kṣatriyasya gupteti vaiśyasya
1.17.5	caturthe māsi niṣkramaṇikā
1.17.6	sūryam udīkṣayati taccakṣuriti
1.18.1	proṣyetya gṛhānupatiṣṭhate pūrvavat
1.18.2	putraṃ dṛṣṭvā japati aṅgādaṅgāt sambhavasi hṛdayād adhijāyase / ātmā vai putranāmāsi sa jīva śaradaḥ śatamiti
1.18.3	athāsya mūrdhānam avajighrati / prajāpateṣ ṭvā hiṃkāreṇāvajighrāmi sahasrāyuṣāsau jīva śaradaḥ śatamiti
1.18.4	gavāṃ tvā hiṃkāreṇeti ca trir dakṣiṇe 'sya karṇe japati / asme prayandhi maghavann ṛjīṣinn indra rāyo viśvavārasya bhūreḥ / asme śataṃ śarado jīvase dhā asme vīrāñ śaśvata indra śiprinniti
1.18.5	indra śreṣṭhāni draviṇāni dhehi cittiṃ dakṣasya subhagatvam asme / poṣaṃ rayīṇāmariṣṭiṃ tanūnāṃ svādmānaṃ vācaḥ sudinatvam ahnāmiti savye
1.18.6	striyai tu mūrdhānam evāvajighrati tūṣṇīm
1.19.1	ṣaṣṭhe māse 'nnaprāśanam
1.19.2	sthālīpākaṃ śrapayitvājyabhāgāviṣṭvājyāhutī juhoti devīṃ vācamajanayanta devāstāṃ viśvarūpāḥ paśavo vadanti / sā no mandreṣamūrjaṃ duhānā dhenur vāg asmān upa suṣṭutaitu svāheti
1.19.3	vājo no adyeti ca dvitīyām
1.19.4	sthālīpākasya juhoti prāṇenānnam aśīya svāhāpānena gandhān aśīya svāhā cakṣuṣā rūpāṇyaśīya svāhā śrotreṇa yaśo 'śīya svāheti
1.19.5	prāśanānte sarvān rasānt sarvam annamekata uddhṛtyāthainaṃ prāśayet
1.19.6	tūṣṇīṃ hanteti vā hantakāraṃ manuṣyā iti śruteḥ
1.19.7	bhāradvājyā māṃsena vākprasārakāmasya
1.19.8	kapiñjalamāṃsenānnādyakāmasya
1.19.9	matsyair javanakāmasya
1.19.10	kṛkaṣāyā āyuṣkāmasya
1.19.11	āṭyā brahmavarcasakāmasya
1.19.12	sarvaiḥ sarvakāmasya
1.19.13	annaparyāyo vā tato brāhmaṇabhojanam annaparyāya vā tato brāhmaṇabhojanam
2.1.1	śrīḥ / sāṃvatsarikasya cūḍākaraṇam
2.1.2	tṛtīye vāpratihate
2.1.3	ṣoḍaśavarṣasya keśāntaḥ
2.1.4	yathāmaṅgalaṃ vā sarveṣām
2.1.5	brāhmaṇānbhojayitvā mātā kumāram ādāyāplāvyāhate vāsasī paridhāpyāṅka ādhāya paścādagnerupaviśati
2.1.6	anvārabdha ājyāhutīr hutvā prāśanānte śītāsv apsūṣṇā āsiñcatyuṣṇena vāya udakenehy adite keśānvapeti
2.1.7	keśaśmaśrviti ca keśānte
2.1.8	athātra navanītapiṇḍaṃ ghṛtapiṇḍaṃ dadhno vā prāsyati
2.1.9	tata ādāya dakṣiṇaṃ godānamundati / savitrā prasūtā daivyā āpa undantu te tanūṃ dīrghāyutvāya varcasa iti
2.1.10	tryeṇyā śalalyā vinīya trīṇi kuśataruṇānyantardadhātyoṣadha iti
