#Text:Āśvalāyanagṛhyasūtra
#Edition:Stenzler (DCS version)



1.1.1	uktāni vaitānikāni gṛhyāni vakṣyāmaḥ
1.7.19	athainām aparājitāyāṃ diśi sapta padāny abhyutkrāmayatīṣa ekapady ūrje dvipadī rāyaspoṣāya tripadī māyobhavyāya catuṣpadī prajābhyaḥ pañcapady ṛtubhyaḥ ṣaṭpadī sakhā saptapadī bhava sā mām anuvratā bhava / putrān vindāvahai bahūṃs te santu jaradaṣṭaya iti
1.7.20	ubhayoḥ saṃnidhāya śirasī udakumbhenāvasicya
1.7.21	brāhmaṇyāś ca vṛddhāyā jīvapatyā jīvaprajāyā agāra etāṃ rātriṃ vaset
1.7.22	dhruvam arundhatīṃ saptarṣīn iti dṛṣṭvā vācaṃ visṛjeta jīvapatnī prajāṃ vindeyeti
1.8.1	prayāṇa upapadyamāne pūṣā tveto nayatu hastagṛhyeti yānam ārohayet
1.8.2	aśmanvatī rīyate saṃrabhadhvam ity ardharcena nāvam ārohayet
1.8.3	uttareṇotkramayet
1.8.4	jīvaṃ rudantīti rudatyām
1.8.5	vivāhāgnim agrato 'jasraṃ nayanti
1.8.6	kalyāṇeṣu deśavṛkṣacatuṣpatheṣu mā vidan paripanthina iti japet
1.8.7	vāse vāse sumaṅgalīr iyaṃ vadhūr itīkṣakān īkṣeta
1.8.8	iha priyaṃ prajayā te samṛdhyatām iti gṛhaṃ praveśayet
1.8.9	vivāhāgnim upasamādhāya paścād asyānaḍuhaṃ carmāstīrya prāggrīvam uttaraloma tasminn upaviṣṭāyāṃ samanvārabdhāyām ā naḥ prajāṃ janayatu prajāpatir iti catasṛbhiḥ pratyṛcaṃ hutvā samañjantu viśve devā iti dadhnaḥ prāśya pratiprayacched ājyaśeṣeṇa vānakti hṛdaye
1.8.10	ata ūrdhvam akṣārālavaṇāśinau brahmacāriṇāvalaṃkurvāṇāvadhaḥśāyinau syātām trirātraṃ dvādaśarātram
1.8.11	saṃvatsaraṃ vaika ṛṣir jāyata iti
1.8.12	caritavrataḥ sūryāvide vadhūvastraṃ dadyāt
1.8.13	annaṃ brāhmaṇebhyaḥ
1.8.14	atha svastyayanaṃ vācayīta
1.9.1	pāṇigrahaṇādi gṛhyaṃ paricaret svayaṃ patny api vā putraḥ kumāry antevāsī vā
1.9.2	nityānugṛhītaḥ syāt
1.9.3	yadi tūpaśāmyet patny upavased ity eke
1.9.4	tasyāgnihotreṇa prāduṣkaraṇahomakālau vyākhyātau
1.9.5	haumyaṃ ca māṃsavarjam
1.9.6	kāmaṃ tu vrīhiyavatilaiḥ
1.9.7	agnaye svāheti sāyaṃ juhuyāt sūryāya svāheti prātas tūṣṇīṃ dvitīye ubhayatra
1.10.1	atha pārvaṇasthālīpākaḥ
1.10.2	tasya darśapūrṇamāsābhyām upavāsaḥ
1.10.3	idhmābarhiṣoś ca saṃnahanam
1.10.4	devatāś copāṃśuyājendramahendravarjam
1.10.5	kāmyā itarāḥ
1.10.6	tasyai tasyai devatāyai caturaś caturo muṣṭīn nirvapati pavitre antardhāya amuṣmai tvā juṣṭaṃ nirvapāmīti
1.10.7	athainān prokṣati yathāniruptam amuṣmai tvā juṣṭaṃ prokṣāmīti
1.10.8	avahatāṃstriḥ phalīkṛtān nānā śrapayet
1.10.9	samopya vā
1.10.10	yadi nānā śrapayed vibhajya taṇḍulān abhimṛśed idam amuṣmā idam amuṣmā iti
1.10.11	yady u vai samopya vyuddhāram juhuyāt
1.10.12	śṛtāni havīṃṣyabhighārya udag udvāsya barhiṣy āsādyedhmam abhighāryāyaṃ ta idhma ātmā jātavedas tenedhyasva vardhasva ceddha vardhaya ca asmān prajayā paśubhir brahmavarcasenānnādyena samedhaya svāhā iti
1.10.13	tūṣṇīm āghārāvāghārya ājyabhāgau juhuyād agnaye svāhā somāya svāheti
1.10.14	uttaram āgneyam dakṣiṇam saumyam
1.10.15	vijñāyate cakṣuṣī vā ete yajñasya yad ājyabhāgau
1.10.16	tasmāt puruṣasya pratyaṅmukhasyāsīnasya dakṣiṇam akṣy uttaram bhavaty uttaraṃ dakṣiṇam
1.10.17	madhye havīṃṣi pratyaktaram vā prāksaṃsthāny udaksaṃsthāni vā
1.10.18	uttarapurastāt sauviṣṭakṛtam
1.10.19	madhyāt pūrvārdhācca haviṣo 'vadyati
1.10.20	madhyāt pūrvārdhāt paścārdhād iti pañcāvattinām
1.10.21	uttarārdhāt sauviṣṭakṛtam
1.10.22	nātra havīṃṣi pratyabhighārayati
1.10.23	yad asya karmaṇo 'tyarīricam yad vā nyūnam ihākaram agniṣ ṭat sviṣṭakṛd vidvānt sarvaṃ sviṣṭaṃ suhutaṃ karotu me agnaye sviṣṭakṛte suhutahute sarvaprāyaścittāhutīnāṃ kāmānāṃ samardhayitre sarvānnaḥ kāmānt samardhaya svāheti
1.10.24	barhiṣi pūrṇapātraṃ ninayet
1.10.25	eṣo 'vabhṛthaḥ
1.10.26	pākayajñānām etat tantram
1.10.27	havirucchiṣṭaṃ dakṣiṇā
1.11.1	atha paśukalpaḥ
1.11.2	uttarato 'gneḥ śāmitrasya āyatanaṃ kṛtvā pāyayitvā paśum āplāvya purastāt pratyaṅmukham avasthāpyāgniṃ dūtam iti dvābhyāṃ hutvā sapalāśayārdraśākhayā paścād upaspṛśed amuṣmai tvā juṣṭam upākaromīti
1.11.3	vrīhiyavamatībhir adbhiḥ purastāt prokṣaty amuṣmai tvā juṣṭaṃ prokṣāmīti
1.11.4	tāsāṃ pāyayitvā dakṣiṇam anu bāhuṃ śeṣaṃ ninayet
1.11.5	āvṛtaiva paryagnikṛtvodañcaṃ nayanti
1.11.6	tasya purastād ulmukaṃ haranti
1.11.7	śāmitra eṣa bhavati
1.11.8	vapāśrapaṇībhyāṃ kartā paśum anvārabhate
1.11.9	kartāraṃ yajamānaḥ
1.11.10	paścāt śāmitrasya prākśirasaṃ pratyakśirasam vodakpādaṃ saṃjñapya purā nābhes tṛṇam antardhāya vapām utkhidya vapām avadāya vapāśrapaṇībhyāṃ parigṛhyādbhir abhiṣicya śāmitre pratāpyāgreṇainam agniṃ hṛtvā dakṣiṇata āsīnaḥ śrapayitvā parītya juhuyāt
1.11.11	etasminn evāgnau sthālīpākaṃ śrapayanti
1.11.12	ekādaśa paśor avadānāni sarvāṅgebhyo 'vadāya śāmitre śrapayitvā hṛdayaṃ śūle pratāpya sthālīpākasyāgrato juhuyāt
1.11.13	avadānair vā saha
1.11.14	ekaikasyāvadānasya dvir dvir avadyati
1.11.15	āvṛtaiva hṛdayaśūlena caranti
1.12.1	caityayajñe prāk sviṣṭakṛtaś caityāya baliṃ haret
1.12.2	yady u vai videśasthaṃ palāśadūtena
1.12.3	yatra vettha vanaspata ity etayarcā dvau piṇḍau kṛtvā vīvadhe 'bhyādhāya dūtāya prayacched imaṃ tasmai baliṃ hareti cainaṃ brūyāt
1.12.4	ayaṃ tubhyam iti yo dūtāya
1.12.5	pratibhayaṃ ced antarā śastram api kiṃcit
1.12.6	nāvyā cen nadyantarā plavarūpam api kiṃcid anena taritavyam iti
1.12.7	dhanvantariyajñe brāhmaṇam agniṃ cāntarā purohitāyāgre baliṃ haret
1.13.1	upaniṣadi garbhalambhanaṃ puṃsavanam anavalobhanaṃ ca
1.13.2	yadi nādhīyāt tṛtīye garbhamāse tiṣyeṇopoṣitāyāḥ sarūpavatsāyā gor dadhani dvau dvau tu māṣau yavaṃ ca dadhiprasṛtena prāśayet
1.13.3	kiṃ pibasi kiṃ pibasīti pṛṣṭā puṃsavanaṃ puṃsavanam iti triḥ pratijānīyāt
1.13.4	evaṃ trīn prasṛtān
1.13.5	athāsyai maṇḍalāgāracchāyāyāṃ dakṣiṇasyāṃ nāsikāyām ajītām oṣadhīṃ nastaḥ karoti
1.13.6	prajāvajjīvaputrābhyāṃ haike
1.13.7	prājāpatyasya sthālīpākasya hutvā hṛdayadeśam asyā ālabheta / yatte susīme hṛdaye hitam antaḥ prajāpatau / manye 'haṃ māṃ tadvidvāṃsaṃ māhaṃ pautram agham niyāmiti
1.14.1	caturthe garbhamāse sīmantonnayanam
1.14.2	āpūryamāṇapakṣe yadā puṃsā nakṣatreṇa candramā yuktaḥ syāt
1.14.3	athāgnim upasamādhāya paścād asyānaḍuhaṃ carma āstīrya prāggrīvam uttaraloma tasminn upaviṣṭāyāṃ samanvārabdhāyām dhātā dadātu dāśuṣa iti dvābhyām rākām aham iti dvābhyām nejameṣa prajāpate na tvad etāny anya iti ca
1.14.4	athāsyai yugmena śalāṭugrapsena treṇyā ca śalalyā tribhiś ca kuśapiñjūlair ūrdhvaṃ sīmantaṃ vyūhati bhūr bhuvaḥ svar om iti triḥ
1.14.5	catur vā
1.14.6	vīṇāgāthinau saṃśāsti somaṃ rājānaṃ saṃgāyetām iti
1.14.7	somo no rājāvatu mānuṣīḥ prajā niviṣṭacakrāsāv iti yāṃ nadīm upavasitā bhavanti
1.14.8	brāhmaṇyaśca vṛddhā jīvapatyo jīvaprajā yad yad upadiśeyus tat tat kuryuḥ
1.14.9	ṛṣabho dakṣiṇā
1.15.1	kumāram jātaṃ purānyair ālambhāt sarpirmadhunī hiraṇyanikāṣaṃ hiraṇyena prāśayet pra te dadāmi madhuno ghṛtasya vedaṃ savitrā prasūtam maghonām / āyuṣmān gupto devatābhiḥ śatam jīva śarado loke 'sminn iti
1.15.2	karṇayor upanidhāya medhājananam japati medhāṃ te devaḥ savitā medhāṃ devī sarasvatī / medhāṃ te 'śvinau devāv ādhattāṃ puṣkarasrajāv iti
1.15.3	aṃsāv abhimṛśaty aśmā bhava paraśur bhava hiraṇyam astṛtaṃ bhava / vedo vai putranāmāsi sa jīva śaradaḥ śatam iti indra śreṣṭhāni draviṇāni dhehy asme prayandhi maghavann ṛjīṣinn iti ca
1.15.4	nāma cāsmai dadyur ghoṣavadādy antarantastham abhiniṣṭānāntaṃ dvyakṣaram
1.15.5	caturakṣaraṃ vā
1.15.6	dvyakṣaraṃ pratiṣṭhākāmaś caturakṣaraṃ brahmavarcasakāmaḥ
1.15.7	yugmāni tv eva puṃsām ayujāni strīṇām
1.15.8	abhivādanīyaṃ ca samīkṣeta tan mātāpitarau vidyātām opanayanāt
1.15.9	pravāsād etya putrasya śiraḥ parigṛhya japaty aṅgād aṅgāt sambhavasi hṛdayād adhi jāyase / ātmā vai putranāmāsi sa jīva śaradaḥ śatam iti mūrdhani trir avaghrāya
1.15.10	āvṛtaiva kumāryai
1.16.1	ṣaṣṭhe māsy annaprāśanam
1.16.2	ājam annādyakāmaḥ
1.16.3	taittiraṃ brahmavarcasakāmaḥ
1.16.4	ghṛtaudanaṃ tejaskāmaḥ
1.16.5	dadhimadhughṛtamiśram annaṃ prāśayed annapate 'nnasya no dehy anamīvasya śuṣmiṇaḥ / pra pradātāraṃ tāriṣa ūrjaṃ no dhehi dvipade catuṣpada iti
1.16.6	āvṛtaiva kumāryai
1.17.1	tṛtīye varṣe caulaṃ yathā kuladharmaṃ vā
1.17.2	uttarato 'gner vrīhiyavamāṣatilānāṃ pṛthak pūrṇaśarāvāṇi nidadhāti
1.17.3	paścāt kārayiṣyamāṇo mātur upastha ānaḍuham gomayaṃ nave śarāve śamīparṇāni ca upanihitāni bhavanti
1.17.4	mātuḥ pitā dakṣiṇata ekaviṃśatikuśapiñjūlāny ādāya
1.17.5	brahmā vaitāni dhārayet
1.17.6	paścāt kārayiṣyamāṇasyāvasthāya śītoṣṇā apaḥ samānīyoṣṇena vāya udakenehīti
1.17.7	tāsāṃ gṛhītvā navanītaṃ dadhidrapsān vā pradakṣiṇaṃ śiras trir undaty aditiḥ keśān vapatv āpa undantu varcasa iti
1.17.8	dakṣiṇe keśapakṣe trīṇi trīṇi kuśapiñjūlāny abhyātmāgrāṇi nidadhāty oṣadhe trāyasva enam iti
1.17.9	svadhite mainaṃ hiṃsīr iti niṣpīḍya lauhena kṣureṇa
1.17.10	pracchinatti yena āvapat savitā kṣureṇa somasya rājño varuṇasya vidvān / tena brahmāṇo vapatedam asyāyuṣmān jaradaṣṭir yathāsad iti
1.17.11	pracchidya pracchidya prāgagrāṃ śamīparṇaiḥ saha mātre prayacchati tān ānaḍuhe gomaye nidadhāti
1.17.12	yena dhātā bṛhaspater agner indrasya cāyuṣe 'vapat / tena ta āyuṣe vapāmi suślokyāya svastaya iti dvitīyam
1.17.13	yena bhūyaś ca rātryām jyok ca paśyāti sūryaṃ tena ta āyuṣe vapāmi suślokyāya svastaya iti tṛtīyam
1.17.14	sarvair mantraiś caturtham
1.17.15	evam uttaratas triḥ
1.17.16	kṣuratejo nimṛjed yat kṣureṇa marcayatā supeśasā vaptā vapasi keśān / śuddhiṃ śiro māsyāyuḥ pramoṣīr iti
1.17.17	nāpitaṃ śiṣyācchītoṣṇābhir adbhir abarthaṃ kurvāṇo akṣaṇvan kuśalī kurviti
1.17.18	yathā kuladharmaṃ keśaveśān kārayet
1.17.19	āvṛtaiva kumāryai
1.18.1	etena godānam
1.18.2	ṣoḍaśe varṣe
1.18.3	keśaśabde tu śmaśruśabdān kārayet
1.18.4	śmaśrūṇīhondati
1.18.5	śuddhiṃ śiro mukham māsyāyuḥ pramoṣīr iti
1.18.6	keśaśmaśrulomanakhāny udaksaṃsthāni kurv iti saṃpreṣyati
1.18.7	āplutya vāgyataḥ sthitvāhaḥśeṣam ācāryasakāśe vācaṃ visṛjeta varaṃ dadāmīti
1.18.8	gomithunaṃ dakṣiṇā
1.18.9	saṃvatsaram ādiśet
1.19.1	aṣṭame varṣe brāhmaṇam upanayet
1.19.2	garbhāṣṭame vā
1.19.3	ekādaśe kṣatriyam
1.19.4	dvādaśe vaiśyam
1.19.5	ā ṣoḍaśād brāhmaṇasyānatītaḥ kālaḥ
1.19.6	ā dvāviṃśāt kṣatriyasya
1.19.7	ā caturviṃśād vaiśyasya
1.19.8	ata ūrdhvaṃ patitasāvitrīkā bhavanti
1.19.9	nainān upanayen nādhyāpayen na yājayen na ebhir vyavahareyuḥ
1.19.10	alaṃkṛtaṃ kumāraṃ kuśalīkṛtaśirasam ahatena vāsasā saṃvītam aiṇeyena vājinena brāhmaṇaṃ rauraveṇa kṣatriyam ājena vaiśyam
1.19.11	yadi vāsāṃsi vasīran raktāni vasīran kāṣāyaṃ brāhmaṇo māñjiṣṭhaṃ kṣatriyo hāridraṃ vaiśyaḥ
1.19.12	teṣām mekhalā mauñjī brāhmaṇasya dhanurjyā kṣatriyasyāvī vaiśyasya
1.19.13	teṣāṃ daṇḍāḥ pālāśo brāhmaṇasyaudumbaraḥ kṣatriyasya bailvo vaiśyasya
1.20.1	sarve vā sarveṣām
1.20.2	samanvārabdhe hutvottarato 'gneḥ prāṅmukha ācāryo 'vatiṣṭhate
1.20.3	purastāt pratyaṅmukha itaraḥ
1.20.4	apām añjalī pūrayitvā tat savitur vṛṇīmaha iti pūrṇenāsya pūrṇam avakṣārayaty āsicya devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ hastaṃ gṛhṇāmy asāv iti tasya pāṇinā pāṇiṃ sāṅguṣṭhaṃ gṛhṇīyāt
1.20.5	savitā te hastam agrabhīd asāv iti dvitīyam
1.20.6	agnir ācāryas tavāsāv iti tṛtīyam
1.20.7	ādityam īkṣayed deva savitar eṣa te brahmacārī taṃ gopāya sa mā mṛta ity ācāryaḥ
1.20.8	kasya brahmacāryasi prāṇasya brahmacāryasi kastvā kam upanayate kāya tvā paridadāmīti
1.20.9	yuvā suvāsāḥ parivīta āgād ity ardharcena enaṃ pradakṣiṇam āvartayet
1.20.10	tasyādhyaṃsau pāṇī kṛtvā hṛdayadeśam ālabhetottareṇa
1.20.11	agniṃ parisamuhya brahmacārī tūṣṇīṃ samidham ādadhyāt tūṣṇīṃ vai prājāpatyaṃ prājāpatyo brahmacārī bhavatīti vijñāyate
1.21.1	mantreṇa haike 'gnaye samidham āhārṣaṃ bṛhate jātavedase / tayā tvam agne vardhasva samidhā brahmaṇā vayaṃ svāheti
1.21.2	samidham ādhāyāgnim upaspṛśya mukhaṃ nimārṣṭi tris tejasā mā samanajmīti
1.21.3	tejasā hy evātmānaṃ samanaktīti vijñāyate
1.21.4	mayi medhām mayi prajām mayyagnis tejo dadhātu / mayi medhām mayi prajām mayīndra indriyaṃ dadhātu / mayi medhām mayi prajām mayi sūryo bhrājo dadhātu / yat te 'gne tejas tenāhaṃ tejasvī bhūyāsam / yat te 'gne varcas tenāhaṃ varcasvī bhūyāsam / yat te 'gne haras tenāhaṃ harasvatī bhūyāsam ityupasthāya jānvācyopasaṃgṛhya brūyād adhīhi bho sāvitrīṃ bho anubrūhīti
1.21.5	tasya vāsasā pāṇibhyāṃ ca pāṇī saṃgṛhya sāvitrīm anvāha paccho 'rdharcaśaḥ sarvām
1.21.6	yathāśakti vācayīta
1.21.7	hṛdayadeśe 'sya ūrdhvāṅguliṃ pāṇim upadadhāti mama vrate hṛdayaṃ te dadhāmi mama cittam anu cittaṃ te 'stu / mama vācam ekavrato juṣasva bṛhaspatiṣ ṭvā niyunaktu mahyam iti
1.22.1	mekhalām ābadhya daṇḍaṃ pradāya brahmacaryam ādiśet
1.22.2	brahmacāryasy apo aśāna karma kuru divā mā svāpsīr ācāryādhīno vedam adhīṣveti
1.22.3	dvādaśa varṣāṇi vedabrahmacaryaṃ grahaṇāntaṃ vā
1.22.4	sāyaṃ prātar bhikṣeta
1.22.5	sāyaṃ prātaḥ samidham ādadhyāt
1.22.6	apratyākhyāyinam agre bhikṣeta
1.22.7	apratyākhyāyinīṃ vā
1.22.8	bhavān bhikṣāṃ dadātv iti
1.22.9	anupravacanīyam iti vā
1.22.10	tad ācāryāya vedayīta
1.22.11	tiṣṭhed ahaḥśeṣam
1.22.12	astamite brahmaudanam anupravacanīyaṃ śrapayitvācāryāya vedayīta
1.22.13	ācāryaḥ samanvārabdhe juhuyāt sadasaspatim adbhutam iti
1.22.14	sāvitryā dvitīyam
1.22.15	yad yat kiṃcāta ūrdhvam anūktaṃ syāt
1.22.16	ṛṣibhyas tṛtīyam
1.22.17	sauviṣṭakṛtaṃ caturtham
1.22.18	brāhmaṇān bhojayitvā vedasamāptiṃ vācayīta
1.22.19	ata ūrdhvam akṣārālavaṇāśī brahmacāry adhaḥśāyī trirātraṃ dvādaśarātraṃ saṃvatsaraṃ vā
1.22.20	caritavratāya medhājananaṃ karoti
1.22.21	aninditāyāṃ diśyekamūlaṃ palāśaṃ kuśastambaṃ vā palāśāpacāre pradakṣiṇam udakumbhena triḥ pariṣiñcantaṃ vācayati suśravaḥ suśravā asi yathā tvaṃ suśravaḥ suśravā asy evam māṃ suśravaḥ sauśravasaṃ kuru / yathā tvaṃ devānāṃ yajñasya nidhipo asy evam aham manuṣyāṇāṃ vedasya nidhipo bhūyāsam iti
1.22.22	etena vāpanādi paridānāntaṃ vratādeśanaṃ vyākhyātam
1.22.23	ity anupetapūrvasya
1.22.24	athopetapūrvasya
1.22.25	kṛtākṛtaṃ keśavapanam
1.22.26	medhājananaṃ ca
1.22.27	aniruktaṃ paridānam
1.22.28	kālaśca
1.22.29	tat savitur vṛṇīmaha iti sāvitrīm
1.23.1	ṛtvijo vṛṇīte 'nyūnānatiriktāṅgān ye mātṛtaḥ pitṛtaś ceti yathoktaṃ purastāt
1.23.2	yūna ṛtvijo vṛṇīta ity eke
1.23.3	brahmāṇam eva prathamaṃ vṛṇīte 'tha hotāram athādhvaryum athodgātāram
1.23.4	sarvān vā ye 'hīnaikāhair yājayanti
1.23.5	sadasyaṃ saptadaśaṃ kauṣītakinaḥ samāmananti sa karmaṇām upadraṣṭā bhavatīti
1.23.6	tad uktam ṛgbhyāṃ yam ṛtvijo bahudhā kalpayanta iti
1.23.7	hotāram eva prathamaṃ vṛṇīte
1.23.8	agnir me hotā sa me hotā hotāraṃ tvā amuṃ vṛṇa iti hotāram
