#Text:Mānavagṛhyasūtra
#Edition:Knauer (DCS version)



1.1.1	upanayanaprabhṛti vratacārī syāt
1.4.17	upākṛtyotsṛjya ca tryahaṃ pañcarātram eke
1.4.18	vedārambhaṇe samāptau cākālam
1.5.1	athāto 'ntarakalpaṃ vyākhyāsyāmaḥ
1.5.2	darbhamayaṃ vāsaḥ paridhāyācamyāpāṃ naptra iti tīre japitvāpo 'vagāhya oṃ bhūrbhuvaḥ svas tat savituriti
1.5.3	darbhapāṇis triḥ sāvitrīm adhīte trīṃścādito 'nuvākān
1.5.4	āpo devīr haviṣmatīr imā nigrābhyāḥ stha mahi trīṇām avo 'stu agner āyur asi devīr āpo apāṃ napād devīr āpo madhumatīr agnaye svāhā rātrīṃ rātrīm ity aṣṭau
1.5.5	yā oṣadhayaḥ samanyā yanti punantu mā pitaro 'gner manve sa śevṛdham adhidhāḥ kayā naś citra ābhuvad ūtīti tisraḥ
1.5.6	tacchaṃyor āvṛṇīmaha iti mārjayitvā vāsāṃsy utsṛjyācāryān pitṛdharmeṇa tarpayanti
1.5.7	śrāddhakalpena śeṣo vyākhyātaḥ
1.6.1	athāto 'gniṃ pravartayanti
1.6.2	uttarato grāmasya purastād vā śucau deśe vedyākṛtiṃ kṛtvāhavanīyasthāne sapta chandāṃsi pratiṣṭhāpya viṣṭarān darbhamuṣṭīn vā dakṣiṇāgnisthāne praugākṛtiṃ kausitaṃ khātvā paścād utkaram apāṃ pūrayitvā gārhapatyasthāne 'gniṃ praṇīya yuñjānaḥ prathamaṃ mana ity aṣṭau hutvākūtam agniṃ prayujaṃ svāheti ṣaḍ juhoti viśvo devasya netur iti saptamīm
1.6.3	yajñiyānāṃ samidhāṃ trīṃstrīn samitpūlān upakalpya prāk sviṣṭakṛtas tiṣṭhanto vyāhṛtipūrvakaṃ khaṇḍilasyāditas tribhir anuvākair ekaikena svāhākārāntābhir ādadhati
1.6.4	āpohiṣṭīyābhiḥ kausitān mārjayitvā dhānābhir brāhmaṇān svasti vācayanti dhānābhir brāhmaṇān svasti vācayanti
1.7.1	athopaniṣadarhāḥ / brahmacārī sucaritī medhāvī karmakṛd dhanadaḥ priyo vidyāṃ vā vidyayānveṣyan
1.7.2	tāni tīrthāni brahmaṇaḥ
1.7.3	bhāryāṃ vindate
1.7.4	kṛttikāsvātipūrvair iti varayet
1.7.5	rohiṇīmṛgaśiraḥśravaṇaśraviṣṭhottarāṇīty upayame tathodvāhe yad vā puṇyoktam
1.7.6	pañca vivāhakārakāṇi bhavanti vittaṃ rūpaṃ vidyā prajñā bāndhava iti
1.7.7	ekālābhe vittaṃ visṛjed dvitīyālābhe rūpaṃ tṛtīyālābhe vidyāṃ prajñāyāṃ bāndhava iti ca vivahante
1.7.8	bandhumatīṃ kanyām aspṛṣṭamaithunām upayaccheta samānavarṇām asamānapravarāṃ yavīyasīṃ nagnikāṃ śreṣṭhām
1.7.9	vijñānam asyāḥ kuryād aṣṭau loṣṭān āharet sītāloṣṭaṃ vediloṣṭaṃ dūrvāloṣṭaṃ gomayaloṣṭaṃ phalavato vṛkṣasyādhastālloṣṭaṃ śmaśānaloṣṭam adhvaloṣṭam iriṇaloṣṭam iti
1.7.10	devāgāre sthāpayitvātha kanyāṃ grāhayet / yadi smaśānaloṣṭaṃ gṛhṇīyād adhvaloṣṭam iriṇaloṣṭaṃ vā nopayamet
1.7.11	saṃjuṣṭāṃ dharmeṇopayaccheta brāhmeṇa śaulkena vā
1.7.12	śatamitirathaṃ dadyād gomithunaṃ vā
1.8.1	paścād agneś catvāry āsanānyupakalpayīta
1.8.2	teṣūpaviśanti purastāt pratyaṅmukho dātā paścāt prāṅmukhaḥ pratigrahītā dātur uttarataḥ pratyaṅmukhī kanyā dakṣiṇata udaṅmukho mantrakāraḥ
1.8.3	teṣāṃ madhye prāktūlān darbhān āstīrya kāṃsyam akṣatodakena pūrayitvāvidhavāsmai prayacchati
1.8.4	tatra hiraṇyam
1.8.5	aṣṭau maṅgalyāny āvedayati
1.8.6	maṅgalyāny uktvā dadāmi pratigṛhṇāmīti trir brahmadeyā pitā bhrātā vā dadyāt
1.8.7	sahiraṇyān añjalīn āvapati dhanāya tveti dātā putrebhyas tveti pratigrahītā tasmai pratyāvapati
1.8.8	catur vyatihṛtya dadāti
1.8.9	sāvitreṇa kanyāṃ pratigṛhya prajāpataya iti ca ka idaṃ kasmā adāditi sarvatrānuṣajati kāmaitat ta ityantam
1.8.10	samānā vā ākūtānīti saha japanty āntād anuvākasya
1.8.11	khe rathasya khe 'nasaḥ khe yugasya śatakrato apālām indras triḥ pūrty avakṛṇot sūryatvacam iti tenodakāṃsyena kanyām abhiṣiñcet
1.9.1	ṣaḍ arghyārhā bhavantyṛtvig ācāryo vivāhyo rājā snātakaḥ priyaśceti
1.9.2	aprākaraṇikān vā parisaṃvatsarād arhayanti
1.9.3	prākaraṇikāḥ kartāraḥ sadasyāśca vṛtāḥ
1.9.4	na jīvatpitṛko 'rghyaṃ pratigṛhṇīyād iti śrutir athavā pratigṛhṇīyāt
1.9.5	athainam arhayanti
1.9.6	kāṃsye camase vā dadhi madhu cānīya varṣīyasāpidhāyācamanīyaprathamaiḥ pratipadyante
1.9.7	virājo doho 'si virājo dohamaśīya mayi dohaḥ padyāyai virājaḥ kalpatām ity ekaikam āhriyamāṇaṃ pratīkṣate
1.9.8	sāvitreṇa viṣṭaraṃ pratigṛhya / ahaṃ varṣma sadṛśānām udyatāmiva sūryaḥ / idaṃ tam abhitiṣṭhāmi yo mā kaścābhidāsati / iti japati
1.9.9	rāṣṭrabhṛd asīty ācārya āsandīm anumantrayate
1.9.10	mā tvā doṣa ity adhastāt pādayor viṣṭaram upakarṣati
1.9.11	viṣṭara āsīnāyaikaikaṃ triḥ prāha
1.9.12	naiva bho ityāha nama ārṣeyāyeti śrutiḥ spṛśatyarghyam
1.9.13	pādyena pādau prakṣālya sāvitreṇa madhuparkaṃ pratigṛhya pratiṣṭhāpyāvasāyya namo rudrāya pātrasade namo rudrāya pātrasada iti prādeśenādhyadhi pratidiśaṃ pradakṣiṇaṃ sarvato 'bhyuddiśati
1.9.14	madhu vātā ṛtāyata iti tisṛbhiraṅgulyā pradakṣiṇaṃ pratyṛcaṃ trirāyauti
1.9.15	amṛtopastaraṇam asīty upastarati
1.9.16	satyaṃ yaśaḥ śrīr mayi śrīḥ śrayatāmiti madhuparkaṃ triḥ prāśnāti
1.9.17	amṛtāpidhānam asīty ācāmati
1.9.18	suhṛde 'vaśiṣṭaṃ prayacchati
1.9.19	asipāṇir gāṃ prāha
1.9.20	hato me pāpmā pāpmānaṃ me hata oṃ kuruteti preṣyati
1.9.21	caturo brāhmaṇānnānāgotrān bhojayate
1.9.22	paśvaṅgaṃ pāyasaṃ vā kārayen nāmāṃso madhuparka iti śrutiḥ
1.9.23	yadyutsṛjet / mātā rudrāṇāṃ duhitā vasūnāṃ svasādityānāmamṛtasya nābhiḥ / pra nu vocaṃ cikituṣe janāya mā gāmanāgāmaditiṃ vadhiṣṭa / bhūr bhuvaḥ svar om utsṛjatu tṛṇānyattu
1.9.24	athālaṃkaraṇam alaṃkaraṇam asi sarvasmā alaṃ me bhūyāsam
1.9.25	prāṇāpānau me tarpaya samānavyānau me tarpaya udānarūpe me tarpaya sucakṣā ahamakṣibhyāṃ bhūyāsaṃ suvarcā mukhena suśrutkarṇābhyāṃ bhūyāsamiti yathāliṅgam aṅgāni saṃspṛśati
1.9.26	atha gandhotsadane vāsasī
1.9.27	paridhāsye yaśo dhāsye dīrghāyutvāya jaradaṣṭir astu / śataṃ jīvema śaradaḥ purūcī rāyaspoṣam abhisaṃvyayiṣye / yaśasā mā dyāvāpṛthivī yaśasendrābṛhaspatī / yaśo bhagaśca mā riṣad yaśo mā pratimucyatām / ityahataṃ vāsaḥ paridhatte
1.9.28	kumāryāḥ pramadane bhagam aryamaṇaṃ pūṣaṇaṃ tvaṣṭāramiti yajati
1.9.29	prāksviṣṭakṛtaś catasro 'vidhavā nandīr upavādayanti
1.9.30	abhyantare kautuke devapatnīr yajati
1.10.1	prāgudañcaṃ lakṣaṇam uddhṛtyāvokṣya sthaṇḍilaṃ gomayenopalipya maṇḍalaṃ caturasraṃ vāgniṃ nirmathyābhimukhaṃ praṇayet tatra brahmopaveśanam
1.10.2	darbhāṇāṃ pavitre mantravad utpādyemaṃ stomam arhata ityagniṃ parisamuhya paryukṣya paristīrya paścād agner ekavad barhiḥ stṛṇāti
1.10.3	udakprāktūlān darbhān prakṛṣya dakṣiṇāṃs tathottarān agreṇāgniṃ dakṣiṇair uttarān avastṛṇāti
1.10.4	dakṣiṇato 'gner brahmaṇe saṃstṛṇāty aparaṃ yajamānāya paścārdhe patnyai aparam aparaṃ śākhodakadhārayor lājādhāryāśca paścād yugadhārasya ca
1.10.5	syonā pṛthivi bhavety etayāvasthāpya śamīmayīḥ śamyāḥ kṛtvāntargoṣṭhe 'gnim upasamādhāya bhartā bhāryāmabhyudānayati
1.10.6	vāsaso 'nte gṛhītvā / aghoracakṣur apatighnyedhi śivā paśubhyaḥ sumanāḥ suvarcāḥ / vīrasūr devakāmā syonā śaṃ no bhava dvipade śaṃ catuṣpade / ity abhiparigṛhyābhyudānayati
1.10.7	uttareṇa rathaṃ vāno vānuparikramyāntareṇa jvalanavahanāv atikramya dakṣiṇasyāṃ dhuryuttarasya yugatanmano 'dhastāt kanyām avasthāpya śamyām utkṛṣya hiraṇyam antardhāya hiraṇyavarṇāḥ śucaya iti tisṛbhir adbhir abhiṣicya / atraiva vāṇaśabdaṃ kuruteti preṣyati
1.10.8	athāsyai vāsaḥ prayacchati / yā akṛntanyā atanvan yā āvan yā avāharanyāśca gnādevyo 'ntānabhito 'tatananta / tās tvā devyo jarase saṃvyayantv āyuṣmatīdaṃ paridhatsva vāsaḥ / ity ahataṃ vāsaḥ paridhāpyānvārabhyāghārāvājyabhāgau hutvā / agnaye janavide svāhety uttarārdhe juhoti somāya janavide svāheti dakṣiṇārdhe gandharvāya janavide svāheti madhye
1.10.9	yukto vaha yadākūtamiti dvābhyām agniṃ yojayitvā nakṣatram iṣṭvā nakṣatradevatāṃ yajet tithiṃ tithidevatām ṛtum ṛtudevatāṃ ca
1.10.10	somo dadad gandharvāya gandharvo dadad agnaye / rayiṃ ca putrāṃś cādād agnir mahyam atho imām / agnir asyāḥ prathamo jātavedāḥ so 'syāḥ prajāṃ muñcatu mṛtyupāśāt / tad idaṃ rājā varuṇo 'numanyatām yathedaṃ strī pautram aganma rudriyāya svāhā / iti hiraṇyagarbha ity aṣṭābhiḥ pratyṛcam ājyāhutīr juhuyāt
1.10.11	yena ca karmaṇecchet tatra ca jayān juhuyājjayānāṃ ca śrutistāṃ yathoktām / ākūtyai tvā svāhā bhūtyai tvā svāhā prayuje tvā svāhā nabhase tvā svāhāryamṇe tvā svāhā samṛddhyai tvā svāhā jayāyai tvā svāhā kāmāya tvā svāhety ṛcā stomaṃ prajāpataya iti ca
1.10.12	śuciḥ pratyaṅṅupayantā tāṃ samīkṣasvety āha
1.10.13	tasyāṃ samīkṣamāṇāyāṃ japati / mama vrate te hṛdayaṃ dadhātu mama cittam anu cittaṃ te astu / mama vācam ekamanā juṣasva prajāpatiṣ ṭvā niyunaktu mahyam iti
1.10.14	kā nāmāsīty āha
1.10.15	nāmadheye prokte devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ hastaṃ gṛhṇāmyasāviti hastaṃ gṛhṇan nāma gṛhṇāti / prāṅmukhyāḥ pratyaṅmukha ūrdhvas tiṣṭhann āsīnāyā dakṣiṇam uttānaṃ dakṣiṇena nīcāriktam ariktena / yathendro hastam agrahīt savitā varuṇo bhagaḥ / gṛbhṇāmi te 'sau bhagatvāya hastaṃ mayā patyā jaradaṣṭir yathāsat / bhago aryamā savitā purandhir mahyaṃ tvādur gārhapatyāya devāḥ / yāgre vāk samavadata purā devāsurebhyaḥ / tām adya gāthāṃ gāsyāmo yā strīṇām uttamaṃ manaḥ / sarasvati predam ava subhage vājinīvati / yāṃ tvā viśvasya bhūtasya bhavyasya pragāyāmyasyāgrataḥ / amo 'hamasmi sā tvaṃ sā tvam asy āpy amo 'ham / dyaur ahaṃ pṛthivī tvam ṛk tvam asi sāmāham / reto 'ham asmi reto dhattam / tā eva vivahāvahai puṃse putrāya kartavai / śriye putrāya vedhavai / rāyaspoṣāya suprajāstvāya suvīryāyeti
1.10.16	abhidakṣiṇam ānīyāgneḥ paścāt / etam aśmānam ātiṣṭhatam aśmeva yuvāṃ sthirau bhavatam / kṛṇvantu viśve devā āyur vāṃ śaradaḥ śatam / iti dakṣiṇābhyāṃ padbhyām aśmānam āsthāpayati
1.10.17	yathendraḥ sahendrāṇyā avāruhad gandhamādanāt / evaṃ tvam asmād aśmano avaroha saha patnyā / ārohasva same pādau pra pūrvyāyuṣmatī kanye putravatī bhava / ityevaṃ dvir āsthāpayati
1.10.18	catuḥ pariṇayati
1.10.19	samitaṃ saṃkalpethām iti paryāye paryāye brahmā brahmajapaṃ japet
1.11.1	tato yathārthaṃ karmasannipāto vijñeyaḥ
1.11.2	aryamṇe 'gnaye pūṣṇe 'gnaye varuṇāya ca vrīhīn yavān vābhinirupya prokṣya lājā bhṛjjati
1.11.3	mātre prayacchati sajātāyā avidhavāyai
1.11.4	athāsyai dvitīyaṃ vāsaḥ prayacchati tenaiva mantreṇa
1.11.5	darbharajjvendrāṇyāḥ saṃnahanam ityantau samāyamya pumāṃsaṃ granthiṃ badhnāti
1.11.6	saṃ tvā nahyāmi payasā pṛthivyāḥ saṃ tvā nahyāmy adbhir oṣadhībhiḥ / saṃ tvā nahyāmi prajayā dhanena sā saṃnaddhā sunuhi bhāgadheyam / ityantarato vastrasya yoktreṇa kanyāṃ saṃnahyate
1.11.7	athaināny upakalpayate śūrpaṃ lājā iṣīkā aśmānam āñjanam
1.11.8	catasṛbhir darbheṣīkābhiḥ śareṣīkābhirvā samuñjābhiḥ satūlābhir ity ekaikayā traikakubhasyāñjanasya saṃnikṛṣya vṛtrasyāsi kanīniketi bhartur dakṣiṇam akṣi triḥ prathamam āṅkte tathāparaṃ tathā patnyāḥ śeṣeṇa tūṣṇīm
1.11.9	diśi śalākāḥ pravidhyati / yāni rakṣāṃsy abhito vrajanty asyā vadhvā agnisakāśam āgacchantyāḥ / teṣāmahaṃ pratividhyāmi cakṣuḥ svasti vadhvai bhūtapatir dadhātu / iti
1.11.10	lājāḥ paścād agner upasādya śamīparṇaiḥ saṃyujya śūrpe samaṃ caturdhā vibhajyāgreṇāgniṃ paryāhṛtya lājādhāryai prayacchati
1.11.11	lājā bhrātā brahmacārī vāñjalināñjalyor āvapati
1.11.12	upastaraṇābhighāraṇaiḥ saṃpātaṃ tā avicchinnair juhutaḥ / aryamaṇaṃ nu devaṃ kanyā agnim ayakṣata / so 'smān devo 'ryamā preto muñcātu māmutaḥ svāhā / tubhyam agne paryavahant sūryāṃ vahatunā saha / punaḥ patibhyo jāyāṃ dā agneḥ prajayā saha / punaḥ patnīm agnir adād āyuṣā saha varcasā / dīrghāyurasyā yaḥ patir jīvāti śaradaḥ śatam / iyaṃ nāry upabrūte 'gnau lājān āvapantikā / dīrghāyur astu me patir edhantāṃ jñātayo mameti
1.11.13	evaṃ pūṣaṇaṃ nu devaṃ varuṇaṃ nu devam
1.11.14	yena dyaur ugretyādaya udvāhe homā jayābhyātānāḥ saṃtatihomā rāṣṭrabhṛtaśca
1.11.15	ākūtāya svāheti jayāḥ prācī digvasanta ṛtur ity abhyātānāḥ / prāṇādapānaṃ saṃtanviti saṃtatihomā ṛtāṣāḍ ṛtadhāmeti dvādaśa rāṣṭrabhṛtaśca
1.11.16	trātāram indraṃ viśvādityā iti māṅgalye
1.11.17	lājāḥ kāmena caturthaṃ sviṣṭakṛtam iti
1.11.18	athaināṃ prācīṃ saptapadāni prakramayaty ekam iṣe dve ūrje trīṇi prajābhyaś catvāri rāyaspoṣāya pañca bhavāya ṣaḍ ṛtubhyaḥ sakhā saptapadī bhava sumṛḍīkā sarasvatī / mā te vyoma saṃdṛśi / viṣṇus tvām unnayatviti sarvatrānuṣajati
1.11.19	paścād agne rohite carmaṇy ānaḍuhe prāggrīve lomato darbhān āstīrya teṣu vadhūm upaveśayaty api vā darbheṣveva
1.11.20	imaṃ viṣyāmi varuṇasya pāśaṃ yajjagrantha savitā satyadharmā / dhātuśca yonau sukṛtasya loke 'riṣṭāṃ mā saha patyā dadhātu / iti yoktrapāśaṃ viṣāya vāsaso 'nte badhnāti
1.11.21	anumatibhyāṃ vyāhṛtibhiśca tvaṃ no agne sa tvaṃ no agne ayāścāgne 'sīti ca
1.11.22	śamīmayīs tisro 'ktāḥ samidhaḥ samudrād ūrmir ity etābhis tisṛbhiḥ svāhākārāntābhir ādadhāti
1.11.23	akṣatasaktūnāṃ dadhnaśca samavadāyedaṃ haviḥ prajananaṃ ma iti ca hutvā vi te muñcāmi raśanāṃ vi raśmīniti ca hutvā pavitre 'nuprahṛtyājyenābhijuhoti
1.11.24	edho 'sy edhiṣīmahīti samidham ādadhāti / samidasi samedhiṣīmahīti dvitīyām
1.11.25	apo adyānvacāriṣam ity upatiṣṭhante
1.11.26	kumbhād udakenāpohiṣṭhīyābhir mārjayante
1.11.27	varo dakṣiṇā
1.12.1	sumaṅgalīr iyaṃ vadhūr imāṃ sameta paśyata / saubhāgyamasyai dattvāyāthāstaṃ viparetana / iti prekṣakānvrajato'numantrayate
1.12.2	atraiva sīmantaṃ karoti triśyetayā śalalyā samūlena vā darbheṇa senā ha nāmety etayā
1.12.3	athābhyañjanti / abhyajya keśān sumanasyamānāḥ prajāvarīr yaśase bahuputrā aghorāḥ / śivā bhartuḥ śvaśurasyāvadāyāyuṣmatīḥ śvaśrūmatīś cirāyuḥ / iti
1.12.4	jīvorṇayopasamasyati / samasya keśān avṛjinān aghorān śikhā sakhībhyo bhava sarvābhyaḥ / śivā bhava sukulohyamānā śivā janeṣu sahavāhaneṣu / iti
1.12.5	athainau dadhimadhu samaśnuto yadvā haviṣyaṃ syāt
1.12.6	tasya svasti vācayitvā samānā vā ākūtānīti saha japanti
1.12.7	ubhau saha prāśnītaḥ
1.13.1	puṇyāhe yuṅkte
1.13.2	yuñjanti bradhnam iti dvābhyāṃ yujyamānam anumantrayate dakṣiṇam athottaram
1.13.3	ahatena vāsasā darbhair vā rathaṃ saṃmārṣṭi
1.13.4	aṅkau nyaṅkāv abhito rathaṃ ye dhvāntā vātā agnimabhi ye saṃcaranti / dūrehetiḥ patatrī vājinīvāṃste no 'gnayaḥ paprayaḥ pālayantu / iti cakre 'bhimantrayate
1.13.5	vanaspate vīḍvaṅga ity adhiṣṭhānam
