#Text:Vaikhānasagṛhyasūtra
#Edition:Caland
#Notes:1-3 from DCS (with corrections), 4ff. directly from TITUS; sentence splits according to Caland added by O. Hellwig.



1.1.1	atha niṣekādisaṃskārānvyākhyāsyāmaḥ
1.3.3	idaṃ brahma punīmaha iti pavitraṃ gṛhītvā brahma punātvityaṅgulyāṃ nikṣipya śatadhāramiti jalaṃ gṛhītvā payasvatīroṣadhaya ityācamya bhūragnaya ityupasthānamādityasya citpatiriti tribhir anāmikopāntābhyāṃ samṛdodakena triḥ pradakṣiṇam āvartya śiro mārṣṭi
1.3.4	āpohiraṇyapavamānaiḥ prokṣayaty ud vayam ityādinādityamupasthāya mahāvyāhṛtyā jalam abhimantrya karṇāv apidhāyābhimukham ādityārdhaṃ nimajjya ṛtaṃ ca satyaṃ ca yāsu gandhā iti trirāvartayannaghamarṣaṇaṃ karoti
1.3.5	tato mandaṃ niḥśvasya dhautaṃ paridhāyānupamṛjya vāsaḥ prātaḥ sūryaś cetyādinācamyāpohiṣṭhādibhir ṛgbhis tisṛbhiḥ prokṣya gāyatryāpo 'bhimantryādityābhimukhaṃ vikṣipya pradakṣiṇaṃ karoti
1.3.6	prāṇāyāmamekāvaraṃ kṛtvāṣṭāvarāṃ sāvitrīmabhyasya mitrasyetyādibhir ṛgbhis tisṛbhis tiṣṭhansaṃdhyām upāsīta
1.3.7	madhyāhna āpaḥ punantvityācamya tathā prokṣyod vayam ityādibhir yajurbhis tiṣṭhannādityam upasthāya tathā karoti
1.3.8	sāyam agniś cetyādinācamya tathā prokṣya yac ciddhītyādibhiḥ sāmabhirupāsyāsīnastathā karotyuditārkāṃ paścimārkāmiti ca saṃdhye yathādiśaṃ tannāmādinā digdevatāḥ pitṝn sāpasavyaṃ brahmāṇaṃ codaṅmukho nārāyaṇādīn namo'ntenopatiṣṭheta
1.4.1	athācamya kaurukṣetram iti jalaṃ namaskṛtya mahāvyāhṛtyā jalam abhimantrya hastena talatīrthakrameṇa kūpyābhyaḥ svāhetyādibhistarpayati bhūpatiṃ tarpayāmi bhuvanapatiṃ tarpayāmi bhūtānāṃ patiṃ tarpayāmi prajāpatiṃ tarpayāmi brahmāṇaṃ tarpayāmi nārāyaṇaṃ tarpayāmi mahādevaṃ tarpayāmi skandaṃ tarpayāmi vināyakaṃ tarpayāmi
1.4.2	yathādiśaṃ tannāmādinā digdevatās tarpayatīndraṃ tarpayāmi yamaṃ tarpayāmi varuṇaṃ tarpayāmi kuberaṃ tarpayāmyagniṃ tarpayāmi nirṛtiṃ tarpayāmi vāyuṃ tarpayāmīśānaṃ tarpayāmi
1.4.3	ādityaṃ tarpayāmi somaṃ tarpayāmyaṅgārakaṃ tarpayāmi budhaṃ tarpayāmi bṛhaspatiṃ tarpayāmi śukraṃ tarpayāmi śanaiścaraṃ tarpayāmi rāhuṃ tarpayāmi ketuṃ tarpayāmi grahāṃstarpayāmi
1.4.4	nakṣatrāṇi tarpayāmi tārāṃstarpayāmi viśvāndevāṃstarpayāmi sarvāśca devatāstarpayāmi vedāṃstarpayāmi yajñāṃstarpayāmi chandāṃsi tarpayāmi
1.4.5	svagotrādisaptarṣīṃstarpayati viśvāmitraṃ tarpayāmi jamadagniṃ tarpayāmi bharadvājaṃ tarpayāmi gautamaṃ tarpayāmyatriṃ tarpayāmi vasiṣṭhaṃ tarpayāmi kaśyapaṃ tarpayāmi bhṛguṃ tarpayāmi sarvān ṛṣīṃs tarpayāmi sarvā ṛṣipatnīs tarpayāmi
1.4.6	prācīnāvītī pitryāṇi karoti
1.4.7	ūrmyodakānta iti pitṛbhyaḥ pitāmahebhyaḥ prapitāmahebhyo jñātivargebhyaḥ pitṛpatnībhyaḥ pitāmahapatnībhyaḥ prapitāmahapatnībhyo jñātivargapatnībhyaḥ svadhā namastarpayāmīti tarpayati
1.4.8	atha nivītī bhaumāṃstarpayāmi bhaumadivyāṃstarpayāmi nāgāṃstarpayāmi nāgadivyāṃstarpayāmi yāvanto jalārthinastāvantaḥ pratigṛhṇantvity apo visṛjyācamya brahmayajñaṃ karoti
1.4.9	śuddhe deśe barhir āstīrya brāhmamāsanamāsthāya pavitrapāṇirbrahmāñjaliṃ kṛtvā prāṅmukhaḥ sāvitrīpūrva nityamiṣe tvorje tvetyādi yathākāmam
1.4.10	naimittikamṛtaṃ ca satyaṃ ca devakṛtasya yanme garbhe tarat sa mandī vasoḥ pavitraṃ jātavedase viṣṇornu kaṃ sahasraśīrṣaikākṣaram ā tvāhārṣaṃ tvamagne pavasvādīn svādhāyam adhīyīta saurībhir ṛgbhir yathākāmam ādityaṃ copatiṣṭheta
1.5.1	aśakto nityaṃ pādau prakṣālyācamya ato devādi vaiṣṇavaṃ japtvā divyaṃ vāyavyamāgneyaṃ mantrasnānaṃ vā kṛtvā pūrvavadācamanādīni kuryāt
1.5.2	divaś cyutair gāṅgeyair ādhāvaiḥ sātapair varṣair vāsecanaṃ divyam
1.5.3	gavāṃ pādodgatairvāyunītaiḥ pāṃsubhiḥ sparśanaṃ vāyavyam
1.5.4	bhasmanā śuddhena sarvāṅgam ālepanam āgneyam
1.5.5	āpo hi ṣṭheti mantreṇāgneyena tīrthenābhyukṣaṇaṃ mantrasnānam
1.5.6	dakṣiṇapāṇermadhyatalamāgneyaṃ tīrthaṃ kaniṣṭhāṅgulimūlaṃ daivaṃ sarvāṅgulimūlāgramārṣaṃ pradeśinyaṅguṣṭhayormadhyaṃ paitṛkamaṅguṣṭhasya mūlaṃ brāhmam
1.5.7	daivena tīrthenopavītī daivikaṃ kāryam
1.5.8	ārṣeṇārṣam
1.5.9	paitṛkeṇa pitryam
1.5.10	sarvaṃ brāhmeṇa brahmatarpaṇamācamanamāgneyena tīrthenābhyukṣaṇaṃ karoti
1.5.11	dakṣiṇahastam uddhṛtyopavītaṃ dhārayedupavītī vāmamuddhṛtya prācīnāvītī kaṇṭhasakte nivītī bhavati
1.5.12	snātvā puṇye 'hani saṃskārahomaṃ juhuyāditi vijñāyate
1.6.1	atha puṇyāhaṃ pañcāvarāñchrotriyān āhūyābhipūjayati
1.6.2	ācāryaḥ karakaṃ dhārāsvity adbhir āpūryedam āpaḥ śivā ity apo 'bhimantrya puṣpādyaiḥ sarvatīrthajalam ityabhyarcya prativācakān prāṅmukhān udaṅmukhān vā sthāpayitvodaṅmukhaḥ supuṇyāhaṃ karomīti saṃkalpya svasti suprokṣitam astviti sthānaṃ prokṣya prajāpatiḥ priyatām ityuktvā taiḥ priyatām iti vācayati
1.6.3	śāmyantu ghorāṇītyuttarāntaṃ trir apaḥ srāvayati
1.6.4	ato devā ityagraṃ daivike saṃ tvā siñcāmītyagraṃ sūtake śucī vo havyetyagraṃ pretake draviṇodāḥ savitā navo navo vidyucchataṃ jīvāṣṭau devā hiraṇyarūpa ṛdhyāma stomamāhārṣaṃ tvāryamaṇaṃ somam rājānam indrāvaruṇā śriye jāto yā guṅgur yas tvā hṛdā yasmai tvaṃ narya prajāṃ sutrāmāṇaṃ śatāyudhāya dakṣiṇāvatāṃ bhadraṃ karṇebhiḥ śataminnv aditir dyaur ityṛtvijaḥ sarve vadeyuḥ
1.7.1	devā ṛṣayaḥ pitaro grahā devya ṛṣipatnyaḥ pitṛpatnyo vedā yajñāśca sarvādyāḥ priyantāmantaḥ prativacanam
1.7.2	puṇyāhaṃ śivam āyuṣyam arogyam avighnam acalam aiśvaryaṃ yatpāpaṃ tatpratihataṃ yacchreyaḥ śivaṃ karma śivaḥ pakṣa ityastvantāstathāntaḥ prativacanam
1.7.3	śivā ṛtavaḥ santu śivāni nakṣatrāṇi bhavantu sarvakarmasamṛddhirastu sarvadhanadhānyasampūrṇam astv ity ekaikam uktavantaḥ prativacanam
1.7.4	yatpuṇyaṃ svasti na ṛdhyāsmeti pūrvoktāmitare 'nuvadanti
1.7.5	yajamānasya nakṣatranāmādi gotranāma sutāntaṃ mātṛgotranāmāntāt paraṃ śarmāntaṃ nāma praṇavādi bhavanto bruvantu puṇyāhaṃ svastyṛddhyantaṃ pratyekaṃ tridhā tridhā yathāvibhaktivācitamanuvācayeyuḥ
1.7.6	āpohiraṇyapavamānaiḥ prokṣayati
1.7.7	puṇyāhe kṛte tadahaḥ puṇyaṃ bhavatyādāvante vā puṇyāhena sarvāḥ kriyāḥ puṇyāḥ paripūrṇā bhavanti
1.7.8	svāṃkṛto 'sīti dakṣiṇākālamuktavatsu ghṛtāt parīty adbhir yathāśakti dakṣiṇāṃ hastena dakṣiṇena dadāti
1.7.9	tvamagne yajñānām hoteti tad ādadīran
1.7.10	yatra dakṣiṇādānādāne tatraivaṃ syāditi vijñāyate
1.8.1	athāgnyāyatanam
1.8.2	prākpravaṇe vottarapravaṇe vā śuddhe deśe gomayenopalipte śuddhābhiḥ sikatābhiḥ prākpaścimaṃ dakṣiṇottaraṃ ca dvātriṃśadaṅgulyāyataṃ dvyaṅgulonnataṃ yathālābhonnataṃ vā sthaṇḍilamagnyāyatanaṃ bhavati
1.8.3	paristaraṇabarhiṣaḥ pratidik pañcadaśa sthaṇḍilapramāṇāḥ kuṇḍe ṣaṭtriṃśadaṅgulāstathaikāṅgulipariṇāhā vraṇavakrahīnāḥ paridhayaḥ
1.8.4	pañcadaśadarbhairgrathitaṃ caturaṅgulāgraṃ dvyaṅgulagranthi hastamātraṃ prokṣaṇakūrcam
1.8.5	tathaiva dvādaśāṅgulamātraṃ pavitram
1.8.6	tatpramāṇā yājñikāḥ samidhaḥ pātrasruvādayo yajñe proktāḥ
1.8.7	darbheṣu dvaṃdvaṃ pātrādisambhārānuttare daivike pratyekaṃ dakṣiṇataḥ paitṛke saṃbharati
1.8.8	nityahome 'gniśālāyāṃ mṛdā caturdiśaṃ dvātriṃśadaṅgulyāyatāṃ caturaṅgulavistārāṃ dvyaṅgulonnatām ūrdhvavediṃ caturaṅgulivistāronnatāṃ tatparigatām adhovediṃ ca madhye nimnaṃ ṣaḍaṅgulam agnikuṇḍaṃ kṛtvāsmin gṛhastho 'gnimaupāsanamādhāya nityaṃ juhoti
1.8.9	vanasthasya śrāmaṇakāgneḥ kuṇḍam ādhānaviśeṣaṃ ca dharme vakṣyāmaḥ
1.9.1	athāghāravidhānam
1.9.2	brāhmaṃ prāṅmukham āsīna eto nvindramityagnyālayaṃ prokṣya mayi devā ityādibhiś caturdiśaṃ darbhānukṣayet
1.9.3	uddhanyamānamiti madhyapūrvāparayamāgninirṛtisomeśānamaruto barhiṣā khanati
1.9.4	tathā pūta hyātaneti ṣaḍrekhā likhitvāṣṭābandham iti vakritaṃ darbhaṃ dakṣiṇapaścimasyāmutsṛjya rekhā gāyatryā prokṣya jātavedo bhuvanasyetyaraṇiṃ gṛhītvā mathitaṃ laukikaṃ vāgnim ādāyāhareta
1.9.5	ghṛtapratīka iti prajvālyāyurdā iti praṇamyopāvaroheti nidhāyāgna āyāhyayaṃ te yoniriti prajvālya mayi gṛhṇāmītyabhivandya karmaṇe vāmiti karau prakṣālayati
1.9.6	idam āpaḥ śivā ity apo 'bhimantryādite 'numanyasva dakṣiṇato vediṃ parimṛjāmīti dakṣiṇavediṃ nairṛtyādyantam anumate 'numanyasva paścimato vediṃ parimṛjāmīti tathā paścimavediṃ sarasvate 'numanyasvottarato vediṃ parimṛjāmītyuttaravediṃ vāyavyādyantaṃ deva savitaḥ prasuva purastādvediṃ parimṛjāmīti pūrvavediṃ cāgneyādyantam aṅgulīrāstīrya sādhāvena pāṇinā kūrcena vā parimṛjya gāyatryā vedīḥ prokṣayati
1.9.7	brahmasomāvṛtvijau varayitvādhvaryuroṃ bhūpate bhuvanapata iti pratyekaṃ prekṣya tābhyāmahaṃ bhūpatirityukte brahman somaṃ prokṣiṣyāmītyantaṃ tathoktvā punas tābhyāṃ prokṣetyuktas tathā prokṣayati
1.10.1	pātrād ādhāvam ādāya pavitre stha iti vedyāṃ barhiṣaḥ sthāpayitvā tān paraśurasīti prokṣya samidho muktabandhāḥ kṛṣṇo 'sīti vedirasīti vediṃ sruvādīn barhiṣo barhirasi srugbhya iti barhiṣo 'graṃ dive tveti madhyam antarikṣāyeti mūlaṃ pṛthivyai tveti prokṣayati
1.10.2	poṣāya tvety apo barhirbandhane saṃsrāvya svadhā pitṛbhya iti sāpasavyaṃ dakṣiṇataḥ prokṣyāpāṃ śeṣaṃ paścimasyām uttarāntam ūrg bhaveti srāvayet
1.10.3	ubhābhyām iti pāṇī prakṣālayati
1.10.4	pūṣā ta iti barhirbandhaṃ visṛjya mūlād ūrdhvamādityaṃ vyañjanamasītyabhimṛśya paścimato vedyadhastāduttarāgram ūrṇāmradasamiti darbhaiḥ paristīrya svāsasthaṃ devebhya iti prāgagraṃ svāsane caikaṃ nidhāya viṣṇoḥ stūpo 'sīti prācyāṃ dakṣiṇata iti yāmyām uttarata ityudīcyāṃ paścimata iti pratīcyāṃ prāguttarāgraṃ paristṛṇātyuttarāgram aiśānyām ūrdhvaṃ kṛtvā gandharvo 'sīti paścimasyām indrasyeti yāmyāṃ mitrāvaruṇāvityudīcyāṃ vedyāṃ prāguttarāgrānparidhīnparidadhāti
1.11.1	vāyavyāmuttarāgram ūrdhvaṃ karoti
1.11.2	sūryastveti prācyām uttarāntam upariṣṭād ity ūrdhvam adhastānnāgā ityadhaśca pariṣicya vītihotram ity agnyālaye samidhāvagnīśayordiśor ūrdhvāgre nidadhāti
1.11.3	paristīryam ityādinaindrādyam udagantam ārṣeṇāpo dattvā sṛtāsītyādibhir dakṣiṇādi tenaiva prāgantam uttarāntaṃ ca pariṣicya taruṇāsīty āgneyādīśānāntaṃ pradakṣiṇam āgneyāntam adbhiḥ pariṣiñcati
1.11.4	vānaspatyo 'sīti praṇidhī prakṣālya pṛthivyāpo grahīṣyāmīti sākṣatam adbhir āpūrya vasūnāṃ pavitram ity udagagre pavitre prakṣipya dakṣiṇena pāṇināgramitaradvāmena gṛhītvā devo vaḥ saviteti trirutpūya tathā nidadhāti
1.11.5	brahmann apa iti somāpa iti ca brahmasomāvṛtvijau pratyekaṃ prekṣya tābhyāṃ tathā praṇayetyuktaḥ ko va iti praṇīya vedyāṃ dakṣiṇottarayoḥ praṇidhī nidhāya saṃviśantāmiti kūrcena jalaṃ saṃsrāvya gāyatryā sruvaṃ prokṣayet
1.12.1	bhūḥ sruvaṃ gṛhṇāmīti sruvaṃ gṛhītvā varṣiṣṭhe adhi nāka iti vedyadhastātsamidhau nyasyāhīno nirvapāmīti sruvaṃ prakṣālya nirdagdhamiti paryagniṃ kṛtvā niṣṭaptamiti samidhor nidadhyāt
1.12.2	aditir asyacchidretyājyasthālīṃ gṛhītvottare bhūtakṛtaḥ sthopoḍham ityaṅgāraṃ nyasya sagarāḥ stheti vinyasya mahīnāmiti pacati
1.12.3	pūrvavatpavitreṇa trirutpūyājyasthālyāḥ pṛṣṭhabhasmedaṃ viṣṇuriti vedena śodhayitvodbhavaḥ sthod ahamiti barhir dagdhvāṅgāram antaritam ityājyasya darśayati
1.12.4	dakṣiṇato 'ṅgāraṃ gāyatryā nyasya tayaiva carusthālīmadhiśritya darbholkena paktvāvatārayati
1.12.5	pavitreṇājyaṃ pātre trirutpūya gharmo 'sīti granthiṃ visṛjyottarapaścime nidhāyādbhiḥ prokṣyāpyāyantāmiti pavitraṃ juhoti
1.12.6	vītihotramiti samidagraṃ ghṛtāktaṃ vāyavye 'gnau sthāpayitvā devasya tveti sruveṇa homyaṃ dvidhā viharati
1.13.1	dakṣiṇapraṇidhau brāhmeṇa tīrthena prajāpatipurogān āvāhayāmītyuttarapraṇidhau daivenāgnyādīn aupāsanayajñaṃ yajñadaivata viśvān devān sarvadevān āvāhayāmītyantaṃ paitṛke vaiśvadevayajñaṃ yajñadaivata viśvān devān āvāhayāmītyantam āvāhayet
1.13.2	yathāvāhanaṃ sruveṇājyam ūrdhvaṃ nītvā juṣṭaṃ nirvapāmīti nirvāpaṃ karoti
1.13.3	tṛpyadhidvayena dvidhāgnau homyaṃ darśayitvāgnir jyotir dvayena samidulkena dvidhā dahati
1.13.4	samidasi svāheti samidhaṃ juhoti
1.13.5	sruveṇājyaṃ gṛhītvāmṛtamasīti anuttānam antaritam ity uttānaṃ pratyuṣṭam ity anuttānaṃ homyaṃ pradakṣiṇam abhimantryājyaṃ gṛhītvottānaṃ svato dakṣiṇato vāmataḥ praṇītāyāṃ saṃdhāya citpatistvādibhistribhireva tridhāgnau saṃvapati
1.14.1	gāyatryā samidhaḥ prokṣyaikaviṃśatir āhutipramāṇāḥ karasampūrṇā vā samidho gṛhītvā mūlāgrābhyāṃ ghṛtaṃ sparśayitvābhyarcyākṣatājyacarubhirimā me agna iti mūlamadhyāgrāṇi spṛśannadho nītvordhvabhāge madhye ca saṃdadhāti
1.14.2	daivena tīrthena dakṣiṇasyām adbhiḥ prāgantam adite 'numanyasveti paścimasyām uttarāntam anumate 'numanyasvetyuttarasyāṃ prāgantaṃ sarasvate 'numanyasveti deva savitaḥ prasuveti pūrvasyāmudagantam āgneyādyantaṃ sarvataśca pradakṣiṇaṃ pariṣiñcati
1.14.3	ṣaṣṭiṃ śatety abhimantryāyaṃ ta idhma itīdhmān asaṃkulāñcharo 'ṅgāre 'gnau juhuyāt
1.14.4	yasyai devatāyai havirnirupyate tāṃ devatāṃ manasā ha vai dhyāyannirvapedyathā ha vāsya suṣumnā jyotiṣmatī prāṇavatī retodhā ityetā hutaṃ gṛhītvā raśmayaś catasraḥ pṛśnau saṃdadhīran sa ha vā śuddhāmṛtavahā cinuhī divyā lokapāvanīty etābhiś candramasam āpyāyayati
1.14.5	asau nu rājā soma āpyāyito mūlagāmī vapāyany amṛtodgārī surapriyetyetābhir amṛtena tāṃ devatāṃ tarpayati
1.15.1	sruveṇājyaṃ srāvayanparidhī spṛṣṭvā vāyavyādyāgneyāntaṃ prajāpataye svāheti nairṛtyādīśānāntamindrāya svāhetyāghārau juhuyāt
1.15.2	cakṣuṣī buddhvāgnaye svāhā somāya svāhety ājyabhāgāv uttaradakṣiṇayor juhoti
1.15.3	yukto vaheti paścimādisaumyāntaṃ yā tiraścīti saumyādīndrāntaṃ saṃrādhanyai devyai svāhetīndrādiyāmyāntaṃ prasādhanyai devyai svāheti yāmyādivāruṇāntaṃ srāvayan hutvā madhyamāsyam iti buddhvā tatra vyāhṛtīr juhoti
1.15.4	tadagnimukhamiti brahmavādino vadanti
1.15.5	satyenetyabhimṛśyājyena juhotyagnaye svāhā somāya svāhāgnīṣomābhyāṃ svāhā prajāpataye svāhā brahmaṇe svāhendrāya svāhā vasubhyaḥ svāhā marudbhyaḥ svāhā rudrebhyaḥ svāhā viṣṇave svāhā bṛhaspataye svāhā mitrāya svāhā varuṇāya svāhādityebhyaḥ svāhāśvibhyāṃ svāhā pūṣṇe svāhā kakṣāya svāhā kakṣadaivatasomāya svāhaupāsanayajñāya svāhā yajñadaivataviśvebhyo devebhyaḥ svāhā sarvadevebhyaḥ svāhetyantaṃ hutvā darvyābhighārya caruṃ sāvitryā gṛhītvā juhvā vyāhṛtīr juhoti
1.15.6	ato devā idaṃ viṣṇur ity ājyaṃ samṛddhyai juhuyāt
1.15.7	paitṛke vaiśvadevayajñāya svāhā yajñadaivataviśvebhyo devebhyaḥ svāhetyantaṃ hutvā pakvaṃ juhuyāt
1.15.8	iti sarvahomānāmādirāghāro vijñāyate
1.16.1	atha sāmānyataḥ kriyāyā homamantrāḥ
1.16.2	dhātā dadātu no rayiṃ dhātā prajāyā dhātā dadātu no rayiṃ prācīṃ dhātā dadātu dāśuṣe 'nu no 'dyānumatir anvid anumate tvam ā mā vājasya samāvavarty anumanyatāṃ yasyāmidaṃ rākāmahaṃ yāste rāke sinīvāli yā supāṇiḥ kuhūm ahaṃ kuhūrdevānāmiti dhātādi ṣoḍaśa
1.17.1	imaṃ me varuṇa tattvā yāmi tvaṃ no agne sa tvaṃ no agne tvamagne ayāsy ayāsanniti pañca vāruṇam
1.17.2	prajāpate na tvatprajāpatirjayānityupāṃśuyāje prājāpatye
1.17.3	cittaṃ ca cittiścākūtaṃ cākūtiśca vijñātaṃ cāvijñānaṃ ca manaśca śakvarīśca darśaśca pūrṇamāsaśca bṛhacca rathaṃtaraṃ ca svāheti cittādi dvādaśa jayāḥ
1.17.4	agnir bhūtānām adhipatiḥ sa māvatvindro jyeṣṭhānāṃ yamaḥ pṛthivyā vāyurantarikṣasya sūryo divaścandramā nakṣatrāṇāṃ bṛhaspatirbrahmaṇo mitraḥ satyānāṃ varuṇo 'pāṃ samudraḥ srotyānāmannaṃ samrājyānām adhipatiṃ tanmāvatu
1.17.5	soma oṣadhīnāṃ savitā prasavānāṃ rudraḥ paśūnāṃ tvaṣṭā rūpāṇāṃ viṣṇuḥ parvatānāṃ maruto gaṇānāmadhipatayaste māvantu pitaraḥ pitāmahāḥ pare 'vara ity aṣṭādaśāgnir bhūtādayo 'bhyātānāḥ
1.18.1	ṛtāṣāḍ ṛtadhāmāgnir gandharvastasyauṣadhayo 'psarasa ūrjo nāmeti saṃhito viśvasāmā sūryo gandharvastasya marīcayo 'psarasa āyuvo nāmeti suṣumnaḥ sūryaraśmiś candramā gandharvastasya nakṣatrāṇyapsaraso bekurayo nāmeti bhujyuḥ suparṇo yajño gandharvastasya dakṣiṇā apsarasa stavā nāmeti prajāpatirviśvakarmā mano gandharvas tasyarksāmāny apsaraso vahnayo nāmeti iṣiro viśvavyacā vāto gandharvas tasyāpo 'psaraso mudā nāmeti bhuvanasya pata iti parameṣṭhyadhipatirmṛtyurgandharvastasya viśvamapsaraso bhuvo nāmeti sukṣitiḥ subhūtir bhadrakṛtsuvarvān parjanyo gandharvastasya vidyuto 'psaraso ruco nāmeti dūrehetir amṛḍayo mṛtyurgandharvastasya prajā apsaraso bhīruvo nāmeti cāruḥ kṛpaṇakāśī kāmo gandharvastasyādhayo 'psarasaḥ śocayantīr nāmeti sa no bhuvanasya pata iti
1.18.2	ṛtāṣāḍ ṛtādi bhuvanasya sa na iti varjayitvā pratyekaṃ tābhyo 'ntā rāṣṭrabhṛto dvādaśa
1.18.3	iti prājāpatyādi mūlahomaḥ
1.18.4	babhūva paitṛkayacchānte vyāhṛtiḥ
1.19.1	athānte homamantrāḥ
1.19.2	yad asyāgnaye sviṣṭakṛte 'gnaye 'nnādāyāgnaye 'nnapataye prajāpataya indrāya viśvebhyo devebhyaḥ sarvābhyo devatābhyaḥ sarvatraivāgnaye
1.19.3	sviṣṭakṛte vāstupata iti sviṣṭākāraḥ
1.19.4	yanma ātmanaḥ punar agniś cakṣuriti mindāhutī
1.19.5	iṣṭebhya ityādi daśānte vyāhṛtirityṛddhiḥ
1.19.6	āśrāvitaṃ brahma yad akarmeti kṛtāntam
1.19.7	yatpramatto mano jyotir ayāś cāgne yadasminsvasti no yata indra iti vicchinnam edho 'syedhiṣīmahi svāhā bailvam
1.19.8	samidasi tejo 'si tejo mayi dhehi svāhā pālāśam
1.19.9	yamasya dhīmahi mṛtyorme pāhi svāhā naiyagrodham
1.19.10	sūryasya dhīmahi cakṣurme pāhi svāhā āśvattham
1.19.11	somasya dhīmahi cittaṃ me pāhi svāhā audumbaram
1.19.12	vāyor dhīmahi prāṇānme pāhi svāhā śamīm
1.19.13	brahmaṇo dhīmahi buddhiṃ me pāhi svāhā khādiramiti sapta samidhaḥ
