#Text:Bhāradvājagṛhyasūtra
#Edition:Salomons (DCS version)



1.1.1	upanayanaṃ vyākhyāsyāmaḥ
1.3.7	apareṇāgnim udīcīnakumbāṃ śamyāṃ nidadhāti saṃspṛṣṭe madhyamayā prācīnakumbe dakṣiṇām uttarāṃ ca
1.3.8	apareṇāgnim udagagraṃ kūrcaṃ nidhāya tasmin prāṅmukha upaviśati
1.3.9	yajñopavītaṃ kṛtvāpa ācamya dakṣiṇataḥ kumāra upaviśyānvārabhate
1.4.1	atha pariṣiñcaty adite 'numanyasveti dakṣiṇato 'numate 'numanyasveti paścāt sarasvate 'numanyasvety uttarato deva savitaḥ prasuveti samantam
1.4.2	evaṃ hutvā pariṣiñcati
1.4.3	kṛtavanmantrān namati
1.4.4	idhmaṃ tredhābhyajya sakṛd evādadhāty ayaṃ ta idhma ātmā jātavedas tena vardhasva cenddhi vardhaya cāsmān prajayā paśubhir brahmavarcasenānnādyena samedhaya svāheti
1.4.5	uttaraṃ paridhisaṃdhimanvavahṛtya darvīṃ dakṣiṇāprāñcam āsīnaḥ saṃtatam ṛjum āghāram āghārayati prajāpatiṃ manasā dhyāyan
1.4.6	na ca svāhākaroti
1.4.7	dakṣiṇaṃ paridhisaṃdhim anvavahṛtyendrāya svāheti prāñcam udañcaṃ saṃtatam ṛjum āghāram āghāryājyabhāgau juhoty agnaye medhapataye svāhety uttarārdhapūrvārdhe somāya medhapataye svāheti dakṣiṇārdhapūrvārdhe
1.4.8	tāv antareṇetarā āhutīr juhoti
1.4.9	sarvadarvihomāṇām eṣa kalpaḥ
1.4.10	mantrānte nityaḥ svāhākāraḥ
1.4.11	amantrāsv amuṣmai svāheti yathādevatam ādiṣṭadevate
1.4.12	athānādiṣṭadevate 'gnaye svāhā somāya svāhā prajāpataye svāhā viśvebhyo devebhyaḥ svāhāgnaye sviṣṭakṛte svāheti
1.4.13	vyāhṛtībhir juhotyekaikaśaḥ samastābhiśca
1.5.1	tata etā āhutīr juhoti / yā tiraścī nipadyase 'haṃ vidharaṇī iti / tāṃ tvā ghṛtasya dhārayā juhomi vaiśvakarmaṇīṃ svāhā / yānūcī nipadyase'haṃ saṃrādhanī iti / tāṃ tvā ghṛtasya dhārayāgnau saṃrādhanīṃ yaje svāhā / saṃrādhanyai devyai svāhā / prasādhanyai devyai svāhā / sadasaspatim adbhutaṃ priyam indrasya kāmyam / saniṃ medhām ayāsiṣaṃ svāhā / yukto vaha jātavedaḥ purastād agne viddhi karma kriyamāṇaṃ yathedam / tvaṃ bhiṣag bheṣajasyāsi kartā tvayā gā aśvān puruṣān sanema svāhā / āyurdā deva jarasaṃ gṛṇāno ghṛtapratīko ghṛtapṛṣṭho agne / ghṛtaṃ pibann amṛtaṃ cāru gavyaṃ piteva putraṃ jarase nayemaṃ svāheti
1.5.2	atha vāsaso 'ntān saṃmārṣṭi / yā akṛntannavayanyā atanvata yāśca devīr antān abhito 'dadanta / tās tvā devīr jarase saṃvyayantv āyuṣmān idaṃ paridhatsva vāsa iti
1.5.3	athainaṃ paridhāpayati / paridhatta dhatta vāsasainaṃ śatāyuṣaṃ kṛṇuta dīrghamāyuḥ / bṛhaspatiḥ prāyacchad vāsa etat somāya rājñe paridhātavā u / jarāṃ gacchāsi paridhatsva vāso bhavā kṛṣṭīṇām abhiśastipāvā
1.6.1	parihitam abhimantrayate / parīdaṃ vāso adhidhāḥ svastaye 'bhūr āpīnām abhiśastipāvā / śataṃ ca jīva śaradaḥ purūcīr vasūni cāryo vibhajāsi jīvann iti
1.6.2	athāsya prathamavāsyam ādatte / yasya te prathamavāsyaṃ harāmastaṃ tvā viśve avantu devāḥ / taṃ tvā bhrātaraḥ suhṛdo vardhamānam anujāyantāṃ bahavaḥ sujātam iti
1.6.3	athainaṃ mauñjyā mekhalayā trivṛtā madhyataḥ saṃnahyati / yā bṛhatī duritā rarāṇā śarma varūthaṃ punatī na āgāt / prāṇāpānābhyāṃ balam ābharantī svasā devānāṃ subhagā mekhaleyam iti
1.6.4	granthiṃ grathnāti / prāṇānāṃ granthir asi sa mā visrasa iti
1.6.5	athājinam uttaraṃ paridhatte / mitrasya cakṣur dharuṇaṃ balīyas tejo yaśasvi sthaviraṃ samiddham / anāhanasyaṃ vasanaṃ jariṣṇu parīdaṃ vājyajinaṃ dadhe'ham iti
1.6.6	jayābhyātānān rāṣṭrabhṛta iti hutvaitā āhutīr juhoti pūrṇā paścād imaṃ me varuṇa tat tvā yāmi tvaṃ no 'gne sa tvaṃ no agne tvam agne 'yāsy ayāś cāgne 'sy anabhiśastīś ca yad asya karmaṇo 'tyarīricaṃ prajāpata ityuttamāṃ hutvā gurave varaṃ dadāti
1.7.1	apareṇāgniṃ dvayān darbhān pūrvāparān udagagrān stṛṇāti
1.7.2	teṣu pūrvāparāvupatiṣṭhete
1.7.3	prāṅmukhaḥ pratyaṅmukhasya hastaṃ gṛhṇīyād ity ekaṃ pratyaṅmukhaḥ prāṅmukhasyetyaparam
1.7.4	athainayoḥ praiṣakṛd añjalī udakena pūrayati
1.7.5	athāsyāñjalināñjalāv udakam ānayati / śaṃ no devīr abhiṣṭaya āpo bhavantu pītaye / śaṃ yor abhisravantu na iti
1.7.6	athāsya dakṣiṇena hastena dakṣiṇaṃ hastam abhīvāṅguṣṭham abhīva lomāni gṛhṇāti / devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ hastena te hastaṃ gṛhṇāmi savitrā prasūtaḥ ko nāmāsīti
1.7.7	asāv itītaraḥ pratyāha
1.7.8	tasya nāmābhipadya japati / asau savitā te hastam agrabhīd agniṣṭa ācāryaḥ kasya brahmacāryasi kasmai tvā kāya tvā kam upanayāmy āgantā mā riṣeṇyataḥ prasthāvāno māvasthātu samanyavo dṛḍhāś cid amariṣṇavaḥ kṛśāś cid amariṣṇava āganta saṃrabhāvahai preto mṛtyuṃ nudāvahai na mṛtyuś caratīha
1.8.1	prāṇāya tvācāryāya paridadāmi kuberāya tvā mahārājāya paridadāmi takṣakāya tvā vaiśāleyāya paridadāmy agnaye tvā paridadāmi vāyave tvā paridadāmi sūryāya tvā paridadāmi prajāpataye tvā paridadāmi prajāpata imaṃ gopāyāmum iti paridāyāthāsya dakṣiṇam aṃsaṃ prati bāhum anvavahṛtya nābhideśam abhimṛśati / yuvā suvāsāḥ parivīta āgāt sa u śreyān bhavati jāyamānaḥ / taṃ dhīrāsaḥ kavaya unnayanti svādhiyo manasā devayanta iti
1.8.2	athāsya dakṣiṇaṃ karṇam ājapati bhūstvayi dadhāmi bhuvastvayi dadhāmīty uttaram
1.8.3	suvastvayi dadhāmīti dakṣiṇam
1.8.4	api vottarameva dviḥ sakṛd eva dakṣiṇam
1.8.5	athainam aśmānam āsthāpayaty ātiṣṭhemam aśmānam aśmeva tvaṃ sthiro bhava pramṛṇīhi durasyūn sahasva pṛtanyata iti
1.8.6	tataḥ samidham ādhāpayaty agnaye samidham āhāriṣaṃ bṛhate jātavedase yathā tvam agne samidhā samidhyasa evaṃ māmāyuṣā varcasā sanyā medhayā prajayā paśubhir brahmavarcasenānnādyena samedhaya svāheti
1.8.7	ekām ādadhāti
1.8.8	tisra eke
1.8.9	saptaike
1.8.10	pradakṣiṇam agniṃ parikramya dakṣiṇata udagāvṛtyopaviśyopasaṃgṛhya pṛcchati
1.9.1	sāvitrīṃ bho anubrūhīti
1.9.2	tasmai sāvitrīṃ paccho'nvāha bhūs tat savitur vareṇyaṃ bhuvo bhargo devasya dhīmahi suvardhiyo yo naḥ pracodayād iti
1.9.3	atha dvitīyaṃ dve ca vyāhṛtī sāvitrīṃ cārdharcaśaḥ
1.9.4	atha tṛtīyaṃ sarvāśca vyāhṛtīḥ sāvitrīṃ cānavānam
1.9.5	purastāt pratyaṅmukhāyaika āhuḥ
1.9.6	tāṃ khalvimāṃ sāvitrīṃ saṃvatsarādeka āhur dvādaśarātrād eke trirātrādeke sadya eke
1.9.7	athainaṃ pauroḍāśīyānāṃ prathamam upakārayati
1.9.8	athāsmai daṇḍaṃ prayacchann āha brahmacāryasi samidha ādhehy apo 'śāna karma kuru mā divā suṣupthā bhikṣācaryaṃ carācāryādhīno vedam adhīṣveti
1.9.9	apa evācāryakule 'śnīyād ity ekam aparaṃ kāmam aśnīṣveti hārtho bhavatīti śālmalīmūlo bhāradvājo vā
1.9.10	athāsyāṣṭācatvāriṃśadvarṣāṇi purāṇaṃ vedabrahmacaryaṃ sampradiśanti
1.9.11	ā vedādhyayanād ity eka āhuḥ
1.9.12	ā godānakarmaṇa ityeke
1.9.13	athainaṃ dakṣiṇe pāṇāvabhipadyotthāpayaty ud āyuṣā svāyuṣeti
1.9.14	ādityam udīkṣayati taccakṣurdevahitaṃ purastācchukram uccarat paśyema śaradaḥ śataṃ jīvema śaradaḥ śataṃ nandāma śaradaḥ śataṃ modāma śaradaḥ śataṃ bhavāma śaradaḥ śataṃ śṛṇavāma śaradaḥ śataṃ prabravāma śaradaḥ śatam ajītāḥ syāma śaradaḥ śataṃ jyokca sūryaṃ dṛśa iti
1.10.1	tato bhikṣate yāṃ manyata iyaṃ mā na pratyākhyāsyatīti
1.10.2	tām āhṛtyopanidhāyācāryāya prāha
1.10.3	tisro bhikṣate 'parimitā vā
1.10.4	trirātram akṣāralavaṇāśyadhaḥśāyī bhavati
1.10.5	athāsya caturthyāṃ medhājananam kurvanti
1.10.6	yatraikamūlaḥ palāśaḥ prācīṃ vodīcīṃ vā diśaṃ taṃ parisamūhya prakṣālya pradakṣiṇam ājyenābhyañjañjapati suśravaḥ suśravasaṃ mā kuru yathā tvaṃ suśravaḥ suśravā asy evaṃ māṃ suśravaḥ suśravasaṃ kuru yathā tvaṃ suśravo devānāṃ vedeṣu nidhigopo'sy evam ahaṃ brāhmaṇānāṃ vedeṣu nidhigopo bhūyāsam iti
1.10.7	athāsya ṣoḍaśavarṣasya godānaṃ kurvanti
1.10.8	tasya cauḍena kalpo vyākhyātaḥ
1.10.9	etāvan nānā sarvān keśān vāpayate
1.10.10	gurave gāṃ varaṃ dadāti
1.10.11	na prāg godānakarmaṇa snānīyam abhiharate na gandhān
1.10.12	saṃvatsaraṃ kṛtagodāno brahmacaryaṃ caraty agnigodāno vā bhavati
1.11.1	catvāri vivāhakaraṇāni vittaṃ rūpaṃ prajñā bāndhavam iti
1.11.2	tāni cet sarvāṇi na śaknuyād vittam udasyet tato rūpam
1.11.3	prajñāyāṃ ca tu bāndhave ca vivadante
1.11.4	bāndhavam udasyed ityeka āhuḥ
1.11.5	aprajñena hi kaḥ saṃvāsaḥ
1.11.6	athaitad aparaṃ na khalviyamarthebhya ūhyate
1.11.7	prajananārtho'syāṃ pradhānaḥ
1.11.8	sa yo 'laṃ saṃlakṣaṇāya syāt sa tām āvaheta yasyāṃ praśastā jāyeran
1.11.9	na svapantīm upagṛhṇīta na carantīm
1.11.10	prathamam abhyāgacchaṃstāṃ maṅgalyāni paripṛcchet
1.11.11	caturo loṣṭān āhared vediloṣṭaṃ gomayaloṣṭaṃ sītāloṣṭaṃ śmaśānaloṣṭam iti
1.11.12	tām āhaiṣām ekam ādatsveti
1.11.13	sā ced vediloṣṭam ādadītādhyāpakaṃ yāyajūkaṃ janayiṣyatīti vidyāt
1.11.14	yadi gomayaloṣṭaṃ bahupaśuṃ janayiṣyatīti vidyāt
1.11.15	yadi sītāloṣṭaṃ kṛṣṭarādhikaṃ janayiṣyatīti vidyāt
1.11.16	yadi śmaśānaloṣṭam ādahanaśīkṣṇī parikhyāteti vidyāt
1.11.17	nainām upagṛhṇīta
1.11.18	atha khalu bahūni lakṣaṇāni bhavanti
1.11.19	ślokaṃ tu lākṣaṇā udāharanti / yasyāṃ mano 'nuramate cakṣuśca pratipadyate / tāṃ vidyāt puṇyalakṣmīkāṃ kiṃ jñānena kariṣyatīti
1.11.20	udagayana upagṛhṇīta
1.11.21	vijñāyata udagayanaṃ devānāmiti daivaṃ punar idaṃ karma
1.12.1	dakṣiṇāyana ityaparam
1.12.2	vijñāyate dakṣiṇāyanaṃ pitṝṇām iti
1.12.3	pitṛsaṃyuktaṃ punaridaṃ karma
1.12.4	pūrvapakṣa upagṛhṇīta
1.12.5	vijñāyate pūrvapakṣo devānām iti
1.12.6	daivaṃ punaridaṃ karma
1.12.7	aparapakṣa ityaparam
1.12.8	vijñāyate 'parapakṣaḥ pitṝṇāmiti
1.12.9	pitṛsaṃyuktaṃ punaridaṃ karma
1.12.10	pūrvāhṇa upagṛhṇīta
1.12.11	vijñāyate pūrvāhṇo devānāmiti
1.12.12	daivaṃ punaridaṃ karma
1.12.13	madhyaṃdina upagṛhṇīta
1.12.14	vijñāyate madhyaṃdinam ṛṣīṇām iti
1.12.15	ṛṣisaṃyuktaṃ punaridaṃ karma
1.12.16	athāpi vijñāyate tasmānmadhyaṃdine sarvāṇi puṇyāni saṃnipatitāni bhavantīti
1.12.17	aparāhṇa upagṛhṇīta
1.12.18	vijñāyate 'parāhṇaḥ pitṝṇāmiti
1.12.19	pitṛsaṃyuktaṃ punaridaṃ karma
1.12.20	athāpi vijñāyate bhagasyāparāhṇa iti
1.12.21	bhagasaṃyuktaṃ punaridaṃ karma
1.12.22	athāpi vijñāyate tasmād aparāhṇe kumāryo bhagam icchamānāś carantīti
1.12.23	puṇyāha upagṛhṇīta
1.12.24	api vai khalu loke puṇyāha eva karmāṇi cikīrṣante
1.12.25	tasmād aślīlanāmaṃś citre nāvasyenna yajeta
1.12.26	yathā pāpāhe kurute tādṛgeva taditi paricaṣṭa eva pāpāham
1.12.27	vijñāyate tu khalv ekeṣām invakābhiḥ prasṛjyante te varāḥ pratininditā maghābhir gāvo gṛhyante phalgunībhyāṃ vyūhyata iti
1.12.28	yāṃ kāmayeta duhitaraṃ priyā syād iti tāṃ niṣṭyāyāṃ dadyāt
1.12.29	priyaiva bhavati naiva tu punarāgacchatīti vijñāyate
1.13.1	tata āha snāpayatainām iti
1.13.2	snātāyai vāsasī prayacchati / yā akṛntannavayanyā atanvata yāśca devīr antān abhito 'dadanta / tās tvā devīr jarase saṃvyayantv āyuṣmatīdaṃ paridhatsva vāsa iti
1.13.3	athaināṃ paridhāpayati / paridhatta dhatta vāsasaināṃ śatāyuṣīṃ kṛṇuta dīrgham āyuḥ / bṛhaspatiḥ prayacchad vāsa etat somāya rājñe paridhātavā u / jarāṃ gacchāsi paridhatsva vāso bhavā kṛṣṭīnām abhiśastipāvatī / śataṃ ca jīva śaradaḥ suvarcā rāyaśca poṣam upasaṃvyayasveti
1.13.4	parihitām abhimantrayate / parīdaṃ vāso adhidhāḥ svastaye 'bhūr āpīnām abhiśastipāvatī / śataṃ ca jīva śaradaḥ purūcīr vasūni cāryā vibhajāsi jīvatīti
1.13.5	athāsyā agreṇa jñātikulam agnim upasamādhāyāghārāv āghāryājyabhāgau juhoty agnaye janivide svāhety uttarārdhapūrvārdhe somāya janivide svāheti dakṣiṇārdhapūrvārdhe
1.13.6	tata etā āhutīr juhoti / bhūḥ svāhā bhuvaḥ svāhā suvaḥ svāhā bhūrbhuvaḥ suvaḥ svāhā / yā tiraścī yānūcī saṃrādhanyai prasādhanyai sadasaspatiṃ yukto vaha jātaveda iti
1.13.7	jayābhyātānān rāṣṭrabhṛta iti hutvaitā āhutīr juhoti
1.14.1	agnir aitu prathamo devatānāṃ so'syai prajāṃ muñcatu mṛtyupāśāt / tad ayaṃ rājā varuṇo 'numanyatāṃ yatheyaṃ strī pautramaghaṃ na rodāt svāhā / imām agnis trāyatāṃ gārhapatyaḥ prajām asyai nayatu dīrgham āyuḥ / aśūnyopasthā jīvatām astu mātā pautram ānandam abhiprabudhyatām iyaṃ svāhā / mā te gṛhe niśi ghoṣa utthād anyatra tvad rudatyaḥ saṃviśantu / mā tvaṃ vikeśyura āvadhiṣṭhā jīvapatnī patiloke virāja paśyantī prajāṃ sumanasyamānāṃ svāhā / dyaus te pṛṣṭhaṃ rakṣatu vāyur ūrū aśvinau ca stanaṃ dhayantaṃ savitābhirakṣatu / ā vāsasaḥ paridhānād bṛhaspatir viśve devā abhirakṣantu paścātsvāhā / aprajastāṃ pautramṛtyuṃ pāpmānamuta vāgham / śīrṣṇaḥ srajam ivonmucya dviṣadbhyaḥ pratimuñcāmi pāśaṃ svāheti
1.14.2	pūrṇā paścād imaṃ me varuṇa tat tvā yāmi tvaṃ no agne sa tvaṃ no agne tvam agne ayāsy ayāś cāgne 'sy anabhiśastīśca yad asya karmaṇo 'tyarīricaṃ prajāpata ityuttamāṃ hutvā gurave varaṃ dadāti
1.15.1	apareṇāgniṃ dvayān darbhān pūrvāparān udagagrān stṛṇāti
1.15.2	teṣu pūrvāparāv upatiṣṭhete
1.15.3	prāṅmukhaḥ pratyaṅmukhyā hastaṃ gṛhṇīyād ity ekam
1.15.4	pratyaṅmukhaḥ prāṅmukhyā ityaparam
1.15.5	athainayoḥ praiṣakṛd añjalī udakena pūrayati
1.15.6	athāsyāñjalināñjalāv udakam ānayati / śaṃ no devīrabhiṣṭaya āpo bhavantu pītaye / śaṃ yor abhisravantu na iti
1.15.7	athāsyā dakṣiṇena hastena dakṣiṇaṃ hastam abhīvāṅguṣṭhamabhīva lomāni gṛhṇāti / devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām / hastena te hastaṃ gṛhṇāmi saubhagatvāya mayā patyā jaradaṣṭiryathāsaḥ / bhago aryamā savitā puraṃdhis te tvā devā adur mahyaṃ patnīm / aghoracakṣur apatighny edhi śivā paśubhyaḥ śantamā prajāyai / kṣurapavir jārebhyo jīvasūr vīrasūḥ syonā mahyaṃ tvādur gārhapatyāya devāḥ / tāṃ naḥ pūṣañchivatamām erayasva yasyāṃ bījaṃ manuṣyā vapanti / yā na ūrū uśatī visrayātai yasyāmuśantaḥ praharema śepham
1.16.1	somaḥ prathamo vivide gandharvas tato 'paraḥ / tṛtīyo agniṣ ṭe patis turīyas te manuṣyajāḥ / somo dadad gandharvāya gandharvo 'gnaye dadat / rayiṃ ca putrāṃś cādād agnir mahyam atho imām / sarasvati predam ava subhage vājinīvati / tāṃ tvā viśvasya bhūtasya pragāyām asy agrata iti
1.16.2	athainau brahmābhimantrayate / samitaṃ saṃkalpethāṃ saṃ vāṃ sṛjāmi hṛdaye / saṃsṛṣṭaṃ mano astu vāṃ saṃsṛṣṭaḥ prāṇo astu vām iti
1.16.3	athainām aśmānam āsthāpayati
1.16.4	ātiṣṭhemam aśmānam aśmeva tvaṃ sthirā bhava / pramṛṇīhi durasyūn sahasva pṛtanāyata iti
1.16.5	pradakṣiṇam agniṃ pariṇayati / viśvā uta tvayā vayaṃ dhārā udanyā iva / atigāhemahi dviṣa iti
1.16.6	athāsyā bhrātāñjalināñjalāv upastīrṇābhighāritān lājān āvapati / iyaṃ nāry upabrūte 'gnau lājān āvapantī / dīrghāyur astu me patir edhantāṃ jñātayo mama / bhagena tvā saṃsṛjāmi māsareṇa surām iveti
1.16.7	athaināṃ vācayati / imān lājān āvapāmi samṛddhikaraṇān mama / tubhyaṃ ca saṃvananāṃs tad agnir anumanyatāmiyaṃ svāheti
1.16.8	evam eva trir āsthāpayati triḥ pariṇayati trir āvapati
1.16.9	athaināṃ prācīṃ vodīcīṃ vā
1.17.1	sapta padāni prakramayaty ekamiṣe viṣṇus tvānvetu dve ūrje viṣṇus tvānvetu trīṇi vratāya viṣṇus tvānvetu catvāri māyobhavāya viṣṇus tvānvetu pañca paśubhyo viṣṇus tvānvetu ṣaḍ rāyaspoṣāya viṣṇus tvānvetu sapta saptabhyo hotrābhyo viṣṇus tvānvetviti
1.17.2	saptame pade samīkṣamāṇo japati / sakhā saptapadā bhava sakhāyau saptapadāvabhūva / sakhyaṃ te gameyaṃ sakhyāt te mā yoṣaṃ sakhyān me mā yoṣṭhā iti
1.17.3	athāsyā dakṣiṇam aṃsaṃ prati bāhum anvavahṛtya hṛdayadeśam abhimṛśati / mama hṛdaye hṛdayaṃ te astu mama citte cittam astu te / mama vācam ekamanā śṛṇu mām evānuvratā bhava sahacaryā mayā bhaveti
1.17.4	athāsyā dakṣiṇaṃ karṇam ājapati / māṃ te cittaṃ praviśatu māṃ cakṣur mām u te manaḥ / mayi sarvāṇi bhūtāni mayi prajñānam astu te / madhu he madhvāgāhe jihvā me madhuvādinī / mukhe me sāraghaṃ madhu datsu saṃvananaṃ kṛtam / cākravākaṃ saṃvananaṃ yan nadībhya udāhṛtam / yad devagandharvo vittas tena saṃvaninau svaḥ / māṃ caiva paśya sūryaṃ ca mānyeṣu manaḥ kṛthā iti
1.18.1	athāsyāḥ svadhitiṃ mūrdhni dhārayanhiraṇyaṃ vodakumbhenāvasiñcati
1.18.2	āpo hi ṣṭhā mayobhuva iti tisṛbhir hiraṇyavarṇāḥ śucayaḥ pāvakā iti catasṛbhiḥ pavamānaḥ suvarjana ity etenānuvākenāvasicya yathārthaṃ vahanti
1.18.3	uhyamānām anumantrayate / ye vadhvaś candraṃ vahatuṃ yakṣmā yanti janāṁ anu / punas tān yajñiyā devā nayantu yata āgatā iti
1.18.4	athaināṃ gṛhān uhyānaḍuhe rohite carmaṇy upaveśayati / iha gāvo niṣīdantv ihāśvā iha puruṣāḥ / iho sahasradakṣiṇo 'bhi pūṣā niṣīdatviti
1.18.5	athainām āgneyena sthālīpākena yājayati
1.18.6	athaitasya sthālīpākasyopahatyābhighārya juhotyagnaye svāhāgnaye 'gnivate svāhāgnaye 'nnādāya svāhāgnaye sviṣṭakṛte svāheti
1.18.7	yāvajjīvam etam agniṃ vrīhibhir yavair vā sāyaṃ prātaḥ paricarati
1.18.8	agnaye svāheti sāyaṃ pūrvāmāhutiṃ juhoti
1.18.9	prajāpataye svāhetyuttarām
1.18.10	saurīṃ pūrvāṃ prātareke samāmananti
1.18.11	aupāsano nityo dhāryaḥ
1.18.12	anugato manthyaḥ śrotriyāgārād vāhāryaḥ
1.18.13	anyatarasya caitad ahar upavāsaḥ
1.19.1	aṣṭamyaḥ parvāṇi copavasati
1.19.2	āgneyena sthālīpākena parvasu yajate
1.19.3	vāgyata āsta ā nakṣatrāṇām udayāt
1.19.4	uditeṣu nakṣatreṣu vatsam anvārabhyotthāpayaty ud āyuṣā svāyuṣeti
1.19.5	athaināṃ dhruvam arundhatīm anyāni ca nakṣatrāṇyabhivīkṣayati namo brahmaṇe dhruvāyācyutāyāstviti etenānuvākena
1.19.6	dhruvam upatiṣṭhate / dhruvakṣitir dhruvayonir dhruvam asi dhruvata sthitam / tvaṃ nakṣatrāṇāṃ methyasi sa mā pāhi pṛtanyata iti
1.19.7	saptarṣayaḥ prathamāṃ kṛttikānām arundhatīṃ dhruvatāṃ ye ha ninyuḥ / ṣaṭ kṛttikā mukhyayogaṃ vahantīyam asmākaṃ bhrājatvaṣṭamīty arundhatīm
1.19.8	trirātram akṣāralavaṇāśināvadhaḥśāyinau brahmacāriṇau bhavataḥ
1.19.9	atha caturthyām apararātre 'ntarāgāre 'gnim upasamādhāya jayābhyātānān rāṣṭrabhṛta iti hutvaitā āhutīr juhoti / agne prāyaścitte tvaṃ devānāṃ prāyaścittir asi brāhmaṇas tvā nāthakāmaḥ prapadye / yāsyāṃ patighnī tanūḥ prajāghnī paśughnī lakṣmighnī jāraghnīmasyai tāṃ kṛṇomi svāhā / vāyo prāyaścitta āditya prāyaścitte prajāpate prāyaścitte tvaṃ devānāṃ prāyaścittirasi brāhmaṇastvā nāthakāmaḥ prapadye / yāsyai ninditā tanūs tām ito nāśayāmasi svāheti
1.20.1	athaināṃ tūṣṇīṃ hiṃkṛtya vāgyata upetyāmūham asmi sā tvaṃ dyaur ahaṃ pṛthivī tvaṃ sāmāham ṛk tvaṃ tāvehi saṃbhavāva saha reto dadhāvahai puṃse putrāya vettavai rāyaspoṣāya suprajāstvāya suvīryāyeti
