#Text:Khādiragṛhyasūtra
#Edition:Sastri 1913 (DCS version)



1.1.1	athāto gṛhyā karmāṇi
1.4.2	brāhmaṇakule 'gnim upasamādhāya paścād agner lohitaṃ carmānaḍuham uttaraloma prāggrīvam āstīrya vāgyatām upaveśayet
1.4.3	prokte nakṣatre 'nvārabdhāyāṃ sruveṇopaghātaṃ juhuyāt ṣaḍbhir lekhāprabhṛtibhiḥ sampātān avanayan mūrdhani vadhvāḥ
1.4.4	pradakṣiṇam agniṃ parikramya dhruvaṃ darśayati dhruvā dyaur iti
1.4.5	abhivādya gurūn gotreṇa visṛjed vācam
1.4.6	gaur dakṣiṇā
1.4.7	atrārghyam
1.4.8	āgateṣv ity eke
1.4.9	trirātraṃ kṣāralavaṇe dugdham iti varjayantau saha śayīyātāṃ brahmacāriṇau
1.4.10	haviṣyam annaṃ parijapyānnapāśenety asāv iti vadhvā nāma brūyāt
1.4.11	bhuktvocchiṣṭaṃ vadhvai dadyāt
1.4.12	ūrdhvaṃ trirātrāc catasṛbhir ājyaṃ juhuyāt agne prāyaścittir iti samasya pañcamīṃ sampātān avanayann udapātre
1.4.13	tenaināṃ sakeśanakhām āplāvayet
1.4.14	tato yathārthaṃ syāt
1.4.15	ṛtukāle dakṣiṇena pāṇinopastham ālabhed viṣṇur yoniṃ kalpayatv iti
1.4.16	samāptāyāṃ sambhaved garbhaṃ dhehīti
1.5.1	yasminnagnau pāṇiṃ gṛhṇīyātsa gṛhyaḥ
1.5.2	yasminvāntyāṃ samidhamādadhyāt
1.5.3	nirmanthyo vā puṇyaḥ so 'nardhukaḥ
1.5.4	ambarīṣādvānayet
1.5.5	bahuyājino vāgārācchūdravarjam
1.5.6	sāyamāhutyupakramaṃ paricaraṇam
1.5.7	prāgastamayodayābhyāṃ prāduṣkṛtya
1.5.8	astamite homaḥ
1.5.9	udite cānudite vā
1.5.10	haviṣyasyānnasyākṛtaṃ cet prakṣālya juhuyātpāṇinā
1.5.11	dadhi cetpayo vā kaṃsena
1.5.12	carusthālyā vā
1.5.13	agnaye svāheti madhye
1.5.14	tūṣṇīṃ prāgudīcīmuttarām
1.5.15	sūryāyeti prātaḥ pūrvām
1.5.16	nātra parisamūhanādīni paryukṣaṇavarjam
1.5.17	patnī juhuyādityeke
1.5.18	gṛhāḥ patnī gṛhyo 'gnireṣa iti
1.5.19	siddhe sāyaṃ prātar bhūtam ityukta omityuccairbrūyāt
1.5.20	mā kṣā namasta ityupāṃśu
1.5.21	haviṣyasyānnasya juhuyāt prājāpatyaṃ sauviṣṭakṛtaṃ ca
1.5.22	balīnnayet
1.5.23	bahirantarvā caturnidhāya
1.5.24	maṇikadeśe
1.5.25	madhye
1.5.26	dvāri
1.5.27	śayyāmanu
1.5.28	varcaṃ vā
1.5.29	atha sastūpam
1.5.30	ekaikamubhayataḥ pariṣiñcet
1.5.31	śeṣam adbhiḥ sārdhaṃ dakṣiṇā ninayet
1.5.32	phalīkaraṇānām apām ācāmasyeti viśrāṇite
1.5.33	pṛthivī vāyuḥ prajāpatirviśve devā āpa oṣadhivanaspataya ākāśaḥ kāmo manyurvā rakṣogaṇāḥ pitaro rudra iti balidaivatāni
1.5.34	tūṣṇīṃ tu kuryāt
1.5.35	sarvasya tvannasyaitatkuryāt
1.5.36	asakṛccedekasmin kāle siddhe sakṛdeva kuryāt
1.5.37	bahudhā cedyadgṛhapateḥ
1.5.38	sarvasya tvannasyāgnau kṛtvāgraṃ brāhmaṇāya dattvā svayaṃ kuryāt
1.5.39	vrīhiprabhṛty ā yavebhyo yavebhyo vāvrīhibhyaḥ svayaṃ haret svayaṃ haret
2.1.1	paurṇamāsopakramau darśapūrṇamāsau
2.1.2	dārśaṃ cetpūrvamupapadyeta paurṇamāseneṣṭvātha tatkuryāt
2.1.3	akurvan paurṇamāsīmākāṅkṣedityeke
2.1.4	aparāhṇe snātvaupavasathikaṃ dampatī bhuñjīyātām
2.1.5	mānadantavya uvāca śreyasīṃ prajāṃ vindate kāmyo bhavatyakṣodhuko ya aupavasathikaṃ bhuṅkte
2.1.6	tasmādyatkāmayeta tadbhuñjīta
2.1.7	nāvratyamācaret
2.1.8	prātarāhutiṃ hutvā
2.1.9	havir nirvaped amuṣmai tvā juṣṭaṃ nirvapāmīti devatāśrayaṃ sakṛdyajurvā dvistūṣṇīm
2.1.10	trirdevebhyaḥ prakṣālayet
2.1.11	dvirmanuṣyebhyaḥ
2.1.12	sakṛtpitṛbhyaḥ
2.1.13	mekṣaṇena pradakṣiṇam udāyuvaṃ śrapayet
2.1.14	śṛtamabhighāryodagudvāsya pratyabhighārayet
2.1.15	sarvāṇyevaṃ havīṃṣi
2.1.16	barhiṣyāsādya
2.1.17	ājyabhāgau juhuyāccaturgṛhītamājyaṃ gṛhītvā pañcāvattaṃ bhṛgūṇāṃ jāmadagnyānāmagnaye svāhetyuttarataḥ somāyeti dakṣiṇataḥ
2.1.18	viparītamitare
2.1.19	ājyamupastīrya haviṣo 'vadyen mekṣaṇena madhyātpurastāditi
2.1.20	paścācca pañcāvattī
2.1.21	abhighārya pratyanaktyavadānasthānāni
2.1.22	na sviṣṭakṛtaḥ
2.1.23	amuṣmai svāheti juhuyād yaddevatyaṃ syāt
2.1.24	sviṣṭakṛtaḥ sakṛd upastīrya dvirbhṛgūṇāṃ sakṛddhaviṣo dvirabhighāryāgnaye sviṣṭakṛte svāheti prāgudīcyāṃ juhuyāt
2.1.25	samidhamādhāya
2.1.26	darbhānājye haviṣi vā triravadhāyāgramadhyamūlānyaktaṃ rihāṇā viyantu vaya ityabhyukṣyāgnāv anuprahared yaḥ paśūnāmadhipatī rudrastanticaro vṛṣā paśūnasmākaṃ mā hiṃsīretadastu hutaṃ tava svāheti
2.1.27	tadyajñavāstu
2.1.28	sarvatra kuryāt
2.1.29	havirucchiṣṭam udag udvāsya brahmaṇe dadyāt
2.1.30	pūrṇapātraṃ dakṣiṇā
2.1.31	yathotsāhaṃ vā
2.2.1	āgneyasthālīpāko 'nāhitāgner darśapūrṇamāsayoḥ
2.2.2	agnīṣomīyaḥ paurṇamāsyām āhitāgneḥ
2.2.3	aindro māhendro vaindrāgno vāmāvāsyāyām
2.2.4	yathā vānāhitāgneḥ
2.2.5	sarvamahaḥ prātarāhuteḥ sthānam
2.2.6	rātriḥ sāyamāhuteḥ
2.2.7	sarvo 'parapakṣaḥ paurṇamāsasya
2.2.8	pūrvapakṣo dārśasya
2.2.9	abhojanena saṃtanuyādityeke
2.2.10	avidyamāne havye yajñiyānāṃ phalāni juhuyāt
2.2.11	palāśāni vā
2.2.12	apo vā
2.2.13	hutaṃ hi
2.2.14	prāyaścittam ahutasya
2.2.15	ājyaṃ juhuyāddhaviṣo 'nādeśe
2.2.16	devatā mantrānādeśe
2.2.17	prathamagarbhe tṛtīye māsi puṃsavanam
2.2.18	snātām ahatenācchādya hutvā patiḥ pṛṣṭhatastiṣṭhet
2.2.19	dakṣiṇam aṃsam anvavamṛśyānantarhitaṃ nābhideśam abhimṛśet pumāṃsāviti
2.2.20	athāparaṃ nyagrodhaśuṅgām ubhayataḥphalām asrāmām akrimiparisṛptāṃ triḥsaptair yavaiḥ parikrīyotthāpayenmāṣairvā sarvatrauṣadhayaḥ sumanaso bhūtvā 'syāṃ vīryaṃ samādhatteyaṃ karma kariṣyatīti
2.2.21	āhṛtya vaihāyasīṃ kuryāt
2.2.22	kumārī brahmacārī vratavatī vā brāhmaṇī peṣayed apratyāharantī
2.2.23	snātāṃ saṃveśya dakṣiṇe nāsikāsrotasyāsiñcet pumānagniriti
2.2.24	athāsyāścaturthe māsi ṣaṣṭhe vā sīmantonnayanam
2.2.25	snātāmahatenācchādya hutvā patiḥ pṛṣṭhatastiṣṭhannanupūrvayā phalavṛkṣaśākhayā sakṛtsīmantamunnayet triśvetayā ca śalalyā 'yamūrjāvato vṛkṣa iti
2.2.26	kṛsaraḥ sthālīpākaḥ
2.2.27	uttaraghṛtamavekṣantīṃ pṛccheta kiṃ paśyasīti
2.2.28	prajāmiti vācayet
2.2.29	pratiṣṭhite vastau soṣyantīhomaḥ
2.2.30	yā tiraścīti dvābhyām
2.2.31	asāviti nāma dadhyāt
2.2.32	tadguhyam
2.2.33	prāṅnābhikṛntanāt stanadānācca vrīhiyavau peṣayecchuṅgāvṛtā
2.2.34	aṅguṣṭhenānāmikayā cādāya kumāraṃ prāśayediyamājñeti
2.2.35	sarpiśca medhāṃ ta iti
2.3.1	jananājjyautsne tṛtīye tṛtīyāyāṃ prātaḥ snāpya kumāramastamite śāntāsu dikṣu pitā candramasamupatiṣṭhet prāñjaliḥ
2.3.2	śucinācchādya mātā prayacched udakchirasam
2.3.3	anupṛṣṭhaṃ gatvottaratastiṣṭhet
2.3.4	yatte susīma iti tisṛbhirupasthāyodañcaṃ mātre pradāya yadada ity apām añjalimavasiñcet
2.3.5	dvistūṣṇīm
2.3.6	jananādūrdhvaṃ daśarātrāc chatarātrāt saṃvatsarādvā nāma kuryāt
2.3.7	snāpya kumāraṃ kariṣyata upaviṣṭasya śucinācchādya mātā prayacched udakchirasam
2.3.8	anupṛṣṭhaṃ gatvottarata upaviśet
2.3.9	hutvā ko 'sīti tasya mukhyān prāṇānabhimṛśet
2.3.10	asāviti nāma kuryāttadeva mantrānte
2.3.11	mātre
2.3.12	prathamamākhyāya
2.3.13	viproṣyāṅgād aṅgād iti putrasya mūrdhānaṃ parigṛhṇīyāt
2.3.14	paśūnāṃ tvetyabhijighret
2.3.15	tūṣṇīṃ striyāḥ
2.3.16	tṛtīye varṣe caulam
2.3.17	tatra nāpita uṣṇodakamādarśaḥ kṣuro vaudumbaraḥ piñjūlya iti dakṣiṇataḥ
2.3.18	ānaḍuho gomayaḥ kṛsaraḥ sthālīpāko vṛthāpakva ityuttarataḥ
2.3.19	mātā ca kumāramādāya
2.3.20	hutvāyamāgāditi nāpitaṃ prekṣet savitāraṃ dhyāyan
2.3.21	uṣṇenetyuṣṇodakaṃ prekṣedvāyuṃ dhyāyan
2.3.22	āpa ityundet
2.3.23	viṣṇorityādarśaṃ prekṣedaudumbaraṃ vā
2.3.24	oṣadha iti darbhapiñjūlīḥ saptordhvāgrā abhinidhāya
2.3.25	svadhita ityādarśena kṣureṇaudumbareṇa vā
2.3.26	yena pūṣeti dakṣiṇatastriḥ prāñcaṃ prohet
2.3.27	sakṛdāyasena pracchidyānaḍuhe gomaye keśān kuryāt
2.3.28	undanaprabhṛtyevaṃ paścāduttarataśca
2.3.29	tryāyuṣamiti putrasya mūrdhānaṃ parigṛhya japet
2.3.30	udaṅṅutsṛpya kuśalī kārayed yathāgotrakulakalpam
2.3.31	araṇye keśānnikhaneyuḥ
2.3.32	stambe nidadhatyeke
2.3.33	gaurdakṣiṇā
2.4.1	aṣṭame varṣe brāhmaṇamupanayet
2.4.2	tasyā ṣoḍaśād anatītaḥ kālaḥ
2.4.3	ekādaśe kṣatriyam
2.4.4	tasyā dvāviṃśāt
2.4.5	dvādaśe vaiśyam
2.4.6	tasyā caturviṃśāt
2.4.7	kuśalīkṛtam alaṃkṛtam ahatenācchādya hutvāgne vratapata iti
2.4.8	uttarato 'gneḥ pratyaṅmukham avasthāpyāñjaliṃ kārayet
2.4.9	svayaṃ copari kuryāt
2.4.10	dakṣiṇatastiṣṭhanmantravān brāhmaṇa ācāryāyodakāñjaliṃ pūrayet
2.4.11	āgantreti japet prekṣamāṇe
2.4.12	ko nāmāsītyukto devatāśrayaṃ nakṣatrāśrayaṃ vābhivādanīyaṃ nāma brūyād asāvasmīti
2.4.13	utsṛjyāpo devasya ta iti dakṣiṇottarābhyāṃ hastābhyāmañjaliṃ gṛhṇīyādācāryaḥ
2.4.14	sūryasyeti pradakṣiṇamāvartayet
2.4.15	dakṣiṇamaṃsamanvavamṛśyānantarhitāṃ nābhimālabhet prāṇānāmiti
2.4.16	athainaṃ paridadyādantakaprabhṛtibhiḥ
2.4.17	dakṣiṇamaṃsaṃ prajāpataye tveti
2.4.18	savyena savyaṃ devāya tveti
2.4.19	brahmacāryasīti
2.4.20	saṃpreṣyopaviśya dakṣiṇajānvaktam añjalikṛtaṃ pradakṣiṇaṃ muñjamekhalām ābadhnan vācayed iyaṃ duruktāditi
2.4.21	adhīhi bho ityupasīdet
2.4.22	tasmā anvāha sāvitrīṃ paccho 'rdharcaśaḥ sarvām iti sāvitrīṃ vācayet
2.4.23	mahāvyāhṛtīścaikaikaśaḥ
2.4.24	oṃkāraṃ ca
2.4.25	prayacchatyasmai vārkṣaṃ daṇḍam
2.4.26	suśravaḥ suśravasaṃ meti
2.4.27	samidhamādadhyād agnaye samidhamiti
2.4.28	bhaikṣaṃ caret
2.4.29	mātaramagre
2.4.30	athānyāḥ suhṛdaḥ
2.4.31	ācāryāya bhaikṣaṃ nivedayet
2.4.32	tiṣṭhed āstamayāt tūṣṇīṃ
2.4.33	trirātraṃ kṣāralavaṇadugdhamiti varjayet
2.5.1	godāne caulavat kalpaḥ
2.5.2	salomaṃ vāpayet
2.5.3	go'śvāvimithunāni dakṣiṇāḥ pṛthagvarṇānām
2.5.4	sarveṣāṃ vā gauḥ
2.5.5	ajaḥ keśapratigrahāya
2.5.6	uktamupanayanam
2.5.7	nācariṣyantaṃ saṃvatsaram
2.5.8	aniyuktaṃ tvahatam
2.5.9	tathālaṅkāraḥ
2.5.10	adhassaṃveśī
2.5.11	amadhumāṃsāśī syāt
2.5.12	maithunakṣurakṛtyasnānāvalekhanadantadhāvanapādadhāvanāni varjayet
2.5.13	nāsya kāme retaḥ skandet
2.5.14	na goyuktamārohet
2.5.15	na grāma upānahau
2.5.16	mekhalādhāraṇabhaikṣacaryadaṇḍasamidādhānopasparśanaprātarabhivādā nityam
2.5.17	godānavrātikādityavrataupaniṣadajyeṣṭhasāmikāḥ saṃvatsarāḥ
2.5.18	nādityavratamekeṣām
2.5.19	ye carantyekavāsaso bhavanti
2.5.20	ādityaṃ ca nāntardadhate
2.5.21	na cāpo 'bhyupayanti
2.5.22	śakvarīṇāṃ dvādaśa nava ṣaṭtraya iti vikalpāḥ
2.5.23	kṛṣṇavastraḥ
2.5.24	kṛṣṇabhakṣaḥ
2.5.25	ācāryādhīnaḥ
2.5.26	tiṣṭheddivā
2.5.27	āsīta naktam
2.5.28	saṃvatsaramekeṣāṃ pūrvaiḥ śrutāścet
2.5.29	upoṣitāya pariṇaddhākṣāyānugāpayet
2.5.30	yathā mā na pradhakṣyatīti taṃ prātar abhivīkṣayanti yāny apradhakṣyanti manyante 'po 'gniṃ vatsamādityam
2.5.31	apo 'bhivyakhyamityapo jyotirabhivyakhyamityagniṃ paśūnabhivyakhyamiti vatsaṃ sur abhivyakhyamityādityaṃ visṛjedvācam
2.5.32	gaurdakṣiṇā
2.5.33	kaṃso vāso rukmaśca
2.5.34	anupravacanīyeṣvṛcaṃ sāma sadasaspatimiti cājyaṃ juhuyāt
2.5.35	cityayūpopasparśanakarṇakrośākṣivepaneṣu sūryābhyuditaḥ sūryābhinirmukta indriyaiśca pāpasparśaiḥ punarmāmityetābhyāmāhutiṃ juhuyāt
2.5.36	ājyalipte vā samidhau
2.5.37	japedvā laghuṣu japedvā laghuṣu
3.1.1	āplavane purastād ācāryakulasya parivṛta āste
3.1.2	udaṅmukha ācāryaḥ prāgagreṣu
3.1.3	evaṃ brahmavarcasakāmaḥ
3.1.4	goṣṭhe paśukāmaḥ
3.1.5	sabhāyāṃ yaśaskāmaḥ
3.1.6	sarvauṣadhenāpaḥ phāṇayet
3.1.7	surabhibhiś ca
3.1.8	tābhiḥ śītoṣṇābhir ācāryo 'bhiṣiñcet
3.1.9	svayaṃ vā mantrābhivādāt
3.1.10	ubhāv ity eke tenemam ity ācāryo brūyāt
3.1.11	ye apsv ity apām añjalim avasiñcet
3.1.12	yad apām iti ca
3.1.13	tūṣṇīṃ ca
3.1.14	yo rocana iti gṛhyātmānam abhiṣiñcet
3.1.15	yena striyam iti ca
3.1.16	tūṣṇīṃ ca
3.1.17	udyann ity ādityam upatiṣṭhet
3.1.18	samasyed vā
3.1.19	viharann anusaṃharec cakṣur asīti
3.1.20	ud uttamam iti mekhalām avamuñcet
3.1.21	prāśya vāpayec chikhāvarjaṃ keśaśmaśrulomanakhāni
3.1.22	alaṃkṛto 'hatavāsasā śrīr iti srajaṃ pratimuñcet
3.1.23	netryau stha ity upānahau
3.1.24	vaiṇavaṃ daṇḍam ādadhyāt gandharvo 'sīti
3.1.25	upetyācāryaṃ pariṣadaṃ prekṣed yakṣam iveti
3.1.26	upaviśyauṣṭhāpidhāneti mukhyān prāṇān abhimṛśet
3.1.27	goyuktaṃ ratham ālabhet vanaspata iti
3.1.28	āsthātā ta ity ārohet
3.1.29	prācīṃ prayāyodīcīṃ vā pradakṣiṇam āvartayet
3.1.30	pratyāgatāyārghyam ity eke
3.1.31	vṛddhaśīlī syād ata ūrdhvam
3.1.32	nājātalomyopahāsam icchet
3.1.33	nāyugvā
3.1.34	na rajasvalayā
3.1.35	na samānarṣyā
3.1.36	aparayā dvārā prapannadviḥpakvaparyuṣitāni nāśnīyāt
3.1.37	anyatra śākamāṃsayavapiṣṭavikārebhyaḥ
3.1.38	pāyasāc ca
3.1.39	phalapracayanodapānāvekṣaṇavarṣatidhāvanopānatsvayaṃharaṇāni na kuryāt
3.1.40	nāgandhāṃ srajaṃ dhārayen na ceddhiraṇyasrak
3.1.41	bhadram iti na vṛthā vyāharet
3.1.42	puṣṭikāmo gāḥ prakālayetemā ma iti
3.1.43	pratyāgatā imā madhumatīr iti
3.1.44	puṣṭikāma eva prathamajātasya vatsasya prāṅ mātuḥ pralehanāl lalāṭam ullihya nigiret gavām iti
3.1.45	samprajātāsu goṣṭhe niśāyāṃ vilayanaṃ juhuyāt saṃgraheṇeti
3.1.46	athāparaṃ vatsamithunayoḥ karṇe lakṣaṇaṃ kuryāt bhuvanam iti
3.1.47	puṃso 'gre
3.1.48	lohitenety anumantrayeta
3.1.49	tantīṃ prasāritām iyaṃ tantīti
3.2.1	śrāvaṇyāṃ paurṇamāsyāṃ gṛhyādagnim atipraṇīya pratidiśamupalimpedadhike prakrame
3.2.2	sakṛdgṛhītān saktūn darvyāṃ kṛtvā pūrvopalipte ninīyāpo yaḥ prācyāmiti baliṃ nirvapet
3.2.3	ninayedapāṃ śeṣam
3.2.4	apa upaspṛśyaivaṃ pratidiśaṃ yathāliṅgam
3.2.5	dakṣiṇapaścime antareṇāgniṃ ca saṃcaraḥ
3.2.6	śūrpeṇa śiṣṭān agnāvopyātipraṇītād anatipraṇītasyārdhaṃ gatvā nyañcau pāṇī kṛtvā namaḥ pṛthivyā iti japet
3.2.7	tata utthāya somo rājeti darbhastambamupasthāya
3.2.8	akṣatānādāya prāṅvodaṅvā grāmānniṣkramya juhuyādañjalinā haye rāka iti catasṛbhiḥ
3.2.9	prāṅutkramya japed vasuvana edhīti tristriḥ pratidiśamavāntaradeśeṣu ca
3.2.10	ūrdhvaṃ prekṣan devajanebhyaḥ
3.2.11	tiryaṅṅitarajanebhyaḥ
3.2.12	avāṅprekṣan pratyetyānavekṣannakṣatān prāśnīyāt
3.2.13	śvobhūte 'kṣatasaktūn kṛtvā nave pātre nidhāyāstamite balīn hared āgrahāyaṇyāḥ
3.2.14	prauṣṭhapadīṃ hastenādhyāyānupākuryuḥ
3.2.15	śrāvaṇīmityeke
3.2.16	hutvopanayanavat
3.2.17	sāvitrīmanuvācayet
3.2.18	somaṃ rājānaṃ parvādīṃśca
3.2.19	dhānā dadhi ca prāśnīyurabhirūpābhyām
3.2.20	śvobhūte prādhīyīran śiṣyebhyaḥ
3.2.21	anuvākyāḥ kuryurṛgādibhiḥ prastāvaiśca
3.2.22	anugānaṃ rahasyānām
3.2.23	vidyutstanayitnuvarjam
3.2.24	ardhapañcamānmāsānadhītya pauṣīmutsargaḥ
3.2.25	tata ūrdhvamabhrānadhyāyaḥ
3.2.26	vidyutstanayitnupṛṣiteṣu ca
3.2.27	trisannipāte trisandhyam
3.2.28	aṣṭakāmamāvāsyāṃ cāturmāsīrudagayane ca pakṣiṇīṃ rātrīm
3.2.29	sabrahmacāriṇi ca prete
3.2.30	ulkāpāte bhūmicale jyotiṣoścopasarga eteṣvākālikaṃ vidyāt
3.2.31	kārṣvaṃ tu kaṭhakauthumāḥ
3.3.1	āśvayujīṃ rudrāya pāyasaḥ
3.3.2	mā nastoka iti juhuyāt
3.3.3	payasyavanayedājyaṃ tatpṛṣātakam
3.3.4	tenābhyāgatā gā ukṣed ā no mitrāvaruṇeti
3.3.5	vatsāṃśca mātṛbhiḥ saha vāsayet tāṃ rātrim
3.3.6	navayajñe pāyasa aindrāgnaḥ
3.3.7	śatāyudhāyeti catasṛbhirājyaṃ juhuyād upariṣṭāt
3.3.8	agniḥ prāśnātviti ca
3.3.9	tasya śeṣaṃ prāśnīyuryāvanta upetāḥ
3.3.10	upastīryāpo dvirnavasyāvadyet
3.3.11	trirbhṛgūṇām
3.3.12	apāṃ copariṣṭāt
3.3.13	bhadrānna ity asaṃkhādya pragiret tristriḥ
3.3.14	etam u tyamiti vā yavānām
3.3.15	amo 'sīti mukhyān prāṇānabhimṛśet
3.3.16	āgrahāyaṇakarma śrāvaṇena vyākhyātam
3.3.17	namaḥ pṛthivyā iti na japet
3.3.18	pradoṣe pāyasasya juhuyāt prathameti
3.3.19	nyañcau pāṇī kṛtvā pratikṣatra iti japet
3.3.20	paścādagneḥ svastaram udagagraistṛṇair udakpravaṇam āstīrya tasminnāstaraṇe gṛhapatirāste
3.3.21	anupūrvamitare
3.3.22	anantarā bhāryā putrāśca
3.3.23	nyañcau pāṇī kṛtvā syoneti gṛhapatirjapet
