#Text:Kauśikasūtra
#Edition:Bloomfield (DCS version)



1.1.1	atha vidhiṃ vakṣyāmaḥ
1.2.31	vilīnapūtam ājyaṃ gṛhītvādhiśritya paryagni kṛtvodag udvāsya paścād agner upasādyodagagrābhyāṃ pavitrābhyām utpunāti
1.2.32	viṣṇor manasā pūtam asi
1.2.33	devas tvā savitot punātu
1.2.34	acchidreṇa tvā pavitreṇa śatadhāreṇa sahasradhāreṇa supvot punāmi iti tṛtīyam
1.2.35	tūṣṇīṃ caturtham
1.2.36	śṛtaṃ havir abhighārayati madhvā samañjan ghṛtavat karātha iti
1.2.37	abhighāryodañcam udvāsayati ud vāsayāgneḥ śṛtam akarma havyam ā sīda pṛṣṭham amṛtasya dhāma iti
1.2.38	paścād ājyasya nidhāyālaṃkṛtya samānenotpunāti
1.2.39	adārasṛt ityavekṣate
1.2.40	ut tiṣṭhata ityaindram
1.2.41	agnir bhūyām iti tisṛbhir upasamādadhāti asmai kṣatrāṇi etam idhmam iti vā
1.3.1	yunajmi tvā brahmaṇā daivyena havyāyāsmai voḍheva jātavedaḥ indhānās tvā suprajasaḥ suvīrā jyog jīvema balihṛto vayaṃ te iti
1.3.2	dakṣiṇato jāṅmāyanam udapātram upasādyābhimantrayate tathodapātraṃ dhāraya yathāgre brahmaṇaspatiḥ satyadharmā adīdharad devasya savituḥ save iti
1.3.3	athodakam āsiñcati iheta devīr amṛtaṃ vasānā hiraṇyavarṇā anavadyarūpāḥ āpaḥ samudro varuṇaś ca rājā saṃpātabhāgān haviṣo juṣantām indrapraśiṣṭā varuṇaprasūtā apaḥ samudrād divam ud vahantu indrapraśiṣṭā varuṇaprasūtā divas pṛthivyā śriyam ud vahantu iti
1.3.4	ṛtaṃ tvā satyena pariṣiñcāmi jātavedaḥ iti saha havirbhiḥ paryukṣya jīvābhir ācamyotthāya vedaprapadbhiḥ prapadyata oṃ prapadye bhūḥ prapadye bhuvaḥ prapadye svaḥ prapadye janat prapadye iti
1.3.5	prapadya paścāt stīrṇasya darbhān āstīrya ahe daidhiṣavyod atas tiṣṭhāny asya sadane sīda yo 'smat pākatara iti brahmāsanam anvīkṣate
1.3.6	nirastaḥ parāgvasuḥ saha pāpmanā nirastaḥ so 'stu yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣma iti dakṣiṇā tṛṇaṃ nirasyati
1.3.7	tad anvālabhya japati idam aham arvāgvasoḥ sadane sīdāmyṛtasya sadane sīdāmi satyasya sadane sīdāmīṣṭasya sadane sīdāmi pūrtasya sadane sīdāmi māmṛṣad deva barhiḥ svāsasthaṃ tvādhyāsadeyam ūrṇamradam anabhiśokam
1.3.8	vimṛgvarīṃ ityupaviśyāsanīyaṃ brahmajapaṃ japati bṛhaspatir brahmā brahmasadana āsiṣyate bṛhaspate yajñaṃ gopāya yad ud udvata un nivataḥ śakeyam iti
1.3.9	darbhaiḥ sruvaṃ nirmṛjya niṣṭaptaṃ rakṣo niṣṭaptā arātayaḥ pratyuṣṭaṃ rakṣaḥ pratyuṣṭā arātayaḥ iti pratapya mūle sruvaṃ gṛhītvā japati viṣṇor hasto 'si dakṣiṇaḥ pūṣṇā datto bṛhaspateḥ taṃ tvāhaṃ sruvam ā dade devānāṃ havyavāhanam ayaṃ sruvo vi dadhāti homān śatākṣarachandasā jāgatena sarvā yajñasya samanakti viṣṭhā bārhaspatyeṣṭiḥ śarmaṇā daivyena iti
1.3.10	oṃ bhūḥ śaṃ bhūtyai tvā gṛhṇe bhūtaye iti prathamaṃ grahaṃ gṛhṇāti
1.3.11	oṃ bhuvaḥ śaṃ puṣṭyai tvā gṛhṇe puṣṭaye iti dvitīyam
1.3.12	oṃ svaḥ śaṃ tvā gṛhṇe sahasrapoṣāya iti tṛtīyam
1.3.13	oṃ jagacchaṃ tvā gṛhṇe 'parimitapoṣāya iti caturtham
1.3.14	rājakarmābhicārikeṣu amuṣya tvā prāṇāya gṛhṇe 'pānāya vyānāya samānāyodānāya iti pañcamam
1.3.15	agnāv agniḥ hṛdā pūtam purastād yuktaḥ yajñasya cakṣuḥ iti juhoti
1.3.16	paścād agner madhyadeśe samānatra purastāddhomān
1.3.17	dakṣiṇenāgnim udapātra ājyāhutīnāṃ saṃpātān ānayati
1.3.18	purastāddhoma ājyabhāgaḥ saṃsthitahomaḥ samṛddhiḥ śāntānām
1.3.19	ityetāvājyabhāgau
1.4.1	vṛṣṇe bṛhate svarvide agnaye śulkaṃ harāmi tviṣīmate sa na sthirān balavataḥ kṛṇotu jyok ca no jīvātave dadhāti agnaye svāhā ityuttarapūrvārdha āgneyam ājyabhāgaṃ juhoti
1.4.2	dakṣiṇapūrvārdhe somāya tvaṃ soma divyo nṛcakṣāḥ sugāṁ asmabhyaṃ patho anu khyaḥ abhi no gotraṃ viduṣa iva neṣo 'cchā no vācam uśatīṃ jigāsi somāya svāhā iti
1.4.3	madhye haviḥ
1.4.4	upastīryājyaṃ saṃhatābhyām aṅgulibhyāṃ dvir haviṣo 'vadyati madhyāt pūrvārdhācca
1.4.5	avattam abhighārya dvir haviḥ pratyabhighārayati
1.4.6	yato yato 'vadyati tad anupūrvam
1.4.7	evaṃ sarvāṇyavadānāni
1.4.8	anyatra sauviṣṭakṛtāt
1.4.9	ud enam uttaraṃ naya iti purastāddhomasaṃhatāṃ pūrvām
1.4.10	evaṃ pūrvāṃ pūrvāṃ saṃhatāṃ juhoti
1.4.11	svāhāntābhiḥ pratyṛcaṃ homāḥ
1.4.12	yām uttarām agner ājyabhāgasya juhoti rakṣodevatyā sā yāṃ dakṣiṇataḥ somasya pitṛdevatyā sā
1.4.13	tasmād antarā hotavyā devaloka eva hūyante
1.4.14	yāṃ hutvā pūrvām aparāṃ juhoti sāpakramantī sa pāpīyān yajamāno bhavati
1.4.15	yāṃ parāṃ parāṃ saṃhatāṃ juhoti sābhikramantī sa vasīyān yajamāno bhavati
1.4.16	yām anagnau juhoti sāndhā tayā cakṣur yajamānasya mīyate so 'ndhaṃbhāvuko yajamāno bhavati
1.4.17	yāṃ dhūme juhoti sā tamasi hūyate so 'rocako yajamāno bhavati
1.4.18	yāṃ jyotiṣmati juhoti tayā brahmavarcasī bhavati tasmājjyotiṣmati hotavyam
1.4.19	evam asmai kṣatram agnīṣomau ityagniṣomīyasya
1.5.1	agnīṣomā savedasā sahūtī vanataṃ giraḥ sa devatrā babhūvathuḥ yuvam etāni divi rocanāny agniś ca soma sakratū adhattam yuvaṃ sindhūṃr abhiśaster avadyād agnīṣomāv amuñcataṃ gṛbhītān agnīṣomā ya āhutiṃ yo vāṃ dāśāddhaviṣkṛtim sa prajayā suvīryaṃ viśvam āyur vyaśnavat
1.5.2	indrāgnī rocanā divaḥ pari vājeṣu bhūṣathaḥ tad vāṃ ceti pra vīryam śnathad vṛtram uta sanoti vājam indrā yo agnī sahurī saparyāt irajyantā vasavyasya bhūreḥ sahastamā sahasā vājayantā indrāgnī asmān rakṣatāṃ yau prajānāṃ prajāvatī sa prajayā suvīryaṃ viśvam āyur vyaśnavat gomaddhiraṇyavad vasu yad vām aśvāvad īmahe indrāgnī vanemahi svāhā iti
1.5.3	aindrāgnasya haviṣo 'māvāsyāyām
1.5.4	prāk sviṣṭakṛtaḥ pārvaṇahomau samṛddhihomāḥ kāmyahomāś ca
1.5.5	pūrṇā paścāt iti paurṇamāsyām
1.5.6	yat te devā akṛṇvan bhāgadheyam ityamāvāsyāyām
1.5.7	ākūtyai tvā svāhā kāmāya tvā svāhā samṛdhe tvā svāhā ākūtyai tvā kāmāya tvā samṛdhe tvā svāhā ṛcā stomaṃ samardhaya gāyatreṇa rathantaraṃ bṛhad gāyatravartani svāhā
1.5.8	pṛthivyām agnaye samanaman iti saṃnatibhiś ca prajāpate na tvad etāny anyaḥ iti ca
1.5.9	upastīryājyaṃ sarveṣām uttarataḥ sakṛtsakṛd avadāya dvir avattam abhighārayati
1.5.10	na havīṃṣi
1.5.11	ā devānām api panthām aganma yacchaknavāma tad anupravoḍhum agnir vidvān sa yajāt sa iddhotā so 'dhvarān sa ṛtūn kalpayāti agnaye sviṣṭakṛte svāhā ity uttarapūrvārdhe 'vayutaṃ hutvā sarvaprāyaścittīyān homāñjuhoti
1.5.12	svāheṣṭebhyaḥ svāhā vaṣaḍ aniṣṭebhyaḥ svāhā bheṣajaṃ sviṣṭyai svāhā niṣkṛtir duriṣṭyai svāhā daivībhyas tanūbhyaḥ svāhā ayāś cāgne 'sy anabhiśastiś ca satyam it tvam ayā asi ayāsā manasā kṛto 'yās san havyam ūhiṣe ā no dhehi bheṣajam svāhā iti oṃ svāhā bhūḥ svāhā bhuvaḥ svāhā svaḥ svāhoṃ bhūr bhuvaḥ svaḥ svāhā iti
1.6.1	yan me skannaṃ manaso jātavedo yad vāskandaddhaviṣo yatra yatra utpruṣo vipruṣaḥ saṃ juhomi satyāḥ santu yajamānasya kāmāḥ svāhā iti
1.6.2	yan me skannaṃ yad asmṛti iti ca skannāsmṛtihomau
1.6.3	yad adya tvā prayati iti saṃsthitahomāḥ
1.6.4	manasas pate iti uttamaṃ caturgṛhītena
1.6.5	barhir ājyaśeṣe 'nakti
1.6.6	pṛthivyai tvā iti mūlam antarikṣāya tvā iti madhyaṃ dive tvā iti agram evaṃ triḥ
1.6.7	saṃ barhir aktam ity anupraharati yathādevatam
1.6.8	sruvam agnau dhārayati
1.6.9	yad ājyadhānyāṃ tat saṃsrāvayati saṃsrāvabhāgās taviṣā bṛhantaḥ prastareṣṭhā barhiṣadaś ca devāḥ imaṃ yajñam abhi viśve gṛṇantaḥ svāhā devā amṛtā mādayantām iti
1.6.10	sruvo 'si ghṛtād aniśitaḥ sapatnakṣayaṇo divi ṣīda antarikṣe sīda pṛthivyāṃ sīdottaro 'haṃ bhūyāsam adhare matsapatnāḥ iti sruvaṃ prāgdaṇḍaṃ nidadhāti
1.6.11	vi muñcāmi brahmaṇā jātavedasam agniṃ hotāram ajaraṃ rathaspṛtam sarvā devānāṃ janimāni vidvān yathābhāgaṃ vahatu havyam agniḥ agnaye svāhā iti samidham ādadhāti
1.6.12	edho 'si iti dvitīyāṃ samid asi iti tṛtīyam
1.6.13	tejo 'si iti mukhaṃ vimārṣṭi
1.6.14	dakṣiṇenāgniṃ trīn viṣṇukramān kramate viṣṇoḥ kramo 'si iti dakṣiṇena pādenānusaṃharati savyam
1.6.15	sūryasyāvṛtam ity abhidakṣiṇam āvartate
1.6.16	aganma svaḥ ity ādityam īkṣate
1.6.17	indrasya vacasā vayaṃ mitrasya varuṇasya ca brahmaṇā sthāpitaṃ pātraṃ punar utthāpayāmasi ity apareṇāgnim udapātraṃ parihṛtyottareṇāgnim āpo hi ṣṭhā mayobhuvaḥ iti mārjayitvā barhiṣi patnyāñjalau ninayati samudraṃ vaḥ pra hiṇomi iti idaṃ janāsaḥ iti vā
1.6.18	vīrapatny ahaṃ bhūyāsam iti mukhaṃ vimārṣṭi
1.6.19	vratāni vratapataye iti samidham ādadhāti
1.6.20	satyaṃ tvartena iti pariṣicyodañci havirucchiṣṭāny udvāsayati
1.6.21	pūrṇapātraṃ dakṣiṇā
1.6.22	nādakṣiṇaṃ haviḥ kurvīta yaḥ kurute kṛtyām ātmanaḥ kurute iti brāhmaṇam
1.6.23	anvāhāryaṃ brāhmaṇān bhojayati
1.6.24	yad vai yajñasyānanvitaṃ bhavati tad anvāhāryeṇānvāhriyate
1.6.25	etad anvāhāryasyānvāhāryatvam
1.6.26	īḍyā vā anye devāḥ saparyeṇyā anye devā īḍyā devā brāhmaṇāḥ saparyeṇyāḥ
1.6.27	yajñenaiveḍyān prīṇāti anvāhāryeṇa saparyeṇyān
1.6.28	te 'syobhe prītā yajñe bhavantīti
1.6.29	imau darśapūrṇamāsau vyākhyātau
1.6.30	darśapūrṇamāsābhyāṃ pākayajñāḥ
1.6.31	kumbhīpākād eva vyuddhāraṃ juhuyāt
1.6.32	adhiśrayaṇaparyagnikaraṇābhighāraṇodvāsanālaṃkaraṇotpavanaiḥ saṃskṛtya
1.6.33	athāpi ślokau bhavataḥ ājyabhāgāntaṃ prāktantram ūrdhvaṃ sviṣṭakṛtā saha havīṃṣi yajña āvāpo yathā tantrasya tantavaḥ pākayajñān samāsādyaikājyān ekabarhiṣaḥ ekasviṣṭakṛtaḥ kuryānnānāpi sati daivata iti
1.6.34	etenaivāmāvāsyo vyākhyātaḥ
1.6.35	aindrāgno 'tra dvitīyo bhavati
1.6.36	tayor vyatikrame tvam agne vratapā asi kāmas tadagre iti śāntāḥ
1.7.1	aśnātyanādeśe sthālīpākaḥ
1.7.2	puṣṭikarmasu sārūpavatse
1.7.3	ājyaṃ juhoti
1.7.4	samidham ādadhāti
1.7.5	āvapati vrīhiyavatilān
1.7.6	bhakṣayati kṣīraudanapuroḍāśarasān
1.7.7	manthaudanau prayacchati
1.7.8	pūrvaṃ triṣaptīyam
1.7.9	udakacodanāyām udapātraṃ pratīyāt
1.7.10	purastāduttarataḥ saṃbhāram āharati
1.7.11	gor anabhiprāpād vanaspatīnām
1.7.12	sūryodayanataḥ
1.7.13	purastāduttarato 'raṇye karmaṇāṃ prayogaḥ
1.7.14	uttarata udakānte prayujya karmāṇy apāṃ sūktair āplutya pradakṣiṇam āvṛtya apa upaspṛśyānavekṣamāṇā grāmam udāvrajanti
1.7.15	āśyabandhyāplavanayānabhakṣāṇi saṃpātavanti
1.7.16	sarvāṇyabhimantryāṇi
1.7.17	strīvyādhitāvāplutāvasiktau śirastaḥ prakramyā prapadāt pramārṣṭi
1.7.18	pūrvaṃ prapādya prayacchati
1.7.19	trayodaśyādayas tisro dadhimadhuni vāsayitvā badhnāti
1.7.20	āśayati
1.7.21	anvārabdhāyābhimantraṇahomāḥ
1.7.22	paścād agneś carmaṇi haviṣāṃ saṃskāraḥ
1.7.23	ānaḍuhaḥ śakṛtpiṇḍaḥ
1.7.24	jīvaghātyaṃ carma
1.7.25	akarṇo 'śmā
1.7.26	āplavanāvasecanānām ācāmayati ca
1.7.27	saṃpātavatām aśnāti nyaṅkte vā
1.7.28	abhyādheyānāṃ dhūmaṃ niyacchati
1.7.29	śucinā karmaprayogaḥ
1.8.1	purastāddhomavatsu niśākarmasu pūrvāhṇe yajñopavītī śālāniveśamaṃ samūhayatyupavatsyadbhaktam aśitvā snāto 'hatavasanaḥ prayuṅkte
1.8.2	svastyayaneṣu ca
1.8.3	ījyānāṃ diśyān balīn harati
1.8.4	pratidiśam upatiṣṭhate
1.8.5	sarvatrādhikaraṇam kartur dakṣiṇā
1.8.6	trir udakakriyā
1.8.7	anantarāṇi samānāni yuktāni
1.8.8	śāntaṃ saṃbhāram
1.8.9	adhikṛtasya sarvam
1.8.10	viṣaye yathāntaram
1.8.11	pra yaccha parśum iti darbhalavanaṃ prayacchati
1.8.12	arātīyoḥ iti takṣati
1.8.13	yat tvā śikvaḥ iti prakṣālayati
1.8.14	yadyat kṛṣṇaḥ iti mantroktam
1.8.15	palāśodumbarajambukāmpīlasragvaṅghaśirīṣasraktyavaraṇabilvajaṅgiḍakuṭakagarhyagalāvalavetasaśimbalasipunasyandanāraṇikāśmayoktatunyupūtudāravaḥ śāntāḥ
1.8.16	citiprāyaścittiśamīśamakāsavaṃśāśāmyavākātalāśapalāśavāśāśiṃśapāśimbalasipunadarbhāpāmārgākṛtiloṣṭavalmīkavapādūrvāprāntavrīhiyavāḥ śāntāḥ
1.8.17	pramandośīraśalalyupadhānaśakadhūmā jarantaḥ
1.8.18	sīsanadīsīse ayorajāṃsi kṛkalāsaśiraḥ sīnāni
1.8.19	dadhi ghṛtaṃ madhūdakam iti rasāḥ
1.8.20	vrīhiyavāgodhūmopavākatilapriyaṅguśyāmākā iti miśradhānyāni
1.8.21	grahaṇam ā grahaṇāt
1.8.22	yathārtham udarkān yojayet
1.8.23	ihaiva dhruvām eha yātu yamo mṛtyuḥ satyaṃ bṛhat ityanuvāko vāstoṣpatīyāni
1.8.24	divyo gandharvaḥ imaṃ me agne yau te mātā iti mātṛnāmāni
1.8.25	stuvānam idaṃ haviḥ nissālām arāyakṣayaṇam śaṃ no devī pṛśniparṇī ā paśyati tānt satyaujāḥ tvayā pūrvam purastād yuktaḥ rakṣohaṇam iti anuvākaś cātanāni
1.9.1	ambayo yanti śaṃbhumayobhū hiraṇyavarṇāḥ nissālām ye agnayaḥ brahma jajñānam ity ekā uta devāḥ mṛgārasūktāny uttamaṃ varjayitvā apa naḥ śośucad agham punantu mā sasruṣīḥ himavataḥ prasravanti vāyoḥ pūtaḥ pavitreṇa śaṃ ca no mayaś ca naḥ anaḍudbhyas tvaṃ prathamaṃ mahyam āpaḥ vaiśvānaro raśmibhiḥ yamo mṛtyuḥ viśvajit saṃjñānam naḥ yady antarikṣe punar maitv indriyam śivā naḥ śaṃ no vāto vātu agniṃ brūmo vanaspatīn iti
1.9.2	pṛthivyai śrotrāya iti triḥ pratyāsiñcati
1.9.3	ambayo yanti śaṃbhumayobhū hiraṇyavarṇāḥ śaṃtatīyaṃ ca yadyantarikṣe punar maitv indriyam śivā naḥ śaṃ no vāto vātu agniṃ brūmo vanaspatīn iti
1.9.4	pṛthivyai śrotrāya iti triḥ pratyāsiñcati
1.9.5	iti śāntiyuktāni
1.9.6	ubhayataḥ sāvitry ubhayataḥ śaṃ no devī
1.9.7	ahatavāsaḥ kaṃse śāntyudakaṃ karoti
1.9.8	atisṛṣṭo 'pāṃ vṛṣabhaḥ ityapo 'tisṛjya sarvā imā āpa oṣadhaya iti pṛṣṭvā sarvā ityākhyāta oṃ bṛhaspatiprasūtaḥ karavāṇīty anujñāpyauṃ savitṛprasūtaḥ kurutāṃ bhavān ityanujñātaḥ kurvīta
1.9.9	pūrvayā kurvīteti gārgyapārthaśravasabhāgālikāṅkāyanoparibabhravakauśikajāṭikāyanakaurupathayaḥ
1.9.10	anyatarayā kurvīteti yuvā kauśiko yuvā kauśikaḥ
2.1.1	pūrvasya medhājananāni
2.1.2	śukasārikṛśānāṃ jihvā badhnāti
2.1.3	āśayati
2.1.4	audumbarapalāśakarkandhūnām ādadhāti
2.1.5	āvapati
2.1.6	bhakṣayati
2.1.7	upādhyāyāya bhaikṣam prayacchati
2.1.8	suptasya karṇam anumantrayate
2.1.9	upasīdañjapati
2.1.10	dhānāḥ sarpirmiśrāḥ sarvahutāḥ
2.1.11	tilamiśrā hutvā prāśnāti
2.1.12	purastād agneḥ kalmāṣam daṇḍaṃ nihatya paścād agneḥ kṛṣṇājine dhānā anumantrayate
2.1.13	sūktasya pāraṃ gatvā prayacchati
2.1.14	sakṛjjuhoti
2.1.15	daṇḍadhānājinaṃ dadāti
2.1.16	ahaṃ rudrebhir iti śuklapuṣpaharitapuṣpe kiṃstyanābhipippalyau jātarūpaśakalena prāk stanagrahāt prāśayati
2.1.17	prathamapravadasya mātur upasthe tālūni saṃpātān ānayati
2.1.18	dadhimadhv āśayati
2.1.19	upanītaṃ vācayati vārṣaśatikaṃ karma
2.1.20	tvaṃ no medhe dyauś ca ma iti bhakṣayati
2.1.21	ādityam upatiṣṭhate
2.1.22	yad agne tapasā ity āgrahāyaṇyāṃ bhakṣayati
2.1.23	agnim upatiṣṭhate
2.1.24	prātar agniṃ girāv aragarāṭeṣu divaspṛthivyāḥ iti saṃhāya mukhaṃ vimārṣṭi
2.2.1	pūrvasya brahmacārisāṃpadāni
2.2.2	audumbaryādayaḥ
2.2.3	brahmacāryāvasathād upastaraṇānyādadhāti
2.2.4	pipīlikodvāpe medomadhuśyāmākeṣīkatūlānyājyaṃ juhoti
2.2.5	ājyaśeṣe pipīlikodvāpān opya grāmam etya sarvahutān
2.2.6	brahmacāribhyo 'nnaṃ dhānās tilamiśrāḥ prayacchati
2.2.7	etāni grāmasāṃpadāni
2.2.8	vikāra sthūṇāmūlāvatakṣaṇāni sabhānām upastaraṇāni
2.2.9	grāmīṇebhyo 'nnam
2.2.10	surāṃ surāpebhyaḥ
2.2.11	audumbarādīni bhakṣaṇāntāni sarvasāṃpadāni
2.2.12	trir jyotiḥ kurute
2.2.13	upatiṣṭhate
2.2.14	savyāt pāṇihṛdayāl lohitaṃ rasamiśram aśnāti
2.2.15	pṛśnimanthaḥ
2.2.16	jihvāyā utsādyam akṣyoḥ paristaraṇaṃ mastṛhaṇaṃ hṛdayaṃ dūrśa upanahya tisro rātrīḥ palpūlane vāsayati
2.2.17	cūrṇāni karoti
2.2.18	maiśradhānye mantha opya dadhimadhumiśram aśnāti
2.2.19	asmin vasu yad ābadhnan nava prāṇān iti yugmakṛṣṇalaṃ vāsitaṃ badhnāti
2.2.20	sārūpavatsaṃ puruṣagātraṃ dvādaśarātraṃ saṃpātavantaṃ kṛtvānabhimukham aśnāti
2.3.1	kathaṃ mahe iti mādānakaśṛtaṃ kṣīraudanam aśnāti
2.3.2	camase sarūpavatsāyā dugdhe vrīhiyavāvavadhāya mūrchayitvā madhv āsicyāśyati
2.3.3	pṛthivyai śrotrāya iti juhoti
2.3.4	vatso virājo iti manthāntāni
2.3.5	sahṛdayaṃ tad ū ṣu saṃ jānīdhvam eha yātu saṃ vaḥ pṛcyantāṃ saṃ vo manāṃsi saṃjñānaṃ naḥ iti sāṃmanasyāni
2.3.6	udakūlijaṃ saṃpātavantaṃ grāmaṃ parihṛtya madhye ninayati
2.3.7	evaṃ surākūlijam
2.3.8	trihāyaṇyā vatsataryāḥ śuktyāni piśitāny āśayati
2.3.9	bhaktaṃ surāṃ prapāṃ saṃpātavat karoti
2.3.10	pūrvasya mamāgne varco iti varcasyāni
2.3.11	audumbaryādīni trīṇi
2.3.12	kumāryā dakṣiṇam ūrum abhimantrayate
2.3.13	vapāṃ juhoti
2.3.14	agnim upatiṣṭhate
2.3.15	prātar agniṃ girāv aragarāṭeṣu divaspṛthivyāḥ iti dadhimadhv āśayati
2.3.16	kīlālamiśraṃ kṣatriyaṃ kīlālam itarān
2.4.1	hastivarcasam iti hastinam
2.4.2	hāstidantaṃ badhnāti
2.4.3	lomāni jatunā saṃdihya jātarūpeṇāpidhāpya
2.4.4	siṃhe vyāghre yaśo havir iti snātakasiṃhavyāghrabastakṛṣṇavṛṣabharājñāṃ nabhilomāni
2.4.5	daśānāṃ śāntavṛkṣāṇāṃ śakalāni
2.4.6	etayoḥ prātar agniṃ girāv aragarāṭeṣu divaspṛthivyāḥ iti sapta marmāṇi sthālīpāke pṛktāny aśnāti
2.4.7	akuśalaṃ yo brāhmaṇo lohitam aśnīyād iti gārgyaḥ
2.4.8	ukto lomamaṇiḥ
2.4.9	sarvair āplāvayati
2.4.10	avasiñcati
