#Text:Kāṭhakāraṇyaka
#Edition:Witzel 2004 (DCS version)
#Notes:The original section name “2.5-7” was abbreviated to “2.5”, to keep the key format consistent.



2.1.1	yuñjate mana ity āhavanīye juhoti
2.2.8	adhvaryur evāsya sarvasya praṇetā
2.2.9	adhvaryur anyān ṛtvijas saṃpreṣyati
2.2.10	idaṃ kurutedaṃ kurutety evaitad āha
2.2.11	sāmabhir āktakhan tveti sāmāny evāsyābhitaś cakre
2.2.12	viśvābhir dhībhis saṃbhṛtam iti
2.2.13	sarvābhir vai dhībhir yajñas saṃbhriyate
2.2.14	sarvābhir eva dhībhir yajamāno yajñaṃ saṃbharati
2.2.15	dakṣiṇābhiḥ pratatam pārayiṣṇum iti
2.2.16	vitatam pāragaṃ dakṣiṇābhir ity evaitad āha
2.2.17	stubho vahantu sumanasyamānā iti
2.2.18	hotrā vai stubhaḥ
2.2.19	tā vā etarhi yajñaṃ vahanti
2.2.20	bhūr bhuvas svar om iti
2.2.21	etad vai vācas satyaṃ yad eva vācas satyam
2.2.22	tenainaṃ saha pracaratīndravantaḥ pracarateti sendratvāya
2.2.23	prācyā tvā diśāgninā devatayā gāyatreṇa śchandasā vasantam ṛtum praviśāmīti
2.2.24	prācīṃ caiva vasantaṃ ca purastāt praviśanty apradāhāya
2.2.25	dakṣiṇayā tvā diśendreṇa devatayā traiṣṭubhena śchandasā grīṣmam ṛtum praviśāmīti
2.2.26	dakṣiṇāṃ caiva grīṣmaṃ ca dakṣiṇataḥ praviśanty apradāhāya
2.2.27	pratīcyā tvā diśā savitrā devatayā jāgatena śchandasā varṣā ṛtum praviśāmīti
2.2.28	pratīcīṃ caiva varṣāś ca paścāt praviśanty apradāhāya
2.2.29	udīcyā tvā diśā mitrāvaruṇābhyāṃ devatayānuṣṭubhena śchandasā śaradam ṛtum praviśāmīti
2.2.30	udīcīṃ caiva śaradaṃ cottarāt praviśanty apradāhāya
2.2.31	ūrdhvayā tvā diśā bṛhaspatinā devatayā pāṅktena śchandasā hemantam ṛtum praviśāmīti
2.2.32	ūrdhvāṃ caiva himāṃ copariṣṭāt praviśanty apradāhāya
2.2.33	anayā tvā diśā prajāpatinā devatayānāptena śchandasā śiśiram ṛtum praviśāmīti
2.2.34	imāṃ caiva śiśiraṃ cāsyāḥ praviśanty apradāhāya
2.2.35	gāyatrīṃ chandaḥ praviśāmīti
2.2.36	tejo vai brahma gāyatrī
2.2.37	teja eva tat praviśanty apradāhāya
2.2.38	triṣṭubhaṃ chandaḥ praviśāmīti
2.2.39	ojo vai vīryaṃ triṣṭup
2.2.40	oja eva tat praviśanty apradāhāya
2.2.41	jagatīṃ chandaḥ praviśāmīti
2.2.42	paśavo vai jagatī
2.2.43	paśūn eva tat praviśanty apradāhāya
2.2.44	anuṣṭubhaṃ chandaḥ praviśāmīti
2.2.45	vāg vā anuṣṭup
2.2.46	vācam eva tat praviśanty apradāhāya
2.2.47	paṅktīṃ chandaḥ praviśāmīti
2.2.48	yajño vai paṅktiḥ
2.2.49	yajñaṃ tat praviśanty apradāhāya
2.2.50	atiśchandasaṃ chandaḥ praviśāmīti
2.2.51	śchandāṃsi vā atiśchandāḥ
2.2.52	chandāṃsy eva tat praviśanty apradāhāya
2.2.53	śchandāṃsi praviśāmīti
2.2.54	paśavo vai śchandāṃsi
2.2.55	paśūn eva tat praviśanty apradāhāya
2.2.56	tāni naḥ pārayantu tāni no 'vantv iti
2.2.57	āśiṣam evāśāste
2.2.58	tāni sa ṛśchatu yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣma iti
2.2.59	yam eva dveṣṭi taṃ śucārpayati
2.2.60	āpo asmān praviśantu
2.2.61	āpo asmāsu jāgṛteti
2.2.62	āpas sarvā devatāḥ
2.2.63	devatā eva tat praviśanty apradāhāya
2.2.64	āyur viśvāyuḥ viśvam āyur vyaśnavai
2.2.65	sarvam āyur vyaśnavā ity evaitad āha
2.2.66	sarvam āyur eti ya evaṃ veda
2.2.67	atho saṃvatsaraṃ caiva diśaś ca sarvato varma kurute
2.2.68	yamāya tvā makhāya tveti mahāvīram prokṣati
2.2.69	yajño vai makhaḥ
2.2.70	yajñāyaivainam prokṣati
2.2.71	prokṣitāni pratiprasthātā vyāyātayati
2.2.72	pracaranti
2.2.73	deva puraścararghyāsaṃ tvā svarghyāsaṃ tveti vedena mahāvīraṃ saṃmārṣṭi
2.2.74	athaivainaṃ tris saṃmārṣṭi
2.2.75	triṣatyā hi devāḥ
2.2.76	sarvatas saṃmārṣṭi
2.2.77	sarvata evainam medhyaṃ yajñiyaṃ tena karoti
2.3.1	pṛthivyās saṃspṛśas pāhīti rajatam adhastād adhikarṣati
2.3.2	ime vai lokā mahāvīrāt pravṛjyamānād abibhayus sarvān no 'yaṃ tejasoddhakṣyatīti
2.3.3	prajāpatim upādhāvan
2.3.4	sa prajāpatiḥ pṛthivīm abravīd rajataṃ bhūtvā mahāvīraṃ dhārayasveti
2.3.5	antarikṣam abravīd vanaspatibhis tvāntardhāsyāmīti
2.3.6	divam abravīddharitaṃ bhūtvopariṣṭān mahāvīram sahasveti
2.3.7	tasmād rajatam adhastād adhikarṣati pṛthivyā apradāhāya
2.3.8	arcir asi śocir asīti jvalantam agniṃ harataḥ satejastvāya
2.3.9	añjanti yam iti tasmin mukhyaṃ mahāvīram prayunakti
2.3.10	tejo vā agniḥ
2.3.11	tejo mahāvīraḥ
2.3.12	tejasy eva tejo dadhāti
2.4.1	prāṇāya svāhā vyānāya svāhāpānāya svāheti
2.4.2	... mahāvīraṃ gharmyam prayunakti
2.4.3	diśo vai mahāvīrāt pravṛktād abibhayus sarvā no 'yaṃ tejasoddhakṣyatīti
2.4.4	tāḥ prajāpatim upādhāvan
2.4.5	sa prajāpatir abravīt prādeśaṃ prādeśaṃ vaḥ pradahati
2.4.6	devatābhir vo 'ntardhāsyāmīti
2.4.7	tasmāt prādeśena diśo mimīte
2.4.8	anādhṛṣṭā purastād agner ādhipatya ity agnim eva purastād antardadhāty apradāhāya
2.4.9	āyur me dā ity ātmana evaitām āśiṣam āśāste
2.4.10	putravatī dakṣiṇata indrasyādhipatya itīndram eva dakṣiṇād antardadhāty apradāhāya / prajāṃ me dā iti ātmana evaitām āśiṣam āśāste
2.4.11	suṣadā paścād devasya savitur ādhipatya iti savitāram eva paścād antardadhāty apradāhāya
2.4.12	cakṣur me dā iti ātmana evaitām āśiṣam āśāste
2.4.13	āśrutir uttarān mitrāvaruṇayor ādhipatya iti mitrāvaruṇā evottarād antardadhāty apradāhāya
2.4.14	śrotraṃ me dā iti ātmana evaitām āśiṣam āśāste
2.4.15	vidhṛtir upariṣṭād bṛhaspater ādhipatya iti bṛhaspatim evopariṣṭād antardadhāty apradāhāya
2.4.16	vācaṃ me dā iti ātmana evaitām āśiṣam āśāste
2.4.17	... svāheti pariśrayataḥ
2.4.18	asau vā ādityo rudro mahāvīraḥ
2.4.19	raśmayo vai marutaḥ
2.4.20	raśmibhir evainam pariśrayataḥ
2.4.21	antarikṣasyāntardhir asīty upariṣṭāt samidham ādadhāti
2.4.22	vanaspatibhir evopariṣṭād antardadhāti
2.4.23	divas saṃspṛśas pāhīti
2.4.24	haritenāpidadhāti divo 'pradāhāya / arhan bibharṣi sāyakāni dhanvārhan niṣkaṃ yajataṃ viśvarūpam arhann idaṃ dayase viśvam abhvam
2.4.25	na vā ojīyo rudra tvad astīti mahimānam evāsyaitad uddharṣayati
2.4.26	gāyatram asi traiṣṭubham asi jāgatam asīti pratiprasthātre prayaśchati
2.4.27	hotrā vā ṛtvijaḥ
2.4.28	hotrābhya evainam etat samprayaśchaty ekam agnidhe pratiprasthātre
2.4.29	pradakṣiṇam pariyanti
2.4.30	madhu madhu madhv iti dhūnvanti
2.4.31	madhu sāraghaṃ saṃbhariṣyāmīty evaitad āha
2.4.32	prāṇo 'si vyāno 'sy apāno 'sīti prāṇaṃ vyānam apānaṃ tān eva yajamāne dadhāti
2.4.33	śrotram asīti śrotram eva yajamāne dadhāti
2.4.34	sarva ṛtvijaḥ pariviśanti
2.4.35	hotrā vā ṛtvijaḥ
2.4.36	hotrābhya evainam etat saṃprayaśchati
2.4.37	agniṣ ṭvā dhūnotv iti etābhir evainaṃ devatābhir dhūnoti
2.4.38	... prajvalite rukmam apadatte ... divyo gandharvo bhuvanasya yas patiḥ ... ime vai lokā bhuvanaṃ
2.4.39	teṣām eṣo 'dhipatir yo rudraḥ
2.4.40	... ekāvyo manasā vikṣv īḍya ... taṃ tvā yāmi brahmaṇā deva daivyam iti yad vā enam brahmaṇopacareyur hiṃsyād enam
2.4.41	brahma śivaṃ śāntam
2.4.42	brahmaṇaivainam upacarati
2.4.43	divi te sadhastham iti divi te gṛham ity evaitad āha
2.4.44	divi pṛṣṭo yajatas sūryatvag iti
2.5.1	devā vai rudraṃ svargaṃ lokaṃ gataṃ na vyajānann ādityavarṇaṃ carantam
2.5.2	te 'bruvan ko 'sīti
2.5.3	ahaṃ rudro 'ham indro 'ham ādityo 'haṃ sarvasyāvayā haraso divyasyeti
2.5.4	te 'bruvan nirbhajāmainam iti
2.5.5	tān ruvann abhyavadat
2.5.6	tān prādhrajat
2.5.7	te 'bruvan bhavān sarvam iti
2.5.8	yad ruvann abhyavadat tad rudrasya rudratvam
2.5.9	yad bhavān iti tad bhavasya bhavatvam
2.5.10	yat sarvam iti taccharvasya śarvatvam
2.5.11	sa śivo 'bhavat
2.5.12	tacchivasya śivatvam
2.5.13	tebhyo 'mṛḍata
2.5.14	tan mṛḍasya mṛḍatvam
2.5.15	taṃ devā abruvan bhavasya bhūtasya bhavyasyādhipatyam iti
2.5.16	sarvasyādhipatyaṃ yajamānaṃ gamayati
2.5.17	anavadyābhis sam u jagmābhir iti hotrā vā anavadyāḥ
2.5.18	tābhir vā eṣa pravargye saṃgacchate
2.5.19	tābhir eva pravargyaṃ saṃgamayati
2.5.20	samudra āsāṃ sadanaṃ va āhur iti vedā vai samudrāḥ
2.5.21	teṣu vā evainam pravargye saṃgamayati
2.5.22	... abhriye didyun nakṣatriye yā viśvāvasuṃ gandharvaṃ sacadhve tābhyo namo astu tā no mṛḍayantu tā naś śarma yacchantu taṃ yaṃ dviṣmo yaś ca no dveṣṭi tam āsāṃ jambhe dadhmaḥ
2.5.23	... apaśyaṃ gopām anipadyamānam iti ... āditya eṣa lokānāṃ goptā
2.5.24	naiṣa rātrā na divā saṃviśati
2.5.25	ā ca parā ca pathibhiś carantam iti tasmād eṣa sarvān patho 'nusaṃcarati yad dakṣiṇā yad udaṅ
2.5.26	sa sadhrīcīs sa viṣūcīr vasāna iti catasro vā etasya diśas sadhrīcīś catasro viṣūcīḥ
2.5.27	tā vā eṣa vasāna imāṃllokāṃs tejasāvṛṇoti
2.5.28	atra prāvīr madhu mādhvībhyāṃ madhu mādhūcībhyām iti
2.5.29	yadā rucito gharma iti
2.5.30	madhu madhughaṃ saṃbhariṣyāmīty evaitad āha
2.5.31	sam agnir agnināgata saṃ devena savitrā saṃ sūryeṇa rocate svāheti
2.5.32	atra vā eṣa etarhy agnir agninā saṃgacchate
2.5.33	sam agnis tapasāgata saṃ devena savitrā saṃ sūryeṇārukta
2.5.34	dhartā divo rajaso vibhāti
2.5.35	dhartoror antarikṣasya dhartā pṛthivyā dhartā devo devānām amartyas tapojā iti
2.5.36	asau vā āditya imāṃllokāṃs tejasā dhārayati
2.5.37	hṛde tvā manase tvā dive tvā sūryāya tvety amum evainaṃ lokaṃ gamayati
2.5.38	ūrdhvam imam adhvaram iti yajño vā adhvaro yajñasyordhvatvāya
2.5.39	divi deveṣu hotrā yaccheti
2.5.40	hotrābhi ... ta garbho devānām pitā matīnām patiḥ prajānām iti
2.5.41	garbho hy eṣa devānām pitā matīnām patiḥ prajānām
2.5.42	āyurdās tvam asmabhyaṃ gharmāsi varcodāḥ pitā no 'si pitā no bodhīty ātmana evaitām āśiṣam āśāste
2.5.43	namas te astu mā mā hiṃsīr ity ātmano 'hiṃsāyai
2.5.44	tvaṣṭṛmantas tvā sapemeti
2.5.45	ato hīmāḥ prajāḥ prajāyante prajananāya
2.5.46	yajñasya vai śiro 'cchidyata
2.5.47	tā etarhy aśvinā agharmapau bhiṣajau devānām āstām
2.5.48	tau devā abruvan bhiṣajau vai sthaḥ idaṃ yajñasya śiraḥ pratidhattam iti
2.5.49	tā abrūtām vāryaṃ vṛṇāvahai āvayor eva pravargyo bhavatv iti
2.5.50	tau devā abruvan sarvaṃ vai paryagṛhṇāthām astu no 'trāpīti
2.5.51	tā abrūtām āvayor agre duhyatām āvayor agre hūyatām iti
2.5.52	tasmād etayor evāgre duhyate 'gre hūyate
2.5.53	vāryavṛtaṃ hy enayoḥ
2.5.54	tau yajñasya śiraḥ pratyadhattām
2.5.55	tato yal lohitaṃ samasravat tata udumbaras samabhavat
2.5.56	yad audumbarāṇi pātrāṇi bhavanti yajña evorjaṃ dadhāti
2.5.57	yo rasas te muñjāḥ
2.5.58	tasmān mauñjaṃ vedaṃ kurvanti
2.5.59	pavitra ... āhvayaty asā ehīti
2.5.60	diva evainām etad āhvayati
2.5.61	asā ehīty antarikṣād evainām etad āhvayati
2.5.62	asā ehīti pṛthivyā evainām etad āhvayati
2.5.63	brahma vā etasyā vatso vedās stanāḥ
2.5.64	devā vai brahmaṇā vatsena vācam aduhran paśūṃś cāmṛtaṃ ca
2.5.65	yo vai vedānāṃ guhyāni nāmāni veda sarvam āyur eti brahmavarcasī bhavati pratitiṣṭhaty annavān annādo bhavati
2.5.66	mayobhūr eko vasuvid ekas sudatra eko viśvapoṣy eka iti etāni vai vedānāṃ guhyāni nāmāni
2.5.67	sarvam āyur eti brahmavarcasī bhavati pratitiṣṭhaty annavān annādo bhavati ya evaṃ veda
2.5.68	yas te stanaś śaśayo yo mayobhūr yo ratnadhā vasuvid yas sudatraḥ yena viśvā puṣyasi vāryāṇi sarasvati tam iha dhātave kar ity anumantrayate
2.5.69	adityā uṣṇīṣam asīty abhidhānyābhidhāya suvratām evaināṃ karoti
2.5.70	pūṣā tveti vatsam upāvasṛjati satanūtvāya
2.5.71	gharmāya śinkṣvety apavartayati
2.5.72	gharma evaṃ gha ... gām duhanti
2.5.73	hastyauṣṭhya evaināṃ duhaṃ ... parāsiñcan yad ajāṃ duhanti
2.5.74	gharma eva tad duhati
2.5.75	ūrjaṃ vaiṣa tat parāsiñcan yad ajāṃ duhanti
2.5.76	gharma evorjaṃ saṃbharataḥ / tasmād āhus sahorjo bhāgenopa mehīndrāśvinā madhunas sāraghasya gharmaṃ pāta vasavo yajata vaḍ iti / mahāvīra ūrjam avanayataḥ
2.5.77	gharma evorjaṃ samānayataḥ
2.5.78	sūryasya tvā raśmaye vṛṣṭivanaye svāhety ūrdhvam utkrāntam anumantrayate
2.5.79	yā vā ita āhutir udayate sāmuto vṛṣṭiṃ cyāvayati
2.5.80	svayaivāhutyā divo vṛṣṭiṃ ninayati
2.5.81	gāyatro 'si traiṣṭubho 'sīti śaphā ādatte
2.5.82	jāgato 'sīty upayāmam
2.5.83	chandobhir evainam parigṛhṇāti
2.5.84	dyāvāpṛthivībhyāṃ tvā parigṛhṇāmīti śaphābhyām mahāvīram parigṛhṇāti
2.5.85	ime vai śaphā
2.5.86	ābhyām evainam parigṛhṇāti
2.5.87	antarikṣeṇa tvopayacchāmīty adhastād upayāmena dhārayati
2.5.88	atho antarikṣaṃ vā upayāmaḥ
2.5.89	antarikṣa evainaṃ dhārayati
2.5.90	devānāṃ tvā pitṝṇām anumato bhartuṃ śakeyam iti
2.5.91	... samudrāya tvā vātāya svāheti juhoti
2.5.92	yathāyajuḥ yaj juhuyād rudrāya paśūn apidadhyād apaśus syāt
2.5.93	yajur eva vadet
2.5.94	rudrād eva paśūn parivṛṇakti
2.5.95	sarvā vā etarhy etasmin devatā āśaṃsante mahyaṃ hoṣyati mahyaṃ hoṣyatīti
2.5.96	devatā evainam abhidhyāyantīḥ
2.5.97	tā enam abhāgā īśvarā hiṃstoḥ
2.5.98	yad āhāgnaye tvā vasumate svāheti devatā eva bhāginīḥ karoty ātmano 'hiṃsāyai
2.5.99	yajurbhājo 'nye devatā āhutibhājo 'nye
2.5.100	tān evobhayān prīṇāti
2.5.101	divi dhā imaṃ yajñam imaṃ yajñaṃ divi dhā itīme vai lokā diśaś ca gharme 'pitvam aicchanta
2.5.102	yad āha divi dhā divaṃ gacchāntarikṣaṃ gaccha pṛthivīṃ gaccha pañca pradiśo gacchetīmān eva lokān diśaś ca gharme tarpayati
2.5.103	devān gharmapān gaccheti
2.5.104	ya eva devā gharmapās tān evaṃ tad gharme tarpayati
2.5.105	devebhyas tvā gharmapebhyas svāhety upayāmena mahāvīre juhoti
2.5.106	ya eva devā gharmapās tān eva tad gharme tarpayati
2.5.107	devāś ca vā asurāś ca samāvad eva pravargye 'kurvata
2.5.108	yad eva devā akurvata tad asurā akurvata
2.5.109	te 'surā upāṃśu pravargyeṇācaran
2.5.110	sa enān niradahat
2.5.111	uccair devāḥ pravargyeṇācaran
2.5.112	te devā abhavan
2.5.113	te 'surāḥ parābhavan
2.5.114	... dvitīyāṃ tad evāsyātmane hutaṃ vaṣaṭkṛtam bhavati
2.5.115	gharmam apātam aśvineti yajamānas tṛptim eva tat pṛcchati
2.5.116	atho vaṣaṭkṛtam bhavati
2.5.117	viśvā āśā dakṣiṇāsad iti brahmā hutam anumantrayate
2.5.118	tad evāsyātmane hutam bhavati
2.5.119	iṣe pinvasvorje pinvasvetīṣam evorjaṃ yajñe dadhāti
2.5.120	asmai brahmaṇe pinvasvāsmai kṣatrāya pinvasvāsyai viśe pinvasveti brahmakṣatre viśaṃ caiva bhāginaḥ karoti
2.5.121	asmai sunvate yajamānāya pinvasveti yajamānāyaivaitām āśiṣam āśāste
2.5.122	subhūtāya pinvasveti bhūtim evopaiti
2.5.123	brahmavarcasāya pinvasveti brahmavarcasī bhavati
2.5.124	mahyam āyuṣe varcase jyaiṣṭhyāya rāyaspoṣāya suprajāstvāya pinvasveti ātmana evaitām āśiṣam āśāste
2.5.125	tviṣyai tvā dyumnāya tvā bhūtyai tvendriyāya tveti pradakṣiṇam pātram praśrayati
2.5.126	diśa eva bhāginīḥ karoty ātmano 'hiṃsāyai
2.5.127	dharmāsi sudharmemāny asmai brahmāṇi dhārayeti
2.5.128	... rudro vā eṣa yad agniḥ
2.5.129	yathāgnaye samavadyaty evam evaitat
2.5.130	bhūr bhuvas svar hutaṃ havir madhu havir indratame 'gnau svāhety agnihotravidhiṃ juhoti
2.5.131	saṃsthitir evaiṣā svargākṛtiḥ
2.5.132	atho anantarhityai manasā prājāpatyā juhoti
2.5.133	mana iva vai prajāpatiḥ
2.5.134	prājāpatyo yajñaḥ
2.5.135	yajñam eva saṃtanoti
2.5.136	prāśyā3 na prāśyā3 iti mīmāṃsante
2.5.137	yat prāśnīyāt prākārukas syāt
