#Text:Śāṅkhāyanāraṇyaka
#Edition:DCS version



1.1.1	prajāpatir vai saṃvatsaraḥ
1.6.12	taṃ hendra uvācaitad vā aham asmi yad etad avocaṃ yad vā ṛṣe 'to bhūyo 'tapās tadeva tat syād yad aham iti
1.6.13	tad vā indro vyāhṛtīr ūce tā upāptā āsann iti
1.6.14	athopanidhāya preṅkhaphalakaṃ trir abhyanya trir abhyavān iti
1.7.1	tad vā audumbaraṃ bhavati
1.7.2	ūrg vā annādyam udumbara ūrjo 'nnādyasyopāptyai
1.7.3	athainad urasā saṃspṛśya dakṣiṇaṃ bhāgam ātmano 'tiharañjapati arko 'si vasavastvā gāyatreṇa chandasārohantu te ta āroḍhāra ityeva tad āha
1.7.4	tān aham anvārohāmi rājyāyeti
1.7.5	rājyaṃ ha vā idam u haiva cakṣate
1.7.6	athottaraṃ bhāgam ātmano 'tiharañjapati rudrāstvā traiṣṭubhena chandasārohantu te ta āroḍhāra ityeva tad āha
1.7.7	tān aham anvārohāmi svārājyāyeti
1.7.8	svārājyaṃ ha vai rājyād adhitarām iva
1.7.9	atha dakṣiṇaṃ bhāgam ātmano 'tiharañjapati ādityāstvā jāgatena chandasārohantu te ta āroḍhāra ityeva tad āha
1.7.10	tān aham anvārohāmi sāmrājyāyeti
1.7.11	sāmrājyaṃ ha vai svārājyād adhitarām iva
1.7.12	athottaraṃ bhāgam ātmano 'tiharañjapati viśve tvā devā ānuṣṭubhena chandasārohantu te ta āroḍhāra ityeva tad āha
1.7.13	tān aham anvārohāmi kāmaprāyeti
1.7.14	kāmapraṃ ha vai sarveṣāṃ parārdhyam
1.7.15	atha samadhisṛpya prāñcau pādā upāvahṛtya bhūmau pratiṣṭhāpayati
1.7.16	udyatataro ha vā eṣo 'smāllokād bhavati
1.7.17	tad yat pratiṣṭhāpayati tad asmiṃlloke pratitiṣṭhati pratiṣṭhāyām apracyutyām
1.7.18	atha trir abhyanya trir abhyavān iti
1.7.19	athopari preṅkhaphalake dakṣiṇottariṇam upasthaṃ kṛtvā dakṣiṇena prādeśena paścāt prāṅ preṅkhaphalakam upaspṛśati
1.7.20	prajāpatiṣṭvārohatu vāyuḥ preṅkhayatviti
1.7.21	prajāpatir vā etad ārohati vāyuḥ preṅkhayati yajjīvam
1.7.22	atha trir abhyanya trir abhyavān iti
1.7.23	atha prāñcau pāṇī parigṛhya japati
1.8.1	saṃ vāk prāṇena sam ahaṃ prāṇena saṃ cakṣur manasā sam ahaṃ manasā saṃ prajāpatiḥ paśubhiḥ sam ahaṃ paśubhir ity āśiṣam eva tad vadate
1.8.2	suparṇo 'si garutmān iti
1.8.3	prāṇo vai suparṇaḥ
1.8.4	premāṃ vācaṃ vadiṣyāmīti pravadiṣyan hyeṣa etāṃ vācaṃ vadati bahu kariṣyantīṃ bahu kariṣyann iti
1.8.5	bahu hyeṣā vāk kariṣyantī bhavati
1.8.6	bahvayaṃ ya etasyāhnaḥ śastraṃ prāpnoti
1.8.7	bahor bhūyaḥ kariṣyantīṃ bahor bhūyaḥ kariṣyann iti bahor bhūyo hyeṣā vāk kariṣyantī bhavati bahor bhūyo 'yaṃ ya etasyāhnaḥ śastraṃ prāpnoti
1.8.8	svar gamiṣyantīṃ svar gamiṣyann iti svar hyeṣā vāg gamiṣyantī bhavati svar ayaṃ ya etasyāhnaḥ śastraṃ prāpnoti
1.8.9	svar imān yajamānān vakṣyan ity eva brūyāt
1.8.10	yaṃ dviṣyāt taṃ brūyān nāmuṃ nāmum iti
1.8.11	sa yāvato ha vā eṣa etasmād devarathāt pratisaṃkhyāya nirdhūnute niṣ ṭad dhūnute
1.8.12	tau ha na bhogyāyaiva bhavataḥ
1.8.13	tam evaitat pradharṣayati
1.8.14	tam evaitat pradharṣyātman dhatte
1.8.15	vāyur vā eṣa prāṇo bhūtvaitad ukthaṃ śaṃsati
1.8.16	tam evaitat pradharṣayati
1.8.17	tam evaitat pradharṣyātman dhatte
1.8.18	gurau vā eṣa yukto bhavati ya etasyāhnaḥ śastraṃ prāpnoti tasya gurau yuktasyeśvaraḥ prāṇo yadi nāpaparājetoḥ
1.8.19	tam evaitat pradharṣayati
1.8.20	tam evaitat pradharṣyātman dhatte
1.8.21	na ha vā etasyai devatāyai digdhena nāsinā na paraśunā na kenacanāvatardo 'sti
1.8.22	tad ya evaṃ vidvāṃsam apavadati sa eva pāpīyān bhavati
1.8.23	na sa ya evaṃ veda
1.8.24	naivaṃ viduṣo 'vatardo naivaṃ viduṣo 'vatardaḥ
2.1.1	hiṃkāreṇa pratipadyata etad uktham
2.1.2	prāṇo vai hiṃkāraḥ prāṇenaivaitad ukthaṃ pratipadyate
2.1.3	atho ūrg vai raso hiṃkāra ūrjam eva tad rasam etasmin ukthe dadhāti
2.1.4	atho amṛtatvaṃ vai hiṃkāro 'mṛtatvam eva tad ātman dhatte
2.1.5	rājanaṃ pṛṣṭhaṃ bhavati
2.1.6	etad vai pratyakṣaṃ sāma yad rājanam
2.1.7	tad enat svena sāmnā samardhayati
2.1.8	tad aniruktāsu bhavati
2.1.9	anirukta u vai prajāpatiḥ
2.1.10	tat prājāpatyaṃ rūpam
2.1.11	kavatīṣu syād iti haika āhuḥ
2.1.12	ko vai prajāpatiḥ
2.1.13	tat prājāpatyaṃ rūpam
2.1.14	athaitaṃ tūṣṇīṃśaṃsam upāṃśu śaṃsati
2.1.15	vāg vā etad ahar manas tūṣṇīṃśaṃsaḥ
2.1.16	manasaiva tad vācaṃ samardhayati
2.1.17	tad id āsa bhuvaneṣu jyeṣṭham iti stotriyastṛcaḥ
2.1.18	vāvṛdhānaḥ śavasā bhūryojā iti vṛdhavan mahadvat
2.1.19	mahadvaddhyetad ahaḥ
2.1.20	sa eṣa ātmā pañcaviṃśaḥ
2.1.21	tan nadenopasṛṣṭaṃ śaṃsati
2.1.22	ātmā vai pañcaviṃśaḥ prajā paśava upasargaḥ
2.1.23	prajayaiva tat paśubhiḥ preṣyair annādyenetyātmānam upasṛjate
2.1.24	nadaṃ va odatīnām iti traiṣṭubhāni pūrvāṇi padāni karoti nadasyottarāṇi
2.1.25	prathamena traiṣṭubhena padena prathamaṃ nadasya padam upasamādhāyāvasyati
2.1.26	dvitīyena traiṣṭubhena dvitīyaṃ saṃdhāya praṇauti
2.1.27	tṛtīyena traiṣṭubhena tṛtīyaṃ saṃdhāyāvasyati
2.1.28	caturthena traiṣṭubhena caturthaṃ saṃdhāya praṇauti
2.1.29	evaṃ vihṛtāṃ prathamāṃ triḥ śaṃsati parācīr uttarā evaṃ vihṛtā eva
2.1.30	yā tṛtīyā sūktasya tasyā uttaram ardharcam utsṛjati nadasya cottaram
2.1.31	so 'yaṃ mukhasya vivaras tena vācaṃ vadati mukhena vai vācaṃ vadati
2.1.32	tau purastād dvipadānāṃ śaṃsati tathā hāsya stotriyānantarhitā bhavati / ātmānaṃ śastvā atha sūdadohasaṃ parvāṇi saṃhitāni bhavanti
2.1.33	atho āpo vai sūdadohā adbhir vā imāni parvāṇi saṃhitāni bhavanti
2.1.34	atho amṛtatvaṃ vai sūdadohā amṛtatvaṃ eva tad ātman dhatte
2.1.35	atha vai sūdadohā āhāvasyaitad rūpam
2.1.36	tad yathā ha vai dāruṇaḥ śleṣma saṃśleṣaṇaṃ syāt paricarmaṇyaṃ vaivam eva sūdadohāḥ sarveṣāṃ vedānāṃ śaṃśleṣiṇī
2.2.1	athaitāni śīrṣṇyāni śaṃsati
2.2.2	tāni vai trīṇi tṛcāni bhavanti
2.2.3	trīṇi vā asya śīrṣṇaḥ kapālāni bhavanti
2.2.4	tānyevaitaiḥ saṃdadhāti
2.2.5	tāni trīṇi punar ekaikaṃ tredhā tredhā tā navarco bhavanti
2.2.6	nava vai śirasi prāṇāḥ
2.2.7	tānyarkavanti bhavanti
2.2.8	tad etasyāhno rūpam
2.3.1	athaitaṃ graivaṃ śaṃsati
2.3.2	tā vai tisra ṛco bhavanti
2.3.3	trīṇi vā āsāṃ grīvāṇāṃ parvāṇi bhavanti
2.3.4	tānyevaitābhiḥ saṃdadhāti
2.3.5	uṣṇig uttamā
2.3.6	so 'yaṃ skandho vidalo 'vyūḍhaḥ
2.4.1	athaitāṃ akṣāṃ śaṃsati
2.4.2	sā vai triṣṭub bhavati
2.4.3	tasmād akṣaḥ sthaviṣṭhaḥ
2.4.4	ṛṣvā ta indra sthavirasya bāhū iti bāhvor abhirūpā
2.4.5	atha rathantarasya stotriyānurūpau śaṃsati
2.4.6	tayor uktaṃ brāhmaṇam
2.4.7	atha dhāyyāṃ śaṃsati
2.4.8	iyaṃ vai dhāyyā
2.4.9	iyaṃ hi sarveṣu bhūteṣu hitā
2.4.10	sā vai dakṣiṇe bhāge dhīyate
2.4.11	tasmād dakṣiṇaṃ bhāgaṃ puṃsaḥ stryadhiśete
2.4.12	atha rāthantaraṃ pragāthaṃ śaṃsati
2.4.13	tasyoktaṃ brāhmaṇam
2.4.14	sa eka iddhavyaś carṣaṇīnām iti sūktaṃ tat pacchaḥ
2.4.15	tasya dvitīyām uddhṛtya viśvo hyanyo arirājagāmeti
2.4.16	yaitasya dvitīyā tām iha dvitīyāṃ karoti
2.4.17	tad imau pakṣau vyatiṣajatyavivarhāya
2.4.18	tasmāddhābhyāṃ pakṣābhyāṃ sarvāṇi karmāṇi samaśnute
2.5.1	athaitaṃ prahastakaṃ śaṃsati
2.5.2	tā vai tisra ṛco bhavanti
2.5.3	trīṇi vā asya pāṇeḥ parvāṇi bhavanti
2.5.4	tānyevaitābhiḥ saṃdadhāti
2.5.5	aticchandāḥ prathamā so 'yam aṅguṣṭhaḥ
2.5.6	tasmād ayam aṅguṣṭhaḥ sarvā aṅgulīḥ pratyeti
2.5.7	dakṣiṇaḥ pakṣo rāthantaraḥ
2.5.8	atha vā uttaraḥ pakṣo bārhataḥ
2.5.9	etenaivokto brāhmaṇaḥ
2.5.10	tau vā etau pakṣau bārhatarāthantarau caturviṃśau
2.5.11	caturviṃśatir vai saṃvatsarasyārdhamāsāḥ saṃvatsarasyāptyai
2.6.1	athaitāni caturuttarāṇi śaṃsati tad anūkam
2.6.2	tā ekaviṃśatir ṛco bhavanti
2.6.3	ekaviṃśatir vā asyānūkasya parvāṇi bhavanti
2.6.4	tānyevaitābhiḥ saṃdadhāti
2.6.5	tāni vai sapta tṛcāni bhavanti
2.6.6	sapta vai chandāṃsi sarveṣām eva chandasām āptyai
2.6.7	tānyarkavanti bhavanti
2.6.8	tad etasyāhno rūpam
2.7.1	athaitā aśītīḥ śaṃsati
2.7.2	stotriyān evaitābhir anuśaṃsati gāyatryā gāyatram auṣṇihyā ca bārhatyā ca bṛhadrathantare
2.7.3	iyam eva dakṣiṇaṃ pārśvaṃ gāyatrī savyam auṣṇihī madhyaṃ bārhatī
2.7.4	madhye vā idam ātmano 'nnaṃ dhīyate
2.7.5	triṣṭubhāvantareṇa triṣṭum naividī
2.7.6	vaiśvāmitryāvarkavatyāvabhirūpe
2.7.7	viśvāmitro hyenad apaśyat
2.7.8	mahadvatyo vṛdhavatyaḥ pratipado bhavanti
2.7.9	mahadvad vṛdhavat
2.7.10	mahadvat mahadvaddhyetad ahaḥ
2.8.1	mahān indro ya ojasetyetayā gāyatrīm aśītiṃ pratipadyate stomair vatsasya vāvṛdha iti mahadvatyā vṛdhavatyā
2.8.2	mahadvad vṛdhavat
2.8.3	mahadvat mahadvaddhyetad ahaḥ
2.9.1	yā indra bhuja ābhara ityetayā bārhatīm aśītiṃ pratipadyate stotāram in maghavann asya vardhayeti mahadvatyā vṛdhavatyā
2.9.2	mahadvad vṛdhavat
2.9.3	mahadvat mahadvaddhyetad ahaḥ
2.9.4	ayaṃ te astu haryata ā mandrair indra haribhir iti sūkte
2.9.5	tad yad ete antataḥ śaṃsati saṃsiddhābhir bṛhatībhir auṣṇihīm aśītiṃ samārohāṇīti
2.10.1	indraḥ suteṣu someṣvityetayauṣṇihīm aśītiṃ pratipadyate vide vṛdhasya dakṣaso mahān hi ṣa iti vṛdhavatyā mahadvatyā
2.10.2	vṛdhavan mahadvat
2.10.3	mahadvaddhyetad ahaḥ
2.10.4	tā vā etā aśītayaḥ saṃśastāḥ saptaviṃśatiśatāny ṛcāṃ sampadyante
2.10.5	sapta vai viṃśatiśatāni saṃvatsarasyāhorātrāṇāṃ tad aśītibhiḥ saṃvatsarasyāhorātrāṇy āpnoti
2.10.6	sāmanidhanair haike gāyatrīr uṣṇihaḥ sampādayanti
2.10.7	caturakṣarāṇyu haike punar ādadate
2.10.8	bārhatyā aśītyā aśītiṃ caturakṣarāṇyuddharati kākubhebhyaḥ pragāthebhyaś caturviṃśatiṃ caturakṣarāṇi tāni catuḥśataṃ caturakṣarāṇi catuḥśate gāyatrīṣūpadadhāti
2.10.9	tathā tā gāyatrīr uṣṇihaḥ sampadyante
2.10.10	nādriyeta
2.10.11	atraiva sampannam
2.10.12	indrāya sāma gāyateti
2.10.13	tad yad etad antataḥ śaṃsati saṃsiddhābhir uṣṇigbhir vaśaṃ samārohāṇīti
2.11.1	atha vaśaṃ śaṃsati
2.11.2	udaraṃ vai vaśaḥ
2.11.3	tena saṃsiddhenānantaryaṃ jigamiṣet
2.11.4	yad ataḥ kiṃca bahirdhā tata eva tacchrapayati yad antar udare
2.11.5	tasmād bahvyo devatā bahūni chandāṃsi vaśe śasyante
2.11.6	tasmād idaṃ bahu viśvarūpam udare 'nnam avadhīyate
2.11.7	athaitau vihṛtāvardharcau
2.11.8	atha sūdadohasam
2.11.9	sā tata evotsṛjyate
2.11.10	atra caturviṃśatikṛtvaḥ śastā bhavati
2.12.1	athaitā dvipadāḥ śaṃsati
2.12.2	pratiṣṭhānīyaṃ vai chando dvipadāḥ pratiṣṭhityā eva
2.13.1	athaitad aindrāgnaṃ sūktaṃ gāyatrīśaṃsaṃ śaṃsati
2.13.2	pratiṣṭhe vā indrāgnī pratiṣṭhityā eva
2.14.1	athaitad āvapanaṃ śaṃsati
2.14.2	pratiṣṭhā vā āvapanaṃ pratiṣṭhityā eva
2.14.3	atho etānyeva punararvācīni bhavanti
2.15.1	athaitam ānuṣṭubhaṃ samāmnāyaṃ śaṃsati
2.15.2	vāg vā etad ahar vāg anuṣṭub vācyeva tad vācaṃ pratiṣṭhāpayati
2.15.3	divaṃ yaya divaṃ yayeti devān evaitena sūktenaiti
2.15.4	sa pratnathā kavivṛdha iti tṛcam arkavat tena samṛddham
2.15.5	gāyatryuttamā tayā samṛddham
2.15.6	śāsa itthā mahān asīti mahadvat
2.15.7	mahadvaddhyetad ahaḥ
2.16.1	athaitaṃ triṣṭupchataṃ śaṃsati
2.16.2	indrasyaivaitacchando yat triṣṭup tad enaṃ svena chandasā samardhayati
2.16.3	hairaṇyastūpīyaṃ ca yātaūtīyaṃ ca bārhatarāthantare bṛhadrathantare hi purastāt kṛte bhavataḥ
2.16.4	sajanīyaṃ cādhvaryavo bharatendrāya somam iti ca tāḥ saptaviṃśatir ṛco bhavanti
2.16.5	saptaviṃśatir vai nakṣatrāṇi
2.16.6	tan nakṣatriyāṃ virājaṃ āpnoti
2.16.7	viśvāmitrasya śaṃset
2.16.8	viśvāmitro hyenad apaśyat
2.16.9	vāmadevasya śaṃsed vāmaṃ hyetad devānām
2.16.10	vasiṣṭhasya śaṃsed vāsiṣṭhaṃ hyetad devānām
2.16.11	tatra purastād udbrahmīyasya padānuṣaṅgāñchaṃsati
2.16.12	sarve vai kāmā etasmin antarukthe
2.16.13	tad yathā vraje paśūn avasṛjyārgaleṣīke parivyayed evam evaitaiḥ padānuṣaṅgaiḥ sarvān kāmān ubhayataḥ parigṛhyātman dhatte
2.16.14	atho udubrahmīyasyārkavatyuttamā
2.16.15	tad etasyāhno rūpam
2.16.16	triḥ śastayā paridadhāti
2.16.17	paridhāyokthavīryaṃ japati
2.16.18	aikāhikaṃ pūrvaṃ
2.16.19	pratiṣṭhā vā evāhaḥ pratiṣṭhityā eva
2.16.20	māhāvratikam uttaram
2.16.21	mahad asīti mahadvat
2.16.22	mahadvaddhyetad ahaḥ
2.17.1	tad etat sakṛcchastāyāṃ sūdadohasi yāvacchastraṃ upasarjanyāṃ saṃkhyāyamānāyām ṛte tūṣṇīṃśaṃsaṃ bṛhatīsahasraṃ sampadyate
2.17.2	tasya vā etasya bṛhatīsahasrasya ṣaṭtriṃśad akṣarāṇāṃ sahasrāṇi bhavanti
2.17.3	tāvanti śatasaṃvatsarasyāhāni bhavanti
2.17.4	tacchatasaṃvatsarasyāhānyāpnoti
2.17.5	anuṣṭupsampannam u haike
2.17.6	vāg vā etad ahaḥ
2.17.7	vāg anuṣṭup
2.17.8	vāggha sarvāṇi bhūtāni
2.17.9	atho vāg idaṃ sarvam iti
2.17.10	bṛhatīsampannam iti tveva sthitam
2.17.11	bārhato vā eṣa ya eṣa tapati
2.17.12	tad enaṃ svena chandasā samardhayati
2.17.13	trir evāhvayate
2.17.14	trayo vā ime lokāḥ
2.17.15	imān eva tallokān āpnoti
2.17.16	aikāhikī yājyā
2.17.17	pratiṣṭhā vā ekāhaḥ pratiṣṭhityā eva
2.17.18	ananuvaṣaṭkṛta eva preṅkhaṃ śrathnanti
2.17.19	sagraham evāyaṃ taṃ prāṅ upāvarohati
2.17.20	pratyaṅ preṅkhaphalakam apohati
2.17.21	parāmṛśan grahaṃ japati yam imaṃ prajayaṃ prājaiṣaṃ tam anvasānīti ned asmāt prajayād ātmānam apādadhānīti
2.17.22	vaiśvakarmaṇo 'tigrāhyaḥ
2.17.23	prājāpatyaṃ vā etad ahaḥ
2.17.24	prajāpatir viśvakarmā
2.17.25	tad enaṃ svena rūpeṇa samardhayati
2.17.26	taddhaitad ahar indro 'ṅgirase provācāṅgirā dīrghatamase
2.17.27	tata u ha dīrghatamā daśa puruṣāyuṣāṇi jijīva
2.17.28	tad apyetad ṛṣir āha dīrghatamā māmateyo jujurvān daśame yuga iti
2.17.29	tad etad āyuṣkāmasya śastram iti ha smāha kauṣītakiḥ
2.17.30	tad ya evaṃ vidvān etad ahaḥ śaṃsati sarvam āyur asmiṃlloka eti
2.17.31	āpnotyamṛtatvam akṣitiṃ svarge loke
2.18.1	tat savitur vṛṇīmaha iti vaiśvadevasya pratipat
2.18.2	vṛṇīmaha iti mahadvatī
2.18.3	mahadvat mahadvaddhyetad ahaḥ
2.18.4	adyā no deva savitar ityanucaraḥ
2.18.5	viśvā vāmā nidhīmahīti mahadvat
2.18.6	mahadvaddhyetad ahaḥ
2.18.7	tad devasya savitur vāryaṃ mahad iti sāvitraṃ mahadvat
2.18.8	mahadvaddhyetad ahaḥ
2.18.9	te hi dyāvāpṛthivī viśvaśaṃbhuveti dyāvāpṛthivīyam
2.18.10	uruvyacasā mahinī asaścateti mahadvat
2.18.11	mahadvaddhyetad ahaḥ
2.18.12	kim u śreṣṭhaḥ kiṃ yaviṣṭho na ājagan ityārbhavam
2.18.13	na nindima camasaṃ yo mahākula iti mahadvat
2.18.14	mahadvaddhyetad ahaḥ
2.18.15	asya vāmasya palitasya hotur iti salilaṃ vaiśvadevam
2.18.16	salilaṃ hyetad devānām
2.18.17	aikāhike nividaṃ dadhāti
2.18.18	pratiṣṭhā vā ekāhaḥ pratiṣṭhityā eva
2.18.19	aikāhikaṃ vaiśvānarīyam
2.18.20	pratiṣṭhā vā ekāhaḥ pratiṣṭhityā eva
2.18.21	prayajyavo maruto bhrājadṛṣṭaya iti mārutam
2.18.22	bṛhan mahānta urviyā vi rājatheti bṛhadvat
2.18.23	mahadvat mahadvaddhyetad ahaḥ
2.18.24	baﾱ itthā tad vapuṣo 'dhāyi darśitam iti jātavedasīyaṃ tasyāstāvyagniḥ śimīvadbhir arkair ity arkavatyuttamā
2.18.25	tad etasyāhno rūpam ity āgnimārutasūktānīti
2.18.26	etasyāhnaḥ sūktāni
2.18.27	tad agniṣṭomaḥ saṃtiṣṭhate
2.18.28	brahma vā agniṣṭomaḥ
2.18.29	brahmaitad ahaḥ
