#Text:Aitareyāraṇyaka
#Edition:DCS version



1.1.1.1	om
1.1.2.10	atho pañcaviṃśaṃ vā etad ahaḥ pañcaviṃśa etasyāhna stomas tat samena samaṃ pratipadyate tasmād dve eva pañcaviṃśatir bhavanti
1.1.2.11	tās triḥ prathamayā trir uttamayaikayā na triṃśan nyūnākṣarā virāṭ
1.1.2.12	nyūne vai retaḥ sicyate nyūne prāṇā nyūne 'nnādyaṃ pratiṣṭhitam eteṣāṃ kāmānām avaruddhyai
1.1.2.13	etān kāmān avarundhe ya evaṃ veda
1.1.2.14	tā abhisaṃpadyante bṛhatīṃ ca virājaṃ ca chando yaitasyāhnaḥ saṃpat tām atho anuṣṭubham anuṣṭubāyatanāni hy ājyāni
1.1.3.1	gāyatraṃ praugaṃ kuryād ity āhus tejo vai brahmavarcasaṃ gāyatrī tejasvī brahmavarcasī bhavatīti
1.1.3.2	auṣṇihaṃ praugaṃ kuryād ity āhur āyur vā uṣṇig āyuṣmān bhavatīti
1.1.3.3	ānuṣṭubhaṃ praugaṃ kuryād ity āhuḥ kṣatraṃ vā anuṣṭup kṣatrasyāptyā iti
1.1.3.4	bārhataṃ praugaṃ kuryād ity āhuḥ śrīr vai bṛhatī śrīmān bhavatīti
1.1.3.5	pāṅktaṃ praugaṃ kuryād ity āhur annaṃ vai paṅktir annavān bhavatīti
1.1.3.6	traiṣṭubhaṃ praugaṃ kuryād ity āhur vīryaṃ vai triṣṭub vīryavān bhavatīti
1.1.3.7	jāgataṃ praugaṃ kuryād ity āhur jāgatā vai paśavaḥ paśumān bhavatīti
1.1.3.8	tad u gāyatram eva kuryād brahma vai gāyatrī brahmaitad ahar brahmaṇaiva tad brahma pratipadyate
1.1.3.9	tad u mādhuchandasam
1.1.3.10	madhu ha sma vā ṛṣibhyo madhuchandāś chandati tan madhuchandaso madhuchandastvam
1.1.3.11	atho annaṃ vai madhu sarvaṃ vai madhu sarve vai kāmā madhu tad yan mādhuchandasaṃ śaṃsati sarveṣāṃ kāmānām avaruddhyai
1.1.3.12	sarvān kāmān avarundhe ya evaṃ veda
1.1.3.13	tad vaikāhikaṃ rūpasamṛddhaṃ bahu vā etasminn ahani kiñca kiñca vāraṇaṃ kriyate śāntyā eva śāntir vai pratiṣṭhaikāhaḥ śāntyām eva tat pratiṣṭhāyām antataḥ pratitiṣṭhanti
1.1.3.14	pratitiṣṭhati ya evaṃ veda yeṣāṃ caivaṃ vidvān etaddhotā śaṃsati
1.1.4.1	vāyav ā yāhi darśateme somā araṃkṛtā ity etad vā ahar araṃ yajamānāya ca devebhyaś ca
1.1.4.2	araṃ hāsmā etad ahar bhavati ya evaṃ veda yeṣāṃ caivaṃ vidvān etaddhotā śaṃsati
1.1.4.3	indravāyū ime sutā ā yātam upa niṣkṛtam iti yad vai niṣkṛtaṃ tat saṃskṛtam
1.1.4.4	ā hāsyendravāyū saṃskṛtaṃ gacchato ya evaṃ veda yeṣāṃ caivaṃ vidvān etaddhotā śaṃsati
1.1.4.5	mitraṃ huve pūtadakṣaṃ dhiyaṃ ghṛtācīṃ sādhanteti vāg vai dhīr ghṛtācī
1.1.4.6	vācam evāsmiṃs tad dadhāti ya evaṃ veda yeṣāṃ caivaṃ vidvān etaddhotā śaṃsati
1.1.4.7	aśvinā yajvarīr iṣa ity annaṃ vā iṣo 'nnādyasyāvaruddhyai
1.1.4.8	ā yātaṃ rudravartanī ity ā hāsyāśvinau yajñaṃ gacchato ya evaṃ veda yeṣāṃ caivaṃ vidvān etaddhotā śaṃsati
1.1.4.9	indrā yāhi citrabhānav indrā yāhi dhiyeṣita indrā yāhi tūtujāna ity āyāhy āyāhīti śaṃsati
1.1.4.10	ā hāsyendro yajñaṃ gacchati ya evaṃ veda yeṣāṃ caivaṃ vidvān etaddhotā śaṃsati
1.1.4.11	omāsaś carṣaṇīdhṛto viśve devāsa ā gatety ā hāsya viśve devā havaṃ gacchanti ya evaṃ veda yeṣāṃ caivaṃ vidvān etaddhotā śaṃsati
1.1.4.12	dāśvāṃso dāśuṣaḥ sutam iti yad āha daduṣo daduṣaḥ sutam ity eva tad āha
1.1.4.13	dadati hāsmai taṃ kāmaṃ devā yatkāma etacchaṃsati ya evaṃ veda yeṣāṃ caivaṃ vidvān etaddhotā śaṃsati
1.1.4.14	pāvakā naḥ sarasvatī yajñaṃ vaṣṭu dhiyāvasur iti vāg vai dhiyāvasuḥ
1.1.4.15	vācam evāsmiṃs tad dadhāti ya evaṃ veda yeṣāṃ caivaṃ vidvān etaddhotā śaṃsati
1.1.4.16	yajñaṃ vaṣṭv iti yad āha yajñaṃ vahatv ity eva tad āha
1.1.4.17	tāḥ parāgvacanenaikaviṃśatir bhavanty ekaviṃśo 'yaṃ puruṣo daśa hastyā aṅgulayo daśa pādyā ātmaikaviṃśas tam imam ātmānam ekaviṃśaṃ saṃskurute
1.1.4.18	tās triḥ prathamayā trir uttamayā pañcaviṃśatir bhavanti pañcaviṃśa ātmā pañcaviṃśaḥ prajāpatir daśa hastyā aṅgulayo daśa pādyā dvā ūrū dvau bāhū ātmaiva pañcaviṃśas tam imam ātmānaṃ pañcaviṃśaṃ saṃskurute
1.1.4.19	atho pañcaviṃśaṃ vā etad ahaḥ pañcaviṃśa etasyāhna stomas tat samena samaṃ pratipadyate tasmād dve eva pañcaviṃśatir bhavanti bhavanti
1.2.1.1	ā tvā rathaṃ yathotaya idaṃ vaso sutam andha iti marutvatīyasya pratipadanucarau
1.2.1.2	aikāhikau rūpasamṛddhau bahu vā etasminn ahani kiñca kiñca vāraṇaṃ kriyate śāntyā eva śāntir vai pratiṣṭhaikāhaḥ śāntyām eva tat pratiṣṭhāyām antataḥ pratitiṣṭhanti
1.2.1.3	pratitiṣṭhati ya evaṃ veda yeṣāṃ caivaṃ vidvān etaddhotā śaṃsati
1.2.1.4	indra nedīya ed ihi pra sū tirā śacībhir ye ta ukthina ity ukthaṃ vā etad ahar ukthavad rūpasamṛddham etasyāhno rūpam
1.2.1.5	praitu brahmaṇaspatir acchā vīram iti vīravad rūpasamṛddham etasyāhno rūpam
1.2.1.6	uttiṣṭha brahmaṇaspate suvīryam iti vīryavad rūpasamṛddham etasyāhno rūpam
1.2.1.7	pra nūnaṃ brahmaṇaspatir mantraṃ vadaty ukthyam ity ukthaṃ vā etad ahar ukthavad rūpasamṛddham etasyāhno rūpam
1.2.1.8	agnir netā sa vṛtraheti vārtraghnam indrarūpam aindram etad ahar etasyāhno rūpam
1.2.1.9	tvaṃ soma kratubhiḥ sukratur bhūs tvaṃ vṛṣā vṛṣatvebhir mahitveti vṛṣaṇvad vā indrasya rūpam aindram etad ahar etasyāhno rūpam
1.2.1.10	pinvanty apo 'tyaṃ na mihe vi nayanti vājinam iti vājimad vā indrasya rūpam aindram etad ahar etasyāhno rūpam
1.2.1.11	atho utsaṃ duhanti stanayantam akṣitam iti stanayad vā indrasya rūpam aindram etad ahar etasyāhno rūpam
1.2.1.12	pra va indrāya bṛhata iti yad vai bṛhat tan mahan mahadvad rūpasamṛddham etasyāhno rūpam
1.2.1.13	bṛhad indrāya gāyateti yad vai bṛhat tan mahan mahadvad rūpasamṛddham etasyāhno rūpam
1.2.1.14	nakiḥ sudāso rathaṃ pary āsa na rīramad iti paryastavad rāntimad rūpasamṛddham etasyāhno rūpam
1.2.1.15	sarvān pragāthāñchaṃsati sarveṣām ahnām āptyai sarveṣām ukthānāṃ sarveṣāṃ pṛṣṭhānāṃ sarveṣāṃ śastrāṇāṃ sarveṣāṃ praugāṇāṃ sarveṣāṃ savanānāṃ
1.2.2.1	asat su me jaritaḥ sābhivegaḥ satyadhvṛtam iti śaṃsati satyaṃ vā etad ahaḥ satyavad rūpasamṛddham etasyāhno rūpam
1.2.2.2	tad u vāsukraṃ brahma vai vasukro brahmaitad ahar brahmaṇaiva tad brahma pratipadyate
1.2.2.3	tad āhur atha kasmād vāsukreṇaitan marutvatīyaṃ pratipadyata iti na ha vā etad anyo vasukrān marutvatīyam udayacchan na vivyāceti tasmād vāsukreṇaivaitan marutvatīyaṃ pratipadyate
1.2.2.4	tad aniruktaṃ prājāpatyaṃ śaṃsaty anirukto vai prajāpatiḥ prajāpater āptyai
1.2.2.5	sakṛd indraṃ nirāha tenaindrād rūpān na pracyavate
1.2.2.6	pibā somam abhi yam ugra tarda iti śaṃsati
1.2.2.7	ūrvaṃ gavyaṃ mahi gṛṇāna indreti mahadvad rūpasamṛddham etasyāhno rūpam
1.2.2.8	tad u bhāradvājaṃ bharadvājo ha vā ṛṣīṇām anūcānatamo dīrghajīvitamas tapasvitama āsa sa etena sūktena pāpmānam apāhata tad yad bhāradvājaṃ śaṃsati pāpmano 'pahatyā anūcāno dīrghajīvī tapasvy asānīti tasmād bhāradvājaṃ śaṃsati
1.2.2.9	kayā śubhā savayasaḥ sanīḍā iti śaṃsati
1.2.2.10	ā śāsate prati haryanty ukthety ukthaṃ vā etad ahar ukthavad rūpasamṛddham etasyāhno rūpam
1.2.2.11	tad u kayāśubhīyam etad vai saṃjñānaṃ santani sūktaṃ yat kayāśubhīyam etena ha vā indro 'gastyo marutas te samajānata tad yat kayāśubhīyaṃ śaṃsati saṃjñātyā eva
1.2.2.12	tad v āyuṣyaṃ tad yo 'sya priyaḥ syāt kuryād evāsya kayāśubhīyam
1.2.2.13	marutvāṁ indra vṛṣabho raṇāyeti śaṃsati
1.2.2.14	indra vṛṣabha iti vṛṣaṇvad vā indrasya rūpam aindram etad ahar etasyāhno rūpam
1.2.2.15	tad u vaiśvāmitraṃ viśvasya ha vai mitraṃ viśvāmitra āsa
1.2.2.16	viśvaṃ hāsmai mitraṃ bhavati ya evaṃ veda yeṣāṃ caivaṃ vidvān etaddhotā śaṃsati
1.2.2.17	janiṣṭhā ugraḥ sahase turāyeti nividdhānam aikāhikaṃ rūpasamṛddhaṃ bahu vā etasminn ahani kiñca kiñca vāraṇaṃ kriyate śāntyā eva śāntir vai pratiṣṭhaikāhaḥ śāntyām eva tatpratiṣṭhāyām antataḥ pratitiṣṭhanti
1.2.2.18	pratitiṣṭhati ya evaṃ veda yeṣāṃ caivaṃ vidvān etaddhotā śaṃsati
1.2.2.19	tāḥ parāgvacanena saptanavatir bhavanti sā yā navatis tisras tās triṃśinyo virājo 'tha yāḥ saptātiyanti yaivaiṣā praśaṃsā sāptyasya tasyā eva
1.2.2.20	tās triḥ prathamayā trir uttamayaikaśataṃ bhavanti pañcāṅgulayaś catuṣparvā dve kakṣasī doś cākṣaś cāṃsaphalakaṃ ca sā pañcaviṃśatiḥ pañcaviṃśānītarāṇi hy aṅgāni tacchatam ātmaikaśatatamaḥ
1.2.2.21	yacchataṃ tad āyur indriyaṃ vīryaṃ tejo yajamāna ekaśatatama āyuṣīndriye vīrye tejasi pratiṣṭhitaḥ
1.2.2.22	tās triṣṭubham abhisaṃpadyante traiṣṭubho hi madhyandinaḥ
1.2.3.1	tad āhuḥ kiṃ preṅkhasya preṅkhatvam ity ayaṃ vai preṅkho yo 'yaṃ pavata eṣa hy eṣu lokeṣu preṅkhata iti tat preṅkhasya preṅkhatvam
1.2.3.2	ekaṃ phalakaṃ syād ity āhur ekadhā hy evāyaṃ vāyuḥ pavate 'sya rūpeṇeti
1.2.3.3	tat tan nādṛtyam
1.2.3.4	trīṇi phalakāni syur ity āhus trayo vā ime trivṛto lokā eṣāṃ rūpeṇeti
1.2.3.5	tat tan nādṛtyam
1.2.3.6	dve eva syātāṃ dvau vā imau lokāv addhātamāv iva dṛśyete ya u ene antareṇākāśaḥ so 'ntarikṣalokas tasmād dve eva syātām
1.2.3.7	audumbare syātām ūrg vā annādyam udumbara ūrjo 'nnādyasyāvaruddhyai
1.2.3.8	madhyata udbhṛte syātāṃ madhyato vai prajā annaṃ dhinoti madhyata eva tad annādyasya yajamānaṃ dadhāti
1.2.3.9	ubhayyo rajjavo bhavanti dakṣiṇāś ca savyāś ca dakṣiṇā vā ekeṣāṃ paśūnāṃ rajjavaḥ savyā ekeṣāṃ tad yad ubhayyo rajjavo bhavanty ubhayeṣāṃ paśūnām āptyai
1.2.3.10	dārbhyaḥ syur darbho vā oṣadhīnām apahatapāpmā tasmād dārbhyaḥ syuḥ
1.2.4.1	aratnimātra upari bhūmeḥ preṅkhaḥ syād ity āhur etāvatā vai svargā lokāḥ saṃmitā iti
1.2.4.2	tat tan nādṛtyam
1.2.4.3	prādeśamātre syād ity āhur etāvatā vai prāṇāḥ saṃmitā iti
1.2.4.4	tat tan nādṛtyam
1.2.4.5	muṣṭimātre syād etāvatā vai sarvam annādyaṃ kriyata etāvatā sarvam annādyam abhipannaṃ tasmān muṣṭimātra eva syāt
1.2.4.6	purastāt pratyañcaṃ preṅkham adhirohed ity āhur etasya rūpeṇa ya eṣa tapati purastāddhyeṣa imāṃllokān pratyaṅṅ adhirohatīti
1.2.4.7	tat tan nādṛtyam
1.2.4.8	tiryañcam adhirohed ity āhus tiryañcaṃ vā aśvam adhirohanti teno sarvān kāmān avāpnavāmeti
1.2.4.9	tat tan nādṛtyam
1.2.4.10	anvañcam adhirohed ity āhur anūcīṃ vai nāvam adhirohanti naur vaiṣā svargayāṇī yat preṅkha iti tasmād anvañcam evādhirohet
1.2.4.11	chuvukenopaspṛśecchuko haivaṃ vṛkṣam adhirohati sa u vayasām annādatama iti tasmācchuvukenopaspṛśet
1.2.4.12	bāhubhyām adhirohed evaṃ śyeno vayāṃsy abhiniviśata evaṃ vṛkṣaṃ sa u vayasāṃ vīryavattama iti tasmād bāhubhyām adhirohet
1.2.4.13	asyai pādaṃ nocchindyān ned asyai pratiṣṭhāyā ucchidyā iti preṅkhaṃ hotādhirohaty audumbarīm āsandīm udgātā vṛṣā vai preṅkho yoṣāsandī tan mithunaṃ mithunam eva tad ukthamukhe karoti prajātyai
1.2.4.14	prajāyate prajayā paśubhir ya evaṃ veda
1.2.4.15	athānnaṃ vai preṅkhaḥ śrīr āsandy annaṃ caiva tacchriyaṃ cānvadhirohataḥ
1.2.4.16	bṛsīr hotrakāḥ samadhirohanti sabrahmakāḥ
1.2.4.17	samutsṛpya vā oṣadhivanaspatayaḥ phalaṃ gṛhṇanti tad yad etasminn ahani sarvaśaḥ samadhirohantīṣam eva tad ūrjam annādyam adhirohanty ūrjo 'nnādyasyāvaruddhyai
1.2.4.18	vaṣaṭkṛtyāvarohed ity āhuḥ
1.2.4.19	tat tan nādṛtyam
1.2.4.20	akṛtā vai sāpacitir yām apaśyate karoti
1.2.4.21	nigṛhya bhakṣam avarohed ity āhuḥ
1.2.4.22	tat tan nādṛtyam
1.2.4.23	akṛtā vai sāpacitir yām adhyṛṣṭāya karoti
1.2.4.24	pratikhyāya bhakṣam avarohed eṣā vā apacitir yāṃ paśyate karoti
1.2.4.25	tasmāt pratikhyāyaiva bhakṣam avarohet
1.2.4.26	prāṅ avarohet
1.2.4.27	prāg vai devaretasaṃ prajāyate tasmāt prāṅ avarohed avarohet
1.3.1.1	hiṅkāreṇaitad ahaḥ pratipadyetety āhuḥ
1.3.1.2	brahma vai hiṅkāro brahmaitad ahar brahmaṇaiva tad brahma pratipadyate ya evaṃ veda
1.3.1.3	yad eva hiṅkāreṇa pratipadyatā3i vṛṣā vai hiṅkāro yoṣark tan mithunaṃ mithunam eva tad ukthamukhe karoti prajātyai
1.3.1.4	prajāyate prajayā paśubhir ya evaṃ veda
1.3.1.5	yad v eva hiṅkāreṇa pratipadyatā3i yathā vā abhrir evaṃ brahmaṇo hiṅkāro yad vai kiñcābhriyābhititṛtsaty abhy evaitat tṛṇatty evam
1.3.1.6	yaṃ kāmaṃ kāmayate hiṅkāreṇābhy evainaṃ tṛṇatti ya evaṃ veda
1.3.1.7	yad v eva hiṅkāreṇa pratipadyatā3i vāco vā eṣā vyāvṛttir daivyai ca mānuṣyai ca yaddhiṅkāraḥ
1.3.1.8	sa yaddhiṃkṛtya pratipadyate vācam eva tad vyāvartayati daivīṃ ca mānuṣīṃ ca
1.3.2.1	tad āhuḥ kaitasyāhnaḥ pratipad iti
1.3.2.2	manaś ca vāk ceti brūyāt
1.3.2.3	sarve 'nyasmin kāmāḥ śritāḥ sarvān anyā kāmān duhe
1.3.2.4	manasi vai sarve kāmāḥ śritā manasā hi sarvān kāmān dhyāyati
1.3.2.5	sarve hāsmin kāmāḥ śrayante ya evaṃ veda
1.3.2.6	vāg vai sarvān kāmān duhe vācā hi sarvān kāmān vadati
1.3.2.7	sarvān hāsmai kāmān vāg duhe ya evaṃ veda
1.3.2.8	tad āhur naitad ahar ṛcā na yajuṣā na sāmnā pratyakṣāt pratipadyeta narco na yajuṣo na sāmna iyād iti
1.3.2.9	tad etā eva vyāhṛtīḥ purastāj japet
1.3.2.10	bhūr bhuvaḥ svar ity etā vāva vyāhṛtaya ime trayo vedā bhūr ity eva ṛgvedo bhuva iti yajurvedaḥ svar iti sāmavedaḥ
1.3.2.11	tan narcā na yajuṣā na sāmnā pratyakṣāt pratipadyate narco na yajuṣo na sāmna eti
1.3.3.1	tad iti pratipadyate tat tad iti vā annam annam eva tad abhipratipadyate
1.3.3.2	etāṃ vāva prajāpatiḥ prathamāṃ vācaṃ vyāharad ekākṣaradvyakṣarāṃ tateti tāteti
1.3.3.3	tathaivaitat kumāraḥ prathamavādī vācaṃ vyāharaty ekākṣaradvyakṣarāṃ tateti tāteti
1.3.3.4	tayaiva tat tatavatyā vācā pratipadyate
1.3.3.5	tad uktam ṛṣiṇā bṛhaspate prathamaṃ vāco agram ity etaddhyeva prathamaṃ vāco agram
1.3.3.6	yat prairata nāmadheyaṃ dadhānā iti vācā hi nāmadheyāni dhīyante
1.3.3.7	yad eṣāṃ śreṣṭhaṃ yad aripram āsīd ity etaddhyeva śreṣṭham etad aripram
1.3.3.8	preṇā tad eṣāṃ nihitaṃ guhāvir itīdam u ha guhādhyātmam imā devatā ada u āvir adhidaivatam ity etat tad uktaṃ bhavati
1.3.4.1	tad id āsa bhuvaneṣu jyeṣṭham iti pratipadyata etad vāva bhuvaneṣu jyeṣṭham
1.3.4.2	yato jajña ugras tveṣanṛmṇa ity ato hy eṣa jāta ugras tveṣanṛmṇaḥ
1.3.4.3	sadyo jajñāno ni riṇāti śatrūn iti sadyo hy eṣa jātaḥ pāpmānam apāhata
1.3.4.4	anu yaṃ viśve madanty ūmā iti bhūtāni vai viśva ūmās ta enam anumadanty udagād udagād iti
1.3.4.5	vāvṛdhānaḥ śavasā bhūryojā iti eṣa vai vāvṛdhānaḥ śavasā bhūryojāḥ
1.3.4.6	śatrur dāsāya bhiyasaṃ dadhātīti sarvaṃ hy etasmād bībhāya
1.3.4.7	avyanac ca vyanac ca sasnīti yac ca prāṇi yac cāprāṇakam ity eva tad āha
1.3.4.8	saṃ te navanta prabhṛtā madeṣv iti tava sarvaṃ vaśa ity eva tad āha
1.3.4.9	tve kratum api vṛñjanti viśva iti tvayīmāni sarvāṇi bhūtāni sarvāṇi manāṃsi sarve kratavo 'pi vṛñjantīty eva tad āha
1.3.4.10	dvir yad ete trir bhavanty ūmā iti dvau vai santau mithunau prajāyete prajātyai
1.3.4.11	prajāyate prajayā paśubhir ya evaṃ veda
1.3.4.12	svādoḥ svādīyaḥ svādunā sṛjā sam iti mithunaṃ vai svādu prajā svādu mithunenaiva tat prajāṃ saṃsṛjati
1.3.4.13	adaḥ su madhu madhunābhi yodhīr iti mithunaṃ vai madhu prajā madhu mithunenaiva tat prajām abhiyudhyati
1.3.4.14	tad uktam ṛṣiṇā
1.3.4.15	svāṃ yat tanūṃ tanvām airayatety asyāṃ śārīryām imāṃ chandomayīm ity eva tad āha
1.3.4.16	atho tanūr eva tanvo astu bheṣajam ity asyai śārīryā iyaṃ chandomayīty eva tad āha
1.3.4.17	tasyai yāny aṣṭāv akṣarāṇi sā gāyatrī yāny ekādaśa sā triṣṭub yāni dvādaśa sā jagaty atha yāni daśa sā virāṭ daśiny eṣu triṣu chandaḥsu pratiṣṭhitā
1.3.4.18	puruṣa iti tryakṣaraṃ sa u virāji
1.3.4.19	etāni vāva sarvāṇi chandāṃsi yāny etāni virāṭcaturthāny evam u haivaivaṃ viduṣa etad ahaḥ sarvaiś chandobhiḥ pratipannaṃ bhavati
1.3.5.1	tā nadena viharati
1.3.5.2	puruṣo vai nadas tasmāt puruṣo vadan sarvaḥ saṃnadatīva
1.3.5.3	nadaṃ va odatīnām itī3ṁ āpo vā odatyo yā divyās tā hīdaṃ sarvam undanty āpo vā odatyo yā mukhyās tā hīdaṃ sarvam annādyam undanti
1.3.5.4	nadaṃ yoyuvatīnām itī3ṁ āpo vāva yoyuvatyo yā antarikṣyās tā hi poplūyanta ivāpo vāva yoyuvatyo yāḥ svedate tā hi sarīsṛpyanta iva
1.3.5.5	patiṃ vo aghnyānām itī3ṁ āpo vā aghnyā yā agner dhūmāj jāyanta āpo vā aghnyā yā śiśnāt prasṛjyante
1.3.5.6	dhenūnām iṣudhyasītī3ṁ āpo vāva dhenavas tā hīdaṃ sarvaṃ dhinvantīṣudhyasīti yad āha patīyasīty eva tad āha
1.3.5.7	triṣṭubhaṃ cānuṣṭubhaṃ ca viharati vṛṣā vai triṣṭub yoṣānuṣṭup tan mithunaṃ tasmād api puruṣo jāyāṃ vittvā kṛtsnataram ivātmānaṃ manyate
1.3.5.8	tās triḥ prathamayā pañcaviṃśatir bhavanti pañcaviṃśa ātmā pañcaviṃśaḥ prajāpatir daśa hastyā aṅgulayo daśa pādyā dvā ūrū dvau bāhū ātmaiva pañcaviṃśas tam imam ātmānaṃ pañcaviṃśaṃ saṃskurute
1.3.5.9	atho pañcaviṃśaṃ vā etad ahaḥ pañcaviṃśa etasyāhna stomas tat samena samaṃ pratipadyate tasmād dve eva pañcaviṃśatir bhavanti
1.3.6.1	tad iti pratipadyate tat tad iti vā annam annam eva tad abhipratipadyate
1.3.6.2	etāṃ vāva prajāpatiḥ prathamāṃ vācaṃ vyāharad ekākṣaradvyakṣarāṃ tateti tāteti
1.3.6.3	tathaivaitat kumāraḥ prathamavādī vācaṃ vyāharaty ekākṣaradvyakṣarāṃ tateti tāteti
1.3.6.4	tayaiva tat tatavatyā vācā pratipadyate
1.3.6.5	tad uktam ṛṣiṇā bṛhaspate prathamaṃ vāco agram ity etaddhyeva prathamaṃ vāco agram
1.3.6.6	yat prairata nāmadheyaṃ dadhānā iti vācā hi nāmadheyāni dhīyante
1.3.6.7	yad eṣāṃ śreṣṭhaṃ yad aripram āsīd ity etaddhyeva śreṣṭham etad aripram
1.3.6.8	preṇā tad eṣāṃ nihitaṃ guhāvir itīdam u ha guhādhyātmam imā devatā ada u āvir adhidaivatam ity etat tad uktaṃ bhavati
1.3.7.1	tad id āsa bhuvaneṣu jyeṣṭham iti pratipadyate yad vai jyeṣṭhaṃ tan mahan mahadvad rūpasamṛddham etasyāhno rūpam tāṃ su te kīrtiṃ maghavan mahitveti mahadvad rūpasamṛddham etasyāhno rūpam
1.3.7.2	bhūya id vāvṛdhe vīryāyeti vīryavad rūpasamṛddham etasyāhno rūpam
1.3.7.3	nṛṇām u tvā nṛtamaṃ gīrbhir ukthair ity ukthaṃ vā etad ahar ukthavad rūpasamṛddham etasyāhno rūpam
1.3.7.4	nyūnākṣare prathame pade viharati nyūne vai retaḥ sicyate nyūne prāṇā nyūne 'nnādyaṃ pratiṣṭhitam eteṣāṃ kāmānām avaruddhyai
1.3.7.5	etān kāmān avarundhe ya evaṃ veda
1.3.7.6	dve daśākṣare bhavata ubhayor annādyayor upāptyai yac ca padvad yac cāpādakam iti
1.3.7.7	aṣṭādaśāṣṭādaśākṣarāṇi bhavanti yāni daśa nava prāṇā ātmaiva daśamaḥ sātmanaḥ saṃskṛtir aṣṭāvaṣṭā udyante
1.3.7.8	aśnute yad yat kāmayate ya evaṃ veda
1.3.8.1	tā nadena viharati
1.3.8.2	prāṇo vai nadas tasmāt prāṇo nadan sarvaḥ saṃnadatīva
1.3.8.3	nadaṃ va odatīnām itī3ṁ uṣṇig akṣarair bhavaty anuṣṭup pādair āyur vā uṣṇig vāg anuṣṭup
1.3.8.4	tad asminn āyuś ca vācaṃ ca dadhāti
1.3.8.5	tās triḥ prathamayā pañcaviṃśatir bhavanti pañcaviṃśa ātmā pañcaviṃśaḥ prajāpatir daśa hastyā aṅgulayo daśa pādyā dvā ūrū dvau bāhū ātmaiva pañcaviṃśas tam imam ātmānaṃ pañcaviṃśaṃ saṃskurute
1.3.8.6	atho pañcaviṃśaṃ vā etad ahaḥ pañcaviṃśa etasyāhna stomas tat samena samaṃ pratipadyate tasmād dve eva pañcaviṃśatir bhavanti
1.3.8.7	ity adhyātmaṃ pañcaviṃśaḥ
1.3.8.8	athādhidaivatam
1.3.8.9	cakṣuḥ śrotraṃ mano vāk prāṇaḥ tā etāḥ pañca devatā imaṃ viṣṭāḥ puruṣaṃ pañco haivaitā devatā ayaṃ viṣṭaḥ puruṣaḥ
1.3.8.10	so 'trā lomabhya ā nakhebhyaḥ sarvaḥ sāṅga āpyate tasmāt sarvāṇi bhūtāny ā pipīlikābhya āptāny eva jāyante
1.3.8.11	tad uktam ṛṣiṇā
