#Text:Baudhāyanadharmasūtra
#Edition:Hultzsch
#Notes:DCS version



1.1.1	upadiṣṭo dharmaḥ prativedam
1.9.7	āsanaṃ śayanaṃ yānaṃ nāvaḥ pathi tṛṇāni ca / caṇḍālapatitaspṛṣṭaṃ mārutenaiva śudhyati
1.9.8	khalakṣetreṣu yad dhānyaṃ kūpavāpīṣu yaj jalam / abhojyād api tad bhojyaṃ yac ca goṣṭhagataṃ payaḥ
1.9.9	trīṇi devāḥ pavitrāṇi brāhmaṇānām akalpayan / adṛṣṭam adbhir nirṇiktaṃ yac ca vācā praśasyate
1.9.10	āpaḥ pavitraṃ bhūmigatā gotṛptir yāsu jāyate / avyāptāś ced amedhyena gandhavarṇarasānvitāḥ
1.9.11	bhūmes tu saṃmārjanaprokṣaṇopalepanāvastaraṇollekhanair yathāsthānaṃ doṣaviśeṣāt prāyatyam
1.9.12	athāpy udāharanti
1.10.1	gocarmamātram abbindur bhūmeḥ śudhyati pātitaḥ / samūḍham asamūḍhaṃ vā yatrāmedhyaṃ na lakṣyate / iti
1.10.2	parokṣam adhiśritasyānnasyāvadyotyābhyukṣaṇam
1.10.3	tathāpaṇeyānāṃ ca bhakṣāṇām
1.10.4	bībhatsavaḥ śucikāmā hi devā nāśraddadhānasya havir juṣanta iti
1.10.5	śucer aśraddadhānasya śraddadhānasya cāśuceḥ / mīmāṃsitvobhayaṃ devāḥ samam annam akalpayan / prajāpatis tu tān āha na samaṃ viṣamaṃ hi tat / hatam aśraddadhānasya śraddhāpūtaṃ viśiṣyate / iti
1.10.6	athāpy udāharanti / aśraddhā paramaḥ pāpmā śraddhā hi paramaṃ tapaḥ / tasmād aśraddhayā dattaṃ havir nāśnanti devatāḥ
1.10.7	iṣṭvā dattvāpi vā mūrkhaḥ svargaṃ nahi sa gacchati
1.10.8	śaṅkāvihatacāritro yaḥ svābhiprāyam āśritaḥ / śāstrātigaḥ smṛto mūrkho dharmatantroparodhanāt / iti
1.10.9	śākapuṣpaphalamūlauṣadhīnāṃ tu prakṣālanam
1.10.10	śuṣkaṃ tṛṇam ayājñikaṃ kāṣṭhaṃ loṣṭaṃ vā tiraskṛtyāhorātrayor udagdakṣiṇāmukhaḥ pravṛtya śira uccared avamehed vā
1.10.11	mūtre mṛdādbhiḥ prakṣālanam
1.10.12	triḥ pāṇeḥ
1.10.13	tadvat purīṣe
1.10.14	paryāyāt tris triḥ pāyoḥ pāṇeś ca
1.10.15	mūtravad retasa utsarge
1.10.16	nīvīṃ visrasya paridhāyāpa upaspṛśet
1.10.17	ārdraṃ tṛṇaṃ gomayaṃ bhūmiṃ vā samupaspṛśet
1.10.18	nābher adhaḥ sparśanaṃ karmayukto varjayet
1.10.19	ūrdhvaṃ vai puruṣasya nābhyai medhyam avācīnam amedhyam iti śrutiḥ
1.10.20	śūdrāṇām āryādhiṣṭhitānām ardhamāsi māsi vā vapanam āryavad ācamanakalpaḥ
1.10.21	vaiśyaḥ kusīdam upajīvet
1.10.22	pañcaviṃśatis tv eva pañcamāṣikī syāt
1.10.23	athāpy udāharanti / yaḥ samargham ṛṇaṃ gṛhya mahārghaṃ saṃprayojayet / sa vai vārddhuṣiko nāma sarvadharmeṣu garhitaḥ / vṛddhiṃ ca bhrūṇahatyāṃ ca tulayā samatolayat / atiṣṭhad bhrūṇahā koṭyāṃ vārddhuṣiḥ samakampata
1.10.24	gorakṣakān vāṇijakāṃs tathā kārukuśīlavān / preṣyān vārddhuṣikāṃś caiva viprāñśūdravad ācaret
1.10.25	kāmaṃ tu pariluptakṛtyāya kadaryāya nāstikāya pāpīyase pūrvau dadyātām
1.10.26	ayajñenāvivāhena vedasyotsādanena ca / kulāny akulatāṃ yānti brāhmaṇātikrameṇa ca
1.10.27	brāhmaṇātikramo nāsti mūrkhe mantravivarjite / jvalantam agnim utsṛjya nahi bhasmani hūyate
1.10.28	gobhir aśvaiś ca yānaiś ca kṛṣyā rājopasevayā / kulāny akulatāṃ yānti yāni hīnāni mantrataḥ
1.10.29	mantratas tu samṛddhāni kulāny alpadhanāny api / kulasaṃkhyāṃ ca gacchanti karṣanti ca mahadyaśaḥ
1.10.30	vedaḥ kṛṣivināśāya kṛṣir vedavināśinī / śaktimān ubhayaṃ kuryād aśaktas tu kṛṣiṃ tyajet
1.10.31	na vai devān pīvaro 'saṃyatātmā rorūyamāṇaḥ kakudī samaśnute / calattundī rabhasaḥ kāmavādī kṛśāsa ity aṇavas tatra yānti
1.10.32	yad yauvane carati vibhrameṇa sad vāsad vā yādṛśaṃ vā yadā vā / uttare ced vayasi sādhuvṛttas tad evāsya bhavati netarāṇi
1.10.33	śoceta manasā nityaṃ duṣkṛtāny anucintayan / tapasvī cāpramādī ca tataḥ pāpāt pramucyate
1.10.34	spṛśanti bindavaḥ pādau ya ācāmayataḥ parān / na tair ucchiṣṭabhāvaḥ syāt tulyās te bhūmigaiḥ saha / iti
1.11.1	sapiṇḍeṣv ā daśāham āśaucam iti jananamaraṇayor adhikṛtya vadanty ṛtvigdīkṣitabrahmacārivarjam
1.11.2	sapiṇḍatā tv ā saptamāt sapiṇḍeṣu
1.11.3	ā saptamāsād ā dantajananād vodakopasparśanam
1.11.4	piṇḍodakakriyā prete nātrivarṣe vidhīyate / ā dantajananād vāpi dahanaṃ ca na kārayet
1.11.5	aprattāsu ca kanyāsu
1.11.6	prattāsv eke ha kurvate
1.11.7	lokasaṃgrahaṇārthaṃ hi tad amantrāḥ striyo matāḥ
1.11.8	strīṇām akṛtavivāhānāṃ tryahācchudhyanti bāndhavāḥ / yathoktenaiva kalpena śudhyanti ca sanābhaya iti
1.11.9	api ca prapitāmahaḥ pitāmahaḥ pitā svayaṃ sodaryā bhrātaraḥ savarṇāyāḥ putraḥ pautraḥ prapautras tatputravarjaṃ teṣāṃ ca putrapautram avibhaktadāyam sapiṇḍān ācakṣate
1.11.10	vibhaktadāyān api sakulyān ācakṣate
1.11.11	asatsv anyeṣu tadgāmī hy artho bhavati
1.11.12	sapiṇḍābhāve sakulyaḥ
1.11.13	tadabhāve pitācāryo 'ntevāsy ṛtvig vā haret
1.11.14	tadabhāve rājā tatsvaṃ traividyavṛddhebhyaḥ samprayacchet
1.11.15	na tv eva kadācit svayaṃ rājā brāhmaṇasvam ādadīta
1.11.16	athāpy udāharanti / brahmasvaṃ putrapautraghnaṃ viṣam ekākinaṃ haret / na viṣaṃ viṣam ity āhur brahmasvaṃ viṣam ucyate / tasmād rājā brāhmaṇasvaṃ nādadīta / paramaṃ hy etad viṣaṃ yad brāhmaṇasvam iti
1.11.17	jananamaraṇayoḥ saṃnipāte samāno daśarātraḥ
1.11.18	atha yadi daśarātrāḥ saṃnipateyur ādyaṃ daśarātram āśaucam ā navamād divasāt
1.11.19	janane tāvan mātāpitror daśāham āśaucam
1.11.20	mātur ity eke tatpariharaṇāt
1.11.21	pitur ity apare śukraprādhānyāt
1.11.22	ayonijā hy api putrāḥ śrūyante
1.11.23	mātāpitror eva tu saṃsargasāmānyāt
1.11.24	maraṇe tu yathābālaṃ puraskṛtya yajñopavītāny apasavyāni kṛtvā tīrtham avatīrya sakṛt sakṛt trir nimajjyonmajjyottīryācamya tatpratyayam udakam āsicyāta evottīryācamya gṛhadvāry aṅgāram udakam iti saṃspṛśyākṣāralavaṇāśino daśāhaṃ kaṭam āsīran
1.11.25	ekādaśyāṃ dvādaśyāṃ vā śrāddhakarma
1.11.26	śeṣakriyāyāṃ loko 'nuroddhavyaḥ
1.11.27	atrāpy asapiṇḍeṣu yathāsannaṃ trirātram ahorātram ekāham iti kurvīta
1.11.28	ācāryopādhyāyatatputreṣu trirātram
1.11.29	ṛtvijāṃ ca
1.11.30	śiṣyasatīrthyasabrahmacāriṣu trirātram ahorātram ekāham iti kurvīta
1.11.31	garbhasrāve garbhamāsasaṃmitā rātrayaḥ strīṇām
1.11.32	paraśavopasparśane 'nabhisaṃdhipūrvaṃ sacelo 'paḥ spṛṣṭvā sadyaḥ śuddho bhavati
1.11.33	abhisaṃdhipūrvaṃ trirātram
1.11.34	ṛtumatyāṃ ca
1.11.35	yas tato jāyate so 'bhiśasta iti vyākhyātāny asyai vratāni
1.11.36	vedavikrayiṇaṃ yūpaṃ patitaṃ citim eva ca / spṛṣṭvā samācaret snānaṃ śvānaṃ caṇḍālam eva ca
1.11.37	brāhmaṇasya vraṇadvāre pūyaśoṇitasaṃbhave / kṛmir utpadyate tatra prāyaścittaṃ kathaṃ bhavet
1.11.38	gomūtraṃ gomayaṃ kṣīraṃ dadhi sarpiḥ kuśodakam / tryahaṃ snātvā ca pītvā ca kṛmidaṣṭaḥ śucir bhavet
