#Text:Gautamadharmasūtrapariśiṣṭa
#Edition:Aiyangar 1948
#Data entry:Oliver Hellwig



2.1.1	athāto dharmaśeṣān vyākhyāsyāmaḥ
2.2.3	mahāpātakino dāruṇān tāmisrādinarakān prāpya tatra pracuraduḥkham anubhūya pāpaśeṣāt punariha saṃsāre duḥkhabahulaśvasṛgālāditiryagyoniṣu bhūyo bhūyo jāyante
2.2.4	brahmahā mṛgaśvasūkaroṣṭrayoniṃ prāpnuyāt
2.2.5	surāpaḥ kharapulkasavenayonim
2.2.6	svarṇahārī kṛmikīṭapataṅgayonim
2.2.7	gurutalpagas tṛṇagulmalatātvaṃ cākāmataḥ
2.2.8	kāmato duḥkhabahulayoniṣu
2.2.9	brahmahā śvasūkarakharoṣṭragojāvimṛgapakṣicaṇḍālapulkasānām
2.2.10	surāpo viḍbhukkṛmikīṭapataṅgapakṣiṇāṃ hiṃsrāṇāṃ ca sattvānām
2.2.11	stenastu vipro lūtāhisaraṭānāṃ sarīsṛpāṇāṃ tiraścām ambucāriṇāṃ hiṃsrāṇāṃ ca piśācānām
2.2.12	gurutalpagas tu gulmalatānāṃ kravyādānāṃ ca daṃṣṭriṇāṃ krūrakarmakṛtāṃ caiva saṃsaranti
2.3.1	brahmahā kṣayarogī syāt
2.3.2	śyāvadantakaḥ surāpaḥ
2.3.3	kunakhī hemahārī
2.3.4	duścarmā gurutalpagaḥ
2.3.5	rauravādinarakeṣu sūkarādiyoniṣu ca dāruṇaṃ duḥkham anubhūyānantaraṃ duritaśeṣeṇa jananasamaye kṣayarogādiyuktā bhavanti
2.3.6	duḥkhapracureṣu mānuṣaśarīreṣu saṃsaranti
2.3.7	annahartājīrṇānnaḥ
2.3.8	pustakahāry ananujñātādhyāyī mūko bhavati
2.3.9	dhānyamiśraḥ ṣaḍaṅgulaḥ syāt
2.3.10	piśuno durgandhanāsikaḥ
2.3.11	tailahartā tailapāyī kīṭaviśeṣaḥ
2.3.12	asaddoṣasaṃkīrtano durgandhavadanaḥ
2.3.13	etacca tiryaktvaprāptyanantaraṃ mānuṣaśarīraprāptau draṣṭavyam
2.3.14	yad vā tad vā paradravyamapahṛtyāhutaṃ ca havir jagdhvā tiryaktvaṃ yāti
2.3.15	parasya yoṣitaṃ hṛtvā brahmasvaṃ suvarṇavyatiriktaṃ hṛtvā bahu hiraṇyaṃ pratigṛhya cāraṇye nirjale deśe brahmarākṣasaḥ syāt
2.3.16	patraśākaṃ hṛtvā mayūraḥ
2.3.17	śubhān gandhān chucchundarī nāma mūṣikā jāyate
2.3.18	dhānyahārī muṣako bhavati
2.3.19	yānam uṣṭraḥ
2.3.20	phalaṃ vānaraḥ
2.3.21	jalaṃ plavaḥ
2.3.22	kṣīraṃ kākaḥ
2.3.23	gṛhopaskaramusalādi hṛtvā saraṭākhyaḥ kīṭaviśeṣo bhavet
2.3.24	madhu hṛtvā daṃśaḥ
2.3.25	māsaṃ hṛtvā gṛdhraḥ
2.3.26	gāṃ hṛtvā godhākhyaḥ prāṇiviśeṣaḥ
2.3.27	agniṃ pikaḥ
2.3.28	ikṣvādirasaṃ sārameyaḥ
2.3.29	lavaṇahārī cīryākhya uccaiḥsvaraḥ kīṭaviśeṣaḥ
2.3.30	kāṃsyahārī haṃsaḥ
2.3.31	aśvaṃ paḍgur bhavet
2.4.1	brahmahā kuṣṭhī syāt
2.4.2	taijasāpahārī maṇḍalī
2.4.3	devabrāhmaṇākrośakaḥ khalatiḥ
2.4.4	garadāgnidāv unmattau
2.4.5	guruṃ pratihantāpasmārī
2.4.6	goghnaś cāndhaḥ
2.4.7	dharmapatnīṃ muktvānyatra pravṛttaḥ śabdabhedī prāṇiviśeṣaḥ
2.4.8	bhagabhakṣaḥ kuṇḍāśī
2.4.9	devabrāhmaṇasvāpahārī pāṇḍurogī
2.4.10	svāpahārī kāṇaḥ
2.4.11	strīpaṇyopajīvī ṣaṇḍhaḥ
2.4.12	kaumāradāratyāgī durbhagaḥ
2.4.13	mṛṣṭaikāśī vātagulmī
2.4.14	abhakṣyabhakṣako gaṇḍamālī
2.4.15	brāhmaṇīgāmī nirbījī
2.4.16	krūrakarmā vāmanaḥ
2.4.17	vastrāpahārī pataṅgaḥ śvitrī ca
2.4.18	śayyāpahārī kṣapaṇakaḥ
2.4.19	śaṅkhaśuktyapahārī kapālī
2.4.20	dīpāpahārī kauśikaḥ
2.4.21	mitradhruk kṣayī
2.4.22	mātāpitror ākrośakaḥ karabhodaraḥ
2.4.23	anṛtavādy alpabalaḥ muhurmuhuḥ saṃlagnavāk
2.4.24	jalodaro dāratyāgī
2.4.25	kūṭasākṣī śliṣṭapaducchritajaṅghācaraṇaḥ
2.4.26	vivāhavighnakartā chinnoṣṭhaḥ
2.4.27	avagoraṇī chinnahastaḥ
2.4.28	ayājyayājako varāhaḥ
2.4.29	animantritabhojī vāyasaḥ
2.4.30	mṛṣṭaikabhojī vānaraḥ
2.4.31	mātṛghno 'ndhaḥ
2.4.32	snuṣāgāmī vātavṛṣaṇaḥ
2.4.33	catuṣpathe viṇmūtravisarjanena mūtrakṛcchrī
2.4.34	kanyādūṣakaḥ ṣaṇḍhaḥ
2.4.35	īṣyālur maśakaḥ
2.4.36	pitrā vivadamāno 'pasmārī
2.4.37	nyāsāpahāry anapatyaḥ
2.4.38	bālaghātī mṛtāpatyaḥ
2.4.39	ratnāpahāry atidaridraḥ
2.4.40	vidyāvikrayī puruṣamṛgaḥ
2.4.41	vedavikrayī dvīpī
2.4.42	bahuyājako jalaplavaḥ
2.4.43	yatastato 'śnan mārjāraḥ
2.4.44	kakṣavanadāhī khadyotaḥ
2.4.45	vāmācāro mukhavigandhiḥ
2.4.46	paryuṣitabhojī kṛmiḥ
2.4.47	adattādāyī balīvardaḥ
2.4.48	matsarī bhramaraḥ
2.4.49	agnyutsādī maṇḍalakuṣṭhī
2.4.50	śūdrācāryaḥ śvapākaḥ
2.4.51	gohartā sarpaḥ
2.4.52	snehāpahārī kṣayī
2.4.53	caṇḍālīpulkasīgāmy ajagaraḥ
2.4.54	pravrajitāgāmī marupiśācaḥ
2.4.55	śūdrīgāmī dīrghakīṭaḥ
2.4.56	savarṇāgāmī daridraḥ
2.4.57	jalahārī matsyaḥ
2.4.58	kṣīrahārī bakaḥ
2.4.59	vārdhuṣiko 'ṅgahīnaḥ
2.4.60	avikreyavikrayī gṛdhraḥ
2.4.61	rājamahiṣīgāmī napuṃsakaḥ
2.4.62	rājākrośako gardabhaḥ
2.4.63	gogāmī maṇḍūkaḥ
2.4.64	anadhyāye 'dhyayane sṛgālaḥ
2.4.65	paradravyāpahārī parapreṣyo bhavati
2.4.66	etādṛśaiḥ pāpaiḥ striyo 'pyeteṣāmeva jantūnāṃ bhāryātvam upagacchanti
2.5.1	atha brahmahatyāsamaṃ pātakaṃ gurūṇāmapyadhikṣepo vedanindā suhṛdvadho 'dhītasya ca nāśanam
2.5.2	atha surāpānasamaṃ matyā laśunachatrākaviḍvarāhagrāmakukkuṭapalāṇḍugṛñjanabhakṣaṇaṃ kauṭilyaṃ rajasvalāmukhāsvādaś caturvedavidaham ity anṛtabhāṣaṇaṃ ca
2.5.3	atha suvarṇasteyasamaṃ manuṣyastrībhūdhenunikṣepāśvaratnāpaharaṇaṃ sarvam
2.5.4	atha gurutalpasamaṃ mitrabhāryākumārībhaginīcaṇḍālīsamānagotrāsnuṣāgamanaṃ pratyekam
2.5.5	athopapātakāni
2.5.6	kāle 'nupanītatā
2.5.7	govadhaḥ
2.5.8	ṛṇānām anapākaraṇam
2.5.9	tathā devarṣipitṝṇāṃ ca
2.5.10	saty adhikāre 'nāhitāgnitvam
2.5.11	lavaṇāder vikrayaḥ
2.5.12	jyeṣṭhasya tiṣṭhataḥ kanīyaso bhrātur vivāhaḥ
2.5.13	paṇapūrvādhyāpakādhyayanagrahaṇam
2.5.14	paṇapūrvādhyāpanaṃ ca
2.5.15	adhikavṛddhyupajīvitvam
2.5.16	lavaṇasyotpādanam
2.5.17	strīśūdravadhaḥ
2.5.18	ninditārthopajīvanam
2.5.19	nāstikyam
2.5.20	apatyānāṃ vikrayaḥ
2.5.21	dhānyatrapusīsapaśvapaharaṇam
2.5.22	ayājyānāṃ ca yājanam
2.5.23	pitṛmātṛsutatyāgaḥ
2.5.24	laṭākārāmavikrayaḥ
2.5.25	kanyādūṣaṇam
2.5.26	ātmārthe pākakriyārambhaḥ
2.5.27	madyapastrīsaṃgamaḥ
2.5.28	sutasya saṃskārākaraṇam
2.5.29	ārdradrumacchedanam
2.5.30	striyaṃ paṇyatvena prayojya tallabdhopajīvanam
2.5.31	strīdhanopajīvanaṃ ca
2.5.32	prāṇivadhena jīvanam
2.5.33	auṣadhaṃ dattvā vaśīkaraṇena jīvanam
2.5.34	tilekṣupīḍākaraṇasya pravartanam
2.5.35	dravyagrahaṇena paradāsīkaraṇarūpātmavikrayaḥ
2.5.36	śūdrasevanam
2.5.37	hīneṣu maitrīkaraṇam
2.5.38	sādhāraṇastrīsaṃbhogaḥ
2.5.39	agṛhītāśramitvam
2.5.40	parānnaparipuṣṭatā
2.5.41	asacchāstrābhigamanam
2.5.42	ākareṣv adhikāritā
2.5.43	bhāryāyā vikrayaḥ
2.5.44	ekaikam upapātakam
2.5.45	upapātake turīyaṃ pātake sahasraṃ mahāpātake dviguṇaṃ narakaṃ varṣasaṃkhyayā
2.5.46	mahāpātakatāṃ prāpnotyāvṛttamupapātakam
2.5.47	evaṃ jātibhraṃśakarādibhiḥ
2.6.1	mātṛgamanaduhitṛgamanasnuṣāgamanāni pratyekam atipātakāni
2.6.2	svasṛsakhyāḥ sagotrāyā uttamavarṇāyā rajasvalāyāḥ pravrajitāyāḥ śaraṇāgatāyā nikṣiptāyāśca gamanaṃ pratyekam anupātakāni
2.6.3	brāhmaṇasya rujaḥkaraṇam aghreyamadyayor ghrātirmatyā jaihmyaṃ paśau puṃsi ca maithunakaraṇam ity etāni jātibhraṃśakarāṇi
2.6.4	mṛgebhājāvimīnāhimahiṣīvadhaḥ saṃkarīkaraṇam
2.6.5	ninditebhyo dhanādānaṃ śūdrasevanaṃ vāṇijyaṃ kusīdajīvanam asabhyabhāṣaṇam apātrīkaraṇam
2.6.6	pakṣijalacarakṛmikīṭaghātanaṃ jalajasūdanaṃ madyānugatabhojanāni phalendhanakusumasteyam ity etan malinīkaraṇamucyate
2.6.7	ato 'nyadanuktaṃ pāpajātaṃ prakīrṇakamiti kathyate
2.6.8	atha mahāpātakādīnā prāyaścittaṃ saṃkṣepeṇa kathyate
2.6.9	brahmahā śiraḥkapālī dhvajavān anyacchiraḥkapālaṃ daṇḍāgrasamāropitaṃ kṛtvā bhikṣāśī karma vedayan svavyāpāditaśiraḥkapālātmakadhvajavān tadalābhe 'nyasya brāhmaṇasyaiva śiraḥkapālaṃ dhṛtvā dvādaśābdāni kuṭīṃ kṛtvā vane vaset
2.6.10	vālavāsī jaṭī vṛkṣamūle vaset
2.6.11	lohitakena mṛnmayakhaṇḍaśarāveṇa bhikṣāyai grāmaṃ praviśet
2.6.12	saptāgārāṇy eva dvāri sthito bhikṣāṃ yāceta
2.6.13	mitabhuk śuddhimāpnuyāt
2.6.14	tataḥ setusnānaṃ kurvīta
2.6.15	brāhmaṇebhyo gobhūtilahiraṇyādikaṃ dadyāt
2.6.16	tataḥ pūto bhavatyakāmataḥ
2.6.17	kāmataś ced bhṛgvagnipatanaṃ nirdiṣṭam
2.7.1	surāpaḥ surāmbughṛtagomūtrapayasām anyatamam agnisparśād dāhaśaktikaṃ kṛtvā pītvā maraṇācchuddhimāpnuyāt
2.7.2	brāhmaṇasya mādhūkamaikṣavaṃ tālaṃ khārjūraṃ pānasaṃ drākṣaṃ madhūtthaṃ sairamāriṣṭaṃ maireyaṃ nārikelajam ekādaśamadyāni niṣiddhāni kāmataḥ
2.7.3	akāmataś ced vālavāsā jaṭī vṛkṣamūle brahmahatyāvrataṃ caret
2.7.4	piṇyākaṃ taṇḍulāvayavān vā trivarṣe niśi bhakṣayet
2.7.5	trayo varṇā ajñānāttu retoviṇmūtraṃ surāṃ pītvā punaḥ saṃskāram arhanti
2.7.6	madyabhāṇḍasthitaṃ toyam ajñānād yadi kaścid dvijaḥ pibet padmodumbarabilvapalāśakuśodakaṃ pītvā trirātreṇa śudhyati
2.7.7	jñānataḥ pañcarātraṃ śaṅkhapuṣpībhṛtaṃ payaḥ pibet
2.7.8	surāpānasame laśunādibhakṣaṇe 'rdhaprāyaścittaṃ caret
2.7.9	suvarṇastenaḥ prakīrṇakeśa ārdravāsā āyasaṃ musalaṃ skandhe nidhāya rājānam upatiṣṭhed idaṃ pāpaṃ mayā kṛtamanena musalena ghātayasveti
2.7.10	sa rājñā sakṛddhananācchikṣitaḥ san pūto bhavatītyevaṃ sakṛttāḍanena hato mṛtaḥ śudhyeta
2.7.11	mukto vā jīvannapi stenasteyādvimucyate
2.7.12	akāmena kṛtaṃ yat pāpaṃ tat kāmād dviguṇaṃ bhavet
2.7.13	jālasūryamarīcisthaṃ trasareṇu
2.7.14	rajāṃsyaṣṭau likṣā
2.7.15	tās tisro rājasarṣapaḥ
2.7.16	te trayo gauraḥ
2.7.17	ṣaṭkaṃ yavamadhyamaḥ
2.7.18	te trayaḥ kṛṣṇalaḥ
2.7.19	pañca te māṣaḥ
2.7.20	te ṣoḍaśa suvarṇa iti
2.7.21	tanmātraharaṇaṃ mahāpātakam
2.8.1	kāmato gurutalpagāmī savṛṣaṇaṃ śiśnaṃ parivāsyāñjalāv ādhāya dakṣiṇāṃ diśamanāvṛttiṃ vrajet
2.8.2	jvalitāṃ vā sūrmiṃ pariṣvajya samāpnuyāt
2.8.3	akāmataḥ sāpatnyamātṛgamane dvādaśavārṣikaṃ caret
2.8.4	gurutalpasame caṇḍālādigamane navavārṣikaṃ kāmataḥ
2.8.5	akāmataś cec cāndrāyaṇadvayam
2.8.6	etac ca sakṛdgamane
2.8.7	atyantābhyāse tv agnipraveśaḥ
2.8.8	dhānyānāṃ haraṇe kṛccham
2.8.9	tilānāmaindavam
2.8.10	ratnānāṃ cāndrāyaṇam
2.8.11	ṛṇānām anapākaraṇe sati sāmarthye 'nāhitāgnitāyāṃ cāndrāyaṇam
2.8.12	lākṣālavaṇamadhumāsatailakṣīradadhighṛtatakracarmagandhavāsorṇākeśakesaribhūdhenuveśmāśmaśastravikraye cāndrāyaṇaṃ dhenucatuṣṭayaṃ ca
2.8.13	atyantābhyāse copanayet
2.8.14	ye brāhmaṇādhamā yaddravyaṃ garhitena karmaṇārjayanti taddravyotsargeṇa śudhyanti te japyena tapasā vā
2.8.15	bhṛtakādhyayane ca trirātraṃ payasā brāhmīṃ suvarcalāṃ pibet
2.8.16	jātimātrabrāhmaṇīgamane kāmato vārṣikam
2.8.17	śrotriyabhāryāguṇavatīgamane traivārṣikam
2.8.18	etat sarvam ṛtukālaviṣayam
2.8.19	anṛtau tu traimāsikameva
2.8.20	dvitrivyabhicāribrāhmaṇīgamane prājāpatyadvayam
2.8.21	akāmatas tv ekaṃ prājāpatyam
2.8.22	caturvyabhicāre svairiṇī bhavati
2.8.23	tadgamane trirātropoṣaṇaṃ ghṛtapātradānaṃ ca
2.8.24	pañcavyabhicāre bandhakī
2.8.25	tadgamane kiṃcid dadyāt
2.8.26	aṣṭamuṣṭi bhavetkiñciditi
2.8.27	vidhavāṃ vratasthāṃ gatvā saṃvatsaraṃ caret
2.8.28	garbhakaraṇe dviguṇam
2.9.1	kāmataḥ svairiśūdrāgamane sacailasnāta udakumbhaṃ dadyāt
2.9.2	vaiśyāgamane caturthakālāhāro brāhmaṇān bhojayet
2.9.3	kṣatriyāgamane tridinamupoṣya yavāḍhakaṃ dadyāt
2.9.4	tatra garbhotpattau dviguṇaṃ caret
2.9.5	śūdraś ced brāhmaṇīm adhigacched vīraṇapatrair veṣṭayitvā śuddham agnau pātayet
2.9.6	brāhmaṇyāḥ śirasi vapanaṃ kārayitvā sarpiṣābhyajya nagnāṃ kharamāropya mahāpatham anuvrājayet pūtā bhavatīti vijñāyate
2.9.7	vaiśyaś ced brāhmaṇīm adhigacched rohitadarbhair veṣṭayitvā vaiśyam agnau prāsyeta
2.9.8	brāhmaṇyā gaurakharārohaṇam
2.9.9	kṣatriyaś ced brāhmaṇīm adhigaccheccharapatrairveṣṭayitvā kṣatriyam agnau prāsyet
2.9.10	brāhmaṇyāḥ kharārohaṇaṃ pūrvavat
2.9.11	pāṇidhṛtabhāryāyā mukhe maithunaṃ yaścaret tasyeha niṣkṛtir nāstīty evaṃ prajāpatir āha
2.9.12	rajasvalāyāḥ kāmataḥ sakṛdgamane saptarātravratam
2.9.13	abhyāse tvatikṛcchaṃ tatra dhenudvayaṃ ca
2.9.14	śvamārjāragodhāmaṇḍūkanakulasarpachucchundarīmūṣakān hatvā kṛcchraṃ dvādaśarātraṃ caret kiṃcid dadyāt kāmataḥ
2.9.15	anuktaniṣkṛtīnām asthimatāṃ kṛkalāsādīnāṃ sahasraṃ hatvānasthimatāṃ jalūkādīnāṃ śakaṭapūrṇaparimitaṃ hatvā taptakṛcchrārdhaṃ dhenudvayaṃ dadyāt
2.9.16	vaidikakarmārthavyatirekeṇa vṛkṣagulmalatādīnāṃ chedane gāyatrīśataṃ japet
2.9.17	kṛpyarthe lāṅgalārthaṃ chedane na doṣaḥ
2.9.18	kākagṛdhrādipakṣibhirdaṣṭaḥ puruṣo 'ntarjale prāṇāyāmatrayaṃ kṛtvā ghṛtaṃ prāśya viśudhyati nābheradhodeśe
2.9.19	ūrdhvadeśe tu dviguṇaṃ bhavet
2.9.20	mastake tu caturguṇam
2.10.1	śvajambūkarāsamairdaṣṭā rajasvalā pañcarātraṃ nirāhārā pañcagavyena śudhyati
2.10.2	dviguṇādi pūrvavat
2.10.3	śvādibhir galitam avalīḍhaṃ pradeśamadbhiḥ prakṣālyāgnau niṣṭapanaṃ kuryāt tena śuddhir bhavati
2.10.4	vedoktakarmaparityāgī cāndrāyaṇaṃ caret
2.10.5	saṃvatsaraparyantaṃ brāhmaṇagṛhe bhikṣeta
2.10.6	kanyādūṣaṇe cāndrāyaṇam
2.10.7	ātmano 'rthe kriyārambhaṃ madyapastrīniṣevaṇaṃ tadeva
2.10.8	nārīṇāṃ vikrayaṃ kṛtvā careccāndrāyaṇavratam
2.10.9	brahmasūtraṃ vinā bhuṅkte viṇmūtraṃ kurute gāyatryaṣṭasahasraṃ prāṇāyāmena śudhyati
2.10.10	brāhmaṇīśūdryo rajasvalayor anyonyamparśe krameṇa kṛccheṇa dānena śuddhiḥ
2.10.11	taskararājabhṛtyavṛkṣārohaṇavṛttikagaradāgnidāśvagajārohaṇavṛttikaraṅgopajīvigaṇānnopajīviśūdropādhyāyanakṣatropajīvibrahmopajīvinām
2.10.12	dvijānāṃ kāryeṣu mūlyena paricārakaḥ sa brahmopajīvīty ucyate
2.10.13	devalakapurohitadhūrtakitavakūṭakārāpatyamanuṣyapaśuvikrayiṇāṃ sarvasvatyāgānantaraṃ vārṣikaṃ kṛtvā pitṛtarpaṇaṃ kṛtvā dhenūr dadyāt
2.10.14	brāhmaṇasya samudrayāne traivārṣikam
2.10.15	hiraṇyadānaṃ ca sahasrasaṃkhyākaṃ mlecchādibhyo na gṛhṇīyāt
2.10.16	gṛhṇīyāc ced brāhmaṇebhyo dadyāt
2.10.17	satparigrahaparityāgī markaṭaḥ
2.10.18	adattādāne jambūkaḥ gṛdhro dvādaśa janmāni daśa janmāni sūkaraḥ śvānayoniśataṃ gatvā jāyate caṇḍāleṣu
2.10.19	śālmalaṃ śaṇapuṣpaṃ karanirmathitaṃ dadhi bahirvedi puroḍāśaṃ jagdhvā nāśnīyād aharniśam
2.11.1	anirdaśāhagomahiṣīkṣīrapāne ṣaḍrātram abhojanam
2.11.2	sarvāsāṃ dvistanīnām ajāvarjam etad eva
2.11.3	yadā bhājanasthamannaṃ keśamakṣikādinā dūṣitaṃ tadvyudasyāpa upaspṛśet
2.11.4	taccānnaṃ bhasmanā spṛśet
2.11.5	śunām ucchiṣṭaṃ bhuktvā māsamekaṃ gavāghrātaṃ kākocchiṣṭaṃ bhuktvā pakṣaṃ vratī bhavet
2.11.6	brāhmaṇaḥ śūdrocchiṣṭāśane saptarātraṃ pañcagavyaṃ pibet
2.11.7	vaiśyocchiṣṭāśane pañcarātram
2.11.8	rājanyocchiṣṭāśane trirātram
2.11.9	brāhmaṇocchiṣṭāśane tvekāham
2.11.10	sarvatra suvarṇapañcakaṃ pañca dhenūr dadyāt
2.11.11	piturjyeṣṭhasya ca bhrāturucchiṣṭaṃ bhoktavyam
2.11.12	caṇḍālapatitādīnām ucchiṣṭānnabhakṣaṇe cāndrāyaṇaṃ vipraḥ
2.11.13	kṣatriyastu sāṃtapanam
2.11.14	dviguṇasuvarṇādi pūrvavat
2.11.15	dīpocchiṣṭaṃ rātrau rathyāhṛtamabhyaṅgaśiṣṭaṃ ca tailaṃ bhuktvā naktena śudhyati
2.11.16	yatkiṃcidbhājane pītaśeṣaṃ mukhaniḥsṛtaṃ tadabhojyam
2.11.17	bhojane cāndrāyaṇamabhyāse
2.11.18	amedhyapatitacaṇḍālapulkasarajasvalāvadhūtakuṣṭhikunakhisaṃspṛṣṭāni bhuktvā kṛcchraṃ caret
2.11.19	akāmato 'rdham
2.11.20	raṇḍāputra bhojanaṃ kurviti yantrānnaṃ dadyus tatrāhorātropavāsaḥ
2.11.21	utthitastu yo bhuṅkte vāmakaranirmuktabhājane yo bhuṅkte tasya sāṃtapanam
2.11.22	ekapaṅktyupaviṣṭānāṃ brāhmaṇānāṃ saha bhojane yadyeko 'pi tyajet pātraṃ śeṣamannaṃ na bhojayet
2.11.23	mohād bhuktvā kṛcchraṃ sāntapanaṃ caret
2.11.24	klinnaṃ bhinnaṃ śavaṃ kūpasthaṃ yadi dṛśyate tajjalaṃ pītvā trirātraṃ payaḥ pibet
2.11.25	mānuṣe dviguṇam
2.11.26	caṇḍālakūpabhāṇḍasthaṃ jalaṃ kāmāt pibet sātapanaṃ vipraḥ
2.11.27	prājāpatyaṃ kṣatriyaḥ
2.11.28	tadardhaṃ vaiśyaḥ
2.11.29	śūdraḥ pādam
2.11.30	ajñānāttu tryaheṇa śudhyet
2.11.31	antyajasaṃbandhād alpajalāśaye kūpavat
2.12.1	mlecchādīnāṃ puṣkariṇyāṃ hṛde caikadeśajalaṃ pītvā jānudaghnaṃ cecchuciḥ
2.12.2	adhastād aśuciḥ
2.12.3	kāmato 'horātram
2.12.4	akāmānnaktabhojī
2.12.5	rajakādibhāṇḍasthaṃ jalaṃ dadhi payaḥ pibeddvijātīnāṃ brahmakūrcopavāsena niṣkṛtiḥ
2.12.6	śūdrasya dānenopavāsena
2.12.7	antyajaiḥ khāniteṣu taṭākakūpādiṣu snātvācamya pītvā cābhyāse prājāpatyam
2.12.8	anabhyāse pañcagavyam
2.12.9	kāmataḥ kevalaṃ paryuṣitaṃ bhuktvā trirātraṃ vrataṃ caret
2.12.10	snehāktaṃ cenna doṣaḥ
2.12.11	saktudhānādadhitilasaṃbaddhaṃ bhojanaṃ snānaṃ ca niśi varjayet
2.12.12	yadi syāt prāṇāyāmaśataṃ kāryam
2.12.13	yasyāsau na kriyate yasya cānnaṃ na dīyate tadabhojyam
2.12.14	bhuktvā tūpavasedahaḥ
2.12.15	anivedya devapitṛbrāhmaṇebhyo vṛthākṛsarapāyasāpūpaśaṣkulīr bhuktvopavāsaḥ
2.12.16	śudrāṇāṃ bhājane bhinnabhājane ca bhuktvāhorātropavāsaḥ pañcagavyena śudhyati
2.12.17	vaṭārkāśvatthaparṇānāṃ kumbhītindukaparṇayoḥ kovidārakadambapadmapalāśapatreṣu bhuktvaindavaṃ caret
2.12.18	mākṣikaṃ phāṇitaṃ śākaṃ gorasaṃ lavaṇaṃ ghṛtaṃ hastadattaṃ bhuktvā dinam ekam abhojanam
2.12.19	abhyaktamūtrapurīṣakaraṇe śrāddhānnabhojane mṛtasūtakaśūdrānnabhojane śūdraiḥ saha svapne trirātram abhojanam
2.12.20	kṣīre lavaṇamucchiṣṭe ghṛtaṃ rajakatīrtheṣu snānaṃ tāmre gavyaṃ surāpānasamam
2.12.21	gaṇānnaṃ gaṇikānnaṃ viprapratyākhyātānnaṃ stenagāyakavārdhuṣikānnaṃ ca varjayet
2.12.22	tathāpy udāharanti
2.12.23	mṛtabhartā ca yā nārī rahasyaṃ kurute patim / paścāt prāpayate garbhān sā nārī gaṇikā smṛtā
2.12.24	tasyā annaṃ na bhoktavyaṃ bhuktvā cāndrāyaṇaṃ caret
2.12.25	yas tu jīvati cauryeṇa gosuvarṇāpahārakaḥ / parasvaṃ harate nityaṃ sa vipro gaṇa ucyata iti
2.13.1	nigalena baddhasya kadaryasya ṣaṇḍaḍāmbhikacikitsakakaramṛgayudviṣatpatitapiśunakratu vikrayiśastravikrayyapaviddhamārjārakukkuṭādīnām
2.13.2	yo lobhāt pitarau bhṛtyān putradārānātmānaṃ dharmakṛtyaṃ ca pīḍayati sa kadarya iti
2.13.3	yaś ca na juhotyucite kāle na snāti na dadāti pitṛdevatārcanādi na karoti sa ṣaṇḍa iti
2.13.4	yastu dambhārthaṃ snāti japati ca sa mārjāra iti
2.13.5	yaḥ sabhāgatānāṃ pakṣapātaṃ samāśrayet tam āhuḥ kukkuṭaṃ devāḥ
