#Text:Bhāradvājaśrautasūtra
#Edition:Kashikar
#Data entry:F. Voegeli
#Notes:Sandhis around Mantras restored. 13.13ff. digitized and proofread by O. Hellwig.



1.1.1	darśapūrṇamāsau vyākhyāsyāmaḥ
1.10.6	ye samānāḥ samanasaḥ pitaroṃ yamarājye / teṣāṃ lokaḥ svādhā namo yajño deveṣu kalpatām iti prathamaṃ piṇḍaṃ praharati
1.10.7	ye sajātāḥ samanaso jīvā jīveṣu māmakāḥ / teṣāṃ śrīr mayi kalpatām asmiṃl loke śataṃ samā itītarau
1.10.8	patnī vā madhyamaṃ piṇḍaṃ prāśnāti
1.10.9	pumāṃsaṃ ha jānukā bhavatīti vijñāyate
1.10.10	ādhatta pitaro garbhaṃ kumāraṃ puṣkarasrajam / yatheha pitaro loke dīrghamāyuḥ prajīvitād iti prāśana āmnāto bhavati
1.10.11	saṃtiṣṭhate piṇḍapitṛyajñaḥ
1.10.12	evaṃvihita evānāhitāgner bhavaty anyatra gārhapatyopasthānāt
1.10.13	anyaṃ gārhapatyasthānīyam āgamayed ity ekam
1.10.14	yasmin praharet tam upatiṣṭhatety aparam
1.10.15	tatra gārhapatyaśabdo lupyeta saṃskārapratiṣeḍhāt
1.11.1	tataḥ saṃpreṣyati paristṛṇīta paridhattāgniṃ parihito 'gnir yajamānaṃ bhunaktu / apāṃ rasa oṣadhīnāṃ suvarṇo niṣkā ime yajamānasya santu kāmadughā amutrāmuṣmiṃl loka iti
1.11.2	tato 'gnīn paristṛṇāti pūrvāṃś cāparau ca prāg agrair darbhair
1.11.3	api vodagagrāḥ paścāt purastāc ca bhavanti
1.11.4	dakṣiṇaḥ pakṣa upariṣṭād bhavaty adhastād uttaraḥ
1.11.5	dakṣiṇenāhavanīyaṃ brahmayajamānayor āyatane kalpayati
1.11.6	pūrvaṃ brahmaṇo 'paraṃ yajamanasya
1.11.7	svayaṃ yajamānaḥ parvaṇy agnihotram juhoti
1.11.8	nāsyām avasyāṃ rātriṃ kumārā api payaḥ pibanti
1.11.9	yavāgvāsyaitāṃ rātrim agnihotraṃ hutvāgnihotroccheṣaṇaṃ havir ātañcanaṃ nidadhāti
1.11.10	sāṃnāyyapātrāṇi prakṣalya dvandvaṃ prayunakti
1.11.11	uttareṇa gārhapatyaṃ kumbhīṃ dohanaṃ śākhāpavitram upaveṣam abhidhānīṃ nidāne yena cārthī bhavati
1.11.12	agnihotrahavaṇyāṃ tiraḥ pavitram apa ānīyodagagrābhyāṃ trir utpunāti devo vaḥ savitotpunātv iti paccho gāyatryā
1.11.13	athainā abhimantrayate āpo devīr agrepuva iti pratipadya prokṣitā sthety antena
1.11.14	sāṃnāyyapātrāṇi prokṣaty uttānāni paryāvṛtya
1.12.1	śundhadhvaṃ daivyāya karmaṇe devayajyāyā iti triḥ
1.12.2	athaitāni niṣṭapati niṣṭaptaṃ rakṣo niṣṭapto 'dhaśaṃsa iti
1.12.3	atha gā āyatīḥ pratīkṣata etā ācaranti madhumad duhānāḥ prajāvatīr yaśaso viśvarūpāḥ / bahvīr bhavantīr upajāyamānā iha va indro ramayatu gāva iti
1.12.4	adityai rāsnāsīty abhidhānīm ādāya puṣāsīti vatsam abhidadhāti / puṣā stheti vā sarvān
1.12.5	tata āha upasṛṣṭāṃ me prabrūtāt iti
1.12.6	upasṛṣṭām anumantrayate 'yakṣmā vaḥ prajayā saṃsṛjāmi rāyaspoṣeṇa bahulā bhavantīr iti
1.12.7	upasīdantam anumantrayata ūrjaṃ payaḥ pinvamānā ghṛtaṃ ca jīvo jīvantīr upa vaḥ sadeyam iti
1.12.8	tataḥ saṃpreṣyati vihāraṃ gāṃ copasṛṣṭām antareṇa māsaṃcāriṣṭeti
1.12.9	na duhyamānām antareṇa saṃcaranti vihāraṃ ca
1.12.10	yadi vyaveyāt sāṃnāyyaṃ mā vilopeti brūyāt
1.12.11	dhṛṣṭir asi brahma yacchety upaveṣam ādāya gārhapatyād udīco 'ṅgārān nirūhati nirūḍhaṃ janyaṃ bhayam iti
1.12.12	teṣu kumbhīm adhiśrayati mātar iśvano gharmo 'sīti
1.12.13	athaināṃ pradakṣiṇam aṅgāraiḥ paryūhati bhṛgūṇām aṅgirasāṃ tapasā tapasveti
1.12.14	athāsyāṃ śākhāpavitraṃ prāgagraṃ nidadhāti vasūnāṃ pavitram asi śatadhāraṃ vasūnāṃ pavitram asi sahasradhāram iti
1.13.1	sapavitrāṃ kumbhīm anvārabhya vācaṃ yacchati
1.13.2	dhārayann āste
1.13.3	dhārāghoṣam abhimantrayata utsaṃ duhanti kalaśaṃ caturbilam iḍāṃ devīṃ madhumatīṃ suvar vidam / tad indrāgnī jinvataṃ sūnṛtāvat tad yajamānam amṛtatve dadhātv iti
1.13.4	duhyamane vipruṣo 'numantrayate huta stoko huto drapasa iti
1.13.5	dugdhvā harati
1.13.6	taṃ pṛcchati kāmadhukṣaḥ pra ṇo brūhīndrāya havir indrayam iti
1.13.7	mahendrāyeti vā yadi mahendrayājī bhavati
1.13.8	amūṃ yasyāṃ devānāṃ manuṣyāṇāṃ payo hitam iti nāma gṛhṇāti
1.13.9	sā viśvāyur ity anumantrayate
1.13.10	kumbhyāṃ tiraḥ pavitram ānayati devas tvā savitā punātu vasoḥ pavitreṇa śatadhāreṇa supuveti
1.13.11	ānīyamāne vipruṣo 'numantrayate huta stoko huto drapsa iti
1.13.12	evam evottare dohayati
1.13.13	sā viśvavyacā iti dvitīyām anumantrayate / sā viśvakarmeti tṛtīyam
1.13.14	tisṛṣu dugdhāsu vācaṃ visṛjate bahu dugdhīndrāya devebhyo havyam āpyāyatāṃ punaḥ / vatsebhyo manuṣebhyaḥ punar dohāya kalpatām iti / trir udvadati
1.13.15	mahendrāyeti vā yadi mahendrayajī bhavati
1.14.1	visṛṣṭav āgan anvārabhya tūṣṇīm uttarā dohayitvā kumbhyāṃ saṃkṣālanam ānayati saṃpṛcyadhvam ṛtāvarīr iti
1.14.2	śrapayitvā karṣann ivodag udvāsayati dṛṃha gā dṛṃha gopatiṃ mā vo yajñapatī riṣad iti
1.14.3	prāg ity ekeṣāṃ prāgudag ity ekeṣām
1.14.4	śītaṃ budhnaṃ kṛtvā dadhnnātanakti somena tvā tanacmīndrāya dadhīti
1.14.5	mahendrāyeti vā yadi mahendrayājī bhavati
1.14.6	agnihotroccheṣaṇam ānayati yajñasya saṃtatir asi yajñasya tvā saṃtatim anu saṃtanomīti
1.14.7	agnihotroccheṣaṇam ānīya dadhy ānayed ity āśmarathyaḥ / dadhy ānīyāgnihotroccheṣaṇam ity ālekhanaḥ
1.14.8	yady agnihotroccheṣaṇaṃ na vindet taṇḍulair ātañcyāt / yadi taṇḍulān na vinded oṣaḍhībhir ātañcyāt
1.14.9	āpo haviḥṣu jāgṛta yathā deveṣu jāgratha / evam asmi yajñe yajamānāya jāgṛteti apidhāne 'pa ānīyodanvatāyaspātreṇa dārupātreṇa vāpidadhāty adastam asi viṣṇave tvā yajñāyāpidadhāmy aham / adbhir ariktena pātreṇa yāḥ pūtāḥ pariherata iti
1.15.1	na mṛnmayenāpidadhyāt / yadi mṛnmayenāpidadhyāt tṛṇaṃ kāṣṭhaṃ vāntardhāyāpidadhyāt
1.15.2	apidhāyānadhaḥ sādayati viṣṇo havyaṃ rakṣasveti
1.15.3	tathaiva rātrau prātardohāya vatsān apākaroti
1.15.4	pai vāparāhṇa evobhayor dohayor vatsān apākuryāt
1.15.5	upadhāya kapālāni sāyaṃdohavat prātar dohaṃ dohayati
1.15.6	etāvan nānā / udagagraṃ pavitraṃ nidadhāti
1.15.7	nātanakti
1.15.8	nāsomayājī saṃnayed iti vijñāyate
1.15.9	saṃnayed ity ekeṣām
1.15.10	aindram eke sāṃnāyyaṃ samāmananti māhendram eke
1.15.11	ta ete mahendrayājinaḥ śuśruvān grāmaṇī rājanya aurvo gautamo bhāradvājaḥ
1.15.12	ta ādita evāgnīn ādhāya mahendraṃ yajeran
1.15.13	athetara indrayājinaḥ
1.15.14	sa ya indrayājī mahendraṃ yiyakṣeta saṃvatsaram indram iṣṭvāgnaye vratapataye puroḍāśam aṣṭākapālaṃ nirvapet
1.15.15	tato 'dhi kāmaṃ mahendraṃ yajeteti vijñāyate
1.15.16	tasmād yaḥ kaścana someneṣṭvā mahendraṃ yajeteti vijñāyate
1.16.1	śvo bhūte 'gnīn paristīrya yathā purastāt karmaṇe vāṃ devebhyaḥ śakeyam iti hastāv avanijya pātrāṇi prakṣālya dvandvaṃ prayunakti daśāparāṇi daśa pūrvāṇi
1.16.2	sphyaṃ ca kapālāni cāgnihotrahavaṇīṃ ca śūrpaṃ ca kṛṣṇājinaṃ ca śamyāṃ colūkhalaṃ ca musalaṃ ca dṛṣadaṃ copalāṃ cety uttareṇa gārhapatyam
1.16.3	sruvaṃ ca juhūṃ copabhṛtaṃ ca dhruvāṃ ca prāśitraharaṇaṃ cājyasthālīṃ ca vedaṃ pātrīṃ ca praṇītāpraṇayanaṃ ceḍāpātraṃ cety uttareṇāhavanīyam
1.16.4	yathopapātam avaśiṣṭāny antataḥ prātardohapātrāṇi
1.16.5	khādiraḥ sruvaḥ sphyaḥ śamyā prāśitraharaṇaṃ ca / parṇamayī juhūḥ / āśvatthy upabhṛt / vaikaṅkatī dhruvāgnihotrahavaṇī ca
1.16.6	prādeśamātryo 'ratnimātryo bāhumātryo vā sruco bhavanti tvagvilā mūladaṇḍā hastyoṣṭyo vāyasapucchā haṃsamukhaprasecanā vā
1.16.7	yāny anādiṣṭavṛkṣāṇi yaḥ kaś ca yajñiyo vṛkṣas tasya syur ity āśmarathyaḥ
1.17.1	vaikaṅkatānīty ālekhanaḥ
1.17.2	vāraṇāny ahomārthāni syuḥ
1.17.3	vijñāyate tasmād vāraṇo yajñāpacāraḥ / na tv enena juhuyād iti
1.17.4	gārhapatyāt prakramya saṃtatāṃ prācīmulaparājīṃ stṛṇāty āhavanīyād yajñasya saṃtatir asi yajñasya tvāsaṃtatyai stṝṇāmi saṃtatyai tvā yajñasyeti
1.17.5	atra brahmā prapadyate
1.17.6	barhiṣaḥ samāvapracchinnāgrau darbhau prādeśamātrau pavitre kurute pavitre stho vaiṣṇavī vāyur vāṃ manasā punātv iti
1.17.7	tṛṇaṃ kāṣṭhaṃ vāntardhāya chinatti na nakhena
1.17.8	athaine adbhir anumārṣṭi viṣṇor manasā pūte stho vaiṣṇavī shto vāyupūte stha iti
1.17.9	athaine abhimantrayata imau prāṇāpānau yajñasyāṅgāni sarvaśaḥ / āpyāyayantau saṃcaratāṃ pavitre havyaśodhana iti
1.17.10	veṣāya tveti praṇītāpraṇayanaṃ camasam ādāya prakṣālayati vanaspatyo 'si devebhyaḥ śundhasveti
1.17.11	kaṃsena brahmavarcasakāmasya praṇayed godohanena paśukāmasya mṛnmayena pratiṣṭhākāmasyeti vijñāyate
1.18.1	tasminn uttareṇa gārhapatyam upaviśya pavitrāntarhite pātre 'pa ānayati ko vo gṛhṇāti sa vo gṛhṇātv iti
1.18.2	apo gṛhṇann imāṃ manasā dhyāyati
1.18.3	upabilaṃ camasaṃ pūrayitvodagagrābhyāṃ pavitrābhyāṃ trir utpūyābhimantrayate yathā purastāt
1.18.4	brahmāṇam āmantrayate brahmann apaḥ praṇeṣyāmi yajamāna vācaṃ yaccheti
1.18.5	praṇītāḥ praṇayan vācaṃ yacchatyā haviṣkṛtaḥ
1.18.6	prasūto brahmaṇā samaṃ prāṇair dhārayamāṇo 'viṣiñcan sphyenopasaṃgṛhya haraty anupasaṃgṛhya vā ko vaḥ praṇayati sa vaḥ praṇayatu // apo devīḥ praṇayāmi yajñaṃ saṃsādayantu naḥ / iraṃ madantīr ghṛtapṛṣṭhā udākuḥ sahasrapoṣaṃ yajamāne nyañcatīr iti
1.18.7	manasā mantraṃ japati
