#Text:Vaikhānasaśrautasūtra
#Edition:Caland
#Data entry:F. Voegeli; sections 8-9, 11ff by O. Hellwig



1.1.1	athāgnyādheyaṃ vyākhyāsyāmaḥ
1.2.5	tasmāt prācyām aṣṭapadaprakrame brāhmaṇasyaikādaśaprakrame kṣatriyasya dvādaśaprakrame vaiśyasyāpi suvar ity āhavanīyāgnyāyatanaṃ caturaśraṃ caturdikṣu dvātriṃśadaṅgulyāyatam aṣṭāṅgulonnataṃ sthaṇḍilaṃ prakalpya pūrvavat parito hitvā mekhalām ūrdhvāṃ madhye nimnam adhomekhalāṃ karoti
1.2.6	dvayor madhye vedir asīty uktvā gārhapatyāhavanīyasaṃbandhāṃ dakṣiṇottarayoś caturaṅgulivistāronnatāṃ tadantare ṣoḍaśāṅgulivistārāṃ vediṃ kurute
1.3.1	vedyāṃ dakṣiṇasyāṃ paścime bhāge bhuva ity anvāhāryapacanaṃ pañcaviṃśatyaṅgulyā vṛttaṃ bhrāmayitvā dakṣiṇārdhe 'rdhacandrākāraṃ sthaṇḍilaṃ pūrvavat tasyonnataṃ madhyanimnam ūrdhvādharā mekhalā ca
1.3.2	vedyuttaraṃ tridhā kṛtvā pūrvabhāgottare prakrame vedyunnatam utkaraṃ kuryāt
1.3.3	āhavanīyāt prācyāṃ jana iti sabhyāgnyāyatanaṃ dvādaśāṅgulonnatam āhavanīyavac caturaśraṃ sthaṇḍilaṃ paritas tathaiva hitvā dvādaśāṅgulaṃ madhyanimnaṃ caturaṅgulivistāronnatās tisro mekhalāḥ pañcāṅgulivistārā madhyamā mekhalā
1.3.4	tatprācyāṃ maha ity āvasathyāgnyāyatanaṃ trikoṇaṃ paścimadakṣiṇottareṣu pañcacatvāriṃśadaṅgulāyataṃ sthaṇḍilaṃ tasyonnataṃ madhyanimnaṃ dve mekhale ca pūrvavat
1.3.5	āvasathyaṃ caturaśrim ity eke
1.3.6	sarveṣāṃ yājñikānāṃ yajamānasyādhvaryor vā dakṣiṇahastasya madhyamāṅguler madhyamaparvaṇā mānam ācarati
1.4.1	yuktaḥ śraddhānvito viprair anujñātaḥ keśān romanakhāni ca vāpayitvā vidhinā snāta iṣe tvorje tvetyādi svādhyāyam adhīyīta śataṃ prāṇāyāmāṃś ca kṛtvā dhyāyan nārāyaṇam upoṣya sapatnīko ghṛtamiśraṃ haviṣyaṃ kṣīreṇa prāśnāti
1.4.2	uktavratam ācaran pāvanārtham amātyahomān kūśmāṇḍahomāṃś ca juhuyāt
1.4.3	ahany upavasathe sarvakāmārtham agnīn ādhāsya ity uktvā yajamānaḥ keśaśmaśruromāṇi vapate
1.4.4	na vapata ity eke
1.4.5	tato 'bhyudayaśrāddhaṃ kurvīta
1.4.6	daivikavat sarvaṃ
1.4.7	dvau viśvedevau caturaḥ pitṝn vṛṇīte
1.4.8	nāndīmukhāḥ pitaraḥ sānugāḥ priyantām ity ārādhyārghyaṃ dadāti
1.4.9	dūrvākṣatayuktam udakumbhaṃ nidhāya pūrvavad daivikaṃ paitṛkaṃ ca hutvā tadānīm udakumbhādbhir yāsu gandhā rasā uti yajamāno 'bhiṣicya puṇyāhaṃ vācayati
1.4.10	svasti no mimītāṃ kṛṇuṣva pājaḥ svastidā viśaspatir iti pratisaraṃ baddhvā tasmin dine brāhmaṇān uktalakṣaṇān ṛtvijo vṛtvā saṃpūjya madhuparkaṃ dadāti
1.4.11	yajamānaḥ patnī ca navair vastrottarīyapuṣpādyair alaṃkṛtau bhavataḥ
1.4.12	adhvaryur yo aśvatthaḥ śamīgarbha ity araṇī uddhṛtyāśvatthāddhavyavāhād iti saṃbharati
1.4.13	āyur mayi dhattām iti saṃbhṛte abhimantrayate
1.4.14	adhivṛkṣasūrya aupāsanād dīptāñ chakalān yajamāna āyuṣe vo gṛhṇāmīti pañcabhiḥ śarāve gṛhṇāty āyur mām āviśatv iti gṛhītvā tāny upottiṣṭhati
1.5.1	apareṇa gārhapatyaṃ pālāśyā śāmyā vā śākhayāpeta vīteti trivīdhīs tryapakramam udagantaṃ mārjayitvoddhanyamānam ity uddhatya śaṃ no devīr ity avokṣya tam agniṃ brāhmaudanikam ādadhāti
1.5.2	nirmanthyam ambarīṣam uttapanīyaṃ vety eke
1.5.3	yady aupāsanaṃ na śiṣyate sāyam atra juhuyāt
1.5.4	niśāyām apareṇa brāhmaudanikaṃ lohitam ānaḍuhaṃ carma prācīnagrīvam uttaralomopastīrya tasmiṃś catuḥśarāvaṃ brahmaudanaṃ nirvapati
1.5.5	ākūtyai tvā kāmāya tveti niruptān abhimṛśyādbhiḥ prokṣya carmaṇy ulūkhalaṃ nidhāya niruptān opyāvahanti
1.5.6	śūrpeṇa tuṣān vivicya prajā sthālīm iti sthālīṃ saṃśodhya tasyāṃ brahmaṇe juṣṭam nirvapāmīti catuḥśarāvaiś caturdhā taṇḍulān āvapati
1.5.7	na nirṇenekti nānvavasrāvayati
1.5.8	payasi śrapayati
1.5.9	caturṣu vā pātreṣu śrapayitvābhighāryodag udvāsya darvyā brahmaudanād uddhṛtya prabhūtena sarpiṣopasicya pra vedhase kavaye medhyāyeti juhoty upatiṣṭhate vā
1.6.1	taṃ caturdhā vyuddhṛtya prabhūtena sarpiṣopasicya ṛtvigbhyo dadāti
1.6.2	te prāśyācamya rāddhas te brahmaudana iti praśāsanti
1.6.3	tebhyo vatsataraṃ dadāti
1.6.4	sthālyām ājyaśeṣam ānayati
1.6.5	tasminn ārdrāḥ sapalāśāḥ prādeśamātrīr lakṣaṇyāśvatthasya tisraḥ samidho 'bhyajya citriyād aśvatthād ity abhimantrya samidhāgniṃ duvasyatopa tvāgne haviṣmatīs taṃ tvā samidbhir aṅgira iti tisṛbhir gāyatrībhir brāhmaṇasya brāhmaudanike 'gnāv ādadhāti samidhyamānaḥ prathamo nu gharma iti triṣṭubbhī rājanyasya tvām agne samidhānaṃ yaviṣṭheti jagatībhir vaiśyasya
1.6.6	atra mithunāv asiktaretasau gāvau dadāti
1.6.7	etam agnim ito dhārayanty ekāhaṃ dvyahaṃ tryahaṃ caturahaṃ dvādaśāham ṛtuṃ saṃvatsaraṃ vā
1.6.8	anugata etasminn agnau prayāṇe yajamānasya ca punar evaṃ vihitaṃ brahmaudanaṃ
1.6.9	brāhmaudaniko yajamāno vrataṃ carati
1.6.10	na striyam upaiti na māṃsam aśnāti nāsya gṛhād agniṃ haranti nānyataś cāharanti
1.6.11	yadi saṃvatsare nādhātuṃ śaknuyāt punar evaṃ brahmaudanaṃ vihitaṃ
1.6.12	śva ādhāsyamānaś ca brahmaudanaṃ pacaty adhvaryuś caitāṃ rātrim etad vrataṃ carati
1.6.13	prajā agne saṃvāsayety uttareṇa gārhapatyāyatanaṃ kalmāṣam ajaṃ saṃyacchet
1.6.14	śalkair agnim indhāna iti śalkais tāṃ rātriṃ vinidro yajamāno 'gnim inddhe
1.7.1	vedyāṃ saṃbhṛtān saṃbhārān saṃgṛhṇāti
1.7.2	vaiśvānarasya rūpam iti sikatā yad idaṃ divo yad ada ity ūṣān ūtīḥ kurvāṇa ity ākhūddhatam ūrjaṃ pṛthivyā iti valmīkavapāṃ prajāpatisṛṣṭānām iti sūdaṃ yasya rūpam iti varāhoddhataṃ yābhir adṛṃhad iti śarkarāś ca
1.7.3	saptaitān pārthivāñchuddhān pratyekaṃ kuḍuvaṃ śarāve pṛthag eva gṛhītvāśvo rūpaṃ kṛtvety āśvatthaṃ prādeśamātraṃ sapatrāgram ūrjaḥ pṛthivyā adhyutthito 'sīty audumbaraṃ gāyatryā hriyamāṇasya devānāṃ brahmavādam iti dvābhyāṃ pālāśaṃ yayā te sṛṣṭasyāgner iti śamīṃ yat te sṛṣṭasyeti vaikaṅkataṃ yat te tān tasyety aśanihataṃ
1.7.4	yo aśvatthaḥ śamīgarbha ity atraike 'raṇī ca saṃbharanti
1.7.5	yaṃ tvā samabharaṃ jātaveda iti yajamānaḥ sarvān saṃbhārān punaḥ saṃgṛhṇāti
1.7.6	upavyuṣaṃ sarvādhānino brāhmaudanike 'gnau prātar aupāsanahoma ity eke
1.7.7	jātavedo bhuvanasya reto 'yaṃ te yonir ṛtviya iti dvābhyām asminn agnāv araṇī niṣṭapati
1.8.1	mayi gṛhṇāmi yo no agnir iti dvābhyām ātmany agniṃ gṛhītvā dohyā ca ta ity araṇī yajamānāya prayacchati
1.8.2	mahī viśpatnīty araṇī pradīyamāne yajamānaḥ pratīkṣate
1.8.3	ārohataṃ daśatam iti pratigṛhya ṛtviyavatī stho agniretasāv ity abhimantrya mayi gṛhṇāmi yo no agnir iti dvābhyām ātmany agniṃ gṛhṇāti
1.8.4	idam aham anṛtāt satyam upaimīti vācaṃ yacchati
1.8.5	agnī rakṣāṃsi sedhatīty adhvaryur brāhmaudanikam abhimantrya tam anugamayati
1.8.6	yajamānaḥ pañcadhāgnīn vyakramad iti pañcadhāgnīn saṃkalpayed idaṃ viṣṇur iti tridhā vā
1.8.7	gārhapatyānvāhāryapacanāhavanīyasabhyāvasathyānām āyatanāni śundhadhvam iti gomayenopalipyāpeta vīteti pūrvavat saṃmṛjya rakṣohaṇam eto nv indram ity avokṣati
1.8.8	śaṃ no devīr ity eke
1.8.9	mayi devā ityādibhiś caturdiśaṃ darbhān saṃnyasyoddhanyamānam iti sauvarṇena rājatena vā navadhā khanet
1.8.10	brahma jajñānaṃ pūtaṃ hyatana iti dvābhyāṃ prādeśasaṃmitāḥ prāgantās tisras tathottarāntāś ca lekhā ullikhya sāvitryāvokṣya śaṃ no devīr iti saṃbhārān prokṣyāyataneṣu hiraṇyaṃ nidhāyod vayaṃ tamasa ud u tyaṃ citram iti pṛthak sthaṇḍile juhoti
1.9.1	sikatārdhaṃ dvidhā kṛtvārdhaṃ gārhapatyāyatane nivapaty ardhaṃ dakṣiṇāgner itarārdhaṃ tridhā kṛtvā pūrveṣv āyataneṣu
1.9.2	sabhyāvasathyayor anārambhe sarvam āhavanīye
1.9.3	evaṃ kṛtvetarān pārthivān nivapati
1.9.4	agner bhasmāsīti sikatāḥ
1.9.5	saṃjñānam asīty ūṣān nivapan yad adaś candram asi kṛṣṇaṃ tad ihāstv iti manasā dhyāyati
1.9.6	ud ehy agna ity ākhūddhataṃ yat pṛthivyā iti gārhapatyāyatane valmīkavapāṃ nidadhāti yad antarikṣasyeti dakṣiṇāgner yad divo 'nāmṛtam ity āhavanīyasya tūṣṇīm itarayoḥ
1.9.7	ut samudrān iti sūdam
1.9.8	iyaty agna āsīr iti varāhoddhatam
1.9.9	ado devīr iti śarkarā nivapan yaṃ dveṣṭi tasya vadhaṃ manasā dhyāyati
1.9.10	lohāny audumbarāṇi vā pārthivānāṃ sthāne vikalpārthāni bhavanti
1.9.11	ṛtaṃ stṛṇāmīty āyataneṣu saṃbhārān stṛṇāti
1.9.12	saṃ yā va ity ūṣān sikatāś ca saṃsṛjati
1.9.13	saṃ vaḥ sṛjāmīti vānaspatyān saṃsṛjyetaḥ prathamaṃ jajñe agnir iti sakṛd evaikaikasmin nivapati
1.9.14	tat tat saṃbhārasaṃgrahaṇamantrair ity eke
1.10.1	yās te śivās tanuva iti gārhapatye sauvarṇaṃ rukmaśakalam uttarataḥ saṃbhāreṣūpāsya candram agnim ity upāstam abhimantrya dveṣyāya rājataṃ rukmam atiprayacchati
1.10.2	yadi dveṣyaṃ na vindet tāṃ diśaṃ prati nirasyet
1.10.3	na tat punar ādadīta
1.10.4	evaṃ sarveṣv āyataneṣūpāsya nirasyet
1.10.5	divas tvā vīryeṇa kalpetāṃ dyāvāpṛthivī iti dvābhyāṃ sarvān nyuptān saṃbhārān kalpayati
1.10.6	saṃbhṛtā agnayo mā kaścanāntareṇa saṃcāriṣṭeti goptāram ādiśya prabhāte brāhmaudanikasya bhasmāpodūhya tatra muñjakulāyam āstīrya pratīcīnaprajananām adharāraṇiṃ nidhāya cittiḥ srug iti daśahotrottarāraṇiṃ prajanane nidhāyādharām araṇīṃ mantham ātmānaṃ viṣṇuṃ janyam agniṃ ca dhyāyan sahāgne agnineti manthaty upatiṣṭhati
1.10.7	aśve mathyamāne caturhotṝn yajamānaṃ vācayati
1.10.8	upāvaroheti jāyamānam agnim abhimantrayate
1.10.9	yajamāno vācaṃ visṛjate
1.10.10	jāte varaṃ dadāti
1.10.11	prajāpates tvā prāṇenābhiprāṇimi prāṇe tvāmṛtam ādadhāmīti dvābhyāṃ jātam agnim abhijighrati
1.10.12	ahaṃ tvad asmīty abhimantrayate
1.11.1	adhvaryur ajann agnir iti tam agnim abhimantryājījanann amṛtaṃ martyāsa ity añjalinā parigṛhṇāti
1.11.2	śarāve karīṣādiṣu jātam agniṃ nidhāya samrāḍ asi virāḍ asīti śalkaiḥ saminddhe
1.11.3	yajamānaḥ patnī ca kṣaume paridhāyāpavṛtte 'gnyādheye 'dhvaryave dadyātāṃ
1.11.4	rathantare gīyamāne 'gniṃ prāñcam uddhṛtyāsīnaḥ prāg udayād gārhapatyam ādadhāti prathamābhyāṃ vyāhṛtībhyāṃ bhṛgūṇāṃ tvā devānām iti bhārgavasyāṅgirasāṃ tvā devānām ity āṅgirasasyādityānāṃ tvety anyeṣāṃ brāhmaṇānāṃ varuṇasya tveti rājña indrasya tveti rājanyasya manos tveti vaiśyasya ṛbhūṇāṃ tveti rathakārasya bhūmir bhūmneti prathamābhyāṃ sarparājñībhyāṃ gharmaḥ śirastad ayam iti prathamena ca gharmaśirasā yās te śivāḥ prāṇaṃ tvāmṛte divas tvā vīryeṇāgne gṛhapate 'he budhnya pariṣadyeti catasṛbhir gārhapatyāyatane saṃbhāreṣv agniṃ jvalantam abhyādadhāti
1.11.5	agna āyāhi samrāḍ asi virāḍ asīti śalkaiḥ saminddhe
1.11.6	yajamānaḥ sugārhapatya ity āhitaṃ gārhapatyam upatiṣṭhate tat tad ādhānamantraiś ca
1.11.7	adhvaryur grāmyāraṇyauṣadhibījāni yathālābham ājye 'vadhāya yā te agne paśuṣu pavamānā priyā tanūr iti śamanahomair āhitam agniṃ śamayeta
1.12.1	anv agnir uṣasām iti gārhapatye 'gnipraṇayanīyān idhmān ādīpyāśvaṃ purastāt sthāpayati
1.12.2	ojase balāya tvodyacche yas ta ātmā divaḥ pṛthivyā ud u tvā viśve devā iti catasṛbhir gārhapatyād āhavanīyaṃ śarāva uddhṛtya taṃ sikatāpūritena pātreṇopayamya jānudaghna udyacchati
1.12.3	tasmin dhāryamāṇe vāmadevye gīyamāne laukikaṃ mathitaṃ vāgnim āhṛtya dakṣiṇayā dvārordhvajānur upaviśyāgnīdhro dvitīyayā vyāhṛtyā yatharṣyādhānenāyaṃ gauḥ pṛśnir akramīt triṃśaddhāmeti dvitīyatṛtīyābhyāṃ sarparājñībhyāṃ vātaḥ prāṇa iti dvitīyena ca gharmaśirasā yās te śivās tanuvo vyānaṃ tvāmṛte divas tvā vīryeṇāgne 'nnapā mayobhuveti saṃbhāreṣv anvāhārapacanam ādadhāti
1.12.4	gārhapatyād agnim āhṛtyety eke
1.12.5	vyākhyāto bījahomo yajamānasya copasthānaṃ
1.12.6	yā vājinn agner ity agnitanūr aśvasya dakṣiṇe karṇe yajamānaṃ vācayati
1.12.7	vikramasva mahāṁ asi prācīm anu pradiśaṃ kramadhvam agnineti tisṛbhir aśvamukhāḥ prācīṃ gacchanti
1.12.8	iyaty agre 'gniṃ haraty atha madhyato nābhidaghne tṛtīyam āsyadaghne
1.12.9	nāgnim ādityaṃ ca vyavaiti
1.12.10	imā u mām ity ardhādhve hriyamāṇaṃ yajamāna upasthāya varaṃ dadyāt
1.12.11	tasminn adhvaryur nāko 'sīti hiraṇyaṃ nidhāyātikrāmati
1.12.12	bṛhaspate paridīyeti dakṣiṇato brahmā rathaṃ rathacakraṃ vā gārhapatyād āhavanīyāt saṃtataṃ triḥ parivartayati
1.12.13	yāvat triḥ parivartayati tāvad abhyasthād iti prāñcaṃ pūrvavāham aśvaṃ dakṣiṇena pādenottarapārśvataḥ saṃbhārān ākramayati
1.13.1	yathāhitasyāgner aṅgārā abhyavavarteran
1.13.2	taṃ pradakṣiṇaṃ parito nītvā yad akranda iti punar eva tathākramayati
1.13.3	purastāt pratyaṅmukham aśvaṃ sthāpayati
1.13.4	aśvābhāve 'naḍuho 'jasya pade vādadhīta
1.13.5	kamaṇḍalupada ādadhītety eke
1.13.6	yad idaṃ diva ity agnim abhimantrya purastāt pratyaṅmukhas tiṣṭhan sarvābhir vyāhṛtībhir yatharṣyādhānena bhūmir bhūmnāsya prāṇād iti prathamottamābhyāṃ sarparājñībhyām arkaś cakṣur ity uttamena ca gharmaśirasā yās te śivā apānaṃ tvāmṛte divas tvā vīryeṇāgne samrāḍ ity āhavanīyaṃ jvalantam agnim ūrdhvajñur eva saṃbhāreṣv asya pada ādadhāti yajñāyajñīye bṛhati śyaite ca gīyamāne
1.13.7	āhite vāravantīyaṃ gāyati
1.13.8	pratiṣiddhāny agnyādheye sāmāni vyāhṛtībhir evodgīthaṃ bhavatīty eke
1.13.9	laukikaṃ mathitaṃ vāgnim āhṛtyāhavanīyād vā pañcamyā vyāhṛtyā caturthyā ca yatharṣy ādhānena sabhyāvasathyau saṃbhāreṣv ādadhāti
1.13.10	vyākhyāto bījahomo yajamānasya copasthānam
1.13.11	ānaśe vyānaśe sarvam āyur vyānaśe 'haṃ tvad asmi ye te agne śive tanuvāv iti caitair āhavanīyam upatiṣṭhate
1.14.1	agna āyūṃṣy agne pavasvāgne pāvaketi tisṛbhir āśvatthīs tisraḥ samidha ekaikasminn ādhānavad ādadhāty āhavanīye gārhapatye dakṣiṇāgnau sabhyāvasathyayor iti vā sarvakarmasv eṣām evānūpūrvyam
1.14.2	samudrād ūrmir vayaṃ nāma catvāri śṛṅgeti tisṛbhis tisraḥ śamīmayīr ghṛtāktāḥ preddho agne dīdihīty audumbarīṃ vidhema ta iti vaikaṅkatīṃ tāṃ savitur vareṇyasyeti śamīmayīṃ
1.14.3	tatas tūṣṇīṃ prātar agnihotraṃ juhoti
1.14.4	athavājyaṃ saṃskṛtya caturgṛhītenāṣṭagṛhītena vā srucaṃ pūrayitvā dhyāyan nārāyaṇaṃ juhoti
1.14.5	sāgnihotrasya sthāne bhavati
1.14.6	yajamāno 'pareṇa sarvān agnīṃs tiṣṭhan ye te agne śive tanuvāv iti śivābhis tanūbhir upatiṣṭhate
1.14.7	yās te agne ghorās tanuvas tābhiḥ pāpmānaṃ gaccheti yajuṣopasthāya yās te agne ghorās tanuvaḥ kṣuc ca tṛṣṇā ceti ghorābhiś ca
1.14.8	atrāmum iti dveṣyasya nāma gṛhṇāti
1.14.9	apa upaspṛśati
1.14.10	juhūṃ sruvaṃ ca saṃmṛjya pūrvavat srucaṃ pūrayitvā pūrṇāhutī juhoti
1.14.11	yajamāno varaṃ dattvā punar ghorābhir upasthāya śivābhir upatiṣṭhate
1.14.12	narya prajāṃ me gopāyātharva pituṃ me gopāya śaṃsya paśūn me gopāya sapratha sabhāṃ me gopāyāhe budhnya mantraṃ me gopāyeti pañcabhir virāṭkramaiḥ pañcāgnīn upatiṣṭhate pañcadhāgnīn iti sarvān
1.14.13	athāgneyam aṣṭākapālaṃ nirvapet
1.14.14	upasanne paridatte haviṣy aprokṣite sabhāmadhye 'dhidevanam uddhatyāvokṣyākṣān opya teṣu hiraṇyaṃ nidhāya niṣasāda dhṛtavrata iti rājanyasya juhoti
1.14.15	pra nūnam ity āvasathe pariṣado hiraṇyaṃ nidhāya tasmin juhoti
1.15.1	uta no 'hirbudhnya ity āvasathyam abhimantrya yajamānāya śatam akṣān adhvaryur dadāti
1.15.2	teṣu paṇamāno yajamānaḥ kṛtaṃ vijitya tad annaṃ śrapayitvā sabhāsadbhyo brāhmaṇebhyaḥ pradadāti
1.15.3	ta āvasathe bhuñjate
1.15.4	kalpetāṃ dyāvāpṛthivī ye agnaya ity etābhyāṃ yathartunāmnā yajamāno 'gnīn upatiṣṭhate
1.15.5	prokṣaṇaprabhṛtīni pratipadyate
1.15.6	vārtraghnāv ājyabhāgau
1.15.7	agnir mūrdhā bhuva iti haviṣo yājyānuvākye
1.15.8	anvāhāryam āsādyāgnyādheyasyā dvādaśebhyo dakṣiṇā dadāti
1.15.9	kāmam ūrdhvaṃ deyam
1.15.10	agnīdha upabarhaṇaṃ sārvasūtram ajaṃ pūrṇapātraṃ ca brahmaṇe 'śvaṃ hotre dhenum adhvaryave 'naḍvāham
1.15.11	mithunau gāvau vāso rathaś ca sādhāraṇāni
1.15.12	yady anāḍhyo gām ekāṃ dadyāt
1.15.13	sā sarvapratyāmnāyo bhavati
1.15.14	śeṣo vyākhyātaḥ
1.16.1	athāhitāgner dvādaśarātravratāni
1.16.2	na māṃsam aśnāti na striyam upaiti nānṛtaṃ vadaty amṛnmayapāyī svayaṃ pādaśodhy akṣāralavaṇāśy aśamīdhānyaṃ bhuñjāno 'nyatra tilebhyaḥ svayam idhmahāro 'gnyāgāre saṃviśati
1.16.3	dvādaśarātram ajasrā asyāgnayaḥ
1.16.4	nāsya brāhmaṇo 'nāśvān gṛhe vaset
1.16.5	atītāsu dvādaśarātriṣu pavamānahavīṃṣy anunirvapet saṃvatsara ṛtau māse 'rdhamāse caturahe tryahe dvyahe śvobhūte sadyo vā
1.16.6	agnaye pavamānāya puroḍāśam aṣṭākapālaṃ nirvaped agnaye pāvakāyāgnaye śucaya iti
1.16.7	trīṇi havīṃṣi sākaṃ samasyet
1.16.8	pūrvaṃ nirupyottare samasyed vā
1.16.9	āgneyenāṣṭākapālena sākam etāni havīṃṣi samasyed ity eke
1.16.10	agneḥ pavamānasyāgna āyūṃṣy agne pavasveti yājyānuvākye
1.16.11	triṃśanmānaṃ hiraṇyam asya dakṣiṇā
1.16.12	agneḥ pāvakasyāgne pāvaka sa naḥ pāvaketi
1.16.13	agneḥ śucer agniḥ śucivratatama ud agne śucayas taveti
1.16.14	triṃśanmānaṃ hiraṇyaṃ madhyamasya catvāriṃśanmānaṃ hiraṇyam uttamasya
1.16.15	aindrāgnam ekādaśakapālam anunirvapaty adityai ghṛte caruṃ
1.16.16	saptadaśādityasya sāmidhenyaḥ
1.16.17	agninā rayiṃ gayasphāna iti puṣṭimantāv ājyabhāgāv indrāgnī āgataṃ gīrbhir vipra ity aindrāgnasya
1.16.18	uta tvām adite mahīm ū ṣu mātaram ity ādityasya preddho agna imo agna iti saṃyājye
1.16.19	saṃtiṣṭhate seṣṭyādhānam
1.17.1	hoṣyan prathamam agnihotraṃ daśahotāraṃ manasānudrutya sagraham āhavanīye hutvātha sāyam agnihotraṃ juhoti
1.17.2	vyāhṛtibhiḥ prathamam agnihotram upasādayati saṃvatsare ca
1.17.3	dvādaśarātram ādhānād ajasreṣv ājyenāhatavāsāḥ svayam apravasan yajamāno 'gnihotraṃ juhoti
1.17.4	yāṃ prathamām agnihotrāya duhanti sāgnihotrasya dakṣiṇā
1.17.5	prathamau darśapūrṇamāsau yakṣyamāṇaś caturhotāraṃ manasānudrutyāhavanīye sagrahaṃ hutvā pūrṇā paścād yat te devā adadhur iti sārasvatau homau hutvā pūrvasmin parvaṇi paurṇamāsyām anvārambhaṇīyām iṣṭiṃ nirvapaty āgnāvaiṣṇavam ekādaśakapālaṃ sarasvatyai caruṃ sarasvate dvādaśakapālam agnaye bhagine 'ṣṭākapālam
1.17.6	agnāviṣṇū sajoṣasāgnāviṣṇū mahi dhāmety āgnāvaiṣṇavasya
1.17.7	pra ṇo devyā no diva iti sarasvatyāḥ
1.17.8	pīpivāṃsaṃ sarasvato ye te sarasva ūrmaya iti sarasvata ā savaṃ savitur yathā sa no rādhāṃsy ābhareti bhaginaḥ
1.17.9	purastāt sviṣṭakṛto jayānupajuhoti
1.17.10	mithunau gāvau dakṣiṇā
1.17.11	amāvāsyāyāṃ bhaviṣyantyām ādadhānasya nānvārambhaṇīyā
1.17.12	āgneyam evāṣṭākapālaṃ nirvapet
