#Text:Hiraṇyakeśiśrautasūtra
#Data entry:M. Fushimi
#Notes:Up to Praśna 10 (inclusive), the text counts by Praśna/Paṭala/Chapter, without giving a Sūtra counter. Starting with Praśna 11, it uses Praśna/Chapter and a Sūtra counter. We systematized the numbering by ignoring the Paṭala counters in 1-10, and adding Sūtra counters in this range. The following chapters are missing in the edition: 2.[7].18, 5.[3].9. Praśnas 19, 20 are missing in the digital text.



1.1.1	yajñaṃ vyākhyāsyāmaḥ
1.4.5	agniṃ gṛhṇāmi surathaṃ yo mayobhūr ya udyantam ārohati sūryam ahne / ādityaṃ jyotiṣāṃ jyotir uttamaṃ śvo yajñāya ramatāṃ devatābhyaḥ / vasūn rudrān ādityān indreṇa saha devatāḥ / tāḥ pūrvaḥ parigṛhṇāmi sva āyatane manīṣayā / imām ūrjaṃ pañcadaśīṃ ye praviṣṭās tān devān parigṛhṇāmi pūrvaḥ / agnir havyavāḍ iha tān āvahatu paurṇamāsaṃ havir idam eṣāṃ mayīti paurṇamāsyām āmāvāsyaṃ havir idam eṣāṃ mayīty amāvāsyāyām iti tisṛbhir āhavanīyam antarāgnī paśavo devasaṃsadam āgaman / tān pūrvaḥ parigṛhṇāmi sva āyatane manīṣayety antarāgnī tiṣṭhañ japatīha prajā viśvarūpā ramantām agniṃ gṛhapatim abhi saṃvasānāḥ / tāḥ pūrvaḥ parigṛhṇāmi sva āyatane manīṣayā / iha paśavo viśvarūpā ramantām agniṃ gṛhapatim abhi saṃvasānāḥ / tān pūrvaḥ parigṛhṇāmi sva āyatane manīṣayeti dvābhyāṃ gārhapatyam ayaṃ pitṝṇām agnir avāḍ ḍhavyā pitṛbhya ā / taṃ pūrvaḥ parigṛhṇāmy aviṣaṃ naḥ pituṃ karad iti dakṣiṇāgnim ajasraṃ tvāṃ sabhāpālā vijayabhāgaṃ samindhatām / agne dīdāya me sabhya vijityai śaradaḥ śatam iti sabhyam annam āvasathīyam abhiharāṇi śaradaḥ śatam / āvasathe śriyaṃ mantram ahir budhniyo niyacchatv ity āvasathyam
1.4.6	iti vaitābhiḥ
1.4.7	palāśaśākhāṃ śamīśākhāṃ vāharati
1.4.8	prācīm udīcīṃ prāgudīcīṃ vāhīnāṃ bahuparṇām aśuṣkāgrām
1.4.9	yaṃ kāmayetāpaśuḥ syād ity aparṇāṃ tasmai śuṣkāgrām
1.4.10	yaṃ kāmayeta paśumān syād iti bahuparṇāṃ tasmai bahuśākhām aśuṣkāgrām
1.4.11	iṣe tveti śākhām ācchinatty ūrje tveti saṃnamayaty anumārṣṭi vā
1.4.12	imāṃ prācīm udīcīm iṣam ūrjam abhisaṃskṛtām / bahuparṇām aśuṣkāgrāṃ harāmi paśupām aham ity āharati
1.4.13	vāyavaḥ stheti tayā ṣaḍ vatsān apākaroti
1.5.1	darbhair vā sadarbhayety ekeṣām
1.5.2	apākṛtānām ekaṃ śākhayopaspṛśati
1.5.3	devo va iti gocaram abhi mātṝḥ prasthāpayati
1.5.4	indraṃ nigameṣūpalakṣayed indrayājino mahendraṃ mahendrayājinaḥ
1.5.5	prasthitānām ekāṃ śākhayopaspṛśati
1.5.6	śuddhā apaḥ suprapāṇe pibantīḥ śatam indrāya śarado duhānāḥ / rudrasya hetiḥ pari vo vṛṇaktv iti prasthitā anumantrayate
1.5.7	dhruvā asminn iti yajamānasya gṛhān abhi paryāvartate
1.5.8	yajamānasya paśūn pāhīty agniṣṭhe 'nasy agnyagāre vā purastāt pratīcīṃ śākhām upagūhati paścāt prācīm ity ekeṣām
1.5.9	devasya tvety aśvaparśum asidaṃ vādatte
1.5.10	yajñasya ghoṣad asīti gārhapatyam upatiṣṭhate
1.5.11	pratyuṣṭam ity āhavanīye gārhapatye vā niṣṭapati
1.5.12	preyam agād urv antarikṣaṃ prehīty anyatareṇa prācīnam udīcīnaṃ vābhipravrajya yataḥ kutaścid darbhamayaṃ barhir āharati
1.5.13	viṣṇo stūpo 'sīty abhipretānām ekaṃ stambam utsṛjatīndrasya pariṣūtam asīty anyaṃ pariṣauti devānām iti vā
1.5.14	taṃ sarvaṃ dāti
1.5.15	api vā paśūnāṃ tvā bhāgam utsṛjāmīti pariṣūtasyaikām dve vā darbhanāḍyāv utsṛjati
1.5.16	idaṃ devānām iti pariṣūtam abhimṛśatīdaṃ paśūnām ity utsṛṣṭam avasṛṣṭo gavāṃ bhāga iti vā
1.5.17	devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ barhir devasadanam ārabha iti viśākheṣv abhipadyate
1.5.18	devebhyas tvordhvabarhirbhya ity ūrdhvam unmārṣṭi
1.5.19	devabarhir mā tvānvaṅ mā tiryag ity asidaṃ nidadhāti mādho mopari parus ta ṛdhyāsam iti vā
1.6.1	yā jātā oṣadhayo devebhyas triyugaṃ purā / tāsāṃ parva rādhyāsaṃ paristaram āharann ity abhimantrya
1.6.2	ācchettā te mā riṣam ity ācchinatti
1.6.3	sanakhaṃ muṣṭiṃ dāti
1.6.4	sa prastaraḥ
1.6.5	srugdaṇḍamātram urvasthikulmimātraṃ vā
1.6.6	etenaiva kalpenetarān dāti
1.6.7	yad anyat pariṣavaṇād utsarjanāc ca
1.6.8	sarvaṃ yathārthaṃ lutvā
1.6.9	devabarhiḥ śatavalśaṃ virohety ālavān abhimṛśati
1.6.10	sahasravalśā vi vayaṃ ruhemety ātmānaṃ pratyabhimṛśati
1.6.11	ayujo yujo vā muṣṭīn nidhanāni vā lunoti
1.6.12	adityai rāsnāsīti pradakṣiṇaṃ śulvam āveṣṭayati
1.6.13	ayupitā yonir iti pratinidadhāti tridhātu pañcadhātu vā dhātaudhātau mantram āvartayati
1.6.14	pṛthivyāḥ saṃpṛcaḥ pāhīti prāgagram udagagraṃ vā śulbaṃ nidadhāti
1.6.15	aparimitānāṃ parimitāḥ saṃnahye sukṛtāya kam / eno mā nigāṃ katamac canāhaṃ punar utthāya bahulā bhavantv ity abhimantrya susaṃbhṛtā tvāsaṃbhāramīti śulbe nidhanāni saṃbharati
1.6.16	alubhitā yonir ity uttame nidhane prastaram ādadhāti
1.6.17	indrāṇyai saṃnahanam iti saṃnahyati pūṣā ta iti pradakṣiṇaṃ granthim āveṣṭya
1.6.18	sa ta iti purastāt pratyañcam upakarṣati paścād vā prāñcam
1.6.19	āpas tvām aśvinau tvām ṛṣayaḥ sapta māmṛjuḥ / barhiḥ sūryasya raśmibhir uṣasāṃ ketum ārabha ity ārabhate
1.6.20	indrasya tvā bāhubhyām udyaccha ity udyacchate
1.6.21	bṛhaspater iti śīrṣann adhinidhāya harati
1.6.22	yau gamanau tau pratyāyanau
1.6.23	adityāḥ sada āsīdeti paridhideśe 'ntarvedy anadhaḥ sādayati
1.6.24	devaṃgamam asīty āsannam abhimantrayate
1.6.25	adityās tvā pṛṣṭhe sādayāmīti gārhapatyadeśa upari nidadhāti
1.7.1	pālāśaṃ khādiraṃ vaikaviṃśatidārum idhmaṃ saṃnahyati
1.7.2	pañcadaśa sāmidhenyarthāni
1.7.3	trayaḥ paridhayo 'niyatavṛkṣāḥ satvakkāḥ
1.7.4	ārdrā bhavanti te hi sarasā iti vijñāyate śuṣkā bhavanti medhyatvāyeti vijñāyate
1.7.5	sthaviṣṭho madhyamo 'ṇīyān drāghīyān dakṣiṇārdhyo 'ṇiṣṭho hrasiṣṭha uttarārdhyaḥ
1.7.6	dve āghārasamidhau
1.7.7	anūyājasamid ekaviṃśīti
1.7.8	samūlānām amūlānāṃ vā darbhāṇām ayugdhātu śulbaṃ kṛtvā prāgagram udagagraṃ vā nidadhāti
1.7.9	yat kṛṣṇo rūpaṃ kṛtvā prāviśas tvaṃ vanaspatīn / tatas tvām ekaviṃśatidhā saṃbharāmi susaṃbhṛtā / trīn paridhīṃs tisraḥ samidho yajñāyur anusaṃcarān / upaveṣaṃ mekṣaṇaṃ dhṛṣṭiṃ saṃbharāmi susaṃbhṛteti śulba idhmaṃ saṃbharati
1.7.10	kṛṣṇo 'sy ākhareṣṭho deva puraścara saghyāsaṃ tveti saṃnahyati
1.7.11	pūṣā ta iti pradakṣiṇaṃ granthim āveṣṭya tenaiva kalpena yathā barhiṣi
1.7.12	vipratipādya vā
1.7.13	tenaiva mantreṇa
1.7.14	barhiṣā saha nidadhāti
1.7.15	vedo 'si yena tvaṃ deva veda devebhyo vedo 'bhavas tena mahyaṃ vedo bhūyā iti darbhāṇāṃ vedaṃ karoti
1.7.16	vatsajñuṃ mūtakāryaṃ paṅktikāryaṃ trivṛtaṃ vā
1.7.17	vatsajñuṃ paśukāmasya mūtakāryam annādyakāmasya paṅktikāryaṃ prajākāmasya trivṛtaṃ brahmavarcasakāmasya trivṛcchirasaṃ bruvate
1.7.18	tṛṇṇāt pradeśe parivāsayati
1.7.19	idhmapravraścanāni vedaparivāsanāni ca saha nidadhāti
1.8.1	antarvedi śākhāyāḥ palāśāni praśātya sarvāṇi mūlataḥ parivāsya
1.8.2	upaveṣo 'si yajñāya tvāṃ pariveṣam adhārayan / indrāya haviḥ kṛṇvantaḥ śivaḥ śagmo bhavāsi na iti tam upaveṣaṃ karoti
1.8.3	tasyāṃ trivṛddarbhamayaṃ pavitram avidalaṃ karoti
1.8.4	trivṛtpalāśe darbha iyān prādeśasaṃmitaḥ / yajñe pavitraṃ potṛtamaṃ payo havyaṃ karotu ma iti mūle mūlam upasṛjaty agre 'graṃ na granthiṃ karoti
1.8.5	vasūnāṃ pavitram asi śatadhāram iti vā
1.8.6	sāyaṃ hute 'gnihotre
1.8.7	dvaṃdvaṃ sāṃnāyyapātrāṇi prakṣālya nyañci prayunakti
1.8.8	agnihotrahavaṇīm ukhām upaveṣaṃ śākhāpavitram abhidhānīṃ nidāne dohanam ayaspātraṃ dārupātraṃ vāpidhānārtham
1.8.9	samāv apracchinnāgrau darbhau prādeśamātrau pavitre karoti
1.8.10	pavitre stho vaiṣṇavī vāyur vāṃ manasā punātv iti tṛṇaṃ kāṣṭhaṃ vāntardhāya chinatti
1.8.11	na nakhenemau prāṇāpānau yajñasyāṅgāni sarvaśaḥ / āpyāyayantau saṃcaratāṃ pavitre havyaśodhana ity abhimantrya
1.8.12	viṣṇor manasā pūte stha ity adbhir unmārṣṭi
1.8.13	agnihotrahavaṇyāṃ pavitrāntarhitāyām apa ānīya
1.8.14	devo va iti paccho gāyatryodagagrābhyāṃ pavitrābhyāṃ trir utpunāti
1.8.15	āpo devīr ity anumantrayate
1.9.1	āpo devīḥ śuddhāḥ sthemā pātrāṇi śundhata / upātaṅkyāya devānāṃ parṇavalkam uta śundhateti vā
1.9.2	śundhadhvam iti triḥ sarvābhir uttānāni pātrāṇi prokṣati śundhantāṃ viśvakarmāṇi devayajyāyai daivyāya karmaṇe śundhadhvaṃ yad vo 'śuddhāḥ parājagmus tad va etena śundhatām iti vā
1.9.3	etā ācaranti madhumad duhānāḥ prajāvatīr yaśaso viśvarūpāḥ / bahvīr bhavantīr upajāyamānā iha va indro ramayatu gāva iti gā āyatīḥ pratīkṣate
1.9.4	dhṛṣṭir asīty upaveṣam ādāya
1.9.5	nirūḍhaṃ janyaṃ bhayaṃ saha tena yaṃ dviṣmaḥ subhūtāya śrayadhvam iti tena gārhapatyād udīco 'ṅgārān nirūhya
1.9.6	mātariśvana iti teṣu kumbhīm adhiśrayati
1.9.7	aprasraṃsāya yajñasyokhe upadadhāmy aham / paśubhiḥ saṃnītaṃ bibhṛtām indrāya śṛtaṃ dadhīti vā
1.9.8	bhṛgūṇām aṅgirasāṃ tapasā tapyasvety aṅgāraiḥ parīndhe
1.9.9	upasṛṣṭāṃ me prabrūtād iti saṃpreṣyati
1.9.10	vasūnāṃ pavitram asi sahasradhāram iti kumbhyāṃ prāgagraṃ śākhāpavitram ādadhāti
1.9.11	anvārabhya vācaṃ yacchati dhārayann āste
1.9.12	adityai rāsnāsīty abhidhānīm ādatte
1.10.1	trayastriṃśo 'si tantūnāṃ pavitreṇa sahāgahi / śiveyaṃ rajjur abhidhāny aghniyām upasevatām iti vā
1.10.2	pūṣāsīti vatsam upasṛjati
1.10.3	dhāvantaṃ vānumantrayate
1.10.4	vihāraṃ gāṃ copasṛṣṭām antareṇa mā saṃcāriṣṭeti saṃpreṣyati na duhyamānām antareṇa yanti vihāraṃ gāṃ ca
1.10.5	yadi vyaveyāt sāṃnāyyaṃ mā vilopīti brūyāt
1.10.6	ūrjaṃ payaḥ pinvamānā ghṛtaṃ ca jīvo jīvantīr upa vaḥ sadeyam ity upasannām
1.10.7	dyauś cemaṃ yajñaṃ pṛthivī ca saṃduhātāṃ dhātā somena saha vātena vāyuḥ / yajamānāya draviṇaṃ dadhātv iti duhyamānām utsaṃ duhanti kalaśaṃ caturbilam iḍāṃ devīṃ madhumatīṃ suvarvidam / tad indrāgnī jinvataṃ sūnṛtāvat tad yajamānam amṛtatve dadhātv iti dhārāghoṣam anumantrayate
1.10.8	dogdhā harati
1.10.9	taṃ pṛcchati kāmadhukṣaḥ pra ṇo brūhi
1.10.10	amūṃ yasyāṃ devānāṃ manuṣyāṇāṃ payo hitam ity asāv iti godhug ācaṣṭe
1.10.11	sā viśvāyur iti pratyucya
1.10.12	devas tvā savitā punātu vasoḥ pavitreṇa śatadhāreṇa supuveti kumbhyām ānayati
1.10.13	yad anyat saṃpraiṣāt tenottare dohayati
1.10.14	sā viśvavyacā iti dvitīyāṃ sā viśvakarmeti tṛtīyām
1.10.15	tisro dohayitvā bahu dugdhīndrāya devebhyo havyam āpyāyatāṃ punar vatsebhyo manuṣyebhyaḥ punar dohāya kalpatām iti triḥ saṃpreṣyati
1.10.16	visṛṣṭavāg ananvārabhya
1.11.1	uttarā dohayati tūṣṇīṃ vā
1.11.2	sarvāsu dugdhāsu hutaḥ stoka iti vipruṣo 'numantrayate
1.11.3	dyauś cemaṃ yajñam iti sāṃnāyyam
1.11.4	dohanaṃ saṃkṣālya saṃpṛcyadhvam iti kumbhyāyānayati
1.11.5	śrapayitvā tūṣṇīkena sarpiṣābhidhārya
1.11.6	dṛṃha gā dṛṃha gopatiṃ mā vo yajñapatī riṣad iti prācīnam udīcīnaṃ prāgudag vā karṣann ivodvāsayati
1.11.7	pūrvedyurdugdhaṃ dadhi havirātañcanam ekasyā dvayos tisṛṇāṃ vaikāhe dvyahe tryahe vā saṃtatam abhidugdham aupavasathād bhavati
1.11.8	somena tvātanacmīti tena śītaṃ budhnaṃ kṛtvātanaktīndrasya tvā bhāgaṃ somenātanacmīti vā
1.11.9	taṇḍulaiḥ parṇavalkaiḥ kvalair badaraiḥ pūtīkair vā
1.11.10	yajñasya saṃtatir asi yajñasya tvā saṃtatim anusaṃtanomīty agnihotroccheṣaṇam ānayati tūṣṇīṃ vā
1.11.11	āpo haviḥṣu jāgṛta yathā deveṣu jāgratha / evam asmin yajñe yajamānāya jāgṛtety apidhānārthe pātre 'pa ānayaty adastam asi viṣṇave tvā yajñāyāpidadhāmy aham / adbhir ariktena pātreṇa yāḥ pūtāḥ pariśerata ity apidadhāti
1.11.12	yadi mṛnmayaṃ syāt tṛṇaṃ kāṣṭhaṃ vānupravidhyet
1.11.13	imau parṇaṃ ca darbhaṃ ca devānāṃ havyaśodhanau / prātar veṣāya gopāya viṣṇo havyaṃ hi rakṣasīty unmucya śākhāpavitraṃ prajñātaṃ nidadhāti
1.11.14	viṣṇo havyaṃ rakṣasveti sāṃnāyyaṃ gārhapatyadeśa upari nidadhāti
1.12.1	anyāṃ śākhām āhṛtya tenaiva kalpena tayā darbhair vā prātardohāya vatsān apākaroti yathā sāyaṃdohāya
1.12.2	upadhāya kapālāni prātardohaṃ dohayati tasya sāyaṃdohena kalpo vyākhyātaḥ
1.12.3	aprasraṃsāya yajñasyokhe upadadhāmy aham / paśubhiḥ saṃnītaṃ bibhṛtām indrāya śṛtam iti mantrāntaṃ saṃnamati
1.12.4	udagagraṃ śākhāpavitram ādadhāti
1.12.5	nātanakti
1.12.6	nāsomayājī saṃnayed atho khalv āhuḥ kāpeyāḥ saṃneyam evāsomayājineti
1.12.7	aindraṃ sāṃnāyyaṃ someneṣṭvā mahendraṃ yajeta
1.12.8	api vā saṃvatsaraṃ dvau vendram iṣṭvāgnaye vratapataye 'ṣṭākapālaṃ nirupya kāmaṃ mahendraṃ yajeta
1.12.9	aurvo gautamo bhāradvājaḥ śuśruvān grāmaṇī rājanya iti sarvatra kāmaṃ mahendraṃ yajeran
1.12.10	paristṛṇīta paridhattāgniṃ parihito 'gnir yajamānaṃ bhunaktu / apāṃ rasa oṣadhīnāṃ suvarṇo niṣkā ime yajamānasya santu kāmadughā amutrāmuṣmiṃl loka iti saṃpreṣyati
1.12.11	darbhair agnīn paristṛṇāti
1.12.12	āhavanīyaṃ paristīrya gārhapatyam atha dakṣiṇāgniṃ gārhapatyaṃ vā paristīrya dakṣiṇāgnim athāhavanīyam
1.12.13	udagagrāḥ paścāt purastāc ca bhavanti
1.12.14	etat kṛtvopavasaty amāvāsyāyām
1.12.15	paurṇamāsyāṃ tu
1.12.16	pūrvedyur agnyanvādhānam agniparistaraṇaṃ ca
1.12.17	śvo bhūta idhmābarhir vedaṃ ca karoti
1.12.18	sadyo vā
1.12.19	sarvaṃ kriyate
1.13.1	sadyaskālāyām upariṣṭād vedakarmaṇo 'gnīn paristṛṇāti
1.13.2	prātar agnihotraṃ hutvodita āditye paurṇamāsyās tantraṃ prakramayati prāg udayād amāvāsyāyāḥ
1.13.3	karmaṇe vām iti pāṇī prakṣālya
1.13.4	yajñasya saṃtatir asi yajñasya tvā saṃtatyai stṛṇāmi saṃtatyai tvā yajñasyeti gārhapatyāt saṃtatām ulaparājīṃ stṛṇāty āhavanīyāt tūṣṇīṃ dakṣiṇāṃ tūṣṇīm uttarām
1.13.5	dakṣiṇenāhavanīyaṃ brahmayajamānayoḥ sadane karoti
1.13.6	pūrvaṃ brahmaṇe 'paraṃ yajamānāya
1.13.7	uttareṇa gārhapatyaṃ darbhān saṃstīrya dvaṃdvaṃ pātrāṇi prakṣālya nyañci prayunakti
1.13.8	sphyaṃ kapālāni
1.13.9	agnihotrahavaṇīṃ śūrpam
1.13.10	kṛṣṇājinaṃ śamyām
1.13.11	ulūkhalaṃ musalam
1.13.12	dṛṣadam upalām
1.13.13	aratnimātryo bāhumātryo vā mukhavatyo haṃsamukhaprasecanā agrāgrā bhavanti tvaktobilā vāyasapucchya ity ekeṣāṃ hastyoṣṭhya ity ekeṣām
1.13.14	ājyasthālīṃ kuṭarum
1.13.15	pātrīṃ mekṣaṇam
1.13.16	vedaṃ prāśitraharaṇam
1.13.17	praṇītāpraṇayanam iḍāpātraṃ ca
1.13.18	ekām anvāhāryasthālīm
1.13.19	teṣāṃ yāny anādiṣṭavṛkṣāṇi vikaṅkatasya tāni
1.13.20	ahomārthāni tu vāraṇasya
1.13.21	atra prātardohapātrāṇi prayunakti
1.13.22	annāsaṃnayataḥ pavitre karoti
1.13.23	pūrvedyuḥkṛte saṃnayato dhāryete
1.13.24	dakṣāya tveti praṇītāpraṇayanaṃ camasam ādāya
1.14.1	vānaspatyo 'si devebhyaḥ śundhasva devebhyaḥ śumbhasva devebhyaḥ śudhyasveti triḥ prakṣālayati
1.14.2	kaṃsena brahmavarcasakāmasya praṇayen mṛnmayenānnādyakāmasya
1.14.3	apareṇottareṇa vā gārhapatyam upaviśya ko vo gṛhṇāti sa vo gṛhṇātu kasmai vo gṛhṇāmi tasmai vo gṛhṇāmi poṣāya va iti pavitrāntarhite pātre 'pa ānayaty anayā vo gṛhṇāmīti pṛthivīṃ manasā dhyāyan
1.14.4	upabilaṃ pūrayitvā
1.14.5	utpūyābhimantrayate
1.14.6	yathā prokṣṇīḥ
1.14.7	yāḥ purastāt prasravanty upariṣṭāt sarvataś ca yāḥ / tābhī raśmipavitrābhiḥ śraddhāṃ yajñam ārabha iti vā brahmann apaḥ praṇeṣyāmi yajamāna vācaṃ yaccheti saṃpreṣyati
1.14.8	sarveṣv āmantraṇeṣu prasava ukte karoti
1.14.9	praṇayan vācaṃ yacchati
1.14.10	tāṃ haviṣkṛtā visṛjate
1.14.11	ko vaḥ praṇayati sa vaḥ praṇayatv apo devīḥ praṇayāmi yajñaṃ saṃsādayantu naḥ / iraṃ madantīr ghṛtapṛṣṭhā udākuḥ sahasrapoṣaṃ yajamāne nyañcatīr iti sphenopayamya samaṃ prāṇair dhārayamāṇo viṣiñcan harati
1.14.12	devā gātuvido gātuṃ yajñāya vindata / manasas patinā devena vātād yajñaḥ prayujyatām iti vā
1.14.13	brahmapūtāḥ stha ko vo yunakti sa vo yunaktu viśvebhyaḥ kāmebhyo devayajyāyaīty uttareṇāhavanīyaṃ darbheṣu sādayitvā darbhair apidadhāti
1.14.14	tā neṅgayanty ā saṃsthānāt
1.14.15	saṃviśantāṃ daivīr viśaḥ pātrāṇi devayajyāyā iti sapavitreṇa pāṇinā pātrāṇi saṃmṛśati
1.15.1	dakṣāya vānaspatyāsīty agnihotrahavaṇīm ādatte veṣāya tveti śūrpam
1.15.2	pratyuṣṭam ity āhavanīye gārhapatye vā niṣṭapati
1.15.3	yajamāna havir nirvapsyāmīty āmantrayate
1.15.4	pravasati
1.15.5	agne havir nirvapsyāmīty anubrūyāt
1.15.6	urv antarikṣam anvemīti gacchati
1.15.7	apareṇāhavanīyam apareṇa vā gārhapatyaṃ naddhayugaṃ sapariṇatkaṃ śakaṭam avasthitaṃ vrīhimad yavamad vā prāgīṣam udagīṣaṃ vā
1.15.8	dhūr asīti tasya dakṣiṇāṃ dhuram ālabhya
1.15.9	tvaṃ devānām iti savyām īṣām ālabhya japati
1.15.10	viṣṇus tvākraṃsteti savye cakre dakṣiṇaṃ pādam ādadhāti
1.15.11	ahrutam ity ārohati
1.15.12	mitrasya tveti pariṇahaṃ prekṣate
1.15.13	uru vātāyeti pariṇaho dvāram apacchādayati
1.15.14	mitrasya tveti puroḍāśyān pariṇahaṃ ca prekṣate
