#Text:Mānavaśrautasūtra
#Data entry:M. Fushimi



1.1.1.1	uttarata upacāro vihāraḥ
1.1.1.21	dhruvā asmin gopatau syāta bahvīr iti yajamānasya gṛhān abhiparyāvartate / yajamānaṃ vā prekṣamāṇo japati
1.1.1.22	agniṣṭhe 'nasy agnyagāre vā yajamānasya paśūn pāhīti pratyagagrāṃ śākhām upakarṣati
1.1.1.23	uttarato gārhapatyasya devasya tvā savituḥ prasava ity asilam ādatte
1.1.1.24	goṣad asīti gārhapatyam upatiṣṭhate
1.1.1.25	urv antarikṣaṃ vīhīti vrajati
1.1.1.26	pratyuṣṭaṃ rakṣa ity āhavanīye niṣṭapati
1.1.1.27	preyam agād iti japati
1.1.1.28	prāg udag vābhipravrajya barhir achaiti
1.1.1.29	devānāṃ pariṣūtam asīti darbhān prastarāya pariṣuvati
1.1.1.30	viṣṇoḥ stupa iti darbhastambam abhimṛśati
1.1.1.31	atisṛṣṭo gavāṃ bhāga ity ekāntam atisṛjati
1.1.1.32	śeṣaṃ prastarāya
1.1.1.33	mādho mopari parus ta ṛdhyāsam iti japati
1.1.1.34	devasya tvā savituḥ prasava iti viśākhāni prati lunāti saṃnakhaṃ muṣṭim
1.1.1.35	pṛthivyāḥ saṃpṛcas pāhīti tṛṇam antardhāya prastaraṃ sādayati
1.1.1.36	akalmāṣān darbhāṃl lunāti prabhūtān apradhūnayan
1.1.1.37	āchettā te mā riṣam iti japati
1.1.1.38	atas tvaṃ barhiḥ śatavalśaṃ virohety ālavān abhimṛśati
1.1.1.39	sahasravalśā vi vayaṃ ruhemety ātmānaṃ pratyabhimṛśati
1.1.1.40	ayupitā yonir iti śulbaṃ pratidadhāty ayugdhātu pradakṣiṇam
1.1.1.41	adityā rāsnāsīti śulbam anulomaṃ trir anumārṣṭi
1.1.1.42	yathālūnam amuto vā susaṃbhṛte tvā saṃbharāmīti śulbe barhis triḥ saṃbharati
1.1.1.43	ayupitā yonir iti prastaram
1.1.1.44	indrāṇyāḥ saṃnahanam ity antāṃ samāyamya pūṣā te granthim iti pradakṣiṇam āveṣṭayati
1.1.1.45	sa te māsthād iti paścātprāñcam upakarṣati
1.1.1.46	āpas tvām aśvinau tvām ṛṣayaḥ sapta mām ṛjuḥ / barhiḥ sūryasya raśmibhir uṣasāṃ ketum ārabhe / ity ārabhate
1.1.1.47	indrasya tvā bāhubhyām udyacha ity udyachate
1.1.1.48	bṛhaspater mūrdhnā harāmīti mūrdhany ādadhāti
1.1.1.49	urv antarikṣaṃ vīhīty eti
1.1.1.50	adityās tvā pṛṣṭhe sādayāmīti paścād aparasya sādayaty ano 'dho vā
1.1.1.51	barhir asi devaṃgamam ity uparyādadhāti
1.1.1.52	samūlair darbhaiḥ pālāśaṃ khādiraṃ rauhitakaṃ vāṣṭādaśadārvidhmaṃ saṃnahyati / trīṃś ca paridhīn yo yajñiyo vṛkṣas tasya sthaviṣṭho madhyamo drāghīyān dakṣiṇo 'ṇīyān hrasiṣṭha uttaraḥ
1.1.1.53	uparīdhmam ādadhāti
1.1.2.1	candrādarśane 'māvāsyāyām idhmābarhiḥ saṃnahyāparāhṇe piṇḍapitṛyajñena caranti prāgdakṣiṇācārāḥ
1.1.2.2	prācīnāvavīty uttarataḥpaścād dakṣiṇāgneḥ saṃstīrya pātrāṇi prayunakti pavitraṃ kṛṣṇājinam ulūkhalaṃ musalaṃ śūrpam udaṅkīm āyavanaṃ darvīṃ sphyam ekaikaṃ dakṣiṇaṃdakṣiṇam
1.1.2.3	dakṣiṇato 'gniṣṭham āruhyodaṅkyām ekapavitram avadhāya pūrayitvā bilaṃ nimārṣṭi
1.1.2.4	kṛṣṇājine patny avahanti / parāpāvam avivecayan sakṛt phalīkaroti
1.1.2.5	dakṣiṇāgnāv udaṅkīm adhiśritya pavitrāntarhite 'pa ānīya taṇḍulān opya mekṣaṇena prasavyaṃ paryāyuvañjīvataṇḍulaṃ śrapayati
1.1.2.6	ghṛtenānutpūtena navanītena votpūtena śṛtam abhighārya dakṣiṇata udvāsayati
1.1.2.7	dakṣiṇataḥpurastād dakṣiṇāgnes triṣu prakrameṣv aparimite vāvakāśe sphena sakṛt param uddhatyāvasiñcati
1.1.2.8	apayantv asurāḥ pitṛrūpā ye rūpāṇi pratimucyācaranti / parāpuro nipuro ye haranty agniṣ ṭān asmāt praṇunottu lokāt / ity agniṃ praṇayati
1.1.2.9	agreṇoddhatam avokṣite sādayati
1.1.2.10	samūleṣv anyān upasaṃyamya triḥ karṣūm agniṃ ca prasavyam uddhāvaṃ triḥ paristīrya karṣvām uddhavān āstṛṇāti
1.1.2.11	pratiparikramya savyam anvekaikam āharaty āyavanaṃ darvīm odanam āñjanam abhyañjanam ūrṇāstukam udakumbham
1.1.2.12	eta pitaro manojavā āganta pitaro manojavā ity āvāhayati
1.1.2.13	pariśrayed yady ādityaḥ sakāśe syāt
1.1.2.14	paretana pitaraḥ somyāsa ity udakumbhenāgniṃ prasavyaṃ triḥ pariṣiñcan paryeti
1.1.2.15	ayā viṣṭhety etayā nidhāya nidhāya trir apariṣiñcan pratiparyeti
1.1.2.16	śundhantāṃ pitaraḥ śundhantāṃ pitāmahāḥ śundhantāṃ prapitāmahā iti mūladeśe barhiṣas trīn udakāñjalīn ninayati
1.1.2.17	mekṣaṇenopahatya somāya pitṛmate svadhā nama iti juhoti
1.1.2.18	agnaye kavyavāhanāya svadhā nama ity asaṃsaktāṃ dakṣiṇārdhapūrvārdhe dvitīyāṃ hutvā mekṣaṇam anvadhyasyati kañcukāni pavitraṃ ca
1.1.2.19	darvyoddhṛtyoddhaveṣu piṇḍān nidadhāti / pitur nāmnāsāv etat te ye cātra tvānu tasmai te svadheti prathamaṃ pitāmahasya nāmnā sthavīyāṃsaṃ madhyamaṃ prapitāmahasya nāmnā sthaviṣṭhaṃ dakṣiṇam
1.1.2.20	dvayoḥ parayor nāmnī gṛhṇan mūladeśe lepaṃ nimārṣṭi
1.1.2.21	lupyate jīvatpituḥ piṇḍanidhānaṃ jīvatpitāmahasya vā / na jīvantam atidadyād yadi dadyād yebhya eva pitā dadyāt tebhyo dadyāt
1.1.2.22	yadi bandhunāma na viditaṃ svadhā pitṛbhyo diviṣadbhya iti tṛtīyam
1.1.2.23	yātra pitaraḥ svadhā tayā yūyaṃ mādayadhvam iti dakṣiṇāṃ diśam anvīkṣamāṇo japati
1.1.2.24	yeha pitara ūrk tasyai vayaṃ jyogjīvanto bhūyāsmety uktvāvartate
1.1.2.25	ā tamitor āste dakṣiṇāgnim anvīkṣamāṇaḥ
1.1.2.26	vyūṣmasu piṇḍeṣv amīmadanta pitara iti pratiparyāvartate
1.1.2.27	vāsasa ūrṇāṃ daśāṃ vābhyukṣya piṇḍadeśe nidadhāti
1.1.2.28	lomottaravayasaś chittvā vāsaso vā daśām ato no 'nyat pitaro mā yoṣṭeti nidadhyāt
1.1.2.29	āṅkṣv āsāv ity āñjanasya pratipiṇḍaṃ lepaṃ nimārṣṭy abhyaṅkṣvāsāv ity abhyañjanasya
1.1.2.30	mārjayantāṃ pitaro mārjayantāṃ pitāmahā mārjayantāṃ prapitāmahā iti pratipiṇḍaṃ trīn udakāñjalīn ninayati
1.1.2.31	ādhatta pitaro garbhaṃ kumāraṃ puṣkarasrajam / yathā pumān bhaved iha tathā kṛṇutoṣmapāḥ / iti madhyamaṃ piṇḍaṃ patnī prāśnīyāt
1.1.2.32	agnāv itarāv ādadhyād brāhmaṇo vā bhakṣayed apsu vā gamayet
1.1.2.33	uddhavān anuprahṛtya vīraṃ no datta pitara ity udaṅkīm avajighret
1.1.2.34	apa upaspṛśya namo vaḥ pitara iti namaskaroti
1.1.2.35	eṣā yuṣmākaṃ pitara iti diśam anudiśatīmā asmākam itītarāḥ
1.1.2.36	jīvā vo jīvanta iha santaḥ syāmeti japati
1.1.2.37	paretana pitaraḥ somyāsa iti pravāhayati
1.1.2.38	prajāpate na tvad ity etayopottiṣṭhati
1.1.2.39	akṣann amīmadanteti punareti
1.1.2.40	manasvatīr japann agne tam adyety etayā gārhapatyam upatiṣṭhate
1.1.2.41	abhyukṣya pātrāṇi dvedve pratipariharati
1.1.2.42	apy anāhitāgninā kāryaḥ
1.1.3.1	vedaṃ karoti vatsajñuṃ prasavyam āveṣṭya tūlair dakṣiṇottariṇaṃ / tūleṣu śulbaṃ pratinidhāya trir āveṣṭya saṃnahyaty uttaramuttaraṃ pradakṣiṇam
1.1.3.2	prādeśamātre śulbāt parivāsyotkare mūlāni gamayati tūlāni nidadaḥti
1.1.3.3	vedaṃ kṛtvā vediṃ karoti pūrvedyur amāvāsyāyām ottarasmāt parigrahāt
1.1.3.4	antarvedi śākhāyāḥ palāśāni viśātya mūlataḥ parivāsya tasyāntarvedi nyasyet
1.1.3.5	upaveṣaṃ ca kuryāt tena ca kapālāny upadadhāti
1.1.3.6	darbhamayaṃ pavitraṃ triguṇarajju śākhāyām anulomam avasṛjed granthim akurvan
1.1.3.7	etā ācarantīr madhumad duhānāḥ prajāvarīr yaśase viśvarūpāḥ / bahvīr bhavantīr upajāyamānā iha va indro ramayatu gāvaḥ / iha vo mahendro ramayatu gāva ity āyatīr anumantrayate
1.1.3.8	yavāgvaitāṃ rātrīṃ yajamāno 'gnihotraṃ juhoti / tasyāḥ piṇḍaṃ nidadhyāt
1.1.3.9	paristṛṇāti pūrvam agnim aparau ca
1.1.3.10	uttarato gārhapatyasya saṃstīrṇe dvedve prayunakti kumbhyau śākhāpavitraṃ nidāne dohanaṃ prokṣaṇīm
1.1.3.11	barhiṣaḥ pavitre kurute prādeśamātre same 'prachinnaprānte
1.1.3.12	oṣadhyā vaiṣṇave stha iti chinatti
1.1.3.13	viṣṇor manasā pūte stha ity adbhis trir anumārṣṭi
1.1.3.14	apaḥ srucy āsicyottānau pāṇī kṛtvāṅguṣṭhenopamadhyamayā cādāya devo vaḥ savitotpunātv ity etayā paccho 'pa utpunāti
1.1.3.15	śundhadhvam iti pātrāṇi prokṣati
1.1.3.16	dohanaṃ nidāne goduhe pradāyopasṛṣṭāṃ me prabrūtād vihāraṃ ca gāṃ copasṛṣṭāmantareṇa mā saṃcāriṣur iti brūyāt
1.1.3.17	upasṛjāmīty ukte poṣāya tveti vatsam avasṛjyamānam anumantrayate / ayakṣmā vaḥ prajayā saṃsṛjāmi rāyaspoṣeṇa bahulā bhavantīḥ
1.1.3.17	iti saṃgachamānām adityā rāsnāsīti nidīyamānām
1.1.3.18	upasīdāmīty ukte / ūrjaṃ payaḥ pinvamānā ghṛtaṃ ca jīvā jīvantīr upa vaḥ sadema / iti japati
1.1.3.19	vasūnāṃ pavitram asīti śākhāpavitram ādatte / dyaur asi pṛthivy asīty ukhām
1.1.3.20	mātariśvano gharma ity adhiśrayati / pavitram avadadhāti
1.1.3.21	anvārabhya vācaṃ yachati
1.1.3.22	prāk sāyaṃ pavitram ādadhāti tiryak prātaḥ
1.1.3.23	utsaṃ duhanti kalaśaṃ caturbilam iḍāṃ dhenuṃ madhumatīṃ svastaye / tad indrāgnī pinvatāṃ sūnṛtāvat tad yajamānam amṛtatve dadhātu / iti dhārāghoṣe japati
1.1.3.24	dugdhvānayati kumbhyām
1.1.3.25	dyauś cemaṃ yajñaṃ pṛthivī ca saṃduhātāṃ dhātā somena saha vātena vāyur yajamānāya draviṇaṃ dadhātv ity āsicyamāne japati
1.1.3.26	kām adhukṣa iti pṛchaty amūm itītaraḥ
1.1.3.27	sā viśvāyur astv asāv iti gor nāma gṛhṇāti sā viśvabhūr iti dvitīyasyāṃ sā viśvakarmeti tṛtīyasyām
1.1.3.28	samānaṃ dohanam
1.1.3.29	tisṛṣu dugdhāsu bahu dugdhīndrāya devebhyo havir iti trir uktvā vācaṃ visṛjate // mahendrāyeti vā
1.1.3.30	visṛṣṭavāg ananvārabhya tūṣṇīm uttarās tisro dohayati
1.1.3.31	hutaḥ stoka iti // sarvāsu dugdhāsu japati
1.1.3.32	saṃpṛcyadhvam ṛtāvarīr ūrmiṇā madhumattamāḥ / pṛñcatīḥ payasā payo mandrā dhanasya sātaye / iti dohanasaṃkṣālanaṃ kumbhyām ānayati
1.1.3.33	dṛṃha gā dṛṃha gopatiṃ mā vo yajñapatī riṣad ity udag vāsayati vartma kurvan
1.1.3.34	śītībhūtam agnihotroccheṣeṇa dadhnendrāya tvā bhāgaṃ somenātanacmīty ātanakti // mahendrāyeti vā
1.1.3.35	adastam asi viṣṇave tveti yavāgvāḥ piṇḍam avadadhāti
1.1.3.36	viṣṇo havyaṃ rakṣasvety uparyādadhāti
1.1.3.37	āpo jāgṛteti modakenāpidadhāti dārupātreṇāyaspātreṇa vā / yadi mṛnmayaṃ syāt tṛṇaṃ dāru vāntardadhyāt
1.1.3.38	prātardohāya vatsān apākaroti
1.1.3.39	upasarjanaprabhṛti samānam odvāsanāt
1.1.3.40	gārhapatye havīṃṣi śrapayaty āhavanīye juhoti
1.1.3.41	nāgnibhyo vyāvartetāvipariharan kuryāt
1.1.3.42	śulbārthe prādakṣiṇaṃ śulbaṃ rajjvarthe pradakṣiṇā rajjuḥ
1.1.3.43	prokṣaṇam utpavanaṃ saṃmārjanam iti triḥ
1.1.3.44	darbhaiḥ kuryād vaihārikāṇi vaihārikāṇi
1.2.1.1	śvobhūte paścād gārhapatyasyodīca uddhūya saṃstṛṇāti
1.2.1.2	saṃtatām ulaparājiṃ stṛṇāti dakṣiṇena vihāram āhavanīyasya pūrvārdhād dvitīyām uttareṇa vihāram agreṇāhavanīyaṃ dakṣiṇair uttarān avastṛṇāti
1.2.1.3	dakṣiṇā vedyaṃsād brahmaṇe saṃstṛṇāty aparaṃ yajamānāya paścārdhe patnyai
1.2.1.4	uttarataḥ saṃstīrṇād dakṣiṇā pavitracamasasphyakapālāgnihotrahavaṇīśūrpakṛṣṇājinaśamyolūkhalamusaladṛṣadupalavedakuṭarusruvajuhūpabhṛddhruvāprāśitraharaṇeḍāpātryājyadhānapātrīsaṃvapanapātrīḥ prakṣālya saṃstīrṇe dve dve prayunakti / kuṭarvantāny aparāṇi
1.2.1.5	khādiraṃ sphyasruvaṃ pālāśī juhūr āśvatthy upabhṛd vaikaṅkatī dhruvā
1.2.1.6	mūlato 'ratnimātradaṇḍāḥ pāṇitalamātrapuṣkarās tvacobilā dvyaṅgulakhātāś caturaṅgulocchrayāḥ / prādeśamātrāṇi prasravaṇāni / [ sarvā aratnimātrā vā ]
1.2.1.7	sphyo bhṛṣṭilo / varaṇasya śamyā
1.2.1.8	vepāya vām iti pāṇī prakṣālya camasenāpaḥ praṇayati / kāṃsyena brahmavarcasakāmasya godohanena paśukāmasya mārttikena puṣṭikāmasya pratiṣṭhākāmasya vā
1.2.1.9	vānaspatyo 'sīti camasam ādatte bārhaspatyam asīti kāṃsyaṃ pārthivam asīti mārttikaṃ ca
1.2.1.10	devebhyaḥ śundhasveti camasaṃ prakṣālayati devebhyaḥ śumbhasveti kāṃsyaṃ mārttikaṃ ca
1.2.1.11	uttarato gārhapatyasya pavitravati / yad vo revatī revatyaṃ yad vo haviṣyā haviṣyam / yad va ojo yac ca nṛmṇaṃ taṃ va ūrmi madhumantam / devayajyāyai juṣṭaṃ gṛhṇāmīty upabilaṃ camasaṃ pūrayati
1.2.1.12	devīr āpa ity apo 'bhimantrayate
1.2.1.13	brahmann apaḥ praṇeṣyāmi yajamāna vācaṃ yachety uktvā vācaṃ yachati
1.2.1.14	ko vaḥ praṇayati sa vaḥ praṇayatu kasmai vaḥ praṇayati tasmai vaḥ praṇayatu bṛhaspatir vaḥ praṇayatv iti manasā praṇayati
1.2.1.15	sphyam upayāmaṃ kṛtvā samaṃ prāṇair dhārayamāṇaḥ ko vo yunakti sa vo yunaktu kasmai vo yunakti tasmai vo yunaktu bṛhaspatir vo yunaktv iti yunakti
1.2.1.16	viśvebhyaḥ kāmebhyo devayajyāyai prokṣitāḥ sthety uttarataḥ pūrvasya sādayati
1.2.1.17	ulaparājyāvastṛṇāti
1.2.1.18	yajamāne prāṇāpānau dadhāmīty ādāya pavitre yathāyatanaṃ sphyapavitraṃ nidhāya saṃsīdantāṃ daivīr viśa iti pātrāṇi saṃsādayati
1.2.1.19	saṃtatām ulaparājim aparasmād adhy ā pūrvasmād yajñasya saṃtatir asi yajñasya tvā saṃtatyai stṛṇāmīti stṛṇāti
1.2.1.20	vānaspatyāsīti srucam ādatte // varṣavṛddham asīti śūrpam
1.2.1.21	urv antarikṣaṃ vīhīti vrajati
1.2.1.22	pratyuṣṭaṃ rakṣaḥ pratyuṣṭārātir ity āhavanīye niṣṭapati
1.2.1.23	dakṣiṇataḥpaścād aparasyāgniṣṭhān nirvapati / pātryā vā sphyam upakṛṣyānomantrāṃs tu japet
1.2.1.24	dhūr asīti dhuram abhimṛśaty uttarāṃ ca
1.2.1.25	udaṅṅ atikramya devānām asi vahnitamam ity uttarām īṣām ārabhya japati
1.2.1.26	viṣṇoḥ kramo 'sīti dakṣiṇaṃ cakre pādam ādadhāti
1.2.1.27	ahrutam asi havirdhānam ity ārohati
1.2.1.28	uru vātāyety avasārayati
1.2.1.29	mitrasya vaś cakṣuṣā prekṣa iti haviṣyān prekṣate vrīhīn yavān vā
1.2.1.30	śūrpe srucam ādhāya sruci pavitre [ nidhāya ] yajamāna havir nirvapsyāmīty uktvā havir nirvapaty agna iti pravasataḥ
1.2.1.31	devasya vaḥ savituḥ prasava ity agnihotrahavaṇyāṃ haviṣyān muṣṭinā trir āvapati tūṣṇīṃ caturtham
1.2.1.32	evaṃ dvitīyam agnīṣomīyaṃ paurṇamāsyām aindrāgnam amāvāsyāyām asaṃnayataḥ
1.2.1.33	saṃnayata indraṃ vā saṃnayata indraṃ mahendram ekeṣām indraṃ yajeta bubhūṣan
1.2.1.34	somayājināṃ mahendro devatā / somayājināṃ gataśrīr aurvo gautamo bhāradvājas te mahendraṃ yajeran
1.2.1.35	athetare saṃvatsaram indram iṣṭvāgnaye vratapataye 'ṣṭākapālaṃ nirupya te mahendraṃ yajeran
1.2.1.36	idaṃ devānām iti niruptān abhimṛśatīdam u naḥ saheti śeṣāny ato 'dhi nirvapati
1.2.1.37	dṛhantāṃ duryā ity avarohati
1.2.1.38	svāhā dyāvāpṛthivībhyām iti japati
1.2.1.39	nir varuṇasya pāśād iti niḥsarpati
1.2.1.40	svar abhivyakśam ity abhivīkṣate 'gnim ādityaṃ vā
1.2.1.41	urv antarikṣaṃ vīhīty eti
1.2.1.42	adityā va upasthe sādayāmīti paścād aparasya sādayati
1.2.2.1	anirmṛṣṭāyām āsicya viṣṇor manasā pūte stha itiprabhṛtibhir vyākhyātam utpavanam
1.2.2.2	utpūyāgnaye vo juṣṭān prokṣāmīti yathādevataṃ haviṣyān prokṣaty anabhiprokṣann aparam
1.2.2.3	agne havyaṃ rakṣasvety agreṇāparaṃ haviṣyān upsādayati
1.2.2.4	yad vo 'śuddha iti pātrāṇi prokṣati
1.2.2.5	uttānāni paryāvṛtya prokṣya pūrvāṇi pratiparyāvṛtyāsaṃcare srucaṃ nidhāyādityās tvag asīti kṛṣṇājinam ādatte grīvātaḥ
1.2.2.6	avadhūtaṃ rakṣa ity udakśasanam utkare trir avadhūnoti
1.2.2.7	adityās tvag asīti paścād utkarasyāstṛṇāti pratyaggrīvam uttaralomam
1.2.2.8	pratīcīṃ bhasadaṃ pratyasyati
1.2.2.9	na riktam avasṛjati
1.2.2.10	pṛthugrāvāsīty ulūkhalam ādadhāti
1.2.2.11	agner jihvāsīti haviṣyān muṣṭinā trir āvapati tūṣṇīṃ caturtham
1.2.2.12	bṛhadgrāvāsīti musalam ādatte
1.2.2.13	haviṣkṛtā trir avaghnann āhvayati
1.2.2.14	vācaṃ visṛjate yajamānaś ca
1.2.2.15	haviṣkṛd ehīti brāhmaṇasya haviṣkṛd āgahīti rājanyasya haviṣkṛd ādraveti vaiśyasya
1.2.2.16	patny avahanti pinaṣṭi ca
1.2.2.17	āgnīdhro dṛṣadupalaṃ samāhanti // kuṭarur asīty aśmānam ādatta // iṣam āvadeti pūrvārdha ūrjam āvadeti paścārdhe rāyaspoṣam āvadety upalām evaṃ navakṛtvaḥ saṃpātayati
1.2.2.18	jātatuṣeṣu varṣavṛddham asīti purastātpratyak śūrpam upohati
1.2.2.19	prati tvā varṣavṛddhaṃ vettv ity udvapati
1.2.2.20	parāpūtaṃ rakṣa ity utkare niṣpunāti
1.2.2.21	praviddho rakṣasāṃ bhāga iti tuṣān pravidhyate
1.2.2.22	puroḍāśakapāle tuṣān opyedam ahaṃ rakṣo 'vabādha idam ahaṃ rakṣo 'dhamaṃ tamo nayāmīty adhastāt kṛṣṇājinasyopavapati
1.2.2.23	vāyur va iṣa ūrje vivinaktv iti vivinakti
1.2.2.24	devebhyaḥ śundhadhvam iti triḥ phalīkaroti
1.2.2.25	ādānātprabhṛti kṛṣṇājinasya samānam āstaraṇān na bhasadaṃ pratyasyati
1.2.2.26	na riktam avasṛjati // dhiṣaṇāsi pārvatīti kṛṣṇājine dṛṣadam ādadhāti / na riktam avasṛjati // dhiṣaṇāsi pārvatī prati tvā pārvatī vettv iti dṛṣady upalām ādadhāti
1.2.2.27	adityāḥ skambho 'sīty udakśīrṣṇī śamyāṃ paścād upakarṣati
1.2.2.28	dhānyam asi dhinuhi devān iti trir adhivapati
1.2.2.29	prāṇāya tveti prācīm upalāṃ prohaty apānāya tveti pratīcīṃ pratikarṣati // vyānāya tveti madhyadeśe vyavagṛhṇāti
1.2.2.30	dīrghām anu prasṛtim iti saṃtataṃ prāñcaṃ dīrghaṃ pinaṣṭi
1.2.2.31	mitrasya vaś cakṣuṣāvekṣa iti piṣṭāny avekṣate
1.2.2.32	devo vaḥ savitā hiraṇyapāṇir upagṛhṇātv iti piṣṭāny avaśīryamāṇāny anumantrayate
1.2.2.33	aṇūni kurutād iti preṣyati
1.2.2.34	dhṛṣṭir asīty upaveṣam ādatte
1.2.3.1	nirdagdhaṃ rakṣa ity aṅgāram avasthāpayati
1.2.3.2	dhruvam asi pṛthivīṃ dṛṃheti tasmin kapālam upadhāyānvārabhyāpāgne 'gnim āmādaṃ jahīty aṅgāraṃ bahirbhasma nirasyati
1.2.3.3	agne devayajanaṃ vahety anyam adhikṛtyotsṛjati
1.2.3.4	dharuṇam asy antarikṣaṃ dṛṃheti pūrvaṃ dhartram asi divaṃ dṛṃheti pūrvārdhaṃ dharmāsi viśvā viśvāni dṛṃheti madhyamād dakṣiṇaṃ cid asīti paścārdhād uttaramadhyardhaṃ paricid asīti pūrvārdhād dakṣiṇaṃ viśvāsu dikṣu sīdeti paścārdhād dakṣiṇaṃ sajātān asmai yajamānāya pariveśayeti pūrvārdhād uttaramadhyardham
1.2.3.5	evam ekādaśakapālasya samānaṃ trayāṇām upadhānam
1.2.3.6	ekamātre madhyamād dakṣiṇe tathottare
1.2.3.7	caturthena mantreṇa dakṣiṇayoḥ pūrvam upadadhāti pañcamenottarayor aparaṃ ṣaṣṭhena dakṣiṇayor aparaṃ saptamenottarayoḥ pūrvam uttamena śeṣāni kuṣṭāsu pradakṣiṇam
1.2.3.8	vasūnāṃ rudrāṇām ity aṅgārān abhyūhati // tapyethām iti dve tapyasvety ekam
1.2.3.9	taptābhyo 'dhiśritya prātardohaṃ dohayati
1.2.3.10	niṣṭapyopyamānāyāṃ pātryām avadhāya pavitre devasya vaḥ savituḥ prasava iti piṣṭāni triḥ saṃvapati tūṣṇīṃ caturtham
1.2.3.11	vācaṃ yachaty ābhivāsanāt
1.2.3.12	piṣṭalepaṃ nidhāyotpūya taptā haryoṣ ṭvā vārābhyām utpunāmīti piṣṭāny utpunāti
1.2.3.13	vedopayāmaḥ sruveṇa praṇītānām āharati // sam āpā oṣadhībhir ity āsiñcati taptāś ca
1.2.3.14	adbhyaḥ pari prajātāḥ stha sam adbhiḥ pṛcyadhvam iti taptāḥ parisārayati
1.2.3.15	sīdantu viśa iti piṣṭāni saṃnayati
1.2.3.16	makhasya śiro 'sīti piṇḍam abhimṛśati
1.2.3.17	pūṣā vāṃ viśvavedā vibhajatv iti samau vibhajati
1.2.3.18	agnaye tveti dakṣiṇaṃ puroḍāśam abhimṛśati yathādevatam uttaram
1.2.3.19	idam ahaṃ senāyā abhītvaryā mukhamapohāmīti vedena kapālebhyo bhasmāpohati
1.2.3.20	gharmo 'si viśvāyur ity adhiśrayaty evam uttaram
1.2.3.21	ekaikaṃ karmobhayoḥ kuryāt
1.2.3.22	uru prathasveti yāvatkapālaṃ puroḍāśaṃ kūrmākṛtiṃ prathayati
1.2.3.23	saṃ te tanvā tanvaḥ pṛcyantām iti piṣṭalepenāvikṣārayaṃs triḥ primārṣṭi
1.2.3.24	dakṣiṇāgnāv ājyaṃ vilāpya gārhapatya upādhiśritya saṃpūya vedopayāmo 'ditir aśanāchinnapatrety ājyasthālīm ādatte
1.2.3.25	dakṣiṇā gārhapatyāt pavitravati pṛśnyāḥ payo 'sy agreguvas tasya te 'kṣīyamāṇasya pinvamānasya pinvamānaṃ nirvapāmīty ājyasthālyāṃ pavitravati nirvapati
1.2.3.26	pari vājapatir iti havīṃṣi triḥ paryagniṃ karoti
1.2.3.27	devas tvā savitā śrapayatv ity ulmukenābhitāpayati piṣṭalepaṃ ca
1.2.3.28	agniṣ ṭe tanvaṃ mā vinaid iti darbhais tvacaṃ grāhayati
1.2.3.29	na jvālān apohati
1.2.3.30	agne brahma gṛhṇīṣveti vedena sāṅgāraṃ bhasmanābhyūhati
1.2.3.31	avidahantaḥ śrapayateti preṣyati
1.2.3.32	vācaṃ viṣṛjate yajamānaś ca
1.2.4.1	paścād āhavanīyasya yajamānamātrīṃ vediṃ manasā parimimīte yathā havīṃṣi saṃbhaveyus tathā tiraścy aṇīyasīṃ purastāt
