#Text:Śāṅkhāyanaśrautasūtra
#Edition:Hillebrandt 1885–1899 (Reprint 1981)
#Data entry:M. Tokunaga
#Notes:Text of the edition restored by S. Sellmer; only l has been changed to ḍ where appropriate. Translation (Caland) completely aligned. Footnote positions are corrected, but the footnotes themselves are not. Some chapters in Book 14 are only summarized by Caland and thus not included in the translation.



1.1.1	yajñaṃ vyākhyāsyāmaḥ
1.6.2	deva savitar etaṃ tvā vṛṇate saha pitrā vaiśvānareṇendra pūṣan bṛhaspate pra ca vada pra ca yaja vasūnāṃ rātau syāma rudrāṇām omyāyāṃ svādityā ādityā / anehaso yad asya hotṛvūrye jihmaṃ cakṣuḥ parāpatāt / agniṣ ṭat punar ābharāj jātavedā vicarṣaṇir iti // pravṛto japitvā
1.6.3	upotthāyādhvaryor dakṣiṇena prādeśena dakṣiṇam aṃsam anvārabhya japati savyenāgnīdho dakṣiṇam / indram anvārabhāmahe hotṛvūrye purohitaṃ / yenāyann uttamaṃ svar devā aṅgiraso divaṃ / ṣaṣṭiś cādhvaryū navatiś ca pāśā antarā dyāvāpṛthivī vicṛttāḥ / sinanti pākam adhi dhīra emi syone me dyāvāpṛthivī ubhe ime // iti
1.6.4	ṣaṇ morvīr aṃhasaḥ pāntu dyauś ca pṛthivī cāhaś ca rātriś cāpaś cauṣadhayaś cety avasṛjya
1.6.5	aindrīm āvṛtam āvarta ādityasyāvṛtam anvāvarta iti dakṣiṇaṃ bāhum anvāvṛtya
1.6.6	nirastaḥ parāvasur yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmas tena saheti hotṛṣadanāc chuṣkaṃ tṛṇam ubhayataḥ praticchidya dakṣiṇāparam avāntaradeśaṃ nirasya
1.6.7	apa upaspṛśya
1.6.8	aśuṣkam udag agraṃ nidhāya
1.6.9	idam aham arvāvasoḥ sadasi sīdāmīty upaviśya
1.6.10	dakṣiṇottaram upasthaṃ kṛtvā prāñco pāṇī pragṛhya japati
1.6.11	namo dyāvāpṛthivībhyāṃ hotṛbhyāṃ pūrvasūbhyāṃ viśvakarmaṇau tanūpau me sthas tanvaṃ me pātaṃ mā mā hiṃsiṣṭaṃ mā mā saṃtāptam ity āhavanīyaṃ prekṣya gārhapatyaṃ ca
1.6.12	udak saṃsarpann āhaiṣa vām ākāśa iti
1.6.13	viśve devāḥ śāstana tad adya vāco namo mahadbhya iti japitvā
1.6.14	agnir hotā vettu agnir hotraṃ vettu prāvitraṃ sādhu te yajamānadevatā ity avasāya
1.6.15	yo 'gniṃ hotāram avṛthā ity upāṃśu
1.6.16	ghṛtavatīm adhvaryo srucam āsyasva devayuvaṃ viśvavārām īḍāmahai devān īḍe 'nyān namasyāma namasyān yajāma yajñiyān iti srucāv ādāpya pañca prayājān yajati
1.7.1	samidhaḥ samidho agna ājyasya vyantv iti prathamaḥ
1.7.2	tanūnapād agna ājyasya vetv iti dvitīyaḥ
1.7.3	narāśaṃso agna ājyasya vetv iti dvitīyo vasiṣṭhaśunakānām atrivadhryaśvānāṃ kaṇvasaṃkṛtīnāṃ rājanyānāṃ prajākāmānāṃ ca
1.7.4	iḍo agna ājyasya vyantv iti tṛtīyaḥ
1.7.5	barhir agna ājyasya vetv iti caturthaḥ
1.7.6	svāhāgniṃ svāhā somaṃ svāhāgniṃ svāhāgnīṣomau viṣṇuṃ vā svāhāgnīṣomau svāhendrāgnī svāhendraṃ mahendraṃ vā svāhā devā ājyapā juṣāṇā agna ājyasya haviṣo vyantv iti prayājayājyāḥ
1.8.1	agnir vṛtrāṇi tvaṃ somāsi satpatir ity ājyabhāgau vārtraghnau paurṇamāsyām
1.8.2	agniḥ pratnena soma gīrbhir ity amāvāsyāyāṃ vṛdhanvantau
1.8.3	juṣāṇo agnir ājyasya haviṣo vetu juṣāṇaḥ soma ājyasya haviṣo vetv iti yājye
1.8.4	agnir mūrdhety āgneyasya puronuvākyā
1.8.5	bhuvo yajñasyeti yājyā
1.8.6	agnīṣomāv imam ity upāṃśuyājasya puronuvākyā
1.8.7	juṣāṇāv agnīṣomāv ājyasya haviṣo vītām iti yājyā
1.8.8	idaṃ viṣṇur vaṣaṭ te viṣṇav iti vaiṣṇvasya
1.8.9	juṣāṇo vā
1.8.10	agnīṣomā savedasā yuvam etānīty agnīṣomīyasya
1.8.11	indrāgnī avasā pra carṣaṇibhya ity aindrāgnasya
1.8.12	endra sānasiṃ pra sasāhiṣa iti sāṃnāyyasya
1.8.13	mahān indro ya ojasā mahān indro nṛvad iti māhendrasya
1.8.14	indraṃ vo viśvato mādayasva haribhir itīndrasyāpratinidheḥ
1.9.1	piprīhi devān iti sviṣṭakṛtaḥ puronuvākyā
1.9.2	ayāḍ agnir agneḥ priyā dhāmāny ayāṭ somasya priyā dhāmāny ayāḍ agneḥ priyā dhāmāny ayāḍ agnīṣomayoḥ priyā dhāmāni viṣṇor vāyāl agnīṣomayoḥ priyā dhāmāny ayāḍ indrāgnyoḥ priyā dhāmāny ayāḍ indrasya priyā dhāmāni mahendrasya vā ayāḍ devānām ājyapānāṃ priyā dhāmāni yakṣad agner hotuḥ priyā dhāmāni yakṣat svaṃ mahimānam āyajatām ejyā iṣaḥ kṛṇotu so 'dhvarā jātavedā juṣatāṃ havir agne yad adya viśo adhvarasyeti yājyā
1.9.3	vaṣaṭkṛtyopasparśanam
1.10.1	iḍām upahvāsyamānasya dakṣiṇasya pāṇeḥ pradeśinyām anakti / uttame ca parvaṇi madhyame ca
1.10.2	vācaspatinā te hutasya prāśnāmīṣe prāṇāyeti pūrvam añjanam adharauṣṭhe nilimpati / manasas patinā te hutasya prāśnāmy ūrja udānāyety uttarauṣṭha uttaram
1.10.3	upaspṛśya
1.10.4	dakṣiṇenottareḍāṃ dhārayan
1.10.5	aprasāritābhir aṅgulibhir amuṣṭikṛtābhiḥ
1.10.6	svayaṃ pañcamam ādāya
1.10.7	mukhasaṃmitāṃ dhārayan hṛdayasaṃmitāṃ vā
1.11.1	upahūtaṃ bṛhat saha divā saha sūryeṇa saha cakṣuṣopa māṃ bṛhat saha divā saha sūryeṇa saha cakṣuṣā hvayatāṃ / upahūtaṃ vāmadevyaṃ sahāntarikṣeṇa saha vāyunā saha prāṇenopa māṃ vāmadevyaṃ sahāntarikṣeṇa saha vāyunā saha prāṇena hvayatām / upahūtaṃ rathantaraṃ saha pṛthivyā sahāgninā saha vācā saha paśubhir upa māṃ rathantaraṃ saha pṛthivyā sahāgninā saha vācā saha paśubhir hvayatām / upahūtaṃ sthāsnu bhuvanam upa māṃ sthāsnu bhuvanaṃ hvayatām / upahūtaṃ cariṣṇu bhuvanam upa māṃ cariṣṇu bhuvanaṃ hvayatāṃ / upahūtaḥ sakhā bhakṣa upa māṃ sakhā bhakṣo hvayatām / upahūtāḥ sapta hotrā upa māṃ sapta hotrā hvayantāṃ / upahūtā gāvaḥ sahāśiropa māṃ gāvaḥ sahāśirā hvayantām / upahūtā dhenuḥ sahaṛṣabhopa māṃ dhenuḥ sahaṛṣabhā hyayatām / upahūtā vāk saha prāṇenopa māṃ vāk saha prāṇena hvayatām / upahūtā vāk saha manasopa māṃ vāk saha manasā hvayatām / upahūteḍā vṛṣṭir upa mām iḍā vṛṣṭir hvayatāṃ / upahūteḍā taturir upa mām iḍā taturir hvayatāṃ / upahūtā he sāsi juṣasva meḍa iti japitveḍām upahvayate
1.12.1	iḍopahūtopahūteḍopāsmān iḍā hvayatām iḍopahūtā mānavī ghṛtapadī maitrāvaruṇī / brahma devakṛtam upahūtam / ḍaivyā adhvaryava upahūtā upahūtā manuṣyā ya imaṃ yajñam avānye ca yajñapatiṃ vardhān / upahūte dyāvāpṛthivī pūrvaje ṛtāvarī devī deva putre / upahūto 'yaṃ yajamāna uttarasyāṃ devayajyāyām upahūto bhūyasi haviṣkaraṇa idaṃ me devā havir juṣantām iti tasminn upahūta ity upahūya
1.12.2	avaghrāya
1.12.3	antar iḍaṃ catur avāniti
1.12.4	ante vā caturtham
1.12.5	iḍāsi syonāsi syonakṛt sā naḥ suprajās tve rājas poṣe dhāḥ / juṣṭe juṣṭiṃ te gameya upahūta upahavaṃ te 'śīya mukhasya tvā dyumnāya surabhy āsyatvāya prāśnāmīty uttareḍāṃ prāśya
1.12.6	itarāṃ yajamānapañcamāḥ prāśya
1.12.7	ā mārjanād vāgyamanam
1.12.8	idam āpa iti tṛcenāntar vedi pavitravati mārjayante
1.12.9	parihṛte brahmabhāge 'nvāhāryam āharanti
1.12.10	eṣa dakṣiṇākālaḥ sarvāsām iṣṭīnām
1.12.11	nānvāhāryo 'sty ādiṣṭa dakṣiṇāsu
1.12.12	eṣā te 'gne samit tayā vardhasva cā ca pyāyasva / vardhiṣīmahi ca vayam ā ca pyāsiṣīmahi // iti samidham anumantrya
1.12.13	trīn anuyājān yajati
1.13.1	devaṃ barhir vasuvane vasudheyasya vetu
1.13.2	devo narāśaṃso vasuvane vasudheyasya vetu
1.13.3	devo 'gniḥ sviṣṭakṛt sudraviṇā mandraḥ kaviḥ satyamanmāyajī hotā hotur hotur āyajīyān agne yān devān ayāḍ yān apiprer ye te hotre amatsatety avasāya
1.13.4	tāṃ sasanuṣīṃ hotrāṃ devaṃgamāṃ divi deveṣu yajñam erayemaṃ sviṣṭakṛc cāgne hotā bhūr vasuvane vasudheyasya namovāke vīhīty anuyājayājyāḥ
1.14.1	sūktā brūhīty uktaḥ
1.14.2	idaṃ dyāvāpṛthivī bhadram abhūd ārdhma sūktavākam uta namovākam ṛdhyāsma sūktocyam agne tvaṃ sūktavāg asīty avasāya
1.14.3	upaśrutī divaspṛthivyor omanvatī te asmin yajñe yajamāna dyāvāpṛthivī stām ity avasāya
1.14.3	śamgayī jīra dānū atrasnū apravede urugavyūtī abhayaṃkṛtāv ity avasāya
1.14.5	vṛṣṭiḍyāvā rīty āpā śambhuvau mayobhuvā ūrjasvatī payasvatī sūpacaraṇā ca svadhicaraṇā ca tayor āvidīty avasāya
1.14.6	agnir havir ajuṣatāvīvṛdhata maho jyāyo 'kṛta
1.14.7	somo havir ajuṣatāvīvṛdhata maho jyāyo 'kṛta
1.14.8	agnir havir ajuṣatāvīvṛdhata maho jyāyo 'kṛta
1.14.9	agnīṣomau havir ajuṣetām avīvṛdhetāṃ maho jyāyo 'krātām
1.14.10	viṣṇur vā
1.14.11	agnīṣomau havir ajuṣetām avīvṛdhetāṃ maho jyāyo 'krātām
1.14.12	indrāgnī havir ajuṣetām avīvṛdhetāṃ maho jyāyo 'krātām
1.14.13	indro havir ajuṣatāvīvṛdhata maho jyāyo 'kṛta / mahendro vā
1.14.14	devā ājyapā ājyamajuṣantāvīvṛdhanta maho jyāyo 'krata
1.14.15	agnir hotreṇa havir ajuṣatāvīvṛdhata maho jyāyo 'kṛta
1.14.16	asyām ṛdhad dhotrāyāṃ devaṃgamāyām āśāste 'yaṃ yajamānaḥ
1.14.17	asāv asāv iti nāmanī yajamānasyābhivyāhṛtyottarāṃ devayajyām āśāste bhūyo haviṣkaraṇam āśāsta āyur āśāste suprajās tvam āśāste divyaṃ dhāmāśāste
1.14.18	yad anena haviṣāśāste tad aśyāt tad ṛdhyāt tad asmai devā rāsantāṃ tad agnir devo devebhyo vanutāṃ vayam agneḥ pari mānuṣāḥ
1.14.19	iṣṭaṃ ca vītaṃ cābhūd ubhe cainaṃ na iti vā dyāvāpṛthivī aṃhasaḥ pātām eha gatir vāmasyedaṃ ca namo devebhya iti
1.14.20	nama upeti barhiṣy añjaliṃ nidhāya japati
1.14.21	śaṃyor brūhīty uktas tac chaṃyor iti śaṃyor vākam uktvopaspṛśya
1.14.22	srug ādāpanādi mandrayājyabhāgāntam
1.14.23	paraṃ madhyamayā
1.14.24	anuyājādy uttamayā
1.15.1	upāṃśu gārhapatye patnīsaṃyājaiś caranti
1.15.2	somaṃ tvaṣṭāraṃ devānāṃ patnīr agniṃ gṛhapatim iti yajati
1.15.3	rākāsinīvālyau prajākāmasya pūrve gṛhapateḥ
1.15.4	ā pyāyasva saṃ te payāṃsīha tvaṣṭāraṃ tan nas turīpaṃ devānāṃ patnīr uta gnā vyantu rākām ahaṃ yās te rāke sinīvāli yā su bāhur agnir hotā gṛhapatir vayam u tvā gṛhapata iti
1.15.5	yathā ha tyad vasava iti japitveḍām upahvayate
1.15.6	upahūteyaṃ yajamānīti vā vikāraḥ
1.15.7	iḍāntāḥ patnīsaṃyājāḥ
1.15.8	śaṃyvantā vā
1.15.9	pra tvā muñcāmīti vedaṃ vimucya yoktram
1.15.10	añjalau patnyāḥ kṛtvā vedaṃ ca muktam
1.15.11	adbhir vedayoktre pariṣiñcañ japati
1.15.12	kāmāya tvā vedo 'si yena tvaṃ veda devebhyo vedo 'bhavas tenāsmabhyaṃ veda edhi / vedo 'si vittir asi videyaṃ karmāsi karaṇam asi kriyāsaṃ sanir asi sanitāsi saneyam
1.15.13	ghṛtavantaṃ kulāyinaṃ rāyaspoṣaṃ sahasriṇaṃ / vedo dadātu vājinaṃ // iti vede patnīṃ vācayati
1.15.14	sā tṛṇāni pragṛhyāntareṇorūṇyasyate
1.15.15	tantuṃ tanvann ity uttareṇa gārhapatyam ā barhiṣaḥ stīrtvā
1.15.16	āpṛṇo 'si saṃpṛṇaḥ prajayā mā paśubhir ā pṛṇeti vedaśeṣam upasthāya
1.15.17	etenāgne brahmaṇā / ayāḍ yajñaṃ jātavedā antaraḥ pūrvo 'smin niṣadya / sanvan saniṃ suvimucā vi muñca dhehy asmabhyaṃ draviṇaṃ jātavedaḥ // ity āhavanīyam upasthāya
1.15.18	upaspṛśyotsṛjyate
1.16.1	vyākhyātau darśapūrṇamāsau prakṛtir iṣṭipaśubandhānām
1.16.2	anvayasya prakṛtir ity ākhyā
1.16.3	antareṇaājyabhāgau sviṣṭakṛtaṃ ca yad ijyate tam āvāpa ity ācakṣate tat pradhānam
1.16.4	tad aṅgānītarāṇi
1.16.5	teṣām abhinnakāle 'the vibhavaḥ
1.16.6	tantralakṣaṇaṃ tat
1.16.7	pradānam uccâvacābhir devatābhiḥ saṃyujya śrūyate
1.16.8	tatra devatāvikāre taddevate yājyāpuronuvākye
1.16.9	nigamasthāneṣu ca sā devatopalakṣyate
1.16.10	āvāhana uttame prayāje sviṣṭakṛn nigade sūktavāke cejyamānā devatā nigacchanti tasmān nigamasthānāni
1.16.11	anukrāmantaś ca vikārān vyākhyāsyāmaḥ
1.16.12	paurṇamāsīvikāra ity ukte vārtraghnau pratīyāt
1.16.13	amāvāsyāvikāra iti vṛdhanvantau
1.16.14	anādeśe vikalpabhūtau
1.16.15	devatātaḥ
1.16.16	haviṣṭo vā
1.16.17	saṃnipāte haviṣṭaḥ
1.16.18	sāmānyān niyamaḥ
1.16.19	sāptadaśyaṃ ca sāmidhenīnām
1.16.20	iṣṭipaśubandheṣu vacanād anyat
1.16.21	kāmyāsūpāṃśuhaviṣṭā
1.16.22	anukrāmantaś ca vyākhyāsyāmaḥ
1.17.1	codanāprakaraṇe haviṣāṃ pratīkagrahaṇaṃ yājyāpuronuvākyānāṃ na ced anyo 'rthasaṃyogaḥ
1.17.2	dviprabhṛtiṣu codanānupūrvyeṇa
1.17.3	daivatena
1.17.4	liṅgena ca
1.17.5	upasṛṣṭāsu devatāsv anadhigachaṃs talliṅge daivatena tuṣyet
1.17.6	upasṛṣṭās tu nigacchanti
1.17.7	abhīkṣṇaṃ caikaikasyai devatāyai haviś codyate tatra ye prathamopadiṣṭe yājyāpuronuvākye te sarvatra pratīyāt
1.17.8	na ceṣṭayaḥ pṛthaktvataḥ śakyāḥ parisaṃkhyātum
1.17.9	tatrānādiṣṭayājyāpuronuvākyāsu gāyatrītriṣṭubhau taddevate parīchet
1.17.10	uṣṇigbṛhatyau vā parihāpya
1.17.11	varṣīyasī tu yājyā
1.17.12	same vā
1.17.13	yatraiteṣāṃ lakṣaṇānāṃ kiṃcit syāt
1.17.14	huve havāmahe śrudhy āgahyedaṃ barhir niṣīda devatāṇāmeti puronuvākyālakṣaṇāni
1.17.15	addhi piba juṣasva matsvāvṛṣāyasva vīhi pra devatāṇām eti yājyālakṣaṇāni
1.17.16	purastāllakṣaṇā puronuvākyā
1.17.17	upariṣṭāllakṣaṇā yājyā
1.17.18	anadhigachaṃs taddevate namrābhyāṃ yajet
1.17.19	imam ā śṛṇudhī havaṃ yat tvā gīrbhir havāmahe / edaṃ barhir niṣīda naḥ // stīrṇaṃ barhir ānuṣag ā sadeta upeḍānā iha no adya gaccha / aheḍanā manasedaṃ juṣasva vīhi havyaṃ prayatam āhutaṃ naḥ // ity ūhed dvidevatabahudevateṣu
1.17.20	prākṛtīr vā abhisaṃnamet prākṛtīr vābhisaṃnamet
2.1.1	vasante brāhmaṇasyāgnyādheyam
2.1.2	grīṣme kṣatriyasya
2.1.3	varṣāsu vaiśyasya
2.1.4	śaradi vā
2.1.5	śiśiraḥ sarvavarṇānām
2.1.6	yāthākāmyam ṛtūnāṃ somena yakṣyamāṇasya
2.1.7	amāvāsyāyāṃ paurṇamāsyāṃ vā dadhīta
2.1.8	śuddhapakṣe vā puṇye nakṣatre
2.1.9	kṛttikāprabhṛtīni trīṇi phalgunīprabhṛtīni ca
2.2.1	atheṣṭikālāḥ
2.2.2	sadyo dvādaśa ahe māsa rtau saṃvatsare vā
2.2.3	agnaye pavamānāyeṣṭiḥ
2.2.4	paurṇamāsī vikāraḥ
2.2.5	agna āyūṃṣy agne pavasva
2.2.6	taṃ hi śaśvanta īḍate te syāma ye 'gnaya iti sviṣṭakṛtaḥ
2.2.7	agnaye ca pāvakāyāgnaye ca śucaye dvitīyā
2.2.8	amāvāsyāvikāraḥ
2.2.9	agne pāvaka sa naḥ pāvaka
2.2.10	agniḥ śucivratatama udagne śucayaḥ
2.2.11	agnim agniṃ havīmabhir agnināgniḥ samidhyata iti sviṣṭakṛtaḥ
2.2.12	aditaye tṛtīyā
2.2.13	tvam agne saprathāḥ soma yās ta iti sadvantāv ājyabhāgau
2.2.14	uta tvām adite mahi / mahīm ū ṣu mātaraṃ suvratānām ṛtasya patnīm avase huvema / tuvikṣatrām ajarantīm urūcīṃ suśarmāṇam aditiṃ supraṇītim
2.2.15	preddho agna imo agna iti virājau sviṣṭakṛtaḥ
2.2.16	catasraḥ kurvanto 'gnaye pathamām
2.2.17	agne dyumnenopa tvā juhvaḥ
2.2.18	arcantas tvāgniṃ stomeneti sviṣṭakṛtaḥ
2.3.1	prathame vā samānatantre
2.3.2	madhyame vā
2.3.3	dvihaviṣo vā
2.3.4	ādityasyaindrāgno dvitīyo brāhmaṇasya
2.3.5	agnīṣomīyo vā
2.3.6	aindro rājanyasya
2.3.7	vaiśvadevo vaiśyasya
2.3.8	viśve devāsaḥ stīrṇe barhiṣi
2.3.9	āgneyī vā dvayoḥ pūrvā
2.3.10	ājyena tanūdevatāḥ purastāt puroḍāśasyāgniṃ pavamānaṃ pāvakaṃ ca śuciṃ copariṣṭāt
2.3.11	viśvebhir agne agnibhir agne viśvebhir agnibhir iti sviṣṭakṛtaḥ
2.3.12	aditaye dvitīyā
2.3.13	amāvāṃsyāvikāraḥ
