#Text:Drāhyāyaṇaśrautasūtra
#Edition:Reuter, Vira
#Data entry:?



1.1.1	atha vidhyavyapadeśe sarvakratvadhikāraḥ
1.2.24	adhvaryusaṃpraiṣaṃ sarvatrākāṅkṣet subrahmaṇyāyām
1.2.25	raśmī dhārayaṃś chākhayā preṣyed gāvau
1.2.26	dakṣiṇaṃ pūrvaṃ
1.2.27	subrahmaṇyom iti trir āhvayet prāci vartamāne madhyamayā vācā
1.2.28	ṣaṭkṛtvaḥ pratīci
1.2.29	pūrveṇa patnīśālāṃ vimukte chadiṣi śākhām avaguhya tām evaiṣām anutkramyāvyavāyann agnīṣomau yathārthaṃ syāt
1.3.1	athaitad rājavāhanaṃ subrahmaṇyāya dadyād dakṣiṇāvatsu karmasaṃyogāt
1.3.2	ātithyāyāṃ saṃsthitāyāṃ dakṣiṇasya dvārabāhoḥ parastāt tiṣṭhann antarvedideśe 'nvārabdhe yajamāne patnyāṃ ca subrahmaṇyom iti trir uktvā nigadaṃ brūyāt
1.3.3	indrāgaccha hariva āgaccha medhātithermeṣavṛṣaṇaśvasya mene gaurāvaskandinn ahalyāyai jāra kauśikabrāhmaṇa gautamabruvāṇeti
1.3.4	etāvadahe sutyāmiti yāvadahe syāt
1.3.5	adyeti samānāhani
1.3.6	pūrvayoḥ praṇavāntayorviramet
1.3.7	mene bruvāṇeti ca
1.3.8	āgneyyāṃ ṣaṇe jāreti ca
1.3.9	pṛthagyajatiśabdeṣu ca
1.3.10	devā brahmāṇa āgacchatāgacchatāgacchateti gautamaḥ
1.3.11	āgaccheti pūrvaṃ devāhvānāddhānaṃjayyaḥ
1.3.12	āgaccha maghavannityeke
1.3.13	evaṃ trirāhūya patnīyajamānāvupahavamicchamānāvupahūya yathārthaṃ syāt
1.3.14	upahūta ityupahavaḥ
1.3.15	evaṃ sarveṣūpasadanteṣu
1.3.16	yāś cordhvam upasadbhyaḥ
1.3.17	utkare tu tatra tiṣṭhan
1.3.18	prāk ca sutyādeśānnāmagrāho 'gnīṣomīyavapāyāṃ hutāyāṃ parihṛtāsu vasatīvarīṣu prātaranuvākopakramaṇavelāyāmasau yajata iti
1.3.19	pratyekaṃ gṛhṇīyādyajamānanāmadheyāni yāni syuḥ
1.3.20	amuṣya putraḥ pautro napteti pūrveṣāṃ
1.3.21	athāvareṣāṃ yathājyeṣṭhaṃ strīpuṃsānāṃ ye jīveyuḥ
1.3.22	janiṣyamāṇānām ityanta uktvā sutyādeśaprabhṛti samāpayet
1.3.23	arthanirvacanam uccāntam
1.3.24	vaibhakte ca syādau vaibhaktaścaiva
1.3.25	uccācca nīce nīcam
1.3.26	janiṣyamāṇānāmiti madhye dve
1.3.27	yajeścādiḥ
1.3.28	dakṣiṇāsu codito 'nuvrajan dakṣiṇāḥ sanāmagrāhāmāhvayet
1.3.29	praṇavanāmāni vā
1.3.30	havirdhānapravartanāgnīṣomapraṇayanayośca subrahmaṇyetyeke
1.3.31	anāhvānamācāryāḥ prātaranuvākāntā subrahmaṇyeti
1.4.1	sādyaskreṣv agnīṣomīyāyām iṣṭau vapākālājyabhāgayor hutayoḥ saṃsthitāyāṃ vetyeke
1.4.2	luptā tvadhikaraṇāpāyāt
1.4.3	agniṣṭutsvāgneyo nigadaḥ
1.4.4	tatra gautamīyam
1.4.5	agna āgaccha rohitābhyāṃ bṛhadbhāno dhūmaketo jātavedo vicarṣaṇa āṅgirasabrāhmaṇāṅgirasabruvāṇeti prāk sutyādeśāt
1.4.6	devānāṃ sthāne 'gnayaḥ
1.4.7	atha dhānañjayyo 'gna āgaccha rohitava āgaccha bharadvājasyāja sahasaḥ sūno vārāvaskandinnuṣaso jāreti
1.4.8	āṅgirasaprabhṛti samānam
1.4.9	indraṃ śakreti brūyād viśva iti devān anirukteṣu
1.4.10	aniruktaṃ prātaḥsavanayośca
1.4.11	abhiṣecanīyadaśapeyāvantareṇa sadā nāmagrāhaḥ
1.4.12	ahargaṇeṣvaharādyantayorāhvayet
1.4.13	uttarārthāharantikī
1.4.14	agnīṣomīyaprabhṛtyahīneṣu sarvāḥ sanāmagrāhāḥ
1.4.15	dīkṣānupūrveṇa dīkṣitānāṃ satreṣu nāmagrāhaḥ
1.4.16	ūrdhvam atirātrād agrahaṇam
1.4.17	tasyānte śvaḥsutyā gautamasya
1.4.18	nārmedhānta eke
1.4.19	adyasutyā śāṇḍilyasya
1.4.20	anāhvānaṃ dhānañjayyaḥ
1.4.21	tisṛṣu cottamāsu nāmagrāhaḥ
1.4.22	uttamayor iti gautamaḥ
1.4.23	tathā saty agnīṣomīyavapāyām agrahaṇaṃ dhānaṃjayyaḥ
1.4.24	anāhvānaṃ vā
1.4.25	sarvatra satreṣv agrahaṇaṃ śāṇḍilyaḥ
1.4.26	ūrdhvam atirātrād āgneyy ekā dvitīye pañcadaśarātre dve vā
1.4.27	sarvāḥ prāk trikadrukebhyas tṛtīye
1.4.28	kauṇḍapāyinatāpaścitayor dvādaśāhe sutyeti viditvā parimāṇāhvānaṃ dhānañjayyaḥ / sutyām āgacchetītarāḥ
1.4.29	ūrdhvaṃ cātirātrāt prathamasya sārasvatasya prāk śvaḥsutyāyāḥ
1.4.30	kauṇḍapāyinasārasvatayor iṣṭyayaneṣu sutyāvacchāṇḍilyaḥ
1.4.31	tathāgnihotramāse tathāgnihotramāse
2.1.1	sarvatrānādeśe parisāmāni prastotā gāyet svādhyāyavat svāsu
2.1.2	tṛcāpattīni tṛceṣu triritarāṇi
2.1.3	śārṅgārūḍhavad āṅgirase vā trir abhyasyed antarā parācā
2.1.4	tathā ca hotā
2.1.5	liṅgopapattiś caivam
2.1.6	antareṇa cātvālotkarau saṃcaraḥ sarvatrānādeśe
2.1.7	tadāpnānaṃ tīrtham
2.1.8	agnau cīyamāne paścimena pucchaṃ gatvā dakṣiṇe 'pikakṣe tiṣṭhed yatra vopadadhyuḥ
2.1.9	paścimena pakṣāv apikakṣau
2.1.10	pūrveṇopaplavau
2.1.11	puṣkarapalāśa upadhīyamāne hiraṇmaye puruṣe svayamātṛṇṇāsu ca śarkarāsu vyāhṛtisāmāni gāyed yajamānaṃ satyaṃ puruṣo bhūr bhuvaḥ svar ity etāsu pṛthak
2.1.12	teṣāṃ sthāne svayaṃ cinvāna ṛtanidhanam ājyadohaṃ puruṣavratam ekānugānaṃ rathantaraṃ vāmadevyaṃ bṛhad iti
2.1.13	rathantaraprabhṛtīni vikalpante lokasāmabhir āvṛttaiḥ
2.1.14	saṃcitam agniṃ dakṣiṇena gatvā agna āyūṃṣīti pratyaṅmukhas tiṣṭhañchirasi gāyatraṃ gāyen niruktam
2.1.15	pratyāvrajya rathantaraṃ dakṣiṇe pakṣa udaṅmukhaḥ paścād vā prāṅmukhaḥ
2.1.16	paścimena pucchaṃ gatvā bṛhaduttare pakṣe dakṣiṇāmukhaḥ paścād vā prāṅmukhaḥ
2.1.17	pratyāvrajya yajñāyajñīyaṃ pucche saṃvatsaraś ced daikṣaḥ sautyo vā
2.1.18	ṛtuṣṭhāyajñāyajñīyam anyatra
2.1.19	vāmadevyaṃ dakṣiṇe 'pikakṣe
2.1.20	prajāpatihṛdayam uttare
2.1.21	etāni gautama uttareṇāgniṃ gatvā
2.1.23	etānyeva pradakṣiṇaṃ pratyantād dhānañjayyaḥ
2.1.23	yajñāyajñīyaṃ pucche
2.1.24	prajāpatihṛdayasthāne ca vāmadevyam
2.1.25	dakṣiṇenāgniṃ gatvā gautamīye vyatyayaṃ ye pakṣayoḥ śāṇḍilyaḥ
2.1.26	śirasi ca gītvottare pakṣe
2.1.27	yathāgītam itarāṇi
2.1.28	uttare copaplave svaṃ hṛdayadeśam ālabhya prajāpater hṛdayam
2.1.29	adhvaryupathe śyaitam
2.2.1	pravargyavaty uttareṇa samrāḍāsandīṃ gatvā paścāt tiṣṭhann adhvaryupreṣitas tyagnāyir iti gāyet
2.2.2	padāya padāya stobhet
2.2.3	nidhanāyaiva staubhīṃ vācaṃ visṛjet
2.2.4	upagrahaprabhṛtīni svarayantam upeyur ye gharma upayuktāḥ syuḥ
2.2.5	patnī ca
2.2.6	evaṃ madhye
2.2.7	prāpya cāhavanīyāyatanam
2.2.8	pariṣicyamāne 'pa upaspṛśya vārṣāharam
2.2.9	iṣṭāhotrīyaṃ pariṣikte
2.2.10	tasya sarve nidhanam upeyuḥ
2.2.11	dvīpaṃ ced gharmapātrāṇi hareyuḥ saṃtatāny eva gāyen nākāṅkṣet pariṣecanam
2.2.12	śyaitaṃ pratyāvrajan
2.2.13	tṛce vaikasyāṃ vā yajamāno nidhanam anūpeyāt
2.2.14	pūrvayā dvārā prapadyottareṇāgnīn gatvā paścād gārhapatyasya tiṣṭhan mahāvīrāyatanaṃ prekṣamāṇo vāmadevyaṃ gāyed iti dhānañjayyaḥ
2.2.15	śyaitāntānīti śāṇḍilyaḥ
2.2.16	gaṇaḥ sāmānyuttarāṇi
2.2.17	ābhirūpyāt kartavyānītyeke
2.2.18	na vā kuryāt
2.2.19	sve vā yajñe kuryādityeke
2.2.20	yathākāmī vā
2.2.21	dīkṣaṇīyāyāṃ tārkṣyasāmanī gāyet tyam ū ṣv ity ete
2.2.22	prāyaṇīyāyāṃ pravadbhārgavaṃ
2.2.23	udayanīyāyām udvat
2.2.24	ātithyāyāṃ gāyatrīsāmauśanam
2.2.25	añjanti gharmaṃ tatra śārṅgam
2.2.26	rajatajātarūpe upadadhati tacchukracandre
2.2.27	abhīndhate tad gharmasya tanvau
2.2.28	rucitaṃ prāhus tad gharmasya vā rocanamindrasya veti
2.2.29	dhenumupasṛjanti taddhenu
2.2.30	tasya devatāsu sopāyaṃ stobham āhared anupāyaṃ pādāyābhyasyed uttamaṃ pādaṃ pañcanidhanavad iti gautamaḥ
2.2.31	samasyetpadadevate iti śāṇḍilyaḥ
2.2.32	nottamaṃ pādaṃ punarabhyasyediti vārṣagaṇyaḥ
2.2.33	śeṣaṃ yathā marutāṃ bhūtau tathā samāpayet
2.2.34	paya āharanti tatpayaḥ
2.2.35	āsiñcanti tat sindhuṣāmā tvā viśantv indava iti
2.2.36	śaphābhyāṃ parigṛhṇanti tad vasiṣṭhasya śaphāviti
2.2.37	hriyamāṇe vratapakṣau
2.2.38	hute 'śvinorvrate ahorātrayorvā
2.2.39	rauhiṇābhyāṃ puroḍāśābhyāṃ caranti tad rājanarauhiṇake
2.2.40	parigharmyaṃ samrāḍāsandyāṃ samāropayanti tad ārūḍhavad āṅgirasam ita eta iti svarṇidhanaṃ
2.2.41	agniṃ praṇayanti tatrāgnervratam
2.2.42	agnīṣomau tatrobhayorvrate
2.2.43	sutyāyāṃ yajñasārathi prāk prātaranuvākopākaraṇādāgnīdhrīye 'har ahaḥ
2.2.44	satre satrasyarddhi
2.2.45	ukṣā ced anubandhya aukṣṇorandhre
2.2.46	ṛṣabha ārṣabham
2.2.47	unnate traikakubham
2.2.48	vaśāyāṃ vāśam
2.2.49	aja ājigaṃ
2.2.50	meṣa aurṇāyavam
2.2.51	payasyāyāṃ svāraṃ payonidhanam
2.2.52	udavasānīyāyāmudvaṃśīyam
2.2.53	upakramya samāpayed ā krator apavargāt
2.3.1	audumbarīm ucchrayiṣyan pūrveṇa devayajanaṃ gacched dakṣiṇataś ced asyāvasathaḥ syāt
2.3.2	uttareṇa yadyanyataḥ
2.3.3	pūrvau sadaso dvāryau śvabhrāv antareṇa prapadyāgreṇaudumbarīṃ gatvodaṅmukhastiṣṭhannadhvaryuṇā sahocchrayeddakṣiṇottarottānābhyāṃ pāṇibhyāṃ dyutānastveti
2.3.4	āyor iti śvabhre 'vadadhyāt
2.3.5	avadhāya japen namaḥ samudrāya namaḥ samudrasya cakṣase mā mā yūnarvā hāsīd ūrg asy ūrjodā ūrjaṃ me dehy ūrjaṃ me dhehy annaṃ me dehy annaṃ me dhehīti
2.3.6	tāṃ na visṛjed āvacchādanāt
2.3.7	adhvaryuṇābhihutāyāṃ juhuyāt tasyaivāvṛtāntareṇa viśākhe
2.3.8	ghṛtena dyāvāpṛthivī āprīṇāthāṃ svāheti pūrvāṃ prajāpataye svāhetyuttarām
2.3.9	anyatarāṃ vā svāhākāradvitīyām
2.3.10	yathā bhūmimājyaṃ prāpsyatīti
2.3.11	ājyaṃ homacodanāsv anādeśe
2.3.12	adhastādviśākhasya parigṛhya japeddivi devān dṛṃha mayi prajāmiti
2.3.13	antarikṣe vayāṃsi dṛṃha mayi paśūniti madhye
2.3.14	pṛthivyāmadhyauṣadhīr dṛṃha mayi sajātāniti mūle
2.3.15	ūrdhvaṃ homād yājamānaṃ dhānaṃjayyaḥ
2.3.16	svayamiti gautamaśāṇḍilyau yāṃ vā kāṃcid ṛtvig āśiṣam āśāste yajamānasyaiva seti
2.3.17	avacchādyamānāyāṃ divyaṃ chadmāsi saṃtani nāma viśvajanasya chāyā namaste 'stu mā mā hiṃsīr iti
2.3.18	dakṣiṇena śvabhrān gatvāparau dvāryāvantareṇa prapadyaitat kuryāditi śāṇḍilyaḥ
2.3.19	uttareṇeti dhānaṃjayyaḥ
2.3.20	gautamīyamitarat
2.3.21	yathaitaṃ niṣkrāmet
2.4.1	yūpam ucchrīyamāṇam anumantrayeran nṛmaṇa ūrdhvabharasaṃ tveti
2.4.2	etānyevohasthānāni yāvantaḥ syuḥ
2.4.3	yatra tiṣṭhanta ucchrīyamāṇaṃ paśyeyuriti śāṇḍilyaḥ
2.4.4	antarvedyeveti dhānaṃjayyaḥ
2.4.5	na bahirvedi yajuravakalpata iti
2.4.6	viśvarūpāṇāṃ gānaṃ jyotiṣṭome yajamānenoktaḥ pratyācakṣīta catuṣṭomastomasaṃpadatirekād grahaśastrābhāvāc ca
2.4.7	vasatīvaryo grahaḥ prātaranuvākaḥ śastramāsāṃ na ca saṃpatkopo yathānyaiḥ parisāmabhir gāyaiveti ced brūyāt
2.4.8	na mām anāmantrya prātaranuvākam upākuryād ity adhvaryuṃ brūyāt
2.4.9	hotāraṃ prātaranuvākāyopaviṣṭaṃ pūrveṇa gatvā yajamānaś ca pūrvayā dvārā prapadyāntareṇa havirdhānaṃ pūrveṇa cakre udaṅmukha upaviśet tūṣṇīm
2.4.10	purastād yajamānaḥ pratyaṅmukhaḥ
2.4.11	yuñje vācaṃ śatapadīṃ gāyet sahasravartani gāyatraṃ traiṣṭubhaṃ jagad viśvā rūpāṇi saṃbhṛtā devā okāṃsi cakrira ity etasyāṃ paṅktau trir gāyatraṃ gāyed iti dhānaṃjayyaḥ svādhyāyasvareṇa
2.4.12	manasaiva yajamāna upasvaret
2.4.13	triṣu triṣu pādeṣu gāyediti gautamaḥ
2.4.14	pūrvaṃ pūrvam atisṛjan gāyatrīkāram
2.4.15	pragāthakāraṃ vā
2.4.16	gītvā yathārthaṃ syāt
2.4.17	viśvarūpāś ced gāyej jyotīṃṣy api gāyet
2.4.18	parihite prātaranuvāke 'ponaptrīyaṃ nāma sūktaṃ purā tasmāddhotāram āramety uktvā
2.4.19	āgrayaṇasya vānu hiṃkāraṃ pavitraṃ dhārayan
2.4.20	āstāvaṃ vā prāpya stomayogāt
2.4.21	agnir jyotir jyotir agnir indro jyotir jyotir indraḥ sūryo jyotir jyotiḥ sūrya ity eteṣu pādeṣu tris trir ekaikam abhyāsaṃ manasā gāyatraṃ gāyet
2.4.22	tāni nānyatra viśvarūpābhyaḥ
2.4.23	nānyatra viśvarūpā jyotiṣṭomāt
2.4.24	sahacarāṇi hy etāni viśvarūpāśca jyotīṃṣi ca jyotīṃṣi ca
3.1.1	yugapatkarmasu sarveṣūdgātur dakṣiṇam anu bāhuṃ prastotā savyaṃ pratihartā
3.1.2	hotā prātaranuvākam anūcyābhūd uṣā iti yadā brūyād atha vedim ākrāmeyur mṛdā śithireti
3.1.3	bahirvedy etaj japitvā mā mā hiṃsīr ity etāvataiveti dhānaṃjayyaḥ
3.1.4	savanamukheṣu ca yajuṣā
3.1.5	ahar ahar iti gautamaḥ
3.1.6	sakṛtkratāv iti śāṇḍilyaḥ
3.1.7	yāvaddhākrāmeyur ity eke
3.1.8	havirdhānaṃ praveśyamānā vasatīvarīranupraviśeyuḥ
3.1.9	tasya rarāṭyāmālabhya viṣṇoḥ śiraḥ
3.1.10	iṣa ūrja iti praviśanto 'ntareṇeṣe bāhūnavahṛtya pārṣṇīr anudyacchanto yunajmīti rājānam abhimṛśeyur yaḥ prātaḥsavanāya
3.1.11	avibhaktaś cet sarvam
3.1.12	na cet prāpnuyuḥ somaṃ deśenaiva
3.1.13	prastotā prathamo 'tisarpet
3.1.14	tata udgātā tataḥ pratihartā
3.1.15	dakṣiṇasya havirdhānasya paścāt savyāvṛta upaviśeyurṛtasya sadana iti
3.1.16	purastāccopariṣṭāccarcaḥ sarvatra japeyuryāsu kariṣyantaḥ syuḥ
3.1.17	atra tu bahiṣpavamānasya
3.1.18	abhiṣute rājanyṛtapātramasīti droṇakalaśamālabhya vānaspatya iti proheyuḥ
3.1.19	dakṣiṇe pāṇāvudgātā daśāpavitraṃ kurvīta
3.1.20	akṣaṃ cedupahanyuḥ punaḥ proheyuḥ
3.1.21	antareṇākṣaviṣkambhau daśāpavitraṃ droṇakalaśe prāsyed anupaghnan
3.1.22	saṃhitau ced ubhāv upari
3.1.23	sarvaṃ rathopastham upary upary uttareṇa rathajaṅghāṃ rathaś cet
3.2.1	pratyāvrajya grāvṇo yuñjyāt
3.2.2	pradakṣiṇam aṣṭamadeśeṣu sthavīyāṃsy abhyantarāṇi kṛtvā
3.2.3	tāni mukhāni
3.2.4	dakṣiṇārdhyapūrvārdhyaṃ prathamam
3.2.5	tān abhimṛśya japeyur maruta iti
3.2.6	ṛtasadana etaj japitvā yuktāḥ stha vahatety etāvataiveti dhānaṃjayyaḥ
3.2.7	paścād dakṣiṇato vā droṇakalaśam adhyūheyur idam aham imam iti
3.2.8	yajamānaśabdaṃ sarvatra yathārthaṃ kuryuḥ
3.2.9	anujapeyur anyena kṛte mantrau
3.2.10	brāhmaṇavihitād anyatraiṣa kalpaḥ kāmyānām
3.2.11	dveṣyakalpād anyatra
3.2.12	viparyasya tu tasmin
3.2.13	tūṣṇīṃ ca yojanādhyūhane
3.2.14	idam aham amum iti dakṣiṇāparam aṣṭamadeśaṃ nirūhet
3.2.15	dveṣyapriyakalpayor mantrau rājanyūhet
3.2.16	tasya ca viśam ādiśet
3.2.17	taṃ caivānnādyena
3.2.18	upāṃśusavano nāma grāvā pañcamas tam upariṣṭād droṇakalaśasya kuryād rāṣṭrajighāṃsuḥ pratīveśāṃ balavatīṃ viśam ādiśan
3.2.19	eteṣām ekaṃ kṛtvā pathyaṃ kuryād iti gautamaḥ
3.2.20	tam eveti dhānaṃjayyaḥ
3.2.21	pṛṣṭhānām ante pūrvayā dvārā niṣkramya kāmyaṃ śāṇḍilyaḥ
3.2.22	pavitreṇa droṇakalaśaṃ saṃmṛjyād vasavas tveti budhnaṃ rudrās tveti madhyam ādityās tveti bilam
3.2.23	eteṣām ekakena tris trir anusavanaṃ saṃmṛjyād iti dhānaṃjayyaḥ
3.2.24	sarvaiḥ sarveṣv iti śāṇḍilyaḥ
3.2.25	sarvair budhnaṃ sarvair madhyaṃ sarvair bilam ity eke
3.2.26	bilaṃ madhyaṃ budhnam ity aparam
3.2.27	avadhūya pavitram udagdaśam avāṅnābhi vitanuyuḥ pavitraṃ ta iti
3.2.28	tṛcenaike
3.2.29	saṃtatāyāṃ dhārāyām udgātā japet pra śukrā iti
3.2.30	amuṣya rājyāyeti priyaṃ rājānam ādiśet
3.2.31	rājño rājyāyeti vā
3.2.32	yajamānasya rājño rājyāyeti vā
3.2.33	somasya rājño rājyāyeti vā
3.2.34	somasyety eva brūyāt somarājāno hi brāhmaṇāḥ
3.3.1	āgrayaṇaṃ gṛhṇann adhvaryur hiṃkaroti tadā pravṛṇīrann agniḥ prastotāhaṃ mānuṣo bṛhaspatir udgātāhaṃ mānuṣo vāyuḥ pratihartāhaṃ mānuṣaḥ iti yathāliṅgam
3.3.2	na pravṛṇīrann iti dhānaṃjayyaḥ
3.3.3	pravṛṇīrann eveti śāṇḍilyaḥ
3.3.4	atra vācaṃ yaccheyuḥ
3.3.5	ṛtasadane vā
3.3.6	vediṃ vākrāmantaḥ
3.3.7	stute bahiṣpavamāne visṛjeran
3.3.8	uttarāddhavirdhānād dhruvasthālīṃ harantaḥ paścimenodgātṝn hṛtvā tenaiva pratihareyuḥ
3.3.9	nainān agreṇa hareyuḥ
3.3.10	api hy adhvaryavo 'py akuśalā bhavantīti
3.3.11	abhipīḍya pavitram adhvaryur niḥsarpantaṃ prastotā saṃtanuyāt
3.3.12	tam udgātodgātāraṃ pratihartā taṃ brahmā brahmāṇaṃ yajamānaḥ
3.3.13	pañcartvijaḥ saṃrabdhāḥ sarpantīty etān āha
3.3.14	doṣavacanād vyavacchedāj jugupseran
3.3.15	na rājānam ālabhyānuspṛśyāpa ājyam ālabheraṃs tathājyaṃ rājānaṃ sarvatra
3.3.16	vajro vā eṣa somasya yad ājyam iti tayor asamavāyam āha
3.3.17	adhvaryuṇā hute pravṛtahomau juhuyur gatyānupūrvyeṇa bekurā nāmāsi sūryo meti
3.3.18	saṃsutasome tv adhikām udgātā juhuyāt saṃveśāyopaveśāyeti yathāsavanaṃ chandāṃsy ādiśan
3.3.19	ṛcaṃ sāmeti svāhākārāntayā tṛtīyāṃ sarvatra
3.3.20	sa eveti śāṇḍilyaḥ
3.3.21	mahāgirimahānadīrathāharvāyuvyavāyeṣv asaṃsavaḥ
3.3.22	pṛthagjanapade ca
3.3.23	avidviṣāṇamātrād ity eke
3.3.24	hutvā japeyur brahmāhaṃ gāyatrīṃ vācaṃ prāṇaṃ prajāpatiṃ prapadye 'śmānam ākhaṇaṃ paryūha iti
3.3.25	adhvaryum anvāvarteran sarpantaḥ
3.3.26	savyaiḥ pāṇibhiḥ pṛthag dakṣiṇā tṛṇāni nirasyeyur yo 'dya saumya iti
3.3.27	cātvāladeśaṃ prāpyādhvaryāv upaviṣṭe tasmāt pratyag upaviśeyur yo ma ātmeti
3.3.28	pratyaṅmukhaḥ prastotodaṅmukha udgātā paścimenodgātāraṃ gatvā dakṣiṇapūrvam aṣṭamadeśam īkṣamāṇaḥ pratihartā
3.3.29	savyādharān upasthān kṛtvā dyāvāpṛthivyoḥ sandhim īkṣamāṇāḥ samāni mukhāni dhārayantaḥ
3.3.30	evaṃ sarvastotreṣv āsīran
3.4.1	caturavarārdhyā upagāḥ syuḥ
3.4.2	tathā hi bhāllavibrāhmaṇaṃ bhavati / yo 'nupagītaṃ sāmādatte muṣyate rūkṣo bhāvuko bhavatyupagātṛbhyaḥ prasvaret prāṇo vai svaraḥ prāṇenaiva sāma saṃtanotīti valgutamaṃ sāmopagītaṃ bhavati tasmād apy upageyam
3.4.3	catvāra upagāḥ syuś catasro diśo digbhir upagāyantīti ca brāhmaṇam
3.4.4	ṣaḍvā / ṣaḍṛtava upagātāra iti ca brāhmaṇam
3.4.5	yāvanto vā saṃsvareran
3.4.6	te ho ityetenākṣareṇopagāyeyuromiti yajamānaḥ
3.4.7	praṣṭyantarayor upaviśya bhaktyantarāṇi chādayanto mandra upagā bhavanti
3.4.8	tryantara udgīthaḥ prātaḥsavanādanyatra
3.4.9	mandras tv eva prātaḥsavane
3.4.10	nidhanāya nidhanāyoparameyuḥ
3.4.11	tatrāpyeka ekākṣareṣu noparamanti
3.4.12	te svāṃ svāṃ bhaktim anucchvasanto brūyuḥ
3.4.13	pade vocchvaseyuḥ stobhe vā
3.4.14	nāntareṇa pade na stobhau
3.4.15	yatra vopapadyeta na tāntaḥ kuryāditi
3.4.16	prastaraṃ pratigṛhya prastotā brahman stoṣyāmaḥ praśāstar ity udgātre prayacchet
3.4.17	tena dakṣiṇāṃ jaṅghāmupahatya yuñjyātstomamagnestejaseti
3.4.18	annaṃ kariṣyāmīti japet
3.4.19	tūṣṇīṃ cātvālamudapātraṃ cāvekṣeran
3.4.20	sāmāsi prati mā bhāhīty ādityam
3.4.21	tūṣṇīṃ vā
3.4.22	sakṛddhiṃkṛtya bahiṣpavamānena stuvīran
