#Text:Kātyāyanaśrautasūtra
#Data entry:M. Fushimi



1.1.1	athāto 'dhikāraḥ
2.4.26	dhṛṣṭir asīty upaveṣam ādāyāpāgna ity aṅgārān prācaḥ karoti
2.4.27	ā devayajam ity aṅgāram āhṛtya kapālenāvachādayati dhruvam asīti
2.4.28	amuṣyeti dviṣachabde 'bhicaran
2.4.29	anyatrāpi
2.4.30	savyāṅgulyāśūnye 'ṅgāraṃ nidadhāty agne brahmeti
2.4.31	dharuṇam iti paścāt
2.4.32	purastād dhartram iti
2.4.33	viśvābhya iti dakṣiṇataḥ
2.4.34	samaṃ vibhajya dve dakṣiṇata evam uttarataś cita stheti
2.4.35	tūṣṇīṃ vā
2.4.36	evam ekādaśāgnīṣomīyasya
2.4.37	adhikaṃ dakṣiṇataḥ
2.4.38	bhṛgūṇām ity aṅgārair abhyūhati
2.5.1	upasarjanīr adhiśrayati
2.5.2	kṛṣṇājinam ādatte pūrvavat prati kṛṣṇājinam
2.5.3	tasmin dṛṣadaṃ dhiṣaṇāsīti
2.5.4	paścāchamyām upohaty udīcīṃ diva iti
2.5.5	dṛṣady upalāṃ dhiṣaṇāsīti
2.5.6	dhānyam asīti taṇḍulān opya pinaṣṭi prāṇāya tveti pratimantram
2.5.7	dīrghām iti kṛṣṇājine prohati
2.5.8	cakṣuṣe tvetīkṣate
2.5.9	piṣyamāṇeṣu nirvapaty anyo mahīnām ity ājyam
2.5.10	pātryāṃ sapavitrāyāṃ piṣṭāny āvapati devasya tveti
2.5.11	śrapaṇasya paścād upaviśaty antarvedi vā
2.5.12	upasarjanīr ānayaty anyaḥ
2.5.13	pavitrābhyāṃ pratigṛhṇāti sam āpa iti
2.5.14	saṃyauti janayatyai tveti
2.5.15	samaṃ vibhajyāsaṃhariṣyann ālabhata idam agner idam agnīṣomayor iti
2.5.16	yathādevatam anyat
2.5.17	iṣe tvety ājyam adhiśrayaty anyaḥ
2.5.18	apatnīkasyāhavanīye tacchrāpiṇaḥ
2.5.19	gharmo 'sīti puroḍāśaṃ yugapat
2.5.20	uruprathā iti prathayati yāvatkapālam anatipṛthum
2.5.21	agniṣ ṭa ity adbhir abhimṛśati sakṛt trir vā
2.5.22	paryagnikaroty antaritaṃ rakṣo 'ntaritā arātaya iti sahājyam
2.5.23	devas tveti śrapaṇam
2.5.24	mā bher ity ālabhate
2.5.25	atamerur iti śṛtāv abhivāsayati bhasmanā vedenopaveṣeṇaṃ vā
2.5.26	pātryaṅguliprakṣālanam āptyebhyo ninayaty abhitapya pratyag asaṃsyandamānaṃ tritāya tveti pratimantram
2.5.27	anvāhāryaṃ dakṣiṇāgnāv adhiśrayati
2.5.28	atra vā vratopāyanam
2.6.1	apareṇāhavanīyaṃ vediṃ khanati
2.6.2	tryaṅgulakhātām
2.6.3	vyāmamātrīṃ paścāt
2.6.4	tryaratniṃ prācīm
2.6.5	aparimitāṃ vā
2.6.6	prāk pravaṇām udag vā
2.6.7	madhyasaṃgṛhītām
2.6.8	agnim abhito 'ṃsau
2.6.9	ā mūlocchedanād oṣadhīnām
2.6.10	oṣadhīnāṃ mūlāny ucchettavai brūyāt
2.6.11	āhāryapurīṣāṃ paśukāmasya
2.6.12	vediṃ parisamuhya vitṛtīye 'gnīd uttarata utkaraṃ karoti
2.6.13	devasya tveti sphyam ādāya satṛṇaṃ savye kṛtvā dakṣiṇenālabhya japatīndrasya bāhur iti
2.6.14	nopaspṛśet pṛthivyātmānau tena stambayajur hariṣyan
2.6.15	vedyāṃ tṛṇaṃ nidadhāty udak pṛthivyai varmāsīti
2.6.16	pṛthivi devayajanīti tṛṇe 'ntarhite praharati
2.6.17	vrajaṃ gacheti purīṣam ādatte
2.6.18	varṣatu ta iti vediṃ prekṣate
2.6.19	badhānety utkare karoti
2.6.20	praharaṇaśeṣo vāviśeṣopadeśāt
2.6.21	apārarum iti dvitīyaṃ praharaṇādi
2.6.22	abhinyasyaty agnīd utkaram araro divam iti
2.6.23	drapsas ta iti tṛtīyam
2.6.24	tūṣṇīṃ caturthaṃ satṛṇam
2.6.25	pūrvaṃ parigrahaṃ parigṛhṇāti dakṣiṇataḥ paścād uttarataś ca sphyena gāyatreṇeti pratimantram
2.6.26	vedyāṃ trir ullikhyāha hara trir iti
2.6.27	hṛtvāgnīl lekhāḥ saṃmṛśati
2.6.28	pitṛyajñāgnicityayoḥ
2.6.29	vā tatradarśanād atra
2.6.30	vedikaraṇaṃ yathoktam
2.6.31	uttaraṃ parigrahaṃ parigṛhṇāti sukṣmā syonorjasvatīti pratimantraṃ pūrvavat
2.6.32	purā krūrasyety anumārṣṭi
2.6.33	adhyadhi vediṃ prokṣaṇīr dhārayaty anyaḥ
2.6.34	atha sphyam udyamyāha prokṣaṇīr āsādayedhmaṃ barhir upasādaya srucaḥ saṃmṛḍḍhi patnīṃ saṃnahyājyenodehīti yadīchet
2.6.35	yathāpreṣitam anyaḥ parādhikārāt
2.6.36	svayaṃ vāvirodhāt
2.6.37	sampraiṣāvacanāc ca
2.6.38	prāk staraṇād vediṃ nāvamṛśet
2.6.39	śṛtāni ca havīṃṣy ā pracaraṇāt
2.6.40	aṅguṣṭhāṅgulibhyāṃ māṃsasaṃhitābhyām avadyanty eke
2.6.41	āpannaṃ stṛṇan nirasyet
2.6.42	dviṣato badha iti sphyam udañcaṃ praharati
2.6.43	avanijya pāṇī apareṇa praṇītā sphyaṃ nidadhāti
2.6.44	idhmābarhiś ca pūrvam idhmam
2.6.45	praṇītā dakṣiṇena vāhṛtya
2.6.46	sruvaṃ pratapya pūrvavad vedāgrair antarataḥ prāk saṃmārṣṭy aniśita iti viparyasya bahir mūlaiḥ prāṅ utkramya
2.6.47	pratapyapratapya prayachati
2.6.48	aniśiteti srucaḥ
