#Text:Āpastambaśrautasūtra
#Data entry:M. Fushimi



1.1.1	athāto darśapūrṇamāsau vyākhyāsyāmaḥ
1.3.5	preyam agād ity uktvorv antarikṣam anvihīti prācīm udīcīṃ vā diśam abhipravrajya yataḥ kutaścid darbhamayaṃ barhir āharati
1.3.6	devānāṃ pariṣūtam asīti darbhān pariṣauti
1.3.7	viṣṇo stūpo 'sīty abhipretānām ekaṃ stambam utsṛjati
1.3.8	ekaṃ vā stambaṃ pariṣūya taṃ sarvaṃ dāti
1.3.9	atisṛṣṭo gavāṃ bhāga iti vaikāṃ dve tisro vā nāḍīr utsṛjati
1.3.10	idaṃ devānām iti pariṣūtān abhimṛśati / idaṃ paśūnām ity atisṛṣṭān
1.3.11	devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ barhir devasadanam ārabha iti viśākheṣu darbhān ārabhate
1.3.12	devabarhir mā tvānvaṅ mā tiryag iti saṃyacchati
1.3.13	parva te rādhyāsam ity asidam adhinidadhāti
1.3.14	ācchettā te mā riṣam ity ācchinatti
1.3.15	saṃnakhaṃ muṣṭiṃ lunoti
1.3.16	sa prastaraḥ
1.3.17	kulmimātro 'ratniḥ prādeśa ūrvasthi jānvasthi srugdaṇḍa iti vā tiryakpramāṇāni
1.4.1	pṛthivyāḥ saṃpṛcaḥ pāhīty anadho nidadhāti
1.4.2	ayujo muṣṭīṃl lunoti
1.4.3	tathā nidhanāni
1.4.4	teṣāṃ prastaro 'yugartha ity eke
1.4.5	prastare yāthākāmī
1.4.6	yad anyat pariṣavaṇād utsarjanāc ca tat sarvatrāvartate
1.4.7	prastaram eva mantreṇa dāti tūṣṇīm itarad iti vājasaneyakam
1.4.8	sarvaṃ lutvā devabarhiḥ śatavalśaṃ virohety ālavān abhimṛśati
1.4.9	sahasravalśā vi vayaṃ ruhemety ātmānam
1.4.10	adityai rāsnāsīti tridhātu pañcadhātu vā śulbaṃ karoti
1.4.11	ayupitā yonir iti pratidadhāti
1.4.12	adityai rāsnāsīty udagagraṃ vitatya susaṃbhṛtā tvā saṃbharāmīti tasmin nidhanāni saṃbhṛtyālubhitā yonir ity uttame nidhane prastaram atyādhāyendrāṇyai saṃnahanam iti saṃnahyati
1.4.13	pūṣā te granthiṃ grathnātv iti granthiṃ karoti
1.4.14	sa te māsthād iti purastātpratyañcaṃ granthim upagūhati paścāt prāñcaṃ vā
1.4.15	āpas tvām aśvinau tvām ṛṣayaḥ sapta māmṛjuḥ / barhiḥ sūryasya raśmibhir uṣasāṃ ketum ārabha iti barhir ārabhate / indrasya tvā bāhubhyām udyaccha ity udyacchate / bṛhaspater mūrdhnā harāmīti śīrṣann adhinidhatte
1.5.1	preyam agād urv antarikṣam anvihīti yau gamanau tau pratyāyanau
1.5.2	adityās tvopasthe sādayāmīty antarvedi paridhideśe 'nadhaḥ sādayati
1.5.3	barhir asi devaṃgamam ity āsannam abhimantrayate
1.5.4	devaṃgamam asīty anadho nidadhāti yathā prāg upasādayet
1.5.5	yā jātā oṣadhayo devebhyas triyugaṃ purā / tāsāṃ parva rādhyāsaṃ paristaram āharan // apāṃ medhyaṃ yajñiyaṃ sadevaṃ śivam astu me / ācchettā vo mā riṣaṃ jivāni śaradaḥ śatam // aparimitānāṃ parimitāḥ saṃnahye sukṛtāya kam / eno mā nigāṃ katamaccanāhaṃ punar utthāya bahulā bhavantv iti paristaraṇānām adhinidhāny ācchedanī saṃnahanīti yathāliṅgam
1.5.6	khādiraṃ pālāśaṃ vaikaviṃśatidārum idhmaṃ karoti
1.5.7	trayaḥ paridhayaḥ
1.5.8	palāśakārṣmaryakhadirodumbarabilvarohītakavikaṅkatānāṃ ye vā yajñiyā vṛkṣāḥ
1.5.9	ārdrāḥ śuṣkā vā satvakkāḥ
1.5.10	sthaviṣṭho madhyamo 'ṇīyān drāghīyān dakṣiṇārdhyo 'ṇiṣṭho hrasiṣṭha uttarārdhyaḥ
1.5.11	dve āghārasamidhāv anūyājasamid ekaviṃśīti
1.5.12	samūlānām ṛtemūlānāṃ vā darbhāṇāṃ pūrvavac chulbaṃ kṛtvodagagraṃ vitatya
1.6.1	yat kṛṣṇo rūpaṃ kṛtvā prāviśas tvaṃ vanaspatīn / tatas tvām ekaviṃśatidhā saṃbharāmi susaṃbhṛtā // trīn paridhīṃs tisraḥ samidho yajñāyur anusaṃcarān / upaveṣaṃ mekṣaṇaṃ dhṛṣṭiṃ saṃbharāmi susaṃbhṛteti śulba idhmaṃ saṃbharati
1.6.2	kṛṣṇo 'sy ākhareṣṭho deva puraścara saghyāsaṃ tveti saṃnahyati / purastātpratyañcaṃ granthim upagūhati paścātprāñcaṃ vā / anadho nidadhāti
1.6.3	idhmapravraścanāni nidadhāti
1.6.4	tvayā vediṃ vividuḥ pṛthivīṃ tvayā yajño jāyate viśvadāniḥ / acchidraṃ yajñam anveṣi vidvāṃs tvayā hotā saṃtanoty ardhamāsān iti darbhāṇāṃ vedaṃ karoti
1.6.5	vatsajñuṃ paśukāmasya mūtakāryam annādyakāmasya trivṛcchirasaṃ brahmavarcasakāmasya
1.6.6	śulbāt prādeśe parivāsya vedaparivāsanāni nidadhāti
1.6.7	antarvedi śākhāyāḥ palāśāny asarvāṇi praśātya mūlataḥ śākhāṃ parivāsyopaveṣaṃ karoty upaveṣo 'si yajñāya tvāṃ pariveṣam adhārayan / indrāya haviḥ kṛṇvantaḥ śivaḥ śagmo bhavāsi na iti
1.6.8	tṛtīyasyai divo gāyatriyā soma ābhṛtaḥ / somapīthāya saṃnayituṃ vakalam antaram ādada iti parivāsanaśakalam ādāya prajñātaṃ nidadhāti
1.6.9	trivṛddarbhamayaṃ pavitraṃ kṛtvā vasūnām pavitram asīti śākhāyāṃ śithilam avasajati mūle mūlāny agre 'grāṇi / na granthiṃ karoti
1.6.10	trivṛtpalāśe darbha iyān prādeśasaṃmitaḥ / yajñe pavitraṃ potṛtamaṃ payo havyaṃ karotu me // imau prāṇāpānau yajñasyāṅgāni sarvaśaḥ / āpyāyayantau saṃcaratāṃ pavitre havyaśodhane iti kriyamāṇe yajamāno 'numantrayate
1.6.11	samūhanty agnyagāram upalimpanty āyatanāni
1.6.12	alaṃkurvāte yajamānaḥ patnī ca
1.6.13	nave sāṃnāyyakumbhyau yāvaccharkaraṃ gomayenālipte bhavataḥ
1.7.1	amāvāsyāyāṃ yad ahaś candramasaṃ na paśyanti tad ahaḥ piṇḍapitṛyajñaṃ kurute
1.7.2	aparāhṇe 'dhivṛkṣasūrye vā piṇḍapitṛyajñena caranti
1.7.3	apāṃ medhyaṃ yajñiyam iti samūlaṃ sakṛdācchinnaṃ barhir āharati
1.7.4	sakṛdācchinnāni vā tṛṇāny upamūlaṃ dināni
1.7.5	dakṣiṇāprāgagrair darbhair dakṣiṇam agniṃ paristīrya dakṣiṇataḥ paścād vā darbhān saṃstīrya dakṣiṇāprāñcy ekaikaśaḥ piṇḍapitṛyajñapātrāṇi prayunakti sphyaṃ mekṣaṇaṃ kṛṣṇājinam ulūkhalaṃ musalaṃ śūrpam ājyasthālīṃ carusthālīṃ yena cānyenārthī bhavati
1.7.6	dakṣiṇataḥ prāgīṣaṃ vrīhimac chakaṭam avasthitaṃ bhavati
1.7.7	adhvaryur upavītī sthālīm ekapavitreṇāntardhāya tayā dakṣiṇataḥ śakaṭād adhi nirvapaty uttarato vā
1.7.8	tāṃ pūrayitvā nimārṣṭi
1.7.9	mṛnmaye nirvapati pitṛbhyo vo juṣṭaṃ nirvapāmīti tūṣṇīṃ vā
1.7.10	apareṇānvāhāryapacanaṃ pratyagudaggrīve kṛṣṇājina ulūkhale pratiṣṭhite dakṣiṇāprācī tiṣṭhantī patny avahanti parāpāvam avivekam
1.7.11	sakṛt phalīkaroti
1.7.12	dakṣiṇāgnau jīvataṇḍulaṃ śrapayati
1.7.13	apahatā asurā rakṣāṃsi piśācā vediṣada ity antarā gārhapatyānvāhāryapacanau dakṣiṇāpūrveṇa vānvāhāryapacanaṃ dakṣiṇāprācīm ekasphyāṃ parācīṃ vedim uddhatya śundhantāṃ pitara ity adbhir avokṣyāyantu pitaro manojavasa ity abhimantrya sakṛdācchinnaṃ barhir ūrṇāmṛdu syonaṃ pitṛbhyas tvā bharāmy aham / asmin sīdantu me pitaraḥ somyāḥ pitāmahāḥ prapitāmahāś cānugaiḥ saheti sakṛdācchinnena barhiṣā vediṃ stṛṇāti
1.8.1	utpūtena navanītenānutpūtena vā sarpiṣā sthālīpākam abhighāryaikasphyāyāṃ mekṣaṇam āsādya sthālīpākam āsādayati
1.8.2	dakṣiṇataḥ kaśipūpabarhaṇam āñjanam abhyañjanam udakumbham ity ekaikaśa āsādayati
1.8.3	adhvaryur upavīto dakṣiṇaṃ jānv ācya mekṣaṇa upastīrya tenāvadāyābhighārya somāya pitṛpītāya svadhā nama iti dakṣiṇāgnau juhoti
1.8.4	yamāyāṅgirasvate pitṛmate svadhā nama iti dvitīyām / agnaye kavyavāhanāya svadhā nama iti tṛtīyām
1.8.5	ye mekṣaṇe taṇḍulās tān hutvā tūṣṇīṃ mekṣaṇam ādadhāti
1.8.6	na yamāya juhotīty eke
1.8.7	apayantv asurāḥ pitṛrūpā ye rūpāṇi pratimucyācaranti / parāpuro nipuro ye bharanty agniṣ ṭāṃl lokāt praṇudāty asmāt // ye devāḥ pitaro ye ca mānuṣā ye garbhe mamrur uta ye parāstāḥ / ya uddhatā uta ye nikhātās te samyañca iha mādayantām // ye rūpāṇi pratimuñcamānā asurāḥ santaḥ svadhayā caranti / parāpuro nipuro ye bharanty agniṣ ṭāṃl lokāt praṇudāty asmāt // ye jñātīnāṃ pratirūpāḥ pitṝn māyayāsurāḥ praviṣṭāḥ / parāpuro nipuro ye bharanty agne tān asmāt praṇudasva lokād iti dakṣiṇāgner ekolmukaṃ dhūpāyad dharati
1.8.8	dakṣiṇāpūrvam avāntaradeśaṃ sakṛt sphyenollikhyodīratām avara ity adbhir avokṣyollikhitānte nidadhāti
1.8.9	yajamāno 'ta ūrdhvaṃ prācīnāvītī karmāṇi karoti
1.8.10	mārjayantāṃ mama pitaro mārjayantāṃ mama pitāmahā mārjayantāṃ mama prapitāmahā ity ekasphyāyāṃ trīn udakāñjalīn ninayati
1.8.11	prasavyaṃ vā triḥ pariṣiñcati
1.8.12	trīn udapātrān vājasaneyinaḥ samāmananti
1.9.1	savyaṃ jānv ācyāvācīnapāṇiḥ sakṛdācchinne barhiṣi dakṣiṇāpavargān piṇḍān dadāty etat te tatāsau ye ca tvām anv ity etaiḥ pratimantram
1.9.2	tūṣṇīṃ caturtham
1.9.3	sa kṛtākṛtaḥ
1.9.4	prapitāmahaprabhṛtīn vā
1.9.5	nānāmagṛhītaṃ gacchati
1.9.6	yadi bandhū na vidyāt svadhā pitṛbhyaḥ pṛthiviṣadbhya iti prathamaṃ piṇḍaṃ dadyāt / svadhā pitṛbhyo 'ntarikṣasadbhya iti dvitīyam / svadhā pitṛbhyo diviṣadbhya iti tṛtīyam
1.9.7	yadi dvipitā syād ekaikasmin piṇḍe dvaudvāv upalakṣayet
1.9.8	yadi jīvapitā na dadyād ā homāt kṛtvā viramet
1.9.9	yan me mātā pramamāda yac cacārānanuvratam / tan me retaḥ pitā vṛṅktām ābhur anyopapadyatāṃ pitṛbhyaḥ svadhāvibhyaḥ svadhā namaḥ pitāmahebhyaḥ svadhāvibhyaḥ svadhā namaḥ prapitāmahebhyaḥ svadhāvibhyaḥ svadhā nama ity upasthāyātra pitaro yathābhāgaṃ mandadhvam ity uktvā parāṅ āvartate
1.9.10	oṣmaṇo vyāvṛta upāste
1.9.11	amīmadanta pitaraḥ somyā iti vyāvṛtta ūṣmaṇy abhiparyāvartate 'vyāvṛtte vā
1.9.12	yaḥ sthālyāṃ śeṣas tam avajighrati ye samānāḥ samanasaḥ pitaro yamarājye / teṣāṃ lokaḥ svadhā namo yajño deveṣu kalpatāṃ vīraṃ dhatta pitara iti
1.9.13	āmayāvinā prāśyo 'nnādyakāmena prāśyo yo 'lam annādyāya san nādyāt tena vā prāśyaḥ
1.9.14	pūrvavad ekasphyāyāṃ trīn udakāñjalīn upaninīyāñjanābhyañjane vāsaś ca trir anupiṇḍaṃ dadāti
1.9.15	āṅkṣva tatāsāv āṅkṣva pitāmahāsāv āṅkṣva prapitāmahāsāv ity āñjanam
1.9.16	evam abhyañjanam abhyaṅkṣveti mantraṃ saṃnamati
1.9.17	yadi nāmāni na vidyād āñjatāṃ mama pitara āñjatāṃ mama pitāmahā āñjatāṃ prapitāmahā ity āñjanam / evam abhyañjanam abhyañjatām iti mantraṃ saṃnamati
1.10.1	etāni vaḥ pitaro vāsāṃsy ato no 'nyat pitaro mā yoṣṭeti vāsaso daśāṃ chittvā nidadhāty ūrṇāstukāṃ vā pūrve vayasi / uttara āyuṣi svaṃ loma
1.10.2	vītoṣmasu piṇḍeṣu namo vaḥ pitaro rasāyeti namaskārāñ japati
1.10.3	gṛhān naḥ pitaro datta sado vaḥ pitaro deṣmeti pitṝn upatiṣṭhate
1.10.4	ūrjaṃ vahantīr amṛtaṃ ghṛtaṃ payaḥ kīlālaṃ parisrutam / svadhā stha tarpayata me pitṝn ity udakaṃ ninayati
1.10.5	mano nv āhuvāmaha iti manasvatībhir upatiṣṭhate
1.10.6	uttiṣṭhata pitaraḥ preta śūrā yamasya panthām anuvetā purāṇam / dhattād asmāsu draviṇaṃ yac ca bhadraṃ pra ṇo brūtād bhāgadhāṃ devatāsv iti pitṝn utthāpayati
1.10.7	pareta pitaraḥ somyā iti pravāhaṇyā pitṝn pravāhayati
1.10.8	prajāpate na tvad etānīti yajñopavītī gārhapatyadeśaṃ gacchati
1.10.9	yad antarikṣam iti paṅktyā gārhapatyam upatiṣṭhate
1.10.10	apāṃ tvauṣadhīnāṃ rasaṃ prāśayāmi bhūtakṛtaṃ garbhaṃ dhatsveti madhyamaṃ piṇḍaṃ patnyai prayacchati
1.10.11	ādhatta pitaro garbhaṃ kumāraṃ puṣkarasrajam / yatheha puruṣo 'sad iti taṃ patnī prāśnāti / pumāṃsaṃ ha jānukā bhavatīti vijñāyate
1.10.12	ye sajātāḥ samanaso jīvājīveṣu māmakāḥ / teṣāṃ śrīr mayi kalpatām asmiṃl loke śataṃ samā ity avaśiṣṭānām ekaṃ yajamānaḥ prāśnāti / na vā
1.10.13	sthālyāṃ piṇḍān samavadhāya ye samānā iti sakṛdācchinnam agnau praharati
1.10.14	abhūn no dūto haviṣo jātavedā avāḍ ḍhavyāni surabhīṇi kṛtvā / prādāḥ pitṛbhyaḥ svadhayā te akṣan prajānann agne punar apyehi devān ity ekolmukaṃ pratyapisṛjya prokṣya pātrāṇi dvandvam abhyudāharati
1.10.15	saṃtiṣṭhate piṇḍapitṛyajñaḥ
1.10.16	apaḥ piṇḍān abhyavahared brāhmaṇaṃ vā prāśayet
1.10.17	so 'yam evaṃvihita evānāhitāgneḥ
1.10.18	aupāsane śrapaṇadharmā homaś ca
1.10.19	atipraṇīte vā juhuyāt
1.10.20	yasmiñ juhuyāt tam upatiṣṭheta
1.10.21	tatra gārhapatyaśabdo lupyeta saṃskārapratiṣedhāt
1.11.1	amāvāsyāyāṃ rātryāṃ svayaṃ yajamāno yavāgvāgnihotraṃ juhoty agnihotroccheṣaṇam ātañcanārthaṃ nidadhāti
1.11.2	nāsyaitāṃ rātriṃ kumārāś cana payaso labhante
1.11.3	hute sāyamagnihotre sāyaṃdohaṃ dohayati
1.11.4	agnīn paristīryāgnim agnī vā sāṃnāyyapātrāṇi prakṣālyottareṇa gārhapatyaṃ darbhān saṃstīrya dvandvaṃ nyañci prayunakti
1.11.5	kumbhīṃ śākhāpavitram abhidhānīṃ nidāne dārupātraṃ dohanam ayaspātraṃ dārupātraṃ vāpidhānārtham agnihotrahavaṇīm upaveṣaṃ ca
1.11.6	samāv apracchinnāgrau darbhau prādeśamātrau pavitre kurute
1.11.7	pavitre stho vaiṣṇavī vāyur vāṃ manasā punātv iti tṛṇaṃ kāṣṭhaṃ vāntardhāya chinatti
1.11.8	na nakhena
1.11.9	viṣṇor manasā pūte stha ity adbhir anumṛjya pavitrāntarhitāyām agnihotrahavaṇyām apa ānīyodagagrābhyāṃ pavitrābhyāṃ prokṣaṇīr utpunāti devo vaḥ savitotpunātv iti prathamam / acchidreṇa pavitreṇeti dvitīyam / vasoḥ sūryasya raśmibhir iti tṛtīyam
1.11.10	āpo devīr agrepuva ity abhimantryottānāni pātrāṇi paryāvartya śundhadhvaṃ daivyāya karmaṇa iti triḥ prokṣya prajñāte pavitre nidadhāti // āpo devīḥ śuddhā sthemā pātrāṇi śundhata / upātaṅkyāya devānāṃ parṇavalkam uta śundhata // devena savitrotpūtā vasoḥ sūryasya raśmibhiḥ / gāṃ dohapavitre rajjuṃ sarvā pātrāṇi śundhateti prokṣyamāṇāny abhimantryaitā ācaranti madhumad duhānāḥ prajāvatīr yaśaso viśvarūpāḥ / bahvīr bhavantīr upajāyamānā iha va indro ramayatu gāva iti gā āyatīḥ pratīkṣate yajamānaḥ
1.12.1	niṣṭaptaṃ rakṣo niṣṭapto 'ghaśaṃsa iti gārhapatye sāṃnāyyapātrāṇi pratitapya dhṛṣṭir asi brahma yacchety upaveṣam ādāya nirūḍhaṃ janyaṃ bhayaṃ nirūḍhāḥ senā abhītvarīr iti gārhapatyād udīco 'ṅgārān nirūhya mātariśvano gharmo 'sīti teṣu kumbhīm adhiśrayati
1.12.2	aprasraṃsāya yajñasyokhe upadadhāmy aham / paśubhiḥ saṃnītaṃ bibhṛtām indrāya śṛtaṃ dadhīti vā
1.12.3	bhṛgūṇām aṅgirasāṃ tapasā tapyasveti pradakṣiṇam aṅgāraiḥ paryūhya vasūnāṃ pavitram asīti tasyāṃ prāgagraṃ śākhāpavitram atyādadhāti
1.12.4	udak prātaḥ
1.12.5	kumbhīm anvārabhya vācaṃ yacchati
1.12.6	pavitraṃ vā dhārayann āste
1.12.7	adityai rāsnāsīty abhidhānīm ādatte
1.12.8	trayastriṃśo 'si tantūnāṃ pavitreṇa sahāgahi / śiveyaṃ rajjur abhidhāny aghniyām upasevatām ity ādīyamānām abhimantrayate yajamānaḥ
1.12.9	pūṣāsīti vatsam abhidadhāti
1.12.10	upasṛṣṭāṃ me prabrūtād iti saṃpreṣyati
1.12.11	upasṛjāmīty āmantrayate / ayakṣmā vaḥ prajayā saṃsṛjāmi rāyaspoṣeṇa bahulā bhavantīr iti vatsam upasṛjati
1.12.12	gāṃ copasṛṣṭāṃ vihāraṃ cāntareṇa mā saṃcāriṣṭeti saṃpreṣyati
1.12.13	yady upasṛṣṭāṃ vyaveyāt sāṃnāyyaṃ mā vilopīti brūyāt
1.12.14	upasīdāmīty āmantrayate / ayakṣmā vaḥ prajayā saṃsṛjāmi rāyaspoṣeṇa bahulā bhavantīḥ / ūrjaṃ payaḥ pinvamānā ghṛtaṃ ca jīvā jīvantīr upa vaḥ sadeyam iti dogdhopasīdati
1.12.15	na śūdro duhyād duhyād vā
1.12.16	dārupātre dogdhi
1.12.17	upasṛṣṭāṃ duhyamānāṃ dhārāghoṣaṃ ca yajamāno 'numantrayate // ayakṣmā vaḥ prajayā saṃsṛjāmīty upasṛṣṭām / dyauś cemaṃ yajñaṃ pṛthivī ca saṃduhātām / dhātā somena saha vātena vāyuḥ / yajamānāya draviṇaṃ dadhātv iti duhyamānām
1.13.1	utsaṃ duhanti kalaśaṃ caturbilam iḍāṃ devīṃ madhumatīṃ suvarvidam / tad indrāgnī jinvataṃ sūnṛtāvat tad yajamānam amṛtatve dadhātv iti dhārāghoṣam
1.13.2	dugdhvā harati
1.13.3	taṃ pṛcchati kām adhukṣaḥ pra ṇo brūhīndrāya havir indriyam iti
1.13.4	amūm iti nirdiśati / yasyāṃ devānāṃ manuṣyāṇāṃ payo hitam iti pratyāha
1.13.5	sā viśvāyur ity anumantrayate
1.13.6	devas tvā savitā punātu vasoḥ pavitreṇa śatadhāreṇa supuveti kumbhyāṃ tiraḥ pavitram āsiñcati
1.13.7	huta stoko huto drapsa iti vipruṣo 'numantrayate
1.13.8	evaṃ dvitīyāṃ tṛtīyāṃ ca dohayati
1.13.9	sā viśvavyacā iti dvitīyām anumantrayate / sā viśvakarmeti tṛtīyām
1.13.10	tisro dohayitvā bahu dugdhīndrāya devebhyo havyam āpyāyatāṃ punaḥ / vatsebhyo manuṣyebhyaḥ punardohāya kalpatām iti trir vācaṃ visṛjyānanvārabhya tūṣṇīm uttarā dohayitvā dohane 'pa ānīya saṃpṛcyadhvam ṛtāvarīr iti kumbhyāṃ saṃkṣālanam ānīyāviṣyandayan suśṛtaṃ karoti
1.13.11	dṛṃha gā dṛṃha gopatiṃ mā vo yajñapatī riṣad iti vartma kurvan prāg udvāsayaty udak prāgudag vā
1.13.12	ekasyā dvayos tisṛṇāṃ vaikāhe dvyahe tryahe vā purastād upavasathād ātañcanārthaṃ dohayitvā saṃtatam abhiduhanty opavasathāt
1.13.13	tena śītabudhnam ātanakti
1.13.14	somena tvātanacmīndrāya dadhīti dadhnā
1.13.15	yajñasya saṃtatir asi yajñasya tvā saṃtatim anusaṃtanomīty agnihotroccheṣaṇam anvavadhāyāyaṃ payaḥ somaṃ kṛtvā svāṃ yonim apigacchatu / parṇavalkaḥ pavitraṃ saumyaḥ somād dhi nirmita iti parivāsanaśakalam anvavadadhāti
1.14.1	oṣadhayaḥ pūtikāḥ kvalās taṇḍulāḥ parṇavalkā ity ātañcanavikalpāḥ
1.14.2	uccheṣaṇābhāve taṇḍulair ātañcyāt taṇḍulābhāva oṣadhībhiḥ
1.14.3	āpo haviḥṣu jāgṛta yathā deveṣu jāgratha / evam asmin yajñe yajamānāya jāgṛtety ayaspātre dārupātre vāpa ānīyādastam asi viṣṇave tvā yajñāyāpidadhāmy aham / adbhir ariktena pātreṇa yāḥ pūtāḥ pariśerata iti tenāpidadhāti // amṛnmayaṃ devapātraṃ yajñasyāyuṣi prayujyatām / tiraḥ pavitram atinītā āpo dhāraya mātigur iti yajamāno japati
1.14.4	yadi mṛnmayenāpidadhyāt tṛṇaṃ kāṣṭhaṃ vāpidhāne 'nupravidhyet
1.14.5	viṣṇo havyaṃ rakṣasvety anadho nidadhāti
1.14.6	imau parṇaṃ ca darbhaṃ ca devānāṃ havyaśodhanau / prātarveṣāya gopāya viṣṇo havyaṃ hi rakṣasīti prajñātaṃ śākhāpavitraṃ nidadhāti
1.14.7	tayaiva śākhayā darbhair vā sāyaṃdohavat prātardohāya vatsān apākaroti
1.14.8	upadhāya kapālāni sāyaṃdohavat prātardohaṃ dohayati / ātañcanāpidhāne nidhānaṃ ca nivartate / nāsomayājī saṃnayet saṃnayed vā
1.14.9	nāgataśrīr mahendraṃ yajeta / trayo vai gataśriya ity uktam
1.14.10	aurvo gautamo bhāradvājas te 'nantaraṃ somejyāyā mahendraṃ yajeran
1.14.11	yo vā kaścit
1.14.12	tataḥ saṃpreṣyati paristṛṇīta paridhattāgniṃ parihito 'gnir yajamānaṃ bhunaktu / apāṃ rasa oṣadhīṇāṃ suvarṇo niṣkā ime yajamānasya santu kāmadughā amutrāmuṣmiṃl loka iti
1.14.13	paristaraṇīm etām eke samāmananti
1.14.14	udagagraiḥ prāgagraiś ca darbhair agnīn paristṛṇāti
1.14.15	udagagrāḥ paścāt purastāc ca
1.14.16	etat kṛtvopavasati
1.14.17	agnyanvādhānaṃ vatsāpākaraṇam idhmābarhir vedo vediḥ / prāguttarāt parigrāhāt kṛtvā śvo bhūta āpyalepaṃ ninīyottaraṃ parigṛhṇīyāt / paristaraṇaṃ ca pūrvedyur amāvāsyāyāṃ paurṇamāsyāṃ tv anvādhānaparistaraṇopavāsāḥ
1.14.18	sadyo vā sadyaskālāyāṃ sarvaṃ kriyate
1.15.1	udita āditye paurṇamāsyās tantraṃ prakramayati prāg udayād amāvāsyāyāḥ
1.15.2	catvāra ṛtvijaḥ
1.15.3	pūrvavad agnīn paristṛṇāti yady aparistīrṇā bhavanti
1.15.4	karmaṇe vāṃ devebhyaḥ śakeyam iti hastāv avanijya yajñasya saṃtatir asi yajñasya tvā saṃtatyai stṛṇāmi saṃtatyai tvā yajñasyeti gārhapatyāt prakramya saṃtatāmulaparājīṃ stṛṇāty āhavanīyāt tūṣṇīṃ dakṣiṇām uttarāṃ ca
1.15.5	dakṣiṇenāhavanīyaṃ brahmayajamānayor āsane prakalpayati pūrvaṃ brahmaṇo 'paraṃ yajamānasya
1.15.6	uttareṇa gārhapatyāhavanīyau darbhān saṃstīrya dvandvaṃ nyañci pātrāṇi prayunakti daśāparāṇi daśa pūrvāṇi
