1.1.1	Prajāpati is the year;
2.14.2	The Āvapana is a support, so that support is obtained.
2.14.3	Then these go on again straight forward.
2.15.1	Then he recites the Anustubh text.
2.15.2	Speech indeed is this day; speech the Anustubh. So in speech he places speech.
2.15.3	'Ye have gone to the sky, ye have gone to the sky': with this hymn he approaches the gods.
2.15.4	The TṚca 'He, of old, inspiring sages,' has the word 'hymn,' and by reason of it is perfect.
2.15.5	The last verse is in Gāyatrī, and by reason of it it is perfect.
2.15.6	In 'Thou art the great ruler here' there is the word ' great,'
2.15.7	for this day is described as 'great.'
2.16.1	Then he recites the hundred Triṣṭubhs.
2.16.2	The Triṣṭubh is Indra's metre; so he perfects him with his own metre.
2.16.3	The Hiraṇyastūpa-hymn and the Yātaūtīya hymn correspond to the Bṛhat and Rathantara. For the Bṛhat and Rathantara are put in front.
2.16.4	The Sajanīya hymn and (the hymn) 'Priests, bear to Indra the Soma' make up twenty-seven verses.
2.16.5	Twenty-seven are the Nakṣatras;
2.16.6	thus he obtains the majesty of the Nakṣatras.
2.16.7	He should recite (a hymn) of Viśvāmitra,
2.16.8	for Viśvāmitra beheld it.
2.16.9	He should recite (a hymn) of Vāmadeva, for that is pleasant to the gods.
2.16.10	He should recite (a hymn) of Vasiṣṭha, for that is best for the gods.
2.16.11	Then before the Udubrahmiya (hymn) he recites (the verses) with interwoven Pādas.
2.16.12	All desires, indeed, are within this hymn.
2.16.13	Just as having shut cattle in a pen one puts a bar and a pin (to keep them in), so by these intertwined verses he grasps all desires on either side and places them in the body.
2.16.14	Again, of the Udubrahmiya hymn the last (verse) has the word 'hymn.'
2.16.15	That is the symbol of this day.
2.16.16	He concludes by repeating this (verse) thrice.
2.16.17	Having concluded he mutters the Ukthavīrya.
2.16.18	The one-day form comes first;
2.16.19	the one-day is a support, so that support is obtained.
2.16.20	The Mahāvrata form comes next.
2.16.21	In 'Thou art great' there is the word 'great,' 
2.16.22	for this day is described as ' great.'
2.17.1	Reckoning in the sūdadohas verse, recited once, which has to be supplied throughout the litany, but without the silent recitation, there are a thousand Bṛhatis.
2.17.2	In this thousand Bṛhatis there are thirty-six thousand syllables.
2.17.3	So many are the days of a hundred years;
2.17.4	thus he obtains the days of a hundred years.
2.17.5	Some say (the thousand) is composed of Anustubhs.
2.17.6	Speech indeed is that day,
2.17.7	speech the Anustubh,
2.17.8	speech all beings;
2.17.9	again, speech is this all, so they say.
2.17.10	But it is fixed that it is composed of Bṛhatis.
2.17.11	For he that gives heat here is connected with the Bṛhati;
2.17.12	so he perfects him with his own metre.
2.17.13	Three times he calls (to the Adhvaryu).
2.17.14	Three indeed are these worlds;
2.17.15	so he obtains these worlds.
2.17.16	The Yājya verse is taken from the one-day (rite).
2.17.17	The one-day (rite) is a support, so that support is obtained.
2.17.18	They loosen the swing, before the secondary vaṣaṭ cry is made.
2.17.19	He descends towards the east (to meet) him who bears the Graha as he advances.
2.17.20	He thrusts away to the west the plank of the swing.
2.17.21	Touching the Graha, he mutters, 'This victory I have won, let me be associated with it, lest I sever myself from this victory.'
2.17.22	The Atigrāhya is for Viśvakarman.
2.17.23	Prajāpati's indeed is this day,
2.17.24	Prajāpati is Viśvakarman;
2.17.25	thus he perfects him with his own symbol.
2.17.26	This day Indra proclaimed to Aṅgiras, Aṅgiras to Dīṛghatamas.
2.17.27	Therefore did Dīṛghatamas live ten lives of man.
2.17.28	This, too, the Ṛṣi has recorded, Dīṛghatamas, son of Mamata, in the words 'In the tenth stage of eld.'
2.17.29	If a man desire life, this is the Śastra to use, so said Kauṣitaki.
2.17.30	So he who knows thus and recites (the litany of) this day, lives all his life in this world
2.17.31	and obtains immoṛtality and imperishableness in the world of heaven.
2.18.1	'We choose that of Savitṛ' is the strophe of the Vaiśvadeva
2.18.2	(The strophe) contains the word 'great' because of the occurrence of 'we choose.'
2.18.3	(The Śastra) has the word 'great,' for this day is described as 'great.'
2.18.4	'To-day, god Savitṛ' is the antistrophe.
2.18.5	It contains the word 'great' because of the occurrence of the words 'May we win all good things.'
2.18.6	(The Śastra) has the word 'great,' for this day is described as 'great.'
2.18.7-8	'That desirable greatness of the god Savitṛ' is a Savitṛ hymn. It has the word 'great,' for this day is described as 'great.'
2.18.9	'They, heaven and earth, all propitious,' is a hymn to heaven and earth.
2.18.10-11	(The verse) 'Widely-capacious, great, never-failing,' contains the word 'great,' for this day is described as 'great.'
2.18.12	'Why has the best, why has the youngest, come to us,' is a hymn to the Ṛbhus.
2.18.13	(The verse) 'We blame not the bowl of great birth' contains the word 'great,'
2.18.14	for this day is described as 'great.'
2.18.15	'Of the aged, grey-haired Hotr,' is the Water hymn, addressed to the All-gods.
2.18.16	For that is the water of the gods.
2.18.17	He places a Nivid in the (hymn) of the one-day rite.
2.18.18	The one-day (rite) is support, so that support is won.
2.18.19	The (hymn of the) one-day rite is addressed to Vaiśvānara.
2.18.20	The one-day- (rite) is support, so that support is won.
2.18.21	'The Maruts rushing onwards with gleaming lances,' is a hymn to the Maruts.
2.18.22	(The hymn) contains the words 'mighty' and 'great' in 'Ye great ones, mightily and wide ye rule,'
2.18.23	for this day is described as great.
2.18.24	'Of a truth the fair refulgence was established' is a hymn to Jātavedas. The last (verse), 'With hymns of might hath Agni now been praised,' contains the word 'hymn.'
2.18.25	That is the symbol of this day. These are the hymns of the Āgnimāruta (Śastra).
2.18.26	These are the hymns of this day.
2.18.27	So ends the Agniṣṭoma.
2.18.28	Brahman (n.) is the Agniṣṭoma.
2.18.29	Brahman is this day.
2.18.30	So they place Brahman in Brahman.
2.18.31	They obtain immoṛtality who observe (the ritual of) this day.
7.1.1	Om. I shall proclaim the right,
7.1.2	I shall proclaim the true.
7.1.3	May that avail me; may that avail the speaker; may it avail me; may it avail the speaker.
7.1.4	In me be radiance; in me greatness.
7.1.5	Speech rests on my mind;
7.1.6	my mind on speech.
7.1.7-8	Be thou revealed to me, that art hidden in Veda and Sāman.
7.1.9	Right, hurt me not.
7.1.10	I spend day and night in learning this.
7.1.11	Agni, honour and oblation, honour and oblation;
7.1.12	honour be there to the Ṛṣis who made the Mantras, who are lords of the Mantras, to the gods.
7.1.13	May Sarasvatī be propitious, bearing favour, and kindly to us. May we not be severed from thy sight.
7.1.14	Mind undeceived, living eye, sun best of lights.
7.1.15	Consecration, harm me not.
7.2.1	Then follows the Saṃhitā Upanisad.
7.2.2	'Earth is the symbol of the former, the sky of the latter. Wind is the union,' says Sauravīra Māṇḍukeya.
7.2.3	'Ether is the union,' Māṇḍavya taught in this connection, 'for it is not considered independent, and so I have not agreed with his son.'
7.2.4	Agastya says, 'It is independent.'
7.2.5	So wind and ether are the same.
7.2.6	So far as regards the deities.
7.2.7	Now as regards the self.
7.2.8	'Speech is the symbol of the former, mind the form of the latter. Breath is the union,' says Sauravīra Māṇḍukeya.
7.2.9	Then his son, Dīṛgha (the tall one), says, 'By mind he first proclaims, then speaks with speech.
7.2.10	Therefore is mind the symbol of the former, speech of the latter. The union is mind, speech, and breath.'
7.2.11	This chariot, drawn by horses, with a triple yoke, compact of mind, speech, and breath, bears (man) to the world of heaven.
7.2.12	He who knows thus this union is united with children, cattle, glory, holiness, the world of heaven. He lives all his days. So the Māṇḍukeyas.
7.3.1	Then follows (the doctrine) of Śākalya.
7.3.2	The earth is the symbol of the former, the heaven of the latter. The wind is the union; the rain is the junction, Parjanya the joiner.
7.3.3	When a great cloud rains mightily and unceasing, (they say), 'Heaven and earth have joined together.'
7.3.4	So far as regards the deities.
7.3.5	Now as regards the self.
7.3.6	This person is all egg-shaped.
7.3.7	There are two halves.
7.3.8	In it this is the symbol of the former, this of the latter.
7.3.9	Between them here is this ether,
7.3.10	just as there is that ether between heaven and earth. In this ether breath is stretched, just as in that ether wind is stretched.
7.3.11	As those are those three lights, so there are these three lights.
7.3.12	As there is that sun in the heaven, so there is this eye in the head.
7.3.13	As there is that lightning in the atmosphere, so there is this heart in the body.
7.3.14	As there is this fire on earth, so there is this seed in the oṛgan.
7.3.15	Thus, as it were, having compared the body (with the macrocosm) in all points, he says, 'This is the symbol of the former, this of the latter.' The union is mind, speech, and breath.
7.3.16	This chariot drawn by horses, with a triple yoke, compact of mind, speech, and breath, bears (man) to the world of heaven.
7.3.17	He who knows thus this union is united with children, cattle, glory, holiness, the world of heaven. He lives all his days.
7.4.1	The earth is the symbol of the former, the heaven of the latter. Wind is the union, the quarters the junction, the sun the joiner,’ says Viśvāmitra.
7.4.2	So far as regards the gods.
7.4.3	Now as regards the self.
7.4.4	Speech is the symbol of the former, mind of the latter. Breath is the union, the ear the junction, the eye the joiner.
7.4.5	He who knows thus this union is united with children, cattle, glory, holiness, the world of heaven. He lives all his days.
7.5.1	Fire is the symbol of the former, the moon of the latter. Lighting is the union,’ says Sūryadatta.
7.5.2	So far as regards the deities. 
7.5.3	Now as regards the self. Speech is the symbol of the former, mind of the latter. Truth is the union.
7.5.4	He who knows thus this union is united with children, cattle, glory, holiness, the world of heaven. He lives all his days.
7.6.1	'The earth is the symbol of the former, the heaven of the latter. Time is the union,’ says Rādheya.
7.6.2	So far as regards the deities.
7.6.3	Now as regards the self. Speech is the symbol of the former, mind of the latter. The self is the union.
7.6.4	He who knows thus this union is united with children, cattle, glory, holiness, the world of heaven. He lives all his days.
7.7.1	'Speech is the symbol of the former, mind of the latter.
7.7.2	Knowledge is the union,' says Pauṣkarasadi. He who knows thus this union is united with children, cattle, glory, holiness, the world of heaven. He lives all his days.
