1.1.1.1	Oṃ.
1.2.1.10	They swell the waters, they do not lead the strong one to the wrong place. The form of the strong one is the form of Indra. This is the day of Indra, this is the from of this day.
1.2.1.11	Then they milk the Utsa, saying, "The milker, the inexhaustible." The milker is a form of Indra; this is the form of the Indra day.
1.2.1.12	"To Indra the great" (they sing). What is great is great, is endowed with great forms; this is the from of this day.
1.2.1.13	"They sing to Indra the great" What is great is endowed with great, is endowed great forms; this the form of this day.
1.2.1.14	The Sudāsa of the Naki tribe has mounted the chariot, he has been delighted. The form of this day is that of the one who has mounted and been delighted.
1.2.1.15	He praises all the Prastāras, for the attainment of all days, for the attainment (of the praise) of all Ukthas, for the attainment for all Prsthas, for the attainmnet of all Sastras, for the attainmnt of all Prāgas, for the attainment all Savanas.
1.2.2.1	May my praise be true, O Jariṭa, with force. He praises the truth, saying, "The truth is being churned." This is the truth, the day with truthful form, the form of this day.
1.2.2.2	This is indeed Vasu-kra. Brahman is Vasu-kra, this day is Brahman. By Brahman one attains Brahman.
1.2.2.3	They say, why did Vasu-kra take up this Marutvatīya? It is because no one else except Vasu-kra took up the Marutvatīyas and explained them. Therefore, Vasu-kra alone took up this Marutvatiya.
1.2.2.4	He recites the unformulated Prajapati hymn. Prajapati is unformulated. For the attainment of Prajapati.
1.2.2.5	He recites it once, Indra, and thereby does not fall away from the form of Indra.
1.2.2.6	"He recites, "Drink Soma, O fierce one, who strikes."
1.2.2.7	"The great, the cow-giving, is praised in Indra," (the verse) has a great form, the form of this day.
1.2.2.8	Bharadvaja was the most learned, the longest-lived, and the most ascetic of the sages. He removed sin by means of this hymn. Since he became the most learned, long-lived, and ascetic by reciting the Bharadvaja hymn, therefore one recites the Bharadvajas.
1.2.2.9	"He recites, "By what good fortune are the young ones of the same age?"
1.2.2.10	"He praises, he is praised, in the praise" - this is the praise of this day, the form of the praise is complete.
1.2.2.11	This is the Kasyabhi hymn, this is the name of the hymn that is Kasyabhi. By this Indra and Agastya knew the Maruts. When he recites the Kasyabhis, it is for the sake of recognition.
1.2.2.12	That is the life-giving (verse). He should recite this verse for him who is dear to him.
1.2.2.13	"O Indra, the bull, for battle, the Maruts." He praises.
1.2.2.14	"O bull, Indra." The form of Indra is bull-like. This is the Indra-form of this day.
1.2.2.15	This is indeed the (verse) of Visvamitra. Visvamitra was the friend of the universe.
1.2.2.16	The whole world becomes his friend, he who knows this, and for whom the Hotr recites this, knowing this.
1.2.2.17-18	"The Jāniṣṭha (hymn) is fierce, for the Turāyasa (hymn) to be recited in unison. The Ekāha (hymn), which is rich in forms, is recited in unison. Much is done on this day, whatever is done is for peace. Peace is the Ekāha. It is for peace and for the establishment. Those who know this and those for whom the Hotr recites this knowing this, they are established."
1.2.2.19	Those (verses) become ninety-seven by the words of the Parā (Upaniṣad). Those which are ninety, those which are thirty, those which are seven, that is the praise of the Sapti (Upaniṣads).
1.2.2.20	They are three times the first, three times the last, and one hundred. There are five fingers, four joints, two shoulders, two elbows, two armpits, two sides, two ribs, two breasts, two nipples, two navels, two thighs, two knees, two shins, two ankles, two feet, two toes, two nails, two eyes, two ears, two nostrils, two lips, two teeth, two jaws, two cheeks, two temples, two heads, two heads, and two heads. There are twenty-five. The other parts are twenty-five each. That makes one hundred. The self is the one hundred and first.
1.2.2.21	The hundred is the life, the strength, the energy of the sacrificer, established in the hundredth life, strength, and energy.
1.2.2.22	They come together in the Tristubh metre, for the midday is in the Tristubha.
1.2.3.1-3	They say, "What is the reason for the name 'Prenkha'?" This one here is Prenkha, the one who blows here. He moves in these worlds. That is the reason for his name 'Prenkhatva'. They say, "It should be one wooden plank," because this wind blows in one way, in its form.
1.2.3.4	They say that there should be three planks, for there are three worlds, each of three layers, in their form.
1.2.3.5	But this is not to be heeded.
1.2.3.6	There should be only two, for there are only two worlds, as it were, the two worlds of day and night, and the space between them is the world of the atmosphere. Therefore there should be only two.
1.2.3.7	If they are to be on the Udumbara (tree), then (the tree) is strength, and food is strength; for the securing of strength and food.
1.2.3.8	If they are to be in the middle (of the house), then (the house) is the middle of the people, and food is secured in the middle; then indeed he places the sacrificer in the middle of food.
1.2.3.9	The ropes are both right and left-handed, for some animals the ropes are right-handed, for others left-handed. In that the ropes are both right-handed and left-handed it is for the attainment of all animals.
1.2.3.10	They should be made of darbha grass, for darbha grass is the most auspicious of plants. Therefore they should be made of darbha grass.
1.2.4.1	They say that the height of the altar should be a span above the ground, for the heavenly worlds are measured by this much.
1.2.4.2	One should not pay attention to that.
1.2.4.3	They say that it should be the size of a thumb, for the vital airs are measured by this.
1.2.4.4	One should pay attention to that.
1.2.4.5-7	It is of the size of a fist. All food is prepared with this much. All food is obtained with this much. Therefore, it should be of the size of the fist. They say that one should ascend the Prāṅka facing east. This is in the form of that one who shines. One ascends these worlds facing east.
1.2.4.8	They say one should mount a horse. They mount a horse, saying, "By this we shall obtain all our desires."
1.2.4.9	One should not pay attention to that.
1.2.4.10	They say one should mount the boat from the stern. The boat is mounted from the stern. This boat is the path to heaven. If one mounts it from the stern, one goes to heaven. Therefore one should mount it from the stern.
1.2.4.11	One should touch it with the palm of the hand. The palm of the hand is like a tree. It is the most nourishing of all. Therefore one should touch it with one's palm.
1.2.4.12	He should mount with his arms. The hawk mounts on the wings. The tree is the wings. He is the most vigorous of the wings. Therefore one should mount with the arms.
1.2.4.13	He climbs up the stool of Udumbara wood, the Udgātṛ, for the stool is a female and the stool is a male. Thus he makes it a pair. It is for propagation.
1.2.4.14	He who knows this, propagates with offspring and cattle.
1.2.4.15	Then the food is Praṅkha, and prosperity is the seat. They ascend both the food and prosperity.
1.2.4.16	The Hotr priests ascend the seats together with the Brahmana priests.
1.2.4.17	The plants and trees, having cast off their fruits, take them up again. On this day they all take up the fruits together. They take up the strength and food. For the securing of strength and food.
1.2.4.18	They say, "One should descend with the Vasat-call."
1.2.4.19	One should not pay attention to that.
1.2.4.20-26	The one who sees and does it is the one who has not performed the Apaciti. They say that one should descend after having eaten, having restrained oneself. One should not pay attention to that. The one who sees and performs it for one who has not been invited is the one who performs the Apaciti.
1.2.4.27	The first day is the semen of the gods. Therefore one should descend from it. One should descend from it!
1.3.1.1	They say that one attains this day by the sound "hiṅkāra".
1.3.1.2	The sound "hiṅkārā" is indeed Brahman. This day is Brahman. He who knows this attains Brahman by Brahman.
1.3.1.3	For the bull is the "hiṅkāra" sound, and the cow is the "hiṃkāra" sound. This is a pair, and he makes it a pair in the Utkamukha (hymn). For propagation.
1.3.1.4	He who knows this is propagated with offspring and cattle.
1.3.1.5	Whatever one accomplishes with the sound "hiṅkāra", it is like the action of a broom. The sound "hiṅ-kāra" of Brahman is like that. Whatever one desires to accomplish with the broom, one accomplishes it by the sound "hiṃkāra".
1.3.1.6	One who knows this accomplishes whatever desire one may have.
1.3.1.7	The Hinkāra is the turning away of speech from the divine and the human.
1.3.1.8	When he turns away from speech by means of the Hinkāra, he turns away the divine and the man-like speech.
1.3.2.1	They say, "What is the foundation of this day?"
1.3.2.2	One should say, "The mind and speech."
1.3.2.3	All desires are in the other, and all desires are in the one.
1.3.2.4	All desires are in the mind, and the mind contemplates all desires.
1.3.2.5	All desires rest in him who knows this.
1.3.2.6	Speech carries all desires, for speech speaks all desires.
1.3.2.7	Speech carries for him all desires who knows this.
1.3.2.8	They say that one should not attain it through the Rg, Yajus, or Sama Veda, nor should one go beyond the Rg,Yajus, or Sāma Veda.
1.3.2.9	One should recite these very Vyāhṛtis before.
1.3.2.10	These three are the Vyāhṛtis. These three are the Vedas. Bhūr is the Ṛgveda, Bhuvah is the Yajurveda, and Svah is the Sāmaveda.
1.3.2.11	One does not attain it through the Ṛg, Yajus, or Sāma. One does not go to the Ṛg Veda, Yajur Veda, or Sāman Veda.
1.3.3.1	He understands it as "that" or "that" and thus understands it as food.
1.3.3.2	Prajapati uttered this first speech, consisting of one and two syllables, "tata" and "tata".
1.3.3.3	In the same way, the young child utters the first speech, consisting one and two syllables "tata" and tata".
1.3.3.4	He understands it by that very speech consisting of "tata".
1.3.3.5	The sage Brihaspati has said this: "The first of all words." For this is indeed the first of all words.
1.3.3.6	"They who are called by names," for names are given by speech.
1.3.3.7	"What is the best of them, what is the most excellent?" This is indeed the best, this is the most excellent.
1.3.3.8	This is the secret of the gods. This is the secret in the Self. These are the gods. This has been revealed. This is the divine. This is said.
1.3.4.1	This is the highest in the worlds. This is the highest in all the worlds.
1.3.4.2	Because he was born as the fierce and powerful one, therefore he was born as fierce and powerful.
1.3.4.3	"Because he was born, he immediately destroys the enemies." He was born and immediately destroyed evil.
1.3.4.4	"Because all the Uma-s rejoice in him," the Uma-s are the beings, they rejoice in him. "He has risen, he has risen," he has risen.
1.3.4.5	"He has grown in strength, the mighty one," for he is the one who has grown in strength.
1.3.4.6	"He makes the enemy of the slave more miserable," for everything is afraid of him.
1.3.4.7	"He has cut off and cut off the living and the non-living," he says this meaning the living and the lifeless.
1.3.4.8	"They have made your nine (gifts) in your libations." He says, "All is under your control."
1.3.4.9	"All the worlds honour you." He says, "All beings, all minds, and all rites honour you."
1.3.4.10	When these are repeated twice and thrice, it is said, "Oṃ, the auspicious one." Two beings beget offspring in union; for propagation.
1.3.4.11	He who knows this begets offspring and cattle.
1.3.4.12	"Sweet, sweeter, sweet, generate with sweetness." Union is sweet; offspring is sweet. By union he generates offspring.
1.3.4.13	"He who is sweet with sweetness, with sweetness." The two are sweet, offspring is sweet. With the two he fights with offspring.
1.3.4.14	That has been said by the Rishi:
1.3.4.15	"He who makes his own body to be born." He says that this is the one of the body and this is the one made of the Chandomas.
1.3.4.16	Then indeed the body is the remedy for the body. He says this, indeed, for the body of the body.
1.3.4.17	For it, the eight syllables are the Gāyatrī, the eleven are the Tristubh, the twelve are the Jagatī, and the ten are the Virāṭ. The ten are established in these three metres.
1.3.4.18	The Purusha is the three-syllabled Viraj.
1.3.4.19	These are indeed all the metres, which are the four Viraj. Thus indeed, he who knows this, attains this day with all the metres.
1.3.5.1	He sports with the Nadas.
1.3.5.2	The Nadas are indeed the Purusha. Therefore, when the Purusha speaks, everything resounds.
1.3.5.3	The waters that are flowing, they are the waters that flow from heaven, they make everything here flow. The waters that are the waters that are flowing from heaven, they are the ones that make everything here flow.
1.3.5.4	"The waters are the young women, those that are in the sky, for they flow like water. The waters are the young ones, those that are sweating, for they creep like water.
1.3.5.5	"The husband of the uninjured ones," the waters are the uninjured ones, those that arise from the smoke of Agni, the waters are the injured ones, those that flow from the penis.
1.3.5.6	"The cows are the waters, and they are the ones who nourish this entire world. The meaning of the phrase 'they nourish' is that they are the ones that nourish. The meaning of 'they are the ones who pour down' is that they pour down."
1.3.5.7	The bull moves in the Tristubh and Anustubh metres. The Tristubh is the male, the Anustubh the female. This is the union. Therefore, even after knowing his wife, a man feels that he has become complete.
1.3.5.8	They are twenty-five in number. The Self is twenty-five, Prajapati is twenty-five. There are ten fingers, ten toes, two thighs, two arms, the Self is twenty- five. He makes this Self twenty-five.
1.3.5.9	Now this is the twenty-fifth day, and the twenty-fifth is the Stoma of this day. Thus he attains the even by the even. Therefore there are two sets of twenty-five.
1.3.6.1	He attains it thus, and thus it is. Food is food. Thus he attains it.
1.3.6.2	Prajapati, the first to speak, spoke this first word, "Tatah, Tatah."
1.3.6.3	In the same way, the young boy, the first to say, speaks this first word, “Tatah, Tatas.”
1.3.6.4	He attains it with that very word, "Tatas."
1.3.6.5	The sage Brihaspati has said this: "The first of all words." For this is indeed the first of all words.
1.3.6.6	"They who are called by names," for names are given by speech.
1.3.6.7	"What is the best of them, what is the most excellent?" This is indeed the best, this is the most excellent.
1.3.6.8	The secret of these is hidden in the cave. This is the secret of the Self. These are the deities. They have come out. This is the supreme deity. This is what is said.
1.3.7.1	"He reflects, "This is the most excellent among the worlds." What is most excellent is great. The form of this day is endowed with great and excellent forms. " "May your fame be great, O Maghavan, for greatness." The form of this da is endowed with great forms.
1.3.7.2	"He has indeed grown more for valour." The form of the day is endowed with valour.
1.3.7.3	The men have praised thee, O most manly, with songs and praises. This is the praise of the day, it is the form of the Upavasatha day, it is a form of the Upavāsatha day.
1.3.7.4	In the first foot, which is deficient in syllables, he wanders, for in the deficient (foot) the seed is sown, in the deficient (food) the breath, in the deficient the food is established, for the attainment of these desires.
1.3.7.5	He attains these desires who knows thus.
1.3.7.6	The two sets of ten syllables are for the attainment of both food and drink, namely, that which is the foot and that which is the cause of the foot.
1.3.7.7	There are eighteen sets of eighteen syllables, namely, the ten breaths, the self being the tenth, and the eight kinds of self-purification.
1.3.7.8	One attains whatever one desires, he who knows this.
1.3.8.1	One enjoys with the sound "na".
1.3.8.2	The breath is the river, hence the breath is the river. All resound as if resounding.
1.3.8.3	"The river of the flowing waters" - it is in Usniq verses and Anushtup feet. Breath is Usniq, speech is Anushtup.
1.3.8.4	He places breath and speech in him.
1.3.8.5	They are twenty-five in number. The Self is twenty-five, Prajapati is twenty-five. There are ten fingers, ten toes, two thighs, two arms, the Self is twenty- five. He makes this Self twenty-five.
1.3.8.6	Now this is the twenty-fifth day, and the twenty-fifth is the Stoma of this day. Thus he attains the even by the even. Therefore there are two twenty-fives.
1.3.8.7	Thus is the twenty-five in the Self.
1.3.8.8	Now the twenty-five as the Supernal.
1.3.8.9	The eye, the ear, the mind, speech, and the breath-these five deities enter this person. Five deities indeed enter this person.
1.3.8.10	Here, from the hair and nails, he is completely obtained with all his limbs. Therefore, all beings are obtained from the ants. They are born as such.
1.3.8.11	This was said by the sage:
1.3.8.12	"The Udgātṛ recites the Sāman in the form of 'Sahasradhā pañcadaśāni ukthāni' (i.e. the Udgātṛ chants the Sāman as 'Sahasradha pañcadaśāny ukthāni'). The Udgātṛ says, 'Sahasradhā pañcadaśāṇi ukthāni'. The Udgātā says, 'Sahasrādha pañcadaśānī ukthāni.' The Udgātār says, 'Sahāsrādha pañcada-śānī ukathāni.' The Sāman is recited in the form of Sahasradhā pañcadasāni ukthānī. There are five fifteenths in a thousand. As much as heaven and earth, so much is the Self."
1.3.8.13	"The Udgātā recites the Sāmā in the form of ‘Sahasradhā mahīyāni ukthāny’ (i.e., the Udgātā chants the Sāma as ‘Sahasradha mahīyāni ukhāni’). The Udgātāra says, ‘Sahasradhāmāhiyāni ukthānīm.’ The Udgātāt says, ‘Sahāsrādhamāhiyāni ukhānīm.’ The Sāman has been recited in the form ‘Sahasradhamāhiyāny ukthāny.’ The Udg
1.3.8.14	"As far as Brahma extends, so far does speech extend." Where there is Brahma, there is speech; where there is speech, there is Brahma. This is what is said.
1.3.8.15	Of these hymns, the first has nine verses. There are nine vital airs; for the fulfilment of the vital airs.
1.3.8.16	It has sixty verses. There are six seasons; for the fulfilment (of the seasons).
1.3.8.17	It consists of five verses; the Pankti has five feet; the Pankti is food; for the securing of food.
1.3.8.18	It consists of three verses.
1.3.8.19	These three worlds are threefold; for the conquest of these worlds.
1.3.8.20	They meet together; the Brihatî metre, the world of the gods, this is the Self.
1.3.8.21	Thus indeed, he who knows this, by means of this (Sutra), attains to the immortal Self, and becomes prosperous.
1.4.1.1	Now the Sutra-milkings.
1.4.1.2	The Sutra-milkings are the vital airs. By means of the vital airs, he unites the joints.
1.4.1.3	Now the neck.
1.4.1.4	They say that it is according to the metre, the Ushnih.
1.4.1.5	Now the Sūtra-milkings. The Sūtra-milking is the vital airs.
1.4.1.6	By means of the vital air, he unites the parts.
1.4.1.7	Now, then, the head.
1.4.1.8	It is in the Gāyatrī verses, for the Gāyatrīs are the foremost of the metres, and the head is the foremost of the limbs.
1.4.1.9	It is found in the Arka verses, for Agni is the Arka.
1.4.1.10	They are nine, for the head has nine cavities.
1.4.1.11	He recites the tenth, for the skin and hair are indeed it.
1.4.1.12	And also for the excess of Stoma.
1.4.1.13	These two are the Trivṛt and Gāyatrī Stoma and Chandaḥ. In accordance with the propagation of these two Stoma and Chando, all this is propagated, whatever is propagated.
1.4.1.14	He who knows this, propagates with offspring and cattle.
1.4.1.15	Now the Sūdadohas.
1.4.1.16	Sūdadohas are indeed the vital breath. He joins the joints with vital breath.
1.4.1.17	Now about Vijavas.
1.4.1.18	They are Viraj. Therefore one man says to another, 'You rule over us.' 'You hold the neck,' (he says), because he is supporting (it). When the messengers of the gods, the most truthful, the most truthful of all, have come to the most truthful, they have come to food, for Viraj is food, and food is strength.
1.4.1.19	Now the Sudadohas.
1.4.1.20	The Sudadohas are the breath. He joins the joints with the breath.
1.4.2.1	Now, then, the right wing.
1.4.2.2	This world is that Agni, that is speech, that is Rathantara, that is Vasishtha, that is a hundred, those are the six powers.
1.4.2.3	The Paṅkti is for the attainment of desires, for stability, for food.
1.4.2.4	Now, the Sūddhodhas.
1.4.2.5	The Sūddhodha is the breath; he joins the joints with breath.
1.4.2.6	Now, then, the northern section.
1.4.2.7	That is the world, that is the sun, that is the mind, that is the great one, that is Bharadvaja, those are the hundred, those are the six powers.
1.4.2.8	The Paṅkti is established for the attainment of desires, for stability, for food.
1.4.2.9-11	They are deficient and excessive. The male is the greater, the female the lesser. The excess is of the male, the deficiency of the female. Therefore they are deficient and excessive.
1.4.2.12	The Sudodhas are the vital airs; he unites the joints with the vital airs.
1.4.2.13	Now, then, the tail.
1.4.2.14	They are twenty-one feet, for there are twenty-one feathers of the bird Suparna.
1.4.2.15	And the twenty-one is the foundation of the Stoma, the tail is the foundation of cattle.
1.4.2.16	He recites the twenty-two verses for the sake of stability. This is the form of stability. Therefore all animals stand on their tails. They fly up with their tails. The tail is stability.
1.4.2.17	This man is established on these two twenty-two verses, which are Viraj and have two feet.
1.4.2.18	His Suparna form is for the attainment of his desires.
1.4.2.19	His Purusha form is for his prosperity, fame, food and nourishment.
1.4.2.20	Now the Sooda Doha.
1.4.2.21	Now the Dhayyas.
1.4.2.22	Now the Suddoha.
1.4.2.23	The bull is the Suddoha, the woman is the Dhayyā. He recites the Dhayyā from both sides of the Suddoha. Therefore, when the semen is deposited in two places, it becomes one. He knows that the woman is the source of offspring. Therefore, he recites to her here.
1.4.3.1	He recites the Gāyatrī with eighty-three syllables. This world is the Gāyatri. The eighty-three syllables are the fame, the greatness, the pair, the food, the nourishment, and the prosperity in this world. He desires to obtain them, to attain them, to possess them. They are mine.
1.4.3.2	Then the Sūdadohas.
1.4.3.3	The Sooda-dohas are indeed the vital airs. He sustains this world by the vital airs.
1.4.3.4	He recites the Barhaspatya verses eighty in number. The Barhaspatya is the world of the atmosphere. Whatever fame, whatever greatness, whatever pair, whatever food, whatever prosperity there is in the world of the sky, that he obtains, that he attains, that he wins, that belongs to me.
1.4.3.5	Now the Sūddhodhas.
1.4.3.6	The Sūddhodha is the vital breath. By the vital breath he connects the aerial world.
1.4.3.7	He recites the Ushniha verses eighty-three times. This world is Ushniha, eighty-three. Whatever fame, whatever greatness, whatever pair, whatever food, whatever prosperity there is in this world, whatever is divine among the gods, that he knows, that he obtains, that he attains, that belongs to him.
1.4.3.8	Now the Sudadohas.
1.4.3.9	The Sooda-dohas are indeed the vital breath. He sustains this world by the vital breath.
1.5.1.1	He praises the control, saying, "All this is under my control."
1.5.1.2	They are twenty-one in number, for there are twenty-one transformations inside the belly.
1.5.1.3	And the twenty-one is indeed the foundation of the Stotras, and the belly is the foundation of food.
1.5.1.4	They are the metres, for they are the metres. The smallest thing is the smallest, and the largest is the largest.
1.5.1.5	He recites them with the Praṇava and the metre-maker, as they are, for the smallest thing is as it is, the smaller is smaller, and the larger is larger.
1.5.1.6	Then the Sūddhodhas. The Sūddhodha is the vital airs. He unites the joints with the vital airs.
1.5.1.7-8	Having recited it twelve times, he releases it here. The vital airs are of twelve kinds here: seven in the head, two in the breasts, and three below. Here the vital airs are obtained, here they are purified. Therefore he releases it here.
1.5.1.9	They are six feet long. Man is indeed established in two ways. Animals have four feet. He thus establishes the sacrificer in two ways and in animals with four feet.
1.5.1.10	The second one has seven feet. He makes it Gāyatrī and Anushtubh. Gāyatrī is indeed Brahman, Anushtubh is speech. Thus he unites speech with Brahman.
1.5.1.11	He recites the Tristubh verse at the end. The Tristubh is vigour. By means of vigour he approaches the cattle. Therefore cattle follow vigour. It is the attainment and the rising.
1.5.2.1	"He places the offering in the Indra-Agni verse, "For you, O great, for the moving Soma..." He places it in the Indra-only verse. He places it in a verse which is directly related to himself. He places vigour directly in himself.
1.5.2.2	They are Tristubh and Jagati verses.
1.5.2.3	They say, "Why does he place the Nidhana in Tristubh and Lagati verses?"
1.5.2.4	Because in this day no one placed the Nidhana in any one of the metres or explained it, therefore he places the Nidhana in the Tristubh and Gagati verses.
1.5.2.5	This day is to be known as having three Nivits. The Nivit of Vasu, the Nivit of Valakhilya, and the Nivit itself. Thus one should know it as having three Nivit.
