1.1.1	Prajapati is the year.
2.1.7-14	He thus makes it prosper with his own speech. It is recited in the Anirukta (Sutra). Prajapati is indeed Anirukta. That is the form of Prajapati. Some say that it should be in the Kavati (Sutra). What is Prajapati? That is the Prajapati form. Then he recites this silent praise in a low voice.
2.1.15	Speech is this day, silence is the chanting.
2.1.16	He makes speech prosper by means of mind.
2.1.17	"It was the best in the worlds." This is the Stotriya verse.
2.1.18	"He has grown by strength, the mighty one." This is the Vridhavat verse.
2.1.19	This day is indeed great.
2.1.20	This is the twenty-fivefold Self.
2.1.21	He recites it with the word 'river'.
2.1.22	The Self is twenty-five, the beings are the animals, the river is the calamity.
2.1.23	He thus makes the Self approach with beings and animals, with food and drink.
2.1.24	He makes the earlier verses in the Tristubh metre, and the later ones in the Nadastobha metre.
2.1.25	With the first Tristubh verse, he joins the first part of the river and then flows.
2.1.26	With the second Tristubh verse he joins the second part and flows.
2.1.27	With third Tristubh verse joins the third part and then flows. With the fourth Tristubh verse
2.1.28	he joins the fourth part and then flows.
2.1.29	Thus he recites the first three times, the later ones in the reverse order. Thus he recites them.
2.1.30	He omits the second half of the third verse of the Sukta and the second half of Nadasi.
2.1.31	This is the opening of the mouth. Through this he speaks. One speaks through the mouth.
2.1.32-34	He recites them first among the bipeds. Thus his Stotriya is not interrupted. Having praised himself, he then recites the Soodadoha. The joints become connected. The Soodadoha is indeed the waters. By the waters these joints become connected. The Soodadoha indeed is immortality. He thus places immortality in himself.
2.1.35	Now the Sūdadohā is the form of the Avāsyā.
2.1.36	Just as a piece of wood, when it is heated, becomes pliable and can be bent, so the Sūdadohās are the binder of all the Vedas.
2.2.1	Then he recites these Shirsnyas.
2.2.2	They are three verses.
2.2.3	There are three skull-bones on his head.
2.2.4	He thus unites them with these (verses).
2.2.5	Those three again are each divided into three, making nine verses.
2.2.6	There are nine vital airs in the head.
2.2.7	They are with Arkas.
2.2.8	That is the form of this day.
2.3.1	Then he recites this Graiva (verse).
2.3.2	There are three verses.
2.3.3	There is a junction of three necks.
2.3.4	He thus joins them together with these (verses).
2.3.5	The Uṣṇīṣ is the last (verse).
2.3.6	This is the Skandhas, the Vidyut, the Avūḍha.
2.4.1	Then he recites this verse:
2.4.2	It is a Tristubh verse.
2.4.3	Therefore the Akṣa is the largest.
2.4.4	"Thy arms, O Indra, are strong, O mighty one," (is a verse) corresponding to the arms.
2.4.5	Then he chants the Anurūpa verses of the Rathantara Stotriya.
2.4.6	The Brahmanical text has been recited in regard to them.
2.4.7	Then he recites the Dhayyā verse.
2.4.8	This (earth) is the Dhayyā.
2.4.9	For this one is beneficial to all beings.
2.4.10	It is placed on the right side.
2.4.11	Therefore a woman lies on the right side of a man.
2.4.12	Then he chants the Rathantara Prastara.
2.4.13	The Brahmanical text has already been recited in regard of it.
2.4.14	He is the one who is to be worshipped by the leaders. This is the verse. It is recited at the end.
2.4.15	Having recited the second verse, "All others have gone to the king of enemies,"
2.4.16	He makes the second verse here.
2.4.17	He places these two wings in a crosswise position for non-separation.
2.4.18	Therefore, he enjoys all the rites with these two wings.
2.5.1	Then he recites this Prahasta hymn.
2.5.2	There are three verses in it.
2.5.3	There are indeed three joints in his hand.
2.5.4	He joins them with these (verses).
2.5.5	The first is the Atichandas, and this is the thumb.
2.5.6	Therefore this thumb is the most important of all fingers.
2.5.7	The right wing is the Rathantara.
2.5.8	Or the northern wing is the Brāhmaṇa.
2.5.9	This is said to be the Brāhmaṇas.
2.5.10	These two wings are the Brāhma and the Atharva, each consisting of twenty-four verses.
2.5.11	There are twenty-four half-months in a year, for the attainment of the year.
2.6.1	Then he recites these four additional verses, following the sequence.
2.6.2	They become twenty-one verses.
2.6.3	There are twenty-one joints in the neck.
2.6.4	He joins them with these (verses).
2.6.5	They consist of seven triṣṭubh verses.
2.6.6	There are seven metres; for the attainment of all metres.
2.6.7	They have Arkas (verses).
2.6.8	That is the form of this day.
2.7.1	Then he recites these eighty verses.
2.7.2	He praises the Stotriyas with these (verses). The Gâyatrî, the Anushtubh and the Brhat are the Gâyatra.
2.7.3	The Gâyatrî is the right side of this (earth), the Anushtubb the left, and the Brhat the middle.
2.7.4	Food is placed in the middle of the body.
2.7.5	The Anushtubh is the middle of the Tristubh.
2.7.6	The verses of the Vaisvānara and the Arkasvatī are in the form of the Vaisvañara and the Arksvatī.
2.7.7	For Viśvāmitra saw it.
2.7.8	The verses of the Mahdvati and the Vridhvati are in the form.
2.7.9	Mahdvati and Vridhvati.
2.7.10	The Mahdvati is the Mahdvati, for this day is Mahdvati.
2.8.1	He recites the Gayatri verse "Indra is great, he is powerful" and attains the eighty verses with the Stoma verses "He has grown with the calf" in the Mahdvati form and the Vridhvati form.
2.8.2	It is of the Mahdvat and Vridhat kind.
2.8.3	It is of the Mahdvata kind, for this day is of the Mahdavat kind.
2.9.1	He recites the verse, "O Indra, thou art the giver of strength," and then recites the verse "O Indra, the giver of strength, thou art the protector of the sacrificer." The Mahdvati and Vridhatis are of the Mahdvati and Mahdvati kinds.
2.9.2	It is Mahdvati and Vrldhati.
2.9.3	It is Vrldhati, for this day belongs to the Vrldhati.
2.9.4	This is yours, O Indra, O Hari, with your gentle steeds. So says the hymn.
2.9.5	What he sings at the end, that is the ascent of the eighty Uṣṇīhi verses with the accomplished Brihatī verses.
2.10.1	Indra in the pressed Soma juices. Thus he attains the eighty Uṣnīhi verses. The great one knows the power of the giver, for he is great. With the verses of Vrīdha and Mahd.
2.10.2	The Gāyatrī verses are to be recited in the Mahāvrata and Mahāvrata-like rites.
2.10.3	This day is indeed great.
2.10.4	These eighty verses, when arranged, make up twenty-seven hundred verses.
2.10.5	There are twenty-seven hundred days and nights in a year. One thus attains the days and nights of a year by means of eighty (verses).
2.10.6	Some perform the Gāyatrī and Uṣṇīsa verses with the Sāman verses.
2.10.7	Some others take up four syllables again.
2.10.8	He takes up the Barhaspatya verses, the Kakubha verses and the Praga tha verses, each consisting of four syllables. These make up four hundred and four syllables. He places these in the Gayatri verses.
2.10.9	Thus the Gayatri verses are completed by the Ushnih verses.
2.10.10	One should not be angry.
2.10.11	Here it is accomplished.
2.10.12	"He sings the Sama to Indra."
2.10.13	"That which he praises at the end, with the accomplished Usnijas, is the ascent to the Vasha."
2.11.1	Then he praises the Vasha.
2.11.2	The Vasha is the belly.
2.11.3	With that accomplished, one should proceed to conquer the next.
2.11.4	Whatever is outside of that, he burns it from there, whatever is inside the belly.
2.11.5	Therefore many deities and many metres are mentioned as being under his control.
2.11.6	Therefore this much of food is stored in the belly in many forms.
2.11.7	Now these two verses are sung in the Vihṛta metre.
2.11.8	Now the Sūda-dohās.
2.11.9	It is released from there itself.
2.11.10	Here it is praised twenty-four times.
2.12.1	Now he sings these two verses in the Vipada metre.
2.12.2	The Pratiṣṭhānīya (hymn) is to be recited; the verses are of two feet; it is for stability.
2.13.1	Then he recites the Indra-Agni hymn, which is to be chanted in the Gāyatrī metre.
2.13.2	Indra and Agni are stability; it is for the sake of stability.
2.14.1	Then (he recites) the hymn of Avapana.
2.14.2	Avapana is stability; it is indeed for stability.
2.14.3	And these (verses) again become directed towards the east.
2.15.1	Then he recites the Anuṣṭubh verse.
2.15.2	This is the speech day, and the Anuṣṭup is speech. He thus establishes speech in speech.
2.15.3	"He goes to heaven, he goes to heaven." With this hymn he approaches the gods.
2.15.4	"He (Agni) who is wise, who is growing, who is old." This is a verse of the Arka. It is prosperous.
2.15.5	The Gāyatrī is the last verse. It is prosperous.
2.15.6	"He is great, he is great, he has great power."
2.15.7	This day is great.
2.16.1	Then he recites this hundred verses of Tristubh.
2.16.2	This is Indra's metre, namely Tristubh. He thus makes him prosper with his own metre.
2.16.3	The Hairaṇyasthūpīya, the Yātaūtiya, the Bṛhatratantara, and the Bṛhatrathantara are the two sets of verses recited before the two sets of Rathantara verses.
2.16.4	And the Adhvaryus offer the Soma to Indra, the lord of wealth. These are twenty-seven verses.
2.16.5	There are twenty-seven constellations.
2.16.6	He attains the constellation Viraj.
2.16.7	One should chant the hymn of Visvamitra.
2.16.8	For Visvamitra saw it.
2.16.9	One should recite the hymn of Vamadeva, for this is the left of the gods.
2.16.10	He should praise Vasishtha, for this is the Vasishtha of the gods.
2.16.11	There, before the Udbrahma hymn, he praises the following verses:
2.16.12	All desires are contained in this hymn.
2.16.13	Just as a herdsman, having let loose the cattle in the pasture, would spend the day in the pasture, so also, having taken all desires on both sides by means of these foot-steps, he takes them into himself.
2.16.14	And the last one is the Udumbari hymn with the Arka verse.
2.16.15	This is the form of this day.
2.16.16	He encloses three times with the formula.
2.16.17	Having enclosed, he recites the Ukthavīrya.
2.16.18	The first day is one day.
2.16.19	The day of consecration is the day of consecration.
2.16.20	The last day is the great vow.
2.16.21	It is great because it is great.
2.16.22	This day is great.
2.17.1	In the Sūda-dohās, which are performed once, when the number is counted in the Upasargantī, except for the silent chanting, it becomes a thousand Brihatī verses.
2.17.2-8	Now, of that thousand verses of the Brihatī metre, there are thirty-six thousand verses. There are as many days in a hundred years. One attains the days of a hundred years. The Anushtubh is complete. Some say that this is the day of speech. Speech is the Anushtubh. Speech is all beings.
2.17.9	Then indeed, this is all speech.
2.17.10	It is indeed established as the Brihatī-sāman.
2.17.11	This one who shines is indeed the Barhaspatya.
2.17.12	He makes it prosper with its own metre.
2.17.13	He calls three times.
2.17.14	These are indeed the three worlds.
2.17.15	He attains these worlds.
2.17.16	The Yajya is for one day.
2.17.17	One day is indeed prosperity. By prosperity.
2.17.18	They place the Prēṅkha-vessel on the ground without reciting the Vasat-call.
2.17.19	He descends towards the east with the vessel.
2.17.20	He removes the Prēṅkhas from the east.
2.17.21	Reciting the verse, "I have followed the one who has been born, I have followed him who is born," he touches the vessel.
2.17.22	The Atigrahya vessel of Visvakarman.
2.17.23	This is the Prajapati day.
2.17.24	Prajapati is the creator of all.
2.17.25	He thus makes him prosper in his own form.
2.17.26	This day Indra told to Angiras, Angiras to Dirghatamas.
2.17.27	Then Dirghatamas lived for ten human years.
2.17.28	The sage Dirghatamas, the son of Matamati, the son of Jujuru, has said this in the tenth age.
2.17.29	This is the right thing to say for one who desires long life, says Koushikan.
2.17.30	He who knows this and recites it on this day, attains the full span of life in this world.
2.17.31	He attains immortality and the unshakable world of heaven.
2.18.1-7	"We choose the Savitar of this (day)," is the first verse of the Visvadevas. "We choose," is the second verse of the Mahdvati. The Mahdvati is a great verse, for this day is great. "O god Savitar, today," is the Anucara. "We have found all good things," is the second Mahdvati. The Mahdvati is great, for this day also is great. This is the Savitri of the Mahdvata. "This is the great gift of the god Savitar."
2.18.8-14	This day is indeed great. "For they are the heaven and earth, the all-shining ones." This is the heaven and earth. "The great-spreading one, the mighty one, shines." This is great. This day is indeed great.
2.18.15	This is the water of the Visve Devas.
2.18.16	For water is the water of all the gods.
2.18.17	He places the oblation for the one-day sacrifice.
2.18.18	The one-day sacrifice is indeed a foundation, and it is through the foundation that he places it.
2.18.19	The one day sacrifice is indeed the one belonging to Vaisvānara,
2.18.20	The one- day sacrifice is indeed a Foundation, and it is by means of the Foundation that he places it,
2.18.21	"The Maruts are the sacrificers, the shining ones," this is the Marut offering.
2.18.22	"The great one shines in greatness."
2.18.23	It is great, for this day is great.
2.18.24	"Here is the light, it has been placed in the body, it has been shown." This is the Agni-Jatavedas hymn. "With the shining ones, with the shining ones." The last verse is with the word "ark."
2.18.25	"This is the form of this day." The Agni-Marut hymns.
2.18.26	These are the verses of this day.
2.18.27	This Agniṣṭoma comes to an end.
2.18.28	Agniṣṭoma is indeed Brahman.
2.18.29	This day is Brahman.
2.18.30	They indeed establish Brahman in Brahman.
2.18.31	Those who perform this day attain immortality. Those who perform this day.
3.1.1	Gangayani Chitra, while about to perform a sacrifice, chose Aruṇi.
3.1.2	He thought of his son Śvetaketu, saying, "Let him perform the sacrifice."
3.1.3	When he arrived, he asked, "O son of Gautama, is there a known world in which you will place me, or some other path in this world?"
3.1.4	He replied, "I do not know that. Let me ask the teacher."
3.1.5	He approached his father and asked him, "How should I reply?"
3.1.6	He said, "I also do not know this."
3.1.7	We study our own lessons like students and receive whatever others give us.
3.1.8	"Come, let us both go."
3.1.9	He approached Citra Gangayani with joined palms, saying, "I am coming."
3.1.10	He said to him, "O Gautama, you are worthy of Brahma, since you did not come with pride.
3.1.11	Come, I shall instruct you."
3.2.1	He said, "All those who depart from this world go to the moon.
3.2.2	The waning fortnight is nourished by their breath.
3.2.3	He generates them in the dark fortnight.
3.2.4	This is indeed the gate to the heavenly world, namely the moon.
3.2.5	He who answers him, he lets go.
3.2.6	But he who does not answer him, he rains here as rain.
3.2.7	Here he is reborn as an insect, a bird, a fish, a hawk, a lion, a boar, a dog, a tiger, or a man, in those places, according to his deeds and knowledge.
3.2.8	When he has come, he is asked, "Who are you?"
3.2.9	He should say to him, "The seasons have brought the seed from the fifteen-born, from the fatherly, and that you have deposited in the male, the agent, and the male, the father, has been deposited in the mother.
3.2.10	He is born, being born, the twelfth or thirteenth month.
3.2.11	The father, the twelve and the thirteen, I know that, I know that. The seasons, the immortal ones, have begun.
3.2.12	By that truth, by that austerity, I am the season, I am the seasonal one.
3.2.13	"Who are you?" "I am." He lets him go.
3.3.1	He comes to the path of the gods, and reaches the world of Agni.
3.3.2	He goes to the world of Vayu.
3.3.3	He goes to the world Varuna.
3.3.4	He goes the world of Indra.
3.3.5	He goes into the world of Prajapati.
3.3.6	He goes in the world of Brahma.
3.3.7	The lake Aroha, the staff-bearing Muhurta, the river Vijara, the tree Ilaya, the place of assembly Salaja, the unvanquished abode Aparajita, the door-keepers Indra and Prajapati, the measuring Vibhu, the couch of the discerning, the inexhaustible energy, the couch, the beloved mental one, the agreeable one, the one with eyes, having taken the flowers, he went to the Amba, the Ambayavi, the Apsaras, the Amba, and the rivers.
3.4.2	They adorn him with the ornaments of Brahma.
3.4.3	He, adorned with the ornaments of Brahmā, knowing Brahmā, approaches Brahmā.
3.4.4	He comes to the lake Āra.
3.4.5	He crosses it mentally.
3.4.6	Having crossed it, those who know the truth bathe there.
3.4.7	He comes in a moment to the place where the sticks are kept.
3.4.8	They flee from him.
3.4.9	He comes to the river Vijara.
3.4.10	He crosses it only in his mind.
3.4.11	There, good and bad deeds are washed away.
3.4.12	His dear relatives enjoy his good deeds, and his enemies enjoy his bad deeds.
3.4.13	Just as a person running with a chariot would look at the chariot wheel, so one should look at the day and night, and at all the pairs of opposites, good and bad.
3.4.14	He who is well-versed in the Veda, who knows the Veda, he indeed goes to the Brahman.
3.5.1	He comes to the Ilam tree.
3.5.2	The fragrance of Brahman enters him.
3.5.3	He comes into the Sâla-tree grove.
3.5.4	The taste of Brahman enters him
3.5.5	He comes to Aparajita, the abode.
3.5.6	The fame of Brahman enters him.
3.5.7	He comes, Indra-Prajapati, the doorkeepers.
3.5.8	They flee from him.
3.5.9	He comes, the all-pervading, the measured.
3.5.10	He enters the Brahma-tejas.
3.5.11	He comes to the discerning couch.
3.5.12	The two Sāman chants Brihat and Rathantara are the two earlier feet, and the two Śyaitanaudhasa are the two later feet.
3.5.13	The two Anūcya chants Vairūpa and Vaireja.
3.5.14	The two Tirāśī chants Śākvara and Raivata.
3.5.15-22	That wisdom is wisdom, for it sees with wisdom. He approaches the couch of immeasurable splendor. That is the breath. Its past and future feet are Śrī and Arā, and its two posterior feet are Śrīś and Arāś. In the Bhadra-yajña-yajīya (hymn), in the Śīrṣaṇya (hymn). In the Bṛhad-ratha-ntara (hymn), the Anūcya (hymn). The verses and chants are stretched out in the east, the Yajus formulas are stretched out in a diagonal direction. The Soma-drops are the covering.
3.5.23	The Udgītha is the support.
3.5.24	Sri is the ornament.
3.5.25	Brahma is in that.
3.5.26	He who knows it thus ascends to the top by the foot alone.
3.5.27	Brahma asks him, "Who are you?"
3.5.28	He should reply to him:
3.6.1	"I am the season."
3.6.2	"I am seasonal."
3.6.3	The semen, which is born from space, becomes the body of the year, which is the form of light, and the self of the being.
3.6.4	You are the self of the self of the beings.
3.6.5	You are what you are, I am that.
3.6.6	He says, "Who am I?"
3.6.7	One should say, "Truth."
3.6.8	What is that which is truth?
3.6.9	What is other than the gods and the vital airs, that is truth.
3.6.10	Now, what the gods and the vital airs are, that is truth.
3.6.11	That is expressed in one voice as truth.
3.6.12	This is all that there is.
3.6.13	He says to him, "This is all, I am."
3.6.14	This is expressed in a verse:
3.7.1	He is the belly of the Yajus, the head of the Sama, the body of the Rig, the imperishable one. He is to be known as the Rishi, the great one consisting of Brahman.
3.7.2	He says, "By what did you obtain the masculine names?"
3.7.3	One should say, "By the breath."
3.7.4	"By what did you get the neuter names?"
3.7.5	"By the mind."
3.7.6	"By which did you get the feminine names?"
3.7.7	"The voice."
3.7.8	"By whom did you get the smells?"
3.7.9	By the nose.
3.7.10	By what does one perceive forms?
3.7.11	By the eye.
3.7.12	By what sound?
3.7.13	By the ear.
3.7.14	By what food and taste?
3.7.15	By the tongue.
3.7.16	By what action?
3.7.17	By the hands.
3.7.18	By what happiness and suffering?
3.7.19	By the body.
3.7.20	By what joy, delight, and procreation?
3.7.21	By the genitals.
3.7.22-27	By what is it known? By the feet. By what is it known that the desires are to be known? One should say by wisdom alone. He says, "The water indeed is my world. This is yours." He who knows this, he conquers that victory of Brahman, he enjoys that prosperity. He who knows this, he conquers that victory, he enjoys that prosperit
4.1.1	Kauṣītaki said, "Prāṇa is Brahman."
4.1.2	The mind of this Brahman-Prāṇa is the messenger, the eye is the protector, the ear is the hearer, and the speech is the enveloper.
4.1.3	He who knows the mind as the messenger of this Brahman-Praṇa becomes a messenger.
4.1.4	He who sees the eye as the protector becomes a protector.
4.1.5	He who is the hearer, the listener, and the hearer of the hearer.
4.1.6	He who is the speech, the enveloper, and the enveloper of the enveloper.
4.1.7	To this Brahman, to this life, these deities bring oblations when he is asking for them.
4.1.8	Thus indeed, all beings bring oblations to him when he is asking, for him who knows thus.
4.1.9	He should not beg for his Upanayana.
4.1.10	Just as one who has begged in a village and not obtained anything sits down, saying, "I will not eat anything given from here," those who had refused him earlier would then advise him,
4.1.11	"This is the rule for one who does not beg."
4.1.12	Those who give food would then advise him: "We will give you."
4.2.1-6	Paiṅgya said, "Breath is Brahman." The eye and the ear are beyond that breath, which is Brahman. The ear is beyond that, and the mind is beyond that. The mind is beyond that, but the breath is beyond that. The breath is beyond that, and for that breath, which also is Brahman, these deities bring oblations to the one who is seeking.
4.2.7	Thus indeed, all beings, when asked, offer oblations to him who knows thus.
4.2.8	One should not beg for his Upanishad.
4.2.9	Just as one who has begged in a village and not obtained anything sits down, thinking, "I will not eat anything given from here," those who had refused him earlier approach him.
4.2.10	This is the dharma of one who does not beg.
4.2.11	Those who give food to him, they counsel him, saying, "We give to him."
4.3.1	Now, then, the exclusion of one-ness.
