1.1.1	The Dharma has been taught in the Vedas.
1.2.13	The Avantis, Angas, Magadhas, Surāṣṭras, Dakṣiṇāpatha, Sindhu and Sauvīras are of mixed origin.
1.2.16-17	In the case of many faults committed, they praise the Pavitresti, for it is the best purifier. And they also quote the Vaishvanari, the Vratapati, and the Pavitresti. One who employs them in the Rtava rites is freed from sins. One is freed from sins.
1.2.14	Having gone to the Āraṭṭas, Kāraskaras, Puṇḍras, Sauvīras, Vaṅgas, Kaliṅgas, and Prānus, one should again perform the sacrifice with the Stoma. One should perform with all the Prsthas.
1.2.15	They also say: "He who commits a sin by going to the Kaliṅgas, the sages have said that the offering to Vaisvānara is the atonement."
1.3.1	The Vedic life of a Brahmachari lasts for forty-eight years.
1.3.2	Twenty-four or twelve years for each Veda.
1.3.3	Or one year for each section of the Veda.
1.3.4	Or till death, because life is unstable.
1.3.5	The Vedic text says that one should perform the Agnihotra with black hair.
1.2.16-17	In the case of many faults committed, they praise the Pavitresti, for it is the best purifier. And they also quote the Vaishvanari, the Vratapati, and the Pavitresti. One who employs them in the Rtava rites is freed from sins. One is freed from sins.
1.3.6-9	His duties are not restricted by any rules, until the binding of the girdle. He is equal to a Śūdra in his livelihood, until he is born in the Veda. One should initiate a Brāhmaṇa in the eighth year from conception. In the ninth year, a Kṣatriya. In the tenth year, a Vaiśya.
1.3.1	The Vedic life of a Brahmachari lasts for forty-eight years.
1.3.2	Twenty-four or twelve years for each Veda.
1.3.3	Or one year for each section of the Veda.
1.3.4	Or till death, because life is unstable.
1.3.5	The Vedic text says that one should perform the Agnihotra with black hair.
1.3.10	Spring, Summer, and Autumn are the seasons in order.
1.3.11	The Gāyatrī, Triṣṭubh, and Jagatī meters respectively.
1.3.12	From sixteen to twenty-two, and from twenty-two to twenty-four, there is no excess in their order.
1.3.13	The Mauñjī, Dānujya, and Śāṇī are the girdles.
1.3.14	The black antelope skin, the Ruru antelope skin, and the Bāstājina are the skins.
1.3.6-9	His duties are not restricted by any rules, until the binding of the girdle. He is equal to a Śūdra in his livelihood, until he is born in the Veda. One should initiate a Brāhmaṇa in the eighth year from conception. In the ninth year, a Kṣatriya. In the tenth year, a Vaiśya.
1.3.10	Spring, Summer, and Autumn are the seasons in order.
1.3.11	The Gāyatrī, Triṣṭubh, and Jagatī meters respectively.
1.3.12	From sixteen to twenty-two, and from twenty-two to twenty-four, there is no excess in their order.
1.3.13	The Mauñjī, Dānujya, and Śāṇī are the girdles.
1.3.14	The black antelope skin, the Ruru antelope skin, and the Bāstājina are the skins.
1.3.15	The staff of the sacrificial tree should be of the length of the head, forehead, and tip of the nose.
1.3.16	One should practice begging for alms, beginning with "bhavapūrva" (may it be at the beginning), ending with "bhikṣānta" (may it end with alms), and consisting of seven syllables, not increasing "kṣā" and "hiṃ".
1.3.17	A brahmin should beg for alms beginning with "bhava" (may it exist), a kṣatriya should beg for alms ending with "bhava", and a vaiśya should beg for all castes.
1.3.18	Those brahmins and others should be established in their own duties.
1.3.19	Having brought the sacrificial twigs from a forest with trees, he should place them.
1.3.20	He should be truthful, modest, and free from ego.
1.3.21	He should rise before others and go to bed after others.
1.3.22	He should not be obstructed by the words of his teacher anywhere, except in the case of a sin.
1.3.23	He should speak as much as necessary with women.
1.3.24	He should avoid dancing, singing, playing musical instruments, wearing fragrances, garlands, shoes, umbrellas, applying collyrium, and anointing.
1.3.15	The staff of the sacrificial tree should be of the length of the head, forehead, and tip of the nose.
1.3.16	One should practice begging for alms, beginning with "bhavapūrva" (may it be at the beginning), ending with "bhikṣānta" (may it end with alms), and consisting of seven syllables, not increasing "kṣā" and "hiṃ".
1.3.17	A brahmin should beg for alms beginning with "bhava" (may it exist), a kṣatriya should beg for alms ending with "bhava", and a vaiśya should beg for all castes.
1.3.18	Those brahmins and others should be established in their own duties.
1.3.25	He should hold the right hand with the right hand and the left hand with the left hand.
1.3.26	One who desires long life and heaven, with the permission of the teacher, may give it to another who is virtuous.
1.3.27	"He should touch the ear and say, 'This is mine,' for the purpose of concentrating the mind."
1.3.28	Below the knees, up to the feet.
1.3.19	Having brought the sacrificial twigs from a forest with trees, he should place them.
1.3.20	He should be truthful, modest, and free from ego.
1.3.21	He should rise before others and go to bed after others.
1.3.22	He should not be obstructed by the words of his teacher anywhere, except in the case of a sin.
1.3.23	He should speak as much as necessary with women.
1.3.24	He should avoid dancing, singing, playing musical instruments, wearing fragrances, garlands, shoes, umbrellas, applying collyrium, and anointing.
1.3.29	He should not salute one who is not seated, or one who is not lying down, or one who does not have control over himself, or one who has not control over himself.
1.3.30	He should not be without control for even a moment in the sphere of his power.
1.3.31	He should salute with a lamp, a water pot, flowers, and food in his hand, and whatever else is appropriate.
1.3.32	He should never salute in a gathering.
1.3.25	He should hold the right hand with the right hand and the left hand with the left hand.
1.3.26	One who desires long life and heaven, with the permission of the teacher, may give it to another who is virtuous.
1.3.27	"He should touch the ear and say, 'This is mine,' for the purpose of concentrating the mind."
1.3.28	Below the knees, up to the feet.
1.3.33	The wife of a brother, the wife of a teacher, and the young wives of others are sources of semen.
1.3.34	One should sit on a seat with a wheel, on a boat, on a stone slab, on an elephant, on a palace, or on a wall, without any fault.
1.3.35	One should apply unguents, cleanse, bathe, and eat leftovers for the teacher.
1.3.36	One should avoid leftovers when teaching the son of the teacher.
1.3.29	He should not salute one who is not seated, or one who is not lying down, or one who does not have control over himself, or one who has not control over himself.
1.3.30	He should not be without control for even a moment in the sphere of his power.
1.3.31	He should salute with a lamp, a water pot, flowers, and food in his hand, and whatever else is appropriate.
1.3.32	He should never salute in a gathering.
1.3.37	And the wife should not use cosmetics, perfume, or bathing soap.
1.3.38	One should follow a running person, go after a going person, and stand after a standing person.
1.3.39	One should not bathe while praising oneself.
1.3.40	One should float like a stick.
1.3.41	One should study from a non-Brahmin in an emergency.
1.3.42	One should serve and follow him until one has studied.
1.3.43	For them, that alone is purifying.
1.3.33	The wife of a brother, the wife of a teacher, and the young wives of others are sources of semen.
1.3.34	One should sit on a seat with a wheel, on a boat, on a stone slab, on an elephant, on a palace, or on a wall, without any fault.
1.3.35	One should apply unguents, cleanse, bathe, and eat leftovers for the teacher.
1.3.36	One should avoid leftovers when teaching the son of the teacher.
1.3.44	And so also towards brothers, sons and disciples.
1.3.45	One should rise to greet the officiating priests, fathers-in-law, maternal uncles, and younger brothers.
1.3.46	Katyāyana says that one should greet them in return.
1.3.47	One should greet a child and an Angirasa on seeing them.
1.4.1	Where there is no Dharma and Artha, or where there is no service as prescribed, one should die with that knowledge, and not sow it on barren land.
1.4.2	The Brahman, when asked, burns like fire in a forest. Therefore, one should not speak to those who do not respect the Brahman.
1.4.3	Thus they convey their words to him.
1.4.4	Brahma gave the creatures to Death, but did not give him the student. He said, "Let there be a share for me in this also." "On whatever night you do not bring the sacrificial grass," (said Death).
1.3.44	And so also towards brothers, sons and disciples.
1.3.45	One should rise to greet the officiating priests, fathers-in-law, maternal uncles, and younger brothers.
1.3.46	Katyāyana says that one should greet them in return.
1.3.47	One should greet a child and an Angirasa on seeing them.
1.4.1	Where there is no Dharma and Artha, or where there is no service as prescribed, one should die with that knowledge, and not sow it on barren land.
1.4.5	Therefore, the student who does not bring in a fire-stick on any night, lives by taking away that night from his life. Therefore, the student should bring in a fire stick, lest he should live by taking away from his life.
1.4.2	The Brahman, when asked, burns like fire in a forest. Therefore, one should not speak to those who do not respect the Brahman.
1.4.3	Thus they convey their words to him.
1.4.6	He who enters upon the life of a student enters upon a long sacrifice. The one he puts in when entering upon it is the Prāyaniya (kindling-wood), the one he puts in while bathing is the Udayaniya (kindling- wood), and the one between them is the one for the sacrifice.
1.4.4	Brahma gave the creatures to Death, but did not give him the student. He said, "Let there be a share for me in this also." "On whatever night you do not bring the sacrificial grass," (said Death).
1.4.5	Therefore, the student who does not bring in a fire-stick on any night, lives by taking away that night from his life. Therefore, the student should bring in a fire stick, lest he should live by taking away from his life.
1.4.6	He who enters upon the life of a student enters upon a long sacrifice. The one he puts in when entering upon it is the Prāyaniya (kindling-wood), the one he puts in while bathing is the Udayaniya (kindling- wood), and the one between them is the one for the sacrifice.
1.4.7	When a brahmin student enters the four stages of life, he enters the fire, death, the teacher, and himself. The fourth stage is left out. When he offers a twig to the fire, he buys back the stage that belongs to the fire. Having purified it, he places it in himself, and it enters him. Then, when he becomes poor and begs, having made himself poor and become shameless, he practices celibacy. When he begs, he buys back what belongs to death. Having purified it and placed it in himself, it enters him. When he does what the teacher says, he buys back that which belongs to the teacher. Having purified it he places it in his self, and it enters. When he studies his own lessons, he buys back his own self. Having purified it himself, he places it within himself, and it then enters him. One should not beg after bathing. One may beg after bathing, for the sake of one's relatives, for the sake one's ancestors, and for the sake of other rites. If one does not find anyone else to beg from, one may beg from one's teacher's wife or one's own mother. One should not let the seventh day pass without begging.
1.4.8	If one does not eat alms, or if one does not kindle the fire, one should perform the Avakīrṇi vow for seven nights.
1.4.9	Those who know this and practice it, all the Vedas enter them.
1.4.10	Just as a kindled fire shines, so does he who, knowing this, practices celibacy shine. This is the Brahmanical text. This is the Brahmana.
1.4.7	When a brahmin student enters the four stages of life, he enters the fire, death, the teacher, and himself. The fourth stage is left out. When he offers a twig to the fire, he buys back the stage that belongs to the fire. Having purified it, he places it in himself, and it enters him. Then, when he becomes poor and begs, having made himself poor and become shameless, he practices celibacy. When he begs, he buys back what belongs to death. Having purified it and placed it in himself, it enters him. When he does what the teacher says, he buys back that which belongs to the teacher. Having purified it he places it in his self, and it enters. When he studies his own lessons, he buys back his own self. Having purified it himself, he places it within himself, and it then enters him. One should not beg after bathing. One may beg after bathing, for the sake of one's relatives, for the sake one's ancestors, and for the sake of other rites. If one does not find anyone else to beg from, one may beg from one's teacher's wife or one's own mother. One should not let the seventh day pass without begging.
1.5.1	Now the rules for the Snātaka.
1.5.2	The inner garment and the upper garment.
1.5.3	He should carry a staff made of bamboo.
1.5.4	A water pot with water.
1.5.5	Wearing two Yajñopavītas.
1.5.6	The Uṣṇīṣa, the antelope skin, the upper garment, the sandals, the umbrella, the seat, the Darsha-Pūrṇamāsa sacrifices.
1.5.7	And on the Parvas, the shaving of hair, beard, body hair and nails.
1.5.8	His livelihood.
1.4.8	If one does not eat alms, or if one does not kindle the fire, one should perform the Avakīrṇi vow for seven nights.
1.4.9	Those who know this and practice it, all the Vedas enter them.
1.4.10	Just as a kindled fire shines, so does he who, knowing this, practices celibacy shine. This is the Brahmanical text. This is the Brahmana.
1.5.9	He should desire to have a wife from among the Brahmins, Kshatriyas, Vaishyas and Shudras.
1.5.10	Or he should beg for alms.
1.5.11	He should stand with restraint of speech.
1.5.12	And he should perform all his rites of livelihood connected with the gods and ancestors.
1.5.13	Thus, by this method, the supreme sages of Prajapati Parameshthin attain the highest state. This is the view of Baudhayana.
1.5.1	Now the rules for the Snātaka.
1.5.2	The inner garment and the upper garment.
1.5.3	He should carry a staff made of bamboo.
1.5.4	A water pot with water.
1.5.5	Wearing two Yajñopavītas.
1.5.6	The Uṣṇīṣa, the antelope skin, the upper garment, the sandals, the umbrella, the seat, the Darsha-Pūrṇamāsa sacrifices.
1.5.7	And on the Parvas, the shaving of hair, beard, body hair and nails.
1.5.8	His livelihood.
1.6.1	Then they teach the practice of the water pot.
1.6.2	In the right ear of a goat, in the right hand of a brahmin, and in the water, the fire is recited on a bundle of kuśa grass.
1.6.3	Therefore, having performed cleanliness, one should wipe with the hand. The burning is indeed that. By reciting "Uddīpyasva jātavedas" again, it is distinguished by burning.
1.5.9	He should desire to have a wife from among the Brahmins, Kshatriyas, Vaishyas and Shudras.
1.5.10	Or he should beg for alms.
1.5.11	He should stand with restraint of speech.
1.5.12	And he should perform all his rites of livelihood connected with the gods and ancestors.
1.5.13	Thus, by this method, the supreme sages of Prajapati Parameshthin attain the highest state. This is the view of Baudhayana.
1.6.6	If the water-pot is broken, one should offer a hundred oblations with the Vyāhṛtis or recite them.
1.6.7	Having collected the potsherds and thrown them into water, one should recite the Savitri mantra ten times and then take another one.
1.6.1	Then they teach the practice of the water pot.
1.6.2	In the right ear of a goat, in the right hand of a brahmin, and in the water, the fire is recited on a bundle of kuśa grass.
1.6.3	Therefore, having performed cleanliness, one should wipe with the hand. The burning is indeed that. By reciting "Uddīpyasva jātavedas" again, it is distinguished by burning.
1.6.8	Having resorted to Varuna, one should meditate on the syllable "Om" again and again.
1.6.9	It is said that one should perform a hundred rites for a Shudra, fifty for a Vaishya, twenty-five for a Kshatriya, and ten for a Brahmin.
1.6.4	There, if something is touched, one should think in the mind, or with grass, and then burn it clockwise. From then on, they teach that the color of the fire is affected by dogs, crows, etc.
1.6.5	The disposal of urine, feces, blood, semen, etc. is as follows:
1.6.10	Whether one should take water when the sun has set or not, is a matter of debate among the Brahmins.
1.6.11	The other view is that one should take water.
1.6.12	One should take as much water as one can hold in the mouth.
1.6.13	Fire takes water.
1.6.6	If the water-pot is broken, one should offer a hundred oblations with the Vyāhṛtis or recite them.
1.6.7	Having collected the potsherds and thrown them into water, one should recite the Savitri mantra ten times and then take another one.
1.6.14	One whose hands and feet have been sprinkled with water from the pot, is impure as long as they are wet. It is understood that he should do only that much and not any other work.
1.6.15	Baudhāyana says that one is pure up to the binding of the gem.
1.6.16	Or, they say:
1.6.8	Having resorted to Varuna, one should meditate on the syllable "Om" again and again.
1.6.9	It is said that one should perform a hundred rites for a Shudra, fifty for a Vaishya, twenty-five for a Kshatriya, and ten for a Brahmin.
1.7.1	The water-pot was prescribed by Brahma and the chief sages for the sake of cleanliness of the twice-born. Therefore, one should always carry it. Then cleanliness, then drinking, then worshipping at twilight.
1.6.10	Whether one should take water when the sun has set or not, is a matter of debate among the Brahmins.
1.6.11	The other view is that one should take water.
1.6.12	One should take as much water as one can hold in the mouth.
1.6.13	Fire takes water.
1.7.2	One should act without hesitation if one desires one's own welfare. One should act with a pure mind and not defile one's mind. The self-existent one arose with the water pot, therefore one should act with the water pot.
1.7.3	When performing urination and defecation, one holds the right hand and sips water with the left hand. This is accomplished by the virtuous.
1.6.14	One whose hands and feet have been sprinkled with water from the pot, is impure as long as they are wet. It is understood that he should do only that much and not any other work.
1.6.15	Baudhāyana says that one is pure up to the binding of the gem.
1.6.16	Or, they say:
1.7.1	The water-pot was prescribed by Brahma and the chief sages for the sake of cleanliness of the twice-born. Therefore, one should always carry it. Then cleanliness, then drinking, then worshipping at twilight.
1.7.4	Just as a vessel is called "pure" by its contact with Soma, so too the Kamandalu is always pure by its contact with water.
1.7.5	Therefore, one should avoid it in the rites of the ancestors, gods, and fire.
1.7.6	Therefore, without a Kamandalu, one should not go on a journey, not to a boundary, not from one house to another.
1.7.7	Some say that one should not go even a step beyond the length of an arrow.
1.7.2	One should act without hesitation if one desires one's own welfare. One should act with a pure mind and not defile one's mind. The self-existent one arose with the water pot, therefore one should act with the water pot.
1.7.3	When performing urination and defecation, one holds the right hand and sips water with the left hand. This is accomplished by the virtuous.
1.7.8	Whatever one desires, let it be the continuity of Dharma. This is what Baudhayana says.
1.7.9	"The Veda says, 'The Veda says.'
1.8.1	Now, the consecration of purity.
1.8.2	The body is purified by water, the mind is purified by knowledge, the soul of beings by non-violence, and the mind by truth.'
1.8.3	Mental purity is internal purity.
1.8.4	We shall now explain the external purification.
1.8.5	The sacrificial thread should be made of cotton or silk, with three or nine strands.
1.8.6	Up to the navel.
1.8.7	Having raised the right arm and lowering the left, one should cover the head.
1.8.8	The opposite for the ancestors.
1.8.9	The garment worn around the neck is called "nivita".
1.8.10	The garment worn below is called "adhovita".
1.7.4	Just as a vessel is called "pure" by its contact with Soma, so too the Kamandalu is always pure by its contact with water.
1.7.5	Therefore, one should avoid it in the rites of the ancestors, gods, and fire.
1.7.6	Therefore, without a Kamandalu, one should not go on a journey, not to a boundary, not from one house to another.
1.7.7	Some say that one should not go even a step beyond the length of an arrow.
1.8.11	One should begin the purification facing east or north, sitting on a clean place, with the right arm between the knees, having washed the feet and hands up to the wrist.
1.8.12	One should not rinse the mouth with the water left over after washing the feet.
1.8.13	If one does rinse the mouth, one should rinse it after pouring water on the ground.
1.8.14	One should rinse the mouth with water from the Brahma-tithi.
1.7.8	Whatever one desires, let it be the continuity of Dharma. This is what Baudhayana says.
1.7.9	"The Veda says, 'The Veda says.'
1.8.1	Now, the consecration of purity.
1.8.2	The body is purified by water, the mind is purified by knowledge, the soul of beings by non-violence, and the mind by truth.'
1.8.3	Mental purity is internal purity.
1.8.15	The root of the thumb is the Brahmic holy place.
1.8.16	The tip of the thumb is Pitric, the tip of the fingers is Daivic, and the root of the fingers is Arshic.
1.8.17	Not with fingers, not with bubbles, not with foam, not with hot, not with salty, not with alkaline, not with pungent, not with foul-smelling tastes.
1.8.4	We shall now explain the external purification.
1.8.5	The sacrificial thread should be made of cotton or silk, with three or nine strands.
1.8.6	Up to the navel.
1.8.7	Having raised the right arm and lowering the left, one should cover the head.
1.8.8	The opposite for the ancestors.
1.8.9	The garment worn around the neck is called "nivita".
1.8.10	The garment worn below is called "adhovita".
1.8.18	Not laughing, not talking, not standing, not looking, not bowing, not bending, not with loose hair, not with covered throat, not with bound head, not hurrying, not with the sacred thread, not with outstretched feet, not with bound waist, not with the knees outside, not making a sound.
1.8.19	One should drink water three times, touching the heart.
1.8.20	One should rub it three times.
1.8.21	Some say twice.
1.8.11	One should begin the purification facing east or north, sitting on a clean place, with the right arm between the knees, having washed the feet and hands up to the wrist.
1.8.12	One should not rinse the mouth with the water left over after washing the feet.
1.8.13	If one does rinse the mouth, one should rinse it after pouring water on the ground.
1.8.14	One should rinse the mouth with water from the Brahma-tithi.
1.8.22	The Śūdra and the woman are to be touched once.
1.8.23	But they also quote: The Brāhmaṇa is purified by the words uttered by the departed, the Kṣatriya by the words uttered at the throat, the Vaiśya by the words spoken by the pure, the woman and the Śūdra by touching water, and at the end, by touching.
1.8.15	The root of the thumb is the Brahmic holy place.
1.8.16	The tip of the thumb is Pitric, the tip of the fingers is Daivic, and the root of the fingers is Arshic.
1.8.17	Not with fingers, not with bubbles, not with foam, not with hot, not with salty, not with alkaline, not with pungent, not with foul-smelling tastes.
1.8.24	Because they are attached to the teeth, and because they are held by them, and because they fall down, one should not rinse the mouth when they fall down. They are pure because they are like the teeth.
1.8.25	But they also say: When they are attached to teeth, and what is inside the mouth, and what remains after rinsing, one is pure by swallowing it.
1.8.18	Not laughing, not talking, not standing, not looking, not bowing, not bending, not with loose hair, not with covered throat, not with bound head, not hurrying, not with the sacred thread, not with outstretched feet, not with bound waist, not with the knees outside, not making a sound.
1.8.19	One should drink water three times, touching the heart.
1.8.20	One should rub it three times.
1.8.21	Some say twice.
1.8.26	Having touched water, one should touch the feet, navel, head, and the left hand in order.
1.8.27	If one becomes impure by touching fire, one should rinse one's mouth with water and sprinkle oneself with water.
1.8.28	If one is impure by touching food, one should rinse the mouth with water and then sprinkle oneself with water.
1.8.22	The Śūdra and the woman are to be touched once.
1.8.23	But they also quote: The Brāhmaṇa is purified by the words uttered by the departed, the Kṣatriya by the words uttered at the throat, the Vaiśya by the words spoken by the pure, the woman and the Śūdra by touching water, and at the end, by touching.
1.8.29	If one becomes impure with water, one should rinse the mouth with water and sprinkle water on the mouth.
1.8.30	This is the opposite of that.
1.8.31	There is an option in the case of wood.
1.8.32	For the impurities of metals, one should rub with cowdung, clay, or ashes, or with any one of them.
1.8.33	For copper, silver, and gold, with acids.
1.8.24	Because they are attached to the teeth, and because they are held by them, and because they fall down, one should not rinse the mouth when they fall down. They are pure because they are like the teeth.
1.8.25	But they also say: When they are attached to teeth, and what is inside the mouth, and what remains after rinsing, one is pure by swallowing it.
1.8.34	The burning of woolen clothes.
1.8.35	The cutting of cotton clothes.
1.8.36	The smearing of bamboo clothes with cow-dung.
1.8.37	The rubbing of fruit-clothes with a rope made of cow-dung. 
1.8.38	The rubbing of black-clothes with bilva-grains.
1.8.39	The rubbing with ariṣṭa-grains of kutāpa-clothes.
1.8.40	The rubbing in the sun of golden clothes.
1.8.41	The rubbing by a paste of white mustard seeds of woolen clothes. 
1.8.42	The smearing with clay of silk clothes.
1.8.43	The same as for silk clothes, for leather clothes.
1.8.44	Stones and gems are to be purified like metals.
1.8.45	Bones are to be purified as wood.
1.8.46	Conch, horn, shell, and teeth are to be purified by fire like cotton.
1.8.47	Or by milk.
1.8.48	Or by the three-seven times rubbing with urine, feces, blood, semen, or pus, which are suitable for the eyes and nose, of any of the previously mentioned substances.
1.8.49	Thus is the rule for those who are not of the nature of fire.
1.8.50	By the statement, the vessels of the Soma sacrifice are not to be used after the sacrifice.
1.8.51	The statement that one does not become impure by Soma.
1.8.52	Time, fire, purification of the mind, anointing with water and other things, and the unknown are said to be the six kinds of purification of the elements.
1.8.34	The burning of woolen clothes.
1.8.35	The cutting of cotton clothes.
1.8.36	The smearing of bamboo clothes with cow-dung.
1.8.37	The rubbing of fruit-clothes with a rope made of cow-dung. 
1.8.38	The rubbing of black-clothes with bilva-grains.
1.8.39	The rubbing with ariṣṭa-grains of kutāpa-clothes.
1.8.40	The rubbing in the sun of golden clothes.
1.8.41	The rubbing by a paste of white mustard seeds of woolen clothes. 
1.8.42	The smearing with clay of silk clothes.
1.8.43	The same as for silk clothes, for leather clothes.
1.8.53	Now, they say: Having known the time, place, self, substance, purpose of substance, argument, and condition, the one who knows cleanliness should practice it, being skilled in Dharma, and desiring Dharma.
1.9.1	The hand of a carpenter is always clean, and the merchandise that is displayed, and the alms that are meant for a celibate, are always pure, so says the Veda.
1.8.44	Stones and gems are to be purified like metals.
1.8.45	Bones are to be purified as wood.
1.8.46	Conch, horn, shell, and teeth are to be purified by fire like cotton.
1.8.47	Or by milk.
1.8.48	Or by the three-seven times rubbing with urine, feces, blood, semen, or pus, which are suitable for the eyes and nose, of any of the previously mentioned substances.
1.9.2	The calf is pure for sucking, the hawk for catching game, the female for intercourse, and the dog for catching deer.
1.9.3	All mines are pure, except the mine of liquor; the streams are pure, which are not polluted, and the dust raised by the wind.
1.8.49	Thus is the rule for those who are not of the nature of fire.
1.8.50	By the statement, the vessels of the Soma sacrifice are not to be used after the sacrifice.
1.8.51	The statement that one does not become impure by Soma.
1.8.52	Time, fire, purification of the mind, anointing with water and other things, and the unknown are said to be the six kinds of purification of the elements.
1.9.4	The trees that grow in unclean places, and bear flowers and fruits, their flowers and fruits do not become unclean.
1.9.5	A Brāhmaṇa who touches a tree sacred to the gods, a funeral pyre, a sacrificial post, a Cāṇḍāla, or one who sells the Veda, should enter water with his clothes.
1.9.6	The bed, seat, clothes, wife, children, water-pot, and the pure things belong to oneself, but the impure things belong to others.
1.9.7	The seat, bed, vehicle, boat, grass on the road, and the things touched by the outcast are purified only by the wind.
1.8.53	Now, they say: Having known the time, place, self, substance, purpose of substance, argument, and condition, the one who knows cleanliness should practice it, being skilled in Dharma, and desiring Dharma.
1.9.1	The hand of a carpenter is always clean, and the merchandise that is displayed, and the alms that are meant for a celibate, are always pure, so says the Veda.
1.9.2	The calf is pure for sucking, the hawk for catching game, the female for intercourse, and the dog for catching deer.
1.9.3	All mines are pure, except the mine of liquor; the streams are pure, which are not polluted, and the dust raised by the wind.
1.9.8	The grain in the fields of the wicked, the water in wells and tanks, the milk in the cow-sheds, even though unfit to be eaten, are fit to be eaten.
1.9.9	The three gods have ordained three sacred things for Brahmanas: that which is unseen, that which is purified by water, and that which is praised by speech.
1.9.4	The trees that grow in unclean places, and bear flowers and fruits, their flowers and fruits do not become unclean.
1.9.5	A Brāhmaṇa who touches a tree sacred to the gods, a funeral pyre, a sacrificial post, a Cāṇḍāla, or one who sells the Veda, should enter water with his clothes.
1.9.10	Water is pure, if it is on the ground, if it is for the thirst of cows, if it is not contaminated by impurities, and if it has smell, color, and taste.
1.9.11	But if the ground is swept, sprinkled, smeared, covered, or painted, then the impurity is removed according to its place, due to the specific faults.
1.9.12	But they also say:
1.9.6	The bed, seat, clothes, wife, children, water-pot, and the pure things belong to oneself, but the impure things belong to others.
1.9.7	The seat, bed, vehicle, boat, grass on the road, and the things touched by the outcast are purified only by the wind.
