1.1.1	Now the duties of the castes and stages of life.
1.3.4	Having bathed, he should perform the daily rites and be devoted to the study of the Vedas and their auxiliary subjects. Having contemplated on the meaning of the Vedas and Vedangas, he should take a wife.
1.3.5	The sages say that one should not remain in the Prajapati stage for more than three years.
1.3.6	The ascetic wears the saffron robe, or a robe made of rags, or a bark garment, or a garment made of grass. He wears his hair in a topknot, or has a tuft of hair on the crown of his head, or wears a girdle, or carries a staff, or wears a thread and a garment made of rags. He is celibate, pure, and eats food without salt or vinegar. He remains in the teacher's house until his death, and eats almsfood offered to him.
1.3.6	The ascetic wears the saffron robe, or a robe made of rags, or a bark garment, or a garment made of grass. He wears his hair in a topknot, or has a tuft of hair on the crown of his head, or wears a girdle, or carries a staff, or wears a thread and a garment made of rags. He is celibate, pure, and eats food without salt or vinegar. He remains in the teacher's house until his death, and eats almsfood offered to him.
1.4.1	Having taken a wife, the householder, even though he is a householder, should always perform the daily rites of bathing and so on, and then offer worship. After performing the fire oblations of the Pākayajña and the Vaiśvadeva offerings, he should rise to greet and pay homage to the teacher and the student who have come to his house, offer them a seat, water for washing the feet, and water for rinsing the mouth, and then offer them a Madhuparka mixed with ghee, curd, and milk. He should then feed them with food offerings to the best of his ability.
1.4.2	He honours the monks, the celibates, the guests, the Vedic scholars, the Brahmins, his father, his preceptor, the officiating priests, his maternal uncle, his father-in-law, and others who have come, the children, the aged, the helpless, the afflicted, and the tired by travellers, according to their worth.
1.4.3	Even if he is unable, he should give the first alms with water and eat the remainder.
1.4.1	Having taken a wife, the householder, even though he is a householder, should always perform the daily rites of bathing and so on, and then offer worship. After performing the fire oblations of the Pākayajña and the Vaiśvadeva offerings, he should rise to greet and pay homage to the teacher and the student who have come to his house, offer them a seat, water for washing the feet, and water for rinsing the mouth, and then offer them a Madhuparka mixed with ghee, curd, and milk. He should then feed them with food offerings to the best of his ability.
1.4.4	He should always worship the sages with study and oblations, the gods with sacrifices, oblations, water, flowers, etc., the ancestors with śrāddhas, the ghosts with oblations, and men with food.
1.4.5	He becomes free from debt when released from the three debts.
1.4.2	He honours the monks, the celibates, the guests, the Vedic scholars, the Brahmins, his father, his preceptor, the officiating priests, his maternal uncle, his father-in-law, and others who have come, the children, the aged, the helpless, the afflicted, and the tired by travellers, according to their worth.
1.4.3	Even if he is unable, he should give the first alms with water and eat the remainder.
1.5.1	The householders are of four kinds: those who live by agriculture, those who live by cattle-rearing, those who live in trade, and those who live by the practice of austerities.
1.5.2	Those who live by agriculture live by agriculture, cattle-rearing and trade.
1.4.4	He should always worship the sages with study and oblations, the gods with sacrifices, oblations, water, flowers, etc., the ancestors with śrāddhas, the ghosts with oblations, and men with food.
1.4.5	He becomes free from debt when released from the three debts.
1.5.3	One who is well-behaved and endowed with rules, having performed the domestic fire sacrifices, having established the sacred fires, offering the Darśa-Pūrṇamāsa sacrifices every fortnight, offering the Cāturmāsya sacrifices every four months, offering the Pasu-bandha sacrifices every six months, and offering the Soma sacrifices every year.
1.5.1	The householders are of four kinds: those who live by agriculture, those who live by cattle-rearing, those who live in trade, and those who live by the practice of austerities.
1.5.2	Those who live by agriculture live by agriculture, cattle-rearing and trade.
1.5.4	The Yāyāvaras perform sacrifices with Havi-offerings and Soma-offerings, they perform sacrifices, teach, study, give, receive, are always engaged in the six duties, and attend to the fire. They provide food for guests who have arrived.
1.5.3	One who is well-behaved and endowed with rules, having performed the domestic fire sacrifices, having established the sacred fires, offering the Darśa-Pūrṇamāsa sacrifices every fortnight, offering the Cāturmāsya sacrifices every four months, offering the Pasu-bandha sacrifices every six months, and offering the Soma sacrifices every year.
1.5.5	He is engaged in terrible practices, is endowed with rules, performs sacrifices, does not perform sacrifices, studies, does not teach, gives, does not receive, and subsists on the practice of gleaning.
1.5.6	Devoted to Narayana, having offered Agnihotra in the evening and morning, he performs the Asi-dara-vow in the months of Margashirsha and Jyeshtha, and attends to the fire with forest herbs.
1.5.4	The Yāyāvaras perform sacrifices with Havi-offerings and Soma-offerings, they perform sacrifices, teach, study, give, receive, are always engaged in the six duties, and attend to the fire. They provide food for guests who have arrived.
1.6.1	The householder, with his wife, going to the forest-hermitage from the house, with the five fires or with the three fires, having deposited the fire in the house, having kindled it in the forest, having deposited it according to the Sramana-vidhi, having offered oblations, taking the Sramana-fire, goes to the third hermitage.
1.5.5	He is engaged in terrible practices, is endowed with rules, performs sacrifices, does not perform sacrifices, studies, does not teach, gives, does not receive, and subsists on the practice of gleaning.
1.5.6	Devoted to Narayana, having offered Agnihotra in the evening and morning, he performs the Asi-dara-vow in the months of Margashirsha and Jyeshtha, and attends to the fire with forest herbs.
1.6.2	As before, he should perform the sprinkling and drawing of the fire-room.
1.6.3	Having swept the third altar, he should make a covering mat of thirty-six inches, bound at the root like a rope made in three parts, with darbha grass, and spread it on the middle altar, as prescribed by the śramaṇas.
1.6.1	The householder, with his wife, going to the forest-hermitage from the house, with the five fires or with the three fires, having deposited the fire in the house, having kindled it in the forest, having deposited it according to the Sramana-vidhi, having offered oblations, taking the Sramana-fire, goes to the third hermitage.
1.6.4	Having invoked the gods of the sacrifice, the universal gods, with the mantra "To the sacrifice, to the gods of the sacrifices, to the universal gods, svāhā," and having offered the clarified butter, one should offer the cooked rice with the mantra "Svāhā to the sacrifice, svāhā to the gods of sacrifices, svāhā." This is the special foundation.
1.6.2	As before, he should perform the sprinkling and drawing of the fire-room.
1.6.3	Having swept the third altar, he should make a covering mat of thirty-six inches, bound at the root like a rope made in three parts, with darbha grass, and spread it on the middle altar, as prescribed by the śramaṇas.
1.6.5	The Sramana-fire-altar is thirty-two angulas in length and four angulas in width.
1.6.6	The middle one is five angulas in width and four angulas high.
1.6.7	The third altar is four angulas in length, width, and height.
1.6.4	Having invoked the gods of the sacrifice, the universal gods, with the mantra "To the sacrifice, to the gods of the sacrifices, to the universal gods, svāhā," and having offered the clarified butter, one should offer the cooked rice with the mantra "Svāhā to the sacrifice, svāhā to the gods of sacrifices, svāhā." This is the special foundation.
1.6.8	Having made a pit twelve fingers deep in the middle, with three steps, and having placed it, he should always be in the forest, like a student. Having offered oblations at dusk and dawn, he should offer oblations to the Sramana fire with the great Vyahrtis.
1.6.9	One who has a wife should go to the forest without his wives and fires.
1.7.1	There are two kinds of forest dwellers: those with wives and those without wives.
1.7.2	The four kinds of Sapatnikas are Audumbara, Vairecha, Valakhilya and Phenapa.
1.6.8	Having made a pit twelve fingers deep in the middle, with three steps, and having placed it, he should always be in the forest, like a student. Having offered oblations at dusk and dawn, he should offer oblations to the Sramana fire with the great Vyahrtis.
1.6.9	One who has a wife should go to the forest without his wives and fires.
1.7.1	There are two kinds of forest dwellers: those with wives and those without wives.
1.7.3	He eats the fruits of the Udumbara tree, or he eats the fruits of plants grown without ploughing, or he eats roots and fruits, or he eats garlic, onion, and meat, or he eats fish, meat, and pungent food, or he eats grains, or he avoids touching sour things, or he avoids eating cooked food prepared by others, or he worships gods, sages, ancestors, and humans, or he lives in the forest, or he is excluded from the village, or he performs Agnihotra in the morning and evening, or he performs the Sramana Agnihotra and the Visvedeva Homa, or he practices austerities.
1.7.4	Some say that one should offer the Agnihotra and Sraamanaaka fire in one fire.
1.7.5	Vaireecha goes to the direction he looks towards in the morning, and there, having nourished his own guests with Labdha, Priyangu, Yava, Shyamaka, Nivaraka, etc., he becomes devoted to Narayana, having the nature of austerities, offering Agnihotra, Sraamanaaka, and Vaishvadeva.
1.7.3	He eats the fruits of the Udumbara tree, or he eats the fruits of plants grown without ploughing, or he eats roots and fruits, or he eats garlic, onion, and meat, or he eats fish, meat, and pungent food, or he eats grains, or he avoids touching sour things, or he avoids eating cooked food prepared by others, or he worships gods, sages, ancestors, and humans, or he lives in the forest, or he is excluded from the village, or he performs Agnihotra in the morning and evening, or he performs the Sramana Agnihotra and the Visvedeva Homa, or he practices austerities.
1.7.6	The ascetic Valakhilya, wearing matted locks, bark and antelope skin, and worshipping the sun as fire, should, on the full moon day of Kartika, give up the food that is left over after the Pushkala rite and subsist on other foods during the remaining months and perform austerities.
1.7.7	It is said that the sun itself is his fire.
1.7.8	Fenap, Uddandaka, Unmattaka, Nirodaka, and Sheenapatitapattrahari, observing the Chandrayana vow, lying on the ground, meditating on Narayana, seeks only liberation.
1.8.1	There are many kinds of those without wives.
1.7.4	Some say that one should offer the Agnihotra and Sraamanaaka fire in one fire.
1.7.5	Vaireecha goes to the direction he looks towards in the morning, and there, having nourished his own guests with Labdha, Priyangu, Yava, Shyamaka, Nivaraka, etc., he becomes devoted to Narayana, having the nature of austerities, offering Agnihotra, Sraamanaaka, and Vaishvadeva.
1.7.6	The ascetic Valakhilya, wearing matted locks, bark and antelope skin, and worshipping the sun as fire, should, on the full moon day of Kartika, give up the food that is left over after the Pushkala rite and subsist on other foods during the remaining months and perform austerities.
1.7.7	It is said that the sun itself is his fire.
1.7.8	Fenap, Uddandaka, Unmattaka, Nirodaka, and Sheenapatitapattrahari, observing the Chandrayana vow, lying on the ground, meditating on Narayana, seeks only liberation.
1.8.1	There are many kinds of those without wives.
1.8.2	The Kāśikā, the Uddanda, the Samvarta, the Aśmakuṭṭa, the Udgara, the Dantāloluka, the Uñchācārin, the Saṃdarśanācārin (one who follows the practice of showing), the Kapotācārin , the Mṛgacārin, the Hastādāyin, the Śailāphalakādin, the Arkaḍagdhaśin, the Baivāśin, the Kusumāśin,the Paṇḍupattraśin, the Kālāntarabhājin, the Ekakālin, the Catuṣkālin, the Kaṇṭakaśāyin, the Vīrāsanaśāyin,the Pañcāgnimādhyshāyin, the Dhūmāśin, the Pāṣāṇaśāyin, one who plunges into water, the Udakumbhavāsin, the Mūnin, the Avāśiras, the Sūryapratimaukha, the Urdhva-bāhuka, the Ekapādasthita—these are the various practices of the ascetics.
1.9.1	Then there are four kinds of ascetics, namely, the Kūṭikas, the Bahūdakas, the Hamsas and the Paramahamsas, who seek liberation.
1.9.2	Among them, the Kūțikas, knowing the truth of the path of yoga, seek liberation by eating eight mouthfuls in the hermitages of Gautama, Bharadvaja, Yajnavalkya, Hārīta and others.
1.8.2	The Kāśikā, the Uddanda, the Samvarta, the Aśmakuṭṭa, the Udgara, the Dantāloluka, the Uñchācārin, the Saṃdarśanācārin (one who follows the practice of showing), the Kapotācārin , the Mṛgacārin, the Hastādāyin, the Śailāphalakādin, the Arkaḍagdhaśin, the Baivāśin, the Kusumāśin,the Paṇḍupattraśin, the Kālāntarabhājin, the Ekakālin, the Catuṣkālin, the Kaṇṭakaśāyin, the Vīrāsanaśāyin,the Pañcāgnimādhyshāyin, the Dhūmāśin, the Pāṣāṇaśāyin, one who plunges into water, the Udakumbhavāsin, the Mūnin, the Avāśiras, the Sūryapratimaukha, the Urdhva-bāhuka, the Ekapādasthita—these are the various practices of the ascetics.
1.9.3	They wear the three staffs, the water-pot, and the saffron-coloured robe. They live in the houses of the Brahmana-sages and other good people, avoiding meat, salt, and stale food. Having begged for alms in seven houses, they seek only for liberation.
1.9.1	Then there are four kinds of ascetics, namely, the Kūṭikas, the Bahūdakas, the Hamsas and the Paramahamsas, who seek liberation.
1.9.2	Among them, the Kūțikas, knowing the truth of the path of yoga, seek liberation by eating eight mouthfuls in the hermitages of Gautama, Bharadvaja, Yajnavalkya, Hārīta and others.
1.9.4	The Hamsa-s, who stay for one night in a village and five nights in a city, and do not stay beyond that, and who subsist on cow-urine and cow-dung, or who fast for a month, or who observe the Cāndrāyaṇa vow, always pray for rising (from their beds).
1.9.5	The Paramahamsa-s, who live at the foot of a tree, in an empty house, or in a cremation ground, and who are either clothed or naked.
1.9.3	They wear the three staffs, the water-pot, and the saffron-coloured robe. They live in the houses of the Brahmana-sages and other good people, avoiding meat, salt, and stale food. Having begged for alms in seven houses, they seek only for liberation.
1.9.6	For them there is no duality of Dharma and Adharma, truth and falsehood, purity and impurity.
1.9.7	They are equal to all, have the same self, and consider earth, stone, and gold to be the same. They practice begging in all castes.
1.9.4	The Hamsa-s, who stay for one night in a village and five nights in a city, and do not stay beyond that, and who subsist on cow-urine and cow-dung, or who fast for a month, or who observe the Cāndrāyaṇa vow, always pray for rising (from their beds).
1.9.5	The Paramahamsa-s, who live at the foot of a tree, in an empty house, or in a cremation ground, and who are either clothed or naked.
1.9.6	For them there is no duality of Dharma and Adharma, truth and falsehood, purity and impurity.
1.9.7	They are equal to all, have the same self, and consider earth, stone, and gold to be the same. They practice begging in all castes.
1.9.10	What is called 'desireless' is something that is not desired, and is practiced as prescribed.
1.9.11	Therein, desirelessness is of two kinds: engagement and disengagement.
1.9.12	Engagement is the attainment of the power of becoming small and other powers by mastering the breath, posture, withdrawal, concentration, and yoga, disregarding worldly life, and resorting to the knowledge of enumeration.
1.9.13	But the great sages do not like it because it is again caused by the exhaustion of austerities, because it causes rebirth, and because of the abundance of diseases.
1.9.8	The four stages of life for Brahmins, the three stages for Kshatriyas, and the two stages for Vaishyas have been prescribed. Their fruits are of two kinds: with desire and without desire.
1.9.9	Here, with desire means desiring increase in this world, desiring the attainment of a son, or desiring the fruits of heaven and so on.
1.9.14	The cessation of the world is known as the knowledge that there is nothing other than the Supreme Self after knowing the impermanence of the world. Having cut off the noose of worldly existence, having conquered the senses, having abandoned the body, having united the knower of the field with the Supreme Self, having attained the transcendental state, being the seed of the entire universe, being the supreme light, being the cause of the attainment of the nectar of immortality, being the cause for the attainment of eternal bliss, and being the cause for entering the supreme light, it is known thus.
1.9.13	But the great sages do not like it because it is again caused by the exhaustion of austerities, because it causes rebirth, and because of the abundance of diseases.
1.10.1	The yogis are of three kinds, according to the difference in their conduct and cessation. They are the Sarangas, Ekārthyas and Visargas.
1.10.2	The Sarangas are of four kinds, according to whether they are non-obstructors, obstructors, path-goers or wrong-path-goers.
1.10.3	The Ekārthyas are of five kinds, according to being distant, not distant, brow-centered, unmixed and mixed.
1.10.4	The Visargas are not counted.
1.9.14	The cessation of the world is known as the knowledge that there is nothing other than the Supreme Self after knowing the impermanence of the world. Having cut off the noose of worldly existence, having conquered the senses, having abandoned the body, having united the knower of the field with the Supreme Self, having attained the transcendental state, being the seed of the entire universe, being the supreme light, being the cause of the attainment of the nectar of immortality, being the cause for the attainment of eternal bliss, and being the cause for entering the supreme light, it is known thus.
1.10.5	There, the Sarangas are those who go to the essence of the field-knower, thus they are Sarangas.
1.10.6	Among them, those who meditate on themselves as Vishnu without obstruction, and practice, do not have pranayama and others.
1.10.7	But those who practice with obstruction have the sixteen arts such as pranayama, pratyahara, and dharana.
1.10.8	Those who follow the path have only six, namely pranayama and others.
1.10.1	The yogis are of three kinds, according to the difference in their conduct and cessation. They are the Sarangas, Ekārthyas and Visargas.
1.10.2	The Sarangas are of four kinds, according to whether they are non-obstructors, obstructors, path-goers or wrong-path-goers.
1.10.3	The Ekārthyas are of five kinds, according to being distant, not distant, brow-centered, unmixed and mixed.
1.10.4	The Visargas are not counted.
1.10.9	Those who make the eight limbs of yoga, which are the restraints, observances, postures, breath control, withdrawal, concentration, meditation, and samadhi, and who make the object of meditation otherwise.
1.11.1	Now, the Ekarsyas.
1.11.2	Those who have only one sage are the Ekarsyas
1.11.3	Among them, those who are far away have this path:
1.11.4	Having entered the orb of the sun through the Pingala channel, they unite with the person there, then the orb of the moon, with the person there. Then lightning, with the person therein, and again in sequence, they attain union with Vaikuntha.
1.11.5	This is the dharma of those who go far.
1.10.5	There, the Sarangas are those who go to the essence of the field-knower, thus they are Sarangas.
1.10.6	Among them, those who meditate on themselves as Vishnu without obstruction, and practice, do not have pranayama and others.
1.10.7	But those who practice with obstruction have the sixteen arts such as pranayama, pratyahara, and dharana.
1.10.8	Those who follow the path have only six, namely pranayama and others.
1.11.6	Having made the supreme Self and the knower of the field unite through the knower of field, and having meditated on the total destruction of the knower of fields, they meditate that I am mere existence like space.
1.10.9	Those who make the eight limbs of yoga, which are the restraints, observances, postures, breath control, withdrawal, concentration, meditation, and samadhi, and who make the object of meditation otherwise.
1.11.1	Now, the Ekarsyas.
1.11.2	Those who have only one sage are the Ekarsyas
1.11.3	Among them, those who are far away have this path:
1.11.7	The yogis, who are in the middle of the eyebrows, draw the supreme Self through the door of the fire of sattva and then withdraw it through the five places starting from the thumb, and then they either perform the dissolution or the yoga of the knower of the field.
1.11.8	Those who are not united perform meditation with the mind.
1.11.9	They listen with the ears to the scriptures that teach that.
1.11.4	Having entered the orb of the sun through the Pingala channel, they unite with the person there, then the orb of the moon, with the person there. Then lightning, with the person therein, and again in sequence, they attain union with Vaikuntha.
1.11.5	This is the dharma of those who go far.
1.11.6	Having made the supreme Self and the knower of the field unite through the knower of field, and having meditated on the total destruction of the knower of fields, they meditate that I am mere existence like space.
1.11.15	And it has been said that even when it is in the middle of the eyebrows, it is not a valid means of knowledge because of doubt.
1.11.16	Therefore, nothing other than Brahman is possible.
1.11.17	Because of various movements, various views, and going on wrong paths, they are called "wanderers".
1.11.7	The yogis, who are in the middle of the eyebrows, draw the supreme Self through the door of the fire of sattva and then withdraw it through the five places starting from the thumb, and then they either perform the dissolution or the yoga of the knower of the field.
1.11.8	Those who are not united perform meditation with the mind.
1.11.9	They listen with the ears to the scriptures that teach that.
1.11.18	In the past, Prajapati saw the Vatsa-Gapa sect, which was concealing the teachings. Seeing that, even the sages became deluded, let alone humans.
1.11.19	Those who are attached to the Vatsa sect and have egoism do not attain liberation in this life. Therefore, the Vatsa system should not be followed.
1.11.10	They see the form of the deity with the eye.
1.11.11	They experience smell with the nose.
1.11.12	They pay homage to the deity with the hand.
1.11.13	The Brahman named Sambhakta, due to being all-pervading, it is proper that he who is the supreme Self pervades like space.
1.11.14	Therefore, one does not find the Self anywhere else except in Brahman.
1.11.20	Some of them are called Visaraga because they are afflicted by the body, some by muttering mantras, some by some kind of meditation, some by some letter, some by conquering the wind, others by uniting the Kshetrajna with the Supreme Self. They do not desire union with the Supreme Self at all.
1.11.21	They say that the Purusha is located in the heart.
1.11.22	Some people, not knowing that the practice of Yoga is as described, desire liberation, thinking that it is something else.
1.11.23	For them, there is no liberation among the various animals.
1.11.24	For those who desire liberation in this very life, the practice of the various animals should not be followed.
1.11.18	In the past, Prajapati saw the Vatsa-Gapa sect, which was concealing the teachings. Seeing that, even the sages became deluded, let alone humans.
1.11.19	Those who are attached to the Vatsa sect and have egoism do not attain liberation in this life. Therefore, the Vatsa system should not be followed.
1.11.25	It is understood that one should first direct his mind towards the Brahman with attributes and then, having resorted to the Brahman without attributes, one should make an effort.
2.1.1	Now, the rules for a forest-dweller.
2.1.2	A householder who offers Soma sacrifices, seeing his son and grandson, and having established his son and others in the house, should shave his head and perform the Prajapati penance.
1.11.20	Some of them are called Visaraga because they are afflicted by the body, some by muttering mantras, some by some kind of meditation, some by some letter, some by conquering the wind, others by uniting the Kshetrajna with the Supreme Self. They do not desire union with the Supreme Self at all.
1.11.21	They say that the Purusha is located in the heart.
2.1.3	In the spring season, in the bright fortnight, he goes to a forest hermitage with his wife in a sacred place.
2.1.4	On the previous day, having bathed, he should drink the water of Kuśa grass and observe a fast.
2.1.5	Having performed the Upāsana Homa, he should offer the Agni into the forest with the words "This is your birthplace".
2.1.6	Having collected the Darbha grass, etc., according to the rules of Darsha-Pūrnamāsa sacrifice, he collects the Paristaraṇa, Kūrcā, Paridhi, Sami, Venudanda, Upāvita, Kamandalu, Valkala, etc., as before.
2.1.7	According to the rules mentioned before, he should make the fire pit.
1.11.25	It is understood that one should first direct his mind towards the Brahman with attributes and then, having resorted to the Brahman without attributes, one should make an effort.
2.1.1	Now, the rules for a forest-dweller.
2.1.2	A householder who offers Soma sacrifices, seeing his son and grandson, and having established his son and others in the house, should shave his head and perform the Prajapati penance.
2.1.8	On the next day, having kindled the fire by means of the Vaisvānara Sūkta, and having lit it, he says, "O Agni, come and descend," and having placed the fire, he offers the Sramana Agnihotra as before.
2.1.3	In the spring season, in the bright fortnight, he goes to a forest hermitage with his wife in a sacred place.
2.1.4	On the previous day, having bathed, he should drink the water of Kuśa grass and observe a fast.
2.1.5	Having performed the Upāsana Homa, he should offer the Agni into the forest with the words "This is your birthplace".
2.1.9	Having saluted Agni, having sprinkled, having offered the five expiatory oblations with "Agni is the expiation", having sprinkled himself with the waters, the golden Pavamāna verses, having recited the principal Brahmadeva, Vaishnava and five Varuna verses, he should offer the sacrifice ending with the Vyahrtis.
2.1.6	Having collected the Darbha grass, etc., according to the rules of Darsha-Pūrnamāsa sacrifice, he collects the Paristaraṇa, Kūrcā, Paridhi, Sami, Venudanda, Upāvita, Kamandalu, Valkala, etc., as before.
2.1.7	According to the rules mentioned before, he should make the fire pit.
2.1.8	On the next day, having kindled the fire by means of the Vaisvānara Sūkta, and having lit it, he says, "O Agni, come and descend," and having placed the fire, he offers the Sramana Agnihotra as before.
2.2.1	Having placed two Kuśa-blades with their tips towards the east in front of Agni, and having placed a stone above it, he should touch the stone with the tip of the big toe of his right foot, reciting "This is the most excellent of Savitā." Having put on a bark garment, antelope skin, or a piece of cloth, and having taken up the three girdles, etc., as before, and the upper garment and the black antelope skin, he should recite the following mantra:
2.1.9	Having saluted Agni, having sprinkled, having offered the five expiatory oblations with "Agni is the expiation", having sprinkled himself with the waters, the golden Pavamāna verses, having recited the principal Brahmadeva, Vaishnava and five Varuna verses, he should offer the sacrifice ending with the Vyahrtis.
2.2.2	Having sipped water, having circumambulated the fire and having bowed to it, one should sit down, saying "May the gods be well."
2.2.3	Having sprinkled oneself on the head with the mantra "May the goddesses be auspicious," having offered the Jāyas, the Abhyātanas, the Rāṣṭrabhṛt, and the Vyāhṛtis, one should eat the remaining ghee with Prāṇāyāma.
2.2.1	Having placed two Kuśa-blades with their tips towards the east in front of Agni, and having placed a stone above it, he should touch the stone with the tip of the big toe of his right foot, reciting "This is the most excellent of Savitā." Having put on a bark garment, antelope skin, or a piece of cloth, and having taken up the three girdles, etc., as before, and the upper garment and the black antelope skin, he should recite the following mantra:
2.2.6	"Oṃ bhūḥ, that of Savitṛ. Oṃ bhuvaḥ, the radiance of the gods. Oṃ suvaḥ, the one who is the source of light. Oṃ bhūḥ bhuvaḥ suvaḥ, that of the Savitṛ. Having recited the entire Savitri mantra, one should enter the forest hermitage and resolve to observe the vow of celibacy."
2.2.2	Having sipped water, having circumambulated the fire and having bowed to it, one should sit down, saying "May the gods be well."
2.2.3	Having sprinkled oneself on the head with the mantra "May the goddesses be auspicious," having offered the Jāyas, the Abhyātanas, the Rāṣṭrabhṛt, and the Vyāhṛtis, one should eat the remaining ghee with Prāṇāyāma.
2.2.4	Having performed the twice-recitation of the Yoga-mantra, having sipped water twice, having bowed down with the words "I bow down to the one who is a hundred autumns old", having circumambulated the sun with the words "We have approached the earth", one should perform the circumambulation of the sun.
2.2.5	One should take up the staff with the tip pointing upwards, saying "You are the upholder of the kingdom".
2.2.6	"Oṃ bhūḥ, that of Savitṛ. Oṃ bhuvaḥ, the radiance of the gods. Oṃ suvaḥ, the one who is the source of light. Oṃ bhūḥ bhuvaḥ suvaḥ, that of the Savitṛ. Having recited the entire Savitri mantra, one should enter the forest hermitage and resolve to observe the vow of celibacy."
2.3.1	And his wife should be a chaste woman.
2.3.2	Having himself circumambulated the fire, he offers the Prajapati oblations with ghee, the Indra oblations with the interrupted (mantra), the Visvedeva oblations, the Vishnu oblations, the Brahma oblations, the Visnu oblations beginning with "Nukā," the Prajapati Sukta, and the binding of the vow again, and having offered the principal oblations, he binds the Prajapati vow.
2.3.5	Having kindled the fires, Gārhapatya and others, and having offered Agnihotra, he offers Prajapatya and Viṣṇu Sūkta in the Āhavanīya fire, saying "Svāhā to Agni, Svāhā to Soma, Svāhā Viṣṇu" and then places the fires in the Āraṇya fire.
